sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1046,3,A,,Period Covered End,Date,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,0,Document Information,CO04a_09,/CO12a/CO04a/CO04a_09,$.Accounting Entries.Document Information.Period Covered End,AccntnEntrs.DocInfrmt.PerCovrdEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
1047,3,A,,Creator,Name,0..1,,Identifies the creator of the XBRL instance.,gl-cor,0,Document Information,CO04a_BU04_10,/CO12a/CO04a/CO04a_BU04_10,$.Accounting Entries.Document Information.Creator,AccntnEntrs.DocInfrmt.Crtr,作成者,ファイルの作成者の識別子。
1048,3,A,,Period Count,Integer,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-cor,0,Document Information,CO04a_BU04_11,/CO12a/CO04a/CO04a_BU04_11,$.Accounting Entries.Document Information.Period Count,AccntnEntrs.DocInfrmt.PerCont,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
1049,3,A,,Period Unit,Char,0..1,,Type of periods covered by periodCount,gl-cor,0,Document Information,CO04a_BU04_12,/CO12a/CO04a/CO04a_BU04_12,$.Accounting Entries.Document Information.Period Unit,AccntnEntrs.DocInfrmt.PerUnt,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) "
1050,3,A,,Period Unit Description,Text,0..1,,Free format description of the period unit,gl-cor,0,Document Information,CO04a_BU04_13,/CO12a/CO04a/CO04a_BU04_13,$.Accounting Entries.Document Information.Period Unit Description,AccntnEntrs.DocInfrmt.PerUntDscr,期間単位説明,対象期間単位の説明。
1051,3,A,,Source Application,Name,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-cor,0,Document Information,CO04a_BU04_14,/CO12a/CO04a/CO04a_BU04_14,$.Accounting Entries.Document Information.Source Application,AccntnEntrs.DocInfrmt.SorcApl,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。
1052,3,A,,Target Application,Name,0..1,,Particular use for which file was generated.,gl-cor,0,Document Information,CO04a_BU04_15,/CO12a/CO04a/CO04a_BU04_15,$.Accounting Entries.Document Information.Target Application,AccntnEntrs.DocInfrmt.TargtApl,対象アプリケーション,ファイルが作成された用途。
1053,3,R,,(Default Currency) Currency,,0..1,,"The reference association to the Default Currency Currency class, which is a class holds information about different currencies.",gl-cor,0,(Default Currency) Currency,GE05a,/CO12a/CO04a/GE05a,$.Accounting Entries.Document Information.(Default Currency) Currency,AccntnEntrs.DocInfrmt.DefltCurrncCur,【通貨】,異なる通貨についての情報を保持するクラス
1054,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official code of the currency utilized in the accounting and/or ERP system.,gl-cor,0,(Default Currency) Currency,GE05a_01,/CO12a/CO04a/GE05a_01,$.Accounting Entries.Document Information.(Default Currency) Currency.Code,AccntnEntrs.DocInfrmt.DefltCurrncCur.Cd,コード,通貨の公式コード
1055,3,C,,Summary Reporting Taxonomies,,0..*,,,gl-cor,0,Summary Reporting Taxonomies,SR01a,/CO12a/CO04a/SR01a,$.Accounting Entries.Document Information.Summary Reporting Taxonomies,AccntnEntrs.DocInfrmt.SummryRprtTaxnms,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
1056,4,A,PK,ID,Identifier,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",gl-cor,0,Summary Reporting Taxonomies,SR01a_01,/CO12a/CO04a/SR01a/SR01a_01,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.ID,AccntnEntrs.DocInfrmt.SummryRprtTaxnms.Id,集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。
1057,4,A,,SchemaRefHref,Char,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,gl-cor,0,Summary Reporting Taxonomies,SR01a_02,/CO12a/CO04a/SR01a/SR01a_02,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.SchemaRefHref,AccntnEntrs.DocInfrmt.SummryRprtTaxnms.Schmrf,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。
1058,4,A,,Header,Text,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,gl-cor,0,Summary Reporting Taxonomies,SR01a_03,/CO12a/CO04a/SR01a/SR01a_03,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Header,AccntnEntrs.DocInfrmt.SummryRprtTaxnms.Hdr,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。
1059,4,A,,Description,Text,0..1,,A description of the taxonomy for human use.,gl-cor,0,Summary Reporting Taxonomies,SR01a_04,/CO12a/CO04a/SR01a/SR01a_04,$.Accounting Entries.Document Information.Summary Reporting Taxonomies.Description,AccntnEntrs.DocInfrmt.SummryRprtTaxnms.Dscr,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。
1060,2,C,,Entity Information,,0..*,,Holder for entity information - information about the reporting organization.,gl-cor,0,Entity Information,CO03a,/CO12a/CO03a,$.Accounting Entries.Entity Information,AccntnEntrs.EnttyInfrmt,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。
1061,3,A,,Description,Text,0..1,,Description of the nature of the gl-business of the entity.,gl-cor,0,Entity Information,CO03a_01,/CO12a/CO03a/CO03a_01,$.Accounting Entries.Entity Information.Description,AccntnEntrs.EnttyInfrmt.Dscr,業種説明,事業体の事業の種類についての説明。
1062,3,A,,Fiscal Year Start,Date,0..1,,"Start of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO03a_BU03_02,/CO12a/CO03a/CO03a_BU03_02,$.Accounting Entries.Entity Information.Fiscal Year Start,AccntnEntrs.EnttyInfrmt.FiscYrStrt,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
1063,3,A,,Fiscal Year End,Date,0..1,,"End of fiscal year. Where appropriate, gl-corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-cor,0,Entity Information,CO03a_BU03_03,/CO12a/CO03a/CO03a_BU03_03,$.Accounting Entries.Entity Information.Fiscal Year End,AccntnEntrs.EnttyInfrmt.FiscYrEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。
1064,3,C,,(Default) Accounting Method,,0..1,,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-cor,0,(Default) Accounting Method,BU07a,/CO12a/CO03a/BU07a,$.Accounting Entries.Entity Information.(Default) Accounting Method,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
1065,4,A,,Type,Name,0..1,,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-cor,0,(Default) Accounting Method,BU07a_01,/CO12a/CO03a/BU07a_01,$.Accounting Entries.Entity Information.(Default) Accounting Method.Type,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.Typ,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
1066,4,A,,Description,Text,0..1,,Free format description of the accounting method,gl-cor,0,(Default) Accounting Method,BU07a_02,/CO12a/CO03a/BU07a_02,$.Accounting Entries.Entity Information.(Default) Accounting Method.Description,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.Dscr,会計処理方法説明,会計処理方法の説明。
1067,4,A,,Purpose,Name,0..1,,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-cor,0,(Default) Accounting Method,BU07a_03,/CO12a/CO03a/BU07a_03,$.Accounting Entries.Entity Information.(Default) Accounting Method.Purpose,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.Purps,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
1068,4,A,,Purpose Description,Text,0..1,,Free format description of the accounting method purpose,gl-cor,0,(Default) Accounting Method,BU07a_04,/CO12a/CO03a/BU07a_04,$.Accounting Entries.Entity Information.(Default) Accounting Method.Purpose Description,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.PurpsDscr,会計処理方法目的説明,会計処理方法の目的の説明。
1069,4,A,,Start Date,Date,0..1,,Accounting Method Start Date,gl-cor,0,(Default) Accounting Method,BU07a_05,/CO12a/CO03a/BU07a_05,$.Accounting Entries.Entity Information.(Default) Accounting Method.Start Date,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.StrtDt,会計処理方法開始日付,会計処理方法の開始日。
1070,4,A,,End Date,Date,0..1,,Accounting Method End Date,gl-cor,0,(Default) Accounting Method,BU07a_06,/CO12a/CO03a/BU07a_06,$.Accounting Entries.Entity Information.(Default) Accounting Method.End Date,AccntnEntrs.EnttyInfrmt.DefltAccntnMethd.EndDt,会計処理方法終了日付,会計処理方法の終了日。
1071,3,C,,Identifier Reference,,0..*,,"Identification for customer, vendor, or employee.",gl-cor,0,Identifier Reference,CO02a,/CO12a/CO03a/CO02a,$.Accounting Entries.Entity Information.Identifier Reference,AccntnEntrs.EnttyInfrmt.IdRef,【CVE情報】,顧客、仕入先、従業員のための識別子。
1072,4,A,PK,ID,Identifier,0..1,,Internal ID Number associated with identifierReference,gl-cor,0,Identifier Reference,CO02a_01,/CO12a/CO03a/CO02a/CO02a_01,$.Accounting Entries.Entity Information.Identifier Reference.ID,AccntnEntrs.EnttyInfrmt.IdRef.Id,CVE識別番号（内部）,identifierReferenceに関係付けられた、内部ID番号。
1073,4,A,,Identifier Purpose,Name,0..1,,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-cor,0,Identifier Reference,CO02a_BU02_02,/CO12a/CO03a/CO02a/CO02a_BU02_02,$.Accounting Entries.Entity Information.Identifier Reference.Identifier Purpose,AccntnEntrs.EnttyInfrmt.IdRef.IdPurps,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
1074,4,A,,Organization Type,Char,0..1,,Identifier Organization Type,gl-cor,0,Identifier Reference,CO02a_03,/CO12a/CO03a/CO02a/CO02a_03,$.Accounting Entries.Entity Information.Identifier Reference.Organization Type,AccntnEntrs.EnttyInfrmt.IdRef.OrgTyp,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他) "
1075,4,A,,Organization Type Description,Text,0..1,,Free format description of the identifier organization type,gl-cor,0,Identifier Reference,CO02a_04,/CO12a/CO03a/CO02a/CO02a_04,$.Accounting Entries.Entity Information.Identifier Reference.Organization Type Description,AccntnEntrs.EnttyInfrmt.IdRef.OrgTypDscr,CVE組織種別説明,CVE識別子の組織種別の説明。
1076,4,A,,Description,Text,0..1,,Textual description of identifierReference.,gl-cor,0,Identifier Reference,CO02a_05,/CO12a/CO03a/CO02a/CO02a_05,$.Accounting Entries.Entity Information.Identifier Reference.Description,AccntnEntrs.EnttyInfrmt.IdRef.Dscr,CVE説明,identifierReferenceの説明。
1077,4,A,,Type,Char,0..1,,"Entity type (enumerated): e.g., customer, vendor, employee.",gl-cor,0,Identifier Reference,CO02a_06,/CO12a/CO03a/CO02a/CO02a_06,$.Accounting Entries.Entity Information.Identifier Reference.Type,AccntnEntrs.EnttyInfrmt.IdRef.Typ,CVE種別,"実体の種別。例えば、顧客、仕入先、従業員。
[設定値のリスト]
(C)、(customer：顧客)、(E)、(employee：従業員)、(V)、(vendor：仕入先)、(O)、(other：その他)、(I)、(salesperson-internal：店舗内販売員)、(X)、(salesperson-external：外交販売員)、(N)、(contractor：請負者) "
1078,4,A,,Category,Name,0..1,,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by gl-business).",gl-cor,0,Identifier Reference,CO02a_07,/CO12a/CO03a/CO02a/CO02a_07,$.Accounting Entries.Entity Information.Identifier Reference.Category,AccntnEntrs.EnttyInfrmt.IdRef.Catgr,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
1079,4,A,,Tax Identification Number,Char,0..1,,Registered tax identification number,gl-cor,0,Identifier Reference,CO02a_TA02_08,/CO12a/CO03a/CO02a/CO02a_TA02_08,$.Accounting Entries.Entity Information.Identifier Reference.Tax Identification Number,AccntnEntrs.EnttyInfrmt.IdRef.TxIdntfcNr,納税者コード,CVEの納税者コード。
1080,4,C,,Registered Entity Identifier,,0..*,,Structure containing references to an external authority associated with identifier,gl-cor,0,Registered Entity Identifier,CO01a,/CO12a/CO03a/CO02a/CO01a,$.Accounting Entries.Entity Information.Identifier Reference.Registered Entity Identifier,AccntnEntrs.EnttyInfrmt.IdRef.RegstrEnttyId,【登録法人識別子】,識別子と関係付けられる外部機関への参照情報を含む構造体。
1081,5,A,PK,ID,Identifier,0..1,,"External Authority (e,g, Tax Authority) ID Number associated with identifierReference",gl-cor,0,Registered Entity Identifier,CO01a_01,/CO12a/CO03a/CO02a/CO01a/CO01a_01,$.Accounting Entries.Entity Information.Identifier Reference.Registered Entity Identifier.ID,AccntnEntrs.EnttyInfrmt.IdRef.RegstrEnttyId.Id,外部機関付与識別番号,identifierReferenceと関係付けられる、外部機関（たとえば、税務署）によるID番号。
1082,5,A,,Authority Name,Name,0..1,,Name of External Authority (e.g. Tax Authority),gl-cor,0,Registered Entity Identifier,CO01a_02,/CO12a/CO03a/CO02a/CO01a/CO01a_02,$.Accounting Entries.Entity Information.Identifier Reference.Registered Entity Identifier.Authority Name,AccntnEntrs.EnttyInfrmt.IdRef.RegstrEnttyId.AuthrtNam,外部機関名,外部機関の名前（たとえば、税務署）
1083,5,A,,Verification Date,Date,0..1,,Date on which the External Authority last performed a verification,gl-cor,0,Registered Entity Identifier,CO01a_03,/CO12a/CO03a/CO02a/CO01a/CO01a_03,$.Accounting Entries.Entity Information.Identifier Reference.Registered Entity Identifier.Verification Date,AccntnEntrs.EnttyInfrmt.IdRef.RegstrEnttyId.VerfctDt,外部機関認証日付,外部機関が最後に認証した日付。
1084,4,C,,Email Address,,0..*,,Tuple for holding company email information.,gl-cor,0,Email Address,BU03b,/CO12a/CO03a/CO02a/BU03b,$.Accounting Entries.Entity Information.Identifier Reference.Email Address,AccntnEntrs.EnttyInfrmt.IdRef.EmlAdr,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。
1085,5,A,,Usage,Text,0..1,,"Company email address usage (e.g. orders, head office, IR)",gl-cor,0,Email Address,BU03b_01,/CO12a/CO03a/CO02a/BU03b/BU03b_01,$.Accounting Entries.Entity Information.Identifier Reference.Email Address.Usage,AccntnEntrs.EnttyInfrmt.IdRef.EmlAdr.Usg,事業体Eメールアドレス用途,事業体のEメールアドレスの用途。(注文、本社、IRなど)
1086,5,A,,Address,Char,0..1,,Company Email Address,gl-cor,0,Email Address,BU03b_02,/CO12a/CO03a/CO02a/BU03b/BU03b_02,$.Accounting Entries.Entity Information.Identifier Reference.Email Address.Address,AccntnEntrs.EnttyInfrmt.IdRef.EmlAdr.Adr,事業体Eメールアドレス,事業体のEメールアドレス。
1087,4,C,,Phone Number,,0..*,,Primary phone number of the entity.,gl-cor,0,Phone Number,BU01b,/CO12a/CO03a/CO02a/BU01b,$.Accounting Entries.Entity Information.Identifier Reference.Phone Number,AccntnEntrs.EnttyInfrmt.IdRef.PhnNr,【事業体電話番号】,事業体の主要電話番号情報。
1088,5,A,,Description,Text,0..1,,"Entity Phone Number Description such as Main, Investor relations.",gl-cor,0,Phone Number,BU01b_01,/CO12a/CO03a/CO02a/BU01b/BU01b_01,$.Accounting Entries.Entity Information.Identifier Reference.Phone Number.Description,AccntnEntrs.EnttyInfrmt.IdRef.PhnNr.Dscr,事業体電話番号説明,"代表、IR用などの、事業体の電話番号の説明。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他) "
1089,5,A,,Number,Char,0..1,,Phone number referred to in 'phoneNumberDescription',gl-cor,0,Phone Number,BU01b_02,/CO12a/CO03a/CO02a/BU01b/BU01b_02,$.Accounting Entries.Entity Information.Identifier Reference.Phone Number.Number,AccntnEntrs.EnttyInfrmt.IdRef.PhnNr.Nr,事業体電話番号,phoneNumberDescriptionで示される電話番号。
1090,4,C,,Fax Number,,0..*,,Tuple for holding company fax information.,gl-cor,0,Fax Number,BU02b,/CO12a/CO03a/CO02a/BU02b,$.Accounting Entries.Entity Information.Identifier Reference.Fax Number,AccntnEntrs.EnttyInfrmt.IdRef.FaxNr,【事業体FAX番号】,事業体のFAX番号情報のタプル。
1091,5,A,,Usage,Text,0..1,,"Company fax number usage (e.g. orders, head office, IR)",gl-cor,0,Fax Number,BU02b_01,/CO12a/CO03a/CO02a/BU02b/BU02b_01,$.Accounting Entries.Entity Information.Identifier Reference.Fax Number.Usage,AccntnEntrs.EnttyInfrmt.IdRef.FaxNr.Usg,事業体FAX番号用途,事業体のFAX番号の用途。(注文、本社、IRなど)
1092,5,A,,Number,Char,0..1,,Company Fax Number,gl-cor,0,Fax Number,BU02b_02,/CO12a/CO03a/CO02a/BU02b/BU02b_02,$.Accounting Entries.Entity Information.Identifier Reference.Fax Number.Number,AccntnEntrs.EnttyInfrmt.IdRef.FaxNr.Nr,事業体FAX番号,事業体のFAX番号。
1093,4,C,,Contact,,0..*,,Information about contacts.,gl-cor,0,Contact,BU06b,/CO12a/CO03a/CO02a/BU06b,$.Accounting Entries.Entity Information.Identifier Reference.Contact,AccntnEntrs.EnttyInfrmt.IdRef.Cnt,【担当者情報】,担当者に関する情報。
1094,5,A,,Prefix,Char,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",gl-cor,0,Contact,BU06b_01,/CO12a/CO03a/CO02a/BU06b/BU06b_01,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Prefix,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.Prfx,敬称,敬称(Dr.、Mr.、Mrs.など)
1095,5,A,,Last Name,Name,0..1,,Last or family name,gl-cor,0,Contact,BU06b_02,/CO12a/CO03a/CO02a/BU06b/BU06b_02,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Last Name,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.LastNam,姓,姓
1096,5,A,,First Name,Name,0..1,,First or given name,gl-cor,0,Contact,BU06b_03,/CO12a/CO03a/CO02a/BU06b/BU06b_03,$.Accounting Entries.Entity Information.Identifier Reference.Contact.First Name,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.FirstNam,名,名、クリスチャンネーム
1097,5,A,,Suffix,Char,0..1,,"Suffix (e.g. MD, CPA, Jr.)",gl-cor,0,Contact,BU06b_04,/CO12a/CO03a/CO02a/BU06b/BU06b_04,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Suffix,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.Sffx,付加名称,付加名称(MD、CPA、Jr.など)
1098,5,A,,Attention Line,Name,0..1,,Attention Line,gl-cor,0,Contact,BU06b_05,/CO12a/CO03a/CO02a/BU06b/BU06b_05,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Attention Line,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.AttntnLin,アテンションライン,アテンションライン
1099,5,A,,Position/Role,Name,0..1,,Position or role,gl-cor,0,Contact,BU06b_06,/CO12a/CO03a/CO02a/BU06b/BU06b_06,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Position/Role,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.Postnr,地位/役職,地位や役職。
1100,5,A,,Role of Contact,Name,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-cor,0,Contact,BU06b_07,/CO12a/CO03a/CO02a/BU06b/BU06b_07,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Role of Contact,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.RolOfCnt,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計士。
1101,5,A,,Location ID cross reference,Name,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-cor,0,Contact,BU06b_08,/CO12a/CO03a/CO02a/BU06b/BU06b_08,$.Accounting Entries.Entity Information.Identifier Reference.Contact.Location ID cross reference,AccntnEntrs.EnttyInfrmt.IdRef.Cnt.LctIdCrssRef,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
