Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-04,10E201120,614477,0,車両費,0,614477,販売費及び一般管理費
2021-04,10E201130,24995,0,会議費,0,24995,販売費及び一般管理費
2021-04,10E201140,116000,0,諸会費,0,116000,販売費及び一般管理費
2021-04,10E201160,24982,0,図書費,0,24982,販売費及び一般管理費
2021-04,10E201230,1012406,0,旅費及び交通費,0,1012406,販売費及び一般管理費
2021-04,10E201270,477559,0,雑費,0,477559,販売費及び一般管理費
2021-04,10E300020,91057,0,支払利息,0,91057,営業外費用
2021-05,10A100020,119166656,117816296,現金及び預金,82079292,83429652,流動資産
2021-05,10A100060,33785761,32345738,受取手形,92630495,94070518,流動資産
2021-05,10A100090,61189848,81226360,売掛金,8092812050,8072775538,流動資産
2021-05,10A100610,0,40000,短期貸付金,440000,400000,流動資産
2021-05,10A230570,125000,0,保険積立金,1653000,1778000,投資その他の資産
2021-05,10B100030,13344010,6591904,支払手形,54174743,47422637,流動負債
2021-05,10B100040,36986269,37445581,買掛金,247411485,247870797,流動負債
2021-05,10B100630,7529245,7116470,未払金,57369946,56957171,流動負債
2021-05,10B100640,2864378,0,未払法人税等,2864378,0,流動負債
2021-05,10B100650,1862000,0,未払事業所税,1862000,0,流動負債
2021-05,10B100660,4947100,0,未払消費税等,4947100,0,流動負債
2021-05,10B100690,1494720,1957781,預り金,2896472,3359533,流動負債
2021-05,10B100790,653500,0,短期借入金,7188500,6535000,流動負債
2021-05,10D100101,0,19398802,電子取引総売上高,15951282,35350084,売上高
2021-05,10D100102,0,41791046,電子取引以外総売上高,44386334,86177380,売上高
2021-05,10D100111,174192,0,電子取引売上値引及び戻り高,24480,198672,売上高
2021-05,10D100112,330272,0,電子取引以外売上値引及び戻り高,143456,473728,売上高
2021-05,10E100121,0,98430,電子取引仕入値引及び戻し高,51555,149985,売上原価
2021-05,10E100122,0,133560,電子取引以外仕入値引及び戻し高,150824,284384,売上原価
2021-05,10E100131,12973908,0,電子取引当期商品仕入高,12286234,25260142,売上原価
2021-05,10E100132,24471673,0,電子取引以外当期商品仕入高,23205448,47677121,売上原価
2021-05,10E200020,2042500,0,販売手数料,2266000,4308500,販売費及び一般管理費
2021-05,10E200050,177200,0,広告宣伝費,191500,368700,販売費及び一般管理費
2021-05,10E200090,1720000,0,役員報酬,1720000,3440000,販売費及び一般管理費
2021-05,10E200140,402832,0,福利厚生費,302784,705616,販売費及び一般管理費
2021-05,10E200150,433414,0,交際費,387529,820943,販売費及び一般管理費
2021-05,10E200180,1170854,0,通信費,1314451,2485305,販売費及び一般管理費
2021-05,10E200200,540384,270192,消耗品費,352077,622269,販売費及び一般管理費
2021-05,10E200210,66000,0,租税公課,56000,122000,販売費及び一般管理費
2021-05,10E200240,318820,0,保険料,318820,637640,販売費及び一般管理費
2021-05,10E200370,5515630,0,給料及び手当,5702352,11217982,販売費及び一般管理費
2021-05,10E200520,231672,0,雑給,396465,628137,販売費及び一般管理費
2021-05,10E200540,764485,0,法定福利費,743926,1508411,販売費及び一般管理費
2021-05,10E200600,139710,0,支払報酬,139710,279420,販売費及び一般管理費
2021-05,10E200690,12442,0,支払手数料,10552,22994,販売費及び一般管理費
2021-05,10E200720,3449000,0,地代家賃,3449000,6898000,販売費及び一般管理費
2021-05,10E200730,293850,0,借地借家料,293850,587700,販売費及び一般管理費
2021-05,10E200870,3570154,0,運賃,3580147,7150301,販売費及び一般管理費
2021-05,10E201000,122700,0,修繕維持費,35850,158550,販売費及び一般管理費
2021-05,10E201040,645774,0,水道光熱費,615042,1260816,販売費及び一般管理費
2021-05,10E201110,148755,0,事務用消耗品費,142108,290863,販売費及び一般管理費
2021-05,10E201120,605723,0,車両費,614477,1220200,販売費及び一般管理費
2021-05,10E201130,55474,0,会議費,24995,80469,販売費及び一般管理費
2021-05,10E201140,116000,0,諸会費,116000,232000,販売費及び一般管理費
2021-05,10E201160,24982,0,図書費,24982,49964,販売費及び一般管理費
2021-05,10E201230,1160537,0,旅費及び交通費,1012406,2172943,販売費及び一般管理費
2021-05,10E201270,486392,0,雑費,477559,963951,販売費及び一般管理費
2021-05,10E300020,118344,0,支払利息,91057,209401,営業外費用
2021-06,10A100020,112203130,99743187,現金及び預金,83429652,95889595,流動資産
2021-06,10A100060,31318928,41592996,受取手形,94070518,83796450,流動資産
2021-06,10A100090,58103775,69856709,売掛金,8072775538,8061022604,流動資産
2021-06,10A100610,0,40000,短期貸付金,400000,360000,流動資産
2021-06,10A230570,125000,0,保険積立金,1778000,1903000,投資その他の資産
2021-06,10B100030,14803167,11291881,支払手形,47422637,43911351,流動負債
2021-06,10B100040,37583418,36657682,買掛金,247870797,246945061,流動負債
2021-06,10B100630,7263732,7249493,未払金,56957171,56942932,流動負債
2021-06,10B100690,1455142,2613471,預り金,3359533,4517862,流動負債
2021-06,10B100790,653500,0,短期借入金,6535000,5881500,流動負債
2021-06,10D100101,0,15529793,電子取引総売上高,35350084,50879877,売上高
2021-06,10D100102,0,42573982,電子取引以外総売上高,86177380,128751362,売上高
2021-06,10D100111,26496,0,電子取引売上値引及び戻り高,198672,225168,売上高
2021-06,10D100112,245588,0,電子取引以外売上値引及び戻り高,473728,719316,売上高
2021-06,10E100121,0,102456,電子取引仕入値引及び戻し高,149985,252441,売上原価
2021-06,10E100122,0,109418,電子取引以外仕入値引及び戻し高,284384,393802,売上原価
2021-06,10E100131,12743111,0,電子取引当期商品仕入高,25260142,38003253,売上原価
2021-06,10E100132,23914571,0,電子取引以外当期商品仕入高,47677121,71591692,売上原価
2021-06,10E200020,2273500,0,販売手数料,4308500,6582000,販売費及び一般管理費
2021-06,10E200050,139000,0,広告宣伝費,368700,507700,販売費及び一般管理費
2021-06,10E200090,1720000,0,役員報酬,3440000,5160000,販売費及び一般管理費
2021-06,10E200130,4042000,0,賞与,0,4042000,販売費及び一般管理費
2021-06,10E200140,596649,0,福利厚生費,705616,1302265,販売費及び一般管理費
2021-06,10E200150,255279,0,交際費,820943,1076222,販売費及び一般管理費
2021-06,10E200180,1069686,0,通信費,2485305,3554991,販売費及び一般管理費
2021-06,10E200200,517144,258572,消耗品費,622269,880841,販売費及び一般管理費
2021-06,10E200210,13000,0,租税公課,122000,135000,販売費及び一般管理費
2021-06,10E200240,318820,0,保険料,637640,956460,販売費及び一般管理費
2021-06,10E200370,5290385,0,給料及び手当,11217982,16508367,販売費及び一般管理費
2021-06,10E200520,279865,0,雑給,628137,908002,販売費及び一般管理費
2021-06,10E200540,743927,0,法定福利費,1508411,2252338,販売費及び一般管理費
2021-06,10E200600,139710,0,支払報酬,279420,419130,販売費及び一般管理費
2021-06,10E200690,11969,0,支払手数料,22994,34963,販売費及び一般管理費
2021-06,10E200720,3449000,0,地代家賃,6898000,10347000,販売費及び一般管理費
2021-06,10E200870,3408238,0,運賃,7150301,10558539,販売費及び一般管理費
2021-06,10E201000,17850,0,修繕維持費,158550,176400,販売費及び一般管理費
2021-06,10E201040,546903,0,水道光熱費,1260816,1807719,販売費及び一般管理費
2021-06,10E201110,124079,0,事務用消耗品費,290863,414942,販売費及び一般管理費
2021-06,10E201120,434529,0,車両費,1220200,1654729,販売費及び一般管理費
2021-06,10E201130,24995,0,会議費,80469,105464,販売費及び一般管理費
2021-06,10E201140,116000,0,諸会費,232000,348000,販売費及び一般管理費
2021-06,10E201160,24982,0,図書費,49964,74946,販売費及び一般管理費
2021-06,10E201230,963397,0,旅費及び交通費,2172943,3136340,販売費及び一般管理費
2021-06,10E201270,478200,0,雑費,963951,1442151,販売費及び一般管理費
2021-06,10E300020,180975,0,支払利息,209401,390376,営業外費用
2021-07,10A100020,98425471,110829483,現金及び預金,95889595,83485583,流動資産
2021-07,10A100060,31610012,35886816,受取手形,83796450,79519646,流動資産
2021-07,10A100090,63234494,61334852,売掛金,8061022604,8062922246,流動資産
2021-07,10A100610,0,40000,短期貸付金,360000,320000,流動資産
2021-07,10A230570,125000,0,保険積立金,1903000,2028000,投資その他の資産
2021-07,10B100030,26027566,10880762,支払手形,43911351,28764547,流動負債
2021-07,10B100040,37375152,38214965,買掛金,246945061,247784874,流動負債
2021-07,10B100630,7396290,7691085,未払金,56942932,57237727,流動負債
2021-07,10B100690,2061939,1901556,預り金,4517862,4357479,流動負債
2021-07,10B100790,653500,0,短期借入金,5881500,5228000,流動負債
2021-07,10D100101,0,20210150,電子取引総売上高,50879877,71090027,売上高
2021-07,10D100102,0,43024344,電子取引以外総売上高,128751362,171775706,売上高
2021-07,10D100111,60400,0,電子取引売上値引及び戻り高,225168,285568,売上高
2021-07,10D100112,262560,0,電子取引以外売上値引及び戻り高,719316,981876,売上高
2021-07,10E100121,0,18748,電子取引仕入値引及び戻し高,252441,271189,売上原価
2021-07,10E100122,0,68592,電子取引以外仕入値引及び戻し高,393802,462394,売上原価
2021-07,10E100131,13314759,0,電子取引当期商品仕入高,38003253,51318012,売上原価
2021-07,10E100132,24900206,0,電子取引以外当期商品仕入高,71591692,96491898,売上原価
2021-07,10E200020,2363708,0,販売手数料,6582000,8945708,販売費及び一般管理費
2021-07,10E200050,139000,0,広告宣伝費,507700,646700,販売費及び一般管理費
2021-07,10E200090,1720000,0,役員報酬,5160000,6880000,販売費及び一般管理費
2021-07,10E200140,288673,0,福利厚生費,1302265,1590938,販売費及び一般管理費
2021-07,10E200150,239624,0,交際費,1076222,1315846,販売費及び一般管理費
2021-07,10E200180,1172659,0,通信費,3554991,4727650,販売費及び一般管理費
2021-07,10E200200,537004,268502,消耗品費,880841,1149343,販売費及び一般管理費
2021-07,10E200240,318820,0,保険料,956460,1275280,販売費及び一般管理費
2021-07,10E200370,5229240,0,給料及び手当,16508367,21737607,販売費及び一般管理費
2021-07,10E200520,364425,0,雑給,908002,1272427,販売費及び一般管理費
2021-07,10E200540,1190201,0,法定福利費,2252338,3442539,販売費及び一般管理費
2021-07,10E200600,139710,0,支払報酬,419130,558840,販売費及び一般管理費
2021-07,10E200690,12126,0,支払手数料,34963,47089,販売費及び一般管理費
2021-07,10E200720,3419000,0,地代家賃,10347000,13766000,販売費及び一般管理費
2021-07,10E200730,587700,0,借地借家料,587700,1175400,販売費及び一般管理費
2021-07,10E200870,4007828,0,運賃,10558539,14566367,販売費及び一般管理費
2021-07,10E201000,35850,0,修繕維持費,176400,212250,販売費及び一般管理費
2021-07,10E201040,577420,0,水道光熱費,1807719,2385139,販売費及び一般管理費
2021-07,10E201110,124268,0,事務用消耗品費,414942,539210,販売費及び一般管理費
2021-07,10E201120,618735,0,車両費,1654729,2273464,販売費及び一般管理費
2021-07,10E201130,24995,0,会議費,105464,130459,販売費及び一般管理費
2021-07,10E201140,116000,0,諸会費,348000,464000,販売費及び一般管理費
2021-07,10E201160,24982,0,図書費,74946,99928,販売費及び一般管理費
2021-07,10E201230,1040507,0,旅費及び交通費,3136340,4176847,販売費及び一般管理費
2021-07,10E201270,481232,0,雑費,1442151,1923383,販売費及び一般管理費
2021-07,10E300020,148799,0,支払利息,390376,539175,営業外費用
2021-08,10A100020,100465238,94324769,現金及び預金,83485583,89626052,流動資産
2021-08,10A100060,34210798,29812387,受取手形,79519646,83918057,流動資産
2021-08,10A100090,67626279,67784238,売掛金,8062922246,8062764287,流動資産
2021-08,10A100610,0,40000,短期貸付金,320000,280000,流動資産
2021-08,10A230570,125000,0,保険積立金,2028000,2153000,投資その他の資産
2021-08,10B100030,6591904,11730438,支払手形,28764547,33903081,流動負債
2021-08,10B100040,37779377,38277589,買掛金,247784874,248283086,流動負債
2021-08,10B100630,7936710,7181008,未払金,57237727,56482025,流動負債
2021-08,10B100690,1403735,1910537,預り金,4357479,4864281,流動負債
2021-08,10B100790,653500,0,短期借入金,5228000,4574500,流動負債
2021-08,10D100101,0,19961123,電子取引総売上高,71090027,91051150,売上高
2021-08,10D100102,0,47665156,電子取引以外総売上高,171775706,219440862,売上高
2021-08,10E100131,13333507,0,電子取引当期商品仕入高,51318012,64651519,売上原価
2021-08,10E100132,24944082,0,電子取引以外当期商品仕入高,96491898,121435980,売上原価
2021-08,10E200020,1913000,0,販売手数料,8945708,10858708,販売費及び一般管理費
2021-08,10E200050,191500,0,広告宣伝費,646700,838200,販売費及び一般管理費
2021-08,10E200090,1720000,0,役員報酬,6880000,8600000,販売費及び一般管理費
2021-08,10E200140,681144,0,福利厚生費,1590938,2272082,販売費及び一般管理費
2021-08,10E200150,396398,0,交際費,1315846,1712244,販売費及び一般管理費
2021-08,10E200180,1047161,0,通信費,4727650,5774811,販売費及び一般管理費
2021-08,10E200200,562218,281109,消耗品費,1149343,1430452,販売費及び一般管理費
2021-08,10E200210,40000,0,租税公課,135000,175000,販売費及び一般管理費
2021-08,10E200240,318820,0,保険料,1275280,1594100,販売費及び一般管理費
2021-08,10E200370,5270379,0,給料及び手当,21737607,27007986,販売費及び一般管理費
2021-08,10E200520,529470,0,雑給,1272427,1801897,販売費及び一般管理費
2021-08,10E200540,710659,0,法定福利費,3442539,4153198,販売費及び一般管理費
2021-08,10E200600,139710,0,支払報酬,558840,698550,販売費及び一般管理費
2021-08,10E200690,12389,0,支払手数料,47089,59478,販売費及び一般管理費
2021-08,10E200720,3449000,0,地代家賃,13766000,17215000,販売費及び一般管理費
2021-08,10E200730,293850,0,借地借家料,1175400,1469250,販売費及び一般管理費
2021-08,10E200870,3579250,0,運賃,14566367,18145617,販売費及び一般管理費
2021-08,10E201000,17850,0,修繕維持費,212250,230100,販売費及び一般管理費
2021-08,10E201040,536492,0,水道光熱費,2385139,2921631,販売費及び一般管理費
2021-08,10E201110,136993,0,事務用消耗品費,539210,676203,販売費及び一般管理費
2021-08,10E201120,630353,0,車両費,2273464,2903817,販売費及び一般管理費
2021-08,10E201130,24995,0,会議費,130459,155454,販売費及び一般管理費
2021-08,10E201140,116000,0,諸会費,464000,580000,販売費及び一般管理費
2021-08,10E201160,24982,0,図書費,99928,124910,販売費及び一般管理費
2021-08,10E201230,924504,0,旅費及び交通費,4176847,5101351,販売費及び一般管理費
2021-08,10E201270,479848,0,雑費,1923383,2403231,販売費及び一般管理費
2021-08,10E300020,151259,0,支払利息,539175,690434,営業外費用
2021-09,10A100020,74286882,88972875,現金及び預金,89626052,74940059,流動資産
2021-09,10A100060,30867667,16797022,受取手形,83918057,97988702,流動資産
2021-09,10A100090,59925783,60497460,売掛金,8062764287,8062192610,流動資産
2021-09,10A100200,40000,0,電子記録債権,0,40000,流動資産
2021-09,10A100610,0,40000,短期貸付金,280000,240000,流動資産
2021-09,10A230570,125000,0,保険積立金,2153000,2278000,投資その他の資産
2021-09,10B100030,11291881,11432405,支払手形,33903081,34043605,流動負債
2021-09,10B100040,38302285,37187421,買掛金,248283086,247168222,流動負債
2021-09,10B100630,7333580,6788142,未払金,56482025,55936587,流動負債
2021-09,10B100690,1416832,1863616,預り金,4864281,5311065,流動負債
2021-09,10B100790,653500,0,短期借入金,4574500,3921000,流動負債
2021-09,10D100101,0,16602170,電子取引総売上高,91051150,107653320,売上高
2021-09,10D100102,0,43323613,電子取引以外総売上高,219440862,262764475,売上高
2021-09,10E100131,13016898,0,電子取引当期商品仕入高,64651519,77668417,売上原価
2021-09,10E100132,24170523,0,電子取引以外当期商品仕入高,121435980,145606503,売上原価
2021-09,10E200020,1917359,0,販売手数料,10858708,12776067,販売費及び一般管理費
2021-09,10E200050,191500,0,広告宣伝費,838200,1029700,販売費及び一般管理費
2021-09,10E200090,1720000,0,役員報酬,8600000,10320000,販売費及び一般管理費
2021-09,10E200140,248789,0,福利厚生費,2272082,2520871,販売費及び一般管理費
2021-09,10E200150,235789,0,交際費,1712244,1948033,販売費及び一般管理費
2021-09,10E200180,1015535,0,通信費,5774811,6790346,販売費及び一般管理費
2021-09,10E200200,601956,300978,消耗品費,1430452,1731430,販売費及び一般管理費
2021-09,10E200210,2000,0,租税公課,175000,177000,販売費及び一般管理費
2021-09,10E200240,318820,0,保険料,1594100,1912920,販売費及び一般管理費
2021-09,10E200370,4815545,0,給料及び手当,27007986,31823531,販売費及び一般管理費
2021-09,10E200520,356030,0,雑給,1801897,2157927,販売費及び一般管理費
2021-09,10E200540,716516,0,法定福利費,4153198,4869714,販売費及び一般管理費
2021-09,10E200600,139710,0,支払報酬,698550,838260,販売費及び一般管理費
2021-09,10E200690,12284,0,支払手数料,59478,71762,販売費及び一般管理費
2021-09,10E200720,3449000,0,地代家賃,17215000,20664000,販売費及び一般管理費
2021-09,10E200870,3528951,0,運賃,18145617,21674568,販売費及び一般管理費
2021-09,10E201000,17850,0,修繕維持費,230100,247950,販売費及び一般管理費
2021-09,10E201040,573535,0,水道光熱費,2921631,3495166,販売費及び一般管理費
2021-09,10E201110,115601,0,事務用消耗品費,676203,791804,販売費及び一般管理費
2021-09,10E201120,720273,0,車両費,2903817,3624090,販売費及び一般管理費
2021-09,10E201130,24995,0,会議費,155454,180449,販売費及び一般管理費
2021-09,10E201140,116000,0,諸会費,580000,696000,販売費及び一般管理費
2021-09,10E201160,24982,0,図書費,124910,149892,販売費及び一般管理費
2021-09,10E201230,1001776,0,旅費及び交通費,5101351,6103127,販売費及び一般管理費
2021-09,10E201270,477400,0,雑費,2403231,2880631,販売費及び一般管理費
2021-09,10E300020,32675,0,支払利息,690434,723109,営業外費用
2021-10,10A100020,109382815,93251447,現金及び預金,74940059,91071427,流動資産
2021-10,10A100060,34964923,47982412,受取手形,97988702,84971213,流動資産
2021-10,10A100090,61564282,64003565,売掛金,8062192610,8059753327,流動資産
2021-10,10A100610,0,40000,短期貸付金,240000,200000,流動資産
2021-10,10A230570,125000,0,保険積立金,2278000,2403000,投資その他の資産
2021-10,10B100030,10880762,11210865,支払手形,34043605,34373708,流動負債
2021-10,10B100040,37483187,38995768,買掛金,247168222,248680803,流動負債
2021-10,10B100630,6940619,7681594,未払金,55936587,56677562,流動負債
2021-10,10B100690,1395878,1945054,預り金,5311065,5860241,流動負債
2021-10,10B100790,653500,0,短期借入金,3921000,3267500,流動負債
2021-10,10D100101,0,18977852,電子取引総売上高,107653320,126631172,売上高
2021-10,10D100102,0,42586430,電子取引以外総売上高,262764475,305350905,売上高
2021-10,10E100131,13619594,0,電子取引当期商品仕入高,77668417,91288011,売上原価
2021-10,10E100132,25376174,0,電子取引以外当期商品仕入高,145606503,170982677,売上原価
2021-10,10E200020,2227000,0,販売手数料,12776067,15003067,販売費及び一般管理費
2021-10,10E200050,191500,0,広告宣伝費,1029700,1221200,販売費及び一般管理費
2021-10,10E200090,1720000,0,役員報酬,10320000,12040000,販売費及び一般管理費
2021-10,10E200140,680660,0,福利厚生費,2520871,3201531,販売費及び一般管理費
2021-10,10E200150,227874,0,交際費,1948033,2175907,販売費及び一般管理費
2021-10,10E200180,994350,0,通信費,6790346,7784696,販売費及び一般管理費
2021-10,10E200200,490924,245462,消耗品費,1731430,1976892,販売費及び一般管理費
2021-10,10E200210,10000,0,租税公課,177000,187000,販売費及び一般管理費
2021-10,10E200240,318820,0,保険料,1912920,2231740,販売費及び一般管理費
2021-10,10E200370,5230473,0,給料及び手当,31823531,37054004,販売費及び一般管理費
2021-10,10E200520,511380,0,雑給,2157927,2669307,販売費及び一般管理費
2021-10,10E200540,721981,0,法定福利費,4869714,5591695,販売費及び一般管理費
2021-10,10E200600,139710,0,支払報酬,838260,977970,販売費及び一般管理費
2021-10,10E200690,12021,0,支払手数料,71762,83783,販売費及び一般管理費
2021-10,10E200720,3449000,0,地代家賃,20664000,24113000,販売費及び一般管理費
2021-10,10E200730,587700,0,借地借家料,1469250,2056950,販売費及び一般管理費
2021-10,10E200870,3809965,0,運賃,21674568,25484533,販売費及び一般管理費
2021-10,10E201000,35850,0,修繕維持費,247950,283800,販売費及び一般管理費
2021-10,10E201040,570843,0,水道光熱費,3495166,4066009,販売費及び一般管理費
2021-10,10E201110,107382,0,事務用消耗品費,791804,899186,販売費及び一般管理費
2021-10,10E201120,641028,0,車両費,3624090,4265118,販売費及び一般管理費
2021-10,10E201130,24995,0,会議費,180449,205444,販売費及び一般管理費
2021-10,10E201140,116000,0,諸会費,696000,812000,販売費及び一般管理費
2021-10,10E201160,24982,0,図書費,149892,174874,販売費及び一般管理費
2021-10,10E201230,1059415,0,旅費及び交通費,6103127,7162542,販売費及び一般管理費
2021-10,10E201270,474957,0,雑費,2880631,3355588,販売費及び一般管理費
2021-10,10E300020,154905,0,支払利息,723109,878014,営業外費用
2021-11,10A100020,91339458,98314138,現金及び預金,91071427,84096747,流動資産
2021-11,10A100060,32645380,25396533,受取手形,84971213,92220060,流動資産
2021-11,10A100090,70833354,64491260,売掛金,8059753327,8066095421,流動資産
2021-11,10A100610,600000,40000,短期貸付金,200000,760000,流動資産
2021-11,10A230570,125000,0,保険積立金,2403000,2528000,投資その他の資産
2021-11,10B100030,11730438,11951863,支払手形,34373708,34595133,流動負債
2021-11,10B100040,38562088,46735138,買掛金,248680803,256853853,流動負債
2021-11,10B100630,7833169,7644630,未払金,56677562,56489023,流動負債
2021-11,10B100690,2214708,1954908,預り金,5860241,5600441,流動負債
2021-11,10B100790,653500,0,短期借入金,3267500,2614000,流動負債
2021-11,10D100101,0,18406233,電子取引総売上高,126631172,145037405,売上高
2021-11,10D100102,0,52427121,電子取引以外総売上高,305350905,357778026,売上高
2021-11,10E100131,16732728,0,電子取引当期商品仕入高,91288011,108020739,売上原価
2021-11,10E100132,30002410,0,電子取引以外当期商品仕入高,170982677,200985087,売上原価
2021-11,10E200020,1841200,0,販売手数料,15003067,16844267,販売費及び一般管理費
2021-11,10E200050,191500,0,広告宣伝費,1221200,1412700,販売費及び一般管理費
2021-11,10E200090,1720000,0,役員報酬,12040000,13760000,販売費及び一般管理費
2021-11,10E200140,251143,0,福利厚生費,3201531,3452674,販売費及び一般管理費
2021-11,10E200150,339667,0,交際費,2175907,2515574,販売費及び一般管理費
2021-11,10E200180,993706,0,通信費,7784696,8778402,販売費及び一般管理費
2021-11,10E200200,467964,233982,消耗品費,1976892,2210874,販売費及び一般管理費
2021-11,10E200240,318820,0,保険料,2231740,2550560,販売費及び一般管理費
2021-11,10E200370,5195344,0,給料及び手当,37054004,42249348,販売費及び一般管理費
2021-11,10E200520,697190,0,雑給,2669307,3366497,販売費及び一般管理費
2021-11,10E200540,653956,0,法定福利費,5591695,6245651,販売費及び一般管理費
2021-11,10E200600,139710,0,支払報酬,977970,1117680,販売費及び一般管理費
2021-11,10E200690,12966,0,支払手数料,83783,96749,販売費及び一般管理費
2021-11,10E200720,3449000,0,地代家賃,24113000,27562000,販売費及び一般管理費
2021-11,10E200730,293850,0,借地借家料,2056950,2350800,販売費及び一般管理費
2021-11,10E200870,4570408,0,運賃,25484533,30054941,販売費及び一般管理費
2021-11,10E201000,17850,0,修繕維持費,283800,301650,販売費及び一般管理費
2021-11,10E201040,609480,0,水道光熱費,4066009,4675489,販売費及び一般管理費
2021-11,10E201110,111684,0,事務用消耗品費,899186,1010870,販売費及び一般管理費
2021-11,10E201120,701800,0,車両費,4265118,4966918,販売費及び一般管理費
2021-11,10E201130,24995,0,会議費,205444,230439,販売費及び一般管理費
2021-11,10E201140,116000,0,諸会費,812000,928000,販売費及び一般管理費
2021-11,10E201160,24982,0,図書費,174874,199856,販売費及び一般管理費
2021-11,10E201230,1004428,0,旅費及び交通費,7162542,8166970,販売費及び一般管理費
2021-11,10E201270,482901,0,雑費,3355588,3838489,販売費及び一般管理費
2021-11,10E300020,93029,0,支払利息,878014,971043,営業外費用
2021-12,10A100020,109246673,113157900,現金及び預金,84096747,80185520,流動資産
2021-12,10A100060,36485905,30842601,受取手形,92220060,97863364,流動資産
2021-12,10A100090,126101792,76112044,売掛金,8066095421,8116085169,流動資産
2021-12,10A100610,0,90000,短期貸付金,760000,670000,流動資産
2021-12,10A230570,125000,0,保険積立金,2528000,2653000,投資その他の資産
2021-12,10B100030,11432405,13738257,支払手形,34595133,36900985,流動負債
2021-12,10B100040,44783137,66146929,買掛金,256853853,278217645,流動負債
2021-12,10B100630,7823245,12199043,未払金,56489023,60864821,流動負債
2021-12,10B100690,2221208,2985045,預り金,5600441,6364278,流動負債
2021-12,10B100790,653500,0,短期借入金,2614000,1960500,流動負債
2021-12,10D100101,0,34159766,電子取引総売上高,145037405,179197171,売上高
2021-12,10D100102,0,91942026,電子取引以外総売上高,357778026,449720052,売上高
2021-12,10E100131,23316677,0,電子取引当期商品仕入高,108020739,131337416,売上原価
2021-12,10E100132,42830252,0,電子取引以外当期商品仕入高,200985087,243815339,売上原価
2021-12,10E200020,3156000,0,販売手数料,16844267,20000267,販売費及び一般管理費
2021-12,10E200050,191500,0,広告宣伝費,1412700,1604200,販売費及び一般管理費
2021-12,10E200090,1720000,0,役員報酬,13760000,15480000,販売費及び一般管理費
