sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local
262,2,Attribute,,Customer,Terms Discount Days,0..1,Integer,INTEGER,,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",Base,14,BS05_08,,
263,2,Attribute,,Customer,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,Base,14,BS05_09,,
270,2,Reference Association,,Customer,,0..1,,,Customer Type,A class contains detailed descriptions of customer categories.,Base,14,BS05_16,,
271,2,Reference Association,,Customer,Corresponding,0..1,,,Supplier,The supplier associated with or equivalent to a specific customer in business transactions.,Base,14,BS05_17,,
264,2,Composition,,Customer,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,14,BS05_10,,
265,2,Composition,,Customer,Billing,0..1,,,Address,"The address to which billing statements and invoices are sent for a customer, typically used for payment processing and correspondence.",Base,14,BS05_11,,
266,2,Composition,,Customer,Physical,0..1,,,Address,"The actual geographic location of a customer, including street name, number, city, and postal code, where the customer is physically located",Base,14,BS05_12,,
267,2,Composition,,Customer,Total Credit Limit,0..1,,,Amount,"The maximum monetary amount of credit available to a customer, as defined by the lending institution.",Base,14,BS05_13,,
268,2,Composition,,Customer,Transaction Credit Limit,0..1,,,Amount,"The maximum monetary amount a customer is authorized to borrow for a single transaction, as set by the credit provider.",Base,14,BS05_14,,
269,2,Composition,,Customer,Primary,0..1,,,Contact,"The main point of contact for a customer, typically responsible for communication and decision-making regarding business transactions.",Base,14,BS05_15,,
272,1,Class,,Customer Hierarchy,,,,,,A class defines the relationships between individual customers.,Base,14,BS06,,
273,2,Reference Association,PK,Customer Hierarchy,Child,1..1,,,Customer,The customer instance that is designated as a subordinate in a customer hierarchy structure.,Base,14,BS06_01,,
274,2,Reference Association,PK,Customer Hierarchy,Parent,1..1,,,Customer,The customer instance that is designated as a superior in a customer hierarchy structure.,Base,14,BS06_02,,
275,1,Class,,Customer Type,,,,,,A class contains detailed descriptions of customer categories.,Base,12,BS07,,
276,2,Attribute,PK,Customer Type,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the type of customer.,Base,12,BS07_01,,
277,2,Attribute,,Customer Type,Code,0..1,Code,CUSTOMER TYPE CODE,,The identifier that categorizes the type of customer within an organizational system.,Base,12,BS07_02,,
278,2,Attribute,,Customer Type,Name,0..1,Name,Name Medium,,The designation for the category of customers based on their attributes.,Base,12,BS07_03,,
279,1,Class,,Customer Type Hierarchy,,,,,,A class outlines the levels and relationships among different types of customers.,Base,12,BS08,,
280,2,Reference Association,PK,Customer Type Hierarchy,Child,1..1,,,Customer Type,The classification of customer that falls under a subordinate level within a customer type hierarchy.,Base,12,BS08_01,,
281,2,Reference Association,PK,Customer Type Hierarchy,Parent,1..1,,,Customer Type,The classification of customer that holds a superior level within a customer type hierarchy.,Base,12,BS08_02,,
318,1,Class,,General Ledger Journal Entry,,,,,,"A set of introductory fields in the General Ledger that provides the context for ledger entries, including identifiers like numbers, dates, and descriptive information.",General Ledger,52,GL01,,
319,2,Attribute,PK,General Ledger Journal Entry,ID,1..1,Identifier,Identifier Long,,The unique identifier for a journal entry.,General Ledger,52,GL01_01,,
320,2,Attribute,,General Ledger Journal Entry,Number,0..1,Char,Char Long,,The number for each journal entry in a financial recording system.,General Ledger,52,GL01_02,,
321,2,Attribute,,General Ledger Journal Entry,Effective Date,0..1,Date,DATE,,"The date that officially recognizes the journal entry within an entity's financial accounting records, irrespective of the actual entry creation or receipt date.",General Ledger,52,GL01_03,,
322,2,Attribute,,General Ledger Journal Entry,Description,0..1,Text,Text Medium,,The text that characterizes the overall journal entry.,General Ledger,52,GL01_04,,
325,2,Reference Association,,General Ledger Journal Entry,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,52,GL01_07,,
326,2,Reference Association,,General Ledger Journal Entry,,0..1,,,General Ledger Source,A class holds supplementary details about sources cited in the General Ledger. It documents the originating ERP system or accounting package and details the associated business processes represented by the data.,General Ledger,52,GL01_08,,
327,2,Reference Association,,General Ledger Journal Entry,,0..1,,,Journal Entry Type,"A class contains information for classifying entries in the General Ledger, clarifying the nature and purpose of each entry.",General Ledger,52,GL01_09,,
323,2,Composition,,General Ledger Journal Entry,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General Ledger,52,GL01_05,,
324,2,Composition,,General Ledger Journal Entry,,0..*,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,GL01_06,,
328,1,Class,,General Ledger Journal Entry Line,,,,,,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,GL02,,
329,2,Attribute,PK,General Ledger Journal Entry Line,Journal ID,1..1,Identifier,Identifier Long,,"Unique identifier for each journal entry line.
",General Ledger,52,GL02_01,,
330,2,Attribute,,General Ledger Journal Entry Line,Number,0..1,Identifier,Identifier Long,,The number for a line within a journal entry.,General Ledger,52,GL02_02,,
331,2,Attribute,,General Ledger Journal Entry Line,Description,0..1,Text,Text Medium,,The text that characterizes a line within a journal entry.,General Ledger,52,GL02_03,,
332,2,Attribute,,General Ledger Journal Entry Line,Debit or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",General Ledger,52,GL02_04,,
333,2,Attribute,,General Ledger Journal Entry Line,Reversal Indicator,0..1,Code,REVERSAL INDICATOR CODE,,A code that indicates if a general ledger entry line is a reversal or is to be reversed.,General Ledger,52,GL02_05,,
334,2,Attribute,,General Ledger Journal Entry Line,Reversal Journal ID,0..1,Char,Char Long,,The Journal ID of the journal entry line that corresponds to the original entry line being reversed if the Reversal Indicator is set.,General Ledger,52,GL02_06,,
335,2,Attribute,,General Ledger Journal Entry Line,Cancellation Indicator,0..1,Indicator,Indicator,,"Signifies whether a journal entry line, already formed but not yet posted, has been cancelled or not.",General Ledger,52,GL02_07,,
341,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Bank Account,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,52,GL02_13,,
342,2,Reference Association,,General Ledger Journal Entry Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,52,GL02_14,,
343,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Employee,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,52,GL02_15,,
344,2,Reference Association,,General Ledger Journal Entry Line,,0..1,,,Ledger Account,"The Ledger Account records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,52,GL02_16,,
345,2,Reference Association,,General Ledger Journal Entry Line,Account Segment,0..1,,,Project,Refers to a specific segment within the accounting system that contains information related to project,General Ledger,52,GL02_17,,
346,2,Reference Association,,General Ledger Journal Entry Line,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",General Ledger,52,GL02_18,,
336,2,Composition,,General Ledger Journal Entry Line,,0..*,,,Account Segment,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,52,GL02_08,,
337,2,Composition,,General Ledger Journal Entry Line,Unit Price,0..1,,,Amount,"The monetary amount refers to the price per unit of inventory or property, plant, and equipment (PPE).",General Ledger,52,GL02_09,,
338,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts.,General Ledger,52,GL02_10,,
339,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Bill,The initial source document associated with this journal entry.,General Ledger,52,GL02_11,,
340,2,Composition,,General Ledger Journal Entry Line,,0..1,,,Quantity,A class represents the number of items referenced in the journal entry line. It is particularly relevant for inventories or fixed assets.,General Ledger,52,GL02_12,,
347,1,Class,,General Ledger Period Balance,,,,,,"A class that includes the cumulative total and balance of all accounts within an accounting period. It calculates and presents the starting and ending balances, amounts over the period, and quantities of assets or resources, ensuring a comprehensive reflection of financial status and changes in the General Ledger.",General Ledger,58,GL03,,
348,2,Attribute,,General Ledger Period Balance,Beginning Balance Indicator,0..1,Code,DEBIT CREDIT CODE,,The designation that identifies whether the starting balance of an account is a debit or a credit.,General Ledger,58,GL03_01,,
349,2,Attribute,,General Ledger Period Balance,Ending Balance Indicator,0..1,Code,DEBIT CREDIT CODE,,The marker that specifies the nature of the account balance at the end of an accounting period as either a debit or a credit.,General Ledger,58,GL03_02,,
359,2,Reference Association,PK,General Ledger Period Balance,,1..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,58,GL03_12,,
360,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Bank Account,Refers to a specific segment within the accounting system that contains information related to bank accounts.,General Ledger,58,GL03_13,,
361,2,Reference Association,,General Ledger Period Balance,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,58,GL03_14,,
362,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Employee,Refers to a specific segment within the accounting system that contains information related to employee.,General Ledger,58,GL03_15,,
363,2,Reference Association,PK,General Ledger Period Balance,,1..1,,,Ledger Account,"records essential details of General Ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,58,GL03_16,,
364,2,Reference Association,,General Ledger Period Balance,,0..1,,,Measurement Unit,Ecompasses information regarding the unit of measurement (UOM).,General Ledger,58,GL03_17,,
365,2,Reference Association,,General Ledger Period Balance,Account Segment,0..1,,,Project,Refers to a specific segment within the accounting system that contains information related to project.,General Ledger,58,GL03_18,,
350,2,Composition,,General Ledger Period Balance,,0..*,,,Account Segment,"A class furnishes supplementary information for specific Ledger Accounts, enhancing the management of related data in an efficient manner.",General Ledger,58,GL03_03,,
351,2,Composition,,General Ledger Period Balance,Beginning Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,58,GL03_04,,
352,2,Composition,,General Ledger Period Balance,Credit,0..1,,,Amounts,"The multi-currency monetary amounts represents the total amount credited to an account during a specific accounting period. It reflects the cumulative sum of credit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,GL03_05,,
353,2,Composition,,General Ledger Period Balance,Debit,0..1,,,Amounts,"The multi-currency monetary amounts represents the total amount debited to an account during a specific accounting period. It reflects the cumulative sum of debit transactions recorded within the General Ledger, providing insight into the financial activity and changes within the specified period.",General Ledger,58,GL03_06,,
354,2,Composition,,General Ledger Period Balance,Ending Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period,General Ledger,58,GL03_07,,
355,2,Composition,,General Ledger Period Balance,Beginning,0..1,,,Quantity,"The initial amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the start of a period.",General Ledger,58,GL03_08,,
356,2,Composition,,General Ledger Period Balance,Credit,0..1,,,Quantity,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) credited during a specific accounting period. It represents the cumulative total of quantities associated with credit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,GL03_09,,
357,2,Composition,,General Ledger Period Balance,Debit,0..1,,,Quantity,"Denotes the quantity of inventory or Property, Plant, and Equipment (PPE) debited during a specific accounting period. It represents the cumulative total of quantities associated with debit transactions recorded within the General Ledger, offering insights into the inventory or PPE movements over the specified period.",General Ledger,58,GL03_10,,
358,2,Composition,,General Ledger Period Balance,Ending,0..1,,,Quantity,"The final amount of items in the inventory or the Property, Plant, and Equipment (PPE) account at the end of a period.",General Ledger,58,GL03_11,,
366,1,Class,,General Ledger Source,,,,,,"A class details the origins of data in the General Ledger Journal Entry, including the ERP systems or accounting packages involved and the related business processes.",General Ledger,54,GL04,,
367,2,Attribute,PK,General Ledger Source,Code,1..1,Identifier,Identifier Short,,The unique code indicating the origin of a journal entry.,General Ledger,54,GL04_01,,
368,2,Attribute,,General Ledger Source,Description,0..1,Text,Text Medium,,The explanation of the source system for the general ledger.,General Ledger,54,GL04_02,,
369,2,Attribute,,General Ledger Source,ERP Subledger Module,0..1,Char,Char Long,,"The specific subledger or ERP module source of a journal entry, reflecting the origin within the accounting system or process.",General Ledger,54,GL04_03,,
370,2,Attribute,,General Ledger Source,System Manual Code,0..1,Code,SYSTEM MANUAL CODE,,A code that denotes whether a journal entry was created automatically by the system or by input manually.,General Ledger,54,GL04_04,,
371,2,Attribute,,General Ledger Source,Business Process Major,0..1,Char,Char Long,,The main category of business activities as recorded in the general ledger.,General Ledger,54,GL04_05,,
372,2,Attribute,,General Ledger Source,Business Process Minor,0..1,Char,Char Long,,The specific activities or sub-categories within a broader business process context.,General Ledger,54,GL04_06,,
373,1,Class,,General Ledger Trial Balance,,,,,,"A class contains ledger account balances within the accounting system, presenting ending balances at a specific point in time to ensure consistency with the General Ledger entries.",General Ledger,50,GL05,,
374,2,Attribute,,General Ledger Trial Balance,Balance As Of Date,0..1,Date,DATE,,The date specifying the point until which the general ledger trial balance is accurate and inclusive of all account transactions.,General Ledger,50,GL05_01,,
377,2,Reference Association,PK,General Ledger Trial Balance,,1..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,50,GL05_04,,
378,2,Reference Association,,General Ledger Trial Balance,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,General Ledger,50,GL05_05,,
379,2,Reference Association,PK,General Ledger Trial Balance,,1..1,,,Ledger Account,The unique identifier for a ledger account within the general ledger trial balance.,General Ledger,50,GL05_06,,
375,2,Composition,,General Ledger Trial Balance,Beginning Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the start of a specified accounting period.,General Ledger,50,GL05_02,,
376,2,Composition,,General Ledger Trial Balance,Ending Balance,0..1,,,Amounts,The multi-currency monetary amounts represents the monetary values of ledger accounts at the end of a specified accounting period.,General Ledger,50,GL05_03,,
458,1,Class,,Inventory Product,,,,,,A class that describes an inventory item with all its essential attributes and tracking details.,Inventory,125,IV01,,
459,2,Attribute,PK,Inventory Product,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an inventory item.,Inventory,125,IV01_01,,
460,2,Attribute,,Inventory Product,Code,0..1,Char,Char Long,,The exclusive code assigned to a product within an inventory system for tracking and internal management.,Inventory,125,IV01_02,,
461,2,Attribute,,Inventory Product,Product Group1,0..1,Char,Char Short,,The primary category or classification to which a product belongs.,Inventory,125,IV01_03,,
462,2,Attribute,,Inventory Product,Product Group2,0..1,Char,Char Short,,The secondary category or classification to which a product belongs.,Inventory,125,IV01_04,,
463,2,Attribute,,Inventory Product,Inventory Bar Code,0..1,Char,Char Medium,,The barcode symbol assigned to a product for unique identification and tracking.,Inventory,125,IV01_05,,
464,2,Attribute,,Inventory Product,Default Costing Method,0..1,Char,Char Medium,,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",Inventory,125,IV01_06,,
465,2,Attribute,,Inventory Product,Out Of Service Date,0..1,Date,DATE,,The date on which an inventory item is designated as no longer in service.,Inventory,125,IV01_07,,
466,2,Attribute,,Inventory Product,Out Of Service Indicator,0..1,Indicator,Indicator,,The indicator that denotes whether an inventory item is out of service.,Inventory,125,IV01_08,,
467,2,Attribute,,Inventory Product,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,Inventory,125,IV01_09,,
468,2,Attribute,,Inventory Product,Serial Number,0..1,Char,Char Medium,,"The number for an individual item within a group of products, used for tracking and inventory management.",Inventory,125,IV01_10,,
469,2,Reference Association,,Inventory Product,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Inventory,125,IV01_11,,
470,2,Reference Association,,Inventory Product,,0..1,,,Inventory Product Type,The inventory product type classification.,Inventory,125,IV01_12,,
471,2,Reference Association,,Inventory Product,Asset,0..1,,,Ledger Account,The ledger account that tracks the value of inventory products classified as assets.,Inventory,125,IV01_13,,
472,2,Reference Association,,Inventory Product,Cost,0..1,,,Ledger Account,The ledger account that records the costs associated with inventory products.,Inventory,125,IV01_14,,
473,2,Reference Association,,Inventory Product,Basic,0..1,,,Measurement Unit,The class represents a n unit of measure for the quantity of an inventory product utilized in stock management.,Inventory,125,IV01_15,,
474,2,Reference Association,,Inventory Product,Default Stocking,0..1,,,Measurement Unit,The class represents a unit of measure typically used for stocking this inventory product.,Inventory,125,IV01_16,,
475,2,Reference Association,,Inventory Product,Preferred,0..1,,,Supplier,The class containing essential information about prefered supplier.,Inventory,125,IV01_17,,
476,1,Class,,Inventory Product Type,,,,,,A class that categorizes inventory items into types and organizes these types within a hierarchical structure.,Inventory,123,IV02,,
479,2,Attribute,,Inventory Product Type,Name,0..1,Name,Name Medium,,The label that identifies the classification of inventory items based on their stage in the production cycle or their function.,Inventory,123,IV02_03,,
480,2,Attribute,,Inventory Product Type,Description,0..1,Text,Text Medium,,The text that details the attributes and categorization criteria of an inventory product type.,Inventory,123,IV02_04,,
482,1,Class,,Inventory Product Type Hierarchy,,,,,,A class outlines the structure and relationships of different product types.,Inventory,123,IV03,,
483,2,Reference Association,PK,Inventory Product Type Hierarchy,Child,1..1,,,Inventory Product Type,The specific category of product type that is classified at a subordinate level within a product type hierarchy.,Inventory,123,IV03_01,,
484,2,Reference Association,PK,Inventory Product Type Hierarchy,Parent,1..1,,,Inventory Product Type,The specific category of product type that is classified at a superior level within a product type hierarchy.,Inventory,123,IV03_02,,
559,1,Class,,Journal Entry Type,,,,,,A class details the types of journal entries in the General Ledger such as cash receipts and cash disbursements.,Base,24,BS09,,
560,2,Attribute,PK,Journal Entry Type,Code,1..1,Identifier,Identifier Medium,,The unique code specifying the type of journal entry.,Base,24,BS09_01,,
561,2,Attribute,,Journal Entry Type,Name,0..1,Name,Name Short,,The label that identifies the category of a journal entry within the accounting system.,Base,24,BS09_02,,
562,2,Attribute,,Journal Entry Type,Abbreviation,0..1,Char,Char Short,,The shortened for the label that identifies the category of a journal entry within the accounting system.m representing the type of a journal entry.,Base,24,BS09_03,,
563,2,Attribute,,Journal Entry Type,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a journal entry type is currently valid for recording transactions.,Base,24,BS09_04,,
564,1,Class,,Ledger Account,,,,,,A class stores information about General Ledger accounts.,Base,20,BS10,,
565,2,Attribute,PK,Ledger Account,Account Number,1..1,Identifier,LEDGER ACCOUNT NUMBER,,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Base,20,BS10_01,,
566,2,Attribute,,Ledger Account,Account Name,0..1,Name,Name Medium,,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,Base,20,BS10_02,,
567,2,Attribute,,Ledger Account,Description,0..1,Text,Text Medium,,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,Base,20,BS10_03,,
568,2,Attribute,,Ledger Account,Financial Statement Caption,0..1,Char,Char Long,,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",Base,20,BS10_04,,
569,2,Attribute,,Ledger Account,Account Type,0..1,Char,ACCOUNT TYPE,,The classification of an account reflecting its nature and purpose.,Base,20,BS10_05,,
