sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id
461,2,Attribute,,JP Product.Inventory Product,Product Group1,0..1,Char,Char Short,,The primary category or classification to which a product belongs.,JP,125,JP01_IV06_03
462,2,Attribute,,JP Product.Inventory Product,Product Group2,0..1,Char,Char Short,,The secondary category or classification to which a product belongs.,JP,125,JP01_IV06_04
463,2,Attribute,,JP Product.Inventory Product,Inventory Bar Code,0..1,Char,Char Medium,,The barcode symbol assigned to a product for unique identification and tracking.,JP,125,JP01_IV06_05
464,2,Attribute,,JP Product.Inventory Product,Default Costing Method,0..1,Char,Char Medium,,"The method an organization uses to compute and record the financial value of inventory items, important for precise cost of goods sold reporting and inventory valuation on financial statements.",JP,125,JP01_IV06_06
465,2,Attribute,,JP Product.Inventory Product,Out Of Service Date,0..1,Date,DATE,,The date on which an inventory item is designated as no longer in service.,JP,125,JP01_IV06_07
466,2,Attribute,,JP Product.Inventory Product,Out Of Service Indicator,0..1,Indicator,Indicator,,The indicator that denotes whether an inventory item is out of service.,JP,125,JP01_IV06_08
467,2,Attribute,,JP Product.Inventory Product,Lot Number,0..1,Char,Char Medium,,The number for a batch of products for tracking and inventory management purposes.,JP,125,JP01_IV06_09
468,2,Attribute,,JP Product.Inventory Product,Serial Number,0..1,Char,Char Medium,,"The number for an individual item within a group of products, used for tracking and inventory management.",JP,125,JP01_IV06_10
469,2,Reference Association,,JP Product.Inventory Product,,0..*,,,Business Segment,The class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,125,JP01_IV06_11
470,2,Reference Association,,JP Product.Inventory Product,,0..1,,,Inventory Product Type,The inventory product type classification.,JP,125,JP01_IV06_12
471,2,Reference Association,,JP Product.Inventory Product,Asset,0..1,,,Ledger Account,The ledger account that tracks the value of inventory products classified as assets.,JP,125,JP01_IV06_13
472,2,Reference Association,,JP Product.Inventory Product,Cost,0..1,,,Ledger Account,The ledger account that records the costs associated with inventory products.,JP,125,JP01_IV06_14
473,2,Reference Association,,JP Product.Inventory Product,Basic,0..1,,,Measurement Unit,The class represents a n unit of measure for the quantity of an inventory product utilized in stock management.,JP,125,JP01_IV06_15
474,2,Reference Association,,JP Product.Inventory Product,Default Stocking,0..1,,,Measurement Unit,The class represents a unit of measure typically used for stocking this inventory product.,JP,125,JP01_IV06_16
475,2,Reference Association,,JP Product.Inventory Product,Preferred,0..1,,,Supplier,The class containing essential information about prefered supplier.,JP,125,JP01_IV06_17
3,2,Attribute,,JP Product,Description,0..1,Text,TAX CATEGORY CODE,,A textual name or description for inventory product.,JP,0,JP01_01
4,1,Class,,JP Tax Type,,,,,,A class that has been updated to comply with the reporting requirements of the Japanese Tax Agency for consumption tax. This includes the inclusion of the tax category code to enhance specificity and adherence to regulatory standards.,JP,0,JP02
950,2,Attribute,PK,JP Tax Type.Tax Type,Code,1..1,Identifier,TAX TYPE CODE,,The unique code used to classify a tax type.,JP,42,JP02_BS28_01
951,2,Attribute,,JP Tax Type.Tax Type,Tax Name,0..1,Name,Name Medium,,The official title assigned to a category of tax.,JP,42,JP02_BS28_02
952,2,Attribute,,JP Tax Type.Tax Type,Description,0..1,Text,Text Medium,,The details that define and categorize a specific tax type.,JP,42,JP02_BS28_03
953,2,Attribute,,JP Tax Type.Tax Type,Tax Code Description,0..1,Text,Text Medium,,The narrative that clarifies the specific tax code and its application within the broader tax type.,JP,42,JP02_BS28_04
954,2,Attribute,,JP Tax Type.Tax Type,Tax Percentage,0..1,Decimal,Percent,,The standard rate applied to a specific tax type and code.,JP,42,JP02_BS28_05
955,2,Reference Association,,JP Tax Type.Tax Type,,0..*,,,Business Segment,The class represents the business unit associated with reporting activities within the auditee's organization.,JP,42,JP02_BS28_06
956,2,Reference Association,,JP Tax Type.Tax Type,,0..1,,,Tax Regulatory,"The class that holds regulatory information related to taxation, providing instructions for compliance with tax laws across different jurisdictions.",JP,42,JP02_BS28_07
6,2,Attribute,,JP Tax Type,Tax Category Code,0..1,Code,TAX CATEGORY CODE,,"UNTDID 5305  Duty or tax or fee category code is a crucial element in trade and financial documentation, facilitating accurate and efficient identification and processing of various tax and fee categories.",JP,0,JP02_01
7,1,Class,,Consumption Tax Subtotal,,,,,,Consumption Tax Subtotal by Tax Category information.,JP,0,JP03
931,2,Composition,,Consumption Tax Subtotal.Tax,Local,0..1,,,Amount,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",JP,0,JP03_GE16_01
932,2,Composition,,Consumption Tax Subtotal.Tax,Transaction,0..1,,,Amount,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",JP,0,JP03_GE16_02
11,2,Reference Association,,Consumption Tax Subtotal,,0..1,,,JP Ledger Account,A class stores information about General Ledger accounts.,JP,0,JP03_03
13,2,Composition,,Consumption Tax Subtotal,,0..1,,,JP Tax Type,"A class provides a comprehensive classification of various tax types encountered by businesses in Japan, ensuring precise tax reporting and compliance. It includes distinct categories and attributes to accurately represent each tax type, facilitating alignment with regulatory requirements and enhancing data interoperability in tax-related processes.",JP,0,JP03_05
14,2,Composition,,Consumption Tax Subtotal,Taxable Local,0..1,,,Amount,The net amount to which the tax percent (rate) is applied to calculate the tax amount in transaction currency code.,JP,0,JP03_06
15,2,Composition,,Consumption Tax Subtotal,Taxable Transaction,0..1,,,Amount,The net amount to which the tax percent (rate) is applied to calculate the tax amount in transaction currency code.,JP,0,JP03_07
16,1,Class,,Consumption Tax Line,,,,,,"A class refers to the specific entry for consumption tax within a document. It excludes the tax amount from the shared ""Tax"" definition to ensure clear distinction and accuracy in tax reporting.",JP,0,JP04
931,2,Composition,,Consumption Tax Line.Tax,Local,0..1,,,Amount,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",JP,0,JP04_GE16_01
932,2,Composition,,Consumption Tax Line.Tax,Transaction,0..1,,,Amount,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",JP,0,JP04_GE16_02
20,2,Reference Association,,Consumption Tax Line,,0..1,,,Ledger Account,"While this ledger account is designated for recording debits linked to tax transactions, the assignment of debit or credit is determined by the Debit or Credit Code specified in the journal entry line. It's worth noting that this attribute is not employed in Japan.",JP,0,JP04_03
22,2,Composition,,Consumption Tax Line,,0..1,,,JP Tax Type,"A class provides a comprehensive classification of various tax types encountered by businesses in Japan, ensuring precise tax reporting and compliance. It includes distinct categories and attributes to accurately represent each tax type, facilitating alignment with regulatory requirements and enhancing data interoperability in tax-related processes.",JP,0,JP04_05
23,1,Class,,Subsidiary Ledger Account,,,,,,"A class for  an account within a subsidiary ledger that holds transaction details specific to a particular customer, vendor, asset, or other individual entity. Each account is associated with a unique subsidiary account number and corresponding details in the general ledger. The ledger serves as a detailed companion to the general ledger for managing detailed accounting transactions.",JP,0,JP05
24,2,Attribute,,Subsidiary Ledger Account,Subsidiary Item Number,0..1,Char,Short Char,,The number of subsidiary item,JP,0,JP05_01
25,2,Attribute,,Subsidiary Ledger Account,Subsidiary Item Name,0..1,Name,Short Name,,The name of subsidiary item,JP,0,JP05_02
26,2,Attribute,,Subsidiary Ledger Account,Code List Name,0..1,Name,Short Name,,"The data file that is linked to and provides detailed information relevant to The specific subsidiary item. Each file contains records pertinent to its associated entity, facilitating the management and retrieval of entity-specific data within the subsidiary ledger system.",JP,0,JP05_03
27,2,Attribute,,Subsidiary Ledger Account,Description of Code List Name,0..1,Text,Short Text,,The detailed description of subsidiary item,JP,0,JP05_04
28,1,Class,,JP Ledger Account,,,,,,A class stores information about General Ledger accounts.,JP,0,JP06
565,2,Attribute,PK,JP Ledger Account.Ledger Account,Account Number,1..1,Identifier,LEDGER ACCOUNT NUMBER,,"The unique identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,20,JP06_BS16_01
566,2,Attribute,,JP Ledger Account.Ledger Account,Account Name,0..1,Name,Name Medium,,The official title assigned to a general ledger account that uniquely identifies it within an accounting framework.,JP,20,JP06_BS16_02
567,2,Attribute,,JP Ledger Account.Ledger Account,Description,0..1,Text,Text Medium,,The descriptive label or text providing additional details about a general ledger account that corresponds to the General Ledger Account Number.,JP,20,JP06_BS16_03
568,2,Attribute,,JP Ledger Account.Ledger Account,Financial Statement Caption,0..1,Char,Char Long,,"The label utilized within financial statements to aggregate and present related financial account details, facilitating the organization and understanding of a company's financial data as reported in its financial statements.",JP,20,JP06_BS16_04
569,2,Attribute,,JP Ledger Account.Ledger Account,Account Type,0..1,Char,ACCOUNT TYPE,,The classification of an account reflecting its nature and purpose.,JP,20,JP06_BS16_05
570,2,Attribute,,JP Ledger Account.Ledger Account,Account Subtype,0..1,Char,ACCOUNT TYPE,,The classification detailing a more specific categorization within an account type.,JP,20,JP06_BS16_06
571,2,Attribute,,JP Ledger Account.Ledger Account,Account Hierarchy,0..1,Code,ACCOUNT HIERARCHY,,The class representing the structured levels of account classification within an organization's accounting system.,JP,20,JP06_BS16_07
572,2,Attribute,,JP Ledger Account.Ledger Account,Balance Debit Or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"The classification identifying the natural balance of an account, denoted by 'D' for a debit balance, or 'C' for a credit balance.",JP,20,JP06_BS16_08
573,2,Attribute,,JP Ledger Account.Ledger Account,Active Indicator,0..1,Indicator,Indicator,,The flag indicating if a general ledger account is currently open and being used for accounting.,JP,20,JP06_BS16_09
574,2,Reference Association,,JP Ledger Account.Ledger Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,20,JP06_BS16_10
30,2,Composition,,JP Ledger Account,,0..*,,,Subsidiary Ledger Account,"The class for  an account within a subsidiary ledger that holds transaction details specific to a particular customer, vendor, asset, or other individual entity.",JP,0,JP06_01
31,1,Class,,JP Journal Entry,,,,,,"A class contains all of the journal entry details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",JP,0,JP07
319,2,Attribute,PK,JP Journal Entry.General Ledger Journal Entry,ID,1..1,Identifier,Identifier Long,,The unique identifier for a journal entry.,JP,52,JP07_GL02_01
320,2,Attribute,,JP Journal Entry.General Ledger Journal Entry,Number,0..1,Char,Char Long,,The number for each journal entry in a financial recording system.,JP,52,JP07_GL02_02
321,2,Attribute,,JP Journal Entry.General Ledger Journal Entry,Effective Date,0..1,Date,DATE,,"The date that officially recognizes the journal entry within an entity's financial accounting records, irrespective of the actual entry creation or receipt date.",JP,52,JP07_GL02_03
322,2,Attribute,,JP Journal Entry.General Ledger Journal Entry,Description,0..1,Text,Text Medium,,The text that characterizes the overall journal entry.,JP,52,JP07_GL02_04
323,2,Composition,,JP Journal Entry.General Ledger Journal Entry,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,52,JP07_GL02_05
325,2,Reference Association,,JP Journal Entry.General Ledger Journal Entry,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",JP,52,JP07_GL02_07
326,2,Reference Association,,JP Journal Entry.General Ledger Journal Entry,,0..1,,,General Ledger Source,A class holds supplementary details about sources cited in the General Ledger. It documents the originating ERP system or accounting package and details the associated business processes represented by the data.,JP,52,JP07_GL02_08
327,2,Reference Association,,JP Journal Entry.General Ledger Journal Entry,,0..1,,,Journal Entry Type,"A class contains information for classifying entries in the General Ledger, clarifying the nature and purpose of each entry.",JP,52,JP07_GL02_09
35,2,Composition,,JP Journal Entry,,1..*,,,JP Journal Entry Line,"Contains all of the journal entry line details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",JP,0,JP07_03
36,1,Class,,JP Journal Entry Line,,,,,,"A class contains all of the journal entry line details for each transaction (e.g. associated journal entry ID, associated account number, debits or credits associated with the journal entry line). This table should be at the journal entry line level.",JP,0,JP08
329,2,Attribute,PK,JP Journal Entry Line.General Ledger Journal Entry Line,Journal ID,1..1,Identifier,Identifier Long,,"Unique identifier for each journal entry line.
",JP,52,JP08_GL03_01
330,2,Attribute,,JP Journal Entry Line.General Ledger Journal Entry Line,Number,0..1,Identifier,Identifier Long,,The number for a line within a journal entry.,JP,52,JP08_GL03_02
331,2,Attribute,,JP Journal Entry Line.General Ledger Journal Entry Line,Description,0..1,Text,Text Medium,,The text that characterizes a line within a journal entry.,JP,52,JP08_GL03_03
333,2,Attribute,,JP Journal Entry Line.General Ledger Journal Entry Line,Reversal Indicator,0..1,Code,REVERSAL INDICATOR CODE,,A code that indicates if a general ledger entry line is a reversal or is to be reversed.,JP,52,JP08_GL03_05
334,2,Attribute,,JP Journal Entry Line.General Ledger Journal Entry Line,Reversal Journal ID,0..1,Char,Char Long,,The Journal ID of the journal entry line that corresponds to the original entry line being reversed if the Reversal Indicator is set.,JP,52,JP08_GL03_06
335,2,Attribute,,JP Journal Entry Line.General Ledger Journal Entry Line,Cancellation Indicator,0..1,Indicator,Indicator,,"Signifies whether a journal entry line, already formed but not yet posted, has been cancelled or not.",JP,52,JP08_GL03_07
337,2,Composition,,JP Journal Entry Line.General Ledger Journal Entry Line,Unit Price,0..1,,,Amount,"The monetary amount refers to the price per unit of inventory or property, plant, and equipment (PPE).",JP,52,JP08_GL03_09
339,2,Composition,,JP Journal Entry Line.General Ledger Journal Entry Line,,0..1,,,Bill,The initial source document associated with this journal entry.,JP,52,JP08_GL03_11
340,2,Composition,,JP Journal Entry Line.General Ledger Journal Entry Line,,0..1,,,Quantity,A class represents the number of items referenced in the journal entry line. It is particularly relevant for inventories or fixed assets.,JP,52,JP08_GL03_12
341,2,Reference Association,,JP Journal Entry Line.General Ledger Journal Entry Line,Account Segment,0..1,,,Bank Account,Refers to a specific segment within the accounting system that contains information related to bank accounts.,JP,52,JP08_GL03_13
343,2,Reference Association,,JP Journal Entry Line.General Ledger Journal Entry Line,Account Segment,0..1,,,Employee,Refers to a specific segment within the accounting system that contains information related to employee.,JP,52,JP08_GL03_15
345,2,Reference Association,,JP Journal Entry Line.General Ledger Journal Entry Line,Account Segment,0..1,,,Project,Refers to a specific segment within the accounting system that contains information related to project,JP,52,JP08_GL03_17
346,2,Reference Association,,JP Journal Entry Line.General Ledger Journal Entry Line,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",JP,52,JP08_GL03_18
44,2,Composition,,JP Journal Entry Line,Debit,0..1,,,JP Ledger Account,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_07
45,2,Composition,,JP Journal Entry Line,Debit,0..1,,,Amounts,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_08
46,2,Composition,,JP Journal Entry Line,Debit,0..1,,,Consumption Tax Subtotal,"Consumption Tax Subtotal by Tax Category information. In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_09
47,2,Composition,,JP Journal Entry Line,Debit,0..*,,,Business Segment,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_10
48,2,Composition,,JP Journal Entry Line,Credit,0..1,,,JP Ledger Account,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_11
49,2,Composition,,JP Journal Entry Line,Credit,0..1,,,Amounts,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_12
50,2,Composition,,JP Journal Entry Line,Credit,0..1,,,Consumption Tax Subtotal,"Consumption Tax Subtotal by Tax Category information. In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_13
51,2,Composition,,JP Journal Entry Line,Credit,0..*,,,Business Segment,"In Japan, a horizontal ledger format is commonly used for journal entries, which involves specifying the debit account and amount alongside the credit account and amount. This approach replaces the vertical journal entry method that utilizes debit/credit codes. Consequently, the traditional method of designating debit or credit through codes is not prevalent in Japanese accounting practices.",JP,0,JP08_14
70,1,Class,,JP Purchase Invoice,,,,,,Contains the summery information for the purchase invoices. JP extension for consumption tax subtotal by tax category for consumption tax.,JP,0,JP11
524,2,Attribute,PK,JP Purchase Invoice.JP Invoice,ID,1..1,Identifier,Identifier Medium,,The unique identifier for an invoice.,JP,0,JP11_JP09_GE11_01
525,2,Attribute,,JP Purchase Invoice.JP Invoice,Number,0..1,Char,Char Long,,The number for an invoice.,JP,0,JP11_JP09_GE11_02
526,2,Attribute,,JP Purchase Invoice.JP Invoice,Official Invoice Code,0..1,Char,Char Short,,The identifier for an invoice that is assigned by tax authorities.,JP,0,JP11_JP09_GE11_03
527,2,Attribute,,JP Purchase Invoice.JP Invoice,Type Name,0..1,Name,Name Short,,The descriptor that categorizes the nature of an invoice.,JP,0,JP11_JP09_GE11_04
528,2,Attribute,,JP Purchase Invoice.JP Invoice,Date,0..1,Date,DATE,,The official date recorded on an invoice which initiates the calculation period for payment due.,JP,0,JP11_JP09_GE11_05
529,2,Attribute,,JP Purchase Invoice.JP Invoice,Due Date,0..1,Date,DATE,,The date by which payment for an invoice is required.,JP,0,JP11_JP09_GE11_06
530,2,Attribute,,JP Purchase Invoice.JP Invoice,Terms Discount Percentage,0..1,Decimal,Percent,,The percentage of discount offered by a supplier when payment is made within the specified discount days.,JP,0,JP11_JP09_GE11_07
531,2,Attribute,,JP Purchase Invoice.JP Invoice,Terms Discount Days,0..1,Integer,INTEGER,,The number of days from the invoice date that the customer is eligible for the discount if payment is made.,JP,0,JP11_JP09_GE11_08
532,2,Attribute,,JP Purchase Invoice.JP Invoice,Terms Due Days,0..1,Integer,INTEGER,,The standard time period in days before a customer's payment is considered overdue.,JP,0,JP11_JP09_GE11_09
533,2,Attribute,,JP Purchase Invoice.JP Invoice,Grouping Code,0..1,Char,Char Long,,The code that aggregates related invoices for consolidated processing or organizational purposes within an ERP system.,JP,0,JP11_JP09_GE11_10
534,2,Attribute,,JP Purchase Invoice.JP Invoice,Status,0..1,Code,STATUS CODE,,The current state of the invoice's lifecycle.,JP,0,JP11_JP09_GE11_11
535,2,Attribute,,JP Purchase Invoice.JP Invoice,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for an invoice.,JP,0,JP11_JP09_GE11_12
536,2,Composition,,JP Purchase Invoice.JP Invoice,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,JP11_JP09_GE11_13
539,2,Reference Association,,JP Purchase Invoice.JP Invoice,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",JP,0,JP11_JP09_GE11_16
540,2,Reference Association,,JP Purchase Invoice.JP Invoice,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,JP,0,JP11_JP09_GE11_17
541,2,Reference Association,,JP Purchase Invoice.JP Invoice,,0..1,,,Payment Term,"A class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",JP,0,JP11_JP09_GE11_18
542,2,Reference Association,,JP Purchase Invoice.JP Invoice,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",JP,0,JP11_JP09_GE11_19
56,2,Composition,,JP Purchase Invoice.JP Invoice,,0..1,,,Amounts,Supporting multicurrency monetary amounts.,JP,0,JP11_JP09_03
57,2,Composition,,JP Purchase Invoice.JP Invoice,,0..*,,,Consumption Tax Subtotal,Add Consumption Tax Subtotal by Tax Category information.,JP,0,JP11_JP09_04
58,2,Composition,,JP Purchase Invoice.JP Invoice,Settlement Organization,0..1,,,Business Segment,ADC lacks this necessary information for settlement organization.,JP,0,JP11_JP09_05
72,2,Composition,,JP Purchase Invoice,,1,,,Supplier,Required to specify supplier for this purchase order.,JP,0,JP11_01
73,2,Composition,,JP Purchase Invoice,,0..*,,,JP Purchase Invoice Line,Line information of the purchase invoice.,JP,0,JP11_02
74,1,Class,,JP Purchase Invoice Line,,,,,,Contains line item details for the purchase invoices. JP extension for the consumption tax.,JP,0,JP12
