No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action,要素名,要素定義,
1031,2,Attribute,,Entry Header SA,Entry Date,Date,,0..0,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",gl-cor,,,,入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,gl-cor:enteredDate
1032,2,Attribute,,Entry Header SA,Responsible Person,Name,,0..0,Identifier of person who created or originated or is otherwise responsible for the entry.,gl-cor,,,,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,gl-bus:entryResponsiblePerson
1033,2,Attribute,,Entry Header SA,Source Journal,Char,,0..0,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:\ncd      cash disbursements (sending cheques to vendors)\ncr      cash receipts (receiving cheques from others)\nfa      fixed assets\ngi      giro/other bank adjustments\ngj      general journal\nim      inventory management\njc      job cost\npj      purchase journal (liabilities from purchases)\npl      payroll journal\nsj      sales journal\nse      standard entries\nud      user defined\not      other sources of entries""",gl-cor,,,,元仕訳帳種別,元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。\n出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他\n[設定値のリスト]\n(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他),gl-cor:sourceJournalID
1034,2,Attribute,,Entry Header SA,Journal Description,Text,,0..0,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",gl-cor,,,,元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計士入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,gl-bus:sourceJournalDescription
1035,2,Attribute,,Entry Header SA,Type Identifier,Char,,0..0,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,,,,種別識別子,以下の値のうちのひとつ。\n整理、予算、比較、外部会計士、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他\n[設定値のリスト]\n(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計士)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他),gl-cor:entryType
1036,2,Attribute,,Entry Header SA,Entry Origin,Char,,0..0,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",gl-cor,,,,仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,gl-bus:entryOrigin
1037,2,Attribute,,Entry Header SA,Entry Description,Char,,0..0,Description of entry described by this entry header (e.g. Opening Balance),gl-cor,,,,仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高)\n,gl-cor:entryComment
1038,2,Attribute,,Entry Header SA,Entry Qualifier,Char,,0..0,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,,,,仕訳修飾子,仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他\n[設定値のリスト]\n(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他) ,gl-cor:qualifierEntry
1039,2,Attribute,,Entry Header SA,Entry Qualifier Description,Char,,0..0,Free format description of the entry qualifier,gl-cor,,,,仕訳修飾子説明,仕訳の修飾子の説明。,gl-cor:qualifierEntryDescription
1040,2,Attribute,,Entry Header SA,Posting Code,Char,,0..0,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",gl-cor,,,,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,gl-bus:postingCode
1041,2,Attribute,,Entry Header SA,Batch ID for Entry Group,Char,,0..0,ID for a batch for this group of entries,gl-cor,,,,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,gl-bus:batchID
1042,2,Attribute,,Entry Header SA,Batch Description,Char,,0..0,Description of this batch,gl-cor,,,,仕訳グループ説明,この仕訳の束の説明。,gl-bus:batchDescription
1043,2,Attribute,,Entry Header SA,Number of Entries,Char,,0..0,The total number of entries.,gl-cor,,,,仕訳総数,仕訳の総数。,gl-bus:numberOfEntries
1044,2,Attribute,,Entry Header SA,Type of Difference Between Book and Tax,Char,,0..0,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,,,,帳簿価税務簿価差異種別,帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。\n[設定値のリスト]\n(permanent：永久)、(temporary：一時的)、(none：無し),gl-cor:bookTaxDifference
1045,2,Attribute,,Entry Header SA,Elimination Code,Char,,0..0,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-cor,,,,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,gl-bus:eliminationCode
1046,2,Attribute,,Entry Header SA,Budget Scenario Period Start,Date,,0..0,Start of period covered by associated budgetScenario,gl-cor,,,,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,gl-bus:budgetScenarioPeriodStart
1047,2,Attribute,,Entry Header SA,Budget Scenario Period End,Date,,0..0,End of period covered by associated budgetScenario,gl-cor,,,,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,gl-bus:budgetScenarioPeriodEnd
1048,2,Attribute,,Entry Header SA,Scenario Description,Text,,0..0,Text related to budgetScenario,gl-cor,,,,シナリオ説明,budgetScenarioに関する記述。,gl-bus:budgetScenarioText
1049,2,Attribute,,Entry Header SA,Scenario Code,Char,,0..0,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-cor,,,,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,gl-bus:budgetScenario
1050,2,Attribute,,Entry Header SA,Budget Allocation Code,Char,,0..0,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,,,,予算配分コード,計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計\n[設定値のリスト]\n(D：期間数での分割)、(T：与えられた期間の合計) ,gl-bus:budgetAllocationCode
1051,2,Attribute,,Entry Header SA,Recurring Standard Description,Text,,0..0,Description to accompany standard or recurring ID,gl-cor,,,,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,gl-usk:recurringStdDescription
1052,2,Attribute,,Entry Header SA,Frequency Interval,Decimal,,0..0,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.\n",gl-cor,,,,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,gl-usk:frequencyInterval
1053,2,Attribute,,Entry Header SA,Frequency Unit,Char,,0..0,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.\n",gl-cor,,,,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,gl-usk:frequencyUnit
1054,2,Attribute,,Entry Header SA,Repetitions Remaining,Decimal,,0..0,Number of times that the recurring entry will repeat,gl-cor,,,,反復残回数,反復仕訳の繰り返し予定数。,gl-usk:repetitionsRemaining
1055,2,Attribute,,Entry Header SA,Next Date Repeat,Date,,0..0,Date next repeated or standard posted,gl-cor,,,,次回反復日付,次回の反復あるいは通常の転記日。,gl-usk:nextDateRepeat
1056,2,Attribute,,Entry Header SA,Last Date Repeat,Date,,0..0,Date last repeated or standard posted,gl-cor,,,,前回反復日付,前回の反復あるいは通常の転記日。,gl-usk:lastDateRepeat
1057,2,Attribute,,Entry Header SA,End Date of Repeating Entry,Date,,0..0,"For standard or recurring journals, stop date/time for repetitive entry.",gl-cor,,,,反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,gl-usk:endDateRepeatingEntry
1058,2,Attribute,,Entry Header SA,Reverse,Boolean,,0..0,Should entry be reversed?,gl-cor,,,,反対仕訳要否,仕訳が取り消されるべきか。,gl-usk:reverse
1059,2,Attribute,,Entry Header SA,Reversing Date,Date,,0..0,Date this entry should be reversed,gl-cor,,,,反対仕訳日付,この仕訳が取り消されるべき日付。,gl-usk:reversingDate
1060,2,Attribute,,Entry Header SA,Entry Number Counter,Char,,0..0,Unique reference for the entry - a numeric counter,gl-cor,,,,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,gl-cor:entryNumberCounter
1061,2,Reference Association,,Entry Header SA,,,(Reversing ID) Entry Header,0..0,,gl-cor,,,,,,
1062,2,Composition,,Entry Header SA,,,(Total Debits) Amount,0..0,,gl-cor,,,,,,
1063,2,Composition,,Entry Header SA,,,(Total Credits) Amount,0..0,,gl-cor,,,,,,
1064,2,Composition,,Entry Header SA,,,Entry Detail,0..0,,gl-cor,,,,,,
1065,2,Composition,,Entry Header SA,,,Entry Detail SA,0..*,,gl-cor,,,,,,
1066,1,Class,,Entry Detail SA,,,,,Parent for entry detail,gl-cor,,,,【仕訳明細】,仕訳明細の親タグ。,gl-cor:entryDetail
1067,2,Specialization,,Entry Detail SA,,,Entry Detail,1,,gl-cor,,,,,,
1068,4,Attribute,,Entry Detail SA,Original Exchange Rate Date,Date,,0..0,Date of exchange rate used to regl-cord the original transaction.,gl-cor,,,,原取引通貨換算レート日付,原取引の記録に使われた通貨換算レートの日付。,gl-muc:amountOriginalExchangeRateDate
1069,4,Attribute,,Entry Detail SA,Sign Indication for Amount,Char,,0..0,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for gl-correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,,,,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。
[設定値のリスト]
(+)、(-)、(plus：プラス)、(minus：マイナス) ",gl-cor:signOfAmount
1070,4,Attribute,,Entry Detail SA,Debit/Credit Identifier,Char,,0..0,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",gl-cor,,,,貸借区分コード,"金額が借方か貸方か不定かを示す識別子。
[設定値のリスト]
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定) ",gl-cor:debitCreditCode
1071,4,Attribute,,Entry Detail SA,Posting Date,Date,,0..0,"At the detail level, this represents the accounting significance date. No matter what date the document is received, entered, or posted, this signifies the accounting date of the entry. If you want to see the financial results for March 5, 2002 and this entry is given that date, the entry will be part of the results for March 5, 2002. This is different from the postedDate found at the entryHeader level. If you want the accounting significance to be a particular date, it goes here. A single entry could represent multiple dates, but would only be posted on one date.",gl-cor,,,,転記日付,明細レベルで、会計上意義のある日付を示す。ドキュメントの受領、入力、転記の日付に関わらず、仕訳が会計処理された日付を示す。2002.03.05の財務結果を見たいときに、ここにその日付がある場合は、この明細は2002.03.05の結果の一部である。これは、entryHeaderにあるpostedDateとは異なる。特定の日付を会計上意義のある日付にしたいなら、ここに記述する。ひとつの仕訳が複数の日付をあらわせるが、ひとつの日でのみ転記される。,gl-cor:postingDate
1072,4,Attribute,,Entry Detail SA,Memo Line,Char,,0..0,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-cor,,,,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。,gl-bus:amountMemo
1073,4,Attribute,,Entry Detail SA,Allocation Code,Char,,0..0,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,,,,配分コード,計算方式に関するコード。例えば、(D)期間数で分割、(T)与えられた期間の合計。,gl-bus:allocationCode
1074,4,Attribute,,Entry Detail SA,Document Type,Char,,0..0,"account: information to fill in a chart of accounts file. 
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger 
entries:  a list of individual accounting entries, which might be posted/validated or nonposted/validated  
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables:  aids automated interpretation of instances that represent tax tables; 
Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,,,,文書種別,"・科目:科目体系ファイルの情報。
・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。
・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。
・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。
・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。
・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。
・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。
・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。
多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。
[設定値のリスト]
(account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)",gl-cor:entriesType
1075,4,Attribute,,Entry Detail SA,Document Type Description,Text,,0..0,Free format description of the document type,gl-cor,,,,元文書種別説明,元文書の種別の説明。,gl-cor:documentTypeDescription
1076,4,Attribute,,Entry Detail SA,Invoice Type,Char,,0..0,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,,,,請求書種別,"請求書の種別。(self-billed、ePoS)
[設定値のリスト]
(ePos：POSシステムからの発行)、(self-billed：買い手が発行)",gl-cor:invoiceType
1077,4,Attribute,,Entry Detail SA,Document Date,Date,,0..0,"Date (and less likely in the paper world but possible in the e-world, time) on actual document (invoice, voucher, check date). Other dates control posting information.",gl-cor,,,,元文書日付,実際の文書（請求書、証憑、小切手）の日付（および、紙の世界ではありそうにないが、電子的には時刻）。 転記の情報は別の日付で管理する。,gl-cor:documentDate
1078,4,Attribute,,Entry Detail SA,Received Date,Date,,0..0,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-cor,,,,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。,gl-bus:documentReceivedDate
1079,4,Attribute,,Entry Detail SA,Chargeable or Reimbursable,Char,,0..0,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",gl-cor,,,,請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,gl-bus:documentChargeReimb
1080,4,Attribute,,Entry Detail SA,Payment Method,Text,,0..0,Method used or to be used to make the payment,gl-cor,,,,支払方法,支払いのために使用された、または使用される方法。,gl-bus:paymentMethod
1081,4,Attribute,,Entry Detail SA,Posting Status,Char,,0..0,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
nother:other status - should be described in postingStatusDescription",gl-cor,,,,転記状態,"・据置：入力されたが、まだ転記できない。
・転記済：転記済み。
・提案済：検証が必要な項目。
・シミュレーション：仮定のためにシミュレートされた項目。
・税：税項目。
・未転記：入力されたが、まだ検証も転記もされていない。
・取消済：入力されたが、取り消された。
・その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)",gl-cor:postingStatus
1082,4,Attribute,,Entry Detail SA,Posting Status Description,Text,,0..0,Free format description of the posting status,gl-cor,,,,転記状態説明,転記状態の説明。,gl-cor:postingStatusDescription
1083,4,Attribute,,Entry Detail SA,Description,Text,,0..0,Description of this line of detail only,gl-cor,,,,説明,この明細行のみに対する説明。,gl-cor:detailComment
1084,4,Attribute,,Entry Detail SA,Acknowledgement Date,Date,,0..0,Date of acknowledgement of goods/services shipped/received.,gl-cor,,,,承認日付,出荷/受領済みの物品/サービスを承認した日付。,gl-cor:dateAcknowledged
1085,4,Attribute,,Entry Detail SA,Confirmation Date,Date,,0..0,Date of confirmation of shipment/receipt.,gl-cor,,,,確認日付,出荷/受領を確認した日付。,gl-cor:confirmedDate
1086,4,Attribute,,Entry Detail SA,Ship From,Name,,0..0,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,,,,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,gl-cor:shipFrom
1087,4,Attribute,,Entry Detail SA,Date Shipped/Received,Date,,0..0,Date goods/services are shipped/received.,gl-cor,,,,出荷/受領日付,物品/サービスを出荷/受領した日付。,gl-cor:shipReceivedDate
1088,4,Attribute,,Entry Detail SA,Maturity Date or Date Due,Date,,0..0,Due date or other maturity date.,gl-cor,,,,支払期日,支払期日やその他の期日。,gl-cor:maturityDate
1089,4,Attribute,,Entry Detail SA,Payment Terms,Name,,0..0,Discount/payment terms.,gl-cor,,,,支払条件,割引/支払い条件。,gl-cor:terms
1090,4,Attribute,,Entry Detail SA,Ticking Field,Name,,0..0,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the
original document against which a payment or DR/CR memo applies has been reconciled.",gl-cor,,,,チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。,gl-taf:tickingField
1091,4,Attribute,,Entry Detail SA,UCR,Char,,0..0,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-cor,,,,UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。
(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-taf:uniqueConsignmentReference
