Sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,mult,definition,module,table,Domain Name,,xbrl-gl,
118,2,Composition,,Entity Information TS,Default,,Accounting Method,0..0,"The default reporting purpose - from book, tax, management, statutory, other",gl-cor,,,,（既定）会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
119,2,Composition,,Entity Information TS,,,Organization,0..0,Section which contains various identifiers for the company.,gl-cor,,,,識別子,組織に関する様々な識別子を含むセクション。
120,2,Composition,,Entity Information TS,,,Phone Number,0..0,Primary phone number of the entity.,gl-cor,,,,事業体電話番号,事業体の主要電話番号情報。
121,2,Composition,,Entity Information TS,,,Fax Number,0..0,Tuple for holding company fax information.,gl-cor,,,,事業体FAX番号,事業体のFAX番号情報のタプル。
122,2,Composition,,Entity Information TS,,,Email Address,0..0,Tuple for holding company email information.,gl-cor,,,,事業体Eメールアドレス,事業体のEメールアドレス情報のタプル。
123,2,Composition,,Entity Information TS,,,Web Site,0..0,Primary web site of the entity.,gl-cor,,,,事業体Webサイト,事業体の代表ウェブサイト。
124,2,Composition,,Entity Information TS,,,Address,0..0,Address structure for the reporting entity,gl-cor,,,,住所,報告事業体の住所構造体。
125,2,Composition,,Entity Information TS,,,Contact,0..0,Information about contacts.,gl-cor,,,,担当者情報,担当者に関する情報。
126,2,Composition,,Entity Information TS,,,Accounting Method,0..0,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-cor,,,,会計処理方法,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
127,2,Aggregation,,Entity Information TS,,,Accountant,0..0,Information about the relevant external accountant,gl-cor,,,,会計士情報,関連する外部会計士に関する情報。
128,2,Aggregation,,Entity Information TS,,,Reporting Calendar,0..0,A tool to collect the periods used to summarise results from transactions.,gl-cor,,,,報告カレンダー,取引の結果をまとめるための期間を集めるもの。
117,2,Aggregation,,Entity Information TS,,,Identifier Reference,0..0,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。
117,2,Aggregation,,Entity Information TS,,,Identifier Reference TS,0..*,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。
319,1,Class,,Entry Header TS,,,,,Parent for entry headers/journal entry headers.,gl-cor,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。
319,2,Specialization,,Entry Header TS,,,Entry Header,1,,gl-cor,,,,,
323,2,Attribute,,Entry Header TS,Entry Last Modifier,Name,,0,Identification for the last person modifying this entry before posting.,gl-cor,,,,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。
325,2,Attribute,,Entry Header TS,Responsible Person,Name,,0,Identifier of person who created or originated or is otherwise responsible for the entry.,gl-cor,,,,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。
328,2,Attribute,,Entry Header TS,Type Identifier,Char,,0,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",gl-cor,,,,種別識別子,以下の値のうちのひとつ。\n整理、予算、比較、外部会計士、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他\n[設定値のリスト]\n(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計士)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)
331,2,Attribute,,Entry Header TS,Entry Qualifier,Char,,0,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",gl-cor,,,,仕訳修飾子,仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他\n[設定値のリスト]\n(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他) 
332,2,Attribute,,Entry Header TS,Entry Qualifier Description,Char,,0,Free format description of the entry qualifier,gl-cor,,,,仕訳修飾子説明,仕訳の修飾子の説明。
333,2,Attribute,,Entry Header TS,Posting Code,Char,,0,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",gl-cor,,,,転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。
334,2,Attribute,,Entry Header TS,Batch ID for Entry Group,Char,,0,ID for a batch for this group of entries,gl-cor,,,,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。
335,2,Attribute,,Entry Header TS,Batch Description,Char,,0,Description of this batch,gl-cor,,,,仕訳グループ説明,この仕訳の束の説明。
336,2,Attribute,,Entry Header TS,Number of Entries,Char,,0,The total number of entries.,gl-cor,,,,仕訳総数,仕訳の総数。
337,2,Composition,,Entry Header TS,Total Debits,,Amount,0,The total of all debit amounts.,gl-cor,,,,借方合計,借方金額の合計値。
338,2,Composition,,Entry Header TS,Total Credits,,Amount,0,The total of all credit amounts.,gl-cor,,,,貸方合計,貸方金額の合計値。
339,2,Attribute,,Entry Header TS,Type of Difference Between Book and Tax,Char,,0,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",gl-cor,,,,帳簿価税務簿価差異種別,帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。\n[設定値のリスト]\n(permanent：永久)、(temporary：一時的)、(none：無し)
340,2,Attribute,,Entry Header TS,Elimination Code,Char,,0,Informs destination ledger this is an intracompany entry which eliminates in consolidation,gl-cor,,,,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。
341,2,Attribute,,Entry Header TS,Budget Scenario Period Start,Date,,0,Start of period covered by associated budgetScenario,gl-cor,,,,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。
342,2,Attribute,,Entry Header TS,Budget Scenario Period End,Date,,0,End of period covered by associated budgetScenario,gl-cor,,,,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。
343,2,Attribute,,Entry Header TS,Scenario Description,Text,,0,Text related to budgetScenario,gl-cor,,,,シナリオ説明,budgetScenarioに関する記述。
344,2,Attribute,,Entry Header TS,Scenario Code,Char,,0,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",gl-cor,,,,シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。
345,2,Attribute,,Entry Header TS,Budget Allocation Code,Char,,0,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,,,,予算配分コード,計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計\n[設定値のリスト]\n(D：期間数での分割)、(T：与えられた期間の合計) 
346,2,Reference Association,,Entry Header TS,Reversing ID,,Entry Header,0,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",gl-cor,,,,反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。
347,2,Attribute,,Entry Header TS,Recurring Standard Description,Text,,0,Description to accompany standard or recurring ID,gl-cor,,,,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。
348,2,Attribute,,Entry Header TS,Frequency Interval,Decimal,,0,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.\n",gl-cor,,,,頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。
349,2,Attribute,,Entry Header TS,Frequency Unit,Char,,0,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.\n",gl-cor,,,,頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。
350,2,Attribute,,Entry Header TS,Repetitions Remaining,Decimal,,0,Number of times that the recurring entry will repeat,gl-cor,,,,反復残回数,反復仕訳の繰り返し予定数。
351,2,Attribute,,Entry Header TS,Next Date Repeat,Date,,0,Date next repeated or standard posted,gl-cor,,,,次回反復日付,次回の反復あるいは通常の転記日。
352,2,Attribute,,Entry Header TS,Last Date Repeat,Date,,0,Date last repeated or standard posted,gl-cor,,,,前回反復日付,前回の反復あるいは通常の転記日。
353,2,Attribute,,Entry Header TS,End Date of Repeating Entry,Date,,0,"For standard or recurring journals, stop date/time for repetitive entry.",gl-cor,,,,反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。
354,2,Attribute,,Entry Header TS,Reverse,Boolean,,0,Should entry be reversed?,gl-cor,,,,反対仕訳要否,仕訳が取り消されるべきか。
355,2,Attribute,,Entry Header TS,Reversing Date,Date,,0,Date this entry should be reversed,gl-cor,,,,反対仕訳日付,この仕訳が取り消されるべき日付。
356,2,Attribute,,Entry Header TS,Entry Number Counter,Char,,0,Unique reference for the entry - a numeric counter,gl-cor,,,,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ
357,2,Composition,,Entry Header TS,,,Entry Detail,0,Parent for entry detail,gl-cor,,,,仕訳明細,仕訳明細の親タグ。
357,2,Composition,,Entry Header TS,,,Entry Detail TS,0..*,,gl-cor,,,,,
276,1,Class,,Entry Detail TS,,,,,Parent for entry detail,gl-cor,,,,【仕訳明細】,仕訳明細の親タグ。
276,2,Specialization,,Entry Detail TS,,,Entry Detail,1,,gl-cor,,,,,
278,2,Attribute,,Entry Detail TS,Line Number Counter,Char,,0,Unique reference for the line - a numeric counter,gl-cor,,,,明細行番号カウンタ,明細行の一意なリファレンス　　カウンタ
280,2,Attribute,,Entry Detail TS,Original Exchange Rate Date,Date,,0,Date of exchange rate used to regl-cord the original transaction.,gl-cor,,,,原取引通貨換算レート日付,原取引の記録に使われた通貨換算レートの日付。
281,2,Composition,,Entry Detail TS,Original Currency,,Amount,0,"Amount in original (as opposed to home) currency, for multi-currency tracking.",gl-cor,,,,原取引通貨換算額,多通貨取引のための、(自国通貨に対する)原取引通貨での金額。
282,2,Attribute,,Entry Detail TS,Sign Indication for Amount,Char,,0,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for gl-correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,gl-cor,,,,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。
[設定値のリスト]
(+)、(-)、(plus：プラス)、(minus：マイナス) "
283,2,Attribute,,Entry Detail TS,Debit/Credit Identifier,Char,,0,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",gl-cor,,,,貸借区分コード,"金額が借方か貸方か不定かを示す識別子。
[設定値のリスト]
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定) "
285,2,Attribute,,Entry Detail TS,Memo Line,Char,,0,A boolean like entry that indicates whether an entryDetail line has been provided solely to provide additional details and that tools should not consider the amount in postings.,gl-cor,,,,メモ行フラグ,明細行が単に追加の詳細を与えるものであり、転記金額に含めるべきでないことを示すブール値。
286,2,Attribute,,Entry Detail TS,Allocation Code,Char,,0,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",gl-cor,,,,配分コード,計算方式に関するコード。例えば、(D)期間数で分割、(T)与えられた期間の合計。
288,2,Attribute,,Entry Detail TS,Document Type Description,Text,,0,Free format description of the document type,gl-cor,,,,元文書種別説明,元文書の種別の説明。
289,2,Attribute,,Entry Detail TS,Invoice Type,Char,,0,"Invoice Type  (self-billed, ePoS enumerated values)",gl-cor,,,,請求書種別,"請求書の種別。(self-billed、ePoS)
[設定値のリスト]
(ePos：POSシステムからの発行)、(self-billed：買い手が発行)"
291,2,Attribute,,Entry Detail TS,Received Date,Date,,0,Date/time document was noted as received (if necessary). Represents actual date received. Posting dates are maintained separately.,gl-cor,,,,元文書受領日付,（必要であれば）文書の受領が記録された日付/時刻。実際に受領された日付をあらわす。転記日付は別に管理される。
293,2,Attribute,,Entry Detail TS,Payment Method,Text,,0,Method used or to be used to make the payment,gl-cor,,,,支払方法,支払いのために使用された、または使用される方法。
294,2,Attribute,,Entry Detail TS,Posting Status,Char,,0,"deferred: although entered, it cannot be posted until a later time
posted: already posted
proposed: a proposed item that must be approved
simulated: a simulated item, for what-if
tax: a tax-specific entry
unposted:entered but not yet posted or validated
cancelled:entered and later cancelled
nother:other status - should be described in postingStatusDescription",gl-cor,,,,転記状態,"・据置：入力されたが、まだ転記できない。
・転記済：転記済み。
・提案済：検証が必要な項目。
・シミュレーション：仮定のためにシミュレートされた項目。
・税：税項目。
・未転記：入力されたが、まだ検証も転記もされていない。
・取消済：入力されたが、取り消された。
・その他：その他の状態。postingStatusDescriptionで説明されるべき。
[設定値のリスト]
(deferred：据置)、(posted：転記済)、(proposed：提案済)、(simulated：シミュレーション)、(tax：税)、(unposted：未転記)、(cancelled：取消済)、(other：その他)"
295,2,Attribute,,Entry Detail TS,Posting Status Description,Text,,0,Free format description of the posting status,gl-cor,,,,転記状態説明,転記状態の説明。
297,2,Attribute,,Entry Detail TS,Acknowledgement Date,Date,,0,Date of acknowledgement of goods/services shipped/received.,gl-cor,,,,承認日付,出荷/受領済みの物品/サービスを承認した日付。
298,2,Attribute,,Entry Detail TS,Confirmation Date,Date,,0,Date of confirmation of shipment/receipt.,gl-cor,,,,確認日付,出荷/受領を確認した日付。
299,2,Attribute,,Entry Detail TS,Ship From,Name,,0,References organizationAddressLocationIdentifier where used. Otherwise freeform.,gl-cor,,,,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。
300,2,Attribute,,Entry Detail TS,Date Shipped/Received,Date,,0,Date goods/services are shipped/received.,gl-cor,,,,出荷/受領日付,物品/サービスを出荷/受領した日付。
301,2,Attribute,,Entry Detail TS,Maturity Date or Date Due,Date,,0,Due date or other maturity date.,gl-cor,,,,支払期日,支払期日やその他の期日。
302,2,Attribute,,Entry Detail TS,Payment Terms,Name,,0,Discount/payment terms.,gl-cor,,,,支払条件,割引/支払い条件。
303,2,Attribute,,Entry Detail TS,Ticking Field,Name,,0,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the
original document against which a payment or DR/CR memo applies has been reconciled.",gl-cor,,,,チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。
304,2,Attribute,,Entry Detail TS,UCR,Char,,0,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",gl-cor,,,,UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。
(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)"
307,2,Reference Association,,Entry Detail TS,Apply To Number,,Originating Document,0,"Document number of primary invoice number, used to offset payments, debits and credits; for an invoice, usually the same as the documentNumber. When calculating open balance on an invoice, or open amount on payments in advance or not fully applied, this permits calculation of the open item.",gl-cor,,,,適用先番号,支払、借方、貸方の相殺に使用される、一次請求書の文書番号。請求書では通常documentNumberと等しい。未決済の請求書残高や、未決済の支払金額の計算時に、利用できる。
310,2,Composition,,Entry Detail TS,,,Multicurrency Amount,0,Section to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to regl-cord exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This structure allows regl-cording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This structure may be repeated as many times as necessary to regl-cord amounts in foreign currencies on the same or different dates.,gl-cor,,,,多通貨明細,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。"
311,2,Composition,,Entry Detail TS,Document Remaining Balance,,Amount,0,Balance remaining on the document,gl-cor,,,,文書上残高,文書上の残高。
313,2,Composition,,Entry Detail TS,,,XBRL Information,0,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,gl-cor,,,,XBRL情報,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。
316,2,Composition,,Entry Detail TS,,,Depreciation Mortgage,0,"Parent for information related to depreciation, mortgages, etc.",gl-cor,,,,減価償却/抵当債務情報,減価償却、抵当債務等に関連する情報の親タグ。
317,2,Composition,,Entry Detail TS,,,Tax,0,Tuple for holding tax related information,gl-cor,,,,税情報,税関連の情報のタプル。
318,2,Aggregation,,Entry Detail TS,,,Originating Document,0,"A tool to capture the flow of related documents in the gl-business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive structure of related documents.",gl-cor,,,,発生元文書情報,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。
312,2,Aggregation,,Entry Detail TS,,,Identifier Reference,0,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。
312,2,Aggregation,,Entry Detail TS,,,Identifier Reference TS,0..*,"Identification for customer, vendor, or employee.",gl-cor,,,,CVE情報,顧客、仕入先、従業員のための識別子。
314,2,Aggregation,,Entry Detail TS,,,Measurable,0,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,計測可能物情報,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
314,2,Aggregation,,Entry Detail TS,,,Measurable TS,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,計測可能物情報,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。
78,1,Class,,Identifier Reference TS,,,,,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。
78,2,Specialization,,Identifier Reference TS,,,Identifier Reference,1,"Identification for customer, vendor, or employee.",gl-cor,,,,【CVE情報】,顧客、仕入先、従業員のための識別子。
80,2,Attribute,,Identifier Reference TS,Identifier Purpose,Name,,0,"Freeform for codes like purchasing, billing, manufacturing at identifier level.",gl-cor,,,,CVE目的,購買、請求、製造などの、CVE識別子のレベルのコードの自由記述。
81,2,Attribute,,Identifier Reference TS,Organization Type,Char,,0,Identifier Organization Type,gl-cor,,,,CVE組織種別,"CVE識別子の組織種別。
[設定値のリスト]
(individual：個人)、(organization：組織)、(other：その他) "
82,2,Attribute,,Identifier Reference TS,Organization Type Description,Text,,0,Free format description of the identifier organization type,gl-cor,,,,CVE組織種別説明,CVE識別子の組織種別の説明。
85,2,Attribute,,Identifier Reference TS,Category,Name,,0,"For use as Customer, Vendor or Employee Class (such as Residential/Commercial/Institutional/Government or Retail/Wholesale or other classifications used by gl-business).",gl-cor,,,,CVEカテゴリ,顧客、仕入先、従業員の分類に使用する。　（住居/商業/機関/政府や、小売/卸や、ビジネスで使用されるその他の分類）。
86,2,Attribute,,Identifier Reference TS,Tax Identification Number,Char,,0,Registered tax identification number,gl-cor,,,,納税者コード,CVEの納税者コード。
87,2,Attribute,,Identifier Reference TS,Active,Boolean,,0,"Boolean to indicate whether the identifier is active (=""true"") or inactive (=""false"")",gl-cor,,,,CVE有効性,CVE識別子が有効か無効かを示すブール値。
88,2,Composition,,Identifier Reference TS,,,Registered Entity Identifier,0,Structure containing references to an external authority associated with identifier,gl-cor,,,,登録法人識別子,識別子と関係付けられる外部機関への参照情報を含む構造体。
89,2,Composition,,Identifier Reference TS,,,Email Address,0,Email address for Identifier.,gl-cor,,,,Eメールアドレス,CVE識別子のEメールアドレス。
90,2,Composition,,Identifier Reference TS,,,Phone Number,0,Phone number related to Identifier.,gl-cor,,,,電話番号,CVE識別子の電話番号。
91,2,Composition,,Identifier Reference TS,,,Fax Number,0,Fax number structure related to identifier.,gl-cor,,,,FAX番号,CVE識別子のFAX番号の構造体。
92,2,Composition,,Identifier Reference TS,,,Contact,0,Identifier Contact Information Structure,gl-cor,,,,CVE担当者情報,CVE識別子の担当者情報の構造体。
93,2,Composition,,Identifier Reference TS,,,Address,0,"Address (block) of customer, vendor, employee for integration purposes, VAT.",gl-cor,,,,CVE住所,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
243,1,Class,,Measurable TS,,,,,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",gl-cor,,,,シリアルロット,シリアル番号またはロット（バッチ）に関する情報を保持するためのタプル。タプルとして、これにより、単一のgl-gl-cor：measurable構造内で複数のシリアル番号または複数のロット番号のバッチが許可されます。
