No.,Level,Property type,Identifier,Class,Property term,Representation term,Associated class,Mult.,Definition,ISO 21378 Module,ISO 21378 Table,Value Domain,Action
33,2,Attribute,,Currency,Minor Unit,Integer,,0..1,The subdivision of a currency unit that indicates the decimal relationship to the main currency unit as defined by ISO 4217.,Base,30,UNIT,
34,2,Attribute,,Currency,Active Indicator,Indicator,,0..1,The flag indicating if a currency code is currently accepted for financial transactions.,Base,30,Indicator,
35,1,Class,,Amounts,,,,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",General,,,
36,2,Composition,,Amounts,Functional,,Amount,0..1,The monetary amount recorded in the functional currency. Primarily used for accounting purposes.,General,,,
37,2,Composition,,Amounts,Local,,Amount,0..1,The monetary amount expressed in the currency of the country where the transaction took place.,General,,,
38,2,Composition,,Amounts,Reporting,,Amount,0..1,"The amount used in financial reporting, recorded in the reporting currency.",General,,,
39,2,Composition,,Amounts,Transaction,,Amount,0..1,The monetary amount documented in business transaction records.,General,,,
40,1,Class,,Quantity,,,,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",General,,,
41,2,Attribute,,Quantity,Value,Decimal,,0..1,The numerical amount of a specified item or resource.,General,,QUANTITY,
42,2,Reference Association,,Quantity,,,Measurement Unit,0..1,The base unit of measure used to quantify a meaured value.,General,,,
43,1,Class,,Bank Account,,,,,A class includes details associated with a bank account.,Base,38,,
44,2,Attribute,PK,Bank Account,Number,Identifier,,1..1,"The unique number for an account within a financial institution, for which the use of ISO 13616-2 International Bank Account Number (IBAN) format is recommended when applicable.",Base,38,Identifier Medium,
45,2,Attribute,,Bank Account,Name,Name,,0..1,The designated title of an account established at a financial institution such as a bank or settlement center.,Base,38,Name Medium,
46,2,Attribute,,Bank Account,Bank Code,Code,,0..1,"The unique identifier for a financial institution, compliant with ISO 9362 (Business Identifier Code, BIC) or ISO 17442 (Legal Entity Identifier, LEI), with ISO 17442 being preferred.",Base,38,BANK CODE,
47,2,Attribute,,Bank Account,Bank Name,Name,,0..1,"The official legal name of a financial institution, including banks and settlement centers.",Base,38,Name Medium,
48,2,Attribute,,Bank Account,Branch Code,Code,,0..1,The identifier assigned to a specific branch of a financial institution.,Base,38,BRANCH CODE,
49,2,Attribute,,Bank Account,Branch Name,Name,,0..1,The official name of a branch of a financial institution.,Base,38,Name Long,
50,2,Attribute,,Bank Account,Branch Country Code,Code,,0..1,"The code indicating a financial institution's branch country, compliant with ISO 3166-1 standards.",Base,38,COUNTRY CODE,
51,2,Attribute,,Bank Account,Branch Region,Name,,0..1,"The regional area, such as a state or province, within a country where the branch is located.",Base,38,Name Short,
52,2,Attribute,,Bank Account,Active Indicator,Indicator,,0..1,The flag indicating if a bank account is currently active and available for transactions.,Base,38,Indicator,
53,2,Reference Association,,Bank Account,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,38,,
54,1,Class,,Bill,,,,,"A class of document that is officially cited within another record or transaction, serving as verification or supporting detail for financial or operational activities.",General,,,
55,2,Attribute,,Bill,ID,Identifier,,0..1,The unique identifier for the referenced document.,General,,Identifier Long,
56,2,Attribute,,Bill,Date,Date,,0..1,The date associated with a business transaction.,General,,DATE,
57,2,Reference Association,,Bill,,,Bill Type,0..1,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",General,,,
58,1,Class,,Bill Type,,,,,"A class describes the category of a bill such as bank draft or check, often used in business transactions as evidence of debt or payment instruments.",Base,26,,
59,2,Attribute,PK,Bill Type,Code,Identifier,,1..1,The unique code that classifies the type of bill.,Base,26,Identifier Medium,
60,2,Attribute,,Bill Type,Name,Name,,0..1,The classification or designation of a bill reflecting its nature.,Base,26,Name Short,
61,2,Attribute,,Bill Type,Active Indicator,Indicator,,0..1,The flag indicating if a bill type is currently recognized and valid for use.,Base,26,Indicator,
62,1,Class,,Business Segment,,,,,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,4,,
63,2,Attribute,PK,Business Segment,Code,Identifier,,1..1,The unique code identifying a specific business segment.,Base,4,Identifier Short,
64,2,Attribute,,Business Segment,Name,Name,,0..1,The designated label for a distinct area of a company's operations.,Base,4,Name Medium,
65,2,Attribute,PK,Business Segment,Segment Reference Level,Char,,1..1,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Base,4,Char Short,
66,2,Attribute,,Business Segment,Organization Type Name,Name,,0..1,"The designation of the type of organizational unit, such as a department or cost center.",Base,4,Name Short,
67,1,Class,,Business Segment Hierarchy,,,,,"A class organizes and links the structure and relationships of business units, allowing transaction integration from lower to higher levels.",Base,6,,
68,2,Reference Association,PK,Business Segment Hierarchy,Child,,Business Segment,1..1,The business segment instance that is designated as a subordinate in a business segment hierarchy structure.,Base,6,,
69,2,Reference Association,PK,Business Segment Hierarchy,Parent,,Business Segment,1..1,The business segment instance that is designated as a superior in a business segment hierarchy structure.,Base,6,,
70,1,Class,,Contact,,,,,A class that details the communication information for an individual or entity.,General,,,
71,2,Attribute,,Contact,Name,Name,,0..1,The full name of an individual or entity that is a point of contact.,General,,Name Medium,
72,2,Attribute,,Contact,Phone,Char,,0..1,The telephone number associated with a contact.,General,,PHONE NUMBER,
73,2,Attribute,,Contact,Email,Char,,0..1,The electronic mail address associated with a contact.,General,,EMAIL,
74,1,Class,,Customer,,,,,A class holds basic and broad details about customers.,Base,14,,
75,2,Attribute,PK,Customer,Account ID,Identifier,,1..1,The unique identifier for a customer account.,Base,14,Identifier Long,
76,2,Attribute,,Customer,Account Number,Char,,0..1,The number for a customer's account.,Base,14,Char Long,
77,2,Attribute,,Customer,Account Name,Name,,0..1,The legal or registered name of the customer.,Base,14,Name Long,
78,2,Attribute,,Customer,Abbreviation,Name,,0..1,The abbreviated representation of a customer's full name used for simplified referencing in a system.,Base,14,Name Medium,
79,2,Attribute,,Customer,TIN,Char,,0..1,The tax identification number assigned to the customer by a tax authority.,Base,14,TAX IDENTIFICATION NUMBER,
80,2,Attribute,,Customer,Inactive Date,Date,,0..1,"The date marking the change of a customer's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or bankruptcy.",Base,14,DATE,
81,2,Attribute,,Customer,Terms Discount Percentage,Decimal,,0..1,"Discount percentage the customer can take if an invoice is paid before a certain number of days.
",Base,14,Percent,
82,2,Attribute,,Customer,Terms Discount Days,Integer,,0..1,"The percentage of discount offered by a supplier when payment is made within the specified discount days.
",Base,14,INTEGER,
83,2,Attribute,,Customer,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,Base,14,INTEGER,
84,2,Composition,,Customer,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,14,,
85,2,Composition,,Customer,Billing,,Address,0..1,"The address to which billing statements and invoices are sent for a customer, typically used for payment processing and correspondence.",Base,14,,
86,2,Composition,,Customer,Physical,,Address,0..1,"The actual geographic location of a customer, including street name, number, city, and postal code, where the customer is physically located",Base,14,,
87,2,Composition,,Customer,Total Credit Limit,,Amount,0..1,"The maximum monetary amount of credit available to a customer, as defined by the lending institution.",Base,14,,
88,2,Composition,,Customer,Transaction Credit Limit,,Amount,0..1,"The maximum monetary amount a customer is authorized to borrow for a single transaction, as set by the credit provider.",Base,14,,
89,2,Composition,,Customer,Primary,,Contact,0..1,"The main point of contact for a customer, typically responsible for communication and decision-making regarding business transactions.",Base,14,,
90,2,Reference Association,,Customer,,,Customer Type,0..1,A class contains detailed descriptions of customer categories.,Base,14,,
91,2,Reference Association,,Customer,Corresponding,,Supplier,0..1,The supplier associated with or equivalent to a specific customer in business transactions.,Base,14,,
92,1,Class,,Customer Hierarchy,,,,,A class defines the relationships between individual customers.,Base,14,,
93,2,Reference Association,PK,Customer Hierarchy,Child,,Customer,1..1,The customer instance that is designated as a subordinate in a customer hierarchy structure.,Base,14,,
94,2,Reference Association,PK,Customer Hierarchy,Parent,,Customer,1..1,The customer instance that is designated as a superior in a customer hierarchy structure.,Base,14,,
95,1,Class,,Customer Type,,,,,A class contains detailed descriptions of customer categories.,Base,12,,
96,2,Attribute,PK,Customer Type,ID,Identifier,,1..1,The unique identifier for the type of customer.,Base,12,Identifier Medium,
97,2,Attribute,,Customer Type,Code,Code,,0..1,The identifier that categorizes the type of customer within an organizational system.,Base,12,CUSTOMER TYPE CODE,
98,2,Attribute,,Customer Type,Name,Name,,0..1,The designation for the category of customers based on their attributes.,Base,12,Name Medium,
99,1,Class,,Customer Type Hierarchy,,,,,A class outlines the levels and relationships among different types of customers.,Base,12,,
100,2,Reference Association,PK,Customer Type Hierarchy,Child,,Customer Type,1..1,The classification of customer that falls under a subordinate level within a customer type hierarchy.,Base,12,,
101,2,Reference Association,PK,Customer Type Hierarchy,Parent,,Customer Type,1..1,The classification of customer that holds a superior level within a customer type hierarchy.,Base,12,,
102,1,Class,,Supplier,,,,,A class containing essential information about suppliers.,Base,18,,
103,2,Attribute,PK,Supplier,Account ID,Identifier,,1..1,The unique identifier for a supplier account.,Base,18,Identifier Long,
104,2,Attribute,,Supplier,Account Number,Char,,0..1,The number for a supplier's account.,Base,18,Char Long,
105,2,Attribute,,Supplier,Account Name,Name,,0..1,The legal or registered name of the supplier.,Base,18,Name Medium,
106,2,Attribute,,Supplier,Abbreviation,Name,,0..1,The shortened form of the supplier's name.,Base,18,Name Medium,
107,2,Attribute,,Supplier,TIN,Char,,0..1,The tax identification number assigned to the supplier by tax authorities.,Base,18,TAX IDENTIFICATION NUMBER,
108,2,Attribute,,Supplier,Group,Char,,0..1,The classification of the supplier within an organization's segmentation system.,Base,18,Char Long,
109,2,Attribute,,Supplier,Inactive Date,Date,,0..1,"The date marking the change of a supplier's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or insolvency.",Base,18,DATE,
110,2,Attribute,,Supplier,Terms Discount Percentage,Decimal,,0..1,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Base,18,Percent,
111,2,Attribute,,Supplier,Terms Discount Days,Integer,,0..1,"The number of days from the invoice date that the customer is eligible for the discount if payment is made.
",Base,18,INTEGER,
112,2,Attribute,,Supplier,Terms Due Days,Integer,,0..1,The standard time period in days before a customer's payment is considered overdue.,Base,18,INTEGER,
113,2,Composition,,Supplier,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Base,18,,
114,2,Composition,,Supplier,Billing,,Address,0..1,"The address where billing-related documents should be sent for a supplier, typically used for remitting payments and financial documentation.",Base,18,,
115,2,Composition,,Supplier,Physical,,Address,0..1,"The geographic location of a supplier's premises, comprising street, number, city, and postal code, corresponding to the supplier's actual physical site.",Base,18,,
116,2,Composition,,Supplier,Total Credit Limit,,Amount,0..1,The maximum monetary amount of credit that a supplier is willing to extend to its customers.,Base,18,,
117,2,Composition,,Supplier,Transaction Credit Limit,,Amount,0..1,The maximum monetary amount a supplier permits a customer to owe for a single transaction.,Base,18,,
118,2,Composition,,Supplier,Primary,,Contact,0..1,"The principal point of contact for a supplier, typically accountable for managing correspondence and agreements with customers or clients.",Base,18,,
119,2,Reference Association,,Supplier,Corresponding,,Customer,0..1,The customer associated with or equivalent to a specific supplier in business transactions.,Base,18,,
120,2,Reference Association,,Supplier,,,Supplier Type,0..1,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,18,,
121,1,Class,,Supplier Hierarchy,,,,,A class that shows the organized relationships among suppliers.,Base,18,,
122,2,Reference Association,PK,Supplier Hierarchy,Child,,Supplier,1..1,The supplier that is classified at a subordinate level within a supplier hierarchy.,Base,18,,
123,2,Reference Association,PK,Supplier Hierarchy,Parent,,Supplier,1..1,The supplier that is classified at a superior level within a supplier hierarchy.,Base,18,,
124,1,Class,,Supplier Type,,,,,A class with comprehensive descriptions of supplier classifications based on defined criteria.,Base,16,,
125,2,Attribute,PK,Supplier Type,ID,Identifier,,1..1,The unique identifier for the type of supplier.,Base,16,Identifier Medium,
126,2,Attribute,,Supplier Type,Code,Code,,0..1,The identifier that categorizes the type of supplier within an organizational system.,Base,16,SUPPLIER TYPE CODE,
127,2,Attribute,,Supplier Type,Name,Name,,0..1,"The designation for the category of supplier based on their attributes.
",Base,16,Name Medium,
128,1,Class,,Supplier Type Hierarchy,,,,,A class representing the hierarchical categorization of supplier types for organizational and strategic purposes.,Base,16,,
129,2,Reference Association,PK,Supplier Type Hierarchy,Child,,Supplier Type,1..1,The specific category of supplier that is classified at a subordinate level within a supplier hierarchy.,Base,16,,
130,2,Reference Association,PK,Supplier Type Hierarchy,Parent,,Supplier Type,1..1,The specific category of supplier that is classified at a superior level within a supplier hierarchy.,Base,16,,
131,1,Class,,Tax,,,,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",General,,,
132,2,Composition,,Tax,Local,,Amount,0..1,"The monetary amount of tax assessed based on local tax regulations, recorded in the local currency.",General,,,
133,2,Composition,,Tax,Transaction,,Amount,0..1,"The total monetary amount of tax applied to a specific transaction, recorded in the transaction currency.",General,,,
134,2,Reference Association,,Tax,Credit,,Ledger Account,0..1,The ledger account that records credits related to tax transactions.,General,,,
135,2,Reference Association,,Tax,Debit,,Ledger Account,0..1,The ledger account that records debits related to tax transactions.,General,,,
136,2,Reference Association,,Tax,,,Tax Type,0..1,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",General,,,
137,1,Class,,Tax Regulatory,,,,,"A class that includes regulatory information for taxation, offering instructions for compliance with tax laws in various jurisdictions.",Base,40,,
138,2,Attribute,PK,Tax Regulatory,Code,Identifier,,1..1,The unique code for a regulatory body or jurisdiction.,Base,40,REGULATOR CODE,
139,2,Attribute,,Tax Regulatory,Country Code,Code,,0..1,"The code for the country in which the tax regulator operates, as per ISO 3166-1.",Base,40,COUNTRY CODE,
140,2,Attribute,,Tax Regulatory,Region,Name,,0..1,The specific area within a country that falls under the jurisdiction of a tax regulator.,Base,40,REGION,
141,2,Attribute,,Tax Regulatory,Name,Name,,0..1,The name of the entity responsible for tax regulation.,Base,40,Name Medium,
142,2,Attribute,,Tax Regulatory,Role,Char,,0..1,"The jurisdictional level at which the regulator operates, such as federal, regional, or local.",Base,40,Char Short,
143,2,Attribute,,Tax Regulatory,Regulator ID,Char,,0..1,The identifier for the reporting organization as assigned by the tax regulator.,Base,40,Char Short,
144,2,Attribute,,Tax Regulatory,Active Indicator,Indicator,,0..1,The binary indicator of whether a regulatory code is currently active.,Base,40,Indicator,
145,2,Reference Association,,Tax Regulatory,Reporting Organization,,Business Segment,0..1,The class represents tax reporting entities within the auditee's organization.,Base,40,,
146,2,Reference Association,,Tax Regulatory,,,Business Segment,0..*,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,40,,
147,2,Reference Association,,Tax Regulatory,Accrual,,Ledger Account,0..1,The ledger account used for recording accrued taxes as per regulatory requirements.,Base,40,,
148,2,Reference Association,,Tax Regulatory,Expense,,Ledger Account,0..1,The ledger account used for recording tax expenses as per regulatory requirements.,Base,40,,
149,2,Reference Association,,Tax Regulatory,Payable,,Ledger Account,0..1,The ledger account used for recording taxes payable as per regulatory requirements.,Base,40,,
150,1,Class,,Tax Type,,,,,"A class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Base,42,,
151,2,Attribute,PK,Tax Type,Code,Identifier,,1..1,The unique code used to classify a tax type.,Base,42,TAX TYPE CODE,
152,2,Attribute,,Tax Type,Tax Name,Name,,0..1,The official title assigned to a category of tax.,Base,42,Name Medium,
153,2,Attribute,,Tax Type,Description,Text,,0..1,The details that define and categorize a specific tax type.,Base,42,Text Medium,
154,2,Attribute,,Tax Type,Tax Code Description,Text,,0..1,The narrative that clarifies the specific tax code and its application within the broader tax type.,Base,42,Text Medium,
155,2,Attribute,,Tax Type,Tax Percentage,Decimal,,0..1,The standard rate applied to a specific tax type and code.,Base,42,Percent,
156,2,Reference Association,,Tax Type,,,Business Segment,0..*,The class represents the business unit associated with reporting activities within the auditee's organization.,Base,42,,
157,2,Reference Association,,Tax Type,,,Tax Regulatory,0..1,"The class that holds regulatory information related to taxation, providing instructions for compliance with tax laws across different jurisdictions.",Base,42,,
158,1,Class,,User,,,,,"A class with user details, important for overseeing access, maintaining security, and tracking system use.",Base,10,,
159,2,Attribute,PK,User,ID,Identifier,,1..1,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",Base,10,Identifier Short,
160,2,Attribute,,User,Active Indicator,Indicator,,0..1,The flag indicating the active status of a user within the system. An active status signifies that the user is authorized and able to access system functionalities.,Base,10,Indicator,
161,2,Attribute,,User,Status Modified Date,Date,,0..1,The date on which the activation or termination status of the user was last modified.,Base,10,DATE,
162,2,Attribute,,User,Name,Name,,0..1,The identifying label assigned to an individual within the system.,Base,10,Name Medium,
163,2,Attribute,,User,Job Title,Char,,0..1,"The designation of the individual's role within the system, indicating their position or responsibility.",Base,10,Char Long,
164,2,Attribute,,User,Role Responsibility,Char,,0..1,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,Base,10,Char Long,
165,2,Reference Association,,User,Department,,Business Segment,0..1,The department within a business segment that is associated with a particular user.,Base,10,,
166,1,Class,,Customized Account Segment,,,,,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,44,,
167,2,Attribute,PK,Customized Account Segment,Code,Identifier,,1..1,The unique code for a non-standard account segment relevant to audit data.,Base,44,Identifier Medium,
168,2,Attribute,,Customized Account Segment,Name,Name,,0..1,The name for a non-standard account segment relevant to audit data.,Base,44,Name Long,
169,2,Attribute,,Customized Account Segment,Description,Text,,0..1,The detailed explanation of a customized account segment pertinent to audit requirements.,Base,44,Text Medium,
170,2,Attribute,,Customized Account Segment,Customized Account Encoding Rule,Code,,0..1,"The structured format for the values within a customized account segment, often delineating hierarchical levels.",Base,44,ENCODING RULE CODE,
171,2,Attribute,,Customized Account Segment,Hierarchy Indicator,Indicator,,0..1,"The binary indicator that signifies whether an account segment value is part of a hierarchical arrangement, with '1' representing presence and '0' representing absence of hierarchy.",Base,44,Indicator,
172,2,Attribute,,Customized Account Segment,Active Indicator,Indicator,,0..1,The flag indicating if a customized account segment is currently in use within the accounting system.,Base,44,Indicator,
173,1,Class,,Customized Account Value,,,,,The unique code representing a value within a customized account segment.,Base,46,,
174,2,Attribute,PK,Customized Account Value,Code,Identifier,,1..1,The unique code representing a value within a customized account segment.,Base,46,Identifier Medium,
175,2,Attribute,,Customized Account Value,Name,Name,,0..1,The identifier for a specific value within an account segment.,Base,46,Name Long,
176,2,Attribute,,Customized Account Value,Description,Text,,0..1,The explanation of the significance or content of an account segment's value.,Base,46,Text Medium,
177,2,Attribute,,Customized Account Value,Hierarchy,Identifier,,0..1,The designated level within the hierarchical structure of customized account values.,Base,46,HIERARCHY LEVEL,
178,2,Reference Association,,Customized Account Value,,,Customized Account Segment,0..1,The unique category within audit data services holds financial details that extend beyond standard account segments.,Base,46,,
179,1,Class,,Customized Account Value Hierarchy,,,,,A class establishes the hierarchical relationships among individual customized account values.,Base,46,,
180,2,Reference Association,PK,Customized Account Value Hierarchy,Child,,Customized Account Value,1..1,The specific value within a customized account value hierarchy that is subordinate to a parent value.,Base,46,,
181,2,Reference Association,PK,Customized Account Value Hierarchy,Parent,,Customized Account Value,1..1,The specific value within a customized account value hierarchy that is superior to a child value.,Base,46,,
182,1,Class,,Employee,,,,,A class that holds individual employee details within a specific accounting entity.,Base,8,,
183,2,Attribute,PK,Employee,ID,Identifier,,1..1,The unique identifier for an employee.,Base,8,Identifier Medium,
184,2,Attribute,,Employee,Code,Char,,0..1,"The unique identification code assigned to an employee, which remains singular across various roles or departments within the organization.",Base,8,Char Medium,
185,2,Attribute,,Employee,Name,Name,,0..1,The name of an individual employed by an organization.,Base,8,Name Medium,
186,2,Attribute,,Employee,Active Indicator,Indicator,,0..1,"The binary indicator that denotes an employee's current operational status within the organization, with '1' for active and '0' for inactive.",Base,8,Indicator,
187,2,Attribute,,Employee,Type Code,Char,,0..1,The classification assigned to employees to represent their employment status.,Base,8,Char Medium,
188,2,Attribute,,Employee,Type Name,Name,,0..1,The category that describes an employee's work arrangement or status with an organization.,Base,8,Name Short,
189,2,Attribute,,Employee,Job Title,Char,,0..1,"The official designation assigned to an employee within an organization, reflecting their duties and responsibilities.",Base,8,Char Medium,
190,2,Attribute,,Employee,Academic Degree,Char,,0..1,The highest level of academic qualification obtained by an employee.,Base,8,Char Medium,
191,2,Attribute,,Employee,Employment Date,Date,,0..1,The date an individual officially began their period of employment with an organization.,Base,8,DATE,
192,2,Attribute,,Employee,Termination Date,Date,,0..1,The date on which an employee's contract ceases to be effective or the date the employee ceases working in a particular department.,Base,8,DATE,
193,2,Reference Association,,Employee,Department,,Business Segment,0..1,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Base,8,,
194,2,Reference Association,,Employee,,,User,0..1,"The class holds user information that's key to controlling access, ensuring security, and monitoring system activities.",Base,8,,
195,1,Class,,General Ledger Account Segment,,,,,"A sub-component of a ledger account, holding specific sub-account information that contributes to detailed financial analysis and reporting. It enables the categorization of transactions within a General Ledger Account, facilitating nuanced tracking and management of financial data.",General Ledger,56,,
196,2,Attribute,,General Ledger Account Segment,Number,Char,,0..1,The number for an account segment.,General Ledger,56,Char Medium,
197,2,Attribute,PK,General Ledger Account Segment,Name,Identifier,,1..1,The unique name associated with an account segment.,General Ledger,56,Identifier Long,
198,2,Attribute,,General Ledger Account Segment,Corresponding File,Char,,0..1,The name of the table that stores information relevant to a specific account segment.,General Ledger,56,Char Long,
199,2,Attribute,,General Ledger Account Segment,Description,Text,,0..1,The comprehensive explanation of the purpose and content of an Account Segment.,General Ledger,56,Text Medium,
200,2,Reference Association,,General Ledger Account Segment,,,Customized Account Segment,0..1,The unique category within audit data services includes specific financial details not covered by standard account segments.,General Ledger,56,,
201,2,Reference Association,PK,General Ledger Account Segment,,,Ledger Account,1..1,"A class that records essential details of general ledger accounts such as their names, descriptions, types, and hierarchical positioning.",General Ledger,56,,
202,1,Class,,General Ledger Journal Entry,,,,,"A set of introductory fields in the General Ledger that provides the context for ledger entries, including identifiers like numbers, dates, and descriptive information.",General Ledger,52,,
203,2,Attribute,PK,General Ledger Journal Entry,ID,Identifier,,1..1,The unique identifier for a journal entry.,General Ledger,52,Identifier Long,
204,2,Attribute,,General Ledger Journal Entry,Number,Char,,0..1,The number for each journal entry in a financial recording system.,General Ledger,52,Char Long,
205,2,Attribute,,General Ledger Journal Entry,Effective Date,Date,,0..1,"The date that officially recognizes the journal entry within an entity's financial accounting records, irrespective of the actual entry creation or receipt date.",General Ledger,52,DATE,
206,2,Attribute,,General Ledger Journal Entry,Description,Text,,0..1,The text that characterizes the overall journal entry.,General Ledger,52,Text Medium,
207,2,Composition,,General Ledger Journal Entry,,,Activities,0..1,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",General Ledger,52,,
208,2,Composition,,General Ledger Journal Entry,,,General Ledger Journal Entry Line,0..*,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",General Ledger,52,,
209,2,Reference Association,,General Ledger Journal Entry,,,Accounting Period,0..1,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",General Ledger,52,,
210,2,Reference Association,,General Ledger Journal Entry,,,General Ledger Source,0..1,A class holds supplementary details about sources cited in the General Ledger. It documents the originating ERP system or accounting package and details the associated business processes represented by the data.,General Ledger,52,,
