sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,element,xpath
11,3,A,,bus:Document Information Period Covered Start,,0..1,,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,bus:Document Information,BU07a_09,/CO17a/BU07a_09,$.cor:Accounting Entries.bus:Document Information.bus:Period Covered Start,CorcEnts.BusdInfn.BuspCovrStar,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,bus:documentInformationPeriodCoveredStart,/cor:accountingEntries/bus:documentInformation/bus:documentInformationPeriodCoveredStart
12,3,A,,bus:Document Information Period Covered End,,0..1,,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,bus:Document Information,BU07a_10,/CO17a/BU07a_10,$.cor:Accounting Entries.bus:Document Information.bus:Period Covered End,CorcEnts.BusdInfn.BuspCovrEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,bus:documentInformationPeriodCoveredEnd,/cor:accountingEntries/bus:documentInformation/bus:documentInformationPeriodCoveredEnd
13,3,A,,bus:Document Information Period Count,,0..1,,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",bus,bus:Document Information,BU07a_11,/CO17a/BU07a_11,$.cor:Accounting Entries.bus:Document Information.bus:Period Count,CorcEnts.BusdInfn.BuspCont,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,bus:documentInformationPeriodCount,/cor:accountingEntries/bus:documentInformation/bus:documentInformationPeriodCount
14,3,A,,bus:Document Information Period Unit,,0..1,,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",bus,bus:Document Information,BU07a_12,/CO17a/BU07a_12,$.cor:Accounting Entries.bus:Document Information.bus:Period Unit,CorcEnts.BusdInfn.BuspUnt,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)",bus:documentInformationPeriodUnit,/cor:accountingEntries/bus:documentInformation/bus:documentInformationPeriodUnit
15,3,A,,bus:Document Information Period Unit Description,,0..1,,Free format description of the period unit,bus,bus:Document Information,BU07a_13,/CO17a/BU07a_13,$.cor:Accounting Entries.bus:Document Information.bus:Period Unit Description,CorcEnts.BusdInfn.BuspUntDesc,期間単位説明,対象期間単位の説明。,bus:documentInformationPeriodUnitDescription,/cor:accountingEntries/bus:documentInformation/bus:documentInformationPeriodUnitDescription
16,3,A,,bus:Document Information Source Application,,0..1,,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",bus,bus:Document Information,BU07a_14,/CO17a/BU07a_14,$.cor:Accounting Entries.bus:Document Information.bus:Source Application,CorcEnts.BusdInfn.BussAppn,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,bus:documentInformationSourceApplication,/cor:accountingEntries/bus:documentInformation/bus:documentInformationSourceApplication
17,3,A,,bus:Document Information Target Application,,0..1,,Particular use for which file was generated.,bus,bus:Document Information,BU07a_15,/CO17a/BU07a_15,$.cor:Accounting Entries.bus:Document Information.bus:Target Application,CorcEnts.BusdInfn.BustAppn,対象アプリケーション,ファイルが作成された用途。,bus:documentInformationTargetApplication,/cor:accountingEntries/bus:documentInformation/bus:documentInformationTargetApplication
18,3,A,,bus:Document Information Default Currency,,0..1,,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",bus,bus:Document Information,BU07a_16,/CO17a/BU07a_16,$.cor:Accounting Entries.bus:Document Information.bus:Default Currency,CorcEnts.BusdInfn.BusdCurr,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,bus:documentInformationDefaultCurrency,/cor:accountingEntries/bus:documentInformation/bus:documentInformationDefaultCurrency
19,3,C,,lnk:Document Information Summary Reporting Taxonomies,,0..*,,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,lnk,lnk:Summary Reporting Taxonomies,LK08a,/CO17a/LK08a,$.cor:Accounting Entries.bus:Document Information.lnk:Summary Reporting Taxonomies,CorcEnts.BusdInfn.LnksReprTaxn,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,lnk:documentInformationSummaryReportingTaxonomies,/cor:accountingEntries/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies
20,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy ID,,0..1,,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",lnk,lnk:Summary Reporting Taxonomies,LK08a_01,/CO17a/LK08a/LK08a_01,$.cor:Accounting Entries.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy ID,CorcEnts.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnId,集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyId,/cor:accountingEntries/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyId
21,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Schema Reference Href Attribute,,0..1,,Value of the href attribute of schemaRef in the target reporting taxonomy.,lnk,lnk:Summary Reporting Taxonomies,LK08a_02,/CO17a/LK08a/LK08a_02,$.cor:Accounting Entries.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Schema Reference Href Attribute,CorcEnts.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnScheRefrHrefAttt,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomySchemaReferenceHrefAttribute,/cor:accountingEntries/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomySchemaReferenceHrefAttribute
22,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Header,,0..1,,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,lnk,lnk:Summary Reporting Taxonomies,LK08a_03,/CO17a/LK08a/LK08a_03,$.cor:Accounting Entries.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Header,CorcEnts.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnHedr,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyHeader,/cor:accountingEntries/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyHeader
23,4,A,,lnk:Document Information Summary Reporting Taxonomies Taxonomy Description,,0..1,,A description of the taxonomy for human use.,lnk,lnk:Summary Reporting Taxonomies,LK08a_04,/CO17a/LK08a/LK08a_04,$.cor:Accounting Entries.bus:Document Information.lnk:Summary Reporting Taxonomies.lnk:Summary Reporting Taxonomies Taxonomy Description,CorcEnts.BusdInfn.LnksReprTaxn.LnksReprTaxnTaxnDesc,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,lnk:documentInformationSummaryReportingTaxonomiesTaxonomyDescription,/cor:accountingEntries/bus:documentInformation/lnk:documentInformationSummaryReportingTaxonomies/lnk:documentInformationSummaryReportingTaxonomiesTaxonomyDescription
24,2,C,,cor:Entity Party,,0..1,,Holder for entity information - information about the reporting organization.,cor,cor:Entity_ Party,CO05a,/CO17a/CO05a,$.cor:Accounting Entries.cor:Entity_ Party,CorcEnts.CornPart,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,cor:entityParty,/cor:accountingEntries/cor:entityParty
25,3,A,PK,cor:Entity Party ID,,0..1,,ID Number of the party,cor,cor:Entity_ Party,CO05a_01,/CO17a/CO05a_01,$.cor:Accounting Entries.cor:Entity_ Party.cor:Entity_ Party ID,CorcEnts.CornPart.CornPartId,,,cor:entityPartyId,/cor:accountingEntries/cor:entityParty/cor:entityPartyId
26,3,A,,cor:Entity Party Name,,0..1,,Name of the party,cor,cor:Entity_ Party,CO05a_02,/CO17a/CO05a_02,$.cor:Accounting Entries.cor:Entity_ Party.cor:Entity_ Party Name,CorcEnts.CornPart.CornPartNam,,,cor:entityPartyName,/cor:accountingEntries/cor:entityParty/cor:entityPartyName
27,3,A,,cor:Entity Party Business Description,,0..1,,Description of the nature of the business of the party.,cor,cor:Entity_ Party,CO05a_03,/CO17a/CO05a_03,$.cor:Accounting Entries.cor:Entity_ Party.cor:Entity_ Party Business Description,CorcEnts.CornPart.CornPartBusnDesc,業種説明,事業体の事業の種類についての説明。,cor:entityPartyBusinessDescription,/cor:accountingEntries/cor:entityParty/cor:entityPartyBusinessDescription
28,3,A,,cor:Entity Party Default Accounting Method Purpose,,0..1,,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",cor,cor:Entity_ Party,CO05a_BU17_11,/CO17a/CO05a_BU17_11,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity Party Default Accounting Method Purpose,CorcEnts.CornPart.BusnPartDeflAccgMethPurp,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",cor:entityPartyDefaultAccountingMethodPurpose,/cor:accountingEntries/cor:entityParty/cor:entityPartyDefaultAccountingMethodPurpose
29,3,A,,cor:Entity Party Default Accounting Method Purpose Description,,0..1,,Free format description of the default accounting method purpose,cor,cor:Entity_ Party,CO05a_BU17_12,/CO17a/CO05a_BU17_12,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity Party Default Accounting Method Purpose Description,CorcEnts.CornPart.BusnPartDeflAccgMethPurpDesc,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,cor:entityPartyDefaultAccountingMethodPurposeDescription,/cor:accountingEntries/cor:entityParty/cor:entityPartyDefaultAccountingMethodPurposeDescription
30,3,A,,cor:Entity Party Business Description,,0..1,,Description of the nature of the business of the entity.,cor,cor:Entity_ Party,CO05a_BU17_13,/CO17a/CO05a_BU17_13,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity Party Business Description,CorcEnts.CornPart.BusnPartBusnDesc,業種説明,事業体の事業の種類についての説明。,cor:entityPartyBusinessDescription,/cor:accountingEntries/cor:entityParty/cor:entityPartyBusinessDescription
31,3,A,,cor:Entity Party Fiscal Year Start,,0..1,,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,cor:Entity_ Party,CO05a_BU17_14,/CO17a/CO05a_BU17_14,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity Party Fiscal Year Start,CorcEnts.CornPart.BusnPartFiscYerStar,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,cor:entityPartyFiscalYearStart,/cor:accountingEntries/cor:entityParty/cor:entityPartyFiscalYearStart
32,3,A,,cor:Entity Party Fiscal Year End,,0..1,,"End of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",cor,cor:Entity_ Party,CO05a_BU17_15,/CO17a/CO05a_BU17_15,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity Party Fiscal Year End,CorcEnts.CornPart.BusnPartFiscYerEnd,会計年度終了日付,会計年度の終了日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,cor:entityPartyFiscalYearEnd,/cor:accountingEntries/cor:entityParty/cor:entityPartyFiscalYearEnd
33,3,R,,cor:Entity Party Authority Registered Identifier,,0..*,,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,cor:Entity_ Party,CO01a,/CO17a/CO01a,$.cor:Accounting Entries.cor:Entity_ Party.cor:Entity_ Party_ Authority Registered Identifier,CorcEnts.CornPart.CornPartAthyRegsIdnr,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。,cor:entityPartyAuthorityRegisteredIdentifier,/cor:accountingEntries/cor:entityParty/cor:entityPartyAuthorityRegisteredIdentifier
36,3,C,,bus:Entity Party Contact,,0..*,,Information about contacts.,bus,bus:Entity_ Party_ Contact,BU08a,/CO17a/BU08a,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact,CorcEnts.CornPart.BusnPartCont,【担当者情報】,担当者に関する情報。,bus:entityPartyContact,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact
37,4,A,,bus:Entity Party Contact Prefix,,0..1,,"Prefix (e.g. Dr., Mr., Mrs.)",bus,bus:Entity_ Party_ Contact,BU08a_01,/CO17a/BU08a/BU08a_01,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Prefix,CorcEnts.CornPart.BusnPartCont.BusnPartContPref,敬称,敬称(Dr.、Mr.、Mrs.など),bus:entityPartyContactPrefix,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPrefix
38,4,A,,bus:Entity Party Contact Last Name,,0..1,,Last or family name,bus,bus:Entity_ Party_ Contact,BU08a_02,/CO17a/BU08a/BU08a_02,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Last Name,CorcEnts.CornPart.BusnPartCont.BusnPartContLastNam,姓,姓,bus:entityPartyContactLastName,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactLastName
39,4,A,,bus:Entity Party Contact First Name,,0..1,,First or given name,bus,bus:Entity_ Party_ Contact,BU08a_03,/CO17a/BU08a/BU08a_03,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact First Name,CorcEnts.CornPart.BusnPartCont.BusnPartContFirsNam,名,名、クリスチャンネーム,bus:entityPartyContactFirstName,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactFirstName
40,4,A,,bus:Entity Party Contact Suffix,,0..1,,"Suffix (e.g. MD, CPA, Jr.)",bus,bus:Entity_ Party_ Contact,BU08a_04,/CO17a/BU08a/BU08a_04,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Suffix,CorcEnts.CornPart.BusnPartCont.BusnPartContSuff,付加名称,付加名称(MD、CPA、Jr.など),bus:entityPartyContactSuffix,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactSuffix
41,4,A,,bus:Entity Party Contact Attention Line,,0..1,,Attention Line,bus,bus:Entity_ Party_ Contact,BU08a_05,/CO17a/BU08a/BU08a_05,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Attention Line,CorcEnts.CornPart.BusnPartCont.BusnPartContAttnLin,アテンションライン,アテンションライン,bus:entityPartyContactAttentionLine,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactAttentionLine
42,4,A,,bus:Entity Party Contact Position Role,,0..1,,Position or role,bus,bus:Entity_ Party_ Contact,BU08a_06,/CO17a/BU08a/BU08a_06,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Position Role,CorcEnts.CornPart.BusnPartCont.BusnPartContPostRol,地位/役職,地位や役職。,bus:entityPartyContactPositionRole,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPositionRole
43,4,A,,bus:Entity Party Contact Type,,0..1,,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",bus,bus:Entity_ Party_ Contact,BU08a_07,/CO17a/BU08a/BU08a_07,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Type,CorcEnts.CornPart.BusnPartCont.BusnPartContType,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,bus:entityPartyContactType,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactType
44,4,A,,bus:Entity Party Contact Location ID cross reference,,0..1,,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,bus,bus:Entity_ Party_ Contact,BU08a_08,/CO17a/BU08a/BU08a_08,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Location ID cross reference,CorcEnts.CornPart.BusnPartCont.BusnPartContLoctIdCrosRefr,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,bus:entityPartyContactLocationIdCrossReference,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactLocationIdCrossReference
45,4,A,,bus:Entity Party Contact Active,,0..1,,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,bus:Entity_ Party_ Contact,BU08a_09,/CO17a/BU08a/BU08a_09,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Entity Party Contact Active,CorcEnts.CornPart.BusnPartCont.BusnPartContActv,担当者有効性,担当者が有効か無効かを示すブール値。,bus:entityPartyContactActive,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactActive
46,4,C,,bus:Entity Party Contact Phone,,0..*,,"Phone number information, as a specialisation of Communication.",bus,bus:Contact_ Phone,BU02a,/CO17a/BU08a/BU02a,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Contact_ Phone,CorcEnts.CornPart.BusnPartCont.BuscPhon,【電話番号】,電話番号情報（通信手段の特化）。,bus:entityPartyContactPhone,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone
47,5,A,,bus:Entity Party Contact Phone URI Identifier,,0..1,,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:Contact_ Phone,BU02a_01,/CO17a/BU08a/BU02a/BU02a_01,$.cor:Accounting Entries.cor:Entity_ Party.bus:Entity_ Party_ Contact.bus:Contact_ Phone.bus:Entity Party Contact Phone URI Identifier,CorcEnts.CornPart.BusnPartCont.BuscPhon.BusnPartContPhonUriIdnr,URI,メールアドレスやWebアドレス等のURI。,bus:entityPartyContactPhoneUriIdentifier,/cor:accountingEntries/cor:entityParty/bus:entityPartyContact/bus:entityPartyContactPhone/bus:entityPartyContactPhoneUriIdentifier
