sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,element,label_local,definition_local,id
2,2,Attribute,,bus:Communication,bus:URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:uriIdentifier,URI,メールアドレスやWebアドレス等のURI。,BU01_01
3,2,Attribute,,bus:Communication,bus:Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
AO (Uniform Resource Location : URL) Identification of the Uniform Resource Location (URL) Synonym: World wide web address.
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:channelCode,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
AO(URL) URL（Uniform Resource Location）の識別。同義語：ワールドワイドウェブアドレス。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",BU01_02
4,2,Attribute,,bus:Communication,bus:Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,bus:completeNumber,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,BU01_03
5,2,Attribute,,bus:Communication,bus:Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:useCode,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU01_04
61,1,Class,,bus:Contact,,,,0..*,Information about contacts.,bus,bus:contact,【担当者情報】,担当者に関する情報。,BU07
62,2,Attribute,,bus:Contact,bus:Prefix,String,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",bus,bus:prefix,敬称,敬称(Dr.、Mr.、Mrs.など),BU07_01
63,2,Attribute,,bus:Contact,bus:Last Name,String,,0..1,Last or family name,bus,bus:lastName,姓,姓,BU07_02
64,2,Attribute,,bus:Contact,bus:First Name,String,,0..1,First or given name,bus,bus:firstName,名,名、クリスチャンネーム,BU07_03
65,2,Attribute,,bus:Contact,bus:Suffix,String,,0..1,"Suffix (e.g. MD, CPA, Jr.)",bus,bus:suffix,付加名称,付加名称(MD、CPA、Jr.など),BU07_04
66,2,Attribute,,bus:Contact,bus:Attention Line,String,,0..1,Attention Line,bus,bus:attentionLine,アテンションライン,アテンションライン,BU07_05
67,2,Attribute,,bus:Contact,bus:Position Role,String,,0..1,Position or role,bus,bus:positionRole,地位/役職,地位や役職。,BU07_06
68,2,Attribute,,bus:Contact,bus:Type,String,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",bus,bus:type,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BU07_07
69,2,Attribute,,bus:Contact,bus:Location ID cross reference,String,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,bus,bus:locationIdCrossReference,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BU07_08
70,2,Attribute,,bus:Contact,bus:Active,Boolean,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,bus:active,担当者有効性,担当者が有効か無効かを示すブール値。,BU07_09
71,2,Composition,,bus:Contact,,,bus:Phone,0..*,Contact Phone Number,bus,bus:phone,【担当者電話番号】,担当者の電話番号。,BU07_10
72,2,Composition,,bus:Contact,,,bus:Fax,0..*,Contact Fax Number Class,bus,bus:fax,【担当者FAX番号】,担当者のFAX番号のクラス。,BU07_11
73,2,Composition,,bus:Contact,,,bus:Email,0..*,Contact E-mail address class,bus,bus:email,【担当者Eメールアドレス】,担当者のEメールアドレスのクラス。,BU07_12
18,1,Class,,bus:Email,,,,0..*,Email address information.,bus,bus:email,【Eメールアドレス】,Eメールアドレス情報。,BU04
20,2,Attribute,,bus:Email,bus:URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:uriIdentifier,URI,メールアドレスやWebアドレス等のURI。,BU04_01
21,2,Attribute,,bus:Email,bus:Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:channelCode,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",BU04_02
22,2,Attribute,,bus:Email,bus:Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,bus:completeNumber,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,BU04_03
23,2,Attribute,,bus:Email,bus:Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:useCode,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU04_04
12,1,Class,,bus:Fax,,,,0..*,Fax number information.,bus,bus:fax,【FAX番号】,FAX番号情報。,BU03
14,2,Attribute,,bus:Fax,bus:URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:uriIdentifier,URI,メールアドレスやWebアドレス等のURI。,BU03_01
15,2,Attribute,,bus:Fax,bus:Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:channelCode,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",BU03_02
16,2,Attribute,,bus:Fax,bus:Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,bus:completeNumber,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,BU03_03
17,2,Attribute,,bus:Fax,bus:Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:useCode,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU03_04
87,1,Class,,bus:Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,bus:period,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU10
88,2,Attribute,PK,bus:Period,bus:ID,String,,0..1,An identifier for this period in this calendar,bus,bus:id,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU10_01
89,2,Attribute,,bus:Period,bus:Description,String,,0..1,A description of this specific reporting period in this calendar.,bus,bus:description,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU10_02
90,2,Attribute,,bus:Period,bus:Start Date,Date Time,,0..1,The beginning date/time of a period,bus,bus:startDate,期間開始日付,期間の開始日付/時刻,BU10_03
91,2,Attribute,,bus:Period,bus:End Date,Date Time,,0..1,The ending date/time of a period,bus,bus:endDate,期間終了日付,期間の終了日付/時刻,BU10_04
6,1,Class,,bus:Phone,,,,0..*,"Phone number information, as a specialisation of Communication.",bus,bus:phone,【電話番号】,電話番号情報（通信手段の特化）。,BU02
8,2,Attribute,,bus:Phone,bus:URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:uriIdentifier,URI,メールアドレスやWebアドレス等のURI。,BU02_01
9,2,Attribute,,bus:Phone,bus:Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:channelCode,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",BU02_02
10,2,Attribute,,bus:Phone,bus:Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,bus:completeNumber,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,BU02_03
11,2,Attribute,,bus:Phone,bus:Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:useCode,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU02_04
99,1,Class,,bus:Reporting Calendar,,,,0..*,A tool to collect the periods used to summarise results from transactions.,bus,bus:reportingCalendar,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。,BU12
100,2,Attribute,,bus:Reporting Calendar,bus:Code,String,,0..1,"The code used to identify this specific reporting calendar, unique across periods",bus,bus:code,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。,BU12_01
101,2,Attribute,,bus:Reporting Calendar,bus:Description,String,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),bus,bus:description,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。,BU12_02
102,2,Attribute,,bus:Reporting Calendar,bus:Title,String,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,bus,bus:title,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。,BU12_03
103,2,Attribute,,bus:Reporting Calendar,bus:Type Code,Token,,0..1,"A code for the type of period involved. Enumerated as: monthly, quarterly, semi-annually, 4-5-4, ad-hoc, other.",bus,bus:typeCode,期間種別コード,"報告期間の種別コード。月次、四半期ごと、半期ごと、4-5-4、随時、その他
[設定値のリスト]
(monthly：月次)、(quarterly：四半期ごと)、(semi-annually：半期ごと)、(4-5-4：4-5-4)、(ad-hoc：随時)、(other：その他)",BU12_04
104,2,Attribute,,bus:Reporting Calendar,bus:Type Code Description,String,,0..1,A description of the type of period involved.,bus,bus:typeCodeDescription,期間種別説明,報告期間の種別の説明。,BU12_05
105,2,Attribute,,bus:Reporting Calendar,bus:Closed Status,Token,,0..1,"An identifier on whether the reporting calendar is still open for activity. enumerated, ""open"", ""closed"", ""pending""",bus,bus:closedStatus,締状態,"報告カレンダーがオープンかどうかを示す識別子。オープン、締切り済み、保留中
[設定値のリスト]
(open：オープン)、(closed：締切り済み)、(pending：保留中)",BU12_06
106,2,Attribute,,bus:Reporting Calendar,bus:Purpose,Token,,0..1,A description of the accounting set of books involved. Uses enumeration from accounting method purpose.,bus,bus:purpose,報告目的,"帳簿の集合の説明。会計処理方法の目的の列挙値を使用する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",BU12_07
107,2,Attribute,,bus:Reporting Calendar,bus:Purpose Description,String,,0..1,Free format description of the reporting purpose,bus,bus:purposeDescription,報告目的説明,報告目的の説明。,BU12_08
108,2,Composition,,bus:Reporting Calendar,,,bus:Reporting Calendar_ Period,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,bus:reportingCalendarPeriod,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU12_09
92,1,Class,,bus:Reporting Calendar_ Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,bus:reportingCalendarPeriod,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。,BU11
94,2,Attribute,PK,bus:Reporting Calendar_ Period,bus:ID,String,,0..1,An identifier for this period in this calendar,bus,bus:id,報告期間識別子,このカレンダーにおけるこの期間の識別子。,BU11_01
95,2,Attribute,,bus:Reporting Calendar_ Period,bus:Description,String,,0..1,A description of this specific reporting period in this calendar.,bus,bus:description,期間説明,このカレンダーにおけるこの特定の期間の説明。,BU11_02
96,2,Attribute,,bus:Reporting Calendar_ Period,bus:Start Date,Date Time,,0..1,The beginning date/time of a period,bus,bus:startDate,期間開始日付,期間の開始日付/時刻,BU11_03
97,2,Attribute,,bus:Reporting Calendar_ Period,bus:End Date,Date Time,,0..1,The ending date/time of a period,bus,bus:endDate,期間終了日付,期間の終了日付/時刻,BU11_04
98,2,Attribute,,bus:Reporting Calendar_ Period,bus:Closed Date,Date Time,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",bus,bus:closedDate,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。",BU11_05
24,1,Class,,bus:Web Site,,,,0..*,Web site information.,bus,bus:webSite,【Webサイト】,ウェブサイト情報。,BU05
26,2,Attribute,,bus:Web Site,bus:URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,bus:uriIdentifier,URI,メールアドレスやWebアドレス等のURI。,BU05_01
27,2,Attribute,,bus:Web Site,bus:Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,bus:channelCode,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。",BU05_02
28,2,Attribute,,bus:Web Site,bus:Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,bus:completeNumber,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。,BU05_03
29,2,Attribute,,bus:Web Site,bus:Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,bus:useCode,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)",BU05_04
587,1,Class,,cor:Accounting Entries,,,,1..*,Root for XBRL GL. No entry made here.,cor,cor:accountingEntries,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,CO05
589,2,Composition,,cor:Accounting Entries,,,cor:Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,cor,cor:entityParty,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,CO05_01
109,1,Class,,cor:Authority Registered Identifier,,,,0..*,Class representing an identifier that is registered with and issued or recognised by an external authority. It provides information about the authority responsible for the registration and verification of the identifier.,cor,cor:authorityRegisteredIdentifier,【外部機関登録識別子】,外部機関に登録され、当該機関によって発行または認証される識別子を表すクラス。識別子の登録・認証を行う外部機関に関する情報も提供する。,CO01
110,2,Attribute,PK,cor:Authority Registered Identifier,cor:Authority Registered ID,String,,0..1,"Identifier of the registered authority identifier record within this report, used to uniquely identify and reference the instance.",cor,cor:authorityRegisteredId,外部機関登録識別子ID,外部機関に登録識別子のレコードを一意に識別するためのID。,CO01_01
111,2,Attribute,,cor:Authority Registered Identifier,cor:Authority Registered Name,String,,0..1,Name or descriptive label of the identifier as registered with the authority.,cor,cor:authorityRegisteredName,外部機関登録識別子名称,外部機関登録識別子に識別するためのID。,CO01_02
112,2,Attribute,PK,cor:Authority Registered Identifier,cor:Authority Code,String,,0..1,Code identifying the external authority with which the identifier is registered.,cor,cor:authorityCode,外部機関コード,当該識別子が登録されている外部機関を識別するコード。（例：税務当局コード）。,CO01_03
113,2,Attribute,,cor:Authority Registered Identifier,cor:Authority Name,String,,0..1,Name of the external authority responsible for registering or verifying the identifier.,cor,cor:authorityName,外部機関名,識別子の登録または認証を行う外部機関の名称。（たとえば、税務署）,CO01_04
114,2,Attribute,,cor:Authority Registered Identifier,cor:Authority Verification Date,Date Time,,0..1,Date on which the external authority last verified or confirmed the registered identifier.,cor,cor:authorityVerificationDate,外部機関認証日付,外部機関が当該登録識別子を最後に認証または確認した日付。,CO01_05
157,1,Class,,cor:Entity_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,cor,cor:entityParty,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,CO04
159,2,Attribute,PK,cor:Entity_ Party,cor:ID,String,,0..1,ID Number of the party,cor,cor:id,,,CO04_01
160,2,Attribute,,cor:Entity_ Party,cor:Name,String,,0..1,Name of the party,cor,cor:name,,,CO04_02
161,2,Attribute,,cor:Entity_ Party,cor:Business Description,String,,0..1,Description of the nature of the business of the party.,cor,cor:businessDescription,業種説明,事業体の事業の種類についての説明。,CO04_03
169,2,Attribute,,cor:Entity_ Party,bus:Default Accounting Method Purpose,Token,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",cor,bus:defaultAccountingMethodPurpose,既定会計処理方法目的,"明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)",CO04_BU15_11
170,2,Attribute,,cor:Entity_ Party,bus:Default Accounting Method Purpose Description,String,,0..1,Free format description of the default accounting method purpose,cor,bus:defaultAccountingMethodPurposeDescription,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,CO04_BU15_12
