seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,LocalLabel,LocalDocumentation
11,2,Attribute,,Phone,Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
12,1,Class,,Fax,,,,0..*,Fax number information.,bus,【FAX番号】,FAX番号情報。
13,2,Specialization,,Fax,,,Communication,1,Specialisation of Communication for telephone. Communication Channel Code SHALL be 'telephone'.,bus,【通信手段】,通信手段（電話）としての特化。通信チャネルコードは 'telephone' とする。
14,2,Attribute,,Fax,URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,URI,メールアドレスやWebアドレス等のURI。
15,2,Attribute,,Fax,Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。"
16,2,Attribute,,Fax,Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。
17,2,Attribute,,Fax,Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
18,1,Class,,Email,,,,0..*,Email address information.,bus,【Eメールアドレス】,Eメールアドレス情報。
19,2,Specialization,,Email,,,Communication,1,Specialisation of Communication for telephone. Communication Channel Code SHALL be 'telephone'.,bus,【通信手段】,通信手段（電話）としての特化。通信チャネルコードは 'telephone' とする。
20,2,Attribute,,Email,URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,URI,メールアドレスやWebアドレス等のURI。
21,2,Attribute,,Email,Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。"
22,2,Attribute,,Email,Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。
23,2,Attribute,,Email,Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
24,1,Class,,Web Site,,,,0..*,Web site information.,bus,【Webサイト】,ウェブサイト情報。
25,2,Specialization,,Web Site,,,Communication,1,Specialisation of Communication for telephone. Communication Channel Code SHALL be 'telephone'.,bus,【通信手段】,通信手段（電話）としての特化。通信チャネルコードは 'telephone' とする。
26,2,Attribute,,Web Site,URI Identifier,String,,0..1,"The Uniform Resource Identifier (URI), such as a web or an email address, for this communication.",bus,URI,メールアドレスやWebアドレス等のURI。
27,2,Attribute,,Web Site,Channel Code,String,,0..1,"A code specifying the communication channel or medium through which contact information is provided or used.
This code identifies the type of communication mechanism associated with a contact point, in accordance with UN/EDIFACT Data Element 3155 – Communication means type code. It enables consistent interpretation of contact details across systems and jurisdictions.
Examples (non-exhaustive):
TE (Telephone) Voice or data communication via a telephone network.
FX (Telefax) Transmission of documents via facsimile equipment.
EM (Electronic mail) Communication using electronic mail (email). 
The Channel Code is used in conjunction with the corresponding communication identifier (e.g. phone number, fax number, or email address) and supports extensibility for additional communication types as defined by applicable code lists or jurisdictional requirements.",bus,通信チャネルコード,"連絡先情報が提供または使用される通信チャネルまたは媒体を指定するコード。
このコードは、UN/EDIFACTデータ要素3155「通信手段種別コード」に基づき、連絡先に関連付けられた通信手段の種類を識別する。これにより、システムや管轄区域をまたいで連絡先情報を一貫して解釈できる。
例（これらに限定されません）：
TE(電話)　電話網を介した音声またはデータ通信。
FX(テレファックス)　ファクシミリ機器を介した文書の送信。
EM(電子メール)　電子メール（Eメール）を使用した通信。
チャネルコードは、対応する通信識別子（電話番号、FAX番号、Eメールアドレスなど）と組み合わせて使用​​され、該当するコードリストまたは管轄区域の要件で定義されている追加の通信種別への拡張性をサポートする。"
28,2,Attribute,,Web Site,Complete Number,String,,0..1,The text string of characters that make up the complete number for this communication.,bus,通信番号（完全）,国番号・市外局番等を含む完全な番号文字列（電話番号、FAX番号等）。
29,2,Attribute,,Web Site,Use Code,String,,0..1,"The code specifying the usage or purpose of this communication, such as main, investor-relations, direct. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other.",bus,通信用途コード,"代表、IR用などの通信用途コード。
[設定値のリスト]
(bookkeeper：記帳係)、(controller：会計責任者)、(direct：直通)、(fax：FAX)、(investor-relations：IR窓口)、(main：代表)、(switchboard：交換台)、(other：その他)"
30,1,Class,,Address,,,,0..*,Class which contains address information.,bus,【住所】,住所情報。
31,2,Attribute,,Address,Address Name,String,,0..1,Address Name,bus,住所名,住所の名前。
32,2,Attribute,,Address,Address Description,String,,0..1,Address Description,bus,住所説明,住所の説明。
33,2,Attribute,,Address,Address Purpose,String,,0..1,Address Purpose,bus,住所目的,住所の目的。
34,2,Attribute,,Address,Location ID,String,,0..1,A code used to identify the location and to associate it with contacts and transactions,bus,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。
35,2,Attribute,,Address,Building Number,String,,0..1,Building Number,bus,住所建物番号,建物番号。
36,2,Attribute,,Address,Street,String,,0..1,Street address,bus,住所通り,住所の通り。
37,2,Attribute,,Address,Address Detail,String,,0..1,Address Detail,bus,住所詳細,住所詳細。
38,2,Attribute,,Address,City,String,,0..1,City,bus,住所都市,住所の都市。
39,2,Attribute,,Address,State or Province,String,,0..1,"State, province or region",bus,住所州,住所の州や地方。
40,2,Attribute,,Address,Country,String,,0..1,Country,bus,住所国,住所の国。
41,2,Attribute,,Address,Zip or Postal Code,String,,0..1,Zip or other postal code,bus,住所郵便番号,住所の郵便番号。
42,2,Attribute,,Address,Address Active Indicator,Boolean,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",bus,住所有効性,住所が有効か無効かを示すブール値。
43,1,Class,,Document Information,,,,1..1,Parent for descriptive information about the accountingEntries Class in which it is contained.,bus,【文書情報】,この会計仕訳に関する情報の親タグ。
44,2,Attribute,PK,Document Information,Number,String,,0..1,Unique identifier for this file.,bus,監査番号,このファイルの一意識別子。
45,2,Attribute,PK,Document Information,Type,Token,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] classs to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] class, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",bus,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)"
46,2,Attribute,,Document Information,Entry Date,Date Time,,0..1,Date/time file was created.,bus,作成日付,ファイルが作成された日付/時間。
47,2,Attribute,,Document Information,Revises Audit Number,String,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",bus,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
48,2,Attribute,,Document Information,Action to Take with Previous Data,Token,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,bus,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)"
49,2,Attribute,,Document Information,Language,QName,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",bus,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。
50,2,Attribute,,Document Information,Creator,String,,0..1,Identifies the creator of the XBRL instance.,bus,作成者,ファイルの作成者の識別子。
51,2,Attribute,,Document Information,Comment,String,,0..1,Text for entire document.,bus,文書コメント,文書全体に対する説明文。
52,2,Attribute,,Document Information,Period Covered Start,Date Time,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
53,2,Attribute,,Document Information,Period Covered End,Date Time,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",bus,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
54,2,Attribute,,Document Information,Period Count,Decimal,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",bus,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
55,2,Attribute,,Document Information,Period Unit,Token,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",bus,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)"
56,2,Attribute,,Document Information,Period Unit Description,String,,0..1,Free format description of the period unit,bus,期間単位説明,対象期間単位の説明。
57,2,Attribute,,Document Information,Source Application,String,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",bus,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。
58,2,Attribute,,Document Information,Target Application,String,,0..1,Particular use for which file was generated.,bus,対象アプリケーション,ファイルが作成された用途。
59,2,Attribute,,Document Information,Default Currency,QName,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",bus,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。
60,2,Composition,,Document Information,,,Summary Reporting Taxonomies,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,lnk,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
61,1,Class,,Contact,,,,0..*,Information about contacts.,bus,【担当者情報】,担当者に関する情報。
62,2,Attribute,,Contact,Prefix,String,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",bus,敬称,敬称(Dr.、Mr.、Mrs.など)
63,2,Attribute,,Contact,Last Name,String,,0..1,Last or family name,bus,姓,姓
64,2,Attribute,,Contact,First Name,String,,0..1,First or given name,bus,名,名、クリスチャンネーム
65,2,Attribute,,Contact,Suffix,String,,0..1,"Suffix (e.g. MD, CPA, Jr.)",bus,付加名称,付加名称(MD、CPA、Jr.など)
66,2,Attribute,,Contact,Attention Line,String,,0..1,Attention Line,bus,アテンションライン,アテンションライン
67,2,Attribute,,Contact,Position Role,String,,0..1,Position or role,bus,地位/役職,地位や役職。
68,2,Attribute,,Contact,Type,String,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",bus,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。
69,2,Attribute,,Contact,Location ID cross reference,String,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,bus,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
70,2,Attribute,,Contact,Active,Boolean,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",bus,担当者有効性,担当者が有効か無効かを示すブール値。
71,2,Composition,,Contact,,,Phone,0..*,Contact Phone Number,bus,【担当者電話番号】,担当者の電話番号。
72,2,Composition,,Contact,,,Fax,0..*,Contact Fax Number Class,bus,【担当者FAX番号】,担当者のFAX番号のクラス。
73,2,Composition,,Contact,,,Email,0..*,Contact E-mail address class,bus,【担当者Eメールアドレス】,担当者のEメールアドレスのクラス。
74,1,Class,,Accounting Method,,,,0..*,Class for identifying the methods of accounting used by the entity for different reporting purposes,bus,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのクラス。
75,2,Attribute,,Accounting Method,Code,Token,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",bus,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
76,2,Attribute,,Accounting Method,Description,String,,0..1,Free format description of the accounting method,bus,会計処理方法説明,会計処理方法の説明。
77,2,Attribute,,Accounting Method,Purpose,Token,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",bus,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
78,2,Attribute,,Accounting Method,Purpose Description,String,,0..1,Free format description of the accounting method purpose,bus,会計処理方法目的説明,会計処理方法の目的の説明。
79,2,Attribute,,Accounting Method,Start Date,Date Time,,0..1,Accounting Method Start Date,bus,会計処理方法開始日付,会計処理方法の開始日。
80,2,Attribute,,Accounting Method,End Date,Date Time,,0..1,Accounting Method End Date,bus,会計処理方法終了日付,会計処理方法の終了日。
81,1,Class,,Accountant,,,,0..*,Information about the relevant external accountant,bus,【会計事務所情報】,関連する外部会計事務所に関する情報。
82,2,Attribute,,Accountant,Accountant Name,String,,0..1,Name of the accountant,bus,会計事務所名,会計事務所の名前。
83,2,Attribute,,Accountant,Accountant Type of Engagement,Token,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",bus,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)"
84,2,Attribute,,Accountant,Accountant Type of Engagement Description,String,,0..1,Free format description of the type of engagement,bus,契約種別説明,契約種別の説明。
85,2,Composition,,Accountant,,,Address,0..*,Class which contains accountant address information.,bus,【会計事務所住所】,会計事務所の住所情報を含むクラス。
86,2,Composition,,Accountant,,,Contact,0..*,Accountant Contact Information Class,bus,【会計事務所担当者情報】,会計事務所の担当者情報のクラス。
87,1,Class,,Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
88,2,Attribute,PK,Period,ID,String,,0..1,An identifier for this period in this calendar,bus,報告期間識別子,このカレンダーにおけるこの期間の識別子。
89,2,Attribute,,Period,Description,String,,0..1,A description of this specific reporting period in this calendar.,bus,期間説明,このカレンダーにおけるこの特定の期間の説明。
90,2,Attribute,,Period,Start Date,Date Time,,0..1,The beginning date/time of a period,bus,期間開始日付,期間の開始日付/時刻
91,2,Attribute,,Period,End Date,Date Time,,0..1,The ending date/time of a period,bus,期間終了日付,期間の終了日付/時刻
92,1,Class,,Reporting Calendar_ Period,,,,0..*,A tool to collect a specific set of periods used to summarize results from transactions.,bus,【報告カレンダー期間】,取引の結果をまとめるための特定の期間を集めるもの。
93,2,Specialization,,Reporting Calendar_ Period,,,Period,1,,bus,,
94,2,Attribute,PK,Reporting Calendar_ Period,ID,String,,0..1,An identifier for this period in this calendar,bus,報告期間識別子,このカレンダーにおけるこの期間の識別子。
95,2,Attribute,,Reporting Calendar_ Period,Description,String,,0..1,A description of this specific reporting period in this calendar.,bus,期間説明,このカレンダーにおけるこの特定の期間の説明。
96,2,Attribute,,Reporting Calendar_ Period,Start Date,Date Time,,0..1,The beginning date/time of a period,bus,期間開始日付,期間の開始日付/時刻
97,2,Attribute,,Reporting Calendar_ Period,End Date,Date Time,,0..1,The ending date/time of a period,bus,期間終了日付,期間の終了日付/時刻
98,2,Attribute,,Reporting Calendar_ Period,Closed Date,Date Time,,0..1,"The date/time a period has been closed for activity. If this is present with a nill value (xsi:nill=""true"") then the period is not closed.",bus,期間締日付,"この期間の活動が締め切られた日付/時刻。この値がニル値(xsi:nill=""true"")であれば、この期間は、締め切られていない。"
99,1,Class,,Reporting Calendar,,,,0..*,A tool to collect the periods used to summarise results from transactions.,bus,【報告カレンダー】,取引の結果をまとめるための期間を集めるもの。
100,2,Attribute,,Reporting Calendar,Code,String,,0..1,"The code used to identify this specific reporting calendar, unique across periods",bus,報告カレンダーコード,この報告カレンダーを識別するコード。複数期間にわたって一意。
101,2,Attribute,,Reporting Calendar,Description,String,,0..1,A description of the reporting calendar (associated with the reportingCalendarCode given),bus,報告カレンダー説明,報告カレンダーの説明（reportingCalendarCodeと関係付けられる）。
102,2,Attribute,,Reporting Calendar,Title,String,,0..1,A description of the reporting period. The actual beginning and ending dates are found within the 'reportingCalendarPeriod' class,bus,報告カレンダータイトル,報告期間の説明。実際の開始日及び終了日はreportingCalendarPeriodに記述する。
