seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Definition,module,LocalLabel,LocalDocumentation
27,2,Attribute,,Header_ Multicurrency,Comment,String,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,btx,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。
28,1,Class,,Header_ Account Identifier,,,,0..*,"Class: parent container for account numbers and identifiers applied at the document level. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",btx,【ヘッダ科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division"
29,2,Specialization,,Header_ Account Identifier,,,Account Identifier,1,,cor,,
30,2,Attribute,PK,Header_ Account Identifier,Number,String,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",btx,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。"
31,2,Attribute,,Header_ Account Identifier,Description,String,,0..1,Description of accountMainID - the human readable describer that accompanies the code used in accountMainID,btx,主勘定科目説明,主勘定科目コードの説明。主勘定科目コードとして使用されるコードについての、人が読める記述。
32,2,Attribute,,Header_ Account Identifier,Classification,Token,,0..1,"Account type - FASB Concepts 6 and similar international designs. When xbrlInfo is used to associated other XBRL reporting items, this field is more suited to representing existing systems (audit) than data interchange. Enumerated as: asset, liability, equity, income, gain, expense, loss, contr-to-equity, distr-from-equity, comprehensive-income, other.",btx,主勘定科目区分,"主勘定科目の種別。FASB Concepts 6および、同様の国際的な様式。xbrlInfoが他のXBRL項目と関係付けられる場合、データ交換より現存システム(audit)を示すべき。
[設定値のリスト]
(asset：資産)、(liability：負債)、(equity：資本)、(income：収益)、(gain：利得)、(expense：費用)、(loss：損失)、(contr-to-equity：資本増加)、(distr-from-equity：資本減少)、(comprehensive-income：包括利益)、(other：その他)"
33,2,Attribute,,Header_ Account Identifier,Classification Description,String,,0..1,Free format description of the account classification,btx,主勘定科目区分説明,主勘定科目の区分の説明。
34,2,Attribute,,Header_ Account Identifier,Parent Number,String,,0..1,Roll up item from child natural account to parent natural account.,btx,親勘定科目コード,子勘定科目から親勘定科目に包み込む科目。
35,2,Attribute,,Header_ Account Identifier,Purpose of Account,Token,,0..1,"Code related to usage for account aggregate - Consolidating, European, IFRS, Offsetting, Primary, Tax, USGAAP, Japanese, Other. Japanese companies will use this for the tax required offsetting entry. If left blank, assumes default accounting method for company.",btx,勘定科目目的,"勘定科目群の使用法を示すコード。連結、European, IFRS, 見返、プライマリ, 税, USGAAP, Japanese,その他。日本企業では、見返仕訳で要求される税務処理に利用するかもしれない。空白の場合、企業の既定の勘定方法とみなす。
[設定値のリスト]
(consolidating：連結)、(european：ヨーロッパ)、(ifrs：IFRS)、(offsetting：見返)、(primary：プライマリ)、(tax：税)、(usgaap：US GAAP)、(japanese：日本)、(other：その他)"
36,2,Attribute,,Header_ Account Identifier,Purpose of Description,String,,0..1,Description of usage for aggregate account,btx,勘定科目目的説明,勘定科目群の使用法の説明。
37,2,Attribute,,Header_ Account Identifier,Type,Token,,0..1,"Type of account. Enumerated as: account, bank, employee, customer, job, vendor, measurable, statistical, other.",btx,科目種別,"科目の種別。
[設定値のリスト]
(account：勘定科目)、(bank：銀行)、(employee：従業員)、(customer：顧客)、(job：ジョブ)、(vendor：仕入先)、(measurable：計測可能物)、(statistical：統計)、(other：その他)"
38,2,Attribute,,Header_ Account Identifier,Type Description,String,,0..1,Free format description of the account type,btx,科目種別説明,科目の種別の説明。
39,2,Attribute,,Header_ Account Identifier,Accounting Method,Token,,0..1,"For this entry, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",btx,仕訳会計処理方法,"この仕訳の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
40,2,Attribute,,Header_ Account Identifier,Accounting Method Description,String,,0..1,Free format description of the entry accounting method,btx,仕訳会計処理方法説明,仕訳の会計処理方法の説明。
41,2,Attribute,,Header_ Account Identifier,Accounting Method Purpose,Token,,0..1,"For this entry, the reporting purpose represented - from book, tax, management, statutory, other",btx,仕訳会計処理方法目的,"仕訳の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
42,2,Attribute,,Header_ Account Identifier,Accounting Method Purpose Description,String,,0..1,Free format description of the entry accounting method purpose,btx,仕訳会計処理方法目的説明,仕訳の会計処理方法の目的の説明。
43,2,Attribute,,Header_ Account Identifier,Active,Boolean,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",btx,科目有効性,科目が有効か無効かを示すブール値。
44,2,Reference Association,,Header_ Account Identifier,,,Subaccount,0..*,Class to hold multiple accountSubIDs and Descriptions,cor,【サブ科目情報】,複数のaccountSubIDと説明文を含むクラス。
45,1,Class,,Allowance Charge,,,,0..*,"Abstract class representing an allowance or a charge applied to an amount, used to model reductions (allowances) or additions (charges) to a base amount, together with their calculation basis, rate, reason, and tax-related attributes.",btx,【控除・加算】,"金額に対して適用される控除（Allowance）または加算（Charge）を表す抽象クラス。
基準額、割合、理由、税に関する属性とともに、金額の減額または増額を表現するために使用される。"
46,2,Attribute,,Allowance Charge,Charge Indicator,Boolean,,1,Indicator specifying whether the allowance charge represents a charge (true) or an allowance (false).,btx,控除・加算区分指示子,当該控除・加算が、加算（true）か控除（false）かを示す指示子。
47,2,Attribute,,Allowance Charge,Amount,Monetary,,1,The monetary amount of the allowance or charge applied.,btx,控除・加算金額,適用される控除額または加算額。
48,2,Attribute,,Allowance Charge,Base Amount,Monetary,,0..1,The base monetary amount to which the allowance or charge is applied.,btx,控除・加算基準額,控除または加算が適用される基準となる金額。
49,2,Attribute,,Allowance Charge,Percentage,Pure,,0..1,The percentage rate used to calculate the allowance or charge based on the base amount.,btx,控除・加算割合,基準額に対して控除または加算を計算するために使用される割合。
50,2,Attribute,,Allowance Charge,Reason Code,Code,,0..1,A code specifying the reason for applying the allowance or charge.,btx,控除・加算理由コード,控除または加算を適用する理由を示すコード。
51,2,Attribute,,Allowance Charge,Tax Category Code,Code,,0..1,A code identifying the tax category applicable to the allowance or charge.,btx,控除・加算税区分コード,当該控除または加算に適用される税区分を示すコード。
52,2,Attribute,,Allowance Charge,Tax Ratio,Pure,,0..1,The tax ratio or rate applicable to the allowance or charge amount.,btx,控除・加算税率,控除または加算額に適用される税率または税割合。
53,1,Class,,Header_ Allowance Charge,,,,0..*,"Class representing an allowance or a charge applied at the document or transaction header level.
It is used to model header-level reductions or additions that apply to the entire document or transaction, including their amount, calculation basis, percentage, reason, and applicable tax attributes.",btx,【ヘッダ控除・加算】,"文書または取引のヘッダレベルで適用される控除または加算を表すクラス。
文書全体または取引全体に適用される金額の減額または増額を、金額、基準額、割合、理由、適用税区分などの属性とともに表現するために使用される。"
54,2,Specialization,,Header_ Allowance Charge,,,Allowance Charge,1,,btx,,
55,2,Attribute,,Header_ Allowance Charge,Charge Indicator,Boolean,,1,Indicator specifying whether the allowance charge represents a charge (true) or an allowance (false).,btx,控除・加算区分指示子,当該控除・加算が、加算（true）か控除（false）かを示す指示子。
56,2,Attribute,,Header_ Allowance Charge,Amount,Monetary,,1,The monetary amount of the allowance or charge applied.,btx,控除・加算金額,適用される控除額または加算額。
57,2,Attribute,,Header_ Allowance Charge,Base Amount,Monetary,,0..1,The base monetary amount to which the allowance or charge is applied.,btx,控除・加算基準額,控除または加算が適用される基準となる金額。
58,2,Attribute,,Header_ Allowance Charge,Percentage,Pure,,0..1,The percentage rate used to calculate the allowance or charge based on the base amount.,btx,控除・加算割合,基準額に対して控除または加算を計算するために使用される割合。
59,2,Attribute,,Header_ Allowance Charge,Reason Code,Code,,0..1,A code specifying the reason for applying the allowance or charge.,btx,控除・加算理由コード,控除または加算を適用する理由を示すコード。
60,2,Attribute,,Header_ Allowance Charge,Tax Category Code,Code,,0..1,A code identifying the tax category applicable to the allowance or charge.,btx,控除・加算税区分コード,当該控除または加算に適用される税区分を示すコード。
61,2,Attribute,,Header_ Allowance Charge,Tax Ratio,Pure,,0..1,The tax ratio or rate applicable to the allowance or charge amount.,btx,控除・加算税率,控除または加算額に適用される税率または税割合。
62,1,Class,,Detail_ Allowance Charge,,,,0..*,"Class representing an allowance or a charge applied at the transaction detail (line) level.
It is used to model line-level reductions or additions, including their amount, calculation basis, percentage, reason, and applicable tax attributes.",btx,【行控除・加算】,"取引明細（ライン）レベルで適用される控除または加算を表すクラス。
明細単位での金額の減額または増額を、金額、基準額、割合、理由、適用税区分などの属性とともに表現するために使用される。"
63,2,Specialization,,Detail_ Allowance Charge,,,Allowance Charge,1,,btx,,
64,2,Attribute,,Detail_ Allowance Charge,Charge Indicator,Boolean,,1,Indicator specifying whether the allowance charge represents a charge (true) or an allowance (false).,btx,控除・加算区分指示子,当該控除・加算が、加算（true）か控除（false）かを示す指示子。
65,2,Attribute,,Detail_ Allowance Charge,Amount,Monetary,,1,The monetary amount of the allowance or charge applied.,btx,控除・加算金額,適用される控除額または加算額。
66,2,Attribute,,Detail_ Allowance Charge,Base Amount,Monetary,,0..1,The base monetary amount to which the allowance or charge is applied.,btx,控除・加算基準額,控除または加算が適用される基準となる金額。
67,2,Attribute,,Detail_ Allowance Charge,Percentage,Pure,,0..1,The percentage rate used to calculate the allowance or charge based on the base amount.,btx,控除・加算割合,基準額に対して控除または加算を計算するために使用される割合。
68,2,Attribute,,Detail_ Allowance Charge,Reason Code,Code,,0..1,A code specifying the reason for applying the allowance or charge.,btx,控除・加算理由コード,控除または加算を適用する理由を示すコード。
69,2,Attribute,,Detail_ Allowance Charge,Tax Category Code,Code,,0..1,A code identifying the tax category applicable to the allowance or charge.,btx,控除・加算税区分コード,当該控除または加算に適用される税区分を示すコード。
70,2,Attribute,,Detail_ Allowance Charge,Tax Ratio,Pure,,0..1,The tax ratio or rate applicable to the allowance or charge amount.,btx,控除・加算税率,控除または加算額に適用される税率または税割合。
71,1,Class,,Header_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,btx,【ヘッダ事業体】,事業体情報（報告組織に関する情報）の入れ物。
72,2,Specialization,,Header_ Party,,,Party,1,,cor,,
73,2,Attribute,PK,Header_ Party,ID,String,,0..1,ID Number of the party,btx,,
74,2,Attribute,,Header_ Party,Name,String,,0..1,Name of the party,btx,,
75,2,Attribute,,Header_ Party,Business Description,String,,0..1,Description of the nature of the business of the party.,btx,業種説明,事業体の事業の種類についての説明。
76,2,Reference Association,,Header_ Party,,,Authority Registered Identifier,0..*,Class which contains various identifiers for theparty.,cor,【ヘッダ事業体識別子】,組織に関する様々な識別子を含むクラス。
77,2,Composition,,Header_ Party,,,Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【通信手段】,当事者間でメッセージまたは情報を交換するための通信手段情報。
78,2,Composition,,Header_ Party,,,Address,0..*,Address class for the party,bus,【ヘッダ事業体住所】,報告事業体の住所クラス。
79,2,Composition,,Header_ Party,,,Contact,0..*,Information about contacts.,bus,【ヘッダ事業体担当者情報】,担当者に関する情報。
80,2,Attribute,,Header_ Party,Business Description,String,,0..1,Description of the nature of the business of the entity.,btx,業種説明,事業体の事業の種類についての説明。
81,1,Class,,Detail_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,btx,【行事業体】,事業体情報（報告組織に関する情報）の入れ物。
82,2,Specialization,,Detail_ Party,,,Party,1,,cor,,
83,2,Attribute,PK,Detail_ Party,ID,String,,0..1,ID Number of the party,btx,,
84,2,Attribute,,Detail_ Party,Name,String,,0..1,Name of the party,btx,,
85,2,Attribute,,Detail_ Party,Business Description,String,,0..1,Description of the nature of the business of the party.,btx,業種説明,事業体の事業の種類についての説明。
86,2,Reference Association,,Detail_ Party,,,Authority Registered Identifier,0..*,Class which contains various identifiers for theparty.,cor,【行事業体識別子】,組織に関する様々な識別子を含むクラス。
87,2,Composition,,Detail_ Party,,,Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,bus,【行事業体通信手段】,事業体の主要通信手段情報。
88,2,Composition,,Detail_ Party,,,Address,0..*,Address class for the party,bus,【行事業体住所】,報告事業体の住所クラス。
89,2,Composition,,Detail_ Party,,,Contact,0..*,Information about contacts.,bus,【行事業体担当者情報】,担当者に関する情報。
90,1,Class,,Adjustment,,,,0..*,"Abstract class representing a correction or modification made to reflect actual financial conditions. It supports adjustments expressed as additions or subtractions, with associated reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,【調整】,実際の財務状況を反映するために行われる補正または修正を表す抽象クラス。加算または減算として表現される調整を、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに表現する。
91,2,Attribute,,Adjustment,Reason Code,Code,,0..1,Code specifying the reason for the adjustment. May use UNTDED 4465 (Adjustment reason description code),btx,調整理由コード,調整の理由を示すコード。
92,2,Attribute,,Adjustment,Reason Text,String,,0..1,Text expressing the reason for the adjustment.,btx,調整理由テキスト,調整の理由を示すテキスト。
93,2,Attribute,,Adjustment,Actual Amount,Monetary,,0..1,Actual monetary value added or subtracted as a result of the adjustment.,btx,調整実績金額,調整の結果として加算または減算される実績金額。
94,2,Attribute,,Adjustment,Actual Quantity,Decimal,,0..1,Actual quantity added or subtracted as a result of the adjustment.,btx,調整実績数量,調整の結果として加算または減算される実績数量。
95,2,Attribute,,Adjustment,Actual Date Time,Date Time,,0..1,"Actual date, time, dateTime, or other date/time value of the adjustment.",btx,調整実績日時,調整の実績日時（年月日、時刻、日時等）。
96,2,Attribute,,Adjustment,Direction Code,Code,,0..1,Code specifying whether the adjustment is an addition or a subtraction.,btx,調整方向コード（加算／減算）,当該調整が加算か減算かを示すコード。
97,2,Reference Association,,Adjustment,,,Originating_ Document,0..1,Referenced document associated with the adjustment.,taf,調整参照文書,当該調整に関連して参照される請求書文書。
98,2,Reference Association,,Adjustment,,,Party,0..1,Party related to a claim for the adjustment.,cor,請求関連当事者,調整に関連する請求（クレーム）に関係する当事者。
99,2,Composition,,Adjustment,,,Tax,0..*,Trade tax related to the adjustment.,taf,調整関連取引税,当該調整に関連する取引税。
100,1,Class,,Header_ Adjustment,,,,0..*,"Class representing an adjustment applied at the document or transaction header level. 
It is used to record corrections or modifications that apply to the entire document or transaction, including the adjustment direction (addition/subtraction), reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,【ヘッダ調整】,文書または取引のヘッダレベルで適用される調整を表すクラス。文書全体または取引全体に適用される補正または修正を、加算／減算区分、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに記録するために使用される。
101,2,Specialization,,Header_ Adjustment,,,Adjustment,1,,btx,,
102,2,Attribute,,Header_ Adjustment,Reason Code,Code,,0..1,Code specifying the reason for the adjustment. May use UNTDED 4465 (Adjustment reason description code),btx,調整理由コード,調整の理由を示すコード。
103,2,Attribute,,Header_ Adjustment,Reason Text,String,,0..1,Text expressing the reason for the adjustment.,btx,調整理由テキスト,調整の理由を示すテキスト。
104,2,Attribute,,Header_ Adjustment,Actual Amount,Monetary,,0..1,Actual monetary value added or subtracted as a result of the adjustment.,btx,調整実績金額,調整の結果として加算または減算される実績金額。
105,2,Attribute,,Header_ Adjustment,Actual Quantity,Decimal,,0..1,Actual quantity added or subtracted as a result of the adjustment.,btx,調整実績数量,調整の結果として加算または減算される実績数量。
106,2,Attribute,,Header_ Adjustment,Actual Date Time,Date Time,,0..1,"Actual date, time, dateTime, or other date/time value of the adjustment.",btx,調整実績日時,調整の実績日時（年月日、時刻、日時等）。
107,2,Attribute,,Header_ Adjustment,Direction Code,Code,,0..1,Code specifying whether the adjustment is an addition or a subtraction.,btx,調整方向コード（加算／減算）,当該調整が加算か減算かを示すコード。
108,2,Reference Association,,Header_ Adjustment,,,Originating_ Document,0..1,Referenced document associated with the adjustment.,taf,調整参照文書,当該調整に関連して参照される請求書文書。
109,2,Reference Association,,Header_ Adjustment,,,Party,0..1,Party related to a claim for the adjustment.,cor,請求関連当事者,調整に関連する請求（クレーム）に関係する当事者。
110,2,Composition,,Header_ Adjustment,,,Tax,0..*,Trade tax related to the adjustment.,taf,調整関連取引税,当該調整に関連する取引税。
111,1,Class,,Detail_ Adjustment,,,,0..*,"Class representing an adjustment applied at the transaction detail (line) level. It is used to record corrections or modifications specific to a line item or detail record, including the adjustment direction (addition/subtraction), reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,【行調整】,文書または取引のヘッダレベルで適用される調整を表すクラス。文書全体または取引全体に適用される補正または修正を、加算／減算区分、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに記録するために使用される。
112,2,Specialization,,Detail_ Adjustment,,,Adjustment,1,,btx,,
113,2,Attribute,,Detail_ Adjustment,Reason Code,Code,,0..1,Code specifying the reason for the adjustment. May use UNTDED 4465 (Adjustment reason description code),btx,調整理由コード,調整の理由を示すコード。
114,2,Attribute,,Detail_ Adjustment,Reason Text,String,,0..1,Text expressing the reason for the adjustment.,btx,調整理由テキスト,調整の理由を示すテキスト。
115,2,Attribute,,Detail_ Adjustment,Actual Amount,Monetary,,0..1,Actual monetary value added or subtracted as a result of the adjustment.,btx,調整実績金額,調整の結果として加算または減算される実績金額。
116,2,Attribute,,Detail_ Adjustment,Actual Quantity,Decimal,,0..1,Actual quantity added or subtracted as a result of the adjustment.,btx,調整実績数量,調整の結果として加算または減算される実績数量。
117,2,Attribute,,Detail_ Adjustment,Actual Date Time,Date Time,,0..1,"Actual date, time, dateTime, or other date/time value of the adjustment.",btx,調整実績日時,調整の実績日時（年月日、時刻、日時等）。
118,2,Attribute,,Detail_ Adjustment,Direction Code,Code,,0..1,Code specifying whether the adjustment is an addition or a subtraction.,btx,調整方向コード（加算／減算）,当該調整が加算か減算かを示すコード。
119,2,Reference Association,,Detail_ Adjustment,,,Originating_ Document,0..1,Referenced document associated with the adjustment.,taf,調整参照文書,当該調整に関連して参照される請求書文書。
120,2,Reference Association,,Detail_ Adjustment,,,Party,0..1,Party related to a claim for the adjustment.,cor,請求関連当事者,調整に関連する請求（クレーム）に関係する当事者。
121,2,Composition,,Detail_ Adjustment,,,Tax,0..*,Trade tax related to the adjustment.,taf,調整関連取引税,当該調整に関連する取引税。
122,1,Class,,Withholding_ Tax,,,,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee.,btx,【源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。
123,2,Specialization,,Withholding_ Tax,,,Tax,1,,taf,,
124,2,Attribute,,Withholding_ Tax,Tax Authority,String,,0..1,Name of the relevant tax authority,btx,課税庁,関係する課税庁の名前。
125,2,Attribute,,Withholding_ Tax,Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,税率表コード,関係する課税庁で使用される税率表のコード。
126,2,Attribute,,Withholding_ Tax,Tax Description,String,,0..1,Description of tax authority,btx,課税庁説明,課税庁の説明。
127,2,Attribute,,Withholding_ Tax,Amount of Tax,Monetary,,0..1,Amount of taxes,btx,税額,税額。
128,2,Attribute,,Withholding_ Tax,Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,課税基準,課税基準。
129,2,Attribute,,Withholding_ Tax,Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。"
130,2,Attribute,,Withholding_ Tax,Tax Category,String,,0..1,A class or category of taxes,btx,税区分,税のクラス又はカテゴリ。
131,2,Attribute,,Withholding_ Tax,Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。
