sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,element,label_local,definition_local,id
5,2,Attribute,,btx:Amount,btx:Currency Code Type,Token,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,btx:currencyCodeType,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,BT03_04
275,1,Class,,btx:Business Transactions,,,,1..*,"Economic event represented by one or more business documents and corresponding accounting entries, such as orders, shipments, invoices, and journal entries.",btx,btx:businessTransactions,【ビジネス取引】,XBRL GLのルート要素。 注文、出荷、請求書およびそれに対応する仕訳など、1つまたは複数の業務文書と会計仕訳によって表現される経済事象。,BT30
276,2,Composition,,btx:Business Transactions,,,bus:Document Information,1..1,Parent for descriptive information about the Transaction Entries Class in which it is contained.,btx,bus:documentInformation,【文書情報】,この取引文書に関する情報の親タグ。,BT30_BU39_01
277,2,Composition,,btx:Business Transactions,,,cor:Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,btx,cor:entityParty,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,BT30_CO27_02
278,2,Composition,,btx:Business Transactions,,,btx:Transaction_ Header,0..*,Parent class grouping transaction document header records.,btx,btx:transactionHeader,【取引ヘッダ】,取引文書のヘッダ・レコードをまとめて保持する親クラス。,BT30_BT27_03
111,1,Class,,btx:Detail_ Adjustment,,,,0..*,"Class representing an adjustment applied at the transaction detail (line) level. It is used to record corrections or modifications specific to a line item or detail record, including the adjustment direction (addition/subtraction), reason information, actual values (amount, quantity, and date/time), and references to related parties, invoices, and taxes.",btx,btx:detailAdjustment,【行調整】,文書または取引のヘッダレベルで適用される調整を表すクラス。文書全体または取引全体に適用される補正または修正を、加算／減算区分、理由情報、実績値（金額・数量・日時）、および関連当事者・請求書参照・税参照とともに記録するために使用される。,BT15
113,2,Attribute,,btx:Detail_ Adjustment,btx:Reason Code,Code,,0..1,Code specifying the reason for the adjustment. May use UNTDED 4465 (Adjustment reason description code),btx,btx:reasonCode,調整理由コード,調整の理由を示すコード。,BT15_01
114,2,Attribute,,btx:Detail_ Adjustment,btx:Reason Text,String,,0..1,Text expressing the reason for the adjustment.,btx,btx:reasonText,調整理由テキスト,調整の理由を示すテキスト。,BT15_02
115,2,Attribute,,btx:Detail_ Adjustment,btx:Actual Amount,Monetary,,0..1,Actual monetary value added or subtracted as a result of the adjustment.,btx,btx:actualAmount,調整実績金額,調整の結果として加算または減算される実績金額。,BT15_03
116,2,Attribute,,btx:Detail_ Adjustment,btx:Actual Quantity,Decimal,,0..1,Actual quantity added or subtracted as a result of the adjustment.,btx,btx:actualQuantity,調整実績数量,調整の結果として加算または減算される実績数量。,BT15_04
117,2,Attribute,,btx:Detail_ Adjustment,btx:Actual Date Time,Date Time,,0..1,"Actual date, time, dateTime, or other date/time value of the adjustment.",btx,btx:actualDateTime,調整実績日時,調整の実績日時（年月日、時刻、日時等）。,BT15_05
118,2,Attribute,,btx:Detail_ Adjustment,btx:Direction Code,Code,,0..1,Code specifying whether the adjustment is an addition or a subtraction.,btx,btx:directionCode,調整方向コード（加算／減算）,当該調整が加算か減算かを示すコード。,BT15_06
119,2,Reference Association,,btx:Detail_ Adjustment,,,taf:Originating_ Document,0..1,Referenced document associated with the adjustment.,btx,taf:originatingDocument,調整参照文書,当該調整に関連して参照される請求書文書。,BT15_TA10_07
120,2,Reference Association,,btx:Detail_ Adjustment,,,cor:Party,0..1,Party related to a claim for the adjustment.,btx,cor:party,請求関連当事者,調整に関連する請求（クレーム）に関係する当事者。,BT15_CO23_08
121,2,Composition,,btx:Detail_ Adjustment,,,taf:Tax,0..*,Trade tax related to the adjustment.,btx,taf:tax,調整関連取引税,当該調整に関連する取引税。,BT15_TA10_09
182,1,Class,,btx:Detail_ Adjustment_ Tax,,,,0..*,"Tax information that is determined or applied as part of a financial adjustment, correction, or settlement process, rather than as a direct transaction tax. This class supports traceability between the tax and the underlying adjustment event.",btx,btx:detailAdjustmentTax,【行調整税】,取引税として直接発生するのではなく、調整・修正・精算などの処理に伴って決定または適用される税を表す抽象クラス。調整事象と税情報の対応関係を追跡可能にする。,BT21
184,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Authority,String,,0..1,Name of the relevant tax authority,btx,btx:taxAuthority,課税庁,関係する課税庁の名前。,BT21_01
185,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,btx:taxTableCode,税率表コード,関係する課税庁で使用される税率表のコード。,BT21_02
186,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Description,String,,0..1,Description of tax authority,btx,btx:taxDescription,課税庁説明,課税庁の説明。,BT21_03
187,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Amount of Tax,Monetary,,0..1,Amount of taxes,btx,btx:amountOfTax,税額,税額。,BT21_04
188,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,btx:basisForTaxation,課税基準,課税基準。,BT21_05
189,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,btx:taxPercentageRate,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT21_06
190,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Category,String,,0..1,A class or category of taxes,btx,btx:taxCategory,税区分,税のクラス又はカテゴリ。,BT21_07
191,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,btx:taxCategoryCode,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。,BT21_08
192,2,Attribute,,btx:Detail_ Adjustment_ Tax,btx:Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,btx:taxCommentExemptionReason,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT21_09
193,2,Composition,,btx:Detail_ Adjustment_ Tax,,,taf:Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,btx,taf:taxMulticurrency,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",BT21_TA16_10
62,1,Class,,btx:Detail_ Allowance Charge,,,,0..*,"Class representing an allowance or a charge applied at the transaction detail (line) level.
It is used to model line-level reductions or additions, including their amount, calculation basis, percentage, reason, and applicable tax attributes.",btx,btx:detailAllowanceCharge,【行控除・加算】,"取引明細（ライン）レベルで適用される控除または加算を表すクラス。
明細単位での金額の減額または増額を、金額、基準額、割合、理由、適用税区分などの属性とともに表現するために使用される。",BT10
64,2,Attribute,,btx:Detail_ Allowance Charge,btx:Charge Indicator,Boolean,,1,Indicator specifying whether the allowance charge represents a charge (true) or an allowance (false).,btx,btx:chargeIndicator,控除・加算区分指示子,当該控除・加算が、加算（true）か控除（false）かを示す指示子。,BT10_01
65,2,Attribute,,btx:Detail_ Allowance Charge,btx:Amount,Monetary,,1,The monetary amount of the allowance or charge applied.,btx,btx:amount,控除・加算金額,適用される控除額または加算額。,BT10_02
66,2,Attribute,,btx:Detail_ Allowance Charge,btx:Base Amount,Monetary,,0..1,The base monetary amount to which the allowance or charge is applied.,btx,btx:baseAmount,控除・加算基準額,控除または加算が適用される基準となる金額。,BT10_03
67,2,Attribute,,btx:Detail_ Allowance Charge,btx:Percentage,Pure,,0..1,The percentage rate used to calculate the allowance or charge based on the base amount.,btx,btx:percentage,控除・加算割合,基準額に対して控除または加算を計算するために使用される割合。,BT10_04
68,2,Attribute,,btx:Detail_ Allowance Charge,btx:Reason Code,Code,,0..1,A code specifying the reason for applying the allowance or charge.,btx,btx:reasonCode,控除・加算理由コード,控除または加算を適用する理由を示すコード。,BT10_05
69,2,Attribute,,btx:Detail_ Allowance Charge,btx:Tax Category Code,Code,,0..1,A code identifying the tax category applicable to the allowance or charge.,btx,btx:taxCategoryCode,控除・加算税区分コード,当該控除または加算に適用される税区分を示すコード。,BT10_06
70,2,Attribute,,btx:Detail_ Allowance Charge,btx:Tax Ratio,Pure,,0..1,The tax ratio or rate applicable to the allowance or charge amount.,btx,btx:taxRatio,控除・加算税率,控除または加算額に適用される税率または税割合。,BT10_07
12,1,Class,,btx:Detail_ Amount,,,,0..*,"Structure representing monetary amounts and currency information applicable to an individual line, such as line-level net amounts, tax calculation bases, allowances, or charges.",btx,btx:detailAmount,【行金額構造】,個々の明細行に適用される金額や通貨情報（行レベルの正味金額、税計算基礎額、値引または追加請求など）を表現する構造。,BT05
14,2,Attribute,,btx:Detail_ Amount,btx:Amount Value,Monetary,,1,Numeric value of the monetary amount expressed in the specified currency.,btx,btx:amountValue,金額,指定された通貨で表現された金額の数値。,BT05_01
15,2,Attribute,,btx:Detail_ Amount,btx:Amount Type,String,,0..1,"Code or text specifying the type or role of the amount, such as tax amount, tax base amount, allowance amount, or charge amount.",btx,btx:amountType,金額種別,税額、課税標準額、値引金額、追加請求金額など、金額の種類または役割を指定するコードまたはテキスト。,BT05_02
16,2,Attribute,,btx:Detail_ Amount,btx:Currency Code,Token,,0..1,"Code specifying the currency in which the amount is expressed, typically an ISO 4217 currency code.",btx,btx:currencyCode,通貨コード,金額が表現される通貨を指定するコード。通常は ISO 4217 通貨コードを用いる。,BT05_03
17,2,Attribute,,btx:Detail_ Amount,btx:Currency Code Type,Token,,0..1,"Code specifying the role of the currency used for the amount, such as functional currency, local currency, reporting currency, or transaction currency.",btx,btx:currencyCodeType,通貨コード種別,金額に対する通貨の役割（機能通貨、ローカル通貨、報告通貨、取引通貨など）を指定するコード。,BT05_04
18,2,Attribute,,btx:Detail_ Amount,btx:Adjustment Reason Description Code,Code,,0..1,UNTDED 4465 Adjustment reason description code. Code specifying the reason for an adjustment.,btx,btx:adjustmentReasonDescriptionCode,調整理由説明コード,調整（値引・加算等）の理由を指定するコード（UNTDED 4465）。,BT05_05
225,1,Class,,btx:Detail_ Identifier_ Contact,,,,0..*,Identifier Contact Information Class,btx,btx:detailIdentifierContact,【CVE担当者情報】,CVE識別子の担当者情報の構造体。,BT26
227,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Prefix,String,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",btx,btx:prefix,敬称,敬称(Dr.、Mr.、Mrs.など),BT26_BT37_01
228,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Last Name,String,,0..1,Last or family name,btx,btx:lastName,姓,姓,BT26_BT37_02
229,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:First Name,String,,0..1,First or given name,btx,btx:firstName,名,名、クリスチャンネーム,BT26_BT37_03
230,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Suffix,String,,0..1,"Suffix (e.g. MD, CPA, Jr.)",btx,btx:suffix,付加名称,付加名称(MD、CPA、Jr.など),BT26_BT37_04
231,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Attention Line,String,,0..1,Attention Line,btx,btx:attentionLine,アテンションライン,アテンションライン,BT26_BT37_05
232,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Position Role,String,,0..1,Position or role,btx,btx:positionRole,地位/役職,地位や役職。,BT26_BT37_06
233,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Type,String,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",btx,btx:type,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。,BT26_BT37_07
234,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Location ID cross reference,String,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,btx,btx:locationIdCrossReference,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。,BT26_BT37_08
235,2,Attribute,,btx:Detail_ Identifier_ Contact,btx:Active,Boolean,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",btx,btx:active,担当者有効性,担当者が有効か無効かを示すブール値。,BT26_BT37_09
236,2,Composition,,btx:Detail_ Identifier_ Contact,,,bus:Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,btx,bus:communication,【行事業体担当者通信手段】,担当者の通信手段。,BT26_BU37_10
81,1,Class,,btx:Detail_ Party,,,,0..1,Holder for entity information - information about the reporting organization.,btx,btx:detailParty,【行事業体】,事業体情報（報告組織に関する情報）の入れ物。,BT12
83,2,Attribute,PK,btx:Detail_ Party,btx:ID,String,,0..1,ID Number of the party,btx,btx:id,,,BT12_BT20_01
84,2,Attribute,,btx:Detail_ Party,btx:Name,String,,0..1,Name of the party,btx,btx:name,,,BT12_BT20_02
85,2,Attribute,,btx:Detail_ Party,btx:Business Description,String,,0..1,Description of the nature of the business of the party.,btx,btx:businessDescription,業種説明,事業体の事業の種類についての説明。,BT12_BT20_03
86,2,Reference Association,,btx:Detail_ Party,,,cor:Authority Registered Identifier,0..*,Class which contains various identifiers for theparty.,btx,cor:authorityRegisteredIdentifier,【行事業体識別子】,組織に関する様々な識別子を含むクラス。,BT12_CO20_04
87,2,Composition,,btx:Detail_ Party,,,bus:Communication,0..*,The exchange of messages or information between parties using a specified communication channel.,btx,bus:communication,【行事業体通信手段】,事業体の主要通信手段情報。,BT12_BU35_05
88,2,Composition,,btx:Detail_ Party,,,bus:Address,0..*,Address class for the party,btx,bus:address,【行事業体住所】,報告事業体の住所クラス。,BT12_BU35_06
89,2,Composition,,btx:Detail_ Party,,,bus:Contact,0..*,Information about contacts.,btx,bus:contact,【行事業体担当者情報】,担当者に関する情報。,BT12_BU35_07
146,1,Class,,btx:Detail_ Withholding_ Tax,,,,0..*,Tax withheld by the payer at the time of payment and remitted to a tax authority on behalf of the payee applied at the transaction detail (line) level.,btx,btx:detailWithholdingTax,【行源泉徴収税】,支払時に支払者が受取人に代わって控除し、税務当局へ納付する税を表す抽象クラス。,BT18
148,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Authority,String,,0..1,Name of the relevant tax authority,btx,btx:taxAuthority,課税庁,関係する課税庁の名前。,BT18_01
149,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Table Code,String,,0..1,Tax table code used by the relevant tax authority,btx,btx:taxTableCode,税率表コード,関係する課税庁で使用される税率表のコード。,BT18_02
150,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Description,String,,0..1,Description of tax authority,btx,btx:taxDescription,課税庁説明,課税庁の説明。,BT18_03
151,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Amount of Tax,Monetary,,0..1,Amount of taxes,btx,btx:amountOfTax,税額,税額。,BT18_04
152,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Basis for Taxation,Monetary,,0..1,Basis for taxation,btx,btx:basisForTaxation,課税基準,課税基準。,BT18_05
153,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Percentage Rate,Pure,,0..1,Percent rate for VAT or other taxes normally a number between 0 and 1.0 - e.g. 50% is represented as 0.5,btx,btx:taxPercentageRate,税率,"VAT(物品税)またはその他の税のパーセント比率。
0から1.0の間の値。たとえば50%は0.5とあらわす。",BT18_06
154,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Category,String,,0..1,A class or category of taxes,btx,btx:taxCategory,税区分,税のクラス又はカテゴリ。,BT18_07
155,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Category Code,Code,,0..1,"UNTDED 5153 Duty or tax or fee category code. Code specifying the category of duty, tax, or fee.",btx,btx:taxCategoryCode,税・関税・手数料区分コード,税・関税・手数料の区分を指定するコード（UNTDED 5153）。,BT18_08
156,2,Attribute,,btx:Detail_ Withholding_ Tax,btx:Tax Comment/Exemption Reason,String,,0..1,Additional text/code for exemption reasons or other comments.,btx,btx:taxCommentExemptionReason,税コメント/免税理由,免税理由やその他のコメントのための、追加の文またはコード。,BT18_09
157,2,Composition,,btx:Detail_ Withholding_ Tax,,,taf:Tax_ Multicurrency,0..1,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,btx,taf:taxMulticurrency,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のクラス。－現在および原取引時の、換算レートおよび金額の記録に使用される。
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",BT18_TA13_10
28,1,Class,,btx:Header_ Account Identifier,,,,0..*,"Class: parent container for account numbers and identifiers applied at the document level. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",btx,btx:headerAccountIdentifier,【ヘッダ科目識別子】,"クラス。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",BT07
30,2,Attribute,PK,btx:Header_ Account Identifier,btx:Number,String,,0..1,"Main account - the code used to identify the accounting bucket the entry has been assigned to. Examples might be 1000 for Cash, 567GAAZ for Sales Expense or Z for tax payments. Identifiers such as department, branch, division, manager, or other modifiers are noted in the Subaccount area. Before needing to post, account is not necessary. Posting to the general ledger almost always requires an entry here.",btx,btx:number,主勘定科目コード,"主勘定科目。仕訳が関連する会計バケットを特定するためのコード。例えば、現金を表す1000、販売費を表す567GAAZ、税を表すZ。
部門、支店、事業部、マネージャ、その他の識別子は、Subaccount領域に記述される。転記の必要がなければ、勘定科目は必要ではない。総勘定元帳に転記するにはほとんどの場合必要。",BT07_BT18_01
