name,B,category,seq,account_name,amount,type,level,Ledger_Account_Number,element_name,English_Label
　　　　商品及び製品売上高,0,売上高,,商品及び製品売上高,,1,4,10D100140,NetSalesOfMerchandiseAndFinishedGoodsRevOA,Net sales of merchandise and finished goods
　　　　半製品売上高,0,売上高,,半製品売上高,,1,4,10D100150,SalesOfSemiFinishedGoodsRevOA,Sales of semi-finished goods
　　　　原材料売上高,0,売上高,,原材料売上高,,1,4,10D100160,SalesOfRawMaterialsRevOA,Sales of raw materials
　　　　副産物売上高,0,売上高,,副産物売上高,,1,4,10D100170,SalesOfByProductsRevOA,Sales of by-products
　　　　作業くず売上高,0,売上高,,作業くず売上高,,1,4,10D100180,SalesOfScrapsRevOA,Sales of scraps
　　　　役務収益,0,売上高,,役務収益,,1,4,10D100190,ServiceRevenueRevOA,Service revenue
　　　　サービス売上高,0,売上高,,サービス売上高,,1,4,10D100200,ServiceSalesRevOA,Service sales
　　　　割賦販売売上高,0,売上高,,割賦販売売上高,,1,4,10D100210,InstallmentSalesRevOA,Installment sales
　　　　不動産売上高,0,売上高,,不動産売上高,,1,4,10D100220,RealEstateSalesRevOA,Real estate sales
　　　　開発事業売上高,0,売上高,,開発事業売上高,,1,4,10D100230,SalesOnDevelopmentBusinessRevOA,Sales in development business
　　　　不動産事業売上高,0,売上高,,不動産事業売上高,,1,4,10D100240,SalesOnRealEstateBusinessRevOA,Sales in real estate business
　　　　賃貸事業売上高,0,売上高,,賃貸事業売上高,,1,4,10D100250,SalesOnLeaseBusinessRevOA,Sales in leasing business
　　　　分譲事業売上高,0,売上高,,分譲事業売上高,,1,4,10D100260,SalesOnSellingBusinessRevOA,Sales in residential property sales business
　　　　その他の事業売上高,0,売上高,,その他の事業売上高,,1,4,10D100270,SalesOnOtherBusinessRevOA,Sales in other businesses
　　　　賃貸事業収益,0,売上高,,賃貸事業収益,,1,4,10D100280,LeaseBusinessRevenueRevOA,Leasing business revenue
　　　　賃貸事業収入,0,売上高,,賃貸事業収入,,1,4,10D100290,LeaseBusinessRevenueSpecificRevOA,Leasing business revenue
　　　　賃貸収入,0,売上高,,賃貸収入,,1,4,10D100300,RentIncomeRevOA,Lease revenue
　　　　不動産賃貸収入,0,売上高,,不動産賃貸収入,,1,4,10D100310,RentIncomeOfRealEstateRevOA,Real estate lease revenue
　　　　不動産収入,0,売上高,,不動産収入,,1,4,10D100320,RealEstateIncomeRevOA,Real estate income
　　　　手数料収入,0,売上高,,手数料収入,,1,4,10D100330,CommissionIncomeRevOA,Commission income
　　　　加工料収入,0,売上高,,加工料収入,,1,4,10D100340,ProcessingIncomeRevOA,Processing income
　　　　ロイヤリティー収入,0,売上高,,ロイヤリティー収入,,1,4,10D100350,RoyaltyIncomeRevOA,Royalty income
　　　　コンサルティング収入,0,売上高,,コンサルティング収入,,1,4,10D100360,ConsultingIncomeRevOA,Consulting income
　　　　加盟店からの収入,0,売上高,,加盟店からの収入,,1,4,10D100370,IncomeFromFranchisedStoresRevOA,Income from franchised stores
　　　　関係会社受取配当金,0,売上高,,関係会社受取配当金,,1,4,10D100380,DividendsFromSubsidiariesAndAffiliatesRevOA,Dividends from subsidiaries and associates
　　　　受取配当金,0,売上高,,受取配当金,,1,4,10D100390,DividendsIncomeRevOA,Dividend income
　　　　関係会社受入手数料,0,売上高,,関係会社受入手数料,,1,4,10D100400,CommissionsFromSubsidiariesAndAffiliatesRevOA,Commissions from subsidiaries and associates
　　　　関係会社貸付金利息,0,売上高,,関係会社貸付金利息,,1,4,10D100410,InterestOnLoansToSubsidiariesAndAffiliatesRevOA,Interest on loans receivable from subsidiaries and associates
　　　　関係会社有価証券利息,0,売上高,,関係会社有価証券利息,,1,4,10D100420,InterestOnSecuritiesOfSubsidiariesAndAffiliatesRevOA,Interest on securities of subsidiaries and associates
　　　　経営管理料,0,売上高,,経営管理料,,1,4,10D100430,ManagementFeeIncomeRevOA,Management fee income
　　　　経営指導料,0,売上高,,経営指導料,,1,4,10D100440,ConsultingFeeIncomeRevOA,Consulting fee income
　　　　商標使用料,0,売上高,,商標使用料,,1,4,10D100450,TrademarkFeeIncomeRevOA,Trademark fee income
　　　　資産利用料,0,売上高,,資産利用料,,1,4,10D100460,AssetRentalIncomeRevOA,Asset rental income
　　　　完成業務高,0,売上高,,完成業務高,,1,4,10D100470,ContractsCompletedRevOA,Completed service contracts
　　　　工事売上高,0,売上高,,工事売上高,,1,4,10D100480,ConstructionSalesRevOA,Construction sales
　　　　ソフトウエア開発売上高,0,売上高,,ソフトウエア開発売上高,,1,4,10D100490,SalesOfSoftwareDevelopmentRevOA,Sales of software development
　　　　情報サービス売上高,0,売上高,,情報サービス売上高,,1,4,10D100500,SalesOfInformationServiceRevOA,Sales of information service
　　　　保守売上高,0,売上高,,保守売上高,,1,4,10D100510,SalesOfMaintenanceServiceRevOA,Sales of maintenance service
　　　　年会費収入,0,売上高,,年会費収入,,1,4,10D100520,AnnualFeeIncomeRevOA,Annual fee income
　　　　倉庫収入,0,売上高,,倉庫収入,,1,4,10D100530,WarehouseIncomeRevOA,Warehouse income
　　　　倉庫保管料,0,売上高,,倉庫保管料,,1,4,10D100540,WarehousingFeeIncomeRevOA,Warehousing fee income
　　　　倉庫荷役料,0,売上高,,倉庫荷役料,,1,4,10D100550,StevedoringIncomeRevOA,Stevedoring income
　　　　運送収入,0,売上高,,運送収入,,1,4,10D100560,TransportationIncomeRevOA,Transportation income
　　　　運送雑収,0,売上高,,運送雑収,,1,4,10D100570,MiscellaneousTransportationIncomeRevOA,Miscellaneous transportation income
　　　　制作収入,0,売上高,,制作収入,,1,4,10D100580,ProductionIncomeRevOA,Production income
　　　　放送収入,0,売上高,,放送収入,,1,4,10D100590,IncomeFromBroadcastingBusinessRevOA,Income from broadcasting business
　　　　テレビ収入,0,売上高,,テレビ収入,,1,4,10D100600,IncomeFromTelevisionBusinessRevOA,Income from television business
　　　　ラジオ収入,0,売上高,,ラジオ収入,,1,4,10D100610,IncomeFromRadioBusinessRevOA,Income from radio business
　　　　レンタル売上高,0,売上高,,レンタル売上高,,1,4,10D100620,RentalSalesRevOA,Rental sales
　　　　受託品売上高,0,売上高,,受託品売上高,,1,4,10D100630,SalesOfGoodsOnConsignmentRevOA,Sales of goods on consignment
　　　　買付品売上高,0,売上高,,買付品売上高,,1,4,10D100640,IndentSalesRevOA,Indent sales
　　　　その他の売上高,0,売上高,,その他の売上高,,1,4,10D100650,OtherSalesRevOA,Other sales
　　　　その他の事業収益,0,売上高,,その他の事業収益,,1,4,10D100660,OtherBusinessRevenue1RevOA,Other business revenue
　　　　その他の事業収入,0,売上高,,その他の事業収入,,1,4,10D100670,OtherBusinessRevenue2RevOA,Other business revenue
　　　　その他の営業収益,0,売上高,,その他の営業収益,,1,4,10D100680,OtherOperatingRevenue1RevOA,Other operating revenue
　　　　その他の営業収入,0,売上高,,その他の営業収入,,1,4,10D100690,OtherOperatingRevenue2RevOA,Other operating revenue
　　　　その他の収益,0,売上高,,その他の収益,,1,4,10D100700,OtherRevenue1RevOA,Other revenue
　　　　その他の収入,0,売上高,,その他の収入,,1,4,10D100710,OtherRevenue2RevOA,Other revenue
　　　　その他,0,売上高,,その他,,1,4,10D100720,OtherRevOA,Other
　　　　金融収益,,売上高,,金融収益,,T,4,10D100730,FinancialRevenueAbstract,Financial revenue
　　　　　金融収益,0,売上高,,金融収益,,1,5,10D100740,FinancialRevenue,Financial revenue
　　　　　融資収益,0,売上高,,融資収益,,1,5,10D100750,FinancingRevenueRevOA,Financing revenue
　　　　　リース収益,0,売上高,,リース収益,,1,5,10D100760,LeaseRevenueRevOA,Lease revenue
　　　　　営業投資有価証券売上高,0,売上高,,営業投資有価証券売上高,,1,5,10D100770,RevenueFromOperationalInvestmentSecuritiesRevOA,Revenue from operational investment securities
　　　　　割賦購入あっせん収益,0,売上高,,割賦購入あっせん収益,,1,5,10D100780,RevenueFromAgencyServicesOfInstallmentPurchaseRevOA,Revenue from agency services of installment purchase
　　　　　包括信用購入あっせん収益,0,売上高,,包括信用購入あっせん収益,,1,5,10D100790,CreditCardRevenueRevOA,Revenue from credit card business
　　　　　個別信用購入あっせん収益,0,売上高,,個別信用購入あっせん収益,,1,5,10D100800,PerItemRevenueRevOA,Revenue from installment sales finance business
　　　　　受取割引料,0,売上高,,受取割引料,,1,5,10D100810,DiscountRevenueRevOA,Discount revenue
　　　　　信用保証収益,0,売上高,,信用保証収益,,1,5,10D100820,RevenueFromCreditGuaranteeRevOA,Revenue from credit guarantee
　　　　　投資事業組合管理収入,0,売上高,,投資事業組合管理収入,,1,5,10D100830,IncomeFromPartnershipManagementRevOA,Income from investment partnership management
　　　　　名義書換手数料,0,売上高,,名義書換手数料,,1,5,10D100840,NameTransferFeeRevOA,Name transfer fee income
　　　　　融資代行収益,0,売上高,,融資代行収益,,1,5,10D100850,LoanAgencyRevenueRevOA,Loan agency revenue
　　　　　買取債権回収高,0,売上高,,買取債権回収高,,1,5,10D100860,CollectionFromPurchasedReceivableRevOA,Proceeds from purchased receivables
　　　　　借入有価証券代り金利息,0,売上高,,借入有価証券代り金利息,,1,5,10D100870,InterestOnCollateralMoneyForSecuritiesBorrowedRevOA,Interest on collateral money for securities borrowed
　　　　　有価証券貸付料,0,売上高,,有価証券貸付料,,1,5,10D100880,ChargeOnSecuritiesLoanedRevOA,Charge on securities loaned
　　　　　貸借取引貸付金利息,0,売上高,,貸借取引貸付金利息,,1,5,10D100890,InterestOnLoansOnMarginTransactionRevOA,Interest on loans on margin transaction
　　　　　公社債貸付金利息,0,売上高,,公社債貸付金利息,,1,5,10D100900,InterestOnBondFinancingRevOA,Interest on bond financing
　　　　　一般貸付金利息,0,売上高,,一般貸付金利息,,1,5,10D100910,InterestOnGeneralLoansRevOA,Interest on general loans
　　　　　投資収益,0,売上高,,投資収益,,1,5,10D100920,GainOnInvestmentRevOA,Gain on investments
　　　　　その他の金融収益,0,売上高,,その他の金融収益,,1,5,10D100930,OtherFinancialRevenueRevOA,Other financial revenue
　　営業活動による費用・売上原価,,売上原価,,営業活動による費用・売上原価,,T,2,10E100010,COSAndExpensesFromOperatingActivitiesAbstract,COS and expenses from operating activities
　　　売上原価,,売上原価,,売上原価,,T,3,10E100020,CostOfSalesAbstract,Cost of sales
　　　　売上原価,0,売上原価,,売上原価,,1,4,10E100030,CostOfSales,Cost of sales
　　　営業費用,,売上原価,,営業費用,,T,3,10E100040,OperatingExpensesAbstract,Operating expenses
　　　　営業費用,0,売上原価,,営業費用,,1,4,10E100050,OperatingExpenses,Operating expenses
　　　営業原価,,売上原価,,営業原価,,T,3,10E100060,OperatingCostAbstract,Operating cost
　　　　営業原価,0,売上原価,,営業原価,,1,4,10E100070,OperatingCost,Operating cost
　　　営業活動による費用・売上原価の内訳,,売上原価,,営業活動による費用・売上原価の内訳,,T,3,10E100080,COSAndExpensesFromOperatingActivitiesDetailAbstract,COS and expenses from operating activities - detail
　　　　商品売上原価,,売上原価,,商品売上原価,,T,4,10E100090,CostOfGoodsSoldAbstract,Cost of goods sold
　　　　　商品期首たな卸高,0,売上原価,,商品期首たな卸高,,1,5,10E100100,BeginningGoodsCOS,Beginning merchandise inventory
　　　　　総仕入高,0,売上原価,,総仕入高,,T,5,10E100110,TotalPurchaseOfGoods,Total purchase of goods
　　　　　　電子取引 総仕入高,0,売上原価,,電子取引総仕入高,,T,6,10E100113,#N/A,Total purchase of goods from electronic transactions
　　　　　　　電子取引 仕入高,0,売上原価,,電子取引総仕入高,,0,7,10E100111,#N/A,Total purchase of goods from electronic transactions
　　　　　　　電子取引 当期商品仕入高,0,売上原価,,電子取引商品仕入高,,0,7,10E100131,#N/A,Cost of purchased goods from electronic transactions
　　　　　　　電子取引 仕入値引及び戻し高,0,売上原価,,電子取引仕入割戻し高,,0,7,10E100121,#N/A,Purchase allowance and returns from electronic transactions
　　　　　　電子取引以外 総仕入高,0,売上原価,,電子取引以外 総仕入高,,T,6,10E100114,#N/A,Total purchase of goods from traditional transactions
　　　　　　　電子取引以外 仕入高,0,売上原価,,電子取引以外 総仕入高,,0,7,10E100112,#N/A,Total purchase of goods from traditional transactions
　　　　　　　電子取引以外 当期商品仕入高,0,売上原価,,電子取引以外商品仕入高,,0,7,10E100132,#N/A,Cost of purchased goods from traditional transactions
　　　　　　　電子取引以外 仕入値引及び戻し高,0,売上原価,,電子取引以外仕入割戻し高,,0,7,10E100122,#N/A,Purchase allowance and returns from traditional transactions
　　　　　仕入値引及び戻し高,0,売上原価,,仕入値引及び戻し高,,0,5,10E100120,CostNonConstructionSalesPurchaseReturnsAllowances,Purchase allowance and returns
　　　　　当期商品仕入高,0,売上原価,,当期商品仕入高,,0,5,10E100130,CostOfPurchasedGoods,Cost of purchased goods
　　　　　商品期末たな卸高,0,売上原価,,商品期末たな卸高,,1,5,10E100140,EndingGoodsCOS,Ending merchandise inventory
　　　　　合計,0,売上原価,,合計,,1,5,10E100150,TotalBeginningAndPurchaseOfGoods,Total
　　　　　商品他勘定振替高,0,売上原価,,商品他勘定振替高,,1,5,10E100160,GoodsTransferToOtherAccountCOS,Goods transfer to other account
　　　　　商品評価損,0,売上原価,,商品評価損,,1,5,10E100170,ValuationLossOnGoodsCOS,Valuation loss on goods
　　　　　小計,0,売上原価,,小計,,1,5,10E100180,SubtotalCOSGoods,Subtotal
　　　　　差引,0,売上原価,,差引,,1,5,10E100190,NetCOSGoods,Net
　　　　　商品売上原価,0,売上原価,,商品売上原価,,1,5,10E100200,CostOfGoodsSold,Cost of goods sold
　　　　製品売上原価,,売上原価,,製品売上原価,,T,4,10E100210,CostOfFinishedGoodsSoldAbstract,Cost of finished goods sold
　　　　　製品期首たな卸高,0,売上原価,,製品期首たな卸高,,1,5,10E100220,BeginningFinishedGoodsCOS,Beginning finished goods inventory
　　　　　当期製品製造原価,0,売上原価,,当期製品製造原価,,1,5,10E100230,CostOfProductsManufactured,Cost of products manufactured
　　　　　当期製品仕入高,0,売上原価,,当期製品仕入高,,1,5,10E100240,PurchaseOfFinishedGoodsCOS,Purchase of finished goods
　　　　　製品期末たな卸高,0,売上原価,,製品期末たな卸高,,1,5,10E100250,EndingFinishedGoodsCOS,Ending finished goods inventory
　　　　　合計,0,売上原価,,合計,,1,5,10E100260,TotalBeginningFinishedGoodsAndCostOfProductsManufacturedForThePeriod,Total
　　　　　製品他勘定振替高,0,売上原価,,製品他勘定振替高,,1,5,10E100270,FinishedGoodsTransferToOtherAccountCOS,Finished goods transfer to other account
　　　　　製品評価損,0,売上原価,,製品評価損,,1,5,10E100280,ValuationLossOnFinishedGoodsCOS,Valuation loss on finished goods
　　　　　原材料評価損,0,売上原価,,原材料評価損,,1,5,10E100290,ValuationLossOnRawMaterialsCOS,Valuation loss on raw materials
　　　　　小計,0,売上原価,,小計,,1,5,10E100300,SubtotalCOSFinishedGoods,Subtotal
　　　　　差引,0,売上原価,,差引,,1,5,10E100310,NetCOSFinishedGoods,Net
　　　　　製品売上原価,0,売上原価,,製品売上原価,,1,5,10E100320,CostOfFinishedGoodsSold,Cost of finished goods sold
　　　　他勘定振替高,0,売上原価,,他勘定振替高,,1,4,10E100330,TransferToOtherAccountCOS,Transfer to other account
　　　　他勘定受入高,0,売上原価,,他勘定受入高,,1,4,10E100340,TransferFromOtherAccountCOS,Transfer from other account
　　　　合併による商品受入高,0,売上原価,,合併による商品受入高,,1,4,10E100350,TransferOfGoodsByMergerCOS,Transfer of goods by merger
　　　　原価差額,0,売上原価,,原価差額,,1,4,10E100360,CostPriceBalanceCOS,Cost variances
　　　　商品及び製品売上原価,0,売上原価,,商品及び製品売上原価,,1,4,10E100370,CostOfMerchandiseAndFinishedGoodsSoldCOS,Cost of merchandise and finished goods sold
　　　　　商品及び製品期首たな卸高,0,売上原価,,商品及び製品期首たな卸高,,1,5,10E100380,BeginningMerchandiseAndFinishedGoodsCOS,Beginning inventory of merchandise and finished goods
　　　　　当期商品及び製品仕入高,0,売上原価,,当期商品及び製品仕入高,,1,5,10E100390,CostOfPurchasedMerchandiseAndFinishedGoodsCOS,Cost of purchased merchandise and finished goods
　　　　　合計,0,売上原価,,合計,,1,5,10E100400,TotalBeginningAndCostPurchasedMerchandiseAndFinishedGoodsCOS,Total
　　　　　商品及び製品期末たな卸高,0,売上原価,,商品及び製品期末たな卸高,,1,5,10E100410,EndingMerchandiseAndFinishedGoodsCOS,Ending inventory of merchandise and finished goods
　　　　原材料売上原価,0,売上原価,,原材料売上原価,,1,4,10E100420,CostOfRawMaterialSalesCOSExpOA,Cost of raw material sales
　　　　サービス売上原価,0,売上原価,,サービス売上原価,,1,4,10E100430,CostOfServiceSalesCOSExpOA,Cost of service sales
　　　　不動産売上原価,0,売上原価,,不動産売上原価,,1,4,10E100440,CostOfSalesRealEstateCOSExpOA,Cost of sales - real estate
　　　　開発事業売上原価,0,売上原価,,開発事業売上原価,,1,4,10E100450,CostOfSalesOnDevelopmentBusinessCOSExpOA,Cost of sales in development business
　　　　不動産事業売上原価,0,売上原価,,不動産事業売上原価,,1,4,10E100460,CostOfSalesOnRealEstateBusinessCOSExpOA,Cost of sales in real estate business
　　　　賃貸事業売上原価,0,売上原価,,賃貸事業売上原価,,1,4,10E100470,CostOfSalesOnLeaseBusinessCOSExpOA,Cost of sales in leasing business
　　　　分譲事業売上原価,0,売上原価,,分譲事業売上原価,,1,4,10E100480,CostOfSalesOnSellingBusinessCOSExpOA,Cost of sales in residential property sales business
　　　　その他の事業売上原価,0,売上原価,,その他の事業売上原価,,1,4,10E100490,CostOfSalesOnOtherBusinessCOSExpOA,Cost of sales in other businesses
　　　　工事売上原価,0,売上原価,,工事売上原価,,1,4,10E100500,CostOfConstructionSalesCOSExpOA,Cost of construction sales
　　　　ソフトウエア開発売上原価,0,売上原価,,ソフトウエア開発売上原価,,1,4,10E100510,CostOfSalesOfSoftwareDevelopmentCOSExpOA,Cost of sales of software development
　　　　情報サービス売上原価,0,売上原価,,情報サービス売上原価,,1,4,10E100520,CostOfSalesOfInformationServiceCOSExpOA,Cost of sales of information service
　　　　保守売上原価,0,売上原価,,保守売上原価,,1,4,10E100530,CostOfSalesOfMaintenanceServiceCOSExpOA,Cost of sales of maintenance service
　　　　受託品売上原価,0,売上原価,,受託品売上原価,,1,4,10E100540,CostOfSalesOfGoodsOnConsignmentCOSExpOA,Cost of sales of goods on consignment
　　　　買付品売上原価,0,売上原価,,買付品売上原価,,1,4,10E100550,CostOfIndentSalesCOSExpOA,Cost of indent sales
　　　　完成業務原価,0,売上原価,,完成業務原価,,1,4,10E100560,CostOfCompletedWorkCOSExpOA,Cost of completed service contracts
　　　　賃貸原価,0,売上原価,,賃貸原価,,1,4,10E100570,RentCostCOSExpOA,Cost of lease revenue
　　　　不動産賃貸原価,0,売上原価,,不動産賃貸原価,,1,4,10E100580,CostOfRealEstateRentCOSExpOA,Cost of real estate lease revenue
　　　　不動産賃貸費用,0,売上原価,,不動産賃貸費用,,1,4,10E100590,ExpensesOfRealEstateRentCOSExpOA,Real estate lease expenses
　　　　賃貸事業原価,0,売上原価,,賃貸事業原価,,1,4,10E100600,LeaseBusinessCostCOSExpOA,Cost of sales in leasing business
　　　　分譲事業原価,0,売上原価,,分譲事業原価,,1,4,10E100610,SellingBusinessCostCOSExpOA,Cost of sales in residential property sales business
　　　　その他の事業原価,0,売上原価,,その他の事業原価,,1,4,10E100620,OtherBusinessCostCOSExpOA,Cost of sales in other businesses
　　　　ソフトウエア償却費,0,売上原価,,ソフトウエア償却費,,1,4,10E100630,AmortizationOfSoftwareCOSExpOA,Amortization of software
　　　　維持運転費,0,売上原価,,維持運転費,,1,4,10E100640,MaintenanceAndOperatingExpensesCOSExpOA,Maintenance and operating expenses
　　　　番組制作費,0,売上原価,,番組制作費,,1,4,10E100650,ProgramProductionExpensesCOSExpOA,Program production expenses
　　　　番組費,0,売上原価,,番組費,,1,4,10E100660,ProgramExpensesCOSExpOA,Program expenses
　　　　放送費,0,売上原価,,放送費,,1,4,10E100670,BroadcastingExpensesCOSExpOA,Broadcasting expenses
　　　　その他の事業費用,0,売上原価,,その他の事業費用,,1,4,10E100680,OtherBusinessExpensesCOSExpOA,Other business expenses
　　　　その他の原価,0,売上原価,,その他の原価,,1,4,10E100690,OtherCostCOSExpOA,Other cost
　　　　その他,0,売上原価,,その他,,1,4,10E100700,OtherCOSExpOA,Other
　　　　金融費用,,売上原価,,金融費用,,T,4,10E100710,FinancialExpensesAbstract,Financial expenses
　　　　　金融費用,0,売上原価,,金融費用,,1,5,10E100720,FinancialExpenses,Financial expenses
　　　　　営業投資有価証券売上原価,0,売上原価,,営業投資有価証券売上原価,,1,5,10E100730,CostOfOperationalInvestmentSecuritiesCOSExpOA,Cost of operational investment securities
　　　　　借入金利息,0,売上原価,,借入金利息,,1,5,10E100740,InterestOnLoansCOSExpOA,Interest on borrowings
　　　　　有価証券借入料,0,売上原価,,有価証券借入料,,1,5,10E100750,BorrowingFeeOnSecuritiesCOSExpOA,Borrowing fee on securities
　　　　　債権買取原価,0,売上原価,,債権買取原価,,1,5,10E100760,CostOfPurchasedReceivableCOSExpOA,Cost of purchased receivables
　　　　　貸付有価証券代り金利息,0,売上原価,,貸付有価証券代り金利息,,1,5,10E100770,InterestOnCollateralMoneyReceivedForSecuritiesLentCOSExpOA,Interest on collateral money received for securities lent
　　　　　その他の金融費用,0,売上原価,,その他の金融費用,,1,5,10E100780,OtherFinancialExpensesCOSExpOA,Other financial expenses
　　　　販売費及び一般管理費,,販売費及び一般管理費(売上原価),,販売費及び一般管理費,,T,4,10E110010,OperatingCostAbstract,"Selling, general and administrative expenses"
　　　　　販売手数料,0,販売費及び一般管理費(売上原価),,販売手数料,,1,5,10E110020,OtherCostCOSExpOA,Sales commission
　　　　　荷造費,0,販売費及び一般管理費(売上原価),,荷造費,,1,5,10E110030,OtherCostCOSExpOA,Packing expenses
　　　　　運搬費,0,販売費及び一般管理費(売上原価),,運搬費,,1,5,10E110040,OtherCostCOSExpOA,Transportation costs
　　　　　広告宣伝費,0,販売費及び一般管理費(売上原価),,広告宣伝費,,1,5,10E110050,OtherCostCOSExpOA,Advertising expenses
　　　　　見本費,0,販売費及び一般管理費(売上原価),,見本費,,1,5,10E110060,OtherCostCOSExpOA,Sample expenses
　　　　　保管費,0,販売費及び一般管理費(売上原価),,保管費,,1,5,10E110070,OtherCostCOSExpOA,Storage costs
　　　　　納入試験費,0,販売費及び一般管理費(売上原価),,納入試験費,,1,5,10E110080,OtherCostCOSExpOA,Delivery examination expenses
　　　　　役員報酬,0,販売費及び一般管理費(売上原価),,役員報酬,,1,5,10E110090,OtherCostCOSExpOA,Remuneration for directors (and other officers)
　　　　　給料,0,販売費及び一般管理費(売上原価),,給料,,1,5,10E110100,OtherCostCOSExpOA,Salaries
　　　　　賃金,0,販売費及び一般管理費(売上原価),,賃金,,1,5,10E110110,OtherCostCOSExpOA,Wages
　　　　　手当,0,販売費及び一般管理費(売上原価),,手当,,1,5,10E110120,OtherCostCOSExpOA,Allowance
　　　　　賞与,0,販売費及び一般管理費(売上原価),,賞与,,1,5,10E110130,OtherCostCOSExpOA,Bonuses
　　　　　福利厚生費,0,販売費及び一般管理費(売上原価),,福利厚生費,,1,5,10E110140,OtherCostCOSExpOA,Welfare expenses
　　　　　交際費,0,販売費及び一般管理費(売上原価),,交際費,,1,5,10E110150,OtherCostCOSExpOA,Entertainment expenses
　　　　　旅費,0,販売費及び一般管理費(売上原価),,旅費,,1,5,10E110160,OtherCostCOSExpOA,Travel expenses
　　　　　交通費,0,販売費及び一般管理費(売上原価),,交通費,,1,5,10E110170,OtherCostCOSExpOA,Transportation expenses
　　　　　通信費,0,販売費及び一般管理費(売上原価),,通信費,,1,5,10E110180,OtherCostCOSExpOA,Communication expenses
　　　　　光熱費,0,販売費及び一般管理費(売上原価),,光熱費,,1,5,10E110190,OtherCostCOSExpOA,Heating and lighting expenses
　　　　　消耗品費,0,販売費及び一般管理費(売上原価),,消耗品費,,1,5,10E110200,OtherCostCOSExpOA,Supplies expenses
　　　　　租税公課,0,販売費及び一般管理費(売上原価),,租税公課,,1,5,10E110210,OtherCostCOSExpOA,Taxes and dues
　　　　　減価償却費,0,販売費及び一般管理費(売上原価),,減価償却費,,1,5,10E110220,OtherCostCOSExpOA,Depreciation
　　　　　修繕費,0,販売費及び一般管理費(売上原価),,修繕費,,1,5,10E110230,OtherCostCOSExpOA,Repair expenses
　　　　　保険料,0,販売費及び一般管理費(売上原価),,保険料,,1,5,10E110240,OtherCostCOSExpOA,Insurance expenses
　　　　　不動産賃借料,0,販売費及び一般管理費(売上原価),,不動産賃借料,,1,5,10E110250,OtherCostCOSExpOA,Rent expenses on real estate
　　　　　貸倒引当金繰入額,0,販売費及び一般管理費(売上原価),,貸倒引当金繰入額,,1,5,10E110260,OtherCostCOSExpOA,Provision of allowance for doubtful accounts
　　　　　貸倒損失,0,販売費及び一般管理費(売上原価),,貸倒損失,,1,5,10E110270,OtherCostCOSExpOA,Bad debts expenses
　　　　　賞与引当金繰入額,0,販売費及び一般管理費(売上原価),,賞与引当金繰入額,,1,5,10E110280,OtherCostCOSExpOA,Provision for bonuses
　　　　　役員退職慰労引当金繰入額,0,販売費及び一般管理費(売上原価),,役員退職慰労引当金繰入額,,1,5,10E110290,OtherCostCOSExpOA,Provision for retirement benefits for directors (and other officers)
