Name,Category,seq,Account_Nname,Type,Level,Ledger_Account_Number,Beginning_Balance,Total_Debit,Total_Credit,Ending_Balance
　　　　　　電話加入権,無形固定資産,,電話加入権,1,6,10A220190,512000,0,0,512000
　　　　投資その他の資産,投資その他の資産,,投資その他の資産,T,4,10A230010,0,0,0,0
　　　　　関係会社株式その他流動資産に属しない有価証券,投資その他の資産,,関係会社株式その他流動資産に属しない有価証券,T,5,10A230020,0,0,0,0
　　　　　出資金,投資その他の資産,,出資金,T,5,10A230080,0,0,0,0
　　　　　長期貸付金,投資その他の資産,,長期貸付金,T,5,10A230130,0,0,0,0
　　　　　前各号に掲げられるものの外、流動資産、有形固定資産、無形固定資産又は繰延資産に属するもの以外の長期資産,投資その他の資産,,前各号に掲げられるものの外、流動資産、有形固定資産、無形固定資産又は繰延資産に属するもの以外の長期資産,T,5,10A230280,0,0,0,0
　　　　　　保険積立金,投資その他の資産,,保険積立金,1,6,10A230570,1528000,1500000,0,3028000
　　　　　　敷金,投資その他の資産,,敷金,1,6,10A230650,3140000,0,0,3140000
　　　　　　投資その他の資産に属する資産に係る引当金,投資その他の資産,,投資その他の資産に属する資産に係る引当金,T,6,10A230810,0,0,0,0
　　　繰延資産,繰延資産,,繰延資産,T,3,10A300010,0,0,0,0
　　負債の部,負債,,負債の部,T,2,10B000010,0,0,0,0
　　　流動負債,流動負債,,流動負債,T,3,10B100010,0,0,0,0
　　　　支払手形,流動負債,,支払手形,1,4,10B100030,52251735,167107676,183544830,68688889
　　　　買掛金,流動負債,,買掛金,1,4,10B100040,264051101,521974182,513384447,255461366
　　　　引当金,流動負債,,引当金,T,4,10B100300,0,0,0,0
　　　　　賞与引当金,流動負債,,賞与引当金,1,5,10B100320,32000000,0,0,32000000
　　　　通常の取引に関連して発生する未払金又は預り金で一般の取引慣行として発生後短期間に支払われるもの,流動負債,,通常の取引に関連して発生する未払金又は預り金で一般の取引慣行として発生後短期間に支払われるもの,T,4,10B100620,0,0,0,0
　　　　　未払金,流動負債,,未払金,1,5,10B100630,57584692,97455856,96837971,56966807
　　　　　未払法人税等,流動負債,,未払法人税等,1,5,10B100640,2864378,2864378,0,0
　　　　　未払事業所税,流動負債,,未払事業所税,1,5,10B100650,1862000,1862000,0,0
　　　　　未払消費税等,流動負債,,未払消費税等,1,5,10B100660,4947100,4947100,0,0
　　　　　預り金,流動負債,,預り金,1,5,10B100690,2309575,20863291,24910282,6356566
　　　　その他の負債で1年内に支払又は返済されると認められるもの,流動負債,,その他の負債で1年内に支払又は返済されると認められるもの,T,4,10B100730,0,0,0,0
　　　　　短期借入金,流動負債,,短期借入金,1,5,10B100790,7842000,7842000,0,0
　　　　　仮受消費税等,流動負債,,仮受消費税等,1,5,10B100890,6540636,0,0,6540636
　　　固定負債,固定負債,,固定負債,T,3,10B200010,0,0,0,0
　　　　社債,固定負債,,社債,T,4,10B200020,0,0,0,0
　　　　長期借入金,固定負債,,長期借入金,T,4,10B200070,0,0,0,0
　　　　　長期借入金,固定負債,,長期借入金,1,5,10B200080,14000000,7000000,0,7000000
　　　　引当金,固定負債,,引当金,T,4,10B200110,0,0,0,0
　　　　　退職給付引当金,固定負債,,退職給付引当金,1,5,10B200120,18560000,0,0,18560000
　　　　　その他の引当金,固定負債,,その他の引当金,1,5,10B200300,22000000,0,0,22000000
　　　　その他の負債で流動負債に属しないもの,固定負債,,その他の負債で流動負債に属しないもの,T,4,10B200370,0,0,0,0
　　　特別法上の準備金,特別法上の準備金等,,特別法上の準備金,T,3,10B300010,0,0,0,0
　　　特別法上の引当金,特別法上の準備金等,,特別法上の引当金,T,3,10B300030,0,0,0,0
　　純資産の部,純資産,,純資産の部,T,2,10C000010,0,0,0,0
　　　株主資本,株主資本,,株主資本,T,3,10C100010,0,0,0,0
　　　　資本金,資本金,,資本金,1,4,10C110010,8900000000,0,0,8900000000
　　　　資本剰余金,資本剰余金,,資本剰余金,T,4,10C120010,0,0,0,0
　　　　　資本準備金,資本剰余金,,資本準備金,1,5,10C120020,1085000000,0,0,1085000000
　　　　利益剰余金,利益剰余金,,利益剰余金,T,4,10C130010,0,0,0,0
　　　　　利益準備金,利益剰余金,,利益準備金,1,5,10C130020,7200000,0,0,7200000
　　　　　その他利益剰余金,利益剰余金,,その他利益剰余金,T,5,10C130030,0,0,0,0
　　　　　　別途積立金,利益剰余金,,別途積立金,1,6,10C130360,4830000,0,0,4830000
　　　　　　繰越利益剰余金,利益剰余金,,繰越利益剰余金,1,6,10C130370,4956596,0,0,4956596
　　　評価・換算差額等,評価・換算差額等,,評価・換算差額等,T,3,10C200010,0,0,0,0
