伝票日付,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分名,借方金額,借方消費税額,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,取引先
20210430,000,共通部門,312,買掛金,10,鈴木販売㈱,対象外,34587,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,34587,3144,4月1日～4月30日分仕入,鈴木販売㈱
20210531,020,東京支店,541,商品仕入高,,,仕入10%,2895984,263271,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2895984,,5月1日～5月31日分仕入,(同)ｳｪｽﾄ
20210531,020,東京支店,541,商品仕入高,,,仕入10%,1291839,117439,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1291839,,5月1日～5月31日分仕入,ﾅｶﾑﾗ産業㈱
20210531,010,札幌営業所,541,商品仕入高,,,仕入10%,135474,12315,共通部門,312,買掛金,2,㈱Pole,00,対象外,135474,,5月1日～5月31日分仕入,㈱Pole
20210531,020,東京支店,541,商品仕入高,,,仕入10%,630800,57345,共通部門,312,買掛金,2,㈱Pole,00,対象外,630800,,5月1日～5月31日分仕入,㈱Pole
20210531,030,名古屋支店,541,商品仕入高,,,仕入10%,190510,17319,共通部門,312,買掛金,2,㈱Pole,00,対象外,190510,,5月1日～5月31日分仕入,㈱Pole
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,283648,25786,共通部門,312,買掛金,2,㈱Pole,00,対象外,283648,,5月1日～5月31日分仕入,㈱Pole
20210531,050,九州営業所,541,商品仕入高,,,仕入10%,55036,5003,共通部門,312,買掛金,2,㈱Pole,00,対象外,55036,,5月1日～5月31日分仕入,㈱Pole
20210531,020,東京支店,541,商品仕入高,,,仕入10%,6139435,558130,共通部門,312,買掛金,1,㈱Y2,00,対象外,6139435,,5月1日～5月31日分仕入,㈱Y2
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,926133,84193,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,00,対象外,926133,,5月1日～5月31日分仕入,㈱ｱﾀｯﾁ
20210531,030,名古屋支店,541,商品仕入高,,,仕入10%,3549759,322705,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,00,対象外,3549759,,5月1日～5月31日分仕入,㈱ｻﾝｾｯﾄ
20210531,000,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,対象外,17337,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,17337,1576,5月1日～5月31日分仕入,㈱ｻﾝｾｯﾄ
20210531,020,東京支店,541,商品仕入高,,,仕入10%,3107835,282530,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,00,対象外,3107835,,5月1日～5月31日分仕入,㈱ﾁｪｯｸ
20210531,000,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,対象外,81144,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,81144,7376,5月1日～5月31日分仕入,㈱ﾁｪｯｸ
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,3530262,320932,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,00,対象外,3530262,,5月1日～5月31日分仕入,㈱ﾊﾅﾀﾞ
20210531,030,名古屋支店,541,商品仕入高,,,仕入10%,1154355,104941,共通部門,312,買掛金,15,㈱はなまる商事,00,対象外,1154355,,5月1日～5月31日分仕入,㈱はなまる商事
20210531,020,東京支店,541,商品仕入高,,,仕入10%,4270793,388253,共通部門,312,買掛金,11,㈱まつむら,00,対象外,4270793,,5月1日～5月31日分仕入,㈱まつむら
20210531,000,共通部門,312,買掛金,11,㈱まつむら,対象外,42386,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,42386,3853,5月1日～5月31日分仕入,㈱まつむら
20210531,020,東京支店,541,商品仕入高,,,仕入10%,140313,12755,共通部門,312,買掛金,8,㈱山下,00,対象外,140313,,5月1日～5月31日分仕入,㈱山下
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,169344,15394,共通部門,312,買掛金,8,㈱山下,00,対象外,169344,,5月1日～5月31日分仕入,㈱山下
20210531,050,九州営業所,541,商品仕入高,,,仕入10%,24192,2199,共通部門,312,買掛金,8,㈱山下,00,対象外,24192,,5月1日～5月31日分仕入,㈱山下
20210531,010,札幌営業所,541,商品仕入高,,,仕入10%,72576,6597,共通部門,312,買掛金,8,㈱山下,00,対象外,72576,,5月1日～5月31日分仕入,㈱山下
20210531,020,東京支店,541,商品仕入高,,,仕入10%,330220,30020,共通部門,312,買掛金,12,㈱有江,00,対象外,330220,,5月1日～5月31日分仕入,㈱有江
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,3744310,340391,共通部門,312,買掛金,5,小藤丸㈱,00,対象外,3744310,,5月1日～5月31日分仕入,小藤丸㈱
20210531,000,共通部門,312,買掛金,5,小藤丸㈱,対象外,22176,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,22176,2016,5月1日～5月31日分仕入,小藤丸㈱
20210531,030,名古屋支店,541,商品仕入高,,,仕入10%,1772046,161095,共通部門,312,買掛金,9,斉藤産業㈱,00,対象外,1772046,,5月1日～5月31日分仕入,斉藤産業㈱
20210531,000,共通部門,312,買掛金,9,斉藤産業㈱,対象外,12903,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,12903,1173,5月1日～5月31日分仕入,斉藤産業㈱
20210531,040,大阪支店,541,商品仕入高,,,仕入10%,3030717,275519,共通部門,312,買掛金,10,鈴木販売㈱,00,対象外,3030717,,5月1日～5月31日分仕入,鈴木販売㈱
20210531,000,共通部門,312,買掛金,10,鈴木販売㈱,対象外,56044,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,56044,5094,5月1日～5月31日分仕入,鈴木販売㈱
20210630,020,東京支店,541,商品仕入高,,,仕入10%,2864586,260416,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2864586,,6月1日～6月30日分仕入,(同)ｳｪｽﾄ
20210630,020,東京支店,541,商品仕入高,,,仕入10%,1224976,111361,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1224976,,6月1日～6月30日分仕入,ﾅｶﾑﾗ産業㈱
20210630,000,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,対象外,14784,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,14784,1344,6月1日～6月30日分仕入,ﾅｶﾑﾗ産業㈱
20210630,010,札幌営業所,541,商品仕入高,,,仕入10%,77565,7051,共通部門,312,買掛金,2,㈱Pole,00,対象外,77565,,6月1日～6月30日分仕入,㈱Pole
20210630,020,東京支店,541,商品仕入高,,,仕入10%,616209,56019,共通部門,312,買掛金,2,㈱Pole,00,対象外,616209,,6月1日～6月30日分仕入,㈱Pole
20210630,030,名古屋支店,541,商品仕入高,,,仕入10%,116346,10576,共通部門,312,買掛金,2,㈱Pole,00,対象外,116346,,6月1日～6月30日分仕入,㈱Pole
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,349042,31731,共通部門,312,買掛金,2,㈱Pole,00,対象外,349042,,6月1日～6月30日分仕入,㈱Pole
20210630,050,九州営業所,541,商品仕入高,,,仕入10%,137893,12535,共通部門,312,買掛金,2,㈱Pole,00,対象外,137893,,6月1日～6月30日分仕入,㈱Pole
20210630,020,東京支店,541,商品仕入高,,,仕入10%,5813524,528502,共通部門,312,買掛金,1,㈱Y2,00,対象外,5813524,,6月1日～6月30日分仕入,㈱Y2
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,888656,80786,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,00,対象外,888656,,6月1日～6月30日分仕入,㈱ｱﾀｯﾁ
20210630,030,名古屋支店,541,商品仕入高,,,仕入10%,3490290,317299,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,00,対象外,3490290,,6月1日～6月30日分仕入,㈱ｻﾝｾｯﾄ
20210630,000,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,対象外,42806,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,42806,3891,6月1日～6月30日分仕入,㈱ｻﾝｾｯﾄ
20210630,020,東京支店,541,商品仕入高,,,仕入10%,3136658,285150,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,00,対象外,3136658,,6月1日～6月30日分仕入,㈱ﾁｪｯｸ
20210630,000,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,対象外,20580,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,20580,1870,6月1日～6月30日分仕入,㈱ﾁｪｯｸ
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,3482789,316617,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,00,対象外,3482789,,6月1日～6月30日分仕入,㈱ﾊﾅﾀﾞ
20210630,000,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,対象外,23436,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,23436,2130,6月1日～6月30日分仕入,㈱ﾊﾅﾀﾞ
20210630,030,名古屋支店,541,商品仕入高,,,仕入10%,1109128,100829,共通部門,312,買掛金,15,㈱はなまる商事,00,対象外,1109128,,6月1日～6月30日分仕入,㈱はなまる商事
20210630,020,東京支店,541,商品仕入高,,,仕入10%,4187544,380685,共通部門,312,買掛金,11,㈱まつむら,00,対象外,4187544,,6月1日～6月30日分仕入,㈱まつむら
20210630,000,共通部門,312,買掛金,11,㈱まつむら,対象外,67512,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,67512,6137,6月1日～6月30日分仕入,㈱まつむら
20210630,010,札幌営業所,541,商品仕入高,,,仕入10%,49392,4490,共通部門,312,買掛金,8,㈱山下,00,対象外,49392,,6月1日～6月30日分仕入,㈱山下
20210630,020,東京支店,541,商品仕入高,,,仕入10%,222264,20205,共通部門,312,買掛金,8,㈱山下,00,対象外,222264,,6月1日～6月30日分仕入,㈱山下
20210630,030,名古屋支店,541,商品仕入高,,,仕入10%,24696,2245,共通部門,312,買掛金,8,㈱山下,00,対象外,24696,,6月1日～6月30日分仕入,㈱山下
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,44452,4041,共通部門,312,買掛金,8,㈱山下,00,対象外,44452,,6月1日～6月30日分仕入,㈱山下
20210630,050,九州営業所,541,商品仕入高,,,仕入10%,49392,4490,共通部門,312,買掛金,8,㈱山下,00,対象外,49392,,6月1日～6月30日分仕入,㈱山下
20210630,020,東京支店,541,商品仕入高,,,仕入10%,316537,28776,共通部門,312,買掛金,12,㈱有江,00,対象外,316537,,6月1日～6月30日分仕入,㈱有江
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,3702978,336634,共通部門,312,買掛金,5,小藤丸㈱,00,対象外,3702978,,6月1日～6月30日分仕入,小藤丸㈱
20210630,000,共通部門,312,買掛金,5,小藤丸㈱,対象外,22596,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,22596,2054,6月1日～6月30日分仕入,小藤丸㈱
20210630,030,名古屋支店,541,商品仕入高,,,仕入10%,1712425,155675,共通部門,312,買掛金,9,斉藤産業㈱,00,対象外,1712425,,6月1日～6月30日分仕入,斉藤産業㈱
20210630,040,大阪支店,541,商品仕入高,,,仕入10%,3040340,276394,共通部門,312,買掛金,10,鈴木販売㈱,00,対象外,3040340,,6月1日～6月30日分仕入,鈴木販売㈱
20210630,000,共通部門,312,買掛金,10,鈴木販売㈱,対象外,20160,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,20160,1832,6月1日～6月30日分仕入,鈴木販売㈱
20210731,020,東京支店,541,商品仕入高,,,仕入10%,2953512,268501,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2953512,,7月1日～7月31日分仕入,(同)ｳｪｽﾄ
20210731,020,東京支店,541,商品仕入高,,,仕入10%,1317476,119770,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1317476,,7月1日～7月31日分仕入,ﾅｶﾑﾗ産業㈱
20210731,010,札幌営業所,541,商品仕入高,,,仕入10%,176676,16061,共通部門,312,買掛金,2,㈱Pole,00,対象外,176676,,7月1日～7月31日分仕入,㈱Pole
20210731,020,東京支店,541,商品仕入高,,,仕入10%,650681,59152,共通部門,312,買掛金,2,㈱Pole,00,対象外,650681,,7月1日～7月31日分仕入,㈱Pole
20210731,030,名古屋支店,541,商品仕入高,,,仕入10%,77565,7051,共通部門,312,買掛金,2,㈱Pole,00,対象外,77565,,7月1日～7月31日分仕入,㈱Pole
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,215458,19587,共通部門,312,買掛金,2,㈱Pole,00,対象外,215458,,7月1日～7月31日分仕入,㈱Pole
20210731,050,九州営業所,541,商品仕入高,,,仕入10%,198221,18020,共通部門,312,買掛金,2,㈱Pole,00,対象外,198221,,7月1日～7月31日分仕入,㈱Pole
20210731,020,東京支店,541,商品仕入高,,,仕入10%,6120204,556382,共通部門,312,買掛金,1,㈱Y2,00,対象外,6120204,,7月1日～7月31日分仕入,㈱Y2
20210731,000,共通部門,312,買掛金,1,㈱Y2,対象外,19252,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,19252,1750,7月1日～7月31日分仕入,㈱Y2
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,929328,84484,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,00,対象外,929328,,7月1日～7月31日分仕入,㈱ｱﾀｯﾁ
20210731,000,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,対象外,14817,,大阪支店,551,仕入値引戻し高,,,R5,仕返10%,14817,1347,7月1日～7月31日分仕入,㈱ｱﾀｯﾁ
20210731,030,名古屋支店,541,商品仕入高,,,仕入10%,3639444,330858,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,00,対象外,3639444,,7月1日～7月31日分仕入,㈱ｻﾝｾｯﾄ
20210731,020,東京支店,541,商品仕入高,,,仕入10%,3216642,292422,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,00,対象外,3216642,,7月1日～7月31日分仕入,㈱ﾁｪｯｸ
20210731,000,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,対象外,34523,,東京支店,551,仕入値引戻し高,,,R5,仕返10%,34523,3138,7月1日～7月31日分仕入,㈱ﾁｪｯｸ
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,3600809,327346,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,00,対象外,3600809,,7月1日～7月31日分仕入,㈱ﾊﾅﾀﾞ
20210731,030,名古屋支店,541,商品仕入高,,,仕入10%,1159628,105420,共通部門,312,買掛金,15,㈱はなまる商事,00,対象外,1159628,,7月1日～7月31日分仕入,㈱はなまる商事
20210731,000,共通部門,312,買掛金,15,㈱はなまる商事,対象外,18748,,名古屋支店,551,仕入値引戻し高,,,R5,仕返10%,18748,1704,7月1日～7月31日分仕入,㈱はなまる商事
20210731,020,東京支店,541,商品仕入高,,,仕入10%,4398969,399906,共通部門,312,買掛金,11,㈱まつむら,00,対象外,4398969,,7月1日～7月31日分仕入,㈱まつむら
20210731,010,札幌営業所,541,商品仕入高,,,仕入10%,49392,4490,共通部門,312,買掛金,8,㈱山下,00,対象外,49392,,7月1日～7月31日分仕入,㈱山下
20210731,020,東京支店,541,商品仕入高,,,仕入10%,167932,15266,共通部門,312,買掛金,8,㈱山下,00,対象外,167932,,7月1日～7月31日分仕入,㈱山下
20210731,030,名古屋支店,541,商品仕入高,,,仕入10%,24696,2245,共通部門,312,買掛金,8,㈱山下,00,対象外,24696,,7月1日～7月31日分仕入,㈱山下
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,148176,13470,共通部門,312,買掛金,8,㈱山下,00,対象外,148176,,7月1日～7月31日分仕入,㈱山下
20210731,050,九州営業所,541,商品仕入高,,,仕入10%,24696,2245,共通部門,312,買掛金,8,㈱山下,00,対象外,24696,,7月1日～7月31日分仕入,㈱山下
20210731,020,東京支店,541,商品仕入高,,,仕入10%,336571,30597,共通部門,312,買掛金,12,㈱有江,00,対象外,336571,,7月1日～7月31日分仕入,㈱有江
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,3841014,349183,共通部門,312,買掛金,5,小藤丸㈱,00,対象外,3841014,,7月1日～7月31日分仕入,小藤丸㈱
20210731,030,名古屋支店,541,商品仕入高,,,仕入10%,1819272,165388,共通部門,312,買掛金,9,斉藤産業㈱,00,対象外,1819272,,7月1日～7月31日分仕入,斉藤産業㈱
20210731,040,大阪支店,541,商品仕入高,,,仕入10%,3148603,286236,共通部門,312,買掛金,10,鈴木販売㈱,00,対象外,3148603,,7月1日～7月31日分仕入,鈴木販売㈱
20210831,020,東京支店,541,商品仕入高,,,仕入10%,2953512,268501,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2953512,,8月1日～8月31日分仕入,(同)ｳｪｽﾄ
20210831,020,東京支店,541,商品仕入高,,,仕入10%,1317476,119770,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1317476,,8月1日～8月31日分仕入,ﾅｶﾑﾗ産業㈱
20210831,010,札幌営業所,541,商品仕入高,,,仕入10%,90491,8226,共通部門,312,買掛金,2,㈱Pole,00,対象外,90491,,8月1日～8月31日分仕入,㈱Pole
20210831,020,東京支店,541,商品仕入高,,,仕入10%,818740,74430,共通部門,312,買掛金,2,㈱Pole,00,対象外,818740,,8月1日～8月31日分仕入,㈱Pole
20210831,030,名古屋支店,541,商品仕入高,,,仕入10%,271477,24679,共通部門,312,買掛金,2,㈱Pole,00,対象外,271477,,8月1日～8月31日分仕入,㈱Pole
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,77565,7051,共通部門,312,買掛金,2,㈱Pole,00,対象外,77565,,8月1日～8月31日分仕入,㈱Pole
20210831,050,九州営業所,541,商品仕入高,,,仕入10%,60328,5484,共通部門,312,買掛金,2,㈱Pole,00,対象外,60328,,8月1日～8月31日分仕入,㈱Pole
20210831,020,東京支店,541,商品仕入高,,,仕入10%,6139436,558130,共通部門,312,買掛金,1,㈱Y2,00,対象外,6139436,,8月1日～8月31日分仕入,㈱Y2
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,944145,85831,共通部門,312,買掛金,4,㈱ｱﾀｯﾁ,00,対象外,944145,,8月1日～8月31日分仕入,㈱ｱﾀｯﾁ
20210831,030,名古屋支店,541,商品仕入高,,,仕入10%,3639444,330858,共通部門,312,買掛金,7,㈱ｻﾝｾｯﾄ,00,対象外,3639444,,8月1日～8月31日分仕入,㈱ｻﾝｾｯﾄ
20210831,020,東京支店,541,商品仕入高,,,仕入10%,3251165,295560,共通部門,312,買掛金,3,㈱ﾁｪｯｸ,00,対象外,3251165,,8月1日～8月31日分仕入,㈱ﾁｪｯｸ
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,3600809,327346,共通部門,312,買掛金,6,㈱ﾊﾅﾀﾞ,00,対象外,3600809,,8月1日～8月31日分仕入,㈱ﾊﾅﾀﾞ
20210831,030,名古屋支店,541,商品仕入高,,,仕入10%,1178376,107125,共通部門,312,買掛金,15,㈱はなまる商事,00,対象外,1178376,,8月1日～8月31日分仕入,㈱はなまる商事
20210831,020,東京支店,541,商品仕入高,,,仕入10%,4398969,399906,共通部門,312,買掛金,11,㈱まつむら,00,対象外,4398969,,8月1日～8月31日分仕入,㈱まつむら
20210831,010,札幌営業所,541,商品仕入高,,,仕入10%,74088,6735,共通部門,312,買掛金,8,㈱山下,00,対象外,74088,,8月1日～8月31日分仕入,㈱山下
20210831,020,東京支店,541,商品仕入高,,,仕入10%,148176,13470,共通部門,312,買掛金,8,㈱山下,00,対象外,148176,,8月1日～8月31日分仕入,㈱山下
20210831,030,名古屋支店,541,商品仕入高,,,仕入10%,44452,4041,共通部門,312,買掛金,8,㈱山下,00,対象外,44452,,8月1日～8月31日分仕入,㈱山下
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,123480,11225,共通部門,312,買掛金,8,㈱山下,00,対象外,123480,,8月1日～8月31日分仕入,㈱山下
20210831,020,東京支店,541,商品仕入高,,,仕入10%,336571,30597,共通部門,312,買掛金,12,㈱有江,00,対象外,336571,,8月1日～8月31日分仕入,㈱有江
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,3841014,349183,共通部門,312,買掛金,5,小藤丸㈱,00,対象外,3841014,,8月1日～8月31日分仕入,小藤丸㈱
20210831,030,名古屋支店,541,商品仕入高,,,仕入10%,1819272,165388,共通部門,312,買掛金,9,斉藤産業㈱,00,対象外,1819272,,8月1日～8月31日分仕入,斉藤産業㈱
20210831,040,大阪支店,541,商品仕入高,,,仕入10%,3148603,286236,共通部門,312,買掛金,10,鈴木販売㈱,00,対象外,3148603,,8月1日～8月31日分仕入,鈴木販売㈱
20210930,020,東京支店,541,商品仕入高,,,仕入10%,2868702,260791,共通部門,312,買掛金,14,(同)ｳｪｽﾄ,00,対象外,2868702,,9月1日～9月30日分仕入,(同)ｳｪｽﾄ
20210930,020,東京支店,541,商品仕入高,,,仕入10%,1317476,119770,共通部門,312,買掛金,13,ﾅｶﾑﾗ産業㈱,00,対象外,1317476,,9月1日～9月30日分仕入,ﾅｶﾑﾗ産業㈱
20210930,010,札幌営業所,541,商品仕入高,,,仕入10%,232695,21154,共通部門,312,買掛金,2,㈱Pole,00,対象外,232695,,9月1日～9月30日分仕入,㈱Pole
20210930,020,東京支店,541,商品仕入高,,,仕入10%,392134,35648,共通部門,312,買掛金,2,㈱Pole,00,対象外,392134,,9月1日～9月30日分仕入,㈱Pole
20210930,030,名古屋支店,541,商品仕入高,,,仕入10%,116347,10577,共通部門,312,買掛金,2,㈱Pole,00,対象外,116347,,9月1日～9月30日分仕入,㈱Pole
20210930,040,大阪支店,541,商品仕入高,,,仕入10%,405060,36823,共通部門,312,買掛金,2,㈱Pole,00,対象外,405060,,9月1日～9月30日分仕入,㈱Pole
20210930,050,九州営業所,541,商品仕入高,,,仕入10%,94801,8618,共通部門,312,買掛金,2,㈱Pole,00,対象外,94801,,9月1日～9月30日分仕入,㈱Pole
