JP07a,JP08a,Month,JP07a_GL02_03,JP07a_GL02_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,Debit_Amount,JP02c_BS28_01,JP02c_BS28_02,GE05gS_01,JP05a_01,JP05a_02,BS04c5_01,BS04c5_02,JP06d_BS16_01,JP06d_BS16_02,Credit_Amount,JP02d_BS28_01,JP02d_BS28_02,GE05h0_01,JP05b_01,JP05b_02,BS04c6_01,BS04c6_02
14,1,2021-04,2021-04-05,255,4月5日伝票No191佐々木販売株式会社,10A100020,現金及び預金,1508295,O,-,0,20,みずほ 本店,,,10A100090,売掛金,1508295,O,-,0,26,佐々木販売㈱,,
14,2,2021-04,2021-04-05,255,4月5日伝票No191佐々木販売株式会社,10E200690,支払手数料,472,S10,標準10%,42,,,,,10A100090,売掛金,472,O,-,0,26,佐々木販売㈱,,
15,1,2021-04,2021-04-05,256,4月5日伝票No192岩下物産株式会社,10A100020,現金及び預金,2171384,O,-,0,30,三井 名古屋,,,10A100090,売掛金,2171384,O,-,0,27,岩下物産㈱,,
15,2,2021-04,2021-04-05,256,4月5日伝票No192岩下物産株式会社,10E200690,支払手数料,735,S10,標準10%,66,,,,,10A100090,売掛金,735,O,-,0,27,岩下物産㈱,,
16,1,2021-04,2021-04-06,10,ガソリン代,10E201120,車両費,4224,S10,標準10%,384,,,,,10A100020,現金及び預金,4224,O,-,0,,,,
17,1,2021-04,2021-04-06,42,昼食代 フロンティホテル,10E200150,交際費,4650,S10,標準10%,422,,,,,10A100020,現金及び預金,4650,O,-,0,,,,
18,1,2021-04,2021-04-06,84,切手代,10E200180,通信費,70000,S10,標準10%,6363,,,,,10A100020,現金及び預金,70000,O,-,0,,,,
19,1,2021-04,2021-04-06,106,食事代 ホテルララダ2名,10E200150,交際費,5372,S10,標準10%,488,,,,,10A100020,現金及び預金,36020,O,-,0,,,,
19,2,2021-04,2021-04-06,106,飲食代 スナック北新地,10E200150,交際費,30648,S10,標準10%,2786,,,,,,,0,,,0,,,,
20,1,2021-04,2021-04-06,110,タクシー代,10E201230,旅費及び交通費,2290,S10,標準10%,208,,,,,10A100020,現金及び預金,2290,O,-,0,,,,
21,1,2021-04,2021-04-06,123,切手代,10E200180,通信費,40000,S10,標準10%,3636,,,,,10A100020,現金及び預金,40000,O,-,0,,,,
22,1,2021-04,2021-04-06,124,収入印紙,10E200210,租税公課,6000,O,-,0,,,,,10A100020,現金及び預金,6000,O,-,0,,,,
23,1,2021-04,2021-04-06,147,ガソリン代,10E201120,車両費,5126,S10,標準10%,466,,,,,10B100630,未払金,5126,O,-,0,,,,
24,1,2021-04,2021-04-06,156,出張旅費,10E201230,旅費及び交通費,7500,S10,標準10%,681,,,,,10A100020,現金及び預金,7500,O,-,0,,,,
25,1,2021-04,2021-04-06,236,ゴルフプレー代2名,10E200150,交際費,26500,S10,標準10%,2409,,,,,10A100020,現金及び預金,26500,O,-,0,,,,
26,1,2021-04,2021-04-06,305,資金移動,10A100020,現金及び預金,1000000,O,-,0,40,三菱東京 梅田,,,10A100020,現金及び預金,1000000,O,-,0,20,みずほ 本店,,
27,1,2021-04,2021-04-07,20,旅費,10E201230,旅費及び交通費,39000,S10,標準10%,3545,,,,,10A100020,現金及び預金,39000,O,-,0,,,,
28,1,2021-04,2021-04-07,21,JR代,10E201230,旅費及び交通費,69500,S10,標準10%,6318,,,,,10A100020,現金及び預金,69500,O,-,0,,,,
29,1,2021-04,2021-04-07,22,旅費,10E201230,旅費及び交通費,50000,S10,標準10%,4545,,,,,10A100020,現金及び預金,50000,O,-,0,,,,
30,1,2021-04,2021-04-07,43,手土産代 阿部商事,10E200150,交際費,6630,S10,標準10%,602,,,,,10A100020,現金及び預金,6630,O,-,0,,,,
31,1,2021-04,2021-04-07,56,旅費,10E201230,旅費及び交通費,21500,S10,標準10%,1954,,,,,10A100020,現金及び預金,21500,O,-,0,,,,
32,1,2021-04,2021-04-07,57,JR代,10E201230,旅費及び交通費,97800,S10,標準10%,8890,,,,,10A100020,現金及び預金,97800,O,-,0,,,,
33,1,2021-04,2021-04-07,58,旅費,10E201230,旅費及び交通費,70000,S10,標準10%,6363,,,,,10A100020,現金及び預金,70000,O,-,0,,,,
34,1,2021-04,2021-04-07,69,お茶代,10E201270,雑費,1332,S10,標準10%,121,,,,,10A100020,現金及び預金,4171,O,-,0,,,,
34,2,2021-04,2021-04-07,69,コーヒー代,10E201270,雑費,2839,S10,標準10%,258,,,,,,,0,,,0,,,,
35,1,2021-04,2021-04-07,102,手土産代 阿部商店,10E200150,交際費,1050,S10,標準10%,95,,,,,10A100020,現金及び預金,1050,O,-,0,,,,
36,1,2021-04,2021-04-08,50,高速代,10E201120,車両費,1200,S10,標準10%,109,,,,,10A100020,現金及び預金,1200,O,-,0,,,,
37,1,2021-04,2021-04-08,143,ガソリン代,10E201120,車両費,7135,S10,標準10%,648,,,,,10A100020,現金及び預金,7135,O,-,0,,,,
38,1,2021-04,2021-04-10,33,家賃支払い,10E200720,地代家賃,320000,S10,標準10%,29090,,,,,10A100020,現金及び預金,320000,O,-,0,10,北海道 駅前,,
38,2,2021-04,2021-04-10,33,電話代,10E200180,通信費,164130,S10,標準10%,14920,,,,,10A100020,現金及び預金,164130,O,-,0,10,北海道 駅前,,
39,1,2021-04,2021-04-10,85,電話代,10E200180,通信費,129188,S10,標準10%,11744,,,,,10A100020,現金及び預金,129188,O,-,0,30,三井 名古屋,,
40,1,2021-04,2021-04-10,112,電話代,10E200180,通信費,246816,S10,標準10%,22437,,,,,10A100020,現金及び預金,246816,O,-,0,40,三菱東京 梅田,,
41,1,2021-04,2021-04-10,129,家賃支払い,10E200720,地代家賃,399000,S10,標準10%,36272,,,,,10A100020,現金及び預金,399000,O,-,0,30,三井 名古屋,,
42,1,2021-04,2021-04-10,149,食事代 うどん亭4名,10E200150,交際費,5760,S10,標準10%,523,,,,,10A100020,現金及び預金,5760,O,-,0,,,,
43,1,2021-04,2021-04-10,157,航空券代,10E201230,旅費及び交通費,22200,S10,標準10%,2018,,,,,10A100020,現金及び預金,22200,O,-,0,50,福岡 北九州,,
44,1,2021-04,2021-04-10,162,会議 食事代,10E201130,会議費,24995,S10,標準10%,2272,,,,,10A100020,現金及び預金,24995,O,-,0,,,,
45,1,2021-04,2021-04-10,167,家賃支払い,10E200720,地代家賃,630000,S10,標準10%,57272,,,,,10A100020,現金及び預金,630000,O,-,0,50,福岡 北九州,,
45,2,2021-04,2021-04-10,167,電話代,10E200180,通信費,166012,S10,標準10%,15092,,,,,10A100020,現金及び預金,166012,O,-,0,50,福岡 北九州,,
46,1,2021-04,2021-04-10,168,有線,10E201270,雑費,6000,S10,標準10%,545,,,,,10B100630,未払金,48858,O,-,0,,,,
46,2,2021-04,2021-04-10,168,警備料,10E201270,雑費,42858,S10,標準10%,3896,,,,,,,0,,,0,,,,
47,1,2021-04,2021-04-10,231,源泉税支払,10B100690,預り金,224870,O,-,0,3,源泉税,,,10A100020,現金及び預金,692570,O,-,0,20,みずほ 本店,,
47,2,2021-04,2021-04-10,231,住民税支払,10B100690,預り金,467700,O,-,0,2,住民税,,,,,0,,,0,,,,
48,1,2021-04,2021-04-10,232,家賃支払,10E200720,地代家賃,1260000,S10,標準10%,114545,,,,,10A100020,現金及び預金,1260000,O,-,0,20,みずほ 本店,,
49,1,2021-04,2021-04-10,233,家賃支払,10E200720,地代家賃,840000,S10,標準10%,76363,,,,,10A100020,現金及び預金,840000,O,-,0,40,三菱東京 梅田,,
50,1,2021-04,2021-04-10,234,有線,10E201270,雑費,5000,S10,標準10%,454,,,,,10B100630,未払金,39286,O,-,0,,,,
50,2,2021-04,2021-04-10,234,警備料,10E201270,雑費,34286,S10,標準10%,3116,,,,,,,0,,,0,,,,
51,1,2021-04,2021-04-10,248,旅費,10E201230,旅費及び交通費,10450,S10,標準10%,950,,,,,10A100020,現金及び預金,10450,O,-,0,,,,
52,1,2021-04,2021-04-10,257,4月10日伝票No193株式会社 ミナミ,10A100020,現金及び預金,1428451,O,-,0,30,三井 名古屋,,,10A100090,売掛金,1428451,O,-,0,19,㈱ﾐﾅﾐ,,
52,2,2021-04,2021-04-10,257,4月10日伝票No193株式会社 ミナミ,10E200690,支払手数料,735,S10,標準10%,66,,,,,10A100090,売掛金,735,O,-,0,19,㈱ﾐﾅﾐ,,
53,1,2021-04,2021-04-10,258,4月10日伝票No194かめだデパート,10A100060,受取手形,7862107,O,-,0,,,,,10A100090,売掛金,7862107,O,-,0,28,かめだﾃﾞﾊﾟｰﾄ,,
54,1,2021-04,2021-04-10,259,4月10日伝票No472株式会社 チェック,10B100040,買掛金,1961954,O,-,0,3,㈱ﾁｪｯｸ,,,10A100090,売掛金,1961954,O,-,0,3,㈱ﾁｪｯｸ,,
55,1,2021-04,2021-04-10,260,4月10日伝票No494株式会社 藤田東京本社,10A100020,現金及び預金,18417920,O,-,0,20,みずほ 本店,,,10A100090,売掛金,18417920,O,-,0,14,㈱藤田,,
55,2,2021-04,2021-04-10,260,4月10日伝票No494株式会社 藤田東京本社,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,14,㈱藤田,,
56,1,2021-04,2021-04-10,261,4月10日伝票No271株式会社 チェック,10B100040,買掛金,7368349,O,-,0,3,㈱ﾁｪｯｸ,,,10B100030,支払手形,7368349,O,-,0,,,,
57,1,2021-04,2021-04-10,262,4月10日伝票No273株式会社 山下,10B100040,買掛金,402696,O,-,0,8,㈱山下,,,10A100020,現金及び預金,402696,O,-,0,20,みずほ 本店,,
58,1,2021-04,2021-04-10,298,手形期日落日 チェック,10B100030,支払手形,7322934,O,-,0,,,,,10A100020,現金及び預金,7322934,O,-,0,1,みずほ銀行,,
59,1,2021-04,2021-04-11,73,飲食代 居酒屋富士6名,10E200150,交際費,26530,S10,標準10%,2411,,,,,10A100020,現金及び預金,26530,O,-,0,,,,
60,1,2021-04,2021-04-11,74,飲食代 スナック新世界6名,10E200150,交際費,39000,S10,標準10%,3545,,,,,10A100020,現金及び預金,39000,O,-,0,,,,
61,1,2021-04,2021-04-11,229,資金移動,10A100020,現金及び預金,9000000,O,-,0,1,みずほ銀行,,,10A100020,現金及び預金,9000000,O,-,0,20,みずほ 本店,,
61,2,2021-04,2021-04-11,229,引き出し,10A100020,現金及び預金,2000000,O,-,0,,,,,10A100020,現金及び預金,2000000,O,-,0,20,みずほ 本店,,
62,1,2021-04,2021-04-12,155,ガソリン代,10E201120,車両費,4500,S10,標準10%,409,,,,,10A100020,現金及び預金,5072,O,-,0,,,,
62,2,2021-04,2021-04-12,155,駐車代,10E201120,車両費,572,S10,標準10%,52,,,,,,,0,,,0,,,,
63,1,2021-04,2021-04-12,249,旅費,10E201230,旅費及び交通費,10286,S10,標準10%,935,,,,,10A100020,現金及び預金,15048,O,-,0,,,,
63,2,2021-04,2021-04-12,249,タクシー代,10E201230,旅費及び交通費,4762,S10,標準10%,432,,,,,,,0,,,0,,,,
64,1,2021-04,2021-04-12,311,タイヤ交換,10E201120,車両費,74000,S10,標準10%,6727,,,,,10A100020,現金及び預金,74000,O,-,0,,,,
65,1,2021-04,2021-04-13,11,ガソリン代,10E201120,車両費,3210,S10,標準10%,291,,,,,10A100020,現金及び預金,3210,O,-,0,,,,
66,1,2021-04,2021-04-13,17,ウォッシャー液,10E201120,車両費,351,S10,標準10%,31,,,,,10A100020,現金及び預金,1113,O,-,0,,,,
66,2,2021-04,2021-04-13,17,駐車代,10E201120,車両費,762,S10,標準10%,69,,,,,,,0,,,0,,,,
67,1,2021-04,2021-04-13,144,ウォッシャー液代,10E201120,車両費,572,S10,標準10%,52,,,,,10A100020,現金及び預金,8691,O,-,0,,,,
67,2,2021-04,2021-04-13,144,高速代,10E201120,車両費,2286,S10,標準10%,207,,,,,,,0,,,0,,,,
67,3,2021-04,2021-04-13,144,ガソリン代,10E201120,車両費,5833,S10,標準10%,530,,,,,,,0,,,0,,,,
68,1,2021-04,2021-04-13,150,ゴルフプレー代,10E200150,交際費,14000,S10,標準10%,1272,,,,,10A100020,現金及び預金,14000,O,-,0,,,,
69,1,2021-04,2021-04-13,158,出張旅費,10E201230,旅費及び交通費,15000,S10,標準10%,1363,,,,,10A100020,現金及び預金,15000,O,-,0,,,,
70,1,2021-04,2021-04-14,23,旅費,10E201230,旅費及び交通費,26667,S10,標準10%,2424,,,,,10A100020,現金及び預金,92858,O,-,0,,,,
70,2,2021-04,2021-04-14,23,旅費,10E201230,旅費及び交通費,29524,S10,標準10%,2684,,,,,,,0,,,0,,,,
70,3,2021-04,2021-04-14,23,旅費,10E201230,旅費及び交通費,36667,S10,標準10%,3333,,,,,,,0,,,0,,,,
71,1,2021-04,2021-04-14,46,ガソリン代,10E201120,車両費,2341,S10,標準10%,212,,,,,10A100020,現金及び預金,7151,O,-,0,,,,
71,2,2021-04,2021-04-14,46,駐車代,10E201120,車両費,1762,S10,標準10%,160,,,,,,,0,,,0,,,,
71,3,2021-04,2021-04-14,46,高速代,10E201120,車両費,3048,S10,標準10%,277,,,,,,,0,,,0,,,,
72,1,2021-04,2021-04-14,51,高速代,10E201120,車両費,1505,S10,標準10%,136,,,,,10A100020,現金及び預金,4031,O,-,0,,,,
72,2,2021-04,2021-04-14,51,駐車代,10E201120,車両費,620,S10,標準10%,56,,,,,,,0,,,0,,,,
72,3,2021-04,2021-04-14,51,駐車代,10E201120,車両費,810,S10,標準10%,73,,,,,,,0,,,0,,,,
72,4,2021-04,2021-04-14,51,高速代,10E201120,車両費,1096,S10,標準10%,99,,,,,,,0,,,0,,,,
73,1,2021-04,2021-04-15,4,広告費,10E200050,広告宣伝費,31500,S10,標準10%,2863,,,,,10B100630,未払金,31500,O,-,0,,,,
74,1,2021-04,2021-04-15,79,景品代,10E200140,福利厚生費,45477,S10,標準10%,4134,,,,,10A100020,現金及び預金,45477,O,-,0,,,,
75,1,2021-04,2021-04-15,117,会費,10E201140,諸会費,20000,O,-,0,,,,,10A100020,現金及び預金,20000,O,-,0,,,,
76,1,2021-04,2021-04-15,130,会費,10E201140,諸会費,24000,O,-,0,,,,,10A100020,現金及び預金,24000,O,-,0,40,三菱東京 梅田,,
77,1,2021-04,2021-04-15,151,飲食代 居酒屋バージョイ,10E200150,交際費,16741,S10,標準10%,1521,,,,,10A100020,現金及び預金,37741,O,-,0,,,,
77,2,2021-04,2021-04-15,151,飲食代 ハプコミック,10E200150,交際費,21000,S10,標準10%,1909,,,,,,,0,,,0,,,,
78,1,2021-04,2021-04-15,243,ガソリン代,10E201120,車両費,6239,S10,標準10%,567,,,,,10A100020,現金及び預金,6239,O,-,0,,,,
79,1,2021-04,2021-04-15,252,4月給与その他 0060 パート･アルバイト,10E200520,雑給,396465,O,-,0,,,,,10A100020,現金及び預金,378068,O,-,0,,,,
79,2,2021-04,2021-04-15,252,4月給与その他 0060 パート･アルバイト,,,0,,,0,,,,,10B100690,預り金,2970,O,-,0,3,源泉税,,
79,3,2021-04,2021-04-15,252,4月給与その他 0060 パート･アルバイト,,,0,,,0,,,,,10B100690,預り金,15427,O,-,0,9,その他,,
80,1,2021-04,2021-04-15,263,4月15日伝票No195五越株式会社,10A100020,現金及び預金,1382966,O,-,0,50,福岡 北九州,,,10A100090,売掛金,1382966,O,-,0,1,五越㈱,,
80,2,2021-04,2021-04-15,263,4月15日伝票No195五越株式会社,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,1,五越㈱,,
81,1,2021-04,2021-04-15,264,4月15日伝票No196株式会社 エントリー,10A100020,現金及び預金,1269492,O,-,0,30,三井 名古屋,,,10A100090,売掛金,1269492,O,-,0,6,㈱ｴﾝﾄﾘｰ,,
81,2,2021-04,2021-04-15,264,4月15日伝票No196株式会社 エントリー,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,6,㈱ｴﾝﾄﾘｰ,,
82,1,2021-04,2021-04-15,265,4月15日伝票No197高橋物産株式会社,10A100020,現金及び預金,3379724,O,-,0,40,三菱東京 梅田,,,10A100090,売掛金,3379724,O,-,0,9,高橋物産㈱,,
82,2,2021-04,2021-04-15,265,4月15日伝票No197高橋物産株式会社,10E200690,支払手数料,840,S10,標準10%,76,,,,,10A100090,売掛金,840,O,-,0,9,高橋物産㈱,,
83,1,2021-04,2021-04-15,266,4月15日伝票No198阿部商事株式会社,10A100020,現金及び預金,2819432,O,-,0,20,みずほ 本店,,,10A100090,売掛金,2819432,O,-,0,13,阿部商事㈱,,
84,1,2021-04,2021-04-15,267,4月15日伝票No199株式会社 久城商事,10A100020,現金及び預金,2268756,O,-,0,40,三菱東京 梅田,,,10A100090,売掛金,2268756,O,-,0,20,㈱久城商事,,
84,2,2021-04,2021-04-15,267,4月15日伝票No199株式会社 久城商事,10E200690,支払手数料,630,S10,標準10%,57,,,,,10A100090,売掛金,630,O,-,0,20,㈱久城商事,,
85,1,2021-04,2021-04-15,268,4月15日伝票No274株式会社 Y2,10B100040,買掛金,3557473,O,-,0,1,㈱Y2,,,10A100020,現金及び預金,3557473,O,-,0,20,みずほ 本店,,
86,1,2021-04,2021-04-16,61,電話代,10E200180,通信費,169334,S10,標準10%,15394,,,,,10A100020,現金及び預金,169334,O,-,0,20,みずほ 本店,,
87,1,2021-04,2021-04-16,103,コーヒー代5名,10E200150,交際費,2680,S10,標準10%,243,,,,,10A100020,現金及び預金,2680,O,-,0,,,,
88,1,2021-04,2021-04-16,136,ダスキン代,10E201270,雑費,16500,S10,標準10%,1500,,,,,10A100020,現金及び預金,16500,O,-,0,,,,
89,1,2021-04,2021-04-17,12,ガソリン代,10E201120,車両費,4456,S10,標準10%,405,,,,,10A100020,現金及び預金,6171,O,-,0,,,,
89,2,2021-04,2021-04-17,12,高速代,10E201120,車両費,572,S10,標準10%,52,,,,,,,0,,,0,,,,
89,3,2021-04,2021-04-17,12,駐車代,10E201120,車両費,1143,S10,標準10%,103,,,,,,,0,,,0,,,,
90,1,2021-04,2021-04-17,47,ガソリン代,10E201120,車両費,2540,S10,標準10%,230,,,,,10A100020,現金及び預金,2540,O,-,0,,,,
91,1,2021-04,2021-04-17,52,ガソリン代,10E201120,車両費,2191,S10,標準10%,199,,,,,10A100020,現金及び預金,4430,O,-,0,,,,
91,2,2021-04,2021-04-17,52,高速代,10E201120,車両費,1096,S10,標準10%,99,,,,,,,0,,,0,,,,
91,3,2021-04,2021-04-17,52,駐車代,10E201120,車両費,1143,S10,標準10%,103,,,,,,,0,,,0,,,,
92,1,2021-04,2021-04-18,237,ゴルフプレー代,10E200150,交際費,12000,S10,標準10%,1090,,,,,10A100020,現金及び預金,12000,O,-,0,,,,
93,1,2021-04,2021-04-19,244,ガソリン代,10E201120,車両費,7063,S10,標準10%,642,,,,,10A100020,現金及び預金,7063,O,-,0,,,,
94,1,2021-04,2021-04-19,312,資金移動,10A100020,現金及び預金,500000,O,-,0,10,北海道 駅前,,,10A100020,現金及び預金,500000,O,-,0,20,みずほ 本店,,
95,1,2021-04,2021-04-20,1,残業夜食 軽減税率,10E200140,福利厚生費,21600,AA8,軽減8%,1600,,,,,10A100020,現金及び預金,21600,O,-,0,,,,
96,1,2021-04,2021-04-20,6,広告料,10E200050,広告宣伝費,5000,S10,標準10%,454,,,,,10A100020,現金及び預金,5000,O,-,0,,,,
97,1,2021-04,2021-04-20,7,食事代,10E200150,交際費,1429,S10,標準10%,129,,,,,10A100020,現金及び預金,2605,O,-,0,,,,
97,2,2021-04,2021-04-20,7,食事代,10E200150,交際費,1176,S10,標準10%,106,,,,,,,0,,,0,,,,
98,1,2021-04,2021-04-20,24,JR回数券,10E201230,旅費及び交通費,82620,S10,標準10%,7510,,,,,10A100020,現金及び預金,82620,O,-,0,,,,
99,1,2021-04,2021-04-20,31,コピー代,10E201110,事務用消耗品費,2679,S10,標準10%,243,,,,,10B100630,未払金,2679,O,-,0,,,,
100,1,2021-04,2021-04-20,34,電気代,10E201040,水道光熱費,91629,S10,標準10%,8329,,,,,10A100020,現金及び預金,95772,O,-,0,10,北海道 駅前,,
100,2,2021-04,2021-04-20,34,水道代,10E201040,水道光熱費,4143,S10,標準10%,376,,,,,,,0,,,0,,,,
101,1,2021-04,2021-04-20,45,食事代 トン吉4名,10E200150,交際費,8260,S10,標準10%,750,,,,,10A100020,現金及び預金,8260,O,-,0,,,,
102,1,2021-04,2021-04-20,48,ガソリン代,10E201120,車両費,4303,S10,標準10%,391,,,,,10A100020,現金及び預金,4303,O,-,0,,,,
103,1,2021-04,2021-04-20,53,高速代,10E201120,車両費,381,S10,標準10%,34,,,,,10A100020,現金及び預金,8483,O,-,0,,,,
103,2,2021-04,2021-04-20,53,駐車代,10E201120,車両費,2000,S10,標準10%,181,,,,,,,0,,,0,,,,
103,3,2021-04,2021-04-20,53,ガソリン代,10E201120,車両費,6102,S10,標準10%,554,,,,,,,0,,,0,,,,
104,1,2021-04,2021-04-20,64,電気料,10E201040,水道光熱費,174650,S10,標準10%,15877,,,,,10A100020,現金及び預金,183641,O,-,0,20,みずほ 本店,,
104,2,2021-04,2021-04-20,64,水道料,10E201040,水道光熱費,8991,S10,標準10%,817,,,,,,,0,,,0,,,,
105,1,2021-04,2021-04-20,71,事務用品,10E201110,事務用消耗品費,2458,S10,標準10%,223,,,,,10B100630,未払金,49091,O,-,0,,,,
105,2,2021-04,2021-04-20,71,事務用品,10E201110,事務用消耗品費,16169,S10,標準10%,1469,,,,,,,0,,,0,,,,
105,3,2021-04,2021-04-20,71,カウンター料金,10E201110,事務用消耗品費,30464,S10,標準10%,2769,,,,,,,0,,,0,,,,
106,1,2021-04,2021-04-20,89,電気料,10E201040,水道光熱費,82388,S10,標準10%,7489,,,,,10A100020,現金及び預金,90049,O,-,0,30,三井 名古屋,,
106,2,2021-04,2021-04-20,89,水道料,10E201040,水道光熱費,3758,S10,標準10%,341,,,,,,,0,,,0,,,,
106,3,2021-04,2021-04-20,89,ガス代,10E201040,水道光熱費,3903,S10,標準10%,354,,,,,,,0,,,0,,,,
107,1,2021-04,2021-04-20,94,有線,10E201270,雑費,5000,S10,標準10%,454,,,,,10B100630,未払金,5000,O,-,0,,,,
108,1,2021-04,2021-04-20,97,コピー代,10E201110,事務用消耗品費,39127,S10,標準10%,3557,,,,,10B100630,未払金,39127,O,-,0,,,,
109,1,2021-04,2021-04-20,98,事務用品,10E201110,事務用消耗品費,15750,S10,標準10%,1431,,,,,10B100630,未払金,15750,O,-,0,,,,
110,1,2021-04,2021-04-20,101,広告料,10E200050,広告宣伝費,52500,S10,標準10%,4772,,,,,10B100630,未払金,52500,O,-,0,,,,
111,1,2021-04,2021-04-20,118,コピー代,10E201110,事務用消耗品費,7011,S10,標準10%,637,,,,,10B100630,未払金,7011,O,-,0,,,,
112,1,2021-04,2021-04-20,132,電気代,10E201040,水道光熱費,113565,S10,標準10%,10324,,,,,10A100020,現金及び預金,119794,O,-,0,40,三菱東京 梅田,,
112,2,2021-04,2021-04-20,132,水道代,10E201040,水道光熱費,6229,S10,標準10%,566,,,,,,,0,,,0,,,,
113,1,2021-04,2021-04-20,135,事務用品,10E201110,事務用消耗品費,3120,S10,標準10%,283,,,,,10B100630,未払金,3120,O,-,0,,,,
114,1,2021-04,2021-04-20,141,手形割引 もみじデパート,10A100020,現金及び預金,7736137,O,-,0,1,みずほ銀行,,,10A100060,受取手形,7794519,O,-,0,,,,
114,2,2021-04,2021-04-20,141,手形割引料,10E300020,支払利息,58382,X,非仕入,0,,,,,,,0,,,0,,,,
115,1,2021-04,2021-04-20,153,コーヒー代他2名,10E200150,交際費,1940,S10,標準10%,176,,,,,10A100020,現金及び預金,1940,O,-,0,,,,
116,1,2021-04,2021-04-20,163,会費,10E201140,諸会費,18000,O,-,0,,,,,10A100020,現金及び預金,18000,O,-,0,,,,
117,1,2021-04,2021-04-20,169,電気料,10E201040,水道光熱費,120483,S10,標準10%,10953,,,,,10A100020,現金及び預金,125786,O,-,0,50,福岡 北九州,,
117,2,2021-04,2021-04-20,169,水道料,10E201040,水道光熱費,5303,S10,標準10%,482,,,,,,,0,,,0,,,,
118,1,2021-04,2021-04-20,235,カウンター料金,10E201110,事務用消耗品費,6300,S10,標準10%,572,,,,,10B100630,未払金,6300,O,-,0,,,,
119,1,2021-04,2021-04-20,241,ファイル等,10E200200,消耗品費,33981,S10,標準10%,3089,,,,,10B100630,未払金,352077,O,-,0,,,,
