seq,level,Property type,Identifier,Class,Property Term,BaseType,Associated Class,Multiplicity,Documentation,module,Element,LocalLabel,LocalDocumentation
25,1,Class,,Accountant Contact Phone,,,,0..*,Phone Number for Accountant Contact,gl-bus,gl-bus:accountantContactPhone,【会計事務所担当者電話番号】,会計事務所の担当者の電話番号
26,2,Specialization,,Accountant Contact Phone,,,Phone,1,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。
27,1,Class,,Accountant Contact Fax,,,,0..*,Accountant Contact Fax Number Structure,gl-bus,gl-bus:accountantContactFax,【会計事務所担当者FAX番号】,会計事務所の担当者のFAX番号の構造体。
28,2,Specialization,,Accountant Contact Fax,,,Fax,1,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。
29,1,Class,,Accountant Contact Email,,,,0..*,Accountant contact E-mail address structure,gl-bus,gl-bus:accountantContactEmail,【会計事務所担当者Eメールアドレス】,会計事務所の担当者のEメールアドレスの構造体。
30,2,Specialization,,Accountant Contact Email,,,Email,1,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。
31,1,Class,,Identifier Email,,,,0..*,Email address for Identifier.,gl-cor,gl-cor:identifierEMail,【CVEEメールアドレス】,CVE識別子のEメールアドレス。
32,2,Specialization,,Identifier Email,,,Email,1,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。
33,1,Class,,Identifier Phone,,,,0..*,Phone number related to Identifier.,gl-cor,gl-cor:identifierPhoneNumber,【CVE電話番号】,CVE識別子の電話番号。
34,2,Specialization,,Identifier Phone,,,Phone,1,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。
35,1,Class,,Identifier Fax,,,,0..*,Fax number structure related to identifier.,gl-cor,gl-cor:identifierFaxNumber,【CVEFAX番号】,CVE識別子のFAX番号の構造体。
36,2,Specialization,,Identifier Fax,,,Fax,1,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。
37,1,Class,,Identifier Contact Phone,,,,0..*,Phone Number,gl-cor,gl-cor:identifierContactPhone,【CVE担当者電話番号】,電話番号
38,2,Specialization,,Identifier Contact Phone,,,Phone,1,Phone number information.,gl-bus,,【電話番号】,主要電話番号情報。
39,1,Class,,Identifier Contact Fax,,,,0..*,Fax Number,gl-cor,gl-cor:identifierContactFax,【CVE担当者FAX番号】,FAX番号。
40,2,Specialization,,Identifier Contact Fax,,,Fax,1,Fax number information.,gl-bus,,【FAX番号】,FAX番号情報。
41,1,Class,,Identifier Contact Email,,,,0..*,Email Address,gl-cor,gl-cor:identifierContactEmail,【CVE担当者Eメールアドレス】,Eメールアドレス。
42,2,Specialization,,Identifier Contact Email,,,Email,1,Email address information.,gl-bus,,【Eメールアドレス】,Eメールアドレス情報。
43,1,Class,,Identifier Web Site,,,,0..*,Primary web site of the entity.,gl-bus,gl-bus:entityWebSite,【事業体Webサイト】,事業体の代表ウェブサイト。
44,2,Specialization,,Identifier Web Site,,,Web Site,1,Web site information.,gl-bus,,【Webサイト】,ウェブサイト情報。
45,1,Abstract Class,,Address,,,,0..*,Structure which contains address information.,gl-bus,gl-bus:address,【住所】,住所情報。
46,2,Attribute,,Address,Name,xbrli:stringItemType,,0..1,Address Name,gl-bus,gl-bus:addressName,住所名,住所の名前。
47,2,Attribute,,Address,Description,xbrli:stringItemType,,0..1,Address Description,gl-bus,gl-bus:addressDescription,住所説明,住所の説明。
48,2,Attribute,,Address,Purpose,xbrli:stringItemType,,0..1,Address Purpose,gl-bus,gl-bus:addressPurpose,住所目的,住所の目的。
49,2,Attribute,,Address,Location Identifier,xbrli:stringItemType,,0..1,A code used to identify the location and to associate it with contacts and transactions,gl-bus,gl-bus:addressLocationIdentifier,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。
50,2,Attribute,,Address,Building Number,xbrli:stringItemType,,0..1,Building Number,gl-bus,gl-bus:addressBuildingNumber,住所建物番号,建物番号。
51,2,Attribute,,Address,Street,xbrli:stringItemType,,0..1,Street address,gl-bus,gl-bus:addressStreet,住所通り,住所の通り。
52,2,Attribute,,Address,Address Detail,xbrli:stringItemType,,0..1,Address Detail,gl-bus,gl-bus:addressStreet2,住所詳細,住所詳細。
53,2,Attribute,,Address,City,xbrli:stringItemType,,0..1,City,gl-bus,gl-bus:addressCity,住所都市,住所の都市。
54,2,Attribute,,Address,State or Province,xbrli:stringItemType,,0..1,"State, province or region",gl-bus,gl-bus:addressStateOrProvince,住所州,住所の州や地方。
55,2,Attribute,,Address,Country,xbrli:stringItemType,,0..1,Country,gl-bus,gl-bus:addressCountry,住所国,住所の国。
56,2,Attribute,,Address,Zip or Postal Code,xbrli:stringItemType,,0..1,Zip or other postal code,gl-bus,gl-bus:addressZipOrPostalCode,住所郵便番号,住所の郵便番号。
57,2,Attribute,,Address,Active Indicator,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",gl-bus,gl-bus:addressActive,住所有効性,住所が有効か無効かを示すブール値。
58,1,Class,,Identifier Address,,,,0..*,"Address (block) of customer, vendor, employee for integration purposes, VAT.",gl-bus,gl-bus:identifierAddress,【CVE住所】,統合目的やVATのための、顧客、仕入先、従業員の住所(ブロック)。
59,2,Specialization,,Identifier Address,,,Address,1,Structure which contains address information.,gl-bus,,【住所】,住所情報。
60,2,Attribute,,Identifier Address,Name,,,0,,gl-bus,,,
61,2,Attribute,,Identifier Address,Active Indicator,,,0,,gl-bus,,,
63,1,Class,,Accountant Address,,,,0..*,Structure which contains accountant address information.,gl-bus,gl-bus:accountantAddress,【会計事務所住所】,会計事務所の住所情報を含むセクション。
64,2,Specialization,,Accountant Address,,,Address,1,Structure which contains address information.,gl-bus,,【住所】,住所情報。
65,1,Class,,Organization Address,,,,0..*,Address structure for the reporting entity,gl-bus,gl-bus:organizationAddress,【住所】,報告事業体の住所構造体。
66,2,Specialization,,Organization Address,,,Address,1,Structure which contains address information.,gl-bus,,【住所】,住所情報。
67,1,Class,,Document,,,,1..1,Parent for descriptive information about the accountingEntries Structure in which it is contained.,gl-cor,gl-cor:documentInfo,【文書情報】,この会計仕訳に関する情報の親タグ。
68,2,Attribute,,Document,Document Type,xbrli:tokenItemType,,1..1,"account: information to fill in a chart of accounts file.  
balance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger  
entries: a list of individual accounting entries, which might be posted/validated or nonposted/validated   
journal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  
ledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   
assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  
trialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. 
taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. 
mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts.   
versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts.   
master_file: a collection of master files, such as the customer or inventory master file.   
trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders.   
profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles.   
other: for all other types of representations.

Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,gl-cor:entriesType,文書種別,"・科目:科目体系ファイルの情報。 ・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。 ・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。 ・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。 ・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。 ・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。 ・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。 ・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。 ・マッピング情報:互いに関係があるデータセットの間の対応関係を集めたもの。例えば、企業グループ内の各会社で使用する勘定科目と全社勘定科目との対応付け、または明細データと最終的な報告書上の要約された科目への対応付け。 ・差分情報:同じクラス（種類）で異なるバージョンを持つ項目の変更・差分情報。例えば、勘定科目一覧のようなマスタファイルの特定科目の更新情報など。  ・マスターファイル:マスタファイルの一覧。例えば、顧客マスタ又は在庫/棚卸マスタなど。  ・取引伝票:取引に用いる情報の集合。例えば、納入業者からのインボイス 又は顧客からの受注情報など。  ・プロファイル情報:確立された文書説明情報及び特にXBRL GLプロファイルを理解し決定するこの情報の集合の意味を示す。説明情報は、名前空間宣言、スキーマ参照及びこれらの規約を通して決定する。  ・その他：その他のすべての表現形式  多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。 [設定値のリスト] (account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他)、(Mapping：マッピング情報)、(versioning：差分情報)、(master_file：マスターファイル)、(trade_documents：取引伝票)、(profile_compliant：プロファイル情報)、(other：その他)"
69,2,Attribute,,Document,Audit Number,xbrli:stringItemType,,0..1,Unique identifier for this file.,gl-cor,gl-cor:uniqueID,監査番号,このファイルの一意識別子。
70,2,Attribute,,Document,Revises Audit Number,xbrli:stringItemType,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,gl-cor:revisesUniqueID,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。
71,2,Attribute,,Document,Action to Take with Previous Data,xbrli:tokenItemType,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,gl-cor:revisesUniqueIDAction,改訂前データ処置,"以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。
補完-元々含まれていたかのように、そのデータに所属させる。
[設定値のリスト]
(supplement：補完)、(supersede：取替え)"
72,2,Attribute,,Document,Language,xbrli:QNameItemType,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,gl-cor:language,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。
73,2,Attribute,,Document,Creation Date,xbrli:dateTimeItemType,,0..1,Date/time file was created.,gl-cor,gl-cor:creationDate,作成日付,ファイルが作成された日付/時間。
74,2,Attribute,,Document,Creator,xbrli:stringItemType,,0..1,Identifies the creator of the XBRL instance.,gl-bus,gl-bus:creator,作成者,ファイルの作成者の識別子。
75,2,Attribute,,Document,Document Comment,xbrli:stringItemType,,0..1,Text for entire document.,gl-cor,gl-cor:entriesComment,文書コメント,文書全体に対する説明文。
76,2,Attribute,,Document,Period Covered Start,xbrli:dateTimeItemType,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,gl-cor:periodCoveredStart,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
77,2,Attribute,,Document,Period Covered End,xbrli:dateTimeItemType,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,gl-cor:periodCoveredEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。
78,2,Attribute,,Document,Period Count,xbrli:decimalItemType,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-bus,gl-bus:periodCount,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。
79,2,Attribute,,Document,Period Unit,xbrli:tokenItemType,,0..1,"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other.",gl-bus,gl-bus:periodUnit,期間単位,"periodCountで対象とする期間の種別。
[設定値のリスト]
(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他)"
80,2,Attribute,,Document,Period Unit Description,xbrli:stringItemType,,0..1,Free format description of the period unit,gl-bus,gl-bus:periodUnitDescription,期間単位説明,対象期間単位の説明。
81,2,Attribute,,Document,Source Application,xbrli:stringItemType,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-bus,gl-bus:sourceApplication,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。
82,2,Attribute,,Document,Target Application,xbrli:stringItemType,,0..1,Particular use for which file was generated.,gl-bus,gl-bus:targetApplication,対象アプリケーション,ファイルが作成された用途。
83,2,Attribute,,Document,Default Currency,xbrli:QNameItemType,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-muc,gl-muc:defaultCurrency,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。
84,2,Composition,,Document,,,Summary Reporting Taxonomies,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,gl-srcd,gl-srcd:summaryReportingTaxonomies,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。
85,1,Class,,Identifiers,,,,0..*,Structure which contains various identifiers for the company.,gl-bus,gl-bus:organizationIdentifiers,【識別子】,組織に関する様々な識別子を含むセクション。
86,2,Attribute,,Identifiers,Organization Identifier,xbrli:stringItemType,,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",gl-bus,gl-bus:organizationIdentifier,事業体識別子,このファイルでデータを表現している会社や組織のコード。ひとりのユーザ(例えば、公認会計士)が複数の組織(例えば、複数の顧客)のファイルを把握する必要がある場合に使用される。 EIN番号、顧客番号、内部/外部識別子、SICコードであってよい。事業体の識別子をコード化する。コードを発行する権威ある組織のコード識別子、コロン、およびコードそのものを含む。 例えば、SEC　EDGARが発行したCIK番号　CIK: 01234567。
87,2,Attribute,,Identifiers,Organization Description,xbrli:stringItemType,,0..1,Text for organization identified by organizationIdentifier. Any descriptive information about the code.,gl-bus,gl-bus:organizationDescription,事業体説明,organizationIdentifierによって特定された組織の説明文。 コードに関するなんらかの記述情報。
88,1,Class,,Contact,,,,0..*,Information about contacts.,gl-bus,gl-bus:contactInformation,【担当者情報】,担当者に関する情報。
89,2,Attribute,,Contact,Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs.)",gl-bus,gl-bus:contactPrefix,敬称,敬称(Dr.、Mr.、Mrs.など)
90,2,Attribute,,Contact,Last Name,xbrli:stringItemType,,0..1,Last or family name,gl-bus,gl-bus:contactLastName,姓,姓
91,2,Attribute,,Contact,First Name,xbrli:stringItemType,,0..1,First or given name,gl-bus,gl-bus:contactFirstName,名,名、クリスチャンネーム
92,2,Attribute,,Contact,Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr.)",gl-bus,gl-bus:contactSuffix,付加名称,付加名称(MD、CPA、Jr.など)
93,2,Attribute,,Contact,Attention Line,xbrli:stringItemType,,0..1,Attention Line,gl-bus,gl-bus:contactAttentionLine,アテンションライン,アテンションライン
94,2,Attribute,,Contact,Position/Role,xbrli:stringItemType,,0..1,Position or role,gl-bus,gl-bus:contactPositionRole,地位/役職,地位や役職。
95,2,Attribute,,Contact,Role of Contact,xbrli:stringItemType,,0..1,"Role of contact. Examples include: Source Service, Sender, Recipient, Invoicer, Auditor, Accountant",gl-bus,gl-bus:contactType,担当者役割,担当者の役割。例：ソースサービス、送付元、受取人、請求先、監査人、会計事務所。
96,2,Attribute,,Contact,Location ID cross reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Entity. Its value should be the same as that of the organizationAddressLocationIdentifier,gl-bus,gl-bus:contactLocationIdentifierCrossReference,所在地相互参照情報,担当者と事業体の位置情報を関係付けるためのコード。organizationAddressLocationIdentifierと同じ値であるべき。
97,2,Attribute,,Contact,Contact Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-bus,gl-bus:contactActive,担当者有効性,担当者が有効か無効かを示すブール値。
98,2,Composition,,Contact,,,Contact Phone,0..*,Contact Phone Number,gl-bus,,【担当者電話番号】,担当者の電話番号。
99,2,Composition,,Contact,,,Contact Fax,0..*,Contact Fax Number Structure,gl-bus,,【担当者FAX番号】,担当者のFAX番号の構造体。
100,2,Composition,,Contact,,,Contact Email,0..*,Contact E-mail address structure,gl-bus,,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。
101,1,Class,,Accounting Method,,,,0..*,Structure for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,gl-bus:accountingMethodStructure,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。
102,2,Attribute,,Accounting Method,Accounting Method,xbrli:tokenItemType,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,gl-bus:accountingMethod,会計処理方法,"事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他
[設定値のリスト]
(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)"
103,2,Attribute,,Accounting Method,Accounting Method Description,xbrli:stringItemType,,0..1,Free format description of the accounting method,gl-bus,gl-bus:accountingMethodDescription,会計処理方法説明,会計処理方法の説明。
104,2,Attribute,,Accounting Method,Accounting Method Purpose,xbrli:tokenItemType,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,gl-bus:accountingMethodPurpose,会計処理方法目的,"事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。
[設定値のリスト]
(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他)"
105,2,Attribute,,Accounting Method,Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the accounting method purpose,gl-bus,gl-bus:accountingMethodPurposeDescription,会計処理方法目的説明,会計処理方法の目的の説明。
106,2,Attribute,,Accounting Method,Accounting Method Start Date,xbrli:dateTimeItemType,,0..1,Accounting Method Start Date,gl-bus,gl-bus:accountingMethodStartDate,会計処理方法開始日付,会計処理方法の開始日。
107,2,Attribute,,Accounting Method,Accounting Method End Date,xbrli:dateTimeItemType,,0..1,Accounting Method End Date,gl-bus,gl-bus:accountingMethodEndDate,会計処理方法終了日付,会計処理方法の終了日。
108,1,Class,,Accountant Contact,,,,0..*,Accountant Contact Information Structure,gl-bus,gl-bus:accountantContactInformation,【会計事務所担当者情報】,会計事務所の担当者情報の構造体。
109,2,Attribute,,Accountant Contact,Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Accountant Contact",gl-bus,gl-bus:accountantContactPrefix,会計事務所担当者敬称,会計事務所の担当者の敬称(Dr.、Mr.、Mrs.など)
110,2,Attribute,,Accountant Contact,Last Name,xbrli:stringItemType,,0..1,Family Name for Accountant Contact,gl-bus,gl-bus:accountantContactLastName,会計事務所担当者姓,会計事務所の担当者の姓
111,2,Attribute,,Accountant Contact,First  Name,xbrli:stringItemType,,0..1,First or Given Name for Accountant Contact,gl-bus,gl-bus:accountantContactFirstName,会計事務所担当者名,会計事務所の担当者の名、クリスチャンネーム
112,2,Attribute,,Accountant Contact,Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr., etc.)",gl-bus,gl-bus:accountantContactSuffix,会計事務所担当者付加名称,付加名称(MD、CPA、Jr.など)
113,2,Attribute,,Accountant Contact,Attention Line,xbrli:stringItemType,,0..1,Attention Line for Accountant Contact,gl-bus,gl-bus:accountantContactAttentionLine,会計事務所担当者アテンションライン,会計事務所の担当者のアテンションライン
114,2,Attribute,,Accountant Contact,Position/Role,xbrli:stringItemType,,0..1,Position or Role for Accountant Contact,gl-bus,gl-bus:accountantContactPositionRole,会計事務所担当者地位/役職,会計事務所の担当者の地位や役職
115,2,Attribute,,Accountant Contact,Accountant Contact Type,xbrli:stringItemType,,0..1,Contact Type for Accountant Contact,gl-bus,gl-bus:accountantContactType,会計事務所担当者役割,会計事務所の担当者の種別
116,2,Attribute,,Accountant Contact,Accountant Location ID cross reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-bus,gl-bus:accountantLocationIdentifierCrossReference,会計事務所所在地相互参照情報,"担当者と会計事務所の所在地情報を関係付けるためのコード。
accountantAddressLocationIdentifierと同じ値であるべき。"
117,2,Attribute,,Accountant Contact,Accountant Contact Active,xbrli:booleanItemType,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-bus,gl-bus:accountantContactActive,会計事務所担当者有効性,担当者が有効か無効かを示すブール値。
118,2,Composition,,Accountant Contact,,,Contact Phone,0..*,Phone Number for Accountant Contact,gl-bus,,【会計事務所担当者電話番号】,会計事務所の担当者の電話番号
119,2,Composition,,Accountant Contact,,,Contact Fax,0..*,Accountant Contact Fax Number Structure,gl-bus,,【会計事務所担当者FAX番号】,会計事務所の担当者のFAX番号の構造体。
120,2,Composition,,Accountant Contact,,,Contact Email,0..*,Accountant contact E-mail address structure,gl-bus,,【会計事務所担当者Eメールアドレス】,会計事務所の担当者のEメールアドレスの構造体。
121,1,Class,,Accountant,,,,0..*,Information about the relevant external accountant,gl-bus,gl-bus:accountantInformation,【会計事務所情報】,関連する外部会計事務所に関する情報。
122,2,Attribute,,Accountant,Accountant Name,xbrli:stringItemType,,0..1,Name of the accountant,gl-bus,gl-bus:accountantName,会計事務所名,会計事務所の名前。
123,2,Attribute,,Accountant,Type of Engagement,xbrli:tokenItemType,,0..1,"Type of engagement being performed by external accountant. Enumerated as: audit, review, compilation, tax, other.",gl-bus,gl-bus:accountantEngagementType,契約種別,"外部会計事務所によって実行される契約の種別。
[設定値のリスト]
(audit：監査)、(review：検査)、(compilation：帳簿作成)、(tax：税)、(other：その他)"
124,2,Attribute,,Accountant,Type of Engagement Description,xbrli:stringItemType,,0..1,Free format description of the type of engagement,gl-bus,gl-bus:accountantEngagementTypeDescription,契約種別説明,契約種別の説明。
