seq,level,Property type,Identifier,class,Property term,representation,Associate class,card,description,module,table,domain_name,element,label_local,definition_local,note
15,2,Composition,,Account Structure,,,Subaccount,0..*,Tuple to hold multiple accountSubIDs and Descriptions,gl-cor,,,,【サブ科目情報】,複数のaccountSubIDと説明文を含むタプル。,
16,2,Attribute,,Account Structure,Account Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the account is active (=""true"") or inactive (=""false"")",gl-cor,,,gl-cor:accountActive,科目有効性,科目が有効か無効かを示すブール値。,
17,1,Class,,Accountant,,,,,Information about the relevant external accountant,gl-bus,,,gl-bus:accountantInformation,【会計士情報】,関連する外部会計士に関する情報。,
18,2,Attribute,,Accountant,Accountant Name,xbrli:stringItemType,,0..1,Name of the accountant,gl-bus,,,gl-bus:accountantName,会計士名,会計士の名前。,
19,2,Composition,,Accountant,,,Address,0..1,Section which contains accountant address information.,gl-bus,,,,【会計士住所】,会計士の住所情報を含むセクション。,
20,2,Attribute,,Accountant,Type of Engagement,xbrli:stringItemType,,0..1,Type of engagement being performed by external accountant,gl-bus,,,gl-bus:accountantEngagementType,契約種別,外部会計士によって実行される契約の種別。\n[設定値のリスト]\n(audit：監査)、(review：検査)、(compilation：調整)、(tax：税)、(other：その他) ,
21,2,Attribute,,Accountant,Type of Engagement Description,xbrli:stringItemType,,0..1,Free format description of the type of engagement,gl-bus,,,gl-bus:accountantEngagementTypeDescription,契約種別説明,契約種別の説明。,
22,2,Composition,,Accountant,,,Contact,0..1,Accountant Contact Information Structure,gl-bus,,,,【会計士担当者情報】,会計士の担当者情報の構造体。,
23,1,Class,,Accounting Entries,,,,,Root for XBRL GL. No entry made here.,gl-cor,,,gl-cor:accountingEntries,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,
24,2,Composition,,Accounting Entries,,,Document Information,0..1,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,,【文書情報】,この会計仕訳に関する情報の親タグ。,
25,2,Composition,,Accounting Entries,,,Entity Information,0..1,Holder for entity information - information about the reporting organization.,gl-cor,,,,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,
26,2,Composition,,Accounting Entries,,,Entry Header,0..*,Parent for entry headers/journal entry headers.,gl-cor,,,,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,
27,1,Class,,Accounting Method,,,,,Section for identifying the methods of accounting used by the entity for different reporting purposes,gl-bus,,,gl-bus:organizationAccountingMethodStructure,【会計処理方法】,異なる報告目的に応じて事業体が使用する会計処理方法を識別するためのセクション。,
28,2,Attribute,,Accounting Method,Accounting Method,xbrli:stringItemType,,0..1,"For this entity, the method of accounting represented - from: accrual, cash, modified cash, modified accrual, encumbrance, special methods, hybrid methods, other",gl-bus,,,gl-bus:organizationAccountingMethod,会計処理方法,事業体の会計処理方法を表す。発生基準、現金基準、修正現金基準、修正発生基準、債務基準、特別な方法、混合方法、その他\n[設定値のリスト]\n(accrual：発生基準)、(cash：現金基準)、(modified cash：修正現金基準)、(modified accrual：修正発生基準)、(encumbrance：債務基準)、(special methods：特別な方法)、(hybrid methods：混合方法)、(other：その他)\n,
29,2,Attribute,,Accounting Method,Accounting Method Description,xbrli:stringItemType,,0..1,Free format description of the accounting method,gl-bus,,,gl-bus:organizationAccountingMethodDescription,会計処理方法説明,会計処理方法の説明。,
30,2,Attribute,,Accounting Method,Accounting Method Purpose,xbrli:stringItemType,,0..1,"For this entity, the reporting purpose represented - from book, tax, management, statutory, other",gl-bus,,,gl-bus:organizationAccountingMethodPurpose,会計処理方法目的,事業体の報告の目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),
31,2,Attribute,,Accounting Method,Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the accounting method purpose,gl-bus,,,gl-bus:organizationAccountingMethodPurposeDescription,会計処理方法目的説明,会計処理方法の目的の説明。,
32,2,Attribute,,Accounting Method,Accounting Method Start Date,xbrli:stringItemType,,0..1,Accounting Method Start Date,gl-bus,,,gl-bus:organizationAccountingMethodStartDate,会計処理方法開始日付,会計処理方法の開始日。,
33,2,Attribute,,Accounting Method,Accounting Method End Date,xbrli:stringItemType,,0..1,Accounting Method End Date,gl-bus,,,gl-bus:organizationAccountingMethodEndDate,会計処理方法終了日付,会計処理方法の終了日。,
34,1,Class,,Address,,,,,Section which contains address information.,gl-gen,,,gl-gen:address,【住所】,住所情報を含むセクション。,
35,2,Attribute,,Address,Address Name,xbrli:stringItemType,,0..1,Address Name,gl-gen,,,gl-gen:addressName,住所名,住所の名前。,
36,2,Attribute,,Address,Address Description,xbrli:stringItemType,,0..1,Address Description,gl-gen,,,gl-gen:addressDescription,住所説明,住所の説明。,
37,2,Attribute,,Address,Address Purpose,xbrli:stringItemType,,0..1,Address Purpose,gl-gen,,,gl-gen:addressPurpose,住所目的,住所の目的。,
38,2,Attribute,,Address,Location Identifier,xbrli:stringItemType,,0..1,A code used to identify the location and to associate it with contacts and transactions,gl-gen,,,gl-gen:addressLocationIdentifier,所在地識別子,所在地を識別したり、窓口や取引と関係付けるコード。,
39,2,Attribute,,Address,Building Number,xbrli:stringItemType,,0..1,Building Number,gl-gen,,,gl-gen:buildingNumber,住所建物番号,建物番号。,
40,2,Attribute,,Address,Street,xbrli:stringItemType,,0..1,Street address,gl-gen,,,gl-gen:satreet,住所通り,住所の通り。,
41,2,Attribute,,Address,Address Detail,xbrli:stringItemType,,0..1,Address Detail,gl-gen,,,gl-gen:addressStreet2,住所詳細,住所詳細。,
42,2,Attribute,,Address,City,xbrli:stringItemType,,0..1,City,gl-gen,,,gl-gen:scity,住所都市,住所の都市。,
43,2,Attribute,,Address,State or Province,xbrli:stringItemType,,0..1,"State, province or region",gl-gen,,,gl-gen:satateOrProvince,住所州,住所の州や地方。,
44,2,Attribute,,Address,Country,xbrli:stringItemType,,0..1,Country,gl-gen,,,gl-gen:country,住所国,住所の国。,
45,2,Attribute,,Address,Zip or Postal Code,xbrli:stringItemType,,0..1,Zip or other postal code,gl-gen,,,gl-bus:zipOrPostalCode,住所郵便番号,住所の郵便番号。,
46,2,Attribute,,Address,Accountant Address Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the address is active (=""true"") or inactive (=""false"")",gl-gen,,,gl-gen:active,住所有効性,住所が有効か無効かを示すブール値。,
47,1,Class,,Contact,,,,,Contact Information Structure,gl-gen,,,gl-gen:contactInformation,【担当者情報】,担当者情報の構造体。,
48,2,Attribute,,Contact,Prefix,xbrli:stringItemType,,0..1,"Prefix (e.g. Dr., Mr., Mrs., etc.) for Contact",gl-gen,,,gl-gen:contactPrefix,担当者敬称,担当者の敬称(Dr.、Mr.、Mrs.など)\n,
49,2,Attribute,,Contact,Last Name,xbrli:stringItemType,,0..1,Family Name for Contact,gl-gen,,,gl-gen:contactLastName,担当者姓,担当者の姓\n,
50,2,Attribute,,Contact,First  Name,xbrli:stringItemType,,0..1,First or Given Name for Contact,gl-gen,,,gl-gen:contactFirstName,担当者名,担当者の名、クリスチャンネーム\n,
51,2,Attribute,,Contact,Suffix,xbrli:stringItemType,,0..1,"Suffix (e.g. MD, CPA, Jr., etc.)",gl-gen,,,gl-gen:contactSuffix,担当者付加名称,付加名称(MD、CPA、Jr.など)\n,
52,2,Attribute,,Contact,Attention Line,xbrli:stringItemType,,0..1,Attention Line for Contact,gl-gen,,,gl-gen:contactAttentionLine,担当者アテンションライン,担当者のアテンションライン\n,
53,2,Attribute,,Contact,Position/Role,xbrli:stringItemType,,0..1,Position or Role for Contact,gl-gen,,,gl-gen:contactPositionRole,担当者地位/役職,担当者の地位や役職\n,
54,2,Attribute,,Contact,Contact Type,xbrli:stringItemType,,0..1,Contact Type for Contact,gl-gen,,,gl-gen:contactType,担当者役割,担当者の種別\n,
55,2,Attribute,,Contact,Location ID cross reference,xbrli:stringItemType,,0..1,This code is used to associate the contact with a specific location for the Accountant. Its value should be the same as that of the accountantAddressLocationIdentifier,gl-gen,,,gl-gen:locationIdentifierCrossReference,所在地相互参照情報,担当者と所在地情報を関係付けるためのコード。addressLocationIdentifierと同じ値であるべき。,
56,2,Attribute,,Contact,Contact Active,xbrli:stringItemType,,0..1,"Boolean to indicate whether the contact is active (=""true"") or inactive (=""false"")",gl-gen,,,gl-gen:contactActive,担当者有効性,担当者が有効か無効かを示すブール値。,
57,2,Composition,,Contact,,,Phone Number,0..1,Phone Number for Contact,gl-gen,,,,【担当者電話番号】,担当者の電話番号\n,
58,2,Composition,,Contact,,,Fax Number,0..1,Contact Fax Number Structure,gl-gen,,,,【担当者FAX番号】,担当者のFAX番号の構造体。,
59,2,Composition,,Contact,,,Email Address,0..1,Contact E-mail address structure,gl-gen,,,,【担当者Eメールアドレス】,担当者のEメールアドレスの構造体。,
60,1,Class,,Depreciation Mortgage,,,,,"Parent for information related to depreciation, mortgages, etc.",gl-bus,,,gl-bus:depreciationMortgage,【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,
61,2,Attribute,,Depreciation Mortgage,Mortgage Jurisdiction,xbrli:stringItemType,,0..1,"Jurisdiction (e.g. federal, state, local): e.g. US Federal, Province of Québec, other identifier",gl-bus,,,gl-bus:dmJurisdiction,抵当債務管轄,管轄地区。（連邦、州、ローカル、等）。たとえば、米国連邦政府、ケベック州、その他の識別子。[設定値のリスト]\n(F)、(federal：連邦)、(S)、(state：州)、(L)、(local：地域)、(other：その他)\n,
62,2,Attribute,,Depreciation Mortgage,Depreciation Method,xbrli:stringItemType,,0..1,"Type of depreciation method: used for information about the loan percentage for loan or the depreciation method. This is used for informational purposes only. Examples of entries are ""20%"", ""5 year DDB"" (Double Declining Balance).",gl-bus,,,gl-bus:dmMethodType,減価償却方法,減価償却方法のタイプ。ローンのパーセンテージや減価償却方法に関する情報を含む。単なる情報提供を目的とする。たとえば、20%、5年、DDB(倍額定率)。,
63,2,Attribute,,Depreciation Mortgage,Mortgage Life,xbrli:stringItemType,,0..1,Length of life in number of periods.,gl-bus,,,gl-bus:dmLifeLength,抵当債務期間,存在する期間数。,
64,2,Attribute,,Depreciation Mortgage,Description,xbrli:stringItemType,,0..1,"Description of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,,gl-bus:dmComment,債務説明,減価償却や債権債務、ローン、信用供与等に関する項目の説明。,
65,2,Attribute,,Depreciation Mortgage,Start Date,xbrli:stringItemType,,0..1,"Start of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,,gl-bus:dmStartDate,開始日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の開始日。,
66,2,Attribute,,Depreciation Mortgage,End Date,xbrli:stringItemType,,0..1,"End of the applicable period of each item related to depreciation, mortgage, loan, credit facility, etc.",gl-bus,,,gl-bus:dmEndDate,終了日付,減価償却や債権債務、ローン、信用供与等に関する項目の、適用期間の終了日。,
67,2,Attribute,,Depreciation Mortgage,Amount,xbrli:stringItemType,,0..1,"Amount of a cost or fee charged for a mortgage, loan, credit facility, etc.",gl-bus,,,gl-bus:dmAmount,手数料,減価償却や債権債務、ローン、信用供与等で請求されるコストや手数料。,
68,1,Class,,Document Information,,,,,Parent for descriptive information about the accountingEntries section in which it is contained.,gl-cor,,,gl-cor:documentInfo,【文書情報】,この会計仕訳に関する情報の親タグ。,
69,2,Attribute,,Document Information,Document Type,xbrli:tokenItemType,,0..1,"account: information to fill in a chart of accounts file. \nbalance: the results of accumulation of a complete and validated list of entries for an account (or a list of account) in a specific period - sometimes called general ledger \nentries:  a list of individual accounting entries, which might be posted/validated or nonposted/validated  \njournal: a self-balancing (Dr = Cr) list of entries for a specific period including beginning balance for that period.  \nledger: a complete list of entries for a specific account (or list of accounts) for a specific period; note - debits do not have to equal credits.   \nassets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal entry.  \ntrialBalance: the self-balancing (Dr = Cr) result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. \ntaxtables:  aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these ""master file"" tax tables can be referenced. \nOften sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches.",gl-cor,,,gl-cor:entriesType,文書種別,・科目:科目体系ファイルの情報。\n・残高:特定の期間について、勘定科目(または勘定科目リスト)の、完了し検証された仕訳リストの累算結果。時に総勘定元帳と呼ばれる。\n・仕訳:個々の勘定記入のリスト。転記/検証されていることもあり、されていないこともある。\n・仕訳帳:特定の期間における、その期間の開始残高を含む貸借が一致(Dr=Cr)した仕訳のリスト 。\n・元帳:特定の期間における特定の勘定科目(または勘定科目リスト)についての、仕訳の全リスト 。注意－貸借が一致する必要はない。\n・資産:仕訳記入の一部として必ずしも含まれていないが、そこから抽出可能な売掛金、買掛金、在庫、固定資産、その他の情報のリスト。\n・試算表:事業体に対する、特定期間の全勘定科目リストでの、完了し検証された仕訳リストの、貸借が一致（Dr=Cr)した累算結果。\n・税率表:税率表をあらわすデータを自動的に解釈できるようにする。税率表は、コード、税務当局情報、レートをあらわす複数のtaxes構造データを使って定義される。taxTableCodeはtaxes構造データ内で相互に参照されるが、これらのマスタファイルが参照可能。\n多くの場合、日付または科目によりソートされる。会計処理方法や用語は慣行により適合させる。\n[設定値のリスト]\n(account：科目)、(balance：残高)、(entries：仕訳)、(journal：仕訳帳)、(ledger：元帳)、(assets：資産)、(trialbalance：試算表)、(taxtables：税率表)、(other：その他),
70,2,Attribute,,Document Information,Audit Number,xbrli:stringItemType,,0..1,Unique identifier for this file.,gl-cor,,,gl-cor:uniqueID,監査番号,このファイルの一意識別子。,
71,2,Attribute,,Document Information,Revises Audit Number\n,xbrli:stringItemType,,0..1,"If this batch of information revises a previous batch of information, this field identifies the previous batch that is being revised. 'uniqueID' of the previous batch goes here. Developers should consider exception reporting.",gl-cor,,,gl-cor:revisesUniqueID,改訂前監査番号,この仕訳の束が以前の仕訳の束を改訂する場合に、以前の束を示す。元の文書のuniqueIDが指定される。開発者は、例外報告を考慮すべきである。,
72,2,Attribute,,Document Information,Action to Take with Previous Data,xbrli:stringItemType,,0..1,Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.,gl-cor,,,gl-cor:revisesUniqueIDAction,改訂前データ処置,以前のデータの束に対する操作のガイダンス。 取替え-古いデータを無効にし上書きする。\n補完-元々含まれていたかのように、そのデータに所属させる。\n[設定値のリスト]\n(supplement：補完)、(supersede：取替え),
73,2,Attribute,,Document Information,Language,xbrli:stringItemType,,0..1,"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes.",gl-cor,,,gl-cor:language,言語,主要言語。 実用的には、このフィールドの内容はISO639-1988言語コードに一致すべきである。,
74,2,Attribute,,Document Information,Creation Date,xbrli:stringItemType,,0..1,Date/time file was created.,gl-cor,,,gl-cor:creationDate,作成日付,ファイルが作成された日付/時間。,
75,2,Attribute,,Document Information,Creator,xbrli:stringItemType,,0..1,Identifies the creator of the XBRL instance.,gl-bus,,,gl-bus:creator,作成者,ファイルの作成者の識別子。,
76,2,Attribute,,Document Information,Document Comment,xbrli:stringItemType,,0..1,Text for entire document.,gl-cor,,,gl-cor:entriesComment,文書コメント,文書全体に対する説明文。,
77,2,Attribute,,Document Information,Period Covered Start,xbrli:stringItemType,,0..1,"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,,,gl-cor:periodCoveredStart,対象期間開始日付,内容の日付範囲の開始日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,
78,2,Attribute,,Document Information,Period Covered End,xbrli:stringItemType,,0..1,"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open.",gl-cor,,,gl-cor:periodCoveredEnd,対象期間終了日付,内容の日付範囲の終了日。 残高の開始日付などの、データに関する多くの仮定の基礎として使用される。,
79,2,Attribute,,Document Information,Period Count,xbrli:stringItemType,,0..1,"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period.",gl-bus,,,gl-bus:periodCount,期間数,postingCodeで使用される期間又はバケットの数。 転記日付を説明するために使用される。対象期間の仕訳を個々の報告期間に限定することが望ましいかもしれない。,
80,2,Attribute,,Document Information,Period Unit,xbrli:stringItemType,,0..1,Type of periods covered by periodCount,gl-bus,,,gl-bus:periodUnit,期間単位,periodCountで対象とする期間の種別。\n[設定値のリスト]\n(daily：日次)、(weekly：週次)、(bi-weekly：隔週)、(semi-monthly：半月ごと)、(monthly：月次)、(quarterly：四半期ごと)、(thirdly：年3回)、(semiannual：半年ごと)、(annual：年次)、(ad-hoc：随時)、(current-period-only：当期)、(other：その他) \n,
81,2,Attribute,,Document Information,Period Unit Description,xbrli:stringItemType,,0..1,Free format description of the period unit,gl-bus,,,gl-bus:periodUnitDescription,期間単位説明,対象期間単位の説明。,
82,2,Attribute,,Document Information,Source Application,xbrli:stringItemType,,0..1,"Product or service that produced this file. Used by many systems (e.g., VAT). Version number can be included or extended.",gl-bus,,,gl-bus:sourceApplication,作成元アプリケーション,このファイルを作り出した製品又はサービス。 多くのシステム(例えば、VATなど)で、使用される。 バージョン番号を含むことも可能。,
83,2,Attribute,,Document Information,Target Application,xbrli:stringItemType,,0..1,Particular use for which file was generated.,gl-bus,,,gl-bus:targetApplication,対象アプリケーション,ファイルが作成された用途。,
84,2,Attribute,,Document Information,Default Currency,xbrli:stringItemType,,0..1,"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding",gl-muc,,,gl-muc:defaultCurrency,既定通貨,XBRLインスタンス内に指定する方法のかわりに、金額の既定の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,
85,1,Class,,Email Address,,,,,E-mail address structure,gl-gen,,,gl-gen:email,【Eメールアドレス】,Eメールアドレスの構造体。,
86,2,Attribute,,Email Address,Usage,xbrli:stringItemType,,0..1,"E-mail address usage (e.g. orders, head office, IR)",gl-gen,,,gl-gen:emailAddressUsage,Eメールアドレス用途,Eメールアドレスの用途。(注文、本社、IRなど),
87,2,Attribute,,Email Address,Address,xbrli:stringItemType,,0..1,E-mail address,gl-gen,,,gl-gen:emailAddress,Eメールアドレス,Eメールアドレス。,
88,1,Class,,Entity Information,,,,,Holder for entity information - information about the reporting organization.,gl-cor,,,gl-cor:entityInformation,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,
89,2,Composition,,Entity Information,,,Phone Number,0..1,Primary phone number of the entity.,gl-bus,,,,【事業体電話番号】,事業体の主要電話番号情報。,
90,2,Composition,,Entity Information,,,Fax Number,0..1,Tuple for holding company fax information.,gl-bus,,,,【事業体FAX番号】,事業体のFAX番号情報のタプル。,
91,2,Composition,,Entity Information,,,Email Address,0..1,Tuple for holding company email information.,gl-bus,,,,【事業体Eメールアドレス】,事業体のEメールアドレス情報のタプル。,
92,2,Attribute,,Entity Information,Default Accounting Method Purpose,xbrli:stringItemType,,0..1,"If not stated explicitly at the line level, the default reporting purpose - from book, tax, management, statutory, other",gl-bus,,,gl-bus:organizationAccountingMethodPurposeDefault,既定会計処理方法目的,明細レベルで明確に指定しない場合の、既定の報告目的を表す。帳簿、税、管理、スタチュトリ、その他から選択する。\n[設定値のリスト]\n(book：帳簿)、(tax：税)、(management：管理)、(statutory：スタチュトリ)、(other：その他),
93,2,Attribute,,Entity Information,Default Accounting Method Purpose Description,xbrli:stringItemType,,0..1,Free format description of the default accounting method purpose,gl-bus,,,gl-bus:organizationAccountingMethodPurposeDefaultDescription,既定会計処理方法目的説明,既定の会計処理方法目的の説明。,
94,2,Composition,,Entity Information,,,Organization Identifier,0..1,Section which contains various identifiers for the company.,gl-bus,,,,【識別子】,組織に関する様々な識別子を含むセクション。,
95,2,Composition,,Entity Information,,,Address,0..1,Address structure for the reporting entity,gl-bus,,,,【住所】,報告事業体の住所構造体。,
96,2,Composition,,Entity Information,,,Web Site,0..1,Primary web site of the entity.,gl-bus,,,,【事業体Webサイト】,事業体の代表ウェブサイト。,
97,2,Composition,,Entity Information,,,Contact,0..1,Information about contacts.,gl-bus,,,,【担当者情報】,担当者に関する情報。,
98,2,Attribute,,Entity Information,Business Description,xbrli:stringItemType,,0..1,Description of the nature of the business of the entity.,gl-bus,,,gl-bus:businessDescription,業種説明,事業体の事業の種類についての説明。,
99,2,Attribute,,Entity Information,Fiscal Year Start,xbrli:stringItemType,,0..1,"Start of fiscal year. Where appropriate, corporate year period representation permits non-365 or 366 day years (more appropriate for internal sharing than data from external sources), In Europe, some jurisdictions allow 2 year minus 1 day fiscal years.",gl-bus,,,gl-bus:fiscalYearStart,会計年度開始日付,会計年度の開始日。妥当であれば、企業の会計年度表示において、366日や365日でない年も許可する（外部ソースからのデータより内部共有のための方が適している）。ヨーロッパでは、2年マイナス1日の会計年度を許可するところもある。,
