No.,Level,Property type,Identifier,Class,Property Term,Representation Term,Associate Object Class Term,Multiplicity,Description,Module,Table,Value Domain,XBRL-GL
1001,2,Attribute,PK,Business Unit,Business Unit Code,Identifier,,1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC) 280, Segment Reporting.",Base,1,TEXT25,"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code 'NA,' description 'N. America,' and type 'global area' using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?)."
1002,2,Attribute,,Business Unit,Business Unit Description,Text,,1,Business unit (plain English) description to indicate the name or other identifying characteristics of the business unit.,Base,1,TEXT100,See above; an unlimited number of units and structures are permitted.
1003,2,Attribute,,Business Unit,Business Unit Hierarchy1,Name,,0..1,"If a hierarchy exists in the business unit structure, use the field to capture the highest level of the hierarchy (for example, global area with values such as North America, South America, Europe, the Middle East, Africa, the Far East, and so on).",Base,1,TEXT100,"Rather than duplicate fixed relationships between higher-level hierarchies, they are captured once per Business_Unit."
1004,2,Attribute,,Business Unit,Business Unit Hierarchy2,Name,,0..1,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, regions with values such as East Coast, West Coast, Central-Western Europe, and so on).",Base,1,TEXT100,See above; an unlimited number of units and structures are permitted.
1005,2,Attribute,,Business Unit,Business Unit Hierarchy3,Name,,0..1,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, cities with values such as Los Angeles, Boston, Frankfurt, and so on).",Base,1,TEXT100,See above; an unlimited number of units and structures are permitted.
1006,2,Attribute,,Business Unit,Business Unit Hierarchy4,Name,,0..1,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy.",Base,1,TEXT100,See above; an unlimited number of units and structures are permitted.
1007,2,Attribute,,Business Unit,Business Unit Hierarchy5,Name,,0..1,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy.",Base,1,TEXT100,See above; an unlimited number of units and structures are permitted.
1008,1,Class,,Segment,,,,,"It is often useful to analyze financial data by different dimensions (for example - profit center, division, branch, product, geographic region). This standard includes up to 5 such dimensions, referred to as segments. The (up to) 5-segment listing tables map the values of each of the 5 segments to a text description of that value. The purpose of (optional) segments 1 - 5 is captured in the Base Standards questionnaire, question 10.<br>XBRL GL provides more explicit context for the segments, and therefore does not require an implicit representation and an order to be associated with each segment grouping. Should it be deemed important to maintain the presentation order of the segments, the following fields can be used. All of the value and description pairs can be included in a single XBRL GL instance.",Base,2,,"gl-cor:entriesType value = 'other' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor:entriesComment value = 'ads:Segment0X_Listing' if provided as individual files, or 'ads:Segment_Listing' if combined as one [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1009,2,Attribute,PK,Segment,Segment0X Value,Name,,0..1,Value of Segment0X (X may equal 1 to 5).,Base,2,TEXT25,gl-cor:accountSubID; the explicit definition of the broad purpose for the segment or the numeric value (1.5) can be put in gl-cor:accountSubType
1010,2,Attribute,,Segment,Segment0X Description,Text,,0..1,Segment description to indicate the name or other identifying characteristics of Segment0X Value (X may equal 1 to 5).,Base,2,TEXT100,gl-cor:accountSubDescription
1011,1,Class,,SegmentX,,,,,"Reserved segment field that can be used for profit center, division, fund, program, branch, project, and so on.",Core,3,,
1012,2,Reference Association,,SegmentX,Segment01,,Segment,0..1,"Reserved segment field that can be used for profit center, division, fund, program, branch, project, and so on.",Core,3,TEXT25,"gl-cor:accountSubID with associated gl-cor:accountSubType (Note: XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code NA, description N. America, and type global area using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively.)"
1013,2,Reference Association,,SegmentX,Segment02,,Segment,0..1,See above,Core,3,TEXT25,See above
1014,2,Reference Association,,SegmentX,Segment03,,Segment,0..1,See above,Core,3,TEXT25,See above
1015,2,Reference Association,,SegmentX,Segment04,,Segment,0..1,See above,Core,3,TEXT25,See above
1016,2,Reference Association,,SegmentX,Segment05,,Segment,0..1,See above,Core,3,TEXT25,See above
1017,1,Class,,User,,,,,"This table holds an identifier and information about each user within the system. Each user should have a full name, title, and role (if available) within the system.",Base,4,,
1018,2,Attribute,PK,User,User ID,Identifier,,1,"A unique identifier of individuals entering transactions into the ERP system. This field is used to join information in this table to other tables based on the fields Entered By, Last Modified By, and Approved By.",Base,4,TEXT25,gl-cor:identifierCode with gl-cor:identifierCategory = 'systemUser'
1019,2,Attribute,,User,User Active Status,Indicator,,0..1,"The status of users (for identification of transactions by inactive users). The value of this field should be either 'Active' or 'Inactive' for flat file data; for XBRL GL, this is a Boolean, in which active is 'true' and inactive is 'false.'",Base,4,TEXT10,gl-cor:identifierActive
1020,2,Attribute,,User,User Active Modified Date,Date,,0..1,The date of user activation or termination.,Base,4,DATE,gl-cor:dateAcknowledged
1021,2,Attribute,,User,First Name,Name,,1,The first (given) name of the person.,Base,4,TEXT100,gl-cor:identifierContactFirstName
1022,2,Attribute,,User,Last Name,Name,,1,The last (family) name of the person.,Base,4,TEXT100,gl-cor:identifierContactLastName
1023,2,Attribute,,User,Title,Name,,0..1,"The title of the person (for example, accounting manager).",Base,4,TEXT100,gl-cor:identifierContactPrefix
1024,2,Attribute,,User,Department,Name,,0..1,"The department the person is part of (for example, accounting).",Base,4,TEXT100,gl-cor:identifierContactAttentionLine
1025,2,Attribute,,User,Role Responsibility,Name,,0..1,"The person's functional role or primary responsibility (for example, accounts payable).",Base,4,TEXT100,gl-cor:identifierContactPositionRole
1026,1,Class,,Customer,,,,,The Customer Master YYYYMMDD file may be requested to be generated more than once for the period under review to accommodate changes occurring during the period under review. The date the file is generated is recorded as part of the file name.,O2C,6,,gl-cor:entriesType value = 'account' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads:Customer_Master_Listing_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1027,2,Attribute,PK,Customer,Customer Account ID,Identifier,,1,Identifier of the customer from whom payment is expected or to whom unused credits have been applied.,O2C,6,TEXT100,gl-cor:identifierCode for internal # with gl-cor:identifierType = 'customer'
1028,2,Attribute,,Customer,Customer Account Name,Text,,1,The name of the customer.,O2C,6,TEXT100,gl-cor:identifierDescription
1029,2,Attribute,,Customer,Customer Group,Text,,0..1,"If the organization segments customers into groups, the group to which this customer is assigned.",O2C,6,TEXT100,gl-cor:identifierCategory
1030,2,Attribute,,Customer,Customer TIN,Code,,1,The customer's tax identification number.,O2C,6,TEXT100,gl-cor:identifierAuthorityCode for tax #
1031,2,Composition,,Customer,Physical,,Address,0..1,The billing address of the customer.,O2C,6,,
1032,2,Attribute,,Customer,Active Date,Date,,0..1,Date the customer declared active.,O2C,6,DATE,XBRL GL uses gl-cor:identifierActive to note that the customer is currently active or inactive. gl-cor:dateAcknowledged
1033,2,Attribute,,Customer,Inactive Date,Date,,0..1,Date the customer was declared inactive.,O2C,6,DATE,gl-cor:confirmedDate
1034,2,Composition,,Customer,Transaction Credit Limit,,Amount,0..1,The per invoice credit limit established for this customer.,O2C,6,NUMERIC,gl-muc:amountRestatedAmount
1035,2,Composition,,Customer,Overall Credit Limit,,Amount,0..1,The credit limit for this customer's total outstanding balance.,O2C,6,NUMERIC,gl-cor:amount
1036,2,Attribute,,Customer,Terms Discount Percentage,Percentage,,0..1,"The discount percentage the customer may take if an invoice is paid before a certain number of days. In the flat file, terms are represented as digits to one decimal place (for example, 10% would be represented as 10.0). In extensible business reporting language global ledger taxonomy framework (XBRL GL), the three fields Terms Discount Percentage, Terms Discount Days and Terms Due Days would be entered in the form 'xx.x% dd Net dd,' such as 2% 10 Net 30 for 2% discount if paid within 10 days, with the net due in 30 days.",O2C,6,NUMERIC,gl-cor:terms
1037,2,Attribute,,Customer,Terms Discount Days,Numeric,,0..1,"The number of days from the invoice date the customer has to take advantage of discounted terms. Terms are represented as digits with no decimal places (for example, nnn).",O2C,6,NUMERIC,See description for field # 8
1038,2,Attribute,,Customer,Terms Due Days,Numeric,,0..1,The number of days allowed to meet the obligation before an invoice becomes overdue.,O2C,6,NUMERIC,See description for field # 8; explicit in gl-cor:maturityDate
1039,2,Composition,,Customer,,,Activity Records,0..1,,O2C,6,,
1040,2,Composition,,Customer,,,Contact,0..1,,O2C,6,,
1041,2,Composition,,Customer,Billing,,Address,0..1,The physical address of the customer.,O2C,6,,
1042,1,Class,,Supplier,,,,,The Supplier Listing YYYYMMDD file may be requested to be generated more than once for the period under review to accommodate changes occurring during the period under review. The date the file is generated is recorded as part of the file name.,P2P,8,,gl-cor:entriesType value = 'account' [entriesType] is a mandatory field; [other] is an enumerated value.<br>gl-cor: entriesComment value = 'ads: Supplier_Listing_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation.
1043,2,Attribute,PK,Supplier,Supplier Account ID,Identifier,,1,Identifier of the supplier to whom payment is due or from whom unused credits have been applied.,P2P,8,TEXT100,gl-cor:identifierCode for internal # with gl-cor:identifierType = 'vendor'
1044,2,Attribute,,Supplier,Supplier Account Name,Name,,1,The name of the supplier.,P2P,8,TEXT100,gl-cor:identifierDescription
1045,2,Attribute,,Supplier,Supplier Group,Text,,0..1,"If the organization segments suppliers into groups, the group to which this supplier is assigned.",P2P,8,TEXT100,gl-cor:identifierCategory
1046,2,Composition,,Supplier,Physical,,Address,0..1,The physical address of the supplier.,P2P,8,,
1047,2,Attribute,,Supplier,Supplier TIN,Code,,1,The supplier's tax identification number.,P2P,8,TEXT100,gl-cor:identifierAuthorityCode for tax #
1048,2,Composition,,Supplier,Billing,,Address,0..1,The billing address of the supplier.,P2P,8,,
1048.5,2,Composition,,Supplier,,,Contact,0..1,,O2C,41,,
1049,2,Attribute,,Supplier,Active Date,Date,,0..1,Date the supplier declared active.,P2P,8,DATE,XBRL GL uses gl-cor:identifierActive to note that the supplier is currently active or inactive. gl-cor:dateAcknowledged
1050,2,Attribute,,Supplier,Inactive Date,Date,,0..1,Date the supplier was declared inactive.,P2P,8,DATE,gl-cor:confirmedDate
1051,2,Composition,,Supplier,Transaction Credit Limit,,Amount,0..1,The per invoice credit limit established with this supplier.,P2P,8,NUMERIC,gl-muc:amountRestatedAmount
1052,2,Composition,,Supplier,Overall Credit Limit,,Amount,0..1,The credit limit for the total outstanding balance approved for the supplier.,P2P,8,NUMERIC,gl-cor:amount
1053,2,Attribute,,Supplier,Terms Discount Percentage,Percentage,,0..1,"The discount percentage the supplier may provide if an invoice is paid before a certain number of days. In the flat file, terms are represented as digits to one decimal place (for example, 10% would be represented as 10.0). In extensible business reporting language global ledger taxonomy framework (XBRL GL), the three fields Terms Discount Percentage, Terms Discount Days and Terms Due Days would be entered in the form 'xx.x% dd Net dd,' such as 2% 10 Net 30 for 2% discount if paid within 10 days, with the net due in 30 days.",P2P,8,NUMERIC,gl-cor:terms
1054,2,Attribute,,Supplier,Terms Discount Days,Numeric,,0..1,"The number of days from the invoice date the supplier allows to take advantage of discounted terms. Terms are represented as digits with no decimal places (for example, nnn).",P2P,8,NUMERIC,See description for field number 8
1055,2,Attribute,,Supplier,Terms Due Days,Numeric,,0..1,The number of days allowed to meet the obligation before an invoice becomes overdue.,P2P,8,NUMERIC,See description for field number 8; explicit in gl-cor:maturityDate
1056,2,Composition,,Supplier,,,Activity Records,0..1,,P2P,8,,
1057,1,Class,,Ledger Account Number,,,,,"The chart of accounts table is used to store the information about all the GL accounts - including name, description, and mapping to the financial statement captions. If different charts of accounts are needed for different business units, business unit fields should be utilized to distinguish between the local and consolidating sets of accounts.",GL,9,,"gl-cor:entriesType value = 'account' Explicitly defines this as a listing of accounts, as per XBRL GL's enumerations.<br>gl-cor: entriesComment value = 'ads:Chart_Of_Accounts' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1058,2,Attribute,PK,Ledger Account Number,GL Account Number,Identifier,,1,Identifier for the GL financial account. The GL Account Number in this file must match the GL Account Number used in the GL Detail and Trial Balance files.,GL,9,TEXT100,gl-cor:accountMainID
1059,2,Attribute,,Ledger Account Number,GL Account Name,Name,,1,Name for the GL account.,GL,9,TEXT100,gl-cor:accountMainDescription
1060,2,Attribute,,Ledger Account Number,Account Type,Code,,1,"Grouping for high-level category on the financial statements. Values should be assets, liabilities, equity, revenue, expenses, and so on.",GL,9,TEXT25,gl-cor:mainAccountType
1061,2,Attribute,,Ledger Account Number,Account Subtype,Code,,1,"Grouping for lower-level categories on the financial statements. Examples include reserve account, suspense account, intercompany account, and so on.",GL,9,TEXT25,gl-cor:mainAccountTypeDescription
1062,2,Attribute,,Ledger Account Number,FS Caption,Text,,1,"Financial statement caption. Grouping for the caption the GL account rolls up to on the financial statements (for example, cash and cash equivalents, accounts payable, cost of sales, and so on). Sometimes may prefer to be at the trial balance level.",GL,9,TEXT100,gl-cor:summaryReportingElement
1063,2,Attribute,,Ledger Account Number,GL Account Description,Text,,0..1,Label or description associated with GL Account Number.,GL,9,TEXT256,gl-cor:accountTypeDescription
1064,2,Reference Association,,Ledger Account Number,,,Business Unit,1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a description aligned with the concept of a reportable segment as defined in FASB ASC 280.",GL,9,TEXT25,gl-cor:accountSubID with gl-cor:accountSubType of 'Business_Unit'
1065,2,Reference Association,,Ledger Account Number,Parent,,Ledger Account Number,0..1,A reference to the GL Account Number that is the parent in an account hierarchy. Provided to allow more than the predefined levels of hierarchy in the chart of accounts table.,GL,9,TEXT100,gl-cor:parentAccountMainID
1066,2,Composition,,Ledger Account Number,,,Segment,0..*,,GL,9,,
1069,1,Class,,Tax,,,,,Master table of organizations for whom tax is collected or accrued.,Base,19,,
1070,2,Attribute,PK,Tax,Regulator Code,Identifier,,1,A code used to refer to this regulator or jurisdiction; used as key or cross-reference in files.,Base,19,TEXT25,gl-cor:taxCode
1071,2,Attribute,,Tax,Regulator Country,Code,,1,Recommend ISO 3166-1 Alpha 2 or Alpha 3 format,Base,19,TEXT3,gl-bus:identifierCountry
1072,2,Attribute,,Tax,Regulator Region,Name,,0..1,"Sub-region within country; in the U.S., this would be state; in Canada it would be province.",Base,19,TEXT25,gl-bus:identifierStateOrProvince
1073,2,Attribute,,Tax,Regulator Name,Name,,1,Name of regulator for whom tax is withheld or accrued,Base,19,TEXT100,gl-cor:taxAuthority AND gl-cor:gl-cor:identifierAuthority
1074,2,Attribute,,Tax,Regulator Role,Name,,1,"From: Federal, Regional, Local",Base,19,TEXT20,gl-bus:dmJurisdiction
1075,2,Reference Association,,Tax,Default Payable,,Ledger Account Number,1,GL account used to reflect amounts payable to regulator; ties to Chart Of Accounts GL Account Name,Base,19,TEXT100,gl-cor:accountMainID with gl-cor:accountTypeDescription = 'payable'
1076,2,Reference Association,,Tax,Default Accrual,,Ledger Account Number,1,GL account used to reflect accruals due to regulator,Base,19,TEXT100,gl-cor:accountMainID with gl-cor:accountTypeDescription = 'accrual'
1077,2,Reference Association,,Tax,Default Expense,,Ledger Account Number,1,GL account used to reflect expense related to regulator,Base,19,TEXT100,gl-cor:accountMainID with gl-cor:accountTypeDescription = 'expense'
1078,2,Attribute,PK,Tax,Regulator Identifier,Code,,1,Tax or other code assigned by Regulator for reporting organization to Regulator,Base,19,TEXT25,gl-cor:identifierAuthorityCode
1079,2,Reference Association,,Tax,Regulator Reporting Organization,,Business Unit,1,Cross-reference to Organization Location File YYYYMMDD,Base,19,TEXT100,gl-bus:organizationIdentifier
1080,2,Attribute,,Tax,Regulator Active Flag,Indicator,,1,True (Active) or False (Inactive),Base,19,BOOLEAN1,gl-cor:identifierActive
1081,1,Class,,Trial Balance,,,,,The Trial Balance table stores all the ledger account balance information. The Trial Balance file should contain the ending balances at a point in time. The Trial Balance should be created at the same time as the GL Detail to prevent differences in transactions and balances.,GL,24,,"Trial balances are rarely beginning and ending of period alone. They are more often beginning, period change (often period debits and separate period credits), and ending.<br>gl-cor:entriesType value = 'trialbalance' Explicitly defines this as a trial balance, as per XBRL GL's standard enumerations.<br>gl-cor: entriesComment value = 'ads:Trial_Balance_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1082,2,Reference Association,PK,Trial Balance,,,Ledger Account Number,1,Identifier for the GL financial account. The GL Account Number in this file must match the GL Account Number used in the GL Detail and Chart Of Accounts files.,GL,24,TEXT100,gl-cor:accountMainID
1083,2,Reference Association,,Trial Balance,,,Business Unit,1,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited and for which the trial balance is generated. For example, you may use a description aligned with the concept of a reportable segment as defined in FASB ASC 280.",GL,24,TEXT25,gl-cor:accountSubID with gl-cor:accountSubType of 'Business_Unit'
1084,2,Attribute,,Trial Balance,Balance AsOf Date,Date,,1,"Date of the provided balance, not when the Trial Balance file was created (for example, 20141231 if year-end balance, even if the report was run on 20150122).",GL,24,DATE,A common end-of date is noted by gl-cor:periodCoveredEnd; mixed period end dates could be noted by gl-cor:postingDate
1085,2,Attribute,,Trial Balance,Fiscal Year,Code,,1,"Fiscal year in which the Balance AsOf Date occurs - YYYY for delimited, CCYY-MM-DD fiscal year end (ISO 8601) for extensible business reporting language global ledger taxonomy framework (XBRL GL).",GL,24,TEXT4,gl-bus:fiscalYearEnd - ccyy-mm-dd
1086,2,Attribute,,Trial Balance,Period,Code,,1,"Fiscal period in which the Balance AsOf Date occurs. Examples include W1 - W53 for weekly periods, M1 - M12 for monthly periods, and Q1 - Q4 for quarterly periods.",GL,24,TEXT10,gl-bus:postingCode
1087,2,Composition,,Trial Balance,,,Multi Currency Amount,0..1,"Period beginning balance amount (that is, the ending balance from the prior period) recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all are recorded in a single currency.",GL,24,,"XBRL GL does not have separate beginning and ending amounts on a line. This would use a second line, with optional gl-cor:xbrlInclude = 'beginning_balance' and gl-cor:periodCoveredStart"
1088,2,Composition,,Trial Balance,,,Multi Currency Amount,0..1,Period ending balance amount recorded in the functional or group currency. No multicurrency translation should need to be performed on this amount because all are recorded in a single currency.,GL,24,,with optional gl-cor:xbrlInclude = 'ending_balance'
1089,2,Composition,,Trial Balance,,,Segment,0..*,,GL,24,,
1090,1,Class,,General Ledger Line,,,,,"The GL Detail table stores all the journal entry lines and includes all the journal entry header information as well. Each row in this table contains detailed information for transactions on each journal entry - such as the associated journal entry ID, the associated account number, and the debits or credits associated with the journal entry line. The file should be at the journal entry line level, not a more summarized level.",GL,25,,". gl-cor:sourceJournalID is an enumerated list, promoting clearer understanding of the following:<br>  cd-cash disbursements (sending checks to vendors)<br>  cr-cash receipts (receiving checks from others)<br>  fa-fixed assets<br>  gi-giro or other bank adjustments<br>  gj-general journal<br>  im-inventory management<br>  jc-job cost<br>  pj-purchase journal (liabilities from purchases)<br>  pl-payroll journal<br>  sj-sales journal<br>  se-standard entries<br>  ud-user defined<br>  ot-other sources of entries<br>gl-cor:entriesType value = 'journal' or 'entries' [Entries] is used for a broad list of accounting journal entries; an enumerated value [journal] is used for a list of like entries when debits explicitly equal credits.<br>gl-cor: entriesComment value = 'ads:GL_Detail_YYYYMMDD_YYYYMMDD' [entriesComment] is the descriptive field describing what is common in the collection of information; introducing audit data standard namespace and qualifier for type of collection ties it to this representation."
1091,2,Attribute,PK,General Ledger Line,Journal ID,Identifier,,1,Identifier that is unique for each journal entry. May require concatenation of multiple fields.,GL,25,TEXT100,gl-cor:entryNumber
1092,2,Attribute,PK,General Ledger Line,Journal ID Line Number,Identifier,,1,Identifier that is unique for each line within a journal entry.,GL,25,TEXT100,gl-cor:lineNumber
