code,qname,name,description
41,uncl_1225:_41,Finishing/closing order,Last of series of call-offs.
42,uncl_1225:_42,Confirmation via specific means,Message confirming a transaction previously agreed via other means (e.g. phone).
43,uncl_1225:_43,Additional transmission,Message already transmitted via another communication channel. This transmission is to provide electronically processable data only.
44,uncl_1225:_44,Accepted without reserves,Message accepted without reserves.
45,uncl_1225:_45,Accepted with reserves,Message accepted with reserves.
46,uncl_1225:_46,Provisional,Message content is provisional.
47,uncl_1225:_47,Definitive,Message content is definitive.
48,uncl_1225:_48,"Accepted, contents rejected","Message to inform that the previous message is received, but it cannot be processed due to regulations, laws, etc."
49,uncl_1225:_49,Settled dispute,The reported dispute is settled.
50,uncl_1225:_50,Withdraw,Message withdrawing a previously approved message.
51,uncl_1225:_51,Authorisation,Message authorising a message or transaction(s).
52,uncl_1225:_52,Proposed amendment,A code used to indicate an amendment suggested by the sender.
53,uncl_1225:_53,Test,Code indicating the message is to be considered as a test.
54,uncl_1225:_54,Extract,A subset of the original.
55,uncl_1225:_55,Notification only,The receiver may use the notification information for analysis only.
56,uncl_1225:_56,Advice of ledger booked items,An advice that items have been booked in the ledger.
57,uncl_1225:_57,Advice of items pending to be booked in the ledger,An advice that items are pending to be booked in the ledger.
58,uncl_1225:_58,Pre-advice of items requiring further information,A pre-advice that items require further information.
59,uncl_1225:_59,Pre-adviced items,A pre-advice of items.
60,uncl_1225:_60,No action since last message,Code indicating the fact that no action has taken place since the last message.
61,uncl_1225:_61,Complete schedule,The message function is a complete schedule.
62,uncl_1225:_62,Update schedule,The message function is an update to a schedule.
63,uncl_1225:_63,"Not accepted, provisional","Not accepted, subject to confirmation."
64,uncl_1225:_64,Verification,The message is transmitted to verify information.
65,uncl_1225:_65,Unsettled dispute,To report an unsettled dispute.
66,uncl_1225:_66,Discharge of operation guarantee,A message related to a guarantee containing information about the discharge of an operation.
67,uncl_1225:_67,Termination of operation guarantee,A message related to a guarantee containing information about the termination of an operation.
68,uncl_1225:_68,Start of operation guarantee,A message related to a guarantee containing information about the start of an operation.
69,uncl_1225:_69,New declaration data,A message related to a guarantee containing new declaration data.
70,uncl_1225:_70,Amended declaration data,A message related to the amendment of declaration data.
71,uncl_1225:_71,Refusal to start operation guarantee,A message related to a guarantee containing information about the refusal to start of an operation.
72,uncl_1225:_72,Seals information (Start),A message related to a guarantee containing information about the seals during the start of an operation.
73,uncl_1225:_73,Seals information (Terminate),A message related to a guarantee containing information about the seals during the termination of an operation. Data Element Cross Reference DataElement 1225 is used in the following Batch Segments: BGM DataElement 1225 is used in the following Interactive Segments: CLT DataElement 1225 is used in the following Interactive Composite Elements:
E031,uncl_1225:E031,E972,"Copyright United Nations, all rights reserved UN Economic Commission for Europe Palais des Nations, CH-1211 Geneva 10, Switzerland Tel: +41-22 917 1366 Fax: +41-22 917 0037 E-mail: TradeMaster@unece.org UN/EDIFACT Directories"
