JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
6,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
6,2.0,,,,,,,,,,駐車代,10E201120,車両費,,,,591.0,53.0,S10,標準10%,,,,,,,,,,,,,,,
6,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
6,3.0,,,,,,,,,,ガソリン代,10E201120,車両費,,,,4620.0,420.0,S10,標準10%,,,,,,,,,,,,,,,
6,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
6,4.0,,,,,,,,,,洗車券代,10E201120,車両費,,,,5715.0,519.0,S10,標準10%,,,,,,,,,,,,,,,
6,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
7,,,,,,41,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,,,,,,,,,,結婚式会費,10E200150,交際費,,,,12000.0,1090.0,S10,標準10%,10A100020,現金及び預金,,,,12000.0,0.0,O,対象外,,,,,,
7,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
7,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
8,,,,,,134,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,,,,,,,,,,用紙,10E201110,事務用消耗品費,,,,15600.0,1418.0,S10,標準10%,10A100020,現金及び預金,,,,15600.0,0.0,O,対象外,,,,,,
8,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
8,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
9,,,,,,310,2021-04-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,,,,,,,,,,ガソリン代,10E201120,車両費,,,,6486.0,589.0,S10,標準10%,10A100020,現金及び預金,,,,17401.0,0.0,O,対象外,,,,,,
9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
9,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
9,2.0,,,,,,,,,,高速代,10E201120,車両費,,,,9715.0,883.0,S10,標準10%,,,,,,,,,,,,,,,
9,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
9,3.0,,,,,,,,,,駐車代,10E201120,車両費,,,,1200.0,109.0,S10,標準10%,,,,,,,,,,,,,,,
9,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
10,,,,,,76,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,,,,,,,,,,制服代,10E200140,福利厚生費,,,,56000.0,5090.0,S10,標準10%,10B100630,未払金,,,,56000.0,0.0,O,対象外,,,,,,
10,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
10,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
11,,,,,,133,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.0,,,,,,,,,,税理士報酬,10E200600,支払報酬,,,,139710.0,12700.0,S10,標準10%,10A100020,現金及び預金,,,,139710.0,0.0,O,対象外,,,,,,
11,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
11,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
11,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
12,,,,,,139,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,,,,,,,,,,制服代,10E200140,福利厚生費,,,,55630.0,5057.0,S10,標準10%,10B100630,未払金,,,,55630.0,0.0,O,対象外,,,,,,
12,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
12,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
13,,,,,,254,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,,,,,,,,,,4月5日伝票No190株式会社 渡辺産業,10A100020,現金及び預金,,,,2959035.0,0.0,O,対象外,10A100090,売掛金,,,,2959035.0,0.0,O,対象外,,,,,,
13,1.0,,1.0,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,,,,,,,,,,
13,1.0,,,,1.0,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,sub-account,,,,,,,,,,
13,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
13,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
13,2.0,,,,,,,,,,4月5日伝票No190株式会社 渡辺産業,10E200690,支払手数料,,,,630.0,57.0,S10,標準10%,10A100090,売掛金,,,,630.0,0.0,O,対象外,,,,,,
13,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,sub-account,,,,,,,,,,
13,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
13,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
14,,,,,,255,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,,,,,,,,,,4月5日伝票No191佐々木販売株式会社,10A100020,現金及び預金,,,,1508295.0,0.0,O,対象外,10A100090,売掛金,,,,1508295.0,0.0,O,対象外,,,,,,
14,1.0,,1.0,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,,,,,,,,,,
14,1.0,,,,1.0,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,sub-account,,,,,,,,,,
14,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
14,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
14,2.0,,,,,,,,,,4月5日伝票No191佐々木販売株式会社,10E200690,支払手数料,,,,472.0,42.0,S10,標準10%,10A100090,売掛金,,,,472.0,0.0,O,対象外,,,,,,
14,2.0,,,,1.0,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,sub-account,,,,,,,,,,
14,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
14,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
15,,,,,,256,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,,,,,,,,,,4月5日伝票No192岩下物産株式会社,10A100020,現金及び預金,,,,2171384.0,0.0,O,対象外,10A100090,売掛金,,,,2171384.0,0.0,O,対象外,,,,,,
15,1.0,,1.0,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,,,,,,,,,,
15,1.0,,,,1.0,,,,,,,,,,,,,,,,,,27,岩下物産㈱,sub-account,,,,,,,,,,
15,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
15,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
15,2.0,,,,,,,,,,4月5日伝票No192岩下物産株式会社,10E200690,支払手数料,,,,735.0,66.0,S10,標準10%,10A100090,売掛金,,,,735.0,0.0,O,対象外,,,,,,
15,2.0,,,,1.0,,,,,,,,,,,,,,,,,,27,岩下物産㈱,sub-account,,,,,,,,,,
15,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
15,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
16,,,,,,10,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,,,,,,,,,,ガソリン代,10E201120,車両費,,,,4224.0,384.0,S10,標準10%,10A100020,現金及び預金,,,,4224.0,0.0,O,対象外,,,,,,
16,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
16,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
17,,,,,,42,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,,,,,,,,,,昼食代 フロンティホテル,10E200150,交際費,,,,4650.0,422.0,S10,標準10%,10A100020,現金及び預金,,,,4650.0,0.0,O,対象外,,,,,,
17,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
17,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
18,,,,,,84,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,,,,,,,,,,切手代,10E200180,通信費,,,,70000.0,6363.0,S10,標準10%,10A100020,現金及び預金,,,,70000.0,0.0,O,対象外,,,,,,
18,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
18,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
19,,,,,,106,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,,,,,,,,,,食事代 ホテルララダ2名,10E200150,交際費,,,,5372.0,488.0,S10,標準10%,10A100020,現金及び預金,,,,36020.0,0.0,O,対象外,,,,,,
19,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
19,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
19,2.0,,,,,,,,,,飲食代 スナック北新地,10E200150,交際費,,,,30648.0,2786.0,S10,標準10%,,,,,,,,,,,,,,,
19,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
20,,,,,,110,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,,,,,,,,,,タクシー代,10E201230,旅費及び交通費,,,,2290.0,208.0,S10,標準10%,10A100020,現金及び預金,,,,2290.0,0.0,O,対象外,,,,,,
20,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
20,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
21,,,,,,123,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,,,,,,,,,,切手代,10E200180,通信費,,,,40000.0,3636.0,S10,標準10%,10A100020,現金及び預金,,,,40000.0,0.0,O,対象外,,,,,,
21,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
21,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
22,,,,,,124,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,,,,,,,,,,収入印紙,10E200210,租税公課,,,,6000.0,0.0,O,対象外,10A100020,現金及び預金,,,,6000.0,0.0,O,対象外,,,,,,
22,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
22,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
23,,,,,,147,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,,,,,,,,,,ガソリン代,10E201120,車両費,,,,5126.0,466.0,S10,標準10%,10B100630,未払金,,,,5126.0,0.0,O,対象外,,,,,,
23,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
23,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
24,,,,,,156,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,,,,,,,,,,出張旅費,10E201230,旅費及び交通費,,,,7500.0,681.0,S10,標準10%,10A100020,現金及び預金,,,,7500.0,0.0,O,対象外,,,,,,
24,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
24,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
25,,,,,,236,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,,,,,,,,,,ゴルフプレー代2名,10E200150,交際費,,,,26500.0,2409.0,S10,標準10%,10A100020,現金及び預金,,,,26500.0,0.0,O,対象外,,,,,,
25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
25,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
26,,,,,,305,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,,,,,,,,,,資金移動,10A100020,現金及び預金,,,,1000000.0,0.0,O,対象外,10A100020,現金及び預金,,,,1000000.0,0.0,O,対象外,,,,,,
26,1.0,,1.0,,,,,,,,,,,40,三菱東京 梅田,sub-account,,,,,,,,,,,,,,,,,,,
26,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
26,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
26,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
27,,,,,,20,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,39000.0,3545.0,S10,標準10%,10A100020,現金及び預金,,,,39000.0,0.0,O,対象外,,,,,,
27,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
27,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
28,,,,,,21,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,,,,,,,,,,JR代,10E201230,旅費及び交通費,,,,69500.0,6318.0,S10,標準10%,10A100020,現金及び預金,,,,69500.0,0.0,O,対象外,,,,,,
28,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
28,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
29,,,,,,22,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,50000.0,4545.0,S10,標準10%,10A100020,現金及び預金,,,,50000.0,0.0,O,対象外,,,,,,
29,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
29,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
30,,,,,,43,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,,,,,,,,,,手土産代 阿部商事,10E200150,交際費,,,,6630.0,602.0,S10,標準10%,10A100020,現金及び預金,,,,6630.0,0.0,O,対象外,,,,,,
30,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
30,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
31,,,,,,56,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,21500.0,1954.0,S10,標準10%,10A100020,現金及び預金,,,,21500.0,0.0,O,対象外,,,,,,
31,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
31,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
32,,,,,,57,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,,,,,,,,,,JR代,10E201230,旅費及び交通費,,,,97800.0,8890.0,S10,標準10%,10A100020,現金及び預金,,,,97800.0,0.0,O,対象外,,,,,,
32,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
32,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
33,,,,,,58,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,,,,,,,,,,旅費,10E201230,旅費及び交通費,,,,70000.0,6363.0,S10,標準10%,10A100020,現金及び預金,,,,70000.0,0.0,O,対象外,,,,,,
33,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
33,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
34,,,,,,69,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,,,,,,,,,,お茶代,10E201270,雑費,,,,1332.0,121.0,S10,標準10%,10A100020,現金及び預金,,,,4171.0,0.0,O,対象外,,,,,,
34,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
34,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
34,2.0,,,,,,,,,,コーヒー代,10E201270,雑費,,,,2839.0,258.0,S10,標準10%,,,,,,,,,,,,,,,
34,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
35,,,,,,102,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,,,,,,,,,,手土産代 阿部商店,10E200150,交際費,,,,1050.0,95.0,S10,標準10%,10A100020,現金及び預金,,,,1050.0,0.0,O,対象外,,,,,,
35,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
35,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
36,,,,,,50,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,,,,,,,,,,高速代,10E201120,車両費,,,,1200.0,109.0,S10,標準10%,10A100020,現金及び預金,,,,1200.0,0.0,O,対象外,,,,,,
36,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
36,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
37,,,,,,143,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,,,,,,,,,,ガソリン代,10E201120,車両費,,,,7135.0,648.0,S10,標準10%,10A100020,現金及び預金,,,,7135.0,0.0,O,対象外,,,,,,
37,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
37,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
38,,,,,,33,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,,,,,,,,,,家賃支払い,10E200720,地代家賃,,,,320000.0,29090.0,S10,標準10%,10A100020,現金及び預金,,,,320000.0,0.0,O,対象外,,,,,,
38,1.0,,,,1.0,,,,,,,,,,,,,,,,,,10,北海道 駅前,sub-account,,,,,,,,,,
38,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
38,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
38,2.0,,,,,,,,,,電話代,10E200180,通信費,,,,164130.0,14920.0,S10,標準10%,10A100020,現金及び預金,,,,164130.0,0.0,O,対象外,,,,,,
38,2.0,,,,1.0,,,,,,,,,,,,,,,,,,10,北海道 駅前,sub-account,,,,,,,,,,
38,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
38,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
39,,,,,,85,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,,,,,,,,,,電話代,10E200180,通信費,,,,129188.0,11744.0,S10,標準10%,10A100020,現金及び預金,,,,129188.0,0.0,O,対象外,,,,,,
39,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,
39,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
39,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
40,,,,,,112,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,,,,,,,,,,電話代,10E200180,通信費,,,,246816.0,22437.0,S10,標準10%,10A100020,現金及び預金,,,,246816.0,0.0,O,対象外,,,,,,
40,1.0,,,,1.0,,,,,,,,,,,,,,,,,,40,三菱東京 梅田,sub-account,,,,,,,,,,
40,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
40,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
41,,,,,,129,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,,,,,,,,,,家賃支払い,10E200720,地代家賃,,,,399000.0,36272.0,S10,標準10%,10A100020,現金及び預金,,,,399000.0,0.0,O,対象外,,,,,,
41,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,
41,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
41,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
42,,,,,,149,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,,,,,,,,,,食事代 うどん亭4名,10E200150,交際費,,,,5760.0,523.0,S10,標準10%,10A100020,現金及び預金,,,,5760.0,0.0,O,対象外,,,,,,
42,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
42,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
43,,,,,,157,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
43,1.0,,,,,,,,,,航空券代,10E201230,旅費及び交通費,,,,22200.0,2018.0,S10,標準10%,10A100020,現金及び預金,,,,22200.0,0.0,O,対象外,,,,,,
43,1.0,,,,1.0,,,,,,,,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,
43,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
43,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
44,,,,,,162,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
44,1.0,,,,,,,,,,会議 食事代,10E201130,会議費,,,,24995.0,2272.0,S10,標準10%,10A100020,現金及び預金,,,,24995.0,0.0,O,対象外,,,,,,
44,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
44,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
45,,,,,,167,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
45,1.0,,,,,,,,,,家賃支払い,10E200720,地代家賃,,,,630000.0,57272.0,S10,標準10%,10A100020,現金及び預金,,,,630000.0,0.0,O,対象外,,,,,,
45,1.0,,,,1.0,,,,,,,,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,
