JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
13,2,,,,,,,,,,4月5日伝票No190株式会社 渡辺産業,741,支払手数料,,,,630,57,Q5,仕入10%,152,売掛金,,,,630,0,00,対象外,,,,,,
13,2,,,,1,,,,,,,,,,,,,,,,,,22,㈱渡辺産業,sub-account,,,,,,,,,,
13,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
13,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
14,,,,,,255,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,,,,,,,,4月5日伝票No191佐々木販売株式会社,131,普通預金,,,,1508295,0,00,対象外,152,売掛金,,,,1508295,0,00,対象外,,,,,,
14,1,,1,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,,,,,,,,,,
14,1,,,,1,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,sub-account,,,,,,,,,,
14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
14,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
14,2,,,,,,,,,,4月5日伝票No191佐々木販売株式会社,741,支払手数料,,,,472,42,Q5,仕入10%,152,売掛金,,,,472,0,00,対象外,,,,,,
14,2,,,,1,,,,,,,,,,,,,,,,,,26,佐々木販売㈱,sub-account,,,,,,,,,,
14,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
14,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
15,,,,,,256,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,,,,,,,,4月5日伝票No192岩下物産株式会社,131,普通預金,,,,2171384,0,00,対象外,152,売掛金,,,,2171384,0,00,対象外,,,,,,
15,1,,1,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,,,,,,,,,,
15,1,,,,1,,,,,,,,,,,,,,,,,,27,岩下物産㈱,sub-account,,,,,,,,,,
15,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
15,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
15,2,,,,,,,,,,4月5日伝票No192岩下物産株式会社,741,支払手数料,,,,735,66,Q5,仕入10%,152,売掛金,,,,735,0,00,対象外,,,,,,
15,2,,,,1,,,,,,,,,,,,,,,,,,27,岩下物産㈱,sub-account,,,,,,,,,,
15,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
15,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
16,,,,,,10,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,,,,,,,,ガソリン代,740,車両費,,,,4224,384,Q5,仕入10%,111,現金,,,,4224,0,00,対象外,,,,,,
16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
16,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
17,,,,,,42,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,,,,,,,,昼食代 フロンティホテル,733,交際接待費,,,,4650,422,Q5,仕入10%,111,現金,,,,4650,0,00,対象外,,,,,,
17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
17,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
18,,,,,,84,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,,切手代,727,通信費,,,,70000,6363,Q5,仕入10%,111,現金,,,,70000,0,00,対象外,,,,,,
18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
18,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
19,,,,,,106,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,,,,,,,,,,食事代 ホテルララダ2名,733,交際接待費,,,,5372,488,Q5,仕入10%,111,現金,,,,36020,0,00,対象外,,,,,,
19,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
19,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
19,2,,,,,,,,,,飲食代 スナック北新地,733,交際接待費,,,,30648,2786,Q5,仕入10%,,,,,,,,,,,,,,,
19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
20,,,,,,110,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,,,,,,,,,,タクシー代,726,旅費交通費,,,,2290,208,Q5,仕入10%,111,現金,,,,2290,0,00,対象外,,,,,,
20,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
21,,,,,,123,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,,,,,,,,,,切手代,727,通信費,,,,40000,3636,Q5,仕入10%,111,現金,,,,40000,0,00,対象外,,,,,,
21,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
21,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
22,,,,,,124,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,,,,,,,,,,収入印紙,738,租税公課,,,,6000,0,00,対象外,111,現金,,,,6000,0,00,対象外,,,,,,
22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
23,,,,,,147,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,,,,,,,,,,ガソリン代,740,車両費,,,,5126,466,Q5,仕入10%,322,未払金,,,,5126,0,00,対象外,,,,,,
23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
23,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
24,,,,,,156,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,,,,,,,,,,出張旅費,726,旅費交通費,,,,7500,681,Q5,仕入10%,111,現金,,,,7500,0,00,対象外,,,,,,
24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
24,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
25,,,,,,236,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
25,1,,,,,,,,,,ゴルフプレー代2名,733,交際接待費,,,,26500,2409,Q5,仕入10%,111,現金,,,,26500,0,00,対象外,,,,,,
25,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
25,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
26,,,,,,305,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,,,,,,,,,,資金移動,131,普通預金,,,,1000000,0,00,対象外,131,普通預金,,,,1000000,0,00,対象外,,,,,,
26,1,,1,,,,,,,,,,,40,三菱東京 梅田,sub-account,,,,,,,,,,,,,,,,,,,
26,1,,,,1,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
26,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
26,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
27,,,,,,20,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,,,,,,,,,,旅費,726,旅費交通費,,,,39000,3545,Q5,仕入10%,111,現金,,,,39000,0,00,対象外,,,,,,
27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
27,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
28,,,,,,21,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,,,,,,,,,,JR代,726,旅費交通費,,,,69500,6318,Q5,仕入10%,111,現金,,,,69500,0,00,対象外,,,,,,
28,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
28,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
29,,,,,,22,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,旅費,726,旅費交通費,,,,50000,4545,Q5,仕入10%,111,現金,,,,50000,0,00,対象外,,,,,,
29,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
29,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
30,,,,,,43,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,,,,,,,,,,手土産代 阿部商事,733,交際接待費,,,,6630,602,Q5,仕入10%,111,現金,,,,6630,0,00,対象外,,,,,,
30,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
30,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
31,,,,,,56,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,,,,,,,,,,旅費,726,旅費交通費,,,,21500,1954,Q5,仕入10%,111,現金,,,,21500,0,00,対象外,,,,,,
31,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
31,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
32,,,,,,57,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
32,1,,,,,,,,,,JR代,726,旅費交通費,,,,97800,8890,Q5,仕入10%,111,現金,,,,97800,0,00,対象外,,,,,,
32,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
32,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
33,,,,,,58,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
33,1,,,,,,,,,,旅費,726,旅費交通費,,,,70000,6363,Q5,仕入10%,111,現金,,,,70000,0,00,対象外,,,,,,
33,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
33,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
34,,,,,,69,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,,,,,,,,,,お茶代,791,雑費,,,,1332,121,Q5,仕入10%,111,現金,,,,4171,0,00,対象外,,,,,,
34,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
34,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
34,2,,,,,,,,,,コーヒー代,791,雑費,,,,2839,258,Q5,仕入10%,,,,,,,,,,,,,,,
34,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
35,,,,,,102,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,,,,,,,,,,手土産代 阿部商店,733,交際接待費,,,,1050,95,Q5,仕入10%,111,現金,,,,1050,0,00,対象外,,,,,,
35,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
35,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
36,,,,,,50,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
36,1,,,,,,,,,,高速代,740,車両費,,,,1200,109,Q5,仕入10%,111,現金,,,,1200,0,00,対象外,,,,,,
36,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
36,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
37,,,,,,143,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,,,,,,,,,,ガソリン代,740,車両費,,,,7135,648,Q5,仕入10%,111,現金,,,,7135,0,00,対象外,,,,,,
37,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
37,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
38,,,,,,33,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,,,,,,,,,,家賃支払い,747,地代家賃,,,,320000,29090,Q5,仕入10%,131,普通預金,,,,320000,0,00,対象外,,,,,,
38,1,,,,1,,,,,,,,,,,,,,,,,,10,北海道 駅前,sub-account,,,,,,,,,,
38,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
38,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
38,2,,,,,,,,,,電話代,727,通信費,,,,164130,14920,Q5,仕入10%,131,普通預金,,,,164130,0,00,対象外,,,,,,
38,2,,,,1,,,,,,,,,,,,,,,,,,10,北海道 駅前,sub-account,,,,,,,,,,
38,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,札幌営業所,department,,,
38,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
39,,,,,,85,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,,,,,,,,,,電話代,727,通信費,,,,129188,11744,Q5,仕入10%,131,普通預金,,,,129188,0,00,対象外,,,,,,
39,1,,,,1,,,,,,,,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,
39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
39,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
40,,,,,,112,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,,,,,,,,,,電話代,727,通信費,,,,246816,22437,Q5,仕入10%,131,普通預金,,,,246816,0,00,対象外,,,,,,
40,1,,,,1,,,,,,,,,,,,,,,,,,40,三菱東京 梅田,sub-account,,,,,,,,,,
40,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,大阪支店,department,,,
40,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
41,,,,,,129,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,家賃支払い,747,地代家賃,,,,399000,36272,Q5,仕入10%,131,普通預金,,,,399000,0,00,対象外,,,,,,
41,1,,,,1,,,,,,,,,,,,,,,,,,30,三井 名古屋,sub-account,,,,,,,,,,
41,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
41,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
42,,,,,,149,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,,,,,,,,,,食事代 うどん亭4名,733,交際接待費,,,,5760,523,Q5,仕入10%,111,現金,,,,5760,0,00,対象外,,,,,,
42,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,名古屋支店,department,,,
42,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
43,,,,,,157,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
43,1,,,,,,,,,,航空券代,726,旅費交通費,,,,22200,2018,Q5,仕入10%,131,普通預金,,,,22200,0,00,対象外,,,,,,
43,1,,,,1,,,,,,,,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,
43,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
43,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
44,,,,,,162,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,会議 食事代,734,会議費,,,,24995,2272,Q5,仕入10%,111,現金,,,,24995,0,00,対象外,,,,,,
44,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
44,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
45,,,,,,167,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
45,1,,,,,,,,,,家賃支払い,747,地代家賃,,,,630000,57272,Q5,仕入10%,131,普通預金,,,,630000,0,00,対象外,,,,,,
45,1,,,,1,,,,,,,,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,
45,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
45,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
45,2,,,,,,,,,,電話代,727,通信費,,,,166012,15092,Q5,仕入10%,131,普通預金,,,,166012,0,00,対象外,,,,,,
45,2,,,,1,,,,,,,,,,,,,,,,,,50,福岡 北九州,sub-account,,,,,,,,,,
45,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
45,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
46,,,,,,168,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,,,,,,,,,,有線,791,雑費,,,,6000,545,Q5,仕入10%,322,未払金,,,,48858,0,00,対象外,,,,,,
46,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
46,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
46,2,,,,,,,,,,警備料,791,雑費,,,,42858,3896,Q5,仕入10%,,,,,,,,,,,,,,,
46,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,九州営業所,department,,,
47,,,,,,231,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
47,1,,,,,,,,,,源泉税支払,326,預り金,,,,224870,0,00,対象外,131,普通預金,,,,692570,0,00,対象外,,,,,,
47,1,,1,,,,,,,,,,,3,源泉税,sub-account,,,,,,,,,,,,,,,,,,,
47,1,,,,1,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
47,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
47,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
47,2,,,,,,,,,,住民税支払,326,預り金,,,,467700,0,00,対象外,,,,,,,,,,,,,,,
47,2,,1,,,,,,,,,,,2,住民税,sub-account,,,,,,,,,,,,,,,,,,,
47,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department,,,
48,,,,,,232,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
48,1,,,,,,,,,,家賃支払,747,地代家賃,,,,1260000,114545,Q5,仕入10%,131,普通預金,,,,1260000,0,00,対象外,,,,,,
48,1,,,,1,,,,,,,,,,,,,,,,,,20,みずほ 本店,sub-account,,,,,,,,,,
48,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,東京支店,department,,,
48,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,共通部門,department
49,,,,,,233,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
