JP07a,JP08a,BS04c5,JP05a,BS04c6,JP05b,JP07a_GL02_01,JP07a_GL02_03,GE03dl_01,GL05c_01,BS15c_01,JP08a_GL03_03,JP06b_BS16_01,JP06b_BS16_02,JP05a_01,JP05a_02,JP05a_03,GE05gP_01,GE05gS_01,JP02c_BS28_01,JP02c_BS28_02,JP06d_BS16_01,JP06d_BS16_02,JP05b_01,JP05b_02,JP05b_03,GE05hX_01,GE05h0_01,JP02d_BS28_01,JP02d_BS28_02,BS04c5_01,BS04c5_02,BS04c5_03,BS04c6_01,BS04c6_02,BS04c6_03
5,,,,,,122,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.0,,,,,,,,,,Certificate issuance fee,10E200180,Communication expenses,,,,1050.0,95.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1050.0,0.0,O,-,,,,,,
5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
5,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
6,,,,,,142,2021-04-02,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,2458.0,223.0,S10,Standard 10%,10A100020,Cash and deposits,,,,13384.0,0.0,O,-,,,,,,
6,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
6,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
6,2.0,,,,,,,,,,Parking Fee,10E201120,Vehicle expenses,,,,591.0,53.0,S10,Standard 10%,,,,,,,,,,,,,,,
6,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
6,3.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4620.0,420.0,S10,Standard 10%,,,,,,,,,,,,,,,
6,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
6,4.0,,,,,,,,,,Car wash fee,10E201120,Vehicle expenses,,,,5715.0,519.0,S10,Standard 10%,,,,,,,,,,,,,,,
6,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
7,,,,,,41,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.0,,,,,,,,,,Wedding fee,10E200150,Entertainment expenses,,,,12000.0,1090.0,S10,Standard 10%,10A100020,Cash and deposits,,,,12000.0,0.0,O,-,,,,,,
7,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
7,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
8,,,,,,134,2021-04-03,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.0,,,,,,,,,,Paper,10E201110,Office supplies expenses,,,,15600.0,1418.0,S10,Standard 10%,10A100020,Cash and deposits,,,,15600.0,0.0,O,-,,,,,,
8,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
8,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
9,,,,,,310,2021-04-04,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
9,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,6486.0,589.0,S10,Standard 10%,10A100020,Cash and deposits,,,,17401.0,0.0,O,-,,,,,,
9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
9,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
9,2.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,9715.0,883.0,S10,Standard 10%,,,,,,,,,,,,,,,
9,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
9,3.0,,,,,,,,,,Parking Fee,10E201120,Vehicle expenses,,,,1200.0,109.0,S10,Standard 10%,,,,,,,,,,,,,,,
9,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
10,,,,,,76,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.0,,,,,,,,,,Uniform Cost,10E200140,Welfare expenses,,,,56000.0,5090.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,56000.0,0.0,O,-,,,,,,
10,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
10,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
11,,,,,,133,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
11,1.0,,,,,,,,,,Tax Accountant Fee,10E200600,Fee expenses,,,,139710.0,12700.0,S10,Standard 10%,10A100020,Cash and deposits,,,,139710.0,0.0,O,-,,,,,,
11,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
11,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
11,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
12,,,,,,139,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
12,1.0,,,,,,,,,,Uniform Cost,10E200140,Welfare expenses,,,,55630.0,5057.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,55630.0,0.0,O,-,,,,,,
12,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
12,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
13,,,,,,254,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
13,1.0,,,,,,,,,,"April 5th Slip No. 190 Watanabe Industries Co., Ltd.",10A100020,Cash and deposits,,,,2959035.0,0.0,O,-,10A100090,Accounts receivable - trade,,,,2959035.0,0.0,O,-,,,,,,
13,1.0,,1.0,,,,,,,,,,,50,Fukuoka Kitakyushu,sub-account,,,,,,,,,,,,,,,,,,,
13,1.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,
13,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
13,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
13,2.0,,,,,,,,,,"April 5th Slip No. 190 Watanabe Industries Co., Ltd.",10E200690,Commission expenses,,,,630.0,57.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,630.0,0.0,O,-,,,,,,
13,2.0,,,,1.0,,,,,,,,,,,,,,,,,,22,"Watanabe Industries Co., Ltd.",sub-account,,,,,,,,,,
13,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
13,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
14,,,,,,255,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.0,,,,,,,,,,"April 5th Slip No. 191 Sasaki Sales Co., Ltd.",10A100020,Cash and deposits,,,,1508295.0,0.0,O,-,10A100090,Accounts receivable - trade,,,,1508295.0,0.0,O,-,,,,,,
14,1.0,,1.0,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,,,,,,,,,,
14,1.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,
14,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
14,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
14,2.0,,,,,,,,,,"April 5th Slip No. 191 Sasaki Sales Co., Ltd.",10E200690,Commission expenses,,,,472.0,42.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,472.0,0.0,O,-,,,,,,
14,2.0,,,,1.0,,,,,,,,,,,,,,,,,,26,"Sasaki Sales Co., Ltd.",sub-account,,,,,,,,,,
14,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
14,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
15,,,,,,256,2021-04-05,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.0,,,,,,,,,,"April 5th Slip No. 192 Iwashita Trading Co., Ltd.",10A100020,Cash and deposits,,,,2171384.0,0.0,O,-,10A100090,Accounts receivable - trade,,,,2171384.0,0.0,O,-,,,,,,
15,1.0,,1.0,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,,,,,,,,,,
15,1.0,,,,1.0,,,,,,,,,,,,,,,,,,27,"Iwashita Trading Co., Ltd.",sub-account,,,,,,,,,,
15,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
15,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
15,2.0,,,,,,,,,,"April 5th Slip No. 192 Iwashita Trading Co., Ltd.",10E200690,Commission expenses,,,,735.0,66.0,S10,Standard 10%,10A100090,Accounts receivable - trade,,,,735.0,0.0,O,-,,,,,,
15,2.0,,,,1.0,,,,,,,,,,,,,,,,,,27,"Iwashita Trading Co., Ltd.",sub-account,,,,,,,,,,
15,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
15,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
16,,,,,,10,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,4224.0,384.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4224.0,0.0,O,-,,,,,,
16,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
16,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
17,,,,,,42,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.0,,,,,,,,,,Lunch Fronti Hotel,10E200150,Entertainment expenses,,,,4650.0,422.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4650.0,0.0,O,-,,,,,,
17,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
17,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
18,,,,,,84,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,,,,,,,,,,Postage Cost,10E200180,Communication expenses,,,,70000.0,6363.0,S10,Standard 10%,10A100020,Cash and deposits,,,,70000.0,0.0,O,-,,,,,,
18,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
18,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
19,,,,,,106,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,,,,,,,,,,Meal Cost Hotel Lalada 2 People,10E200150,Entertainment expenses,,,,5372.0,488.0,S10,Standard 10%,10A100020,Cash and deposits,,,,36020.0,0.0,O,-,,,,,,
19,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
19,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
19,2.0,,,,,,,,,,Food and drink fee Snack Kitashinchi,10E200150,Entertainment expenses,,,,30648.0,2786.0,S10,Standard 10%,,,,,,,,,,,,,,,
19,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
20,,,,,,110,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,,,,,,,,,,Taxi Fare,10E201230,Travel and transportation expenses,,,,2290.0,208.0,S10,Standard 10%,10A100020,Cash and deposits,,,,2290.0,0.0,O,-,,,,,,
20,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
20,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
21,,,,,,123,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,,,,,,,,,,Postage Cost,10E200180,Communication expenses,,,,40000.0,3636.0,S10,Standard 10%,10A100020,Cash and deposits,,,,40000.0,0.0,O,-,,,,,,
21,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
21,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
22,,,,,,124,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,,,,,,,,,,Revenue Stamp,10E200210,Taxes and dues,,,,6000.0,0.0,O,-,10A100020,Cash and deposits,,,,6000.0,0.0,O,-,,,,,,
22,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
22,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
23,,,,,,147,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,5126.0,466.0,S10,Standard 10%,10B100630,Accounts payable - other,,,,5126.0,0.0,O,-,,,,,,
23,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
23,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
24,,,,,,156,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,,,,,,,,,,Business Trip Expense,10E201230,Travel and transportation expenses,,,,7500.0,681.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7500.0,0.0,O,-,,,,,,
24,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,Kyushu Sales Office,department,,,
24,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
25,,,,,,236,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,,,,,,,,,,Golf play fee 2 people,10E200150,Entertainment expenses,,,,26500.0,2409.0,S10,Standard 10%,10A100020,Cash and deposits,,,,26500.0,0.0,O,-,,,,,,
25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
25,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
26,,,,,,305,2021-04-06,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,,,,,,,,,,Fund Transfer,10A100020,Cash and deposits,,,,1000000.0,0.0,O,-,10A100020,Cash and deposits,,,,1000000.0,0.0,O,-,,,,,,
26,1.0,,1.0,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,,,,,,,,,,
26,1.0,,,,1.0,,,,,,,,,,,,,,,,,,20,Mizuho Main Branch,sub-account,,,,,,,,,,
26,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department,,,
26,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
27,,,,,,20,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,39000.0,3545.0,S10,Standard 10%,10A100020,Cash and deposits,,,,39000.0,0.0,O,-,,,,,,
27,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
27,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
28,,,,,,21,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,69500.0,6318.0,S10,Standard 10%,10A100020,Cash and deposits,,,,69500.0,0.0,O,-,,,,,,
28,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
28,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
29,,,,,,22,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,50000.0,4545.0,S10,Standard 10%,10A100020,Cash and deposits,,,,50000.0,0.0,O,-,,,,,,
29,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
29,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
30,,,,,,43,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,,,,,,,,,,Subjects Abe Shoji,10E200150,Entertainment expenses,,,,6630.0,602.0,S10,Standard 10%,10A100020,Cash and deposits,,,,6630.0,0.0,O,-,,,,,,
30,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
30,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
31,,,,,,56,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,21500.0,1954.0,S10,Standard 10%,10A100020,Cash and deposits,,,,21500.0,0.0,O,-,,,,,,
31,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
31,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
32,,,,,,57,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,,,,,,,,,,JR,10E201230,Travel and transportation expenses,,,,97800.0,8890.0,S10,Standard 10%,10A100020,Cash and deposits,,,,97800.0,0.0,O,-,,,,,,
32,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
32,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
33,,,,,,58,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,,,,,,,,,,Travel Expenses,10E201230,Travel and transportation expenses,,,,70000.0,6363.0,S10,Standard 10%,10A100020,Cash and deposits,,,,70000.0,0.0,O,-,,,,,,
33,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
33,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
34,,,,,,69,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,,,,,,,,,,Tea Cost,10E201270,Miscellaneous expenses,,,,1332.0,121.0,S10,Standard 10%,10A100020,Cash and deposits,,,,4171.0,0.0,O,-,,,,,,
34,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
34,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
34,2.0,,,,,,,,,,Coffee Cost,10E201270,Miscellaneous expenses,,,,2839.0,258.0,S10,Standard 10%,,,,,,,,,,,,,,,
34,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
35,,,,,,102,2021-04-07,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,,,,,,,,,,Subjects Abe Shoten,10E200150,Entertainment expenses,,,,1050.0,95.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1050.0,0.0,O,-,,,,,,
35,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
35,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
36,,,,,,50,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,,,,,,,,,,Highway Toll,10E201120,Vehicle expenses,,,,1200.0,109.0,S10,Standard 10%,10A100020,Cash and deposits,,,,1200.0,0.0,O,-,,,,,,
36,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,020,Tokyo Branch,department,,,
36,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
37,,,,,,143,2021-04-08,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,,,,,,,,,,Gasoline Cost,10E201120,Vehicle expenses,,,,7135.0,648.0,S10,Standard 10%,10A100020,Cash and deposits,,,,7135.0,0.0,O,-,,,,,,
37,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
37,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
38,,,,,,33,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,320000.0,29090.0,S10,Standard 10%,10A100020,Cash and deposits,,,,320000.0,0.0,O,-,,,,,,
38,1.0,,,,1.0,,,,,,,,,,,,,,,,,,10,Hokkaido Station Front,sub-account,,,,,,,,,,
38,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
38,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
38,2.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,164130.0,14920.0,S10,Standard 10%,10A100020,Cash and deposits,,,,164130.0,0.0,O,-,,,,,,
38,2.0,,,,1.0,,,,,,,,,,,,,,,,,,10,Hokkaido Station Front,sub-account,,,,,,,,,,
38,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,Sapporo Sales Office,department,,,
38,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
39,,,,,,85,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,129188.0,11744.0,S10,Standard 10%,10A100020,Cash and deposits,,,,129188.0,0.0,O,-,,,,,,
39,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,
39,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
39,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
40,,,,,,112,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,,,,,,,,,,Telephone Cost,10E200180,Communication expenses,,,,246816.0,22437.0,S10,Standard 10%,10A100020,Cash and deposits,,,,246816.0,0.0,O,-,,,,,,
40,1.0,,,,1.0,,,,,,,,,,,,,,,,,,40,Mitsubishi Tokyo Umeda,sub-account,,,,,,,,,,
40,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,040,Osaka Branch,department,,,
40,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
41,,,,,,129,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
41,1.0,,,,,,,,,,Rent Payment,10E200720,Rent expenses on land and buildings,,,,399000.0,36272.0,S10,Standard 10%,10A100020,Cash and deposits,,,,399000.0,0.0,O,-,,,,,,
41,1.0,,,,1.0,,,,,,,,,,,,,,,,,,30,Mitsui Nagoya,sub-account,,,,,,,,,,
41,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
41,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
42,,,,,,149,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0,,,,,,,,,,Meal Cost Udon Tei 4 People,10E200150,Entertainment expenses,,,,5760.0,523.0,S10,Standard 10%,10A100020,Cash and deposits,,,,5760.0,0.0,O,-,,,,,,
42,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,030,Nagoya Branch,department,,,
42,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,Common Department,department
43,,,,,,157,2021-04-10,2021-02-01,1,21,,,,,,,,,,,,,,,,,,,,,,,,,
