sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1033,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Accounts Payable,0,User,GE18d_01,/AP01a_GE01_01/GE18d_01,$.Account Payable Adjustment.Accounting Ledger.Activities.(Posted) Activity.User.ID,AcntPblAdjstLedgr.Acts.PstdAct.Usr.Id,,
1034,2,C,,Amounts,,0..1,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",Accounts Payable,0,Amounts,GE06a,/AP01a_GE01_01/GE06a,$.Account Payable Adjustment.Accounting Ledger.Amounts,AcntPblAdjstLedgr.Amnts,,
1035,3,C,,(Functional) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Functional) Amount,GE05a,/AP01a_GE01_01/GE05a,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Functional) Amount,AcntPblAdjstLedgr.Amnts.FnctnAmt,,
1036,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Functional) Amount,GE05a_01,/AP01a_GE01_01/GE05a_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Functional) Amount.Value,AcntPblAdjstLedgr.Amnts.FnctnAmt.Val,,
1037,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01a,/AP01a_GE01_01/BS01a,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Functional) Amount.Currency,AcntPblAdjstLedgr.Amnts.FnctnAmt.Cur,,
1038,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01a_01,/AP01a_GE01_01/BS01a_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Functional) Amount.Currency.Code,AcntPblAdjstLedgr.Amnts.FnctnAmt.Cur.Cd,,
1039,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Local) Amount,GE05b,/AP01a_GE01_01/GE05b,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Local) Amount,AcntPblAdjstLedgr.Amnts.LclAmt,,
1040,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Local) Amount,GE05b_01,/AP01a_GE01_01/GE05b_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Local) Amount.Value,AcntPblAdjstLedgr.Amnts.LclAmt.Val,,
1041,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01b,/AP01a_GE01_01/BS01b,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Local) Amount.Currency,AcntPblAdjstLedgr.Amnts.LclAmt.Cur,,
1042,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01b_01,/AP01a_GE01_01/BS01b_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Local) Amount.Currency.Code,AcntPblAdjstLedgr.Amnts.LclAmt.Cur.Cd,,
1043,3,C,,(Reporting) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Reporting) Amount,GE05c,/AP01a_GE01_01/GE05c,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Reporting) Amount,AcntPblAdjstLedgr.Amnts.ReprtAmt,,
1044,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Reporting) Amount,GE05c_01,/AP01a_GE01_01/GE05c_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Reporting) Amount.Value,AcntPblAdjstLedgr.Amnts.ReprtAmt.Val,,
1045,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01c,/AP01a_GE01_01/BS01c,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Reporting) Amount.Currency,AcntPblAdjstLedgr.Amnts.ReprtAmt.Cur,,
1046,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01c_01,/AP01a_GE01_01/BS01c_01,$.Account Payable Adjustment.Accounting Ledger.Amounts.(Reporting) Amount.Currency.Code,AcntPblAdjstLedgr.Amnts.ReprtAmt.Cur.Cd,,
1047,2,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Transaction) Amount,GE05d,/AP01a_GE01_01/GE05d,$.Account Payable Adjustment.Accounting Ledger.(Transaction) Amount,AcntPblAdjstLedgr.TrnscAmt,,
1048,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Transaction) Amount,GE05d_01,/AP01a_GE01_01/GE05d_01,$.Account Payable Adjustment.Accounting Ledger.(Transaction) Amount.Value,AcntPblAdjstLedgr.TrnscAmt.Val,,
1049,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01d,/AP01a_GE01_01/BS01d,$.Account Payable Adjustment.Accounting Ledger.(Transaction) Amount.Currency,AcntPblAdjstLedgr.TrnscAmt.Cur,,
1050,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01d_01,/AP01a_GE01_01/BS01d_01,$.Account Payable Adjustment.Accounting Ledger.(Transaction) Amount.Currency.Code,AcntPblAdjstLedgr.TrnscAmt.Cur.Cd,,
1051,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Accounts Payable,4,Business Segment,BS04a,/AP01a_GE01_01/BS04a,$.Account Payable Adjustment.Accounting Ledger.Business Segment,AcntPblAdjstLedgr.BusSg,,
1052,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Accounts Payable,4,Business Segment,BS04a_01,/AP01a_GE01_01/BS04a/BS04a_01,$.Account Payable Adjustment.Accounting Ledger.Business Segment.Code,AcntPblAdjstLedgr.BusSg.Cd,,
1053,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Accounts Payable,4,Business Segment,BS04a_03,/AP01a_GE01_01/BS04a/BS04a_03,$.Account Payable Adjustment.Accounting Ledger.Business Segment.Segment Reference Level,AcntPblAdjstLedgr.BusSg.SgRefLevl,,
1054,2,C,,Tax,,0..*,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Payable,0,Tax,GE13a,/AP01a_GE01_01/GE13a,$.Account Payable Adjustment.Accounting Ledger.Tax,AcntPblAdjstLedgr.Tx,,
1055,3,R,,Tax Type,,0..1,,"The reference association to the Tax Type class, which is a class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Accounts Payable,42,Tax Type,BS09a,/AP01a_GE01_01/GE13a/BS09a,$.Account Payable Adjustment.Accounting Ledger.Tax.Tax Type,AcntPblAdjstLedgr.Tx.TxTyp,,
1056,4,A,REF,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Accounts Payable,42,Tax Type,BS09a_01,/AP01a_GE01_01/GE13a/BS09a_01,$.Account Payable Adjustment.Accounting Ledger.Tax.Tax Type.Code,AcntPblAdjstLedgr.Tx.TxTyp.Cd,,
1057,3,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Credit) Ledger Account,GE24c,/AP01a_GE01_01/GE13a/GE24c,$.Account Payable Adjustment.Accounting Ledger.Tax.(Credit) Ledger Account,AcntPblAdjstLedgr.Tx.CrdtLedgrAcnt,,
1058,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Credit) Ledger Account,GE24c_01,/AP01a_GE01_01/GE13a/GE24c_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Credit) Ledger Account.Account Number,AcntPblAdjstLedgr.Tx.CrdtLedgrAcnt.AcntNr,,
1059,3,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Debit) Ledger Account,GE24d,/AP01a_GE01_01/GE13a/GE24d,$.Account Payable Adjustment.Accounting Ledger.Tax.(Debit) Ledger Account,AcntPblAdjstLedgr.Tx.DebtLedgrAcnt,,
1060,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Debit) Ledger Account,GE24d_01,/AP01a_GE01_01/GE13a/GE24d_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Debit) Ledger Account.Account Number,AcntPblAdjstLedgr.Tx.DebtLedgrAcnt.AcntNr,,
1061,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Local) Amount,GE05e,/AP01a_GE01_01/GE13a/GE05e,$.Account Payable Adjustment.Accounting Ledger.Tax.(Local) Amount,AcntPblAdjstLedgr.Tx.LclAmt,,
1062,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Local) Amount,GE05e_01,/AP01a_GE01_01/GE13a/GE05e_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Local) Amount.Value,AcntPblAdjstLedgr.Tx.LclAmt.Val,,
1063,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01e,/AP01a_GE01_01/GE13a/BS01e,$.Account Payable Adjustment.Accounting Ledger.Tax.(Local) Amount.Currency,AcntPblAdjstLedgr.Tx.LclAmt.Cur,,
1064,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01e_01,/AP01a_GE01_01/GE13a/BS01e_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Local) Amount.Currency.Code,AcntPblAdjstLedgr.Tx.LclAmt.Cur.Cd,,
1065,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Transaction) Amount,GE05f,/AP01a_GE01_01/GE13a/GE05f,$.Account Payable Adjustment.Accounting Ledger.Tax.(Transaction) Amount,AcntPblAdjstLedgr.Tx.TrnscAmt,,
1066,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Transaction) Amount,GE05f_01,/AP01a_GE01_01/GE13a/GE05f_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Transaction) Amount.Value,AcntPblAdjstLedgr.Tx.TrnscAmt.Val,,
1067,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01f,/AP01a_GE01_01/GE13a/BS01f,$.Account Payable Adjustment.Accounting Ledger.Tax.(Transaction) Amount.Currency,AcntPblAdjstLedgr.Tx.TrnscAmt.Cur,,
1068,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01f_01,/AP01a_GE01_01/GE13a/BS01f_01,$.Account Payable Adjustment.Accounting Ledger.Tax.(Transaction) Amount.Currency.Code,AcntPblAdjstLedgr.Tx.TrnscAmt.Cur.Cd,,
1069,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Accounts Payable,0,ID,AP02a_GE02_01,/AP02a_GE02_01,$.Account Payable Adjustment Line.Accounting Ledger Line.ID,AcntPblAdjLnaccLedgrLn.Id,,
1070,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Accounts Payable,0,Accounting Ledger Line,AP02b_GE02_01,/AP02a_GE02_01/AP02b_GE02_01,$.Account Payable Adjustment Line.Accounting Ledger Line.ID,AcntPblAdjLnaccLedgrLn.Id,,
1071,2,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",Accounts Payable,0,Accounting Ledger Line,AP02c_GE02_02,/AP02a_GE02_01/AP02c_GE02_02,$.Account Payable Adjustment Line.Accounting Ledger Line.Number,AcntPblAdjLnaccLedgrLn.Nr,,
1072,2,R,,General Ledger Journal Entry Line,,0..1,,"The reference association to the General Ledger Journal Entry Line class, which is a class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,52,General Ledger Journal Entry Line,GL04b,/AP02a_GE02_01/GL04b,$.Account Payable Adjustment Line.Accounting Ledger Line.General Ledger Journal Entry Line,AcntPblAdjLnaccLedgrLn.GenrLedgrJrnEntryLn,,
1073,3,A,REF,Journal ID,Identifier,1..1,Identifier Long,"Unique identifier for each journal entry line.
",Accounts Payable,52,General Ledger Journal Entry Line,GL04b_01,/AP02a_GE02_01/GL04b_01,$.Account Payable Adjustment Line.Accounting Ledger Line.General Ledger Journal Entry Line.Journal ID,AcntPblAdjLnaccLedgrLn.GenrLedgrJrnEntryLn.JrnId,,
1074,2,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Credit) Ledger Account,GE24e,/AP02a_GE02_01/GE24e,$.Account Payable Adjustment Line.Accounting Ledger Line.(Credit) Ledger Account,AcntPblAdjLnaccLedgrLn.CrdtLedgrAcnt,,
1075,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Credit) Ledger Account,GE24e_01,/AP02a_GE02_01/GE24e_01,$.Account Payable Adjustment Line.Accounting Ledger Line.(Credit) Ledger Account.Account Number,AcntPblAdjLnaccLedgrLn.CrdtLedgrAcnt.AcntNr,,
1076,2,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Accounts Payable,0,(Debit) Ledger Account,GE24f,/AP02a_GE02_01/GE24f,$.Account Payable Adjustment Line.Accounting Ledger Line.(Debit) Ledger Account,AcntPblAdjLnaccLedgrLn.DebtLedgrAcnt,,
1077,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Accounts Payable,0,(Debit) Ledger Account,GE24f_01,/AP02a_GE02_01/GE24f_01,$.Account Payable Adjustment Line.Accounting Ledger Line.(Debit) Ledger Account.Account Number,AcntPblAdjLnaccLedgrLn.DebtLedgrAcnt.AcntNr,,
1078,2,C,,Amounts,,0..1,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",Accounts Payable,0,Amounts,GE06b,/AP02a_GE02_01/GE06b,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts,AcntPblAdjLnaccLedgrLn.Amnts,,
1079,3,C,,(Functional) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Functional) Amount,GE05g,/AP02a_GE02_01/GE05g,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts.(Functional) Amount,AcntPblAdjLnaccLedgrLn.Amnts.FnctnAmt,,
1080,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Accounts Payable,0,(Functional) Amount,GE05g_01,/AP02a_GE02_01/GE05g_01,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts.(Functional) Amount.Value,AcntPblAdjLnaccLedgrLn.Amnts.FnctnAmt.Val,,
1081,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Accounts Payable,30,Currency,BS01g,/AP02a_GE02_01/BS01g,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts.(Functional) Amount.Currency,AcntPblAdjLnaccLedgrLn.Amnts.FnctnAmt.Cur,,
1082,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Accounts Payable,30,Currency,BS01g_01,/AP02a_GE02_01/BS01g_01,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts.(Functional) Amount.Currency.Code,AcntPblAdjLnaccLedgrLn.Amnts.FnctnAmt.Cur.Cd,,
1083,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Accounts Payable,0,(Local) Amount,GE05h,/AP02a_GE02_01/GE05h,$.Account Payable Adjustment Line.Accounting Ledger Line.Amounts.(Local) Amount,AcntPblAdjLnaccLedgrLn.Amnts.LclAmt,,
