sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local
1032,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS29c,/PR01a_GE09_01/BS29c,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.User,PurCntrc.Acts.LastMdfdAct.Usr,,
1033,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS29c_01,/PR01a_GE09_01/BS29c_01,$.Purchase Contract.Contract.Activities.(Last Modified) Activity.User.ID,PurCntrc.Acts.LastMdfdAct.Usr.Id,,
1034,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Posted) Activity,GE03d,/PR01a_GE09_01/GE03d,$.Purchase Contract.Contract.Activities.(Posted) Activity,PurCntrc.Acts.PstdAct,,
1035,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Posted) Activity,GE03d_01,/PR01a_GE09_01/GE03d_01,$.Purchase Contract.Contract.Activities.(Posted) Activity.Date,PurCntrc.Acts.PstdAct.Dt,,
1036,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Posted) Activity,GE03d_02,/PR01a_GE09_01/GE03d_02,$.Purchase Contract.Contract.Activities.(Posted) Activity.Time,PurCntrc.Acts.PstdAct.Tm,,
1037,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS29d,/PR01a_GE09_01/BS29d,$.Purchase Contract.Contract.Activities.(Posted) Activity.User,PurCntrc.Acts.PstdAct.Usr,,
1038,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS29d_01,/PR01a_GE09_01/BS29d_01,$.Purchase Contract.Contract.Activities.(Posted) Activity.User.ID,PurCntrc.Acts.PstdAct.Usr.Id,,
1039,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS04a,/PR01a_GE09_01/BS04a,$.Purchase Contract.Contract.Business Segment,PurCntrc.BusSg,,
1040,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS04a_01,/PR01a_GE09_01/BS04a/BS04a_01,$.Purchase Contract.Contract.Business Segment.Code,PurCntrc.BusSg.Cd,,
1041,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS04a_03,/PR01a_GE09_01/BS04a/BS04a_03,$.Purchase Contract.Contract.Business Segment.Segment Reference Level,PurCntrc.BusSg.SgRefLevl,,
1042,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Purchase,0,ID,PR02a_GE10_01,/PR02a_GE10_01,$.Purchase Contract Line.Contract Line.ID,PurContrLncntLn.Id,,
1043,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within a contract.,Purchase,0,Contract Line,PR02b_GE10_01,/PR02a_GE10_01/PR02b_GE10_01,$.Purchase Contract Line.Contract Line.ID,PurContrLncntLn.Id,,
1044,2,A,,Number,Char,0..1,Char Short,"The number for a specific line within a contract, enabling distinction and reference.",Purchase,0,Contract Line,PR02c_GE10_02,/PR02a_GE10_01/PR02c_GE10_02,$.Purchase Contract Line.Contract Line.Number,PurContrLncntLn.Nr,,
1045,2,A,,Due Date,Date,0..1,DATE,The final date by which delivery of products or materials is requested.,Purchase,0,Contract Line,PR02d_GE10_03,/PR02a_GE10_01/PR02d_GE10_03,$.Purchase Contract Line.Contract Line.Due Date,PurContrLncntLn.DDt,,
1046,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract line item's lifecycle.,Purchase,0,Contract Line,PR02e_GE10_04,/PR02a_GE10_01/PR02e_GE10_04,$.Purchase Contract Line.Contract Line.Status,PurContrLncntLn.Stat,,
1047,2,R,,(Settlement Organization) Business Segment,,0..1,,"The reference association to the Settlement Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Settlement Organization) Business Segment,BS04b,/PR02a_GE10_01/BS04b,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment,PurContrLncntLn.SettlOrgnzBusSg,,
1048,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Settlement Organization) Business Segment,BS04b_01,/PR02a_GE10_01/BS04b_01,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment.Code,PurContrLncntLn.SettlOrgnzBusSg.Cd,,
1049,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Settlement Organization) Business Segment,BS04b_03,/PR02a_GE10_01/BS04b_03,$.Purchase Contract Line.Contract Line.(Settlement Organization) Business Segment.Segment Reference Level,PurContrLncntLn.SettlOrgnzBusSg.SgRefLevl,,
1050,2,R,,Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",Purchase,125,Inventory Product,IV06a,/PR02a_GE10_01/IV06a,$.Purchase Contract Line.Contract Line.Inventory Product,PurContrLncntLn.InvPrdct,,
1051,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,Purchase,125,Inventory Product,IV06a_01,/PR02a_GE10_01/IV06a_01,$.Purchase Contract Line.Contract Line.Inventory Product.ID,PurContrLncntLn.InvPrdct.Id,,
1052,2,C,,(Tax Exclude) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Exclude) Amount,GE05a,/PR02a_GE10_01/GE05a,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount,PurContrLncntLn.TaxExcldAmt,,
1053,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Exclude) Amount,GE05a_01,/PR02a_GE10_01/GE05a_01,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Value,PurContrLncntLn.TaxExcldAmt.Val,,
1054,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06b,/PR02a_GE10_01/BS06b,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Currency,PurContrLncntLn.TaxExcldAmt.Cur,,
1055,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06b_01,/PR02a_GE10_01/BS06b_01,$.Purchase Contract Line.Contract Line.(Tax Exclude) Amount.Currency.Code,PurContrLncntLn.TaxExcldAmt.Cur.Cd,,
1056,2,C,,(Tax Exclude Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Exclude Unit Price) Amount,GE05b,/PR02a_GE10_01/GE05b,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount,PurContrLncntLn.TaxExclUntPrcAmt,,
1057,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Exclude Unit Price) Amount,GE05b_01,/PR02a_GE10_01/GE05b_01,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Value,PurContrLncntLn.TaxExclUntPrcAmt.Val,,
1058,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06c,/PR02a_GE10_01/BS06c,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency,PurContrLncntLn.TaxExclUntPrcAmt.Cur,,
1059,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06c_01,/PR02a_GE10_01/BS06c_01,$.Purchase Contract Line.Contract Line.(Tax Exclude Unit Price) Amount.Currency.Code,PurContrLncntLn.TaxExclUntPrcAmt.Cur.Cd,,
1060,2,C,,(Tax Include) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Include) Amount,GE05c,/PR02a_GE10_01/GE05c,$.Purchase Contract Line.Contract Line.(Tax Include) Amount,PurContrLncntLn.TaxIncldAmt,,
1061,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Include) Amount,GE05c_01,/PR02a_GE10_01/GE05c_01,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Value,PurContrLncntLn.TaxIncldAmt.Val,,
1062,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06d,/PR02a_GE10_01/BS06d,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Currency,PurContrLncntLn.TaxIncldAmt.Cur,,
1063,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06d_01,/PR02a_GE10_01/BS06d_01,$.Purchase Contract Line.Contract Line.(Tax Include) Amount.Currency.Code,PurContrLncntLn.TaxIncldAmt.Cur.Cd,,
1064,2,C,,(Tax Include Unit Price) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Tax Include Unit Price) Amount,GE05d,/PR02a_GE10_01/GE05d,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount,PurContrLncntLn.TaxInclUntPrcAmt,,
1065,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Tax Include Unit Price) Amount,GE05d_01,/PR02a_GE10_01/GE05d_01,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Value,PurContrLncntLn.TaxInclUntPrcAmt.Val,,
1066,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06e,/PR02a_GE10_01/BS06e,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency,PurContrLncntLn.TaxInclUntPrcAmt.Cur,,
1067,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06e_01,/PR02a_GE10_01/BS06e_01,$.Purchase Contract Line.Contract Line.(Tax Include Unit Price) Amount.Currency.Code,PurContrLncntLn.TaxInclUntPrcAmt.Cur.Cd,,
1068,2,C,,Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,Quantity,GE15a,/PR02a_GE10_01/GE15a,$.Purchase Contract Line.Contract Line.Quantity,PurContrLncntLn.Qt,,
1069,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,Quantity,GE15a_01,/PR02a_GE10_01/GE15a_01,$.Purchase Contract Line.Contract Line.Quantity.Value,PurContrLncntLn.Qt.Val,,
1070,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS18a,/PR02a_GE10_01/BS18a,$.Purchase Contract Line.Contract Line.Quantity.Measurement Unit,PurContrLncntLn.Qt.MeaUnt,,
1071,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,Measurement Unit,BS18a_01,/PR02a_GE10_01/BS18a_01,$.Purchase Contract Line.Contract Line.Quantity.Measurement Unit.UOM Code,PurContrLncntLn.Qt.MeaUnt.UomCd,,
1072,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS04c,/PR02a_GE10_01/BS04c,$.Purchase Contract Line.Contract Line.Business Segment,PurContrLncntLn.BusSg,,
1073,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS04c_01,/PR02a_GE10_01/BS04c/BS04c_01,$.Purchase Contract Line.Contract Line.Business Segment.Code,PurContrLncntLn.BusSg.Cd,,
1074,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS04c_03,/PR02a_GE10_01/BS04c/BS04c_03,$.Purchase Contract Line.Contract Line.Business Segment.Segment Reference Level,PurContrLncntLn.BusSg.SgRefLevl,,
1075,2,C,,Tax,,0..*,,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Purchase,0,Tax,GE16a,/PR02a_GE10_01/GE16a,$.Purchase Contract Line.Contract Line.Tax,PurContrLncntLn.Tx,,
1076,3,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",Purchase,20,(Credit) Ledger Account,BS16a,/PR02a_GE10_01/GE16a/BS16a,$.Purchase Contract Line.Contract Line.Tax.(Credit) Ledger Account,PurContrLncntLn.Tx.CrdtLedgrAcnt,,
1077,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Purchase,20,(Credit) Ledger Account,BS16a_01,/PR02a_GE10_01/GE16a/BS16a_01,$.Purchase Contract Line.Contract Line.Tax.(Credit) Ledger Account.Account Number,PurContrLncntLn.Tx.CrdtLedgrAcnt.AcntNr,,
1078,3,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",Purchase,20,(Debit) Ledger Account,BS16b,/PR02a_GE10_01/GE16a/BS16b,$.Purchase Contract Line.Contract Line.Tax.(Debit) Ledger Account,PurContrLncntLn.Tx.DebtLedgrAcnt,,
1079,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",Purchase,20,(Debit) Ledger Account,BS16b_01,/PR02a_GE10_01/GE16a/BS16b_01,$.Purchase Contract Line.Contract Line.Tax.(Debit) Ledger Account.Account Number,PurContrLncntLn.Tx.DebtLedgrAcnt.AcntNr,,
1080,3,R,,Tax Type,,0..1,,"The reference association to the Tax Type class, which is a class outlining detailed classifications of tax types that the business encounters, supporting accurate tax reporting and compliance.",Purchase,42,Tax Type,BS28a,/PR02a_GE10_01/GE16a/BS28a,$.Purchase Contract Line.Contract Line.Tax.Tax Type,PurContrLncntLn.Tx.TxTyp,,
1081,4,A,REF,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,Purchase,42,Tax Type,BS28a_01,/PR02a_GE10_01/GE16a/BS28a_01,$.Purchase Contract Line.Contract Line.Tax.Tax Type.Code,PurContrLncntLn.Tx.TxTyp.Cd,,
1082,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Local) Amount,GE05e,/PR02a_GE10_01/GE16a/GE05e,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount,PurContrLncntLn.Tx.LclAmt,,
1083,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Local) Amount,GE05e_01,/PR02a_GE10_01/GE16a/GE05e_01,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Value,PurContrLncntLn.Tx.LclAmt.Val,,
1084,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06f,/PR02a_GE10_01/GE16a/BS06f,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Currency,PurContrLncntLn.Tx.LclAmt.Cur,,
1085,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06f_01,/PR02a_GE10_01/GE16a/BS06f_01,$.Purchase Contract Line.Contract Line.Tax.(Local) Amount.Currency.Code,PurContrLncntLn.Tx.LclAmt.Cur.Cd,,
1086,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,Purchase,0,(Transaction) Amount,GE05f,/PR02a_GE10_01/GE16a/GE05f,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount,PurContrLncntLn.Tx.TrnscAmt,,
1087,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,Purchase,0,(Transaction) Amount,GE05f_01,/PR02a_GE10_01/GE16a/GE05f_01,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Value,PurContrLncntLn.Tx.TrnscAmt.Val,,
1088,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",Purchase,30,Currency,BS06g,/PR02a_GE10_01/GE16a/BS06g,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Currency,PurContrLncntLn.Tx.TrnscAmt.Cur,,
1089,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,Currency,BS06g_01,/PR02a_GE10_01/GE16a/BS06g_01,$.Purchase Contract Line.Contract Line.Tax.(Transaction) Amount.Currency.Code,PurContrLncntLn.Tx.TrnscAmt.Cur.Cd,,
1090,1,C,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Purchase,0,ID,PR03a_GE11_01,/PR03a_GE11_01,$.Purchase Invoice.Invoice.ID,PurInvci.Id,,
1091,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an invoice.,Purchase,0,Invoice,PR03b_GE11_01,/PR03a_GE11_01/PR03b_GE11_01,$.Purchase Invoice.Invoice.ID,PurInvci.Id,,
1092,2,A,,Number,Char,0..1,Char Long,The number for an invoice.,Purchase,0,Invoice,PR03c_GE11_02,/PR03a_GE11_01/PR03c_GE11_02,$.Purchase Invoice.Invoice.Number,PurInvci.Nr,,
1093,2,A,,Official Invoice Code,Char,0..1,Char Short,The identifier for an invoice that is assigned by tax authorities.,Purchase,0,Invoice,PR03d_GE11_03,/PR03a_GE11_01/PR03d_GE11_03,$.Purchase Invoice.Invoice.Official Invoice Code,PurInvci.OffclInvoiCd,,
1094,2,A,,Type Name,Name,0..1,Name Short,The descriptor that categorizes the nature of an invoice.,Purchase,0,Invoice,PR03e_GE11_04,/PR03a_GE11_01/PR03e_GE11_04,$.Purchase Invoice.Invoice.Type Name,PurInvci.TypNam,,
1095,2,A,,Date,Date,0..1,DATE,The official date recorded on an invoice which initiates the calculation period for payment due.,Purchase,0,Invoice,PR03f_GE11_05,/PR03a_GE11_01/PR03f_GE11_05,$.Purchase Invoice.Invoice.Date,PurInvci.Dt,,
1096,2,A,,Due Date,Date,0..1,DATE,The date by which payment for an invoice is required.,Purchase,0,Invoice,PR03g_GE11_06,/PR03a_GE11_01/PR03g_GE11_06,$.Purchase Invoice.Invoice.Due Date,PurInvci.DDt,,
1097,2,A,,Terms Discount Percentage,Decimal,0..1,Percent,The percentage of discount offered by a supplier when payment is made within the specified discount days.,Purchase,0,Invoice,PR03h_GE11_07,/PR03a_GE11_01/PR03h_GE11_07,$.Purchase Invoice.Invoice.Terms Discount Percentage,PurInvci.TermsDscntPerc,,
