sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path
3760,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an employee.,JP,8,(Purchaser) Employee,BS14h_01,/JP17a/BS14h_01,/JP Purchase Order/(Purchaser) Employee/ID
3761,2,C,,Supplier,,0..1,,A class containing essential information about suppliers.,JP,18,Supplier,BS23q,/JP17a/BS23q,/JP Purchase Order/Supplier
3762,3,A,PK,Account ID,Identifier,1..1,Identifier Long,The unique identifier for a supplier account.,JP,18,Supplier,BS23q_01,/JP17a/BS23q_01,/JP Purchase Order/Supplier/Account ID
3763,3,A,,Account Number,Char,0..1,Char Long,The number for a supplier's account.,JP,18,Supplier,BS23q_02,/JP17a/BS23q_02,/JP Purchase Order/Supplier/Account Number
3764,3,A,,Account Name,Name,0..1,Name Medium,The legal or registered name of the supplier.,JP,18,Supplier,BS23q_03,/JP17a/BS23q_03,/JP Purchase Order/Supplier/Account Name
3765,3,A,,Abbreviation,Name,0..1,Name Medium,The shortened form of the supplier's name.,JP,18,Supplier,BS23q_04,/JP17a/BS23q_04,/JP Purchase Order/Supplier/Abbreviation
3766,3,A,,TIN,Char,0..1,TAX IDENTIFICATION NUMBER,The tax identification number assigned to the supplier by tax authorities.,JP,18,Supplier,BS23q_05,/JP17a/BS23q_05,/JP Purchase Order/Supplier/TIN
3767,3,A,,Group,Char,0..1,Char Long,The classification of the supplier within an organization's segmentation system.,JP,18,Supplier,BS23q_06,/JP17a/BS23q_06,/JP Purchase Order/Supplier/Group
3768,3,A,,Inactive Date,Date,0..1,DATE,"The date marking the change of a supplier's status to inactive due to factors such as credit limit exceedance, legal constraints, contract cessation, or insolvency.",JP,18,Supplier,BS23q_07,/JP17a/BS23q_07,/JP Purchase Order/Supplier/Inactive Date
3769,3,A,,Terms Discount Percentage,Decimal,0..1,Percent,The percentage of discount offered by a supplier when payment is made within the specified discount days.,JP,18,Supplier,BS23q_08,/JP17a/BS23q_08,/JP Purchase Order/Supplier/Terms Discount Percentage
3770,3,A,,Terms Discount Days,Integer,0..1,INTEGER,"The number of days from the invoice date that the customer is eligible for the discount if payment is made.
",JP,18,Supplier,BS23q_09,/JP17a/BS23q_09,/JP Purchase Order/Supplier/Terms Discount Days
3771,3,A,,Terms Due Days,Integer,0..1,INTEGER,The standard time period in days before a customer's payment is considered overdue.,JP,18,Supplier,BS23q_10,/JP17a/BS23q_10,/JP Purchase Order/Supplier/Terms Due Days
3772,3,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",JP,0,Activities,GE02a0,/JP17a/GE02a0,/JP Purchase Order/Supplier/Activities
3773,4,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Approved) Activity,GE03dg,/JP17a/GE03dg,/JP Purchase Order/Supplier/Activities/(Approved) Activity
3774,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Approved) Activity,GE03dg_01,/JP17a/GE03dg_01,/JP Purchase Order/Supplier/Activities/(Approved) Activity/Date
3775,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Approved) Activity,GE03dg_02,/JP17a/GE03dg_02,/JP Purchase Order/Supplier/Activities/(Approved) Activity/Time
3776,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29di,/JP17a/BS29di,/JP Purchase Order/Supplier/Activities/(Approved) Activity/User
3777,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29di_01,/JP17a/BS29di_01,/JP Purchase Order/Supplier/Activities/(Approved) Activity/User/ID
3778,4,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Created) Activity,GE03dh,/JP17a/GE03dh,/JP Purchase Order/Supplier/Activities/(Created) Activity
3779,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Created) Activity,GE03dh_01,/JP17a/GE03dh_01,/JP Purchase Order/Supplier/Activities/(Created) Activity/Date
3780,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Created) Activity,GE03dh_02,/JP17a/GE03dh_02,/JP Purchase Order/Supplier/Activities/(Created) Activity/Time
3781,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dj,/JP17a/BS29dj,/JP Purchase Order/Supplier/Activities/(Created) Activity/User
3782,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dj_01,/JP17a/BS29dj_01,/JP Purchase Order/Supplier/Activities/(Created) Activity/User/ID
3783,4,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Last Modified) Activity,GE03di,/JP17a/GE03di,/JP Purchase Order/Supplier/Activities/(Last Modified) Activity
3784,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Last Modified) Activity,GE03di_01,/JP17a/GE03di_01,/JP Purchase Order/Supplier/Activities/(Last Modified) Activity/Date
3785,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Last Modified) Activity,GE03di_02,/JP17a/GE03di_02,/JP Purchase Order/Supplier/Activities/(Last Modified) Activity/Time
3786,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dk,/JP17a/BS29dk,/JP Purchase Order/Supplier/Activities/(Last Modified) Activity/User
3787,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dk_01,/JP17a/BS29dk_01,/JP Purchase Order/Supplier/Activities/(Last Modified) Activity/User/ID
3788,4,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,JP,0,(Posted) Activity,GE03dj,/JP17a/GE03dj,/JP Purchase Order/Supplier/Activities/(Posted) Activity
3789,5,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",JP,0,(Posted) Activity,GE03dj_01,/JP17a/GE03dj_01,/JP Purchase Order/Supplier/Activities/(Posted) Activity/Date
3790,5,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,JP,0,(Posted) Activity,GE03dj_02,/JP17a/GE03dj_02,/JP Purchase Order/Supplier/Activities/(Posted) Activity/Time
3791,5,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",JP,10,User,BS29dl,/JP17a/BS29dl,/JP Purchase Order/Supplier/Activities/(Posted) Activity/User
3792,6,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",JP,10,User,BS29dl_01,/JP17a/BS29dl_01,/JP Purchase Order/Supplier/Activities/(Posted) Activity/User/ID
3793,3,C,,(Billing) Address,,0..1,,A class that specifies the location details of an individual or entity.,JP,0,(Billing) Address,GE04f,/JP17a/GE04f,/JP Purchase Order/Supplier/(Billing) Address
3794,4,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,JP,0,(Billing) Address,GE04f_01,/JP17a/GE04f_01,/JP Purchase Order/Supplier/(Billing) Address/Street Address1
3795,4,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",JP,0,(Billing) Address,GE04f_02,/JP17a/GE04f_02,/JP Purchase Order/Supplier/(Billing) Address/Street Address2
3796,4,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,JP,0,(Billing) Address,GE04f_03,/JP17a/GE04f_03,/JP Purchase Order/Supplier/(Billing) Address/City Name
3797,4,A,,State Province Code,Code,0..1,STATE PROVINCE CODE,The code for the state or province of the address as specified by ISO 3166-2.,JP,0,(Billing) Address,GE04f_04,/JP17a/GE04f_04,/JP Purchase Order/Supplier/(Billing) Address/State Province Code
3798,4,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,JP,0,(Billing) Address,GE04f_05,/JP17a/GE04f_05,/JP Purchase Order/Supplier/(Billing) Address/Postal Code
3799,4,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",JP,0,(Billing) Address,GE04f_06,/JP17a/GE04f_06,/JP Purchase Order/Supplier/(Billing) Address/Country Code
3800,3,C,,(Physical) Address,,0..1,,A class that specifies the location details of an individual or entity.,JP,0,(Physical) Address,GE04g,/JP17a/GE04g,/JP Purchase Order/Supplier/(Physical) Address
3801,4,A,,Street Address1,Name,0..1,Name Medium,The primary line of the street address.,JP,0,(Physical) Address,GE04g_01,/JP17a/GE04g_01,/JP Purchase Order/Supplier/(Physical) Address/Street Address1
3802,4,A,,Street Address2,Name,0..1,Name Medium,"The secondary line of the street address, if applicable.",JP,0,(Physical) Address,GE04g_02,/JP17a/GE04g_02,/JP Purchase Order/Supplier/(Physical) Address/Street Address2
3803,4,A,,City Name,Name,0..1,CITY NAME,The municipal designation within an address.,JP,0,(Physical) Address,GE04g_03,/JP17a/GE04g_03,/JP Purchase Order/Supplier/(Physical) Address/City Name
3804,4,A,,State Province Code,Code,0..1,STATE PROVINCE CODE,The code for the state or province of the address as specified by ISO 3166-2.,JP,0,(Physical) Address,GE04g_04,/JP17a/GE04g_04,/JP Purchase Order/Supplier/(Physical) Address/State Province Code
3805,4,A,,Postal Code,Code,0..1,POSTAL CODE,The code that identifies a specific geographic delivery area for an address.,JP,0,(Physical) Address,GE04g_05,/JP17a/GE04g_05,/JP Purchase Order/Supplier/(Physical) Address/Postal Code
3806,4,A,,Country Code,Code,0..1,COUNTRY CODE,"The official code representing the country of an address, as standardized by ISO 3166-1.",JP,0,(Physical) Address,GE04g_06,/JP17a/GE04g_06,/JP Purchase Order/Supplier/(Physical) Address/Country Code
3807,3,C,,(Total Credit Limit) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Total Credit Limit) Amount,GE05ft,/JP17a/GE05ft,/JP Purchase Order/Supplier/(Total Credit Limit) Amount
3808,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Total Credit Limit) Amount,GE05ft_01,/JP17a/GE05ft_01,/JP Purchase Order/Supplier/(Total Credit Limit) Amount/Value
3809,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gB,/JP17a/BS06gB,/JP Purchase Order/Supplier/(Total Credit Limit) Amount/Currency
3810,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gB_01,/JP17a/BS06gB_01,/JP Purchase Order/Supplier/(Total Credit Limit) Amount/Currency/Code
3811,3,C,,(Transaction Credit Limit) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Transaction Credit Limit) Amount,GE05fu,/JP17a/GE05fu,/JP Purchase Order/Supplier/(Transaction Credit Limit) Amount
3812,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Transaction Credit Limit) Amount,GE05fu_01,/JP17a/GE05fu_01,/JP Purchase Order/Supplier/(Transaction Credit Limit) Amount/Value
3813,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gC,/JP17a/BS06gC,/JP Purchase Order/Supplier/(Transaction Credit Limit) Amount/Currency
3814,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gC_01,/JP17a/BS06gC_01,/JP Purchase Order/Supplier/(Transaction Credit Limit) Amount/Currency/Code
3815,3,C,,(Primary) Contact,,0..1,,A class that details the communication information for an individual or entity.,JP,0,(Primary) Contact,GE08d,/JP17a/GE08d,/JP Purchase Order/Supplier/(Primary) Contact
3816,4,A,,Name,Name,0..1,Name Medium,The full name of an individual or entity that is a point of contact.,JP,0,(Primary) Contact,GE08d_01,/JP17a/GE08d_01,/JP Purchase Order/Supplier/(Primary) Contact/Name
3817,4,A,,Phone,Char,0..1,PHONE NUMBER,The telephone number associated with a contact.,JP,0,(Primary) Contact,GE08d_02,/JP17a/GE08d_02,/JP Purchase Order/Supplier/(Primary) Contact/Phone
3818,4,A,,Email,Char,0..1,EMAIL,The electronic mail address associated with a contact.,JP,0,(Primary) Contact,GE08d_03,/JP17a/GE08d_03,/JP Purchase Order/Supplier/(Primary) Contact/Email
3819,3,R,,(Corresponding) Customer,,0..1,,"The reference association to the Corresponding Customer class, which is a class holds basic and broad details about customers.",JP,14,(Corresponding) Customer,BS07n,/JP17a/BS07n,/JP Purchase Order/Supplier/(Corresponding) Customer
3820,4,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a customer account.,JP,14,(Corresponding) Customer,BS07n_01,/JP17a/BS07n_01,/JP Purchase Order/Supplier/(Corresponding) Customer/Account ID
3821,3,R,,Supplier Type,,0..1,,"The reference association to the Supplier Type class, which is a class with comprehensive descriptions of supplier classifications based on defined criteria.",JP,16,Supplier Type,BS25e,/JP17a/BS25e,/JP Purchase Order/Supplier/Supplier Type
3822,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for the type of supplier.,JP,16,Supplier Type,BS25e_01,/JP17a/BS25e_01,/JP Purchase Order/Supplier/Supplier Type/ID
3823,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",JP,4,Business Segment,BS04cU,/JP17a/BS04cU,/JP Purchase Order/Business Segment
3824,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,JP,4,Business Segment,BS04cU_01,/JP17a/BS04cU/BS04cU_01,/JP Purchase Order/Business Segment/Code
3825,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",JP,4,Business Segment,BS04cU_03,/JP17a/BS04cU/BS04cU_03,/JP Purchase Order/Business Segment/Segment Reference Level
3826,2,C,,Consumption Tax Subtotal,,0..*,,Consumption Tax Subtotal by Tax Category information.,JP,0,Consumption Tax Subtotal,JP03a,/JP17a/JP03a,/JP Purchase Order/Consumption Tax Subtotal
3827,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Local) Amount,GE05fv,/JP17a/JP03a/GE05fv,/JP Purchase Order/Consumption Tax Subtotal/(Local) Amount
3828,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Local) Amount,GE05fv_01,/JP17a/JP03a/GE05fv_01,/JP Purchase Order/Consumption Tax Subtotal/(Local) Amount/Value
3829,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gD,/JP17a/JP03a/BS06gD,/JP Purchase Order/Consumption Tax Subtotal/(Local) Amount/Currency
3830,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gD_01,/JP17a/JP03a/BS06gD_01,/JP Purchase Order/Consumption Tax Subtotal/(Local) Amount/Currency/Code
3831,3,C,,(Transaction) Amount,,0..1,,A class that specifies a value of money in a given currency.,JP,0,(Transaction) Amount,GE05gw,/JP17a/JP03a/GE05gw,/JP Purchase Order/Consumption Tax Subtotal/(Transaction) Amount
3832,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,JP,0,(Transaction) Amount,GE05gw_01,/JP17a/JP03a/GE05gw_01,/JP Purchase Order/Consumption Tax Subtotal/(Transaction) Amount/Value
3833,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",JP,30,Currency,BS06gE,/JP17a/JP03a/BS06gE,/JP Purchase Order/Consumption Tax Subtotal/(Transaction) Amount/Currency
3834,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,JP,30,Currency,BS06gE_01,/JP17a/JP03a/BS06gE_01,/JP Purchase Order/Consumption Tax Subtotal/(Transaction) Amount/Currency/Code
3835,3,R,,JP Ledger Account,,0..1,,"The reference association to the JP Ledger Account class, which is a class stores information about General Ledger accounts.",JP,0,JP Ledger Account,JP06a,/JP17a/JP03a/JP06a,/JP Purchase Order/Consumption Tax Subtotal/JP Ledger Account
3836,4,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",JP,20,JP Ledger Account,JP06a_BS16_01,/JP17a/JP03a/JP06a_BS16_01,/JP Purchase Order/Consumption Tax Subtotal/JP Ledger Account/Account Number
3837,3,C,,JP Tax Type,,0..1,,A class that has been updated to comply with the reporting requirements of the Japanese Tax Agency for consumption tax. This includes the inclusion of the tax category code to enhance specificity and adherence to regulatory standards.,JP,0,JP Tax Type,JP02a,/JP17a/JP03a/JP02a,/JP Purchase Order/Consumption Tax Subtotal/JP Tax Type
3838,4,A,PK,Code,Identifier,1..1,TAX TYPE CODE,The unique code used to classify a tax type.,JP,42,JP Tax Type,JP02a_BS28_01,/JP17a/JP03a/JP02a_BS28_01,/JP Purchase Order/Consumption Tax Subtotal/JP Tax Type/Code
