sequence,level,property_type,identifier,class_term,property_term,multiplicity,representation_term,domain_name,associated_class,definition,module,table,id,label_local,definition_local,xpath
378,2,Reference Association,,Account Payable Open Account,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,89,AP04_16,,,
370,2,Composition,,Account Payable Open Account,,0..1,,,Amounts,The multi-currency monetary amounts representing the Open Account transaction amount within a specified accounting period.,Accounts Payable,89,AP04_08,,,
371,2,Composition,,Account Payable Open Account,Balance,0..1,,,Amounts,The multi-currency monetary balance amounts representing the Open Account remaining balance unpaid or needing settlement.definition.,Accounts Payable,89,AP04_09,,,
379,1,Class,,Account Payable Payment Made,,,,,,"A class documents the details of payment transactions to suppliers, including payment amounts and dates, conducted during a specified period.",Accounts Payable,91,AP05,,,
380,2,Attribute,PK,Account Payable Payment Made,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a payment transaction.,Accounts Payable,91,AP05_01,,,
381,2,Attribute,,Account Payable Payment Made,Number,0..1,Char,Char Long,,The number for the transactional document associated with an accounts payable payment.,Accounts Payable,91,AP05_02,,,
382,2,Attribute,,Account Payable Payment Made,Payment Date,0..1,Date,DATE,,The date on which a payment to a supplier is recorded as made on the accounts payable.,Accounts Payable,91,AP05_03,,,
383,2,Attribute,,Account Payable Payment Made,Reference Number,0..1,Char,Char Long,,The number for a payment transaction for accounts payable.,Accounts Payable,91,AP05_04,,,
384,2,Attribute,,Account Payable Payment Made,Reference Date,0..1,Date,DATE,,The date associated with a payment transaction for accounts payable.,Accounts Payable,91,AP05_05,,,
385,2,Attribute,,Account Payable Payment Made,Debit or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",Accounts Payable,91,AP05_06,,,
386,2,Attribute,,Account Payable Payment Made,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the payments made in accounts payable.,Accounts Payable,91,AP05_07,,,
389,2,Reference Association,,Account Payable Payment Made,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Payable,91,AP05_10,,,
390,2,Reference Association,,Account Payable Payment Made,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Payable,91,AP05_11,,,
391,2,Reference Association,,Account Payable Payment Made,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Payable,91,AP05_12,,,
392,2,Reference Association,,Account Payable Payment Made,Credit,0..1,,,Ledger Account,The ledger account for payments made that result in credit to accounts payable.,Accounts Payable,91,AP05_13,,,
393,2,Reference Association,,Account Payable Payment Made,Debit,0..1,,,Ledger Account,The ledger account for payments made that result in a debit to accounts payable.,Accounts Payable,91,AP05_14,,,
394,2,Reference Association,,Account Payable Payment Made,,0..1,,,Project,"A class that provides a comprehensive record of a project's financial details and progress, related to made payments in accounts payable.",Accounts Payable,91,AP05_15,,,
395,2,Reference Association,,Account Payable Payment Made,,0..1,,,Purchase Contract,"A class encapsulating the aggregate details of purchase contracts including involved parties, terms, and specifics of the items to be procured.",Accounts Payable,91,AP05_16,,,
396,2,Reference Association,,Account Payable Payment Made,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Payable,91,AP05_17,,,
397,2,Reference Association,,Account Payable Payment Made,,0..1,,,Supplier,A class containing essential information about suppliers.,Accounts Payable,91,AP05_18,,,
387,2,Composition,,Account Payable Payment Made,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Payable,91,AP05_08,,,
388,2,Composition,,Account Payable Payment Made,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash paid amount within a specified accounting period.,Accounts Payable,91,AP05_09,,,
398,1,Class,,Account Receivable Adjustment,,,,,,"A class contains records of modifications to invoice balances, such as write-offs or credit memos, that occurred within a specified timeframe.",Accounts Receivable,67,AR01,,,
399,2,Attribute,PK,Account Receivable Adjustment,ID,1..1,Identifier,Identifier Long,,The unique identifier for the adjustment record.,Accounts Receivable,67,AR01_01,,,
400,2,Attribute,,Account Receivable Adjustment,Number,0..1,Char,Char Long,,"The number for an adjustment record, ensuring the uniqueness of each adjustment transaction.",Accounts Receivable,67,AR01_02,,,
401,2,Attribute,,Account Receivable Adjustment,Type Name,0..1,Name,Name Short,,Name of the method by which the transaction debit or credit amount was extinguished or apportioned to the debt by the supplier.,Accounts Receivable,67,AR01_03,,,
402,2,Attribute,,Account Receivable Adjustment,Document Number,0..1,Char,Char Long,,The number for a document associated with an adjustment.,Accounts Receivable,67,AR01_04,,,
403,2,Attribute,,Account Receivable Adjustment,Date,0..1,Date,DATE,,Date on which an adjustment is recorded.,Accounts Receivable,67,AR01_05,,,
408,2,Reference Association,,Account Receivable Adjustment,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Receivable,67,AR01_10,,,
409,2,Reference Association,,Account Receivable Adjustment,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,67,AR01_11,,,
410,2,Reference Association,,Account Receivable Adjustment,,0..1,,,Customer,A class that records basic customer information related to adjustments in accounts receivable.,Accounts Receivable,67,AR01_12,,,
411,2,Reference Association,,Account Receivable Adjustment,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,67,AR01_13,,,
412,2,Reference Association,,Account Receivable Adjustment,Credit,0..1,,,Ledger Account,The ledger account for credit adjustments to accounts receivable.,Accounts Receivable,67,AR01_14,,,
413,2,Reference Association,,Account Receivable Adjustment,Debit,0..1,,,Ledger Account,The ledger account for debit adjustments to accounts receivable.,Accounts Receivable,67,AR01_15,,,
414,2,Reference Association,,Account Receivable Adjustment,,0..1,,,Sales Invoice,"A class consolidating sales invoices generated, essential in the three-way matching process for reconciling orders and deliveries before recognizing revenue and processing accounts receivable.",Accounts Receivable,67,AR01_16,,,
404,2,Composition,,Account Receivable Adjustment,,0..*,,,Account Receivable Adjustment Line,A class details the impact of financial adjustments on specific line items within an invoice.,Accounts Receivable,67,AR01_06,,,
405,2,Composition,,Account Receivable Adjustment,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Receivable,67,AR01_07,,,
406,2,Composition,,Account Receivable Adjustment,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts receivable balances within a specified accounting period.,Accounts Receivable,67,AR01_08,,,
407,2,Composition,,Account Receivable Adjustment,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Receivable,67,AR01_09,,,
415,1,Class,,Account Receivable Adjustment Line,,,,,,A class details the impact of financial adjustments on specific line items within an invoice.,Accounts Receivable,69,AR02,,,
416,2,Attribute,PK,Account Receivable Adjustment Line,ID,1..1,Identifier,Identifier Medium,,The unique identifier for the line within an adjustment record.,Accounts Receivable,69,AR02_01,,,
417,2,Attribute,,Account Receivable Adjustment Line,Number,0..1,Char,Char Short,,The number of a line item within an account payable adjustment record,Accounts Receivable,69,AR02_02,,,
420,2,Reference Association,,Account Receivable Adjustment Line,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,69,AR02_05,,,
421,2,Reference Association,,Account Receivable Adjustment Line,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,69,AR02_06,,,
422,2,Reference Association,,Account Receivable Adjustment Line,Credit,0..1,,,Ledger Account,The ledger account line item for credit adjustments within accounts receivable.,Accounts Receivable,69,AR02_07,,,
423,2,Reference Association,,Account Receivable Adjustment Line,Debit,0..1,,,Ledger Account,The ledger account line item for debit adjustments within accounts receivable.,Accounts Receivable,69,AR02_08,,,
424,2,Reference Association,,Account Receivable Adjustment Line,,0..1,,,Sales Invoice,"A class consolidating sales invoices generated, essential in the three-way matching process for reconciling orders and deliveries before recognizing revenue and processing accounts receivable.",Accounts Receivable,69,AR02_09,,,
425,2,Reference Association,,Account Receivable Adjustment Line,,0..1,,,Sales Invoice Line,"A class detailing individual products on sales invoices, integral to the three-way matching process that ensures billing accuracy and proper revenue reporting.",Accounts Receivable,69,AR02_10,,,
418,2,Composition,,Account Receivable Adjustment Line,,0..1,,,Amounts,The multi-currency monetary amounts representing adjustments made to accounts receivable balances within a specified accounting period.,Accounts Receivable,69,AR02_03,,,
419,2,Composition,,Account Receivable Adjustment Line,,0..*,,,Tax,"A class maintaining records of tax implications and obligations, essential for legal compliance and financial planning.",Accounts Receivable,69,AR02_04,,,
426,1,Class,,Account Receivable Cash Application,,,,,,The class logs all payment transactions received during a certain period.,Accounts Receivable,65,AR03,,,
427,2,Attribute,PK,Account Receivable Cash Application,ID,1..1,Identifier,Identifier Long,,The unique identifier for the application of cash to an invoice in accounts receivable.,Accounts Receivable,65,AR03_01,,,
428,2,Attribute,,Account Receivable Cash Application,Date,0..1,Date,DATE,,Date on which a cash receipt is applied to an accounts receivable balance.,Accounts Receivable,65,AR03_02,,,
429,2,Attribute,,Account Receivable Cash Application,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the cash application in accounts receivable.,Accounts Receivable,65,AR03_03,,,
432,2,Reference Association,,Account Receivable Cash Application,,0..1,,,Account Receivable Cash Received,A class records all payment transactions received within a specific period.,Accounts Receivable,65,AR03_06,,,
433,2,Reference Association,,Account Receivable Cash Application,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Receivable,65,AR03_07,,,
434,2,Reference Association,,Account Receivable Cash Application,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,65,AR03_08,,,
435,2,Reference Association,,Account Receivable Cash Application,,0..1,,,Customer,A class that records basic customer information related to adjustments in accounts receivable.,Accounts Receivable,65,AR03_09,,,
436,2,Reference Association,,Account Receivable Cash Application,Credit,0..1,,,Ledger Account,The ledger account for cash credits applied to accounts receivable.,Accounts Receivable,65,AR03_10,,,
437,2,Reference Association,,Account Receivable Cash Application,Debit,0..1,,,Ledger Account,The ledger account for cash debits applied to accounts receivable.,Accounts Receivable,65,AR03_11,,,
438,2,Reference Association,,Account Receivable Cash Application,,0..1,,,Sales Invoice,"A class consolidating sales invoices generated, essential in the three-way matching process for reconciling orders and deliveries before recognizing revenue and processing accounts receivable.",Accounts Receivable,65,AR03_12,,,
439,2,Reference Association,,Account Receivable Cash Application,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Receivable,65,AR03_13,,,
430,2,Composition,,Account Receivable Cash Application,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Receivable,65,AR03_04,,,
431,2,Composition,,Account Receivable Cash Application,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash received account within a specified accounting period.,Accounts Receivable,65,AR03_05,,,
440,1,Class,,Account Receivable Cash Received,,,,,,A class that records all received payment transactions during a certain period.,Accounts Receivable,63,AR04,,,
441,2,Attribute,PK,Account Receivable Cash Received,ID,1..1,Identifier,Identifier Medium,,The unique identifier for a particular cash receipt transaction.,Accounts Receivable,63,AR04_01,,,
442,2,Attribute,,Account Receivable Cash Received,Number,0..1,Char,Char Long,,The number for a cash receipt transaction associated with accounts receivable.,Accounts Receivable,63,AR04_02,,,
443,2,Attribute,,Account Receivable Cash Received,Date,0..1,Date,DATE,,The date when a payment is recorded as received from a customer for an account receivable.,Accounts Receivable,63,AR04_03,,,
444,2,Attribute,,Account Receivable Cash Received,Reference Number,0..1,Char,Char Long,,The number for a cash receipt transaction for accounts receivable.,Accounts Receivable,63,AR04_04,,,
445,2,Attribute,,Account Receivable Cash Received,Reference Date,0..1,Date,DATE,,The date associated with a cash receipt transaction for accounts receivable.,Accounts Receivable,63,AR04_05,,,
446,2,Attribute,,Account Receivable Cash Received,Debit or Credit Code,0..1,Code,DEBIT CREDIT CODE,,"A code that classifies a transaction as either increasing assets and expenses, denoted  by 'D' for debit, or increasing liabilities, equity, and revenues, denoted by 'C' for credit.",Accounts Receivable,63,AR04_06,,,
447,2,Attribute,,Account Receivable Cash Received,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the cash received in accounts receivable.,Accounts Receivable,63,AR04_07,,,
450,2,Reference Association,,Account Receivable Cash Received,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Receivable,63,AR04_10,,,
451,2,Reference Association,,Account Receivable Cash Received,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,63,AR04_11,,,
452,2,Reference Association,,Account Receivable Cash Received,,0..1,,,Customer,A class that records basic customer information related to adjustments in accounts receivable.,Accounts Receivable,63,AR04_12,,,
453,2,Reference Association,,Account Receivable Cash Received,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,63,AR04_13,,,
454,2,Reference Association,,Account Receivable Cash Received,Credit,0..1,,,Ledger Account,The ledger account that reflects the cash received as credits in accounts receivable.,Accounts Receivable,63,AR04_14,,,
455,2,Reference Association,,Account Receivable Cash Received,Debit,0..1,,,Ledger Account,The ledger account that reflects the cash received as debits in accounts receivable.,Accounts Receivable,63,AR04_15,,,
456,2,Reference Association,,Account Receivable Cash Received,,0..1,,,Project,"A class that covers a specific project, which could be anything from building construction to scientific research, and can be financed by government or private funds. This class methodically logs detailed information such as management organization, implementation plans, methods, procedures, records, budgeting, actual expenditures, and the ongoing advancement towards set goals.",Accounts Receivable,63,AR04_16,,,
457,2,Reference Association,,Account Receivable Cash Received,,0..1,,,Sales Contract,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Accounts Receivable,63,AR04_17,,,
458,2,Reference Association,,Account Receivable Cash Received,,0..1,,,Settlement Method,"A class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Accounts Receivable,63,AR04_18,,,
448,2,Composition,,Account Receivable Cash Received,,0..1,,,Activities,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Accounts Receivable,63,AR04_08,,,
449,2,Composition,,Account Receivable Cash Received,,0..1,,,Amounts,The multi-currency monetary amounts representing the total cash received amount within a specified accounting period.,Accounts Receivable,63,AR04_09,,,
459,1,Class,,Account Receivable Open Account,,,,,,"A class represents the aggregate amount of outstanding customer transactions expected to be received as of a specific date, consolidated at the invoice level.",Accounts Receivable,61,AR05,,,
460,2,Attribute,PK,Account Receivable Open Account,Transaction ID,1..1,Identifier,Identifier Medium,,The unique identifier for a financial transaction.,Accounts Receivable,61,AR05_01,,,
461,2,Attribute,,Account Receivable Open Account,Transaction Date,0..1,Date,DATE,,"The recorded date of a transaction in an open accounts receivable account, which is used to determine when payment is due.",Accounts Receivable,61,AR05_02,,,
462,2,Attribute,,Account Receivable Open Account,Transaction Due Date,0..1,Date,DATE,,The date by which payment for a transaction in an open accounts receivable account is due.,Accounts Receivable,61,AR05_03,,,
463,2,Attribute,,Account Receivable Open Account,Reference Number,0..1,Char,Char Long,,The number for a transaction for an open accounts receivable account.,Accounts Receivable,61,AR05_04,,,
464,2,Attribute,,Account Receivable Open Account,Reference Date,0..1,Date,DATE,,The date associated with a transaction for an open accounts receivable account.,Accounts Receivable,61,AR05_05,,,
465,2,Attribute,,Account Receivable Open Account,Remark,0..1,Text,Text Medium,,Annotations or supplemental information for the open accounts receivable.,Accounts Receivable,61,AR05_06,,,
466,2,Attribute,,Account Receivable Open Account,Grouping Code,0..1,Char,Char Long,,The code that groups related accounts receivable items for organizational or processing activities.,Accounts Receivable,61,AR05_07,,,
469,2,Reference Association,,Account Receivable Open Account,,0..1,,,Accounting Period,"A specific duration within a fiscal year, delineated by its beginning and ending dates. It serves as the timeframe during which business transactions and entries are accumulated and organized into financial statements and reports.",Accounts Receivable,61,AR05_10,,,
470,2,Reference Association,,Account Receivable Open Account,,0..*,,,Business Segment,A class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.,Accounts Receivable,61,AR05_11,,,
471,2,Reference Association,,Account Receivable Open Account,,0..1,,,Customer,A class that records basic customer information related to adjustments in accounts receivable.,Accounts Receivable,61,AR05_12,,,
472,2,Reference Association,,Account Receivable Open Account,,0..1,,,General Ledger Journal Entry Line,"A class represents a single entry within the General Ledger, containing detailed information about a specific financial transaction or account activity.",Accounts Receivable,61,AR05_13,,,
473,2,Reference Association,,Account Receivable Open Account,,0..1,,,Project,"A class designed for a specific project, such as construction or research, which can be funded by public or private sources. It maintains a thorough record of various aspects including management organization, execution plans, methods used, procedural steps taken, relevant documentation, financial projections, actual expenditures, and updates on the progress made towards the project’s goals.",Accounts Receivable,61,AR05_14,,,
474,2,Reference Association,,Account Receivable Open Account,,0..1,,,Sales Contract,"A class providing an overview of sales agreements, documenting the commitment to sell products or services within a specific period.",Accounts Receivable,61,AR05_15,,,
