Klassifikaatori elementide täielik loetelu. Viimati uuendatud seisuga 11.2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
B5,B,2,0,Töölepingu seadus (TLS) ja vabatahtlik töö,Employment Contracts Act and volunteering ,Закон о трудовом договоре и волонтёрская работа (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B501,B5,3,0,Koondamine sh likvideerimine (TLS),"Lay-off, incl cessation of activities (Employment Contracts Act)","Сокращение, в т.ч. ликвидация (TLS)",,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50101,B501,4,1,TLS § 89 lg 1 koondamine,"Lay-off, § 89 (1) of Employment Contracts Act ","Сокращение, ч.1 ст.89 (TLS)","TLS § 89. Töölepingu erakorraline ülesütlemine tööandja poolt majanduslikel põhjustel 
(1) Tööandja võib töölepingu erakorraliselt üles öelda, kui töösuhte jätkamine kokkulepitud tingimustel muutub võimatuks töömahu vähenemise või töö ümberkorraldamise tõttu või muul töö lõppemise juhul (koondamine).","§ 89 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for economic reasons
(1) An employer may extraordinarily cancel an employment contract if the continuance of the employment relationship on the agreed conditions becomes impossible due to a decrease in the work volume or reorganisation of work or other cessation of work (lay-off).","Статья 89 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по экономическим причинам
(1)  Работодатель может отказаться от трудового договора в чрезвычайном порядке, если продолжение трудовых отношений на оговоренных условиях становится невозможным вследствие уменьшения объёма работы, реорганизации работы или в ином случае прекращения работы (сокращение).",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50102,B501,4,1,TLS § 89 lg 2 p 1 likvideerimine,"Cessation of activities, § 89 (2) 1) of Employment Contracts Act ","Ликвидация, п.1 ч.2 ст.89 (TLS)","TLS § 89. Töölepingu erakorraline ülesütlemine tööandja poolt majanduslikel põhjustel
(2) Koondamine on ka töölepingu erakorraline ülesütlemine:
1) tööandja tegevuse lõppemisel;","§ 89 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for economic reasons
(2) Lay-off is also extraordinary cancellation of an employment contract:
1) upon cessation of the activities of employer;","Статья 89 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по экономическим причинам
(2) Сокращение также является отказом от трудового договора в чрезвычайном порядке:
1) при прекращении деятельности работодателя;",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50103,B501,4,1,TLS § 89 lg 2 p 2 pankrot,"Bankruptcy, § 89 (2) 2) of Employment Contracts Act","Банкротство, п.2 ч.2 ст.89 (TLS)","TLS § 89. Töölepingu erakorraline ülesütlemine tööandja poolt majanduslikel põhjustel
(2) Koondamine on ka töölepingu erakorraline ülesütlemine:
2) tööandja pankroti väljakuulutamisel või pankrotimenetluse lõpetamisel, pankrotti välja kuulutamata, raugemise tõttu.","§ 89 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for economic reasons
(2) Lay-off is also extraordinary cancellation of an employment contract:
2) upon declaration of bankruptcy of employer or termination of bankruptcy proceedings, without declaring bankruptcy, by abatement.","Статья 89 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по экономическим причинам
(2) Сокращение также является отказом от трудового договора в чрезвычайном порядке:
2) при объявлении банкротства работодателя или прекращении производства по делу о банкротстве, без объявления банкротства вследствие угасания.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B502,B5,3,0,Tähtaja möödumine (TLS),Expiry of term (Employment Contracts Act),Истечение срока (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50201,B502,4,1,TLS § 80 lg 1 tähtaja möödumine,"Expiry of term, § 80 (1) of Employment Contracts Act ","По истечении срока, ч.1 ст.80 (TLS)","TLS § 80. Töölepingu lõppemine tähtaja möödumisel
(1) Tähtajaline tööleping lõpeb tähtaja möödumisel.","§ 80 of the Employment Contracts Act. Expiry of employment contract upon expiry of term
(1) An employment contract entered into for a specified term expires upon the expiry of the term.","Статья 80 Закона о трудовом договоре. Прекращение трудового договора по истечении срока
(1) Срочный трудовой договор прекращается по истечении срока.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B503,B5,3,0,Poolte kokkuleppel (TLS),Agreement between parties (Employment Contracts Act),Договорённость сторон (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50303,B503,4,1,TLS § 79 poolte kokkuleppel,"Agreement between parties, § 79 of Employment Contracts Act ","По соглашению сторон, ст.79 (TLS)","TLS § 79. Töölepingu lõpetamine kokkuleppel
Pooled võivad nii tähtajalise kui tähtajatu töölepingu igal ajal kokkuleppel lõpetada.","§ 79 of the Employment Contracts Act. Termination of employment contract by agreement
Parties may terminate both an employment contract entered into for a specified term and an employment contract entered into for an unspecified term at any time by agreement.","Статья 79 Закона о трудовом договоре. Расторжение трудового договора по соглашению
Стороны могут в любое время расторгнуть по соглашению как срочный, так и бессрочный трудовой договор.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B504,B5,3,0,Surma tõttu (TLS),Because of death (Employment Contracts Act),Случай смерти (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50401,B504,4,1,TLS § 81 töötaja surm,"Death of employee, § 81 of Employment Contracts Act ","Смерть работника, ст.81 (TLS)","TLS § 81. Töölepingu lõppemine töötaja surmaga
Tööleping lõpeb töötaja surmaga.","§ 81 of the Employment Contracts Act. Expiry of employment contract upon death of employee
An employment contract expires upon the death of the employee.","Статья 81 Закона о трудовом договоре. Прекращение трудового договора в связи со смертью работника
Трудовой договор прекращается в связи со смертью работника.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50402,B504,4,1,TLS § 111 lg 3 tööandja surm,"Death of employer, § 111 (3) of Employment Contracts Act ","Смерть работодателя, ч.3 ст.111 (TLS)","TLS § 111.  Töölepingu kehtivus tööandja surma korral.
(3) Tööleping lõpeb füüsilisest isikust tööandja surmaga, kui tööleping on sõlmitud oluliselt tööandja isikut arvestades.
","§ 111 of the Employment Contracts Act. Validity of employment contract in case of death of employer
(3) An employment contract expires upon the death of an employer who is a natural person if the employment contract has been entered into significantly considering the person of the employer.","Статья 111 Закона о трудовом договоре. Действительность трудового договора в случае смерти работодателя.
(3) Трудовой договор прекращается со смертью работодателя–физического лица, если трудовой договор был заключен с существенным учётом личности работодателя.
",,,,,,,,,,,,,,2014-07-01 00:00:00,
B505,B5,3,0,Töötaja algatusel (TLS),At the initiative of an employee (Employment Contracts Act),Инициатива работника (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50501,B505,4,1,TLS § 37 lg 5 töötasu vähendamine ,"Reduction of wages, § 37 (5) of Employment Contracts Act ","Уменьшение вознаграждения за труд, ч.5 ст.37 (TLS)","TLS § 37. Töötasu vähendamine töö mitteandmise korral
(5) Töötajal on õigus tööleping üles öelda käesoleva paragrahvi lõikes 1 sätestatud põhjusel, teatades sellest viis tööpäeva ette. Töötajale makstakse töölepingu ülesütlemisel hüvitist käesoleva seaduse § 100 lõigetes 1 ja 2 sätestatud ulatuses.","§ 37 of the Employment Contracts Act. Reduction of wages upon failure to provide work
(5) An employee has the right to cancel the employment contract on the grounds provided in subsection 1 of this section, notifying thereof five working days in advance. Upon cancellation of the employment contract, the employee is paid compensation to the extent provided in subsections 1 and 2 of § 100 of this Act.","Статья 37 Закона о трудовом договоре. Уменьшение вознаграждения за труд при непредоставлении работы
(5) Работник имеет право отказаться от трудового договора по причине, предусмотренной частью 1 настоящей статьи, предупредив об этом за пять рабочих дней. При отказе от трудового договора работнику выплачивается возмещение в размере, предусмотренном частями 1 и 2 статьи 100 настоящего Закона.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50502,B505,4,1,TLS § 85 lg 1 töötaja soovil ,"Ordinary cancellation by employee, § 85 (1) of Employment Contracts","По желанию работника, ч.1 ст.85 (TLS)","TLS § 85. Töölepingu korraline ülesütlemine
(1) Töötaja võib tähtajatu töölepingu igal ajal korraliselt üles öelda.","§ 85 of the Employment Contracts Act. Ordinary cancellation of employment contract
 (1) An employee may ordinarily cancel an employment contract entered into for an unspecified term at any time.","Статья 85 Закона о трудовом договоре. Отказ от трудового договора в обычном порядке
(1) Работник может в любое время отказаться от бессрочного трудового договора в обычном
порядке.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50503,B505,4,1,TLS § 91 lg 1 mõjuval põhjusel ,"Extraordinary cancellation with good reason, § 91 (1) of Employment Contracts Act ","По уважительной причине, ч.1 ст.91 (TLS)","TLS § 91. Töölepingu erakorraline ülesütlemine töötaja poolt
(1) Töötaja võib töölepingu erakorraliselt üles öelda mõjuval põhjusel, eelkõige kui kõiki asjaolusid ja mõlemapoolset huvi arvestades ei või mõistlikult nõuda lepingu jätkamist","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(1) An employee may cancel an employment contract extraordinarily with good reason, in particular, if taking into account all circumstances and mutual interests, continuance of the contract cannot be reasonably demanded.","Статья 91 Закона о трудовом договоре. Отказ работника от трудового договора в чрезвычайном порядке
(1) Работник может отказаться от трудового договора в чрезвычайном порядке по уважительной причине, прежде всего, если с учётом всех обстоятельств и интересов обеих сторон нельзя разумно требовать продолжения договора.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50504,B505,4,1,TLS § 91 lg 2 p 1 ebaväärikas kohtlemine ,"Degrading treatment, § 91 (2) 1) of Employment Contracts Act ","Несправедливое обращение, п.1 ч.2 ст.91 (TLS)","TLS § 91.  Töölepingu erakorraline ülesütlemine töötaja poolt
(2) Töötaja võib töölepingu erakorraliselt üles öelda tööandjapoolse kohustuse olulise rikkumise tõttu, eelkõige kui:
1) tööandja on kohelnud töötajat ebaväärikalt või ähvardanud sellega või lubanud seda teha kaastöötajatel või kolmandatel isikutel;","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(2) An employee may cancel an employment contract extraordinarily due to a fundamental breach of the employer's obligation, in particular if:
1) the employer has degraded the employee or threatened to do so or allowed the employee's colleagues or third parties to do so;","Статья 91 Закона о трудовом договоре. Отказ работника от трудового договора в чрезвычайном порядке
(2) Работник может отказаться от трудового договора в чрезвычайном порядке вследствие существенного нарушения обязанности работодателем, прежде всего, если:
1)  работодатель обращался с работником недостойно или угрожал этим, либо позволял делать это другим сотрудникам или третьим лицам;",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50505,B505,4,1,TLS § 91 lg 2 p 2 viivitus töötasuga,"Delayed payment of wages, § 91 (2) 2) of Employment Contracts Act ","Задержка зарплаты, п.2 ч.2 ст.91 (TLS)","TLS § 91. Töölepingu erakorraline ülesütlemine töötaja poolt
(2) Töötaja võib töölepingu erakorraliselt üles öelda tööandjapoolse kohustuse olulise rikkumise tõttu, eelkõige kui:
2) tööandja on oluliselt viivitanud töötasu maksmisega;","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(2) An employee may cancel an employment contract extraordinarily due to a fundamental breach of the employer's obligation, in particular if:
2) the employer has considerably delayed with payment of wages;","Статья 91 Закона о трудовом договоре.  Отказ работника от трудового договора в чрезвычайном порядке
(2) Работник может отказаться от трудового договора в чрезвычайном порядке вследствие существенного нарушения обязанности работодателем, прежде всего, если:
2)  работодатель существенно задержал выплату вознаграждения за труд;",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50506,B505,4,1,TLS § 91 lg 2 p 3 oht elule ja tervisele,"Threat to life and health, § 91 (2) 3) of Employment Contracts Act","Опасность для жизни и здоровья, п.3 ч.2 ст.91 (TLS)","TLS § 91. Töölepingu erakorraline ülesütlemine töötaja poolt
(2) Töötaja võib töölepingu erakorraliselt üles öelda tööandjapoolse kohustuse olulise rikkumise tõttu, eelkõige kui:
3) töö jätkamine on seotud reaalse ohuga töötaja elule, tervisele, kõlbelisusele või heale nimele.","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(2) An employee may cancel an employment contract extraordinarily due to a fundamental breach of the employer's obligation, in particular if:
3) continuance of work is related to a real threat to the employee's life, health, morals or good name.","Статья 91 Закона о трудовом договоре. Отказ работника от трудового договора в чрезвычайном порядке
(2) Работник может отказаться от трудового договора в чрезвычайном порядке вследствие существенного нарушения обязанности работодателем, прежде всего, если:
3) продолжение работы связано с реальной опасностью для жизни, здоровья, нравственности или доброго имени работника.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50507,B505,4,1,TLS § 91 lg 2 erakorraline ülesütlemine,"Extraordinary cancellation, § 91 (2) of Employment Contracts Act ","Чрезвычайное расторжение договора, ч.2 ст.91 (TLS)","TLS § 91. Töölepingu erakorraline ülesütlemine töötaja poolt
(2) Töötaja võib töölepingu erakorraliselt üles öelda tööandjapoolse kohustuse olulise rikkumise tõttu","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(2) An employee may cancel an employment contract extraordinarily due to a fundamental breach of the employer's obligation","Статья 91 Закона о трудовом договоре. Отказ работника от трудового договора в чрезвычайном порядке
(2) Работник может отказаться от трудового договора в чрезвычайном порядке вследствие существенного нарушения обязанности работодателем",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50508,B505,4,1,TLS § 91 lg 3 töötaja isikust tulenev põhjus,"Reason arising from the employee, § 91 (3) of Employment Contracts Act ","Причина, исходящая от личности работника, ч.3 ст.91 (TLS)","TLS § 91. Töölepingu erakorraline ülesütlemine töötaja poolt
(3) Töötaja võib töölepingu erakorraliselt üles öelda töötaja isikust tuleneval põhjusel, eelkõige kui töötaja terviseseisund või perekondlikud kohustused ei võimalda tal kokkulepitud tööd teha ja tööandja ei võimalda talle sobivat tööd.

","§ 91 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employee
(3) An employee may cancel an employment contract extraordinarily due to a reason arising from the employee, in particular if the employee's state of health or family duties do not allow them to perform the agreed work and the employer does not provide them with suitable work.","Статья 91 Закона о трудовом договоре. Отказ работника от трудового договора в чрезвычайном порядке
(3) Работник может отказаться от трудового договора в чрезвычайном порядке по причине, исходящей от личности работника, прежде всего, если состояние здоровья или семейные обязанности работника не позволяют ему выполнять оговоренную работу, и работодатель не предоставляет ему подходящую работу.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50509,B505,4,1,TLS § 85 lg 2 töötaja soovil (asendamine),"Ordinary cancellation by employee (substitution), § 85 (2) of Employment Contracts Act ","По желанию работника (замещение), ч.2 ст.85 (TLS)","TLS § 85. Töölepingu korraline ülesütlemine
(2) Töötaja ei või tähtajalist töölepingut korraliselt üles öelda, välja arvatud töötaja asendamise ajaks sõlmitud töölepingut.","§ 85 of the Employment Contracts Act. Ordinary cancellation of employment contract
(2) An employee may not ordinarily cancel an employment contract entered into for a specified term, except for an employment contract entered into for the period of substitution of employee.","Статья 85 Закона о трудовом договоре. Отказ от трудового договора в обычном порядке
(2) Работник не может в обычном порядке отказаться от срочного трудового договора, за исключением отказа от трудового договора, заключенного на время замещения работника.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B506,B5,3,0,Katseaeg (TLS),Probationary period (Employment Contracts Act),Испытательный срок (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50601,B506,4,1,TLS § 86 lg 1 ülesütlemine katseajal,"Cancellation during probationary period, § 86 (1) of Employment Contracts Act ","Отказ во время испытательного срока, ч.1 ст.86 (TLS)","TLS § 86. Töölepingu ülesütlemine katseajal
(1) Tööandja ja töötaja võivad tähtajalise ja tähtajatu töölepingu üles öelda katseaja jooksul.","§ 86 of the Employment Contracts Act. Cancellation of employment contract during probationary period
(1) An employer and employee may cancel an employment contract entered into for a specified term and an employment contract entered into for an unspecified term during a probationary period.","Статья 86 Закона о трудовом договоре. Отказ от трудового договора во время испытательного срока
(1) Работодатель и работник могут отказаться от срочного и бессрочного трудового договора в течение испытательного срока.",,,,,,,,,,,,,,2014-07-01 00:00:00,
B507,B5,3,0,Tööandja algatusel (TLS),At the initiative of an employer (Employment Contracts Act),Инициатива работодателя (TLS),,,,,,,,,,,,,,,,,2014-07-01 00:00:00,
B50701,B507,4,1,TLS § 88 lg 1 töötajast tuleneval põhjusel,"Reason arising from the employee, § 88 (1) of Employment Contracts Act ","По причине, обусловленной работником, ч.1 ст.88 (TLS)","TLS § 88. Töölepingu erakorraline ülesütlemine tööandja poolt töötajast tuleneval põhjusel
(1) Tööandja võib töölepingu erakorraliselt üles öelda töötajast tuleneval mõjuval põhjusel, mille tõttu ei saa mõlemapoolseid huve järgides eeldada töösuhte jätkamist","§ 88 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for reason arising from employee
(1) An employer may extraordinarily cancel an employment contract with good reason arising from the employee as a result of which, upon respecting mutual interests, the continuance of the employment relationship cannot be expected","Статья 88 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по причине, обусловленной работником
(1) Работодатель может отказаться от трудового договора в чрезвычайном порядке по уважительной причине, исходящей от работника, вследствие которой, соблюдая интересы обеих сторон, нельзя предполагать продолжение трудовых отношений",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50702,B507,4,1,TLS § 88 lg 1 p 1 terviseseisundi tõttu ,"Due to state of health, § 88 (1) 1) of Employment Contracts Act ","По состоянию здоровья, п.1 ч.1 ст.88 (TLS)","TLS § 88. Töölepingu erakorraline ülesütlemine tööandja poolt töötajast tuleneval põhjusel
(1) Tööandja võib töölepingu erakorraliselt üles öelda töötajast tuleneval mõjuval põhjusel, mille tõttu ei saa mõlemapoolseid huve järgides eeldada töösuhte jätkamist, eelkõige kui töötaja:
1) ei ole pikka aega tulnud toime tööülesannete täitmisega terviseseisundi tõttu, mis ei võimalda töösuhet jätkata (töövõime vähenemine terviseseisundi tõttu). Töövõime vähenemist terviseseisundi tõttu eeldatakse, kui töötaja terviseseisund ei võimalda tööülesandeid täita nelja kuu jooksul;","§ 88 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for reason arising from employee
(1) An employer may extraordinarily cancel an employment contract with good reason arising from the employee as a result of which, upon respecting mutual interests, the continuance of the employment relationship cannot be expected, especially if the employee has:
1) for a long time been unable to perform their duties due to their state of health which does not allow for the continuance of the employment relationship (decrease in capacity for work due to state of health). A decrease in capacity for work due to state of health is presumed if the employee's state of health does not allow for the performance of duties over four months;","Статья 88 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по причине, обусловленной работником
(1) Работодатель может отказаться от трудового договора в чрезвычайном порядке по уважительной причине, исходящей от работника, вследствие которой, соблюдая интересы обеих сторон, нельзя предполагать продолжение трудовых отношений, прежде всего, если работник:
1) долгое время не справлялся с выполнением трудовых заданий в связи с состоянием здоровья, что не позволяет продолжать трудовые отношения (снижение трудоспособности в связи с состоянием здоровья). Снижение трудоспособности в связи с состоянием здоровья предполагается, если состояние здоровья работника не позволяет выполнять трудовые задания в течение четырех месяцев;",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50703,B507,4,1,TLS § 88 lg 1 p 2 sobimatuse tõttu,"Non-suitability for the position, § 88 (1) 2) of Employment Contracts Act ","По причине непригодности, п.2 ч.1 ст.88 (TLS)","TLS § 88. Töölepingu erakorraline ülesütlemine tööandja poolt töötajast tuleneval põhjusel
(1) Tööandja võib töölepingu erakorraliselt üles öelda töötajast tuleneval mõjuval põhjusel, mille tõttu ei saa mõlemapoolseid huve järgides eeldada töösuhte jätkamist, eelkõige kui töötaja:
2) ei ole pikka aega tulnud toime tööülesannete täitmisega ebapiisava tööoskuse, töökohale sobimatuse või kohanematuse tõttu, mis ei võimalda töösuhet jätkata (töövõime vähenemine);","§ 88 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for reason arising from employee
(1) An employer may extraordinarily cancel an employment contract with good reason arising from the employee as a result of which, upon respecting mutual interests, the continuance of the employment relationship cannot be expected, especially if the employee has:
2) for a long time been unable to perform their duties due to their insufficient work skills, non-suitability for the position or inadaptability, which does not allow for the continuance of the employment relationship (decrease in capacity for work);","Статья 88 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по причине, обусловленной работником
(1) Работодатель может отказаться от трудового договора в чрезвычайном порядке по уважительной причине, исходящей от работника, вследствие которой, соблюдая интересы обеих сторон, нельзя предполагать продолжение трудовых отношений, прежде всего, если работник:
2) долгое время не справлялся с выполнением трудовых заданий вследствие недостаточной квалификации, непригодности или неприспособленности к рабочему месту, что не позволяет продолжать трудовые отношения (снижение трудоспособности);",,,,,,,,,,,,,,2014-07-01 00:00:00,
B50704,B507,4,1,TLS § 88 lg 1 p 3 töökohustuste rikkumine,"Due to breach of duties, § 88 (1) 3) of Employment Contracts Act ","Нарушение трудовых обязанностей, п.3 ч.1 ст.88 (TLS)","TLS § 88. Töölepingu erakorraline ülesütlemine tööandja poolt töötajast tuleneval põhjusel
(1) Tööandja võib töölepingu erakorraliselt üles öelda töötajast tuleneval mõjuval põhjusel, mille tõttu ei saa mõlemapoolseid huve järgides eeldada töösuhte jätkamist, eelkõige kui töötaja:
3) on hoiatusest hoolimata eiranud tööandja mõistlikke korraldusi või rikkunud töökohustusi;","§ 88 of the Employment Contracts Act. Extraordinary cancellation of employment contract by employer for reason arising from employee
(1) An employer may extraordinarily cancel an employment contract with good reason arising from the employee as a result of which, upon respecting mutual interests, the continuance of the employment relationship cannot be expected, especially if the employee has:
3) in spite of a warning, disregarded the employer’s reasonable instructions or breached their duties;","Статья 88 Закона о трудовом договоре. Отказ работодателя от трудового договора в чрезвычайном порядке по причине, обусловленной работником
(1) Работодатель может отказаться от трудового договора в чрезвычайном порядке по уважительной причине, исходящей от работника, вследствие которой, соблюдая интересы обеих сторон, нельзя предполагать продолжение трудовых отношений, прежде всего, если работник:
3) несмотря на предупреждение, игнорировал разумные распоряжения работодателя или нарушал трудовые обязанности;",,,,,,,,,,,,,,2014-07-01 00:00:00,
