Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
M_202,M_2,3,1,"0% määraga maksustatav teise liikmesriigi maksukohustuslasele osutatud teenuste käive, sh ettemaks","Supply of services provided to a taxable person of another Member State subject to a 0 % rate, including advance payment ","Облагаемый по ставке 0% оборот услуг, оказанных налогообязанному другого государства – члена ЕС, включая предоплату","0% määraga maksustatav teise liikmesriigi maksukohustuslasele/piiratud maksukohustuslasele osutatud teenuste käive, sh käive, mis on tekkinud teenuse eest osalisel või täielikul makse laekumisel.","Supply of services provided to a taxable person/taxable person with limited liability of another Member State subject to a 0 % rate, including supply created upon receipt of full or partial payment for the services. ","Облагаемый по ставке 0% оборот услуг, оказанных налогообязанному/ограниченному налогообязанному другого государства – члена ЕС, в т.ч. оборот, возникший при частичном или полном поступлении платежа за услугу.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_203,M_2,3,1,"Kauba ühendusesisene käive, võõrandaja kolmnurktehingus","Intra-Community supply of goods, transferor in a triangular transaction","Оборот товара внутри Сообщества, отчуждающее лицо в треугольной сделке","0% määraga maksustatav kauba käive, mis on deklareeritav kolmnurktehingus võõrandaja poolt kauba ühendusesisese käibena.","Supply of goods subject to 0 % rate, which is declared in a triangular transaction by the transferor as intra-Community supply of goods.","Облагаемый по ставке 0% оборот товара, декларируемый отчуждателем в треугольной сделке как оборот товара внутри Сообщества.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_204,M_2,3,1,"Kauba ühendusesisene käive, edasimüüja kolmnurktehingus","Intra-Community supply of goods, reseller in a triangular transaction","Оборот товара внутри Сообщества, перепродавец в треугольной сделке","Käive, mis on deklareeritav edasimüüja poolt kolmnurktehinguna.",Supply that is declared by the reseller as a triangular transaction.,"Оборот, декларируемый посредником как треугольная сделка.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_205,M_2,3,1,"Kauba ühendusesisene käive, uus transpordivahend","Intra-Community supply of goods, new means of transport","Оборот товара внутри Сообщества, новое транспортное средство",0% määraga maksustatav uue transpordivahendi võõrandamine teise liikmesriigi käibemaksukohustuslasena registreerimata isikule. ,Transfer of a new means of transport taxable at the rate of 0 % to a person not registered as a taxable person of another Member State.,"Отчуждение нового транспортного средства, облагаемого по ставке 0%, лицу, не зарегистрированному в качестве обязанного по налогу с оборота другого государства – члена ЕС. ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_206,M_2,3,1,"Kauba ühendusesisene käive, aktsiisikaup","Intra-Community supply of goods, excise goods","Оборот товара внутри Сообщества, подакцизный товар",0% määraga maksustatav aktsiisikauba võõrandamine teise liikmesriigi käibemaksukohustuslasena registreerimata isikule. ,Transfer of excise goods taxable at the rate of 0 % to a person not registered as a taxable person of another Member State.,"Отчуждение подакцизного товара, облагаемого по ставке 0%, лицу, не зарегистрированному в качестве обязанного по налогу с оборота другого государства – члена ЕС. ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_207,M_2,3,1,"Kauba ühendusesisene käive, tolliagentuur","Intra-Community supply of goods, customs agency","Оборот товара внутри Сообщества, таможенное агентство",Kauba ühendusesisene käive on deklareeritav tolliagentuuri poolt kauba importija eest (tolliprotseduuri kood 42).,The intra-Community supply of goods is declared by a customs agency on behalf of the importer of the goods (customs procedure code 42).,Оборот товара внутри Сообщества декларируется таможенным агентством за импортёра товара (код таможенной процедуры 42).,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_208,M_2,3,1,Teises liikmesriigis paigaldatava või kokkupandava kauba maksustatav väärtus,Taxable value of goods to be installed or assembled in another Member State,"Налогооблагаемая стоимость товара, устанавливаемого или монтируемого в другом государстве – члене ЕС","Teises liikmesriigis võõrandaja poolt või eest paigaldatava või kokkupandava kauba võõrandamisel ja paigaldamisel või kokku panemisel tekkinud kauba käive, mis kuulub maksustamisele kauba sihtriigis.",The supply of goods  created upon transfer and installation or assembly of goods in another Member State by a transferor or on behalf of a transferor that is taxable at the country of destination of the goods.,"Оборот товара, возникший в другом государстве – члене ЕС при отчуждении, установке или сборке устанавливаемого или монтируемого товара отчуждателем или за него, подлежащего налогообложению в государстве назначения товара.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_209,M_2,3,1,"Kauba eksport, sh ettemaks","Export of goods, including advance payment","Экспорт товара, включая предоплату","0% määraga maksustatav kauba eksport, sh eriterritooriumile ja käive, mis on tekkinud kauba eest osalisel või täielikul makse laekumisel.","Export of goods taxable at 0 %, including export to a special territory and supply created upon receipt of full or partial payment for the goods.","Облагаемый по ставке 0% экспорт товара, в т.ч. на специальную территорию и оборот, возникший при частичном или полном поступлении платежа за товар.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_210,M_2,3,1,"Kauba eksport, käibemaksutagastusega müük reisijale (tax-free)","Export of goods, sale to passengers with return of VAT (tax-free)","Экспорт товара, продажа пассажиру с возвратом налога с оборота (tax-free)","0% määraga maksustatav kauba eksport, käibemaksutagastusega müük reisijale (tax-free)","Export of goods taxable at 0 %, sale to passengers with return of VAT (tax-free)","Облагаемый по ставке 0% экспорт товара, продажа пассажиру с возвратом налога с оборота (tax-free)",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_211,M_2,3,1,"0% määraga maksustatavad muud kaubad, sh ettemaks","Other goods taxable at 0 %, including advance payment","Облагаемые по ставке 0% прочие товары, включая предоплату","0% määraga maksustatav muu kauba käive, sh käive, mis on tekkinud kauba eest osalisel või täielikul makse laekumisel.","Supply of other goods taxable at the rate of 0 %, incuding supply created upon receipt of full or partial payment for the goods.","Облагаемый по ставке 0% оборот прочего товара, в т.ч. оборот, возникший при частичном или полном поступлении платежа за товар.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_212,M_2,3,1,"0% määraga maksustatavad muud teenused, sh ettemaks","Other services taxable at 0 %, including advance payment","Облагаемые по ставке 0% прочие услуги, включая предоплату","0% määraga maksustatav muu teenuse käive, sh käive, mis on tekkinud kauba eest osalisel või täielikul makse laekumisel.","Supply of other services taxable at the rate of 0 %, incuding supply created upon receipt of full or partial payment for the goods.","Облагаемый по ставке 0% оборот прочей услуги, в т.ч. оборот, возникший при частичном или полном поступлении платежа за товар.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_213,M_2,3,1,0% määraga maksustatav kasuminormi maksustamise kord - reisibürood,Taxable at the rate of 0 % on the basis of the procedure for taxing the margin – travel agencies,Порядок обложения налогом нормы прибыли по 0%-ной ставке – туристические бюро,0% määraga maksustatav kasuminormi maksustamise kord - reisibürood (KMS § 40).,Taxable at the rate of 0 % on the basis of the procedure for taxing the margin – travel agencies (§ 40 of the VAT Act).,Порядок обложения налогом нормы прибыли по 0%-ной ставке – туристические бюро (статья 40 ЗоНО).,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_3,M,2,0,Maksuvabad ja käibena mittekäsitatavad tehingud,Transactions exempt from tax or not deemed to be supply,"Сделки, не облагаемые налогом и не считающиеся оборотом",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
M_301,M_3,3,1,Maksuvaba käive,Supply exempt from tax,Не облагаемый налогом оборот,"Maksuvaba käive, sh välisriigi isikule osutatud teenuse ja võõrandatud kauba maksuvaba käive.","Supply exempt from tax, including supply of services and goods exempt from tax transferred to a foreign person.","Не облагаемый налогом оборот, в т.ч. Не облагаемый налогом оборот отчуждённых товаров и услуг, оказанных иностранному лицу.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
M_302,M_4,3,1,Ei ole käive,Not supply,Не является оборотом,"Ei ole käive käibemaksuseaduse tähenduses. Ei kajastata, kui arve on esitatud üksnes käibena mittekäsitatava tehingu või toimingu kohta.",Is not supply within the meaning of the VAT Act. Not included if the invoice is only for a transaction or act not deemed to be supply.,"Не является оборотом в значении Закона о налоге с оборота. Не отражается, если счёт выставлен только по сделке или операции, не рассматриваемой в качестве оборота.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S,,1,0,Pöördmaksustatavad soetused,Acquisition on which reverse charge is applied,Приобретения с обратным налогообложением,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
S_1,S,2,0,Standard- või soodusmääraga või maksuvabad pöördmaksustatavad soetused,Acquisitions taxed at a standard or reduced rate or exempt from tax on which reverse charge is applied  ,"Приобретения, облагаемые по стандартной или льготной ставке или приобретения, не облагаемые налогом с обратным налогообложением",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
S_101,S_1,3,1,Kauba ühendusesisene soetamine,Intra-Community acquisition of goods,Приобретение товара внутри Сообщества,Standard- või soodusmääraga maksustatav kauba ühendusesisene soetamine,Intra-Community acquisition of goods taxable at a standard or reduced rate,Приобретение товара внутри Сообщества по стандартной или льготной ставке.,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S_102,S_1,3,1,Teise liikmesriigi maksukohustuslaselt saadud teenused ,Services received from a taxable person of another Member State,"Услуги, полученные от налогообязанного другого государства – члена ЕС ","Standard- või soodusmääraga maksustatavad teise liikmesriigi maksukohustuslaselt saadud teenused, sh ettemaks.",Services received from a taxable person of another Member State taxable at a standard or reduced rate,"Облагаемые по стандартной или льготной ставке услуги, полученные от налогообязанного другого государства – члена ЕС, включая предоплату.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S_103,S_1,3,1,Kolmnurktehingu tingimustel kauba soetamine,Acquisition of goods by way of a triangular transaction,Приобретение товара на условиях треугольной сделки,Standard- või soodusmääraga maksustatav kolmnurktehingu tingimustel kauba soetamine.,Acquisition of goods by way of a triangular transaction taxable at a standard or reduced rate,Облагаемое по стандартной или льготной ставке приобретение товара на условиях треугольной сделки.,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S_104,S_1,3,1,Muu kauba soetamine ja teenuse saamine,Acquisition of other goods and services,Приобретение прочего товара и получение услуги,"Standard- või soodusmääraga maksustatav muu kauba soetamine ja teenuse saamine, sh ettemaks","Acquisition of other goods and services taxable  at a standard or reduced rate, including advance payment.","Облагаемые по стандартной или льготной ставке приобретение прочего товара и получение услуги, включая предоплату.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S_105,S_1,3,1,"Erikorra alusel maksustatava kinnisasja, metallijäätmete, väärismetalli ja metalltoodete soetamine","Acquisition of immovables, scrap metal, precious metal and metal products on which special arrangements for imposing VAT are applied","Приобретение облагаемой налогом на основании особого порядка недвижимой вещи, металлоотходов, драгоценного металла и металлических изделий","Erikorra alusel maksustatava kinnisasja, metallijäätmete, väärismetalli ja metalltoodete soetamine (KMS § 411).","Acquisition of immovables, scrap metal, precious metal and metal products on which special arrangements for imposing VAT are applied (§ 411 of the VAT Act ).","Приобретение облагаемой налогом на основании особого порядка недвижимой вещи, металлоотходов, драгоценного металла и металлических изделий (статья 411 ЗоНО).",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
S_106,S_1,3,1,Kauba ühendusesisene maksuvaba soetamine,Intra-Community acquisition of goods which is exempt from tax  ,Не облагаемое налогом приобретение товара внутри Сообщества,Kauba ühendusesisene maksuvaba soetamine (KMS § 18).,Intra-Community acquisition of goods which is exempt from tax (§ 18 of the VAT Act)  ,Не облагаемое налогом приобретение товара внутри Сообщества (статья 18 ЗоНО).,,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O,,1,0,Ost,Purchase,Покупка,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
O_1,O,2,0,"Sisendkäibemaksu mahaarvamine, v.a O_2 - O_5","Deduction of input VAT, excluding O_2 - O_5","Вычет входного налога с оборота, за исключением O_2 - O_5",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
O_101,O_1,3,1,"Sisendkäibemaksu summa, mis on seadusega lubatud maha arvata",Amount of input VAT that is legally permitted to deduct,"Сумма входного налога с оборота, вычитаемая по закону","Sisendkäibemaksu summa, mis on seadusega lubatud maha arvata, v.a importilt tasutud või tasumiselele kuuluv käibemaks; põhivara (sh sõiduauto) soetamiselt tasutud või tasumisele kuuluv käibemaks; sõiduauto tarbeks kaupade soetamiselt ja teenuste saamiselt tasutud või tasumisele kuuluv käibemaks;  pöördmaksustatavalt soetuselt arvutatud käibemaks; arvestuslikelt kannetelt arvutatud käibemaks. ","Amount of input VAT that is legally permitted to deduct, excluding VAT paid or due on import; VAT paid or due upon acquiring fixed assets (including a passenger car); VAT paid or due on purchase of goods and receipt of services for a passenger car; VAT calculated on an acquisition on which reverse charge is applied; VAT calculated on accounting entries. ","Сумма входного налога с оборота, вычитаемая по закону, за исключением уплаченного с импорта или подлежащего уплате налога с оборота; уплаченный или подлежащий уплате с приобретения основного имущества (в т.ч. легкового автомобиля) налог с оборота; налог с оборота, уплаченный или подлежащий уплате с приобретения товаров и получения услуг для легкового автомобиля; налог с оборота, рассчитанный с приобретения, с обратным налогообложением; налог с оборота, рассчитанный с бухгалтерских проводок. ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_102,O_1,3,1,Sisendkäibemaksu mahaarvamine osakaupa,Deduction of input VAT in instalments,Вычет входного налога с оборота частями,"Sisendkäibemaksu on lubatud maha arvata mitmel perioodil osade kaupa, nt ettemaksuarve alusel. ","Input VAT can be deducted in instalments in several periods, e.g. on the basis of a prepayment invoice.","Входной налог с оборота разрешается вычитать в течение нескольких периодов по частям, например, на основании счёта предоплаты. ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_103,O_1,3,1,"Sisendkäibemaksu osaline mahaarvamine (KMS § 29, § 32, § 33)","Partial deduction of input VAT (§ 29, § 32, § 33 of the VAT Act)","Частичный вычет входного налога с оборота (статьи 29,32,33 ЗоНО)","Sisendkäibemaksu mahaarvamine osaliselt kas proportsionaalse mahaarvamise meetodi või otsearvestuse ja proportsionaalse mahaarvamise segameetodi alusel (KMS § 32, 33) või ka ettevõtluse/mitteettevõtluse proportsiooni alusel (KMS § 29). ","Partial deduction of input VAT using either the method of proportional deduction or the method combining direct calculation and proportional deduction  (§ 32, § 33 of the VAT Act) or on the basis of business/non-business proportion (§ 29 of the VAT Act).","Частичный вычет входного налога с оборота на основании метода пропорционального вычета или комбинированного метода прямого учёта и пропорционального вычета (статьи 32, 33 ЗоНО), а также на основании пропорции соотношения предпринимательства и не предпринимательства (статья 29 ЗоНО). ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_104,O_1,3,1,"Sisendkäibemaks, arve infot kajastamata","Input VAT, without giving invoice information",Входной налог с оборота без отражения информации о счёте,"Sisendkäibemaks mahaarvamine arve alusel, millele laieneb kutse- ja ametisaladuse hoidmise kohustus.",Deduction of input VAT on the basis of an invoice subject to professional or official secrecy. ,"Вычет входного налога с оборота на основании счёта, на который распространяется обязанность сохранения профессиональной и служебной тайны.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_105,O_1,3,1,"Sisendkäibemaks, kassapõhine käibemaksuarvestus","Input VAT, cash accounting of VAT","Входной налог с оборота, кассовый принцип учёта налога с оборота",Kassapõhise käibemaksuarvestuse erikorra rakendaja sisendkäibemaksu mahaarvamine tasutud osa ulatuses (KMS § 44).,Deduction of input VAT of a person implementing the special arrangement for cash accounting for VAT to the extent of the part paid (§ 44 of the VAT Act),"Вычет входного налога с оборота лица, применяющего особый порядок учёта налога с оборота по кассовому принципу (статья 44 ЗоНО), в размере уплаченной части.",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_106,O_1,3,1,"Sisendkäibemaks, kassapõhine käibemaksuarvestus, osaline mahaarvamine (KMS § 29, § 32, § 33)","Input VAT, cash accounting of VAT, partial deduction (§ 29, § 32, § 33 of the VAT Act)","Входной налог с оборота, кассовый принцип учёта налога с оборота, частичный вычет (статьи 29,32,33 ЗоНО)","Kassapõhise käibemaksuarvestuse erikorra rakendaja (KMS § 44) sisendkäibemaksu mahaarvamine osaliselt kas proportsionaalse mahaarvamise meetodi või otsearvestuse ja proportsionaalse mahaarvamise segameetodi alusel (KMS § 32, 33) või ka ettevõtluse/mitteettevõtluse proportsiooni alusel (KMS § 29). ","Partial deduction of input VAT of a person implementing the special arrangement for cash accounting for VAT (§ 44 of the VAT Act) using either the method of proportional deduction or the method combining direct calculation and proportional deduction  (§ 32, § 33 of the VAT Act) or on the basis of business/non-business proportion (§ 29 of the VAT Act).","Частичный вычет входного налога с оборота  лица, применяющего особый порядок учёта налога с оборота по кассовому принципу (статья 44 ЗоНО), на основании метода пропорционального вычета или комбинированного метода прямого учёта и пропорционального вычета (статьи  32, 33 ЗоНО), а также на основании пропорции соотношения предпринимательства и не предпринимательства (статья 29 ЗоНО). ",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_107,O_1,3,1,Impordilt tasutud või tasumisele kuuluv sisendkäibemaks,Input VAT paid or due on import,"Входной налог с оборота, уплаченный или подлежащий уплате с импорта","Impordilt tasutud või tasumisele kuuluv sisendkäibemaks, sh KMD alusel (R41) tasutud impordi käibemaks","Input VAT paid or due on import, including import VAT paid on the basis of KMD (R41)","Входной налог с оборота, уплаченный или подлежащий уплате с импорта, в т.ч. налог на импорт, уплаченный на основании KMD (С41).",,,,,,,,,,EUR,euro,euro,евро,2024-01-01 00:00:00,
O_2,O,2,0,"Sisendkäibemaksu mahaarvamine põhivara soetamiselt, v.a O_1, O_3 - O_5 ","Deduction of input VAT on acquisition of fixed assets, excluding O_1, O_3 and O_5","Вычет входного налога с оборота с приобретения основных средств, за исключением O_1, O_3 и O_5 ",,,,,,,,,,,,,,,,,2024-01-01 00:00:00,
