Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
6,,1,1,SM kohustusega FIE abikaasa,Sole proprietor´s spouse with the obligation of social tax,Супруг предпринимателя – физического лица (ПФЛ) с обязанностью уплаты социального налога,"FIE abikaasa, kes osaleb FIE ettevõtte tegevuses ja kelle eest FIE arvestab, deklareerib ja tasub sotsiaalmaksu kuumääralt, tuleb töötamise registris registreerida töötamise liigiga „Sotsiaalmaksukohustusega FIE abikaasa"".
Kui FIE lõpetab või peatab oma tegevuse, peab ta lõpetama või peatama ka oma abikaasa töötamise kande töötamise registris. Töötamise registri kanne on aluseks sotsiaalkindlustuskaitse ja ravikindlustuse saamisel.","The spouse of a sole proprietor, who participates in the activities of the enterprise of the sole proprietor and for whom the sole proprietor calculates, declares and pays social tax at the monthly rate, has to be registered in the employment register under the type of employment ""Sole proprietor's spouse liable to social tax"".
If a sole proprietor terminates or suspends his or her activity, the entry of the spouse's employment has to be terminated or suspended as well. The entry in the employment register is the basis for receiving social security and health insurance.","Супруг(а) ПФЛ, участвующие в предпринимательской деятельности ПФЛ и за которых ПФЛ исчисляет и уплачивает социальный налог по месячной ставке, регистрируются в регистре работы с типом работы «Супруг(а) ПФЛ с обязанностью по соцналогу». Если ПФЛ  прекращает или приостанавливает свою деятельность, он также должен прекратить или приостановить работу своего супруга(и) в регистре работы. Запись в регистре работы является основанием для получения социального страхования и медицинского страхования.",,,,,,,,,,,,,,2018-01-02 00:00:00,,
15,,1,1,Ametniku või teenistuja abikaasa tasu,Allowance for a spouse of an official or public servant,Плата супруга,"Liigiga ""abikaasatasu"" kantakse töötamise registrisse: 1) pikaajalisse välislähetusse saadetud ametnikuga kaasas olev mittetöötav abikaasa, või 2) välisteenistujaga või pikaajalises lähetuses Eesti Vabariigi välisesinduses töötava haldusteenistujaga kaasas olev mittetöötav abikaasa.","With the type ""allowance for a spouse"" the following persons are entered in the employment register: 1) a non-working spouse accompanying an official sent on a long-term secondment abroad, or 2) a non-working spouse accompanying an outside worker or an administrative official on a long-term secondment employed in a foreign mission of the Republic of Estonia.","Тип «плата супруга» вносится в регистр работы: 1) неработающая супруга чиновника, отправленная вместе с ним в долговременную зарубежную командировку, или 2) неработающая супруга международного служащего или неработающая супруга административного государственного служащего, находящаяся вместе с ним в долговременной командировке в зарубежном представительстве Эстонской Республики.",,,,,,,,,,,,,,2018-01-01 00:00:00,,
501,,1,1,Tasuta töötamine,Unpaid work,Бесплатная работа,Tasuta töötamine on töötamine äriühingu või FIE majandushuvides tasu saamata.,Unpaid work is work in the economic interests of a company or a sole proprietor without receiving payment.,Бесплатная работа – это работа без вознаграждения в экономических интересах коммерческого объединения или предпринимателя – физического лица.,,,,,,,,,,,,,,2018-01-01 00:00:00,,
504,,1,1,"Töötamine TM kohustusega Eestis, SM välisriigis","Employment with income tax payable in Estonia, social tax abroad","Работа с обязанностью по уплате под. н. в Эстонии, уплате соц. н. за границей ",,,,,,,,,,,,,,,,,2018-01-01 00:00:00,,
505,,1,1,"KOV komisjoni liige, kes ei ole KOV volikogu liige",Member of the KOV committee who is not a member of the KOV council,"Член комиссии местного самоуправления, который не является членом собрания",Näiteks valimiskomisjoni liige.,"For example, a member of the National Electoral Committee.","Например, член избирательной комиссии.",,,,,,,,,,,,,,2018-01-01 00:00:00,,
506,,1,1,Töötamine TM kohustusega Eestis ilma SM kohustuseta,Employment with income tax payable in Estonia without social tax obligation,Работа с обязанностью по уплате под. н. в Эстонии и без обязанности по соц. н,"Töötamise liik „Töötamine TM kohustusega Eestis ilma SM kohustuseta"" on avavanglas töötavatele isikutele. See töötamise liik tuleb valida juhul, kui töötamisel tekib Eestis tulumaksukohustus, kuid sotsiaalmaksukohustust ei ole. Kuna ka töötuskindlustusmakse ning kohustusliku kogumispensioni makse objektid on seotud sotsiaalmaksuobjektiga, siis ka neid makseid ei tasuta.","The employment type ""Employment with income tax payable in Estonia without social tax obligation"" is for persons working in open prisons. This type of employment must be selected if the income tax liability arises in Estonia, but there is no social tax liability. Since the objects of unemployment insurance premiums and mandatory funded pension payments are also related to the social tax object, these payments are also not paid.","Вид работы «Работа облагаемая подоходным налогом в Эстонии, не облагаемая социальным налогом» – предназначен для лиц, работающих в тюрьмах открытого типа. Этот вид работы следует выбирать, если работая в Эстонии возникает обязательство по подоходному налогу, но нет обязательства по социальному налогу. Поскольку к объекту социального налога также относятся объекты взносов по страхованию от безработицы и выплат по обязательной накопительной пенсии, то по этим выплатам также нет обязательства.",,,,,,,,,,,,,,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liigiks on antud väärtus."
507,,1,1,Viisa alusel - tööleping,On the basis of a visa - Employment contract  ,На основании визы – трудовой договор,"Õigus ravikindlustusele on ka ajutise viibimisalusega Eestis seaduslikult viibival ja töötaval isikul, kelle eest on tasutud sotsiaalmaks. Ravikindlustuse pakett sisaldab Eestis kõiki ravikindlustuse hüvesid võrdselt kõigi teiste ravikindlustatutega.","A person legally staying and working in Estonia with a temporary residence permit, for whom social tax has been paid, also has the right to health insurance. The health insurance package includes all health insurance benefits in Estonia, equally with all other persons covered by health insurance.","Право на медицинское страхование имеет также лицо, законно работающее в Эстонии с временным пребыванием, за которое уплачен социальный налог. Пакет медицинского страхования в Эстонии включает все страховые выплаты наравне со всеми остальными застрахованными лицами.",,,,,,,,,,,,,,2016-04-05 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liigiks on antud väärtus."
600,,1,1,VÕS leping,Contract under the law of obligations,Обязательственно-правовой договор,Ravikindlustuse saamiseks peab TSD-l deklareeritud sotsiaalmaks kas ühe tööandja TSD-l või mitme tööandaja TSD-del summeerituna olema ühes kuus vähemalt sotsiaalmaksu minimaalse kohustuse suurune summa.,"To obtain health insurance, the social tax declared on the form TSD, either from the TSD of one employer or from the TSD’s of several employers, must be at least the amount of the minimum social tax liability in one month.","Для получения медицинской страховки необходимо, чтобы сумма социального налога, задекларированная на TSD, как в TSD одного работодателя, так и в TSD нескольких работодателей, была не менее суммы минимального обязательства по социальному налогу за один месяц.",,,,,,,,,,,,,,2018-01-01 00:00:00,,
601,,1,1,"Juhtimis-, kontrollorgani liige",Member of management or controlling body,Член органа правления или контроля,Ravikindlustuse saamiseks peab TSD-l deklareeritud sotsiaalmaks kas ühe tööandja TSD-l või mitme tööandaja TSD-del summeerituna olema ühes kuus vähemalt sotsiaalmaksu minimaalse kohustuse suurune summa.,"To obtain health insurance, the social tax declared on the form TSD, either from the TSD of one employer or from the TSD’s of several employers, must be at least the amount of the minimum social tax liability in one month.","Для получения медицинской страховки необходимо, чтобы сумма социального налога, задекларированная на TSD, как в TSD одного работодателя, так и в TSD нескольких работодателей, была не менее суммы минимального обязательства по социальному налогу за один месяц.",,,,,,,,,,,,,,2018-01-01 00:00:00,,
602,,1,1,Viisa alusel - VÕS leping,On the basis of a visa - Contract under the law of obligations,На основании визы – обязательственно-правовой договор,,,,,,,,,,,,,,,,,2016-04-05 00:00:00,,
603,,1,1,"Viisa alusel - juhtimis-, kontrollorgani liikme tasu",On the basis of a visa - Member of management or controlling body,На основании визы – плата члена руководящего органа и контролирующего органа,,,,,,,,,,,,,,,,,2016-04-05 00:00:00,,
801,,1,1,"Meretööleping, juhtivtöötaja reisilaeval","Seafarer’s employment contract, managerial employee on a passenger ship","Морской трудовой договор, менеджер на пассажирском судне",Töötamise liik ainult riigiabi tingimustele vastaval laeval töötavale laevapere liikmele.,Employment type only for crew members working on ships eligible for State aid.,"Вид работы только для члена экипажа, работающего на судне, отвечающему требованиям государственной помощи.",,,,,,,,,,,,,,2020-07-01,,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liigiks on antud väärtus."
802,,1,1,"Meretööleping, töötaja reisilaeval","Seafarer’s employment contract, employee on a passenger ship","Морской трудовой договор, работник на пассажирском судне",Töötamise liik ainult riigiabi tingimustele vastaval laeval töötavale laevapere liikmele.,Employment type only for crew members working on ships eligible for State aid.,"Вид работы только для члена экипажа, работающего на судне, отвечающему требованиям государственной помощи.",,,,,,,,,,,,,,2020-09-01,,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liigiks on antud väärtus."
800,,1,1,Tööleping laevapere liikme soodustusega,Contract of employment with crew member benefit,Льготный трудовой договор членам экипажа судна,Töötamise liik ainult riigiabi tingimustele vastaval laeval töötavale laevapere liikmele.,Employment type only for crew members working on ships eligible for State aid.,"Вид работы только для члена экипажа, работающего на судне, отвечающему требованиям государственной помощи.",,,,,,,,,,,,,,2020-07-01,,"Jah* - tingimuslik. Vajalik esitada juhul, kui töötamise liigiks on antud väärtus."
