Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
A11003,1,2,1,Tasu ületunnitöö eest,Earnings related to overtime,Оплата сверхурочной работы,"Töötasu üle normaaltööaja töötatud tundide eest. Hõlmab kogusummat, mitte ainult tavapärasele tunnitasule lisanduvat lisatasumäära. Näide: töötaja tunnipalga määr on 5 eurot ja ületunnitöö eest makstav lisatasu on 50%, seega 2,5 eurot. Näidatav summa on 5 + 2,5= 7,5. NB! Antud elemendiga koos on kohustuslik esitada ka töötunnid (seotult väljaga MOODETAV_AEG), vt täpsemalt XML näidises. ","Wage or salary for the number of hours worked over standard working hours. Includes the total sum, not only the bonus rate added to the regular hourly wage. Example: the hourly wage rate of an employee is 5 euros and the bonus paid for overtime hours is 50%, hence 2.5 euros. The sum to be indicated is 5 + 2.5 = 7.5.","Заработная плата за часы, отработанные сверх нормального рабочего времени. Охватывает общую сумму, а не только добавляемую к обычной почасовой оплате ставку доплаты. Пример: ставка почасовой оплаты работника составляет 5 евро и доплата, выплачиваемая за сверхурочную работу, составляет 50%, т. е. 2,5 евро. Указывается сумма 5 + 2,5= 7,5. ",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur",Jah,Tunnid
A11004,1,2,1,Lisatasu vahetustega ja riigipühal töötamise eest,Bonus for working in shifts and on public holidays,"Доплата за работу по сменам, в государственные праздники","Lisatasu vahetustega, õhtusel, nädalavahetustel või riiklikel pühadel töötamise eest,  kui neid ei käsitata ületunnitööna. Siia kuulub vaid täiendav lisatasu summa, mitte kogusumma. ","Bonus for working in shifts, in the evenings, on weekends or on public holidays, if such instances are not considered as overtime hours. This includes only the additional bonus sum, not the whole sum.","Доплата за работу по сменам, в вечернее, в выходные или государственные праздники, если она не рассматривается, как сверхурочная работа. Сюда входит сумма доплаты, а не общая сумма.",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur",,
A11005,1,2,1,Ebaregulaarsed lisatasud ja preemiad  ,Irregular bonuses and premiums,Нерегулярные доплаты и премии,"Kõik ebaregulaarselt makstavad lisatasud ja preemiad: kvartalipreemia, aastapreemia, jõulupreemia, tulemustasu ja muud ebaregulaarselt makstavad lisatasud ja preemiad (sealhulgas puhkusetoetus, kasutamata puhkusehüvitis). Siia ei kuulu regulaarne (igakuine) preemia ega lisatasu, sotsiaaltoetus juubeli, sünni, surma jm puhul.","All irregularly paid bonuses and premiums: quarterly bonus, annual bonus, Christmas bonus, performance pay and other irregularly paid additional bonuses and premiums (including holiday bonus, unused holiday allowance). This does not include regular (monthly) premium or bonus, social benefits in the event of a jubilee, birth, death, etc.","Все нерегулярно выплачиваемые доплаты и премии: квартальная премия, годовая премия, рождественская премия, оплата по результатам и прочие нерегулярно выплачиваемые доплаты и премии (в том числе отпускные пособия, компенсация за неиспользованный отпуск). К этому не относятся регулярные (ежемесячные) премии и доплаты, социальные пособия в случае юбилея, рождения ребенка, смерти и т. п.",,,,,,,"Siia ei kuulu regulaarne (igakuine) preemia ega lisatasu, sotsiaaltoetus juubeli, sünni, surma jm puhul.","This does not include regular (monthly) premium or bonus, social benefits in the event of a jubilee, birth, death, etc.","К этому не относятся регулярные (ежемесячные) премии и доплаты, социальные пособия в случае юбилея, рождения ребенка, смерти и т. п.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1089 - Töötasu struktuur",,
A11006,1,2,1,Puhkuse- ja eripuhkuse tasud,Holiday pays and special holiday pays,Плата за отпуск и специальный отпуск,"Kõik puhkusetasud ja eripuhkusetasud (nt abiellumise, pereliikme surma, sõjaväeteenistuse, lapse koolimineku, õppepuhkuse puhul). NB! Antud elemendiga koos on kohustuslik esitada ka kalendripäevad (seotult väljaga MOODETAV_AEG), vt täpsemalt XML näidises. ","All holiday pays and special holiday pays (e.g., for marriage, death of a family member, military service, child starting school, in case of study leave)","Все платы за отпуск и специальный отпуск (напр., в случае заключения брака, смерти члена семьи, военной службы и поступления ребенка в школу)",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1089 - Töötasu struktuur",Jah,Kalendripäevad
A11007,1,2,1,Tasu mittetöötatud aja eest (v.a puhkuse- ja eripuhkusetasud) ,Payments for days not worked (excluding holiday pays and special holiday pays),Плата за неотработанное время (за искл. платы за отпуск и специальный отпуск),"Kõik muud tasud mittetöötatud aja eest, mis ei ole (eri)puhkusetasud.
Siia kuulub näiteks tööseisakutasu, streigi- ja töösulu ajal makstav tasu, tasemekoolituse ja tööalase koolituse ajal makstav tasu, tervishoiutöötaja koduvalvetasu see osa, mil väljakutsel ei käidud. NB! Antud elemendiga koos on kohustuslik esitada ka töötunnid (seotult väljaga MOODETAV_AEG), vt täpsemalt XML näidises. ","All other payments for days not worked, that are not (special)holiday pays. It includes pay for waiting time, payments for the time of strikes and lock-outs, degree and professional trainings, the share of the payment for the home on-call time of a health care professional for the time they were not called out.","Все прочие выплаты за неотработанное время, которые не являются платами за отпуск и специальный отпуск. Например, к этому относятся плата за простой, плата, выплачиваемая во время забастовки и локаута, плата, выплачиваемая во время обучения по повышению квалификации и профессиональных курсов, та часть оплаты дежурства на дому у медицинского работника, когда он не выезжал на вызов.","Siia kuulub näiteks tööseisakutasu, streigi- ja töösulu ajal makstav tasu, tasemekoolituse ja tööalase koolituse ajal makstav tasu, tervishoiutöötaja koduvalvetasu see osa, mil väljakutsel ei käidud.","Includes pay for waiting time, payments for the time of strikes and lock-outs, degree and professional trainings, the share of the payment for the home on-call time of a health care professional for the time they were not called out.","Например, к этому относятся плата за простой, плата, выплачиваемая во время забастовки и локаута, плата, выплачиваемая во время обучения по повышению квалификации и профессиональных курсов, та часть оплаты дежурства на дому у медицинского работника, когда он не выезжал на вызов.",,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1089 - Töötasu struktuur",Jah,Tunnid
A11008,1,2,1,Lisatasu öötöö eest,Bonus for working in night shifts,Доплата за работу в ночные часы,"Lisatasu öötöö eest. Siia kuulub vaid täiendava lisatasu summa osa, mitte kogusumma. ","Bonus for working at night. This includes the additional bonus sum, not the whole sum.","Доплата за работу в ночное время. Сюда входит сумма доплаты, а не общая сумма.",,,,,,,,,,EUR,euro,euro,евро,2023-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
1410 - Mees- ja naistöötajate brutotunnitasu
1089 - Töötasu struktuur
",,
A12004,1,2,1,"Töötajale makstavad hüvitised haigestumise, tööõnnetuse või kutsehaiguse korral","Allowances paid to employees for sickness, occupational accidents or occupational diseases","Возмещения, выплачиваемые работнику в случае болезни, несчастного случая на производстве или профессионального заболевания","Summad, millest on maha arvatud sotsiaalkindlustusasutuste tagasimaksed ning mida tööandja maksab otse töötajale haiguse, rasedus-  ja sünnituspuhkuse ajal või tööõnnetuse ajal sissetuleku tagamiseks ja saamatajäänud tulu hüvitamiseks. Siia ei kuulu haigekassa poolt hüvitatud haiguspäevad. NB! Antud elemendiga koos on kohustuslik esitada ka kalendripäevad (seotult väljaga MOODETAV_AEG), vt täpsemalt XML näidises. ","Sums from which the following is deducted from: refunds from social security institutions and the sums the employer pays directly to the employee for ensuring income and remunerating the loss of income in case of sickness, occupational accident, occupational disease, etc. 
Does not include the sick days remunerated by the Health Insurance Fund.","Суммы, из которых вычтены возвратные платежи учреждений социального страхования и которые работодатель выплачивает напрямую работнику во время болезни, отпуска по беременности и родам или для обеспечения доходов во время несчастного случая на производстве и возмещения упущенного дохода. К этому не относятся дни болезни, возмещаемые Больничной кассой.",,,,,,,Siia ei kuulu haigekassa poolt hüvitatud haiguspäevad.,Does not include the sick days remunerated by the Health Insurance Fund.,"К этому не относятся дни болезни, возмещаемые Больничной кассой.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,Jah,Kalendripäevad
A12005,1,2,1,Töötajale makstavad hüvitised ja toetused pensionideks ja tervishoiuks,Allowances and benefits paid to employees for pensions and health care,Выплачиваемые работнику возмещения и пособия на пенсии и здравоохранение,"Hõlmab tööandja arvestuslikke makseid praegustele või endistele töötajatele pensionideks ja tervishoiuks. Summad, mida tööandja maksab otse töötajale (mitte kindlustusskeemide ega fondide kaudu). Summa kirjeldatakse siis, kui tegelik väljamakse töötajale või endisele töötajale toimub.","Includes the benefits and bonuses calculated by the employer for the pensions and health care for current or former employees. Sums which the employer pays directly to employees (not through insurance plans or funds). The sum is indicated, if the actual disbursement for an employee or a former employee is made.","Включает рассчитанные работодателем выплаты на пенсии и здравоохранение имеющимся или бывшим работникам. Суммы, которые работодатель выплачивает напрямую работнику (а не через схемы страхования и фонды). Сумма описывается в том случае , если происходит фактическая выплата работнику или бывшему работнику.",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,,
A12006,1,2,1,Töötajale makstavad hüvitised töösuhte lõpetamisel,Payments to employees leaving the enterprise,"Возмещения, выплачиваемые работнику по прекращении трудовых отношений","Kõik tööandja hüvitised töösuhte lõpetamisel ja maksed ettevõttest lahkuvale töötajale, mida makstakse otse töötajale. Siia kuulub näiteks lahkusmistoetus ja kompensatsioon töölt etteteatamata vabastamise eest. Siia ei kuulu kasutamata puhkuse hüvitis, mis kuvatakse ebaregulaarse preemia real. ","All benefits by the employer upon the termination of the employment relationship and payments for the employee leaving the company, which are paid directly to the employee.
Includes, for instance, severance pay and compensation for unannounced release from work.
Does not include unused holiday allowance which is indicated under irregular premiums.","Все возмещения работодателя по прекращении трудовых отношений и выплаты покидающему предприятие работнику, которые выплачиваются напрямую работнику. Например, к этому относится пособие по увольнению и компенсация за увольнение с работы без предуведомления. К этому не относится возмещение за неиспользованный отпуск, которое отражается на строке нерегулярной премии.",Siia kuulub näiteks lahkusmistoetus ja kompensatsioon töölt etteteatamata vabastamise eest. ,"Includes, for instance, severance pay and compensation for unannounced release from work.","Например, к этому относится пособие по увольнению и компенсация за увольнение с работы без предуведомления.",,,,"Siia ei kuulu kasutamata puhkuse hüvitis, mis kuvatakse ebaregulaarse preemia real. ",Does not include unused holiday allowance which is indicated under irregular premiums.,"К этому не относится возмещение за неиспользованный отпуск, которое отражается на строке нерегулярной премии.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,,
A12007,1,2,1,Töötajatele makstavad muud hüvitised ja toetused,Other allowances and benefits paid to employees,Другие выплачиваемые работникам возмещения и пособия,"Kõik mujal nimetamata otse töötajale makstavad muud sotsiaalmaksed ja hüvitised, nagu õppetoetus (väljaspool ettevõtet toimuvad koolitused) töötajale ja tema perekonnale, tagatud hüvitis osalise töötuse eest või töötamise takistuse korral makstav keskmine töötasu, ühekordsed toetused töötajale teatud sündmuse puhul (abiellumine, laste sünd), töötajate laste hariduskulude katmine","All other social payments, benefits and allowances paid directly to employees, which are not elsewhere indicated, such as education allowance (trainings outside the company) for employees and their families, ensured allowances for partial unemployment or average wage or salary paid in case of an obstacle to work, one-time benefits for employees for certain occasions (getting married, birth of children), covering the educational fees of the children of employees.","Все не указанные где-либо в другом месте выплачиваемые напрямую работнику прочие социальные выплаты и возмещения, например, стипендия (курсы, прошедшие за пределами предприятия) работнику и его семье, гарантированное возмещение за частичную безработицу или средняя заработная плата, выплачиваемая при препятствиях для работы, единовременные пособия работнику при определенных событиях (вступление в брак, рождение ребенка), покрытие расходов на образование детей работников.",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,,
2,,1,0,Sotsiaalmaksed,Social security contributions,Социальные выплаты,,,,,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,,,,
A12001,2,2,1,Sotsiaalmaks,Social tax,Социальный налог,"Sotsiaalmaks, mis on arvestatud aruandekuu (kalendrikuu) rahalistelt ja mitterahalistelt (erisoodustustelt) tasudelt.
Siia ei kuulu sihtannetuste arvelt oma töötajatele makstavalt brutotöötasult ja töövõtulepinguga töötajate töötasult arvestatud sotsiaalmaks.","Social tax which is calculated from the monetary and in-kind wages and salaries (fringe benefits) of the reference month (calendar month).
Does not include social tax paid from target donations for gross salaries of own employees and salaries of employees employed under contracts for services.","Социальный налог, начисленный с денежных и неденежных (особых льгот) выплат за отчетный месяц (календарный месяц). К этому не относится социальный налог, начисленный с выплачиваемой своим работникам за счет целевых пожертвований брутто-зарплаты и с зарплаты работающих по договору подряда работников.",,,,,,,Siia ei kuulu sihtannetuste arvelt oma töötajatele makstavalt brutotöötasult ja töövõtulepinguga töötajate töötasult arvestatud sotsiaalmaks.,Does not include social tax paid from target donations for gross salaries of own employees and salaries of employees employed under contracts for services.,"К этому не относится социальный налог, начисленный с выплачиваемой своим работникам за счет целевых пожертвований брутто-зарплаты и с зарплаты работающих по договору подряда работников.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.","1462 - Palk ja tööjõud
",,
A12002,2,2,1,Tööandja töötuskindlustusmakse,Employer’s unemployment insurance premium,"Платеж по страхованию от безработицы, уплачиваемый работодателем",Tööandja töötuskindlustusmakse. Siia ei kuulu kindlustatu enda töötuskindlustusmakse ning sihtannetuste arvelt oma töötajatele makstavalt brutotöötasult ja töövõtulepinguga töötajate töötasult arvestatud töötuskindlustusmakse.,"Unemployment insurance premium calculated from the labour costs of the reference month (calendar month).
Does not include the unemployment insurance premium paid by the insured persons themselves or the unemployment insurance premium paid from target donations for gross salaries of own employees and salaries of employees employed under contracts for services.","Платеж по страхованию от безработицы, уплачиваемый работодателем. К этому не относятся собственный платеж по страхованию от безработицы застрахованного, а также платеж по страхованию от безработицы, начисленный с выплачиваемой своим работникам за счет целевых пожертвований брутто-зарплаты и зарплаты работающих по договору подряда работников.",,,,,,,Siia ei kuulu kindlustatu enda töötuskindlustusmakse ning sihtannetuste arvelt oma töötajatele makstavalt brutotöötasult ja töövõtulepinguga töötajate töötasult arvestatud töötuskindlustusmakse.,Does not include the unemployment insurance premium paid by the insured persons themselves or the unemployment insurance premium paid from target donations for gross salaries of own employees and salaries of employees employed under contracts for services.,"К этому не относятся собственный платеж по страхованию от безработицы застрахованного, а также платеж по страхованию от безработицы, начисленный с выплачиваемой своим работникам за счет целевых пожертвований брутто-зарплаты и зарплаты работающих по договору подряда работников.",EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,,
A12003,2,2,1,Tööandja leppekohased ja vabatahtlikud sotsiaalmaksed,"Employer's collectively agreed, contractual and voluntary social security contributions",Договорные и добровольные социальные выплаты работодателя,"Tööandja poolt lisaks kohustuslikele maksetele (sotsiaalmaks, töötuskindlustusmaks) sotsiaalkindlustusskeemidesse tehtavad maksed: lisapensioniskeemid (kindlustusseltside kindlustusskeemid, tööandja hallatavad kindlustusfondid, eelarve reservid, kõik lisapensioniskeemide rahastamiseks tehtavad kulutused), ravikindlustuse lisaskeemid, töötuskindlustuse lisaskeemid jm vabatahtlikud sotsiaalkindlustuse lisaskeemid (nt elu-, tervise-, õnnetusjuhtumiskindlustus). ","Payments by the employer to the social security schemes in addition to mandatory payments (social tax, unemployment insurance premium): additional pension plans (insurance plans of insurance companies, insurance funds managed by the employer, budget reserves, all costs made to finance the additional pension plans), additional health insurance plans, additional unemployment insurance plans and other voluntary social security schemes (e.g., life, health and accident insurance).","Выплаты, совершаемые работодателем в схемы социального страхования дополнительно к обязательным выплатам (социальный налог, платеж по страхованию от безработицы): схемы дополнительной пенсии (схемы страхования страховых обществ, управляемые работодателем страховые фонды, бюджетные резервы, все затраты на финансирование схем дополнительной пенсии), дополнительные схемы медицинского страхования, дополнительные схемы страхования от безработицы и др. дополнительные схемы добровольного социального страхования (напр., страхование жизни, здоровья, страхование от несчастного случая).",,,,,,,,,,EUR,euro,euro,евро,2018-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",1462 - Palk ja tööjõud,,
3,,1,0,Muud tööjõukulud,,,,,,,,,,,,,,,,,,,2024-01-01 00:00:00,,,,,
A13001,3,2,1,Tasustamata töölt eemal viibitud aeg,,,"Aruandekuul töölt eemal viibitud aeg, mis ei ole tööandja poolt tasutatud (nt tasustamata õppepuhkus, riigi poolt hüvitatud puhkus jm). ",,,,,,,,,,,,,,,,2024-01-01 00:00:00,,"Jah* - tingimuslik. Vajalik esitada juhul, kui aruandeperioodil antud elemendi osas andmed esinevad.",Element on sisendiks sisemisele andmetöötlusele/ andmekvaliteedi tagamiseks,Jah,Kalendripäevad
