Klassifikaatori elementide täielik loetelu,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
01131,0113,5,1,"Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus","Growing of vegetables and melons, roots and tubers",,"Leht- või varsköögiviljade kasvatamine, nt: artišokid, spargel, kapsad, lillkapsas, brokoli, salat, sigur, spinat, viliköögiviljade kasvatamine, nt: kurgid, baklažaanid, tomatid, arbuus, kantaluup-melon jm melonid jm viliköögiviljad, juur-, sibul- või mugulköögiviljade kasvatamine, nt: porgandid, naerid, küüslauk, sibulad (k.a šalottsibulad), porrulauk vm laugud jm juur-, sibul- ja mugulköögiviljad, seente ja trühvlite kasvatamine, juur-ja köögiviljaseemnete, k.a suhkrupeediseemnete kasvatamine (v.a muud peediseemned), suhkrupeedi kasvatamine, tšilli ja paprika (Capsicum spp.) kasvatamine, juurte ja mugulate kasvatamine, nt: kartulid, maguskartulid ehk bataadid, maniokk, kaalikad ja peedid ka: suhkrumaisi kasvatamine","Growing of leafy or stem vegetables, e.g.: artichokes, asparaagus, cabbages, cauliflower, broccoli, lettuce and chicory, spinach, growing of fruit-bearing vegetables, e.g.: cucumbers, gherkins, eggplants (aubergines), tomatoes, watermelons,, growing of root, bulb or tuberous vegetables, e.g.: carrots, turnips, garlic, onions (including shallots), leeks and other alliaceous vegetables, growing of mushrooms and truffles, growing of vegetable seeds, including sugar beet seeds, excluding other beet seeds, growing of sugar beet, growing of chillies, peppers (Capsicum spp.), growing of roots and tubers, e.g.: potatoes, sweet potatoes, cassava, yams, swedes, mangolds This class also includes: growing of sweetcorn",,,,,,,,"Vürtside, maitse- ja ravimtaimede kasvatamine, vt 01281 mütseeli kasvatamine, vt 01301","Growing of spices and aromatic, drug and pharmaceutical crops, see 01281 growing of mushroom spawn, see 01301",,,,,,2025-01-01 00:00:00,
0114,011,4,0,Suhkrurookasvatus,Growing of sugar cane,,,,,,,,,,,"Suhkrupeedi kasvatamine, vt 0113","Growing of sugar beet, see 0113",,,,,,2025-01-01 00:00:00,
01141,0114,5,1,Suhkrurookasvatus,Growing of sugar cane,,Siia kuulub ühe- ja mitmeaastane suhkrurookasvatus,This also includes one and multi-year growing of sugar cane,,,,,,,,"Suhkrupeedi kasvatamine, vt 01131","Growing of sugar beet, see 01131",,,,,,2025-01-01 00:00:00,
0115,011,4,0,Tubakakasvatus,Growing of tobacco,,Töötlemata tubaka kasvatamine,Growing of unmanufactured tobacco,,,,,,,,"Tubakatoodete tootmine, vt 1200","Manufacture of tobacco products, see 1200",,,,,,2025-01-01 00:00:00,
01151,0115,5,1,Tubakakasvatus,Growing of tobacco,,,,,,,,,,,"Tubakatoodete tootmine, vt 12001","Manufacture of tobacco products, see 12001",,,,,,2025-01-01 00:00:00,
0116,011,4,0,Kiutaimekasvatus,Growing of fibre crops,,"Kiukultuuride kasvatamine, nt: puuvilla kasvatamine, džuudi, kanephibiski (kenaffi) ja teiste niinekiudude kasvatamine, lina ja kanepi kasvatamine, sisaliagaavi ja teiste agaavi perekonda kuuluvate tekstiilkiudude kasvatamine, abaka, ramjee vm taimsete tekstiilkiudude kasvatamine","Growing of fibre crops, e.g.: growing of cotton, growing of jute, kenaf and other textile bast fibres, growing of flax and hemp, growing of sisal and other textile fibre of the genus agave, growing of abaca, ramie and other vegetable textile fibres",,,,,,,,,,,,,,,2025-01-01 00:00:00,
01161,0116,5,1,Kiutaimekasvatus,Growing of fibre crops,,"Kiukultuuride kasvatamine, nt: puuvilla kasvatamine, džuudi, kanephibiski (kenaffi) ja teiste niinekiudude kasvatamine, lina ja kanepi kasvatamine, sisaliagaavi ja teiste agaavi perekonda kuuluvate tekstiilkiudude kasvatamine, abaka, ramjee vm taimsete tekstiilkiudude kasvatamine","Growing of fibre crops, e.g.: growing of cotton, growing of jute, kenaf and other textile bast fibres, growing of flax and hemp, growing of sisal and other textile fibre of the genus agave, growing of abaca, ramie and other vegetable textile fibres",,,,,,,,,,,,,,,2025-01-01 00:00:00,
0119,011,4,0,Muude üheaastaste põllukultuuride kasvatus,Growing of other non-perennial crops,,"Muude üheaastaste põllukultuuride kasvatamine, nt: ristiku, lutserni, esparseti, maisi, lupiini, muude rohttaimede, söödakapsa vm sarnaste söödataimede kasvatamine, peediseemnete ja söödataimede seemnete kasvatamine, lillede kasvatamine, lillede ja õiepungade lõikus, lilleseemnete kasvatamine","The growing of all other non-perennial crops, e.g.: growing of clover, alfalfa, sainfoin, maize, lupines, other grasses, fodder kale and similar forage crops, growing of beet seeds and seeds of forage plants, growing of flowers, cutting of flowers and flower buds, growing of flower seeds",,,,,,,,"Suhkrupeediseemnete kasvatamine, vt 0113 üheaastaste vürtside, maitse- ja ravimtaimede kasvatamine, vt 0128","Growing of sugar beet seeds, see 0113 growing of non-perennial spices and aromatic, drug and pharmaceutical crops, see 0128",,,,,,2025-01-01 00:00:00,
01191,0119,5,1,Lillekasvatus,Growing of flowers,,"Lillede kasvatamine, lõikelillede ja õienuppude kasvatamine, lillede ja õiepungade lõikus, lilleseemnete kasvatamine","Growing of flowers, production of cut flowers and flower buds, cutting of flowers and flower buds, growing of flower seeds",,,,,,,,,,,,,,,2025-01-01 00:00:00,
01192,0119,5,1,Sööda- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus,Growing of fodder crops and grasses and other non-perennial crops,,"Muude üheaastaste söödakultuuri-, heintaime- jm sarnaste põllukultuuride kasvatamine, nt: ristiku, lutserni, esparseti, maisi, lupiini, muude rohttaimede, söödakapsa vm sarnaste söödataimede kasvatamine, peediseemnete ja söödataimede seemnete kasvatamine","The growing of fodder crops, grasses and other non?perennial crops, e.g.: growing of clover, alfalfa, sainfoin, maize, lupines, other grasses, fodder kale and similar forage crops, growing of beet seeds and seeds of forage plants",,,,,,,,"Suhkrupeediseemnete kasvatamine, vt 01131 üheaastaste vürtside, maitse- ja ravimtaimede kasvatamine, vt 01281 mitmeaastaste söödakultuuri-, heintaime- jm sarnaste põllukultuuride kasvatamine, vt 01291 oma kasvatatud põllukultuuridest silo valmistamine, vt 10911","Growing of sugar beet seeds, see 01131 growing of non-perennial spices and aromatic, drug and pharmaceutical crops, see 01281 growing of fodder crops, grasses and other perennial crops, see 01291 silage production from own-grown crops, see 10911",,,,,,2025-01-01 00:00:00,
012,01,3,0,Mitmeaastaste taimede kasvatus,Growing of perennial crops,,"Siia rühma kuulub mitmeaastaste kultuuride kasvatamine, st taimed, mille eluiga on pikem kui kaks kasvuperioodi, olenemata sellest, kas nad on igihaljad või heitlehised. Siia kuulub ka nende taimede kasvatamine seemnetootmise eesmärgil.","The growing of perennial crops, in other words, plants that last for more than two growing seasons, either dying back after each season or growing continuously. Included is the growing of these plants for the purpose of seed production.",,,,,,,,,,,,,,,2025-01-01 00:00:00,
0121,012,4,0,Viinamarjakasvatus,Growing of grapes,,"Viinamarjade kasvatamine kohe tarbimiseks või veini, mahla, äädika või kuivatatud puuviljade, nt rosinate või korintide tootmiseks","Growing of grapes for consumption or for further production of wine, juice, vinegar and dried fruit (e.g. raisins, zante currants or sultanas)",,,,,,,,"Mahla tootmine, vt 1032 veini tootmine, vt 1102","Manufacture of juice, see 1032 manufacture of wine, see 1102",,,,,,2025-01-01 00:00:00,
01211,0121,5,1,Viinamarjakasvatus,Growing of grapes,,"Viinamarjade kasvatamine kohe tarbimiseks või veini, mahla, äädika või kuivatatud puuviljade, nt rosinate või korintide tootmiseks","Growing of grapes for consumption or for further production of wine, juice, vinegar and dried fruit (e.g. raisins, zante currants or sultanas)",,,,,,,,"Mahla tootmine, vt 10321 veini tootmine, vt 11021","Manufacture of juice, see 10321 manufacture of wine, see 11021",,,,,,2025-01-01 00:00:00,
0122,012,4,0,Troopiliste ja subtroopiliste viljade kasvatus,Growing of tropical and subtropical fruits,,"Troopiliste ja subtroopiliste viljade kasvatamine, nt: avokaadod, banaanid ja jahubanaanid, datlid, viigimarjad, mangod, papaiad, ananassid, rambutanid, litšid","Growing of tropical and subtropical fruits, e.g.: avocados, bananas and plantains, dates, figs, mangoes, papayas, pineapples, rambutans, lychees",,,,,,,,,,,,,,,2025-01-01 00:00:00,
01221,0122,5,1,Troopiliste ja subtroopiliste viljade kasvatus,Growing of tropical and subtropical fruits,,"Troopiliste ja subtroopiliste viljade kasvatamine, nt: avokaadod, banaanid ja jahubanaanid, datlid, viigimarjad, mangod, papaiad, ananassid, rambutanid, litšid","Growing of tropical and subtropical fruits, e.g.: avocados, bananas and plantains, dates, figs, mangoes, papayas, pineapples, rambutans, lychees",,,,,,,,,,,,,,,2025-01-01 00:00:00,
0123,012,4,0,Tsitruseliste kasvatus,Growing of citrus fruits,,"Tsitruseliste kasvatus, nt: greibid ja pomelid, sidrunid ja laimid, apelsinid, tangeriinid, mandariinid ja klementiinid","Growing of citrus fruits, e.g.: grapefruit and pomelo, lemons and limes, oranges, tangerines, mandarins and clementines",,,,,,,,,,,,,,,2025-01-01 00:00:00,
01231,0123,5,1,Tsitruseliste kasvatus,Growing of citrus fruits,,"Tsitruseliste kasvatamine, nt: greibid ja pomelid, sidrunid ja laimid, apelsinid, tangeriinid, mandariinid ja klementiinid","Growing of citrus fruits, e.g.: grapefruit and pomelo, lemons and limes, oranges, tangerines, mandarins and clementines",,,,,,,,,,,,,,,2025-01-01 00:00:00,
0124,012,4,0,Õun- ja luuviljaliste puuviljade kasvatus,Growing of pome fruits and stone fruits,,"Õun- ja luuviljaliste puuviljade kasvatus, nt: õunad, aprikoosid, kirsid ja hapukirsid, virsikud ja nektariinid, pirnid ja küdooniad, ploomid ja laukaploomid","Growing of pome fruits and stone fruits, e.g.: apples, apricots, cherries and sour cherries, peaches and nectarines, pears and quinces, plums and sloes",,,,,,,,"Mangode, rambutanide ja litšide kasvatamine, vt 0122 oliivide kasvatamine, vt 0126","Growing of mangoes, rambutans and lychees, see 0122 growing of olives, see 0126",,,,,,2025-01-01 00:00:00,
01241,0124,5,1,Õun- ja luuviljaliste puuviljade kasvatus,Growing of pome fruits and stone fruits,,"Õun-ja luuviljaliste puuviljade kasvatamine, nt: õun, aprikoos, kirss ja hapukirss e murel, virsik, nektariin, pirn, küdoonia, ploom ja laukaploom","Growing of pome fruits and stone fruits, e.g.: apples, apricots, cherries and sour cherries, peaches and nectarines, pears and quinces, plums and sloes)",,,,,,,,"Mangode, rambutanide ja litšide kasvatamine, vt 01221 oliivide kasvatamine, vt 01261","Growing of mangoes, rambutans and lychees, see 01221 growing of olives, see 01261",,,,,,2025-01-01 00:00:00,
0125,012,4,0,"Muu puuvilja-, marja- ning pähklikasvatus",Growing of other tree and bush fruits and nuts,,"Marjade kasvatamine, nt: mustikad, sõstrad, karusmarjad, kiivid, vaarikad, maasikad, astelpaju, puuviljaseemnete kasvatamine, söödavate pähklite kasvatamine, nt: mandlid, india pähklid, kastanid, sarapuupähklid, pistaatsiapähklid, kreeka pähklid, muude puuviljade ja marjade kasvatamine, nt: jaanikaunad","Growing of berries, e.g.: blueberries, fresh currants, gooseberries, kiwi fruit, raspberries, strawberries, sea buckthorn, growing of fruit seeds, growing of edible nuts, e.g.: almonds, cashew nuts, chestnuts, hazelnuts, pistachios, walnuts, growing of other tree and bush fruits, e.g.: locust beans",,,,,,,,"Kookospähklite kasvatamine, vt 0126","Growing of coconuts, see 0126",,,,,,2025-01-01 00:00:00,
01251,0125,5,1,"Muu puuvilja-, marja- ning pähklikasvatus",Growing of other tree and bush fruits and nuts,,"Marjade kasvatamine, nt: mustikas, sõstar, karusmari, kiivi, vaarikas, maasikas, astelpaju, puuviljaseemnete kasvatamine, söödavate pähklite kasvatamine, nt: mandlid, india pähklid, kastanid, sarapuupähklid, pistaatsiapähklid, kreeka pähklid, muude puuviljade ja marjade kasvatamine, nt: jaanikaunad","Growing of berries, e.g.: blueberries, fresh currants, gooseberries, kiwi fruit, raspberries, strawberries, sea buckthorn, growing of fruit seeds,growing of edible nuts, e.g.: almonds, cashew nuts, chestnuts, hazelnuts, pistachios, walnuts, growing of other tree and bush fruits, e.g.: locust beans",,,,,,,,"Kookospähklite kasvatamine, vt 01261","Growing of coconuts, see 01261",,,,,,2025-01-01 00:00:00,
0126,012,4,0,Õliviljade kasvatus,Growing of oleaginous fruits,,"Õliviljade kasvatamine, nt: kookospähklid, oliivid, õlipalmid","Growing of oleaginous fruits, e.g.: coconuts, olives, oil palms",,,,,,,,"Sojaubade, maapähklite vm õliseemnete kasvatamine, vt 0111 pähklite, nt kreeka pähklite, mandlite, sarapuupähklite, seedermänniseemnete, pistaatsiapähklite kasvatamine õli saamiseks, vt 0125","Growing of soya beans, groundnuts and other oil seeds, see 0111 growing of nuts for oil (e.g. walnuts, almonds, hazelnuts, pine nuts or pistachios), see 0125",,,,,,2025-01-01 00:00:00,
01261,0126,5,1,Õliviljade kasvatus,Growing of oleaginous fruits,,"Õliviljade kasvatamine, nt: kookospähklid, oliivid, õlipalmid","Growing of oleaginous fruits, e.g.: coconuts, olives, oil palms",,,,,,,,"Sojaubade, maapähklite vm õliseemnete kasvatamine, vt 01111 pähklite, nt kreeka pähklite, mandlite, sarapuupähklite, seedermänniseemnete, pistaatsiapähklite kasvatamine õli saamiseks, vt 01251","Growing of soya beans, groundnuts and other oil seeds, see 01111 growing of nuts for oil (e.g. walnuts, almonds, hazelnuts, pine nuts or pistachios), see 01251",,,,,,2025-01-01 00:00:00,
0127,012,4,0,Joogitaimekasvatus,Growing of beverage crops,,"Joogitaimede kasvatamine, nt: kohv, tee, mate, kakao","Growing of beverage crops e.g.: coffee, tea, maté, cocoa",,,,,,,,"Viinamarjade kasvatamine, vt 0121 humala kasvatamine, vt 0128","Growing of grapes, see 0121 growing of hops, see 0128",,,,,,2025-01-01 00:00:00,
01271,0127,5,1,Joogitaimekasvatus,Growing of beverage crops,,"Joogitaimede kasvatamine, nt: kohv, tee, mate, kakao","Growing of beverage crops, e.g.: coffee, tea, mate, cocoa",,,,,,,,"Viinamarjade kasvatamine, vt 01211 humala kasvatamine, vt 01281","Growing of grapes, see 01211 growing of hops, see 01281",,,,,,2025-01-01 00:00:00,
