Tegemist on loendiga (abistav info),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
CA,,,,Kanada,Canada,Канада,Sotsiaalkindlustusleping,Social security contract,Cоглашение о социальном обеспечении,,,,,,,,,,,,,,2014-01-01 00:00:00,
CH,,,,Šveits,Switzerland,Швейцария,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
CZ,,,,Tšehhi,Czech Republic,Чехия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
CY,,,,Küpros,Cyprus,Кипр,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
DE,,,,Saksamaa,Germany,Германия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
DK,,,,Taani,Denmark,Дания,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
EE,,,,Eesti,Estonia,Эстония,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
EL,,,,Kreeka,Greece,Греция,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
ES,,,,Hispaania,Spain,Испания,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
FI,,,,Soome,Finland,Финляндия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
FR,,,,Prantsusmaa,France,Франция,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
HR,,,,Horvaatia,Croatia,Хорватия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
HU,,,,Ungari,Hungary,Венгрия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
IE,,,,Iirimaa,Ireland,Ирландия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
IS,,,,Island,Iceland,Исландия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
IT,,,,Itaalia,Italy,Италия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
LI,,,,Liechtenstein,Liechtenstein,Лихтенштейн,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
LT,,,,Leedu,Lithuania,Литва,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
LU,,,,Luksemburg,Luxembourg,Люксембург,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
LV,,,,Läti,Latvia,Латвия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
MT,,,,Malta,Malta,Мальта,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
NL,,,,Holland,Netherlands,Нидерланды,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
NO,,,,Norra,Norway,Норвегия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
PL,,,,Poola,Poland,Польша,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
PT,,,,Portugal,Portugal,Португалия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
RO,,,,Rumeenia,Romania,Румыния,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
SE,,,,Rootsi,Sweden,Швеция,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
SI,,,,Sloveenia,Slovenia,Словения,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
SK,,,,Slovakkia,Slovakia,Словакия,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,
UA,,,,Ukraina,Ukraine,Украина,Sotsiaalkindlustusleping,Social security contract,Cоглашение о социальном обеспечении,,,,,,,,,,,,,,2014-01-01 00:00:00,
