sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
3748,2,R,,(Reporting Organization) Business Segment,,1,,"The reference association to the Reporting Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",AICPA,4,(Reporting Organization) Business Segment,BS05cV,/None08a/BS05cV,$.Tax Regulator AICPA.(Reporting Organization) Business Segment,TxRgltrAicpa.ReprtOrgnzBusSg,,,
3749,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,AICPA,4,(Reporting Organization) Business Segment,BS05cV_01,/None08a/BS05cV_01,$.Tax Regulator AICPA.(Reporting Organization) Business Segment.Code,TxRgltrAicpa.ReprtOrgnzBusSg.Cd,,,
3750,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",AICPA,4,(Reporting Organization) Business Segment,BS05cV_03,/None08a/BS05cV_03,$.Tax Regulator AICPA.(Reporting Organization) Business Segment.Segment Reference Level,TxRgltrAicpa.ReprtOrgnzBusSg.SgRefLevl,,,
3751,2,R,,(Accrual) Ledger Account,,1,,"The reference association to the Accrual Ledger Account class, which is a class stores information about General Ledger accounts.",AICPA,20,(Accrual) Ledger Account,BS23bD,/None08a/BS23bD,$.Tax Regulator AICPA.(Accrual) Ledger Account,TxRgltrAicpa.AccrlLedgrAcnt,,,
3752,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",AICPA,20,(Accrual) Ledger Account,BS23bD_01,/None08a/BS23bD_01,$.Tax Regulator AICPA.(Accrual) Ledger Account.Account Number,TxRgltrAicpa.AccrlLedgrAcnt.AcntNr,,,
3753,2,R,,(Expense) Ledger Account,,1,,"The reference association to the Expense Ledger Account class, which is a class stores information about General Ledger accounts.",AICPA,20,(Expense) Ledger Account,BS23bE,/None08a/BS23bE,$.Tax Regulator AICPA.(Expense) Ledger Account,TxRgltrAicpa.ExpnsLedgrAcnt,,,
3754,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",AICPA,20,(Expense) Ledger Account,BS23bE_01,/None08a/BS23bE_01,$.Tax Regulator AICPA.(Expense) Ledger Account.Account Number,TxRgltrAicpa.ExpnsLedgrAcnt.AcntNr,,,
3755,2,R,,(Payable) Ledger Account,,1,,"The reference association to the Payable Ledger Account class, which is a class stores information about General Ledger accounts.",AICPA,20,(Payable) Ledger Account,BS23bF,/None08a/BS23bF,$.Tax Regulator AICPA.(Payable) Ledger Account,TxRgltrAicpa.PayblLedgrAcnt,,,
3756,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",AICPA,20,(Payable) Ledger Account,BS23bF_01,/None08a/BS23bF_01,$.Tax Regulator AICPA.(Payable) Ledger Account.Account Number,TxRgltrAicpa.PayblLedgrAcnt.AcntNr,,,
3757,1,C,,User AICPA,,,,"This table holds an identifier and information about each user within the system. Each user should have a full name, title, and role (if available) within the system.",AICPA,0,User AICPA,None02a,/None02a,$.User AICPA,UsrAicpa,,,
3758,2,A,PK,ID,Identifier,1..1,Identifier Short,"The unique identifier for individuals entering transactions into the accounting and/or ERP system.
",AICPA,10,User AICPA,None02a_BS17_01,/None02a/None02a_BS17_01,$.User AICPA.ID,UsrAicpa.Id,,,
3759,2,A,,Status Modified Date,Date,0..1,DATE,The date on which the activation or termination status of the user was last modified.,AICPA,10,User AICPA,None02a_BS17_03,/None02a/None02a_BS17_03,$.User AICPA.Status Modified Date,UsrAicpa.StatMdfDt,,,
3760,2,A,,Job Title,Char,0..1,Char Long,"The designation of the individual's role within the system, indicating their position or responsibility.",AICPA,10,User AICPA,None02a_BS17_05,/None02a/None02a_BS17_05,$.User AICPA.Job Title,UsrAicpa.JbTtl,,,
3761,2,A,,Role Responsibility,Char,0..1,Char Long,A descriptive depiction of the functional role or primary responsibility of the individual within the system.,AICPA,10,User AICPA,None02a_BS17_06,/None02a/None02a_BS17_06,$.User AICPA.Role Responsibility,UsrAicpa.RlResp,,,
3762,2,A,,(First) Name,Name,1,Name Medium,The first (given) name of the person.,AICPA,0,User AICPA,None02a_03,/None02a/None02a_03,$.User AICPA.First_Name,UsrAicpa.Frstn,,,
3763,2,A,,(Last) Name,Name,1,Name Medium,The last (family) name of the person.,AICPA,0,User AICPA,None02a_04,/None02a/None02a_04,$.User AICPA.Last_Name,UsrAicpa.Lastn,,,
3764,2,R,,(Department) Business Segment,,0..1,,"The reference association to the Department Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",AICPA,4,(Department) Business Segment,BS05cW,/None02a/BS05cW,$.User AICPA.(Department) Business Segment,UsrAicpa.DeprtBusSg,,,
3765,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,AICPA,4,(Department) Business Segment,BS05cW_01,/None02a/BS05cW_01,$.User AICPA.(Department) Business Segment.Code,UsrAicpa.DeprtBusSg.Cd,,,
3766,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",AICPA,4,(Department) Business Segment,BS05cW_03,/None02a/BS05cW_03,$.User AICPA.(Department) Business Segment.Segment Reference Level,UsrAicpa.DeprtBusSg.SgRefLevl,,,
3767,1,C,,Business Unit AICPA,,,,The business unit listing includes a description of business units and the definition of any business unit hierarchy.,AICPA,0,Business Unit AICPA,None03a,/None03a,$.Business Unit AICPA,BusUntAicpa,,,
3768,2,A,PK,(Business) Unit_Code,Identifier,1,Identifier Short,"Used to identify the business unit, region, branch, and so on at the level that financial
statements are being audited and for which the trial balance is generated. For example, you may use a code aligned with the concept of a reportable segment as defined in FASB Accounting Standards Codification (ASC)
280, Segment Reporting.",AICPA,0,Business Unit AICPA,None03a_01,/None03a/None03a_01,$.Business Unit AICPA.Business_Unit_Code,BusUntAicpa.Bsnss,,,
3769,2,A,,(Business) Unit_Description,Text,1,Text Short,Business unit (plain English) description to indicate the name or other identifying characteristics of the business unit.,AICPA,0,Business Unit AICPA,None03a_02,/None03a/None03a_02,$.Business Unit AICPA.Business_Unit_Description,BusUntAicpa.Bsnss,,,
3770,2,A,,(Business) Unit_Hierarchy1,Char,0..1,Char Long,"If a hierarchy exists in the business unit structure, use the field to capture the highest level of the hierarchy (for example, global area with values such as North America, South America, Europe, the Middle East, Africa, the Far East, and so on).",AICPA,0,Business Unit AICPA,None03a_03,/None03a/None03a_03,$.Business Unit AICPA.Business_Unit_Hierarchy1,BusUntAicpa.Bsnss,,,
3771,2,A,,(Business) Unit_Hierarchy2,Char,0..1,Char Long,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy (for example, regions with values such as East Coast, West Coast, Central-Western Europe, and so on).",AICPA,0,Business Unit AICPA,None03a_04,/None03a/None03a_04,$.Business Unit AICPA.Business_Unit_Hierarchy2,BusUntAicpa.Bsnss,,,
3772,2,A,,(Business) Unit_Hierarchy3,Char,0..1,Char Long,"If a hierarchy exists in the business unit structure, use the field to capture the next
lower level of the hierarchy (for example, cities with values such as Los Angeles, Boston, Frankfurt, and so on).",AICPA,0,Business Unit AICPA,None03a_05,/None03a/None03a_05,$.Business Unit AICPA.Business_Unit_Hierarchy3,BusUntAicpa.Bsnss,,,
3773,2,A,,(Business) Unit_Hierarchy4,Char,0..1,Char Long,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy.",AICPA,0,Business Unit AICPA,None03a_06,/None03a/None03a_06,$.Business Unit AICPA.Business_Unit_Hierarchy4,BusUntAicpa.Bsnss,,,
3774,2,A,,(Business) Unit_Hierarchy5,Char,0..1,Char Long,"If a hierarchy exists in the business unit structure, use the field to capture the next lower level of the hierarchy.",AICPA,0,Business Unit AICPA,None03a_07,/None03a/None03a_07,$.Business Unit AICPA.Business_Unit_Hierarchy5,BusUntAicpa.Bsnss,,,
3775,1,C,,Purchase Order Line AICPA,,,,,AICPA,0,Purchase Order Line AICPA,None16a,/None16a,$.Purchase Order Line AICPA,PurOrdLnAicpa,,,
3776,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line item within an order.,AICPA,0,Purchase Order Line AICPA,None16a_None14_01,/None16a/None16a_None14_01,$.Purchase Order Line AICPA.ID,PurOrdLnAicpa.Id,,,
3777,2,C,,Product AICPA,,1,,A class that describes an inventory item with all its essential attributes and tracking details.,AICPA,0,Product AICPA,None01a,/None16a/None01a,$.Purchase Order Line AICPA.Product AICPA,PurOrdLnAicpa.PrdctAicpa,,,
3778,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an inventory item.,AICPA,125,Product AICPA,None01a_IV06_01,/None16a/None01a_IV06_01,$.Purchase Order Line AICPA.Product AICPA.ID,PurOrdLnAicpa.PrdctAicpa.Id,,,
3779,3,A,,Code,Char,0..1,Char Long,The exclusive code assigned to a product within an inventory system for tracking and internal management.,AICPA,125,Product AICPA,None01a_IV06_02,/None16a/None01a_IV06_02,$.Purchase Order Line AICPA.Product AICPA.Code,PurOrdLnAicpa.PrdctAicpa.Cd,,,
3780,3,A,,Product Group1,Char,0..1,Char Short,The primary category or classification to which a product belongs.,AICPA,125,Product AICPA,None01a_IV06_03,/None16a/None01a_IV06_03,$.Purchase Order Line AICPA.Product AICPA.Product Group1,PurOrdLnAicpa.PrdctAicpa.PrdctGrp,,,
3781,3,A,,Product Group2,Char,0..1,Char Short,The secondary category or classification to which a product belongs.,AICPA,125,Product AICPA,None01a_IV06_04,/None16a/None01a_IV06_04,$.Purchase Order Line AICPA.Product AICPA.Product Group2,PurOrdLnAicpa.PrdctAicpa.PrdctGrp,,,
3782,3,A,,(Product) Description,Text,1,,Product description (plain English) to indicate the name or other identifying characteristics of the product.,AICPA,0,Product AICPA,None01a_14,/None16a/None01a_14,$.Purchase Order Line AICPA.Product AICPA.Product_Description,PurOrdLnAicpa.PrdctAicpa.Prdct,,,
3783,2,C,,(Unit Price) Amount,,1,,A class that specifies a value of money in a given currency.,AICPA,0,(Unit Price) Amount,GE05fr,/None16a/GE05fr,$.Purchase Order Line AICPA.(Unit Price) Amount,PurOrdLnAicpa.UntPrcAmt,,,
3784,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,AICPA,0,(Unit Price) Amount,GE05fr_01,/None16a/GE05fr_01,$.Purchase Order Line AICPA.(Unit Price) Amount.Value,PurOrdLnAicpa.UntPrcAmt.Val,,,
3785,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",AICPA,30,Currency,BS02gz,/None16a/BS02gz,$.Purchase Order Line AICPA.(Unit Price) Amount.Currency,PurOrdLnAicpa.UntPrcAmt.Cur,,,
3786,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,AICPA,30,Currency,BS02gz_01,/None16a/BS02gz_01,$.Purchase Order Line AICPA.(Unit Price) Amount.Currency.Code,PurOrdLnAicpa.UntPrcAmt.Cur.Cd,,,
3787,2,C,,(Local) Amount,,1,,A class that specifies a value of money in a given currency.,AICPA,0,(Local) Amount,GE05fs,/None16a/GE05fs,$.Purchase Order Line AICPA.(Local) Amount,PurOrdLnAicpa.LclAmt,,,
3788,3,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,AICPA,0,(Local) Amount,GE05fs_01,/None16a/GE05fs_01,$.Purchase Order Line AICPA.(Local) Amount.Value,PurOrdLnAicpa.LclAmt.Val,,,
3789,3,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",AICPA,30,Currency,BS02gA,/None16a/BS02gA,$.Purchase Order Line AICPA.(Local) Amount.Currency,PurOrdLnAicpa.LclAmt.Cur,,,
3790,4,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,AICPA,30,Currency,BS02gA_01,/None16a/BS02gA_01,$.Purchase Order Line AICPA.(Local) Amount.Currency.Code,PurOrdLnAicpa.LclAmt.Cur.Cd,,,
3791,2,C,,Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",AICPA,0,Quantity,GE07a8,/None16a/GE07a8,$.Purchase Order Line AICPA.Quantity,PurOrdLnAicpa.Qt,,,
3792,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,AICPA,0,Quantity,GE07a8_01,/None16a/GE07a8_01,$.Purchase Order Line AICPA.Quantity.Value,PurOrdLnAicpa.Qt.Val,,,
3793,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",AICPA,32,Measurement Unit,BS25ao,/None16a/BS25ao,$.Purchase Order Line AICPA.Quantity.Measurement Unit,PurOrdLnAicpa.Qt.MeaUnt,,,
3794,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,AICPA,32,Measurement Unit,BS25ao_01,/None16a/BS25ao_01,$.Purchase Order Line AICPA.Quantity.Measurement Unit.UOM Code,PurOrdLnAicpa.Qt.MeaUnt.UomCd,,,
3795,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",AICPA,4,Business Segment,BS05cX,/None16a/BS05cX,$.Purchase Order Line AICPA.Business Segment,PurOrdLnAicpa.BusSg,,,
3796,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,AICPA,4,Business Segment,BS05cX_01,/None16a/BS05cX/BS05cX_01,$.Purchase Order Line AICPA.Business Segment.Code,PurOrdLnAicpa.BusSg.Cd,,,
3797,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",AICPA,4,Business Segment,BS05cX_03,/None16a/BS05cX/BS05cX_03,$.Purchase Order Line AICPA.Business Segment.Segment Reference Level,PurOrdLnAicpa.BusSg.SgRefLevl,,,
3798,1,C,,Purchase Invoice Line AICPA,,,,A class representing detailed charges for individual goods or services provided as listed on a purchase invoice.,AICPA,0,Purchase Invoice Line AICPA,None22a,/None22a,$.Purchase Invoice Line AICPA,PurInvoiLnAicpa,,,
3799,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line within an invoice.,AICPA,0,Purchase Invoice Line AICPA,None22a_None20_GE16_01,/None22a/None22a_None20_GE16_01,$.Purchase Invoice Line AICPA.ID,PurInvoiLnAicpa.Id,,,
3800,2,A,,Grouping Code,Char,0..1,Char Long,The code that consolidates related line items within an invoice for batch processing or organizational purposes within an ERP system.,AICPA,0,Purchase Invoice Line AICPA,None22a_None20_GE16_03,/None22a/None22a_None20_GE16_03,$.Purchase Invoice Line AICPA.Grouping Code,PurInvoiLnAicpa.GrpCd,,,
3801,2,C,,Amounts AICPA,,1,,"A class that keeps track of money values in different currencies, including the main, report, local, and transaction currencies for clear financial understanding and analysis in various regions and economies.",AICPA,0,Amounts AICPA,None10a,/None22a/None10a,$.Purchase Invoice Line AICPA.Amounts AICPA,PurInvoiLnAicpa.AmntsAicpa,,,
3802,3,C,,(Functional) Amount,,0..1,,A class that specifies a value of money in a given currency.,AICPA,0,(Functional) Amount,GE05ft,/None22a/GE05ft,$.Purchase Invoice Line AICPA.Amounts AICPA.(Functional) Amount,PurInvoiLnAicpa.AmntsAicpa.FnctnAmt,,,
3803,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,AICPA,0,(Functional) Amount,GE05ft_01,/None22a/GE05ft_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Functional) Amount.Value,PurInvoiLnAicpa.AmntsAicpa.FnctnAmt.Val,,,
3804,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",AICPA,30,Currency,BS02gB,/None22a/BS02gB,$.Purchase Invoice Line AICPA.Amounts AICPA.(Functional) Amount.Currency,PurInvoiLnAicpa.AmntsAicpa.FnctnAmt.Cur,,,
3805,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,AICPA,30,Currency,BS02gB_01,/None22a/BS02gB_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Functional) Amount.Currency.Code,PurInvoiLnAicpa.AmntsAicpa.FnctnAmt.Cur.Cd,,,
3806,3,C,,(Local) Amount,,0..1,,A class that specifies a value of money in a given currency.,AICPA,0,(Local) Amount,GE05fu,/None22a/GE05fu,$.Purchase Invoice Line AICPA.Amounts AICPA.(Local) Amount,PurInvoiLnAicpa.AmntsAicpa.LclAmt,,,
3807,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,AICPA,0,(Local) Amount,GE05fu_01,/None22a/GE05fu_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Local) Amount.Value,PurInvoiLnAicpa.AmntsAicpa.LclAmt.Val,,,
3808,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",AICPA,30,Currency,BS02gC,/None22a/BS02gC,$.Purchase Invoice Line AICPA.Amounts AICPA.(Local) Amount.Currency,PurInvoiLnAicpa.AmntsAicpa.LclAmt.Cur,,,
3809,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,AICPA,30,Currency,BS02gC_01,/None22a/BS02gC_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Local) Amount.Currency.Code,PurInvoiLnAicpa.AmntsAicpa.LclAmt.Cur.Cd,,,
3810,3,C,,(Reporting) Amount,,0..1,,A class that specifies a value of money in a given currency.,AICPA,0,(Reporting) Amount,GE05fv,/None22a/GE05fv,$.Purchase Invoice Line AICPA.Amounts AICPA.(Reporting) Amount,PurInvoiLnAicpa.AmntsAicpa.ReprtAmt,,,
3811,4,A,,Value,Decimal,0..1,AMOUNT,The numerical value representing a sum of money.,AICPA,0,(Reporting) Amount,GE05fv_01,/None22a/GE05fv_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Reporting) Amount.Value,PurInvoiLnAicpa.AmntsAicpa.ReprtAmt.Val,,,
3812,4,R,,Currency,,0..1,,"The reference association to the Currency class, which is a class holds information about different currencies.",AICPA,30,Currency,BS02gD,/None22a/BS02gD,$.Purchase Invoice Line AICPA.Amounts AICPA.(Reporting) Amount.Currency,PurInvoiLnAicpa.AmntsAicpa.ReprtAmt.Cur,,,
3813,5,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,AICPA,30,Currency,BS02gD_01,/None22a/BS02gD_01,$.Purchase Invoice Line AICPA.Amounts AICPA.(Reporting) Amount.Currency.Code,PurInvoiLnAicpa.AmntsAicpa.ReprtAmt.Cur.Cd,,,
3814,2,C,,(Basic UOM) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",AICPA,0,(Basic UOM) Quantity,GE07a9,/None22a/GE07a9,$.Purchase Invoice Line AICPA.(Basic UOM) Quantity,PurInvoiLnAicpa.BascUomQt,,,
3815,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,AICPA,0,(Basic UOM) Quantity,GE07a9_01,/None22a/GE07a9_01,$.Purchase Invoice Line AICPA.(Basic UOM) Quantity.Value,PurInvoiLnAicpa.BascUomQt.Val,,,
3816,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",AICPA,32,Measurement Unit,BS25ap,/None22a/BS25ap,$.Purchase Invoice Line AICPA.(Basic UOM) Quantity.Measurement Unit,PurInvoiLnAicpa.BascUomQt.MeaUnt,,,
3817,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,AICPA,32,Measurement Unit,BS25ap_01,/None22a/BS25ap_01,$.Purchase Invoice Line AICPA.(Basic UOM) Quantity.Measurement Unit.UOM Code,PurInvoiLnAicpa.BascUomQt.MeaUnt.UomCd,,,
3818,2,C,,(Invoice) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",AICPA,0,(Invoice) Quantity,GE07aa,/None22a/GE07aa,$.Purchase Invoice Line AICPA.(Invoice) Quantity,PurInvoiLnAicpa.InvcQt,,,
3819,3,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,AICPA,0,(Invoice) Quantity,GE07aa_01,/None22a/GE07aa_01,$.Purchase Invoice Line AICPA.(Invoice) Quantity.Value,PurInvoiLnAicpa.InvcQt.Val,,,
3820,3,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",AICPA,32,Measurement Unit,BS25bq,/None22a/BS25bq,$.Purchase Invoice Line AICPA.(Invoice) Quantity.Measurement Unit,PurInvoiLnAicpa.InvcQt.MeaUnt,,,
3821,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,AICPA,32,Measurement Unit,BS25bq_01,/None22a/BS25bq_01,$.Purchase Invoice Line AICPA.(Invoice) Quantity.Measurement Unit.UOM Code,PurInvoiLnAicpa.InvcQt.MeaUnt.UomCd,,,
3822,2,R,,(Credit) Ledger Account,,0..1,,"The reference association to the Credit Ledger Account class, which is a class stores information about General Ledger accounts.",AICPA,20,(Credit) Ledger Account,BS23bG,/None22a/BS23bG,$.Purchase Invoice Line AICPA.(Credit) Ledger Account,PurInvoiLnAicpa.CrdtLedgrAcnt,,,
3823,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",AICPA,20,(Credit) Ledger Account,BS23bG_01,/None22a/BS23bG_01,$.Purchase Invoice Line AICPA.(Credit) Ledger Account.Account Number,PurInvoiLnAicpa.CrdtLedgrAcnt.AcntNr,,,
3824,2,R,,(Debit) Ledger Account,,0..1,,"The reference association to the Debit Ledger Account class, which is a class stores information about General Ledger accounts.",AICPA,20,(Debit) Ledger Account,BS23bH,/None22a/BS23bH,$.Purchase Invoice Line AICPA.(Debit) Ledger Account,PurInvoiLnAicpa.DebtLedgrAcnt,,,
3825,3,A,REF,Account Number,Identifier,1..1,LEDGER ACCOUNT NUMBER,"The reference identifier assigned to a general ledger account, categorically coded to align with established accounting principles and the specific characteristics of the business.",AICPA,20,(Debit) Ledger Account,BS23bH_01,/None22a/BS23bH_01,$.Purchase Invoice Line AICPA.(Debit) Ledger Account.Account Number,PurInvoiLnAicpa.DebtLedgrAcnt.AcntNr,,,
3826,2,C,,Product AICPA,,0..1,,A class that describes an inventory item with all its essential attributes and tracking details.,AICPA,0,Product AICPA,None01b,/None22a/None01b,$.Purchase Invoice Line AICPA.Product AICPA,PurInvoiLnAicpa.PrdctAicpa,,,
3827,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for an inventory item.,AICPA,125,Product AICPA,None01b_IV06_01,/None22a/None01b_IV06_01,$.Purchase Invoice Line AICPA.Product AICPA.ID,PurInvoiLnAicpa.PrdctAicpa.Id,,,
3828,3,A,,Code,Char,0..1,Char Long,The exclusive code assigned to a product within an inventory system for tracking and internal management.,AICPA,125,Product AICPA,None01b_IV06_02,/None22a/None01b_IV06_02,$.Purchase Invoice Line AICPA.Product AICPA.Code,PurInvoiLnAicpa.PrdctAicpa.Cd,,,
3829,3,A,,Product Group1,Char,0..1,Char Short,The primary category or classification to which a product belongs.,AICPA,125,Product AICPA,None01b_IV06_03,/None22a/None01b_IV06_03,$.Purchase Invoice Line AICPA.Product AICPA.Product Group1,PurInvoiLnAicpa.PrdctAicpa.PrdctGrp,,,
3830,3,A,,Product Group2,Char,0..1,Char Short,The secondary category or classification to which a product belongs.,AICPA,125,Product AICPA,None01b_IV06_04,/None22a/None01b_IV06_04,$.Purchase Invoice Line AICPA.Product AICPA.Product Group2,PurInvoiLnAicpa.PrdctAicpa.PrdctGrp,,,
3831,3,A,,(Product) Description,Text,1,,Product description (plain English) to indicate the name or other identifying characteristics of the product.,AICPA,0,Product AICPA,None01b_14,/None22a/None01b_14,$.Purchase Invoice Line AICPA.Product AICPA.Product_Description,PurInvoiLnAicpa.PrdctAicpa.Prdct,,,
3832,2,R,,Purchase Order AICPA,,0..1,,,AICPA,0,Purchase Order AICPA,None13a,/None22a/None13a,$.Purchase Invoice Line AICPA.Purchase Order AICPA,PurInvoiLnAicpa.PurOrdAicpa,,,
