sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,abbreviation_path,label_local,definition_local,xpath
1018,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for a purchase requisition.,Purchase,100,Purchase Requisition,PR01a_05,/PR01a/PR01a_05,$.Purchase Requisition.Remark,PurRqstn.Remrk,,,
1019,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,Activities,GE02a,/PR01a/GE02a,$.Purchase Requisition.Activities,PurRqstn.Acts,,,
1020,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Approved) Activity,GE03a,/PR01a/GE03a,$.Purchase Requisition.Activities.(Approved) Activity,PurRqstn.Acts.ApprvAct,,,
1021,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Approved) Activity,GE03a_01,/PR01a/GE03a_01,$.Purchase Requisition.Activities.(Approved) Activity.Date,PurRqstn.Acts.ApprvAct.Dt,,,
1022,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Approved) Activity,GE03a_02,/PR01a/GE03a_02,$.Purchase Requisition.Activities.(Approved) Activity.Time,PurRqstn.Acts.ApprvAct.Tm,,,
1023,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS17b,/PR01a/BS17b,$.Purchase Requisition.Activities.(Approved) Activity.User,PurRqstn.Acts.ApprvAct.Usr,,,
1024,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS17b_01,/PR01a/BS17b_01,$.Purchase Requisition.Activities.(Approved) Activity.User.ID,PurRqstn.Acts.ApprvAct.Usr.Id,,,
1025,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Created) Activity,GE03b,/PR01a/GE03b,$.Purchase Requisition.Activities.(Created) Activity,PurRqstn.Acts.CrtdAct,,,
1026,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Created) Activity,GE03b_01,/PR01a/GE03b_01,$.Purchase Requisition.Activities.(Created) Activity.Date,PurRqstn.Acts.CrtdAct.Dt,,,
1027,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Created) Activity,GE03b_02,/PR01a/GE03b_02,$.Purchase Requisition.Activities.(Created) Activity.Time,PurRqstn.Acts.CrtdAct.Tm,,,
1028,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS17c,/PR01a/BS17c,$.Purchase Requisition.Activities.(Created) Activity.User,PurRqstn.Acts.CrtdAct.Usr,,,
1029,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS17c_01,/PR01a/BS17c_01,$.Purchase Requisition.Activities.(Created) Activity.User.ID,PurRqstn.Acts.CrtdAct.Usr.Id,,,
1030,3,C,,(Last Modified) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Last Modified) Activity,GE03c,/PR01a/GE03c,$.Purchase Requisition.Activities.(Last Modified) Activity,PurRqstn.Acts.LastMdfdAct,,,
1031,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Last Modified) Activity,GE03c_01,/PR01a/GE03c_01,$.Purchase Requisition.Activities.(Last Modified) Activity.Date,PurRqstn.Acts.LastMdfdAct.Dt,,,
1032,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Last Modified) Activity,GE03c_02,/PR01a/GE03c_02,$.Purchase Requisition.Activities.(Last Modified) Activity.Time,PurRqstn.Acts.LastMdfdAct.Tm,,,
1033,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS17d,/PR01a/BS17d,$.Purchase Requisition.Activities.(Last Modified) Activity.User,PurRqstn.Acts.LastMdfdAct.Usr,,,
1034,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS17d_01,/PR01a/BS17d_01,$.Purchase Requisition.Activities.(Last Modified) Activity.User.ID,PurRqstn.Acts.LastMdfdAct.Usr.Id,,,
1035,3,C,,(Posted) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Posted) Activity,GE03d,/PR01a/GE03d,$.Purchase Requisition.Activities.(Posted) Activity,PurRqstn.Acts.PstdAct,,,
1036,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Posted) Activity,GE03d_01,/PR01a/GE03d_01,$.Purchase Requisition.Activities.(Posted) Activity.Date,PurRqstn.Acts.PstdAct.Dt,,,
1037,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Posted) Activity,GE03d_02,/PR01a/GE03d_02,$.Purchase Requisition.Activities.(Posted) Activity.Time,PurRqstn.Acts.PstdAct.Tm,,,
1038,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS17e,/PR01a/BS17e,$.Purchase Requisition.Activities.(Posted) Activity.User,PurRqstn.Acts.PstdAct.Usr,,,
1039,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS17e_01,/PR01a/BS17e_01,$.Purchase Requisition.Activities.(Posted) Activity.User.ID,PurRqstn.Acts.PstdAct.Usr.Id,,,
1040,2,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS05b,/PR01a/BS05b,$.Purchase Requisition.Business Segment,PurRqstn.BusSg,,,
1041,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS05b_01,/PR01a/BS05b/BS05b_01,$.Purchase Requisition.Business Segment.Code,PurRqstn.BusSg.Cd,,,
1042,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS05b_03,/PR01a/BS05b/BS05b_03,$.Purchase Requisition.Business Segment.Segment Reference Level,PurRqstn.BusSg.SgRefLevl,,,
1043,2,C,,Purchase Requisition Line,,0..*,,A class representing the specifics of goods or services requested in a purchase requisition.,Purchase,102,Purchase Requisition Line,PR02a,/PR01a/PR02a,$.Purchase Requisition.Purchase Requisition Line,PurRqstn.PurRqstnLn,,,
1044,3,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a line within a purchase requisition.,Purchase,102,Purchase Requisition Line,PR02a_01,/PR01a/PR02a/PR02a_01,$.Purchase Requisition.Purchase Requisition Line.ID,PurRqstn.PurRqstnLn.Id,,,
1045,3,A,,Number,Char,0..1,Char Short,The number for a specific line within a purchase requisition document.,Purchase,102,Purchase Requisition Line,PR02a_02,/PR01a/PR02a/PR02a_02,$.Purchase Requisition.Purchase Requisition Line.Number,PurRqstn.PurRqstnLn.Nr,,,
1046,3,A,,Due Date,Date,0..1,DATE,The final date on which delivery of materials specified in a purchase requisition is requested.,Purchase,102,Purchase Requisition Line,PR02a_03,/PR01a/PR02a/PR02a_03,$.Purchase Requisition.Purchase Requisition Line.Due Date,PurRqstn.PurRqstnLn.DDt,,,
1047,3,A,,Status,Code,0..1,STATUS CODE,The current state of the purchase requisition line item's lifecycle.,Purchase,102,Purchase Requisition Line,PR02a_04,/PR01a/PR02a/PR02a_04,$.Purchase Requisition.Purchase Requisition Line.Status,PurRqstn.PurRqstnLn.Stat,,,
1048,3,R,,(Purchase Organization) Business Segment,,0..1,,"The reference association to the Purchase Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Purchase Organization) Business Segment,BS05c,/PR01a/PR02a/BS05c,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg,,,
1049,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Purchase Organization) Business Segment,BS05c_01,/PR01a/PR02a/BS05c_01,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment.Code,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg.Cd,,,
1050,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Purchase Organization) Business Segment,BS05c_03,/PR01a/PR02a/BS05c_03,$.Purchase Requisition.Purchase Requisition Line.(Purchase Organization) Business Segment.Segment Reference Level,PurRqstn.PurRqstnLn.PrchsOrgnzBusSg.SgRefLevl,,,
1051,3,R,,(Requisition Organization) Business Segment,,0..1,,"The reference association to the Requisition Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Requisition Organization) Business Segment,BS05d,/PR01a/PR02a/BS05d,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg,,,
1052,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Requisition Organization) Business Segment,BS05d_01,/PR01a/PR02a/BS05d_01,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment.Code,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg.Cd,,,
1053,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Requisition Organization) Business Segment,BS05d_03,/PR01a/PR02a/BS05d_03,$.Purchase Requisition.Purchase Requisition Line.(Requisition Organization) Business Segment.Segment Reference Level,PurRqstn.PurRqstnLn.ReqstOrgnzBusSg.SgRefLevl,,,
1054,3,R,,Inventory Product,,0..1,,"The reference association to the Inventory Product class, which is a class that describes an inventory item with all its essential attributes and tracking details.",Purchase,125,Inventory Product,IV06a,/PR01a/PR02a/IV06a,$.Purchase Requisition.Purchase Requisition Line.Inventory Product,PurRqstn.PurRqstnLn.InvPrdct,,,
1055,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an inventory item.,Purchase,125,Inventory Product,IV06a_01,/PR01a/PR02a/IV06a_01,$.Purchase Requisition.Purchase Requisition Line.Inventory Product.ID,PurRqstn.PurRqstnLn.InvPrdct.Id,,,
1056,3,R,,(Purchase) Measurement Unit,,0..1,,"The reference association to the Purchase Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,(Purchase) Measurement Unit,BS25a,/PR01a/PR02a/BS25a,$.Purchase Requisition.Purchase Requisition Line.(Purchase) Measurement Unit,PurRqstn.PurRqstnLn.PrchsMeaUnt,,,
1057,4,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,(Purchase) Measurement Unit,BS25a_01,/PR01a/PR02a/BS25a_01,$.Purchase Requisition.Purchase Requisition Line.(Purchase) Measurement Unit.UOM Code,PurRqstn.PurRqstnLn.PrchsMeaUnt.UomCd,,,
1058,3,R,,Project,,0..1,,"The reference association to the Project class, which is a class designed for specific projects that can vary from construction to research and may receive public or private funding. It methodically logs key information such as organizational hierarchy, strategic approaches, processes, steps taken, records, budgetary outlines, actual expenses, and the progress made toward set goals.",Purchase,36,Project,BS29a,/PR01a/PR02a/BS29a,$.Purchase Requisition.Purchase Requisition Line.Project,PurRqstn.PurRqstnLn.Proj,,,
1059,4,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for a project.,Purchase,36,Project,BS29a_01,/PR01a/PR02a/BS29a_01,$.Purchase Requisition.Purchase Requisition Line.Project.ID,PurRqstn.PurRqstnLn.Proj.Id,,,
1060,3,R,,Supplier,,0..1,,"The reference association to the Supplier class, which is a class containing essential information about suppliers.",Purchase,18,Supplier,BS11a,/PR01a/PR02a/BS11a,$.Purchase Requisition.Purchase Requisition Line.Supplier,PurRqstn.PurRqstnLn.Supl,,,
1061,4,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,Purchase,18,Supplier,BS11a_01,/PR01a/PR02a/BS11a_01,$.Purchase Requisition.Purchase Requisition Line.Supplier.Account ID,PurRqstn.PurRqstnLn.Supl.AcntId,,,
1062,3,C,,(Approved) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,(Approved) Quantity,GE07a,/PR01a/PR02a/GE07a,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity,PurRqstn.PurRqstnLn.ApprvQt,,,
1063,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,(Approved) Quantity,GE07a_01,/PR01a/PR02a/GE07a_01,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Value,PurRqstn.PurRqstnLn.ApprvQt.Val,,,
1064,4,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS25b,/PR01a/PR02a/BS25b,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Measurement Unit,PurRqstn.PurRqstnLn.ApprvQt.MeaUnt,,,
1065,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,Measurement Unit,BS25b_01,/PR01a/PR02a/BS25b_01,$.Purchase Requisition.Purchase Requisition Line.(Approved) Quantity.Measurement Unit.UOM Code,PurRqstn.PurRqstnLn.ApprvQt.MeaUnt.UomCd,,,
1066,3,C,,(Requisition) Quantity,,0..1,,"A class that measures the extent, size, or amount of items, including the unit of measurement.",Purchase,0,(Requisition) Quantity,GE07b,/PR01a/PR02a/GE07b,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity,PurRqstn.PurRqstnLn.ReqstQt,,,
1067,4,A,,Value,Decimal,0..1,QUANTITY,The numerical amount of a specified item or resource.,Purchase,0,(Requisition) Quantity,GE07b_01,/PR01a/PR02a/GE07b_01,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity.Value,PurRqstn.PurRqstnLn.ReqstQt.Val,,,
1068,4,R,,Measurement Unit,,0..1,,"The reference association to the Measurement Unit class, which is a class documents the units of measure utilized across various business documents and accounting ledgers.",Purchase,32,Measurement Unit,BS25c,/PR01a/PR02a/BS25c,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity.Measurement Unit,PurRqstn.PurRqstnLn.ReqstQt.MeaUnt,,,
1069,5,A,REF,UOM Code,Identifier,1..1,MEASUREMENT UNIT CODE,The unique code for the unit of measure used in transactions.,Purchase,32,Measurement Unit,BS25c_01,/PR01a/PR02a/BS25c_01,$.Purchase Requisition.Purchase Requisition Line.(Requisition) Quantity.Measurement Unit.UOM Code,PurRqstn.PurRqstnLn.ReqstQt.MeaUnt.UomCd,,,
1070,3,R,,Business Segment,,0..*,,"The reference association to the Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,Business Segment,BS05e,/PR01a/PR02a/BS05e,$.Purchase Requisition.Purchase Requisition Line.Business Segment,PurRqstn.PurRqstnLn.BusSg,,,
1071,4,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,Business Segment,BS05e_01,/PR01a/PR02a/BS05e/BS05e_01,$.Purchase Requisition.Purchase Requisition Line.Business Segment.Code,PurRqstn.PurRqstnLn.BusSg.Cd,,,
1072,4,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,Business Segment,BS05e_03,/PR01a/PR02a/BS05e/BS05e_03,$.Purchase Requisition.Purchase Requisition Line.Business Segment.Segment Reference Level,PurRqstn.PurRqstnLn.BusSg.SgRefLevl,,,
1073,1,C,,Purchase Contract,,,,A class representing an agreement with a vendor for the provision of goods or services within a specified period.,Purchase,104,Purchase Contract,PR03a,/PR03a,$.Purchase Contract,PurContr,,,
1074,2,A,PK,ID,Identifier,1..1,Identifier Medium,The unique identifier for a contract.,Purchase,0,Purchase Contract,PR03a_GE11_01,/PR03a/PR03a_GE11_01,$.Purchase Contract.ID,PurContr.Id,,,
1075,2,A,,Number,Char,0..1,Char Long,"The number for a contract, facilitating its recognition and retrieval within a system.",Purchase,0,Purchase Contract,PR03a_GE11_02,/PR03a/PR03a_GE11_02,$.Purchase Contract.Number,PurContr.Nr,,,
1076,2,A,,Type Name,Name,0..1,Name Medium,The classification title given to a contract that specifies its nature and terms within the context of sales and purchase activities.,Purchase,0,Purchase Contract,PR03a_GE11_03,/PR03a/PR03a_GE11_03,$.Purchase Contract.Type Name,PurContr.TypNam,,,
1077,2,A,,Beginning Date,Date,0..1,DATE,The date on which the terms of a contract become effective.,Purchase,0,Purchase Contract,PR03a_GE11_04,/PR03a/PR03a_GE11_04,$.Purchase Contract.Beginning Date,PurContr.BegDt,,,
1078,2,A,,Ending Date,Date,0..1,DATE,The date on which the terms of a contract conclude or expire.,Purchase,0,Purchase Contract,PR03a_GE11_05,/PR03a/PR03a_GE11_05,$.Purchase Contract.Ending Date,PurContr.EndDt,,,
1079,2,A,,Status,Code,0..1,STATUS CODE,The current state of the contract's lifecycle.,Purchase,0,Purchase Contract,PR03a_GE11_06,/PR03a/PR03a_GE11_06,$.Purchase Contract.Status,PurContr.Stat,,,
1080,2,A,,Remark,Text,0..1,Text Medium,Annotations or supplemental information for a contract.,Purchase,0,Purchase Contract,PR03a_GE11_07,/PR03a/PR03a_GE11_07,$.Purchase Contract.Remark,PurContr.Remrk,,,
1081,2,R,,(Transaction) Currency,,0..1,,"The reference association to the Transaction Currency class, which is a class holds information about different currencies.",Purchase,30,(Transaction) Currency,BS02a,/PR03a/BS02a,$.Purchase Contract.(Transaction) Currency,PurContr.TrnscCur,,,
1082,3,A,REF,Code,Identifier,1..1,CURRENCY CODE,The official name of the currency utilized in the accounting and/or ERP system.,Purchase,30,(Transaction) Currency,BS02a_01,/PR03a/BS02a_01,$.Purchase Contract.(Transaction) Currency.Code,PurContr.TrnscCur.Cd,,,
1083,2,R,,Payment Term,,0..1,,"The reference association to the Payment Term class, which is a class details conditions related to sales or purchase agreements, including payment instruments, credit periods, and discount terms.",Purchase,34,Payment Term,BS26a,/PR03a/BS26a,$.Purchase Contract.Payment Term,PurContr.PayTerm,,,
1084,3,A,REF,Code,Identifier,1..1,PAYMENT TERM CODE,The unique code denoting the terms of payment.,Purchase,34,Payment Term,BS26a_01,/PR03a/BS26a_01,$.Purchase Contract.Payment Term.Code,PurContr.PayTerm.Cd,,,
1085,2,R,,Settlement Method,,0..1,,"The reference association to the Settlement Method class, which is a class describing various methodologies adopted by the business to settle transactions, which can range from cash payments to bank transfers.",Purchase,28,Settlement Method,BS27a,/PR03a/BS27a,$.Purchase Contract.Settlement Method,PurContr.SetlMethd,,,
1086,3,A,REF,Code,Identifier,1..1,Identifier Medium,The unique code describing how a transaction is settled.,Purchase,28,Settlement Method,BS27a_01,/PR03a/BS27a_01,$.Purchase Contract.Settlement Method.Code,PurContr.SetlMethd.Cd,,,
1087,2,R,,(Purchase Organization) Business Segment,,0..1,,"The reference association to the Purchase Organization Business Segment class, which is a class signifies the structural units depicted within an organizational chart. It serves to illustrate relationships with business partners and conveys various business contexts.",Purchase,4,(Purchase Organization) Business Segment,BS05f,/PR03a/BS05f,$.Purchase Contract.(Purchase Organization) Business Segment,PurContr.PrchsOrgnzBusSg,,,
1088,3,A,REF,Code,Identifier,1..1,Identifier Short,The unique code identifying a specific business segment.,Purchase,4,(Purchase Organization) Business Segment,BS05f_01,/PR03a/BS05f_01,$.Purchase Contract.(Purchase Organization) Business Segment.Code,PurContr.PrchsOrgnzBusSg.Cd,,,
1089,3,A,REF,Segment Reference Level,Char,1..1,Char Short,"The hierarchical level of a business segment within the organization, with lower numbers indicating higher levels.",Purchase,4,(Purchase Organization) Business Segment,BS05f_03,/PR03a/BS05f_03,$.Purchase Contract.(Purchase Organization) Business Segment.Segment Reference Level,PurContr.PrchsOrgnzBusSg.SgRefLevl,,,
1090,2,R,,(Purchaser) Employee,,0..1,,"The reference association to the Purchaser Employee class, which is a class that holds individual employee details within a specific accounting entity.",Purchase,8,(Purchaser) Employee,BS21a,/PR03a/BS21a,$.Purchase Contract.(Purchaser) Employee,PurContr.PrchsEmp,,,
1091,3,A,REF,ID,Identifier,1..1,Identifier Medium,The reference identifier for an employee.,Purchase,8,(Purchaser) Employee,BS21a_01,/PR03a/BS21a_01,$.Purchase Contract.(Purchaser) Employee.ID,PurContr.PrchsEmp.Id,,,
1092,2,R,,Supplier,,0..1,,"The reference association to the Supplier class, which is a class containing essential information about suppliers.",Purchase,18,Supplier,BS11b,/PR03a/BS11b,$.Purchase Contract.Supplier,PurContr.Supl,,,
1093,3,A,REF,Account ID,Identifier,1..1,Identifier Long,The reference identifier for a supplier account.,Purchase,18,Supplier,BS11b_01,/PR03a/BS11b_01,$.Purchase Contract.Supplier.Account ID,PurContr.Supl.AcntId,,,
1094,2,C,,Activities,,0..1,,"A class capturing a record of system user actions within an auditee's system, which includes instances of entry, approval, last modification, and posting of data or transactions.",Purchase,0,Activities,GE02b,/PR03a/GE02b,$.Purchase Contract.Activities,PurContr.Acts,,,
1095,3,C,,(Approved) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Approved) Activity,GE03e,/PR03a/GE03e,$.Purchase Contract.Activities.(Approved) Activity,PurContr.Acts.ApprvAct,,,
1096,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Approved) Activity,GE03e_01,/PR03a/GE03e_01,$.Purchase Contract.Activities.(Approved) Activity.Date,PurContr.Acts.ApprvAct.Dt,,,
1097,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Approved) Activity,GE03e_02,/PR03a/GE03e_02,$.Purchase Contract.Activities.(Approved) Activity.Time,PurContr.Acts.ApprvAct.Tm,,,
1098,4,R,,User,,0..1,,"The reference association to the User class, which is a class with user details, important for overseeing access, maintaining security, and tracking system use.",Purchase,10,User,BS17f,/PR03a/BS17f,$.Purchase Contract.Activities.(Approved) Activity.User,PurContr.Acts.ApprvAct.Usr,,,
1099,5,A,REF,ID,Identifier,1..1,Identifier Short,"The reference identifier for individuals entering transactions into the accounting and/or ERP system.
",Purchase,10,User,BS17f_01,/PR03a/BS17f_01,$.Purchase Contract.Activities.(Approved) Activity.User.ID,PurContr.Acts.ApprvAct.Usr.Id,,,
1100,3,C,,(Created) Activity,,0..1,,A class that records specific actions or tasks completed or in progress.,Purchase,0,(Created) Activity,GE03f,/PR03a/GE03f,$.Purchase Contract.Activities.(Created) Activity,PurContr.Acts.CrtdAct,,,
1101,4,A,,Date,Date,0..1,DATE,"The date marks when an activity occurred, ideally recorded automatically by the system.",Purchase,0,(Created) Activity,GE03f_01,/PR03a/GE03f_01,$.Purchase Contract.Activities.(Created) Activity.Date,PurContr.Acts.CrtdAct.Dt,,,
1102,4,A,,Time,Time,0..1,TIME,The specified time at which an activity occurs.,Purchase,0,(Created) Activity,GE03f_02,/PR03a/GE03f_02,$.Purchase Contract.Activities.(Created) Activity.Time,PurContr.Acts.CrtdAct.Tm,,,
