sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,module,label_local,definition_local,id,inherited,,,,,,,,,,,
8626,2,Attribute,,Certificate,Identification, Identifier,,0..1,"The identifier for an AAA archive certificate.
The unique identifier of this AAA wrap certificate.
The identifier for this agricultural certificate.
The identifier for this animal certificate.
The unique identifier of this conformance certificate.
The identifier for this product certificate.
The identifier for this RASFF certificate.
The identifier of this organizational certificate.
The identifier of this process certificate.
The identifier of this product batch certificate.
The identifier for this specified certificate.",Abstract Class,,,UN2005_01,11,,,,,,,,,,,
8627,2,Attribute,,Certificate,Type, Code,,0..1,"The code specifying the type of AAA archive certificate.
The code specifying the type of AAA wrap certificate.
The code specifying the type of agricultural certificate.
The code specifying the type of animal certificate.
The code specifying the type of conformance certificate.
A code specifying the type of product certificate.
The code specifying the type of organizational certificate.
The code specifying the type of process certificate.
The code specifying the type of product batch certificate.
A code specifying a type of specified certificate.",Abstract Class,,,UN2005_02,10,,,,,,,,,,,
8629,2,Attribute,,Certificate,Issue, Date Time,,0..1,"The date, time, date time, or other date time value when this AAA archive certificate was issued.
The date, time, date time, or other date time value when this AAA wrap certificate was issued.
The date, time, date time, or other date time value when this agricultural certificate was issued.
The date, time, date time, or other date time value when this conformance certificate was issued.
The date, time, date time, or other date time value when this product certificate was issued.
The date, time, date time, or other date time value when this RASFF certificate was issued.
The date, time, date time, or other date time value for the issuance of this organizational certificate.
The date, time, date time, or other date time value for the issuance of this process certificate.
The date, time, date time, or other date time value when this product batch certificate was issued.
The issue date, time, date time, or other date time value for this specified certificate.",Abstract Class,,,UN2005_04,10,,,,,,,,,,,
9988,2,Attribute,,Certificate,Expiry, Date Time,,0..1,"The date, time, date time, or other date time value when this agricultural certificate expires.
The date, time, date time, or other date time value when this product certificate expires.
The date, time, date time, or other date time value when this organizational certificate expires.
The date, time, date time, or other date time value when this process certificate expires.
The date, time, date time, or other date time value when this product batch certificate expires.
The expiry date, time, date time, or other date time value for this specified certificate.",Abstract Class,,,UN2072_03,6,,,,,,,,,,,
9989,2,Attribute,,Certificate,Issue Reason, Code,,0..1,"The code specifying the reason why the agricultural certificate was issued.
The code specifying the reason why this product certificate was issued.
The code specifying the reason why this organizational certificate was issued.
The code specifying the reason for the issue of this process certificate.
The code specifying the reason why this product batch certificate was issued.
The code specifying the reason why this specified certificate was issued.",Abstract Class,,,UN2072_04,6,,,,,,,,,,,
9991,2,Attribute,,Certificate,Requested Effective, Date Time,,0..1,"The requested effective date, time, date time or other date time value for this agricultural certificate.
The requested effective date, time, date time or other date time value for this product certificate.
The requested effective date, time, date time or other date time value for this organizational certificate.
The requested effective date, time, date time or other date time value for this process certificate.
The requested effective date, time, date time or other date time value for this product batch certificate.
The requested effective date, time, date time or other date time value for this specified certificate.",Abstract Class,,,UN2072_06,6,,,,,,,,,,,
9992,2,Attribute,,Certificate,Actual Effective, Date Time,,0..1,"The actual effective date, time, date time or other date time value for this agricultural certificate.
The actual effective date, time, date time or other date time value for this product certificate.
The actual effective date, time, date time or other date time value for this organizational certificate.
The actual effective date, time, date time or other date time value for this process certificate.
The actual effective date, time, date time or other date time value for this product batch certificate.
The actual effective date, time, date time or other date time value for this specified certificate.",Abstract Class,,,UN2072_07,6,,,,,,,,,,,
9993,2,Attribute,,Certificate,Description, Text,,0..1,"The textual description of this agricultural certificate.
A textual description of this product certificate.
A textual description of this RASFF certificate.
A textual description of this organizational certificate.
A textual description of this process certificate.
A textual description of this product batch certificate.
A textual description of this specified certificate.",Abstract Class,,,UN2072_08,7,,,,,,,,,,,
9995,2,Attribute,,Certificate,Issuing_ Party, Identifier,,0..1,"The identifier for the issuing party of this agricultural certificate.
An identifier of the issuing party of this conformance certificate.
The identifier for the party issuing this product certificate.
An identifier of the party issuing this organizational certificate.
An identifier of the party issuing this process certificate.
The identifier of the party issuing this product batch certificate.",Abstract Class,,,UN2072_10,6,,,,,,,,,,,
9994,2,Attribute,,Certificate,Applicable_ Object, Code,,0..*,"A code specifying an applicable object, such as item, animal, person or organization, for this agricultural certificate.
A code specifying an object, such as item, animal, person or organization applicable for this product certificate.
A code specifying an object for which this organizational certificate is applicable.
A code specifying an object for which this process certificate is applicable.
A code specifying an object for which this product batch certificate is applicable.",Abstract Class,,,UN2072_09,5,,,,,,,,,,,
9996,2,Attribute,,Certificate,Purpose, Code,,0..*,"A code specifying the purpose of this agricultural certificate.
A code specifying the purpose of this product certificate.
The code specifying the purpose of this organizational certificate.
The code specifying the purpose of this process certificate.
A code specifying a purpose of this product batch certificate.
A code specifying a purpose of this specified certificate.",Abstract Class,,,UN2072_11,6,,,,,,,,,,,
9997,2,Composition,,Certificate,Sustainability,,Characteristic,0..*,"A sustainability characteristic applicable to this agricultural certificate.
A sustainability characteristic applicable to this animal certificate.
A sustainability characteristic applicable to this product certificate.
A sustainability characteristic applicable to this organizational certificate.
A sustainability characteristic applicable to this process certificate.
A sustainability characteristic applicable to this product batch certificate.
A sustainability characteristic applicable to this specified certificate.",Abstract Class,,,UN2072_12,7,,,,,,,,,,,
9998,2,Composition,,Certificate,Sustainability,,Assertion,0..*,"A sustainability assertion applicable to this agricultural certificate.
A sustainability assertion applicable to this animal certificate.
A sustainability assertion applicable to this product certificate.
A sustainability assertion applicable to this organizational certificate.
The sustainability assertion applicable to this process certificate.
A sustainability assertion applicable to this product batch certificate.",Abstract Class,,,UN2072_13,6,,,,,,,,,,,
9999,2,Composition,,Certificate,Referenced,,Standard,0..*,"A referenced standard applicable to this agricultural certificate.
A referenced standard applicable to this animal certificate.
A referenced standard applicable to this product certificate.
A referenced standard applicable to this organizational certificate.
A referenced standard applicable to this process certificate.
A referenced standard applicable to this product batch certificate.
A referenced standard applicable to this specified certificate.",Abstract Class,,,UN2072_14,7,,,,,,,,,,,
10000,2,Composition,,Certificate,Specified,,Binary File,0..*,"A binary file attached to this agricultural certificate.
A binary file attached to this product certificate.
A binary file attached to this organizational certificate.
A binary file attached to this process certificate.
A binary file attached to this product batch certificate.
A binary file attached to this specified certificate.",Abstract Class,,,UN2072_15,6,,,,,,,,,,,
50,1,Abstract Class,,Document,,,,,"A document or book intended to be stored in a usable form to conform with AAA (Accounting And Audit) archive requirements.
An AAA (Accounting and Audit) entry document that establishes evidence for a matter which requires certainty and confidence, such as accounting and audit.
A collection of data for a piece of written, printed or electronic medium that provides information or evidence in an AAA (Accounting and Audit) journal book.
An AAA (Accounting And Audit) document that establishes evidence for matters which require certainty and confidence, such as accounting and audit.
An AAA (Accounting And Audit) collection of data for a piece of written, printed or electronic matters that provide information or evidence.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in every aggregated catch report.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence of the transfer of agronomical data from the field to one or more parties, such as to set up a network of epidemiological monitoring of crops.
A reference to a collection of data for a piece of written, printed or electronic matter that provides analytical information or evidence.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence about the identity of an animal for domestic or cross border movement purposes.
A collection of data that is relevant to a cancelled document.
A collection of data for a Cross Industry Catalogue Header (CICH) that is exchanged between two or more parties in written, printed or electronic form.
A document line for this Cross Industry Catalogue Line (CICL).
A collection of data for a Cross Industry Delivery Despatch Advice Header (CIDDH) that is exchanged between two or more parties in written, printed or electronic form.
A document line for a Cross Industry Delivery Despatch Advice Line (CIDDL).
A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.
A document line for this Cross Industry Invoice Line (CIIL).
Data for a Cross Industry Order Change Header (CIOCH) that is exchanged between two or more parties in written, printed or electronic form.
Data for a Cross Industry Ordering Header (CIOH) that is exchanged between two or more parties in written, printed or electronic form.
A document line for this Cross Industry Ordering Line (CIOL).
Data for a Cross Industry Order Response Header (CIORH) that is exchanged between two or more parties in written, printed or electronic form.
A document line for a Cross Industry Quotation (CIQ) document.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Cross Industry Quotation (CIQ) process.
A document line for a Cross Industry Remittance (CIR).
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Cross Industry Remittance (CIR) process.
A document line for a Cross Industry Scheduling (CIS) document.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Cross Industry Scheduling (CIS) process.
A document exchanged between parties for a Cross Industry (CI) business application level acknowledgement of the receipt of information.
A line on a piece of written, printed or electronic matter in a Cross Industry (CI) document.
Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.
A report detailing the costs to date, costs for a specific period such as a week, and an estimate of the costs to complete a project.
A report detailing the costs to date, costs for a specific period such as a week, and an estimate of the costs to complete a project as well as a schedule for that project.
A detailed description of a crop, used for administrative or traceability purposes.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties for crop reporting purposes.
A document containing a detailed description of pieces of information.
A document that provides formal, legal, or official notice of the examination result.
A document that provides information for a Fishing Activity (FA) report.
A document that provides information for a Fishing Licence, Authorization, Permit (FLAP) request.
A document that provides information for a Fishing Licence, Authorization, Permit (FLAP), primarily for a vessel.
A document that provides information for a Fisheries Language for Universal eXchange (FLUX) report.
The response to a received Fisheries Language for Universal eXchange FLUX document.
A report detailing financing of a project or activity.
The identification of a referenced collection of written, printed or electronic data that provides information or evidence.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Livestock Animal (LA) document exchange.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence in a Laboratory Observation Report (LOR) acknowledgement document.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Laboratory Observation Report (LOR) document exchange.
Written, printed or electronic matter that is referenced for Laboratory Observation Report (LOR) purposes.
A collection of MSDS (Material Safety Data Sheet) information on the chemicals, hazards, safety precautions, and emergency procedures for a product or chemical.
A collection of document data for exchanged Market Survey Information (MSI).
A document that provide information or evidence for the application receiver in the tendering process.
A document produced as an artefact during any stage of a project.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence for a project.
A collection of data for a piece of written, printed or electronic matter that provides information or evidence of the authorization given by a party to one or more parties to allow for the exchange of data on their behalf.
A document exchanged between parties for a business application level PSCPM (Project Schedule and Cost Performance Management) acknowledgement of the receipt of information.
A qualification application document that provides information or evidence for the application receiver.
A qualification result notice document that provides information or evidence for the examination applicant.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties related to the Rapid Alert System for Food and Feed (RASFF).
A collection of data for a piece of written, printed or electronic matter that provides information or evidence related to the Rapid Alert System for Food and Feed (RASFF).
A document that provides information or evidence of the receipt by the recipient to the submitter.
A document that provides reference information.
A registration application document that provides information or evidence for the application receiver.
A document that provides information for a specific sale or sales.
A report detailing the schedule data for a project.
A detailed description of the requirements, dimensions, and materials used to produce something.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties pertaining to Sanitary and Phytosanitary (SPS) measures.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties in a Sanitary and Phytosanitary (SPS) certificate document exchange.
A reference to a collection of data for a piece of written, printed or electronic matter that provides information or evidence about Sanitary and Phytosanitary (SPS) measures.
A report detailing standardized information about a project.
A collection of data for a piece of written, printed or electronic matter that provides a brief description of key points.
A document that provides information related to the guarantee for the tenderer.
A document that requests the information of the tendering subject from the tenderer.
A document that provides tender information of the tendering works, goods or services.
A document that provides information of the invitation for the public subscription to a tender.
A document that provides the information of the tender letter invitation for the nominated tenderer.
A document containing the tender result notice information in the tendering process.
A document that provides information including a stated price for the works, goods or service in the tender.
A collection of data that is relevant to Transboundary Movements of Waste (TMW), transmitted electronically from one point of communication to another, and acknowledged by the recipient.
A collection of data for a piece of written, printed or electronic matter that provides notification information, is acknowledged by the recipient, and is relevant to Transboundary Movements of Waste (TMW).
A waste movement related collection of data that is relevant to Transboundary Movements of Waste (TMW) and transmitted electronically from one point of communication to another.
A waste recovery or disposal related collection of data that is relevant to Transboundary Movements of Waste (TMW) and transmitted electronically from one point of communication to another.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties for Track and Trace (TT) purposes.
A collection of data that reports information or evidence of a validation.
A document exchanged between parties for a business application level acknowledgement of the receipt of information.
A collection of data about an invoice, credit note, debit note, self billing invoice, self billing credit note, or self billing debit note that provides information or evidence.
A collection of data for a line on a piece of written, printed or electronic matter that provides information or evidence.
A collection of data for a piece of written, printed or electronic matter that is exchanged between two or more parties.
A collection of data that reports the result of a financing request.
The set of characteristics shared by all individual transactions grouped for this financing request document.
A collection of financing related data that provides an overview of key points.
The set of characteristics shared by all individual payment transactions included in the document.
Written, printed or electronic matter that is referenced.
The document on which a trade settlement is based.
A collection of data for electronic matter that provides XHE (Exchange Header Envelope) information or evidence.",Abstract Class,,,UN2006,,,,,,,,,,,,
9396,2,Attribute,,Document,Attachment, Binary Object,,1..1,"The binary object that is attached or otherwise appended to this AAA report document.
A binary object that is attached or otherwise appended to this CI referenced document.
Binary object data, such as attached files, for this pre-qualification application document.
Binary object data, such as attached files, for qualification application document.
A binary object that is attached or otherwise appended to this referenced SPS document.
A binary attachment to this TMW message document.
A binary attachment to this TMW waste recovery disposal message document.
A binary object that is attached or otherwise appended to this exchanged document.
A binary object that is attached or otherwise appended to this referenced document.",Abstract Class,,,UN2040_01,9,,,,,,,,,,,
10265,2,Attribute,,Document,Version_ Identification, Identifier,,1..1,"The identifier for the version of this animal passport document.
The version identifier of this CIDDH exchanged document.
The unique identifier for the version of this CIIH exchanged document.
The version identifier for this CIOCH exchanged document.
The version identifier for this CIOH exchanged document.
The identifier for the version of this CIORH exchanged document.
The unique identifier for the version of this CIQ exchanged document.
The unique identifier for the version of this CIR exchanged document.
The unique identifier for the version of this CIS exchanged document.
The unique version identifier of this MSI exchanged document.
The unique identifier for the version of this exchanged document.
The identifier for the version of this referenced document.",Abstract Class,,,UN2086_03,12,,,,,,,,,,,
10974,2,Attribute,,Document,Line Status, Code,,1..1,"The code specifying the status of this CICL document line.
The code specifying the status of this CIDDL document line.
The code specifying the status of this CIIL document line.
The code specifying the status of this CIOL document line.
The code specifying the status of this CIQ document line.
The code specifying the status of this CIR document line.
The code specifying the status of this CIS document line.
The code specifying the status of this CI document line.
The code specifying the status of this document line.
The code specifying the status of a line in this referenced document.",Abstract Class,,,UN2108_02,10,,,,,,,,,,,
8641,2,Attribute,,Document,Identification, Identifier,,0..1,"The identifier for this AAA archive document.
The unique identification for this AAA entry document.
The identifier for this AAA journal book document.
The unique identifier for this AAA ledger document.
The identifier for this agronomical observation document.
The identifier for this animal passport document.
The unique identifier of the cancelled document.
The identifier of this CICH exchanged document.
The identifier of this CIDDH exchanged document.
The unique identifier of this CIIH exchanged document.
The identifier of this CIOCH exchanged document.
The identifier of this CIOH exchanged document.
The identifier of this CIOL document line document.
The unique identifier of this CIORH exchanged document.
The unique identifier of this CIQ exchanged document.
The unique identifier of this CIR exchanged document.
The identifier of this CIS document line.
The unique identifier of this CIS exchanged document.
The identifier of this CI acknowledgement document.
The unique identifier for this crop data sheet document.
The identifier of this crop report document.
The unique identifier for this examination result notification document.
The identifier for this FLAP request document.
The identifier for this FLAP document.
An identification, such as RFC4122 Universally Unique IDentifier (UUID) or a human readable identifier, of this FLUX report document.
An identification, such as RFC4122 Universally Unique IDentifier (UUID) or a human readable identifier, of this FLUX response document.
The unique identifier for this identified, referenced document.
The identifier for this LA exchanged document.
The identifier for this LOR acknowledgement document.
The identifier of this LOR exchanged document.
The identifier for this LOR referenced document.
The unique identifier for this MSDS document.
The unique identifier of this MSI exchanged document.
The unique identifier for this pre-qualification application document.
The unique identifier for this project document.
The unique identifier for this proxy document.
The unique identifier of this PSCPM acknowledgement document.
The unique identifier of this qualification application document.
The unique identifier of this qualification result notice document.
The identifier of this RASFF exchanged document.
The unique identifier of this receipt document.
The unique identifier of this registration application document.
An identifier for this sales document.
The unique identifier of this specification document.
The unique identifier of this exchanged SPS document.
The unique identifier for this referenced SPS document.
The unique identifier of this summary document.
The unique identifier for the tender guarantee document.
The unique identifier for this tender information request document.
The unique identifier for a tender information document.
The unique identifier for the tender invitation document.
The unique identifier for the tender letter invitation document.
The unique identifier for this tender result notice document.
The unique identification for this tender document.
The unique identifier of the TMW acknowledged message document.
The unique identifier for this TMW acknowledged notification document.
The identifier for this TT exchanged document.
The unique identifier of this acknowledgement document.
The identifier of this document line document.
The unique identifier of this exchanged document.
The unique identifier for this payment document, such as a point-to-point reference assigned by the instructing party and sent to the next party in the chain.
A unique identifier for this referenced document.
The unique identifier of this trade settlement document.
The identifier for this XHE document.",Abstract Class,,,UN2007_02,64,,,,,,,,,,,
8643,2,Attribute,,Document,Name, Text,,0..1,"The name, expressed as text, for this AAA archive document.
A name, expressed as text, of this CICH exchanged document.
A name, expressed as text, of this CIDDH exchanged document.
A name, expressed as text, of this CIIH exchanged document.
A name, expressed as text, of this CIOCH exchanged document.
A name, expressed as text, of this CIOH exchanged document.
A name, expressed as text, of this CIORH exchanged document.
A name, expressed as text, of this CIQ exchanged document.
The name, expressed as text, of this CIR exchanged document.
The name, expressed as text, of this CIS exchanged document.
A name, expressed as text, for this CI referenced document.
The name, expressed as text, for this examination result notification document.
The name, expressed as text, of this FLAP document.
The name, expressed as text, for this LOR acknowledgement document.
A name, expressed as text, of this MSI exchanged document.
The name, expressed as text, for this pre-qualification application document.
The name, expressed as text, of this project document.
The name, expressed as text, for this PSCPM acknowledgement document.
The name, expressed as text, for this qualification application document.
The name, expressed as text, for this qualification result notice document.
The name, expressed as text, for this RASFF document.
The name, expressed as text, for this receipt document.
The name, expressed as text, for this reference document.
The name, expressed as text, for this registration application document.
A name, expressed as text, of this exchanged SPS document.
The name, expressed as text, for this summary document.
The name, expressed as text, for this tender guarantee document.
The name, expressed as text, for this tender information request document.
The name, expressed as text, for this tender information document.
The name, expressed as text, for this tender invitation document.
The name, expressed as text, for this tender letter invitation document.
The name, expressed as text, for this tender result notice document.
The name, expressed as text, for this tender document.
The name, expressed as text, for this acknowledgement document.
A name, expressed as text, of this exchanged document.
A name, expressed as text, for this referenced document.",Abstract Class,,,UN2007_04,36,,,,,,,,,,,
8644,2,Attribute,,Document,Purpose, Text,,0..1,"The purpose, expressed as text, of this AAA archive document.
The purpose, expressed as text, of this AAA entry document.
The purpose, expressed as text, of this AAA journal book document.
The purpose, expressed as text, for this AAA ledger document.
The code specifying the purpose of this CICH exchanged document, such as request or reminder.
A code specifying a purpose of this CIDDH exchanged document, such as request or reminder.
The code specifying the purpose of this CIIH exchanged document, such as request or reminder.
The code specifying the purpose of this CIOCH exchanged document.
The code specifying the purpose of this CIOH exchanged document, such as request or reminder.
The code specifying the purpose of this CIORH exchanged document, such as request or reminder.
The purpose, expressed as text, of this CIQ exchanged document.
The purpose, expressed as text, of this CIR exchanged document.
The purpose, expressed as text, of this CIS exchanged document.
The code specifying the purpose of this CI referenced document.
The code specifying the purpose of this crop report document.
The purpose, expressed as text, for this FLAP request document.
The purpose, expressed as text, of this FLUX report document.
The code specifying the purpose of this LOR exchanged document.
The code specifying the purpose of this LOR referenced document, such as request or reminder.
A code specifying the purpose of this MSI exchanged document, such as request or reminder.
The purpose, expressed in text, of this project document.
The code specifying a purpose of this TT exchanged document.
A code specifying the purpose of this exchanged document, such as request or reminder.
The code specifying the purpose of this referenced document.",Abstract Class,,,UN2007_05,24,,,,,,,,,,,
8646,2,Attribute,,Document,Issue, Date Time,,0..1,"The date, time, date time or other date time value for the issuance of this AAA archive document.
The date or date time value of the issuance of this analysis referenced document.
The date for the issuance of this animal passport document.
The date, time, date time, or other date time value for the issuance of this CICH exchanged document.
The date, time, date time, or other date time value for the issuance of this CIDDH exchanged document.
The date, time, date time or other date time value for the issuance of this CIIH exchanged document.
The date, time, date time, or other date time value for the issuance of this CIOCH exchanged document.
The date, time, date time, or other date time value for the issuance of this CIOH exchanged document.
The date, time, date time, or other date time value for the issuance of this CIORH exchanged document.
The date, time, date time or other date time value for the issuance of this CIQ exchanged document.
The date, time, date time or other date time value for the issuance of this CIR exchanged document.
The date, time, date time or other date time value for the issuance of this CIS exchanged document.
The date, time, date time or other date time value for the issuance of this CI document line.
The date or date time for the issuance of this CI referenced document.
The date, time, date time or other date time value for the issuance of this crop report document.
The date or date time for the issuance of this examination result notification document.
The date, time, date time or other date time value for the issuance of this LA exchanged document.
The date, time, date time or other date time value for the issuance of this LOR acknowledgement document.
The date, time, date time or other date time value for the issuance of this LOR exchanged document.
The date, time, date time or other date time value for the issuance of this LOR referenced document.
The date, time, date time, or other date time value for the issuance of this MSI exchanged document.
The date, time, date time or other date time value for the issuance of this project document.
The date, time, date time or other date time value for the issuance of this PSCPM acknowledgement document.
The date, time, date time or other date time value for the issuance of this RASFF exchanged document.
The date, time, date time or other date time value for the issuance of this SPS acknowledgement document.
The date, time, date time or other date time value for the issuance of this exchanged SPS document.
The date or date time for the issuance of this referenced SPS document.
The date, time, date time or other date time value for the issuance of this tender information document.
The date, time, date time or other date time value for the issuance of this tender letter invitation document.
The date, time, date time, or other date time value of the issuance of this TT exchanged document.
The date, time, date time or other date time value for the issuance of this acknowledgement document.
The date or date time value of issuance of this billing document.
The date, time, date time, or other date time value for the issuance of this document line.
The date, time, date time or other date time value for the issuance of this exchanged document.
The date or date time for the issuance of this referenced document.
The date, time, date time or other date time value of the issuance of this trade settlement document.",Abstract Class,,,UN2007_07,36,,,,,,,,,,,
8647,2,Attribute,,Document,Submission, Date Time,,0..1,"The date, time, date time or other date time value for the formal submission of this AAA archive document to a receiver by a sender.
The date, time, date time or other date time value for the submission of this CIS exchanged document.
The date, time, date time or other date time value of the submission of this cost report document.
The date, time, date time, or other date time value of the submission of this cost schedule report document.
The date, time, date time or other date time value for the submission of this LOR acknowledgement document to a receiver by a sender.
The date, time, date time or other date time value for the submission of this prequalification application document.
The date, time, date time or other date time value for the submission of this project document to a receiver by a sender.
The date, time, date time or other date time value for the submission for this qualification application document.
The date, time, date time or other date time value for the submission for this registration application document.
The date, time, date time or other date time value for the submission for this tender guarantee document.
The date, time, date time or other date time value for the submission for this tender information request document.
The date, time, date time or other date time value for the submission of this tender document.
The date, time, date time or other date time value for the formal submission of this exchanged document to a receiver by a sender.",Abstract Class,,,UN2007_08,13,,,,,,,,,,,
8648,2,Attribute,,Document,Receipt, Date Time,,0..1,"The date, time, date time or other date time value for the formal receipt of this AAA archive document.
The date, time, date time or other date time value for the formal receipt of this AAA entry document.
The date, time, date time or other date time value for the formal receipt of this AAA journal book document.
The date, time, date time or other date time value for the receipt of this AAA ledger document.
The date, time, date time, or other date time value for the receipt of this CI referenced document.
The date, time, date time or other date time value for the receipt of this LOR acknowledgement document.
The date, time, date time or other date time value for the receipt of this project document.
The date, time, date time or other date time value of the receipt for this receipt document.
The date of the formal receipt of this TMW acknowledged notification document.
The date, time, date time, or other date time value for the formal receipt of this referenced document.",Abstract Class,,,UN2007_09,10,,,,,,,,,,,
