version,sme_nr,mbie_nr,level,identifier,UNID,acronym,class_term,sequence,multiplicity,multiplicity_SME,property_term,representation_term,associated_class,short_name,definition,label_local,definition_local,code_list,attribute,DEN,name,element,xpath
v2,35,2187,2,,UN01005869,BBIE,CIIH_ Exchanged_ Document,8,0..1,0..1,Purpose,Code,,Purpose Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UNCL1225,,CIIH_ Exchanged_ Document. Purpose. Code,ExchangedDocumentPurposeCode,PurposeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PurposeCode
,,2188,,,UN01005870,BBIE,CIIH_ Exchanged_ Document,9,0..1,0..0,Revision,Date Time,,Revision Date Time,"The date, time, date time or other date time value for the revision of this CIIH exchanged document.",,,,,CIIH_ Exchanged_ Document. Revision. Date Time,,RevisionDateTime,
,,2189,,,UN01005871,BBIE,CIIH_ Exchanged_ Document,10,0..1,0..0,Version_ Identification,Identifier,,Version ID,The unique identifier for the version of this CIIH exchanged document.,,,UNCL1004,,CIIH_ Exchanged_ Document. Version_ Identification. Identifier,,VersionID,
,,2190,,,UN01005872,BBIE,CIIH_ Exchanged_ Document,11,0..1,0..0,Global_ Identification,Identifier,,Global ID,The unique global identifier for this CIIH exchanged document.,,,UNCL1004,,CIIH_ Exchanged_ Document. Global_ Identification. Identifier,,GlobalID,
,,2191,,,UN01005873,BBIE,CIIH_ Exchanged_ Document,12,0..1,0..0,Revision_ Identification,Identifier,,Revision ID,The unique identifier of the revision of this CIIH exchanged document.,,,UNCL1004,,CIIH_ Exchanged_ Document. Revision_ Identification. Identifier,,RevisionID,
v4,36,2192,2,,UN01005874,BBIE,CIIH_ Exchanged_ Document,13,0..1,0..1,Previous Revision_ Identification,Identifier,,Previous Revision ID,The unique identifier of the previous revision of this CIIH exchanged document.,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,ExchangedDocumentPreviousRevisionID,PreviousRevisionID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PreviousRevisionID
v4,37,2193,2,,UN01005875,BBIE,CIIH_ Exchanged_ Document,14,0..1,0..1,Category,Code,,Category Code,The code specifying the category for this CIIH exchanged document.,インボイス文書類型コード,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",JECxxxx,,CIIH_ Exchanged_ Document. Category. Code,ExchangedDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/CategoryCode
,,2194,,,UN01006038,BBIE,CIIH_ Exchanged_ Document,15,0..1,0..0,Control Requirement,Indicator,,Control Requirement Indicator,The indication of whether or not there is a control requirement for this CIIH exchanged document.,,,,,CIIH_ Exchanged_ Document. Control Requirement. Indicator,,ControlRequirementIndicator,
,,2195,,,UN01014635,BBIE,CIIH_ Exchanged_ Document,16,0..1,0..0,Response Reason,Code,,Response Reason Code,The code specifying the response reason of this CIIH exchanged document.,,,,,CIIH_ Exchanged_ Document. Response Reason. Code,,ResponseReasonCode,
v4,38,2196,2,,UN01014636,BBIE,CIIH_ Exchanged_ Document,17,0..1,0..1,Subtype,Code,,Subtype Code,The code specifying the subtype of this CIIH exchanged document.,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",JECxxxx,,CIIH_ Exchanged_ Document. Subtype. Code,ExchangedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/SubtypeCode
,,2197,,,UN01015491,BBIE,CIIH_ Exchanged_ Document,18,0..n,0..0,Requested_ Response Type,Code,,Requested Response Type Code,A code specifying a type of response requested for this CIIH exchanged document.,,,UNCL4343,,CIIH_ Exchanged_ Document. Requested_ Response Type. Code,,RequestedResponseTypeCode,
v1,39,2198,2,,UN01005876,ASBIE,CIIH_ Exchanged_ Document,1,0..n,0..n,Included,,CI_ Note,Note,A note included in this CIIH exchanged document.,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,,,CIIH_ Exchanged_ Document. Included. CI_ Note,ExchangedDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote
,,2199,,,UN01005877,ASBIE,CIIH_ Exchanged_ Document,2,0..1,0..0,Issuer,,CI_ Trade_ Party,Issuer,The party that issues this CIIH exchanged document.,,,,,CIIH_ Exchanged_ Document. Issuer. CI_ Trade_ Party,,IssuerParty,
,,2200,,,UN01012686,ASBIE,CIIH_ Exchanged_ Document,3,0..1,0..0,Signatory,,CI_ Document_ Authentication,Signatory Document Authentication,The signatory authentication for this CIIH exchanged document.,,,,,CIIH_ Exchanged_ Document. Signatory. CI_ Document_ Authentication,,SignatoryAuthentication,
v4,44,2201,2,,UN01012702,ASBIE,CIIH_ Exchanged_ Document,4,0..n,0..n,Reference,,CI_ Referenced_ Document,Other Referenced Documents,Other documents referenced by this CIIH exchanged document.,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,ExchangedDocumentReferenceDocument,ReferenceCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument
v4.0.1,55,2202,2,,UN01015490,ASBIE,CIIH_ Exchanged_ Document,5,0..n,0..n,Attached,,Specified_ Binary File,Attached Binary File,A binary file attached to this CIIH exchanged document.,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,ExchangedDocumentAttachedBinaryFile,AttachedSpecifiedBinaryFile,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile
v1,64,2203,1,,UN01005878,ABIE,CIIH_ Supply Chain_ Trade Agreement,0,,,,,,CIIH Trade Agreement,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Agreement. Details,TransactionDetails,CIIHSupplyChainTradeAgreement,
,,2204,,,UN01008552,BBIE,CIIH_ Supply Chain_ Trade Agreement,1,0..1,0..0,Buyer_ Reference,Text,,Buyer Reference Text,"The buyer reference, expressed as text, for this CIIH supply chain trade agreement.",,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Reference. Text,,BuyerReferenceText,
v1,65,2205,2,,UN01005879,ASBIE,CIIH_ Supply Chain_ Trade Agreement,1,0..1,1..1,Seller,,CI_ Trade_ Party,Seller,The party that is the seller for this CIIH supply chain trade agreement.,インボイス文書契約／受注者グループ,受注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,TransactionSeller,SellerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty
v1,98,2206,2,,UN01005880,ASBIE,CIIH_ Supply Chain_ Trade Agreement,2,0..1,1..1,Buyer,,CI_ Trade_ Party,Buyer,The party that is the buyer for this CIIH supply chain trade agreement.,インボイス文書契約／発注者グループ,発注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,TransactionBuyer,BuyerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty
,,2207,,,UN01005881,ASBIE,CIIH_ Supply Chain_ Trade Agreement,3,0..1,0..0,Buyer_ Assigned Accountant,,CI_ Trade_ Party,Buyer Assigned Accountant,The trade party assigned as an accountant by the buyer for this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Assigned Accountant. CI_ Trade_ Party,,BuyerAssignedAccountantParty,
,,2208,,,UN01005882,ASBIE,CIIH_ Supply Chain_ Trade Agreement,4,0..1,0..0,Seller_ Assigned Accountant,,CI_ Trade_ Party,Seller Assigned Accountant,The trade party assigned as an accountant by the seller for this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Seller_ Assigned Accountant. CI_ Trade_ Party,,SellerAssignedAccountantParty,
,,2209,,,UN01005883,ASBIE,CIIH_ Supply Chain_ Trade Agreement,5,0..1,0..0,Buyer_ Tax Representative,,CI_ Trade_ Party,Buyer Tax Representative,The trade party acting as a tax representative for the buyer for this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Tax Representative. CI_ Trade_ Party,,BuyerTaxRepresentativeParty,
,,2210,,,UN01005884,ASBIE,CIIH_ Supply Chain_ Trade Agreement,6,0..1,0..0,Seller_ Tax Representative,,CI_ Trade_ Party,Seller Tax Representative,The trade party acting as a tax representative for the seller for this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Seller_ Tax Representative. CI_ Trade_ Party,,SellerTaxRepresentativeParty,
,,2211,,,UN01005885,ASBIE,CIIH_ Supply Chain_ Trade Agreement,7,0..1,0..0,Applicable,,CI_ Trade_ Delivery Terms,Delivery Terms,The trade terms of delivery applicable to this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Delivery Terms,,ApplicableDeliveryTerms,
,,2212,,,UN01005886,ASBIE,CIIH_ Supply Chain_ Trade Agreement,8,0..1,0..0,Seller Order_ Referenced,,CI_ Referenced_ Document,Seller Order Document,The seller order document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,,SellerOrderReferencedDocument,
,,2213,,,UN01005887,ASBIE,CIIH_ Supply Chain_ Trade Agreement,9,0..1,0..0,Buyer Order_ Referenced,,CI_ Referenced_ Document,Buyer Order Document,The buyer order document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,,BuyerOrderReferencedDocument,
,,2214,,,UN01005888,ASBIE,CIIH_ Supply Chain_ Trade Agreement,10,0..1,0..0,Quotation_ Referenced,,CI_ Referenced_ Document,Quotation Document,The quotation document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Quotation_ Referenced. CI_ Referenced_ Document,,QuotationReferencedDocument,
,,2215,,,UN01005889,ASBIE,CIIH_ Supply Chain_ Trade Agreement,11,0..1,0..0,Order Response_ Referenced,,CI_ Referenced_ Document,Order Response Document,The order response document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Order Response_ Referenced. CI_ Referenced_ Document,,OrderResponseReferencedDocument,
,,2216,,,UN01005890,ASBIE,CIIH_ Supply Chain_ Trade Agreement,12,0..1,0..0,Contract_ Referenced,,CI_ Referenced_ Document,Contract Document,The contract document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,,ContractReferencedDocument,
,,2217,,,UN01005891,ASBIE,CIIH_ Supply Chain_ Trade Agreement,13,0..1,0..0,Demand Forecast_ Referenced,,CI_ Referenced_ Document,Demand Forecast Document,The demand forecast document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Demand Forecast_ Referenced. CI_ Referenced_ Document,,DemandForecastReferencedDocument,
,,2218,,,UN01005892,ASBIE,CIIH_ Supply Chain_ Trade Agreement,14,0..1,0..0,Supply Instruction_ Referenced,,CI_ Referenced_ Document,Supply Instruction Document,The supply instruction document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Supply Instruction_ Referenced. CI_ Referenced_ Document,,SupplyInstructionReferencedDocument,
,,2219,,,UN01005893,ASBIE,CIIH_ Supply Chain_ Trade Agreement,15,0..1,0..0,Promotional Deal_ Referenced,,CI_ Referenced_ Document,Promotional Deal Document,The promotional deal document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Promotional Deal_ Referenced. CI_ Referenced_ Document,,PromotionalDealReferencedDocument,
,,2220,,,UN01005894,ASBIE,CIIH_ Supply Chain_ Trade Agreement,16,0..1,0..0,Price List_ Referenced,,CI_ Referenced_ Document,Price List Document,The price list document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,,PriceListReferencedDocument,
,,2221,,,UN01005895,ASBIE,CIIH_ Supply Chain_ Trade Agreement,17,0..n,0..0,Additional_ Referenced,,CI_ Referenced_ Document,Additional Document,An additional document referenced from this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,,AdditionalReferencedDocument,
,,2222,,,UN01006058,ASBIE,CIIH_ Supply Chain_ Trade Agreement,18,0..n,0..0,Buyer_ Requisitioner,,CI_ Trade_ Party,Buyer Requisitioner,A Cross Industry (CI) trade party who is a buyer requisitioner in this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Requisitioner. CI_ Trade_ Party,,BuyerRequisitionerParty,
,,2223,,,UN01006061,ASBIE,CIIH_ Supply Chain_ Trade Agreement,19,0..n,0..0,Requisitioner_ Referenced,,CI_ Referenced_ Document,Requisitioner Document,A requisitioner Cross Industry (CI) document referenced in this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Requisitioner_ Referenced. CI_ Referenced_ Document,,RequisitionerReferencedDocument,
,,2224,,,UN01008553,ASBIE,CIIH_ Supply Chain_ Trade Agreement,20,0..1,0..0,Buyer Agent,,CI_ Trade_ Party,Buyer Agent,The party representing the buyer in this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer Agent. CI_ Trade_ Party,,BuyerAgentParty,
,,2225,,,UN01008554,ASBIE,CIIH_ Supply Chain_ Trade Agreement,21,0..1,0..0,Sales Agent,,CI_ Trade_ Party,Sales Agent,The party representing the seller in this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Sales Agent. CI_ Trade_ Party,,SalesAgentParty,
v1,131,2226,2,,UN01011516,ASBIE,CIIH_ Supply Chain_ Trade Agreement,22,0..1,0..1,Specified,,Procuring_ Project,Procuring Project,The procuring project specified for this CIIH supply chain trade agreement.,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,TransactionProcuringProject,SpecifiedProcuringProject,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SpecifiedProcuringProject
,,2227,,,UN01012688,ASBIE,CIIH_ Supply Chain_ Trade Agreement,23,0..1,0..0,Pricing Base_ Applicable,,CI_ Logistics_ Location,Pricing Base Applicable Logistics Location,The logistics location applicable to the pricing base for this CIIH supply chain trade agreement.,,,,,CIIH_ Supply Chain_ Trade Agreement. Pricing Base_ Applicable. CI_ Logistics_ Location,,PricingBaseApplicableLocation,
v4.3,136,2228,1,,UN01005896,ABIE,CIIH_ Supply Chain_ Trade Delivery,0,,,,,,CIIH Trade Delivery,Cross Industry Invoice Header (CIIH) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,インボイス文書配送クラス,インボイス文書の配送に関する情報のクラス,,,CIIH_ Supply Chain_ Trade Delivery. Details,TransactionDeliveryDetails,CIIHSupplyChainTradeDelivery,
,,2229,,,UN01005897,ASBIE,CIIH_ Supply Chain_ Trade Delivery,1,0..1,0..0,Related,,CI_ Supply Chain_ Consignment,Consignment,The Cross Industry (CI) supply chain consignment related to this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Related. CI_ Supply Chain_ Consignment,,RelatedConsignment,
,,2230,,,UN01005898,ASBIE,CIIH_ Supply Chain_ Trade Delivery,2,0..1,0..0,Ship To,,CI_ Trade_ Party,Ship To Party,The Cross Industry (CI) trade party who is the ship to party for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,,ShipToParty,
,,2231,,,UN01005899,ASBIE,CIIH_ Supply Chain_ Trade Delivery,3,0..1,0..0,Ultimate_ Ship To,,CI_ Trade_ Party,Ultimate Ship To Party,The Cross Industry (CI) trade party who is the ultimate ship to party for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Ultimate_ Ship To. CI_ Trade_ Party,,UltimateShipToParty,
,,2232,,,UN01005900,ASBIE,CIIH_ Supply Chain_ Trade Delivery,4,0..1,0..0,Ship From,,CI_ Trade_ Party,Ship From Party,The Cross Industry (CI) trade party who is the ship from party for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Ship From. CI_ Trade_ Party,,ShipFromParty,
,,2233,,,UN01005901,ASBIE,CIIH_ Supply Chain_ Trade Delivery,5,0..1,0..0,Actual_ Despatch,,CI_ Supply Chain_ Event,Actual Despatch Event,The Cross Industry (CI) actual supply chain despatch event for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Despatch. CI_ Supply Chain_ Event,,ActualDespatchEvent,
,,2234,,,UN01005902,ASBIE,CIIH_ Supply Chain_ Trade Delivery,6,0..1,0..0,Actual_ Pick-Up,,CI_ Supply Chain_ Event,Actual Pick-Up Event,The Cross Industry (CI) actual supply chain pick-up event for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Pick-Up. CI_ Supply Chain_ Event,,ActualPick-UpEvent,
,,2235,,,UN01005903,ASBIE,CIIH_ Supply Chain_ Trade Delivery,7,0..1,0..0,Actual_ Delivery,,CI_ Supply Chain_ Event,Actual Delivery Event,The Cross Industry (CI) actual supply chain delivery event for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,,ActualDeliveryEvent,
,,2236,,,UN01005904,ASBIE,CIIH_ Supply Chain_ Trade Delivery,8,0..1,0..0,Actual_ Receipt,,CI_ Supply Chain_ Event,Actual Receipt Event,The Cross Industry (CI) actual supply chain receipt event for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Actual_ Receipt. CI_ Supply Chain_ Event,,ActualReceiptEvent,
,,2237,,,UN01005905,ASBIE,CIIH_ Supply Chain_ Trade Delivery,9,0..1,0..0,Despatch Advice_ Referenced,,CI_ Referenced_ Document,Despatch Advice Document,The Cross Industry (CI) despatch advice document referenced from this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,,DespatchAdviceReferencedDocument,
,,2238,,,UN01005906,ASBIE,CIIH_ Supply Chain_ Trade Delivery,10,0..1,0..0,Receiving Advice_ Referenced,,CI_ Referenced_ Document,Receiving Advice Document,The Cross Industry (CI) receiving advice document referenced from this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,,ReceivingAdviceReferencedDocument,
,,2239,,,UN01005907,ASBIE,CIIH_ Supply Chain_ Trade Delivery,11,0..1,0..0,Delivery Note_ Referenced,,CI_ Referenced_ Document,Delivery Note Document,The Cross Industry (CI) delivery note document referenced from this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document,,DeliveryNoteReferencedDocument,
v4.3,137,2240,2,,UN01005908,ASBIE,CIIH_ Supply Chain_ Trade Delivery,12,0..n,0..1,Additional_ Referenced,,CI_ Referenced_ Document,Additional Document,An additional Cross Industry (CI) document referenced from this CIIH supply chain trade delivery.,インボイス文書配送／参照文書クラス,インボイス文書の配送に関する参照文書のグループ,,,CIIH_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,TransactionDeliveryReferencedReferencedDocument,AdditionalReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument
,,2241,,,UN01008615,ASBIE,CIIH_ Supply Chain_ Trade Delivery,13,0..1,0..0,Consumption Report_ Referenced,,CI_ Referenced_ Document,Consumption Report Document,The consumption report document referenced from this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Consumption Report_ Referenced. CI_ Referenced_ Document,,ConsumptionReportReferencedDocument,
,,2242,,,UN01009053,ASBIE,CIIH_ Supply Chain_ Trade Delivery,14,0..n,0..0,Previous_ Delivery,,CI_ Supply Chain_ Event,Previous Delivery Event,A previous delivery event for this CIIH supply chain trade delivery.,,,,,CIIH_ Supply Chain_ Trade Delivery. Previous_ Delivery. CI_ Supply Chain_ Event,,PreviousDeliveryEvent,
v2,141,2243,1,,UN01005909,ABIE,CIIH_ Supply Chain_ Trade Settlement,0,,,,,,CIIH Trade Settlement,The information that enables the financial reconciliation of the Cross Industry Invoice Header (CIIH) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Settlement. Details,TransactionDetails,CIIHSupplyChainTradeSettlement,
,,2244,,,UN01005910,BBIE,CIIH_ Supply Chain_ Trade Settlement,1,0..n,0..0,Due Payable,Amount,,Deprecated Due Payable Amount,"A monetary value that is an exact amount due and payable for this CIIH supply chain trade settlement, such as the amount due to the creditor.",,,,,CIIH_ Supply Chain_ Trade Settlement. Due Payable. Amount,,DuePayableAmount,
,,2245,,,UN01005911,BBIE,CIIH_ Supply Chain_ Trade Settlement,2,0..1,0..0,Creditor Reference,Identifier,,Creditor Reference ID,"The unique identifier of the creditor reference for this CIIH supply chain trade settlement, such as a specific identifier assigned by the creditor to reference the financial transaction.",,,,,CIIH_ Supply Chain_ Trade Settlement. Creditor Reference. Identifier,,CreditorReferenceID,
,,2246,,,UN01005912,BBIE,CIIH_ Supply Chain_ Trade Settlement,3,0..n,0..0,Payment Reference,Text,,Payment Reference Text,"A payment reference, expressed as text, for this CIIH supply chain trade settlement.",,,,,CIIH_ Supply Chain_ Trade Settlement. Payment Reference. Text,,PaymentReferenceText,
