nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_ja,label_local,definition_local,multiplicity,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,Id,Business Term,Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,取引プロセスのバージョン識別番号,0..1,,v1, , ,"ID値
固定入力",v4.3　,,△,△,☆,1,IBT-024,?  Specification identifier,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,取引プロセスのバージョン発行日,0..1,,v1,,, 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ヘッダ部,UN01005483,ASBIE,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,0..1,,v1,  ,　 , 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引シナリオ設定クラス,取引シナリオに関する情報のクラス, -,,v1,  ,　 , , ,,　　,　　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引シナリオID,取引シナリオの識別番号,0..1,,v1,  ,     ,,,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引シナリオ名,取引シナリオの名称,0..1,,v1,,,,,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ヘッダ部,UN01005484,ASBIE,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,0..1,,v1,  ,　 ,,, 　 ,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,アプリケーション設定クラス,アプリケーションに関する情報のクラス, -,,v1,  ,　 ,,,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,アプリケーションID,"業務アプリケーションが実装する業界・業種識別番号
標準仕様書３．１．２項、および１１．３節を参照",0..1,,v1,  ,     ,,,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,アプリケーション名,業務アプリケーションが実装する業界・業種名称,0..1,,v1,,, 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ヘッダ部,UN01005486,ASBIE,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,1..1,,v1,  ,　 , 　 , 　 , 　 ,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス, -,,v1,  ,　 , 　 , 　 ,,　,　,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",0..1,,v1,JECxxxx,JEC,"ID値
固定入力",JPSSMED,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,ドメイン名,SIPSが付与したメッセージドメイン名称,0..1,,v1,,, 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,ドメイン/バージョングループ,ドメインのバージョンに関する情報,0..1,,v1,  ,　 , 　 , 　 , 　 ,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - ,,v1,  ,　 , 　 , 　 ,,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,ドメインのバージョン識別番号,0..1,,v1,  ,     ,, 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,ドメインのバージョン発行日,0..1,,v1,,, 　 , 　 ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ヘッダ部,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,1..1,,v1,  ,　 , 　 , 　 ,,○　  ,○　  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ヘッダ部,UN01005862,BBIE,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,,,インボイス文書ID,インボイス文書を識別する文書ID,1..1,,v1/v3,  ,　 , 　 , 　 ,156,○,○,☆,1,IBT-001,Invoice number,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ヘッダ部,UN01005863,BBIE,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,,,インボイス文書名,インボイス文書の文書名称,0..1,,v1,,,  ,     ,請求書,●,●,,,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ヘッダ部,UN01005864,BBIE,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,v1,UNCL1001,UN/CEFACT,"コード値
選択入力","デフォルト＝385
（統合請求書）",380,●,●,☆,,IBT-003,Invoice type code,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ヘッダ部,UN01005865,BBIE,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1,,v1/v3,日時様式 ISO8601,ISO,  ,YYYY-MM-DD,2023-10-24,○,○,☆,1,IBT-002,Invoice issue date,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ヘッダ部,UN01005868,BBIE,,CIIH_ Exchanged_ Document. Language. Identifier,,,,,,,,,,,,,インボイス文書言語ID,インボイス文書が使用する言語のID,0..1,,v4.3,"言語コード
ISO639",ISO,"コード値
選択入力","デフォルト
＝JP",,●,●,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ヘッダ部,UN01005869,BBIE,,CIIH_ Exchanged_ Document. Purpose. Code,,,,,,,,,,,,,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,0..1,,v2,UNCL1225,UN/CEFACT,"コード値
選択入力",デフォルト＝９（新規）,,▼,▼,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ヘッダ部,UN01005874,BBIE,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,0..1,,v4,  ,  ,  ,  ,,▼,▼,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ヘッダ部,UN01005875,BBIE,,CIIH_ Exchanged_ Document. Category. Code,,,,,,,,,,,,,インボイス文書類型コード,,0..1,,v4,JECxxxx,JEC,"コード値
選択入力","デフォルト＝3
（日本円取引）",,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ヘッダ部,UN01014636,BBIE,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,v4,JECxxxx,JEC,"コード値
選択入力","デフォルト＝38501
（統合請求書）",,●,●,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ヘッダ部,UN01005876,ASBIE,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,,,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,0..n,,v1,  ,  ,  ,     ,     ,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,ヘッダ部,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,,,インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス, -,,v1,  ,  ,  ,     ,,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ヘッダ部,UN01005558,BBIE,,,,CI_ Note. Subject. Text,,,,,,,,,,,インボイス文書注釈表題,注釈内容の表題を示す。,0..1,,v1,,,  ,  ,,＊,＊,  ,,ｒ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,,,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1,,v1,,,  ,  ,,＊,＊,★,,IBT-022,Invoice note,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ヘッダ部,UN01005562,BBIE,,,,CI_ Note. Identification. Identifier,,,,,,,,,,,インボイス文書注釈ID,注釈の識別ID,0..1,,v1,  ,  ,  ,  ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,ヘッダ部,UN01012702,ASBIE,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,,,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,0..n,,v4,  ,  ,  ,  ,,＊,＊,★,,IBG-03,PRECEDING INVOICE REFERENCE,0..n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,ヘッダ部,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,,,（鑑ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,－,,v4,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,1..1,,v4,  ,  ,  ,  ,123,＊,＊,☆,,IBT-025,"?  Preceding Invoice reference
",1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ヘッダ部,UN01005581,BBIE,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,0..1,,v4.2, , ,  ,  ,,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,0..1,,v4,,     ,  ,  ,2023-10-20,＊,＊,★,,IBT-026,?  Preceding Invoice issue date,0..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ヘッダ部,UN01005586,BBIE,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書参照タイプコード,この調整で参照するインボイス文書の参照タイプを指定するコード　,0..1,,v4.1,UNCL1153,UN/CEFACT,"コード値
選択入力"," '＝OI (Previous invoice number)（デフォルト）
＝「IV」Invoice document identifier",,＊,＊,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ヘッダ部,UN01005588,BBIE,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書履歴ID,インボイス文書が参照する文書の変更履歴を管理するID。,0..1,,v4, , ,  ,  ,,＊,＊,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,ヘッダ部,UN01006415,BBIE,,,,CI_ Referenced_ Document. Information. Text,,,,,,,,,,,（鑑ヘッダ参照）文書情報,インボイス文書が参照する参照文書に記載の情報,0..1,,v4.2,,,  ,  ,,＊,＊,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,0..1,,v4,UNCL1001,UN/CEFACT,  ,  ,,＊,＊,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ヘッダ部,UN01011455,BBIE,,,,CI_ Referenced_ Document. Attachment. Binary Object,,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイル,"この参照文書に紐付く添付バイナリファイルの有無を指定
ありの場合は紐付ける「添付バイナリファイルID（UN01006015）」をBASE64で入力",0..1,,v4,JECxxxx,JEC,  ,  ,,＊,＊,★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,,（鑑ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,0..1,,v4,JECxxxx,JEC,  ,  ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,ヘッダ部,UN01015490,ASBIE,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,,,,,,,,,,,,,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,0..n,,v4.0.1,  ,     ,  ,     ,     ,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ヘッダ部,UN01006014,ABIE,,,Specified_ Binary File. Details,,,,,,,,,,,,添付バイナリファイルクラス,添付バイナリファイルを記述するためのクラス,－,,v4,  ,     ,  ,     ,     ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ヘッダ部,UN01006015,BBIE,,,,Specified_ Binary File. Identification. Identifier,,,,,,,,,,,添付バイナリファイルID,添付バイナリファイルのID,1..1,,v4,  ,     ,  ,  ,,△,△,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ヘッダ部,UN01006019,BBIE,,,,Specified_ Binary File. File Name. Text,,,,,,,,,,,添付バイナリファイル名,添付バイナリファイルの名称,0..1,,v4,,,  ,  ,,＊,＊,★,,IBT-125-２,? ?  Attached document Filename,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ヘッダ部,UN01006020,BBIE,,,,Specified_ Binary File. URI. Identifier,,,,,,,,,,,添付バイナリファイルURI ID,添付バイナリファイルの保管URIID,0..1,,v4,  ,     ,  ,  ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ヘッダ部,UN01006021,BBIE,,,,Specified_ Binary File. MIME. Code,,,,,,,,,,,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,1..1,,v4,RFC1341,IETF,  ,  ,,＊,＊,★,,IBT-125-１,? ?  Attached document Mime code,1..1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ヘッダ部,UN01006026,BBIE,,,,Specified_ Binary File. Description. Text,,,,,,,,,,,添付バイナリファイルの説明文,添付バイナリファイルの説明文,0..1,,v4,,,  ,  ,,＊,＊,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ヘッダ部,UN01005936,ASMA,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,,,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1,,v1,  ,     ,  ,  ,,○,○,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ヘッダ部,UN01005937,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,,,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,1..1,,v1,  ,     ,  ,  ,  ,○,○,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ヘッダ部,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,,,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,－,,v1,  ,     ,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
