version,sequence,UNID,acronym,level,label_local,type,depth,name,multiplicity,definition_local,DEN,definition,code_list,xpath
v1,13,UN01005483,ASBIE,2,取引設定内容/取引シナリオグループ,,,,0..1,取引設定内容の取引シナリオに関する情報,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.,,
v1,15,UN01005472,BBIE,3,取引シナリオID,field,1,ExchangedScenarioDocumentContextParameterID,0..1,取引シナリオの識別番号,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/ID
v1,16,UN01005473,BBIE,3,取引シナリオ名,field,1,ExchangedScenarioDocumentContextParameterValueText,0..1,取引シナリオの名称,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/Value
v1,17,UN01005484,ASBIE,2,取引設定内容/アプリケーショングループ,,,,0..1,取引設定内容のアプリケーションに関する情報,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.,,
v1,19,UN01005472,BBIE,3,アプリケーションID,field,1,ExchangedApplicationDocumentContextParameterID,0..1,業務アプリケーションが実装する業界・業種識別番号,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/ID
v1,20,UN01005473,BBIE,3,アプリケーション名,field,1,ExchangedApplicationDocumentContextParameterValueText,0..1,業務アプリケーションが実装する業界・業種名称,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/Value
v1,21,UN01005486,ASBIE,2,取引設定内容/ドメイングループ,,,,1..1,取引設定内容のドメインの情報に関する情報,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.,,
v1,23,UN01005472,BBIE,3,ドメインID,field,1,ExchangedSubsetDocumentContextParameterID,0..1,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン=JPSSMED",CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,JECxxxx,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/ID
v1,24,UN01005473,BBIE,3,ドメイン名,field,1,ExchangedSubsetDocumentContextParameterValueText,0..1,SIPSが付与したメッセージドメイン名称,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/Value
v1,25,UN01005474,ASBIE,3,ドメイン/バージョングループ,,,,0..1,ドメインのバージョンに関する情報,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,,
v1,27,UN01005476,BBIE,4,バージョンID,field,1,SubsetContextParameterDocumentVersionID,0..1,ドメインのバージョン識別番号,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,28,UN01005478,BBIE,4,バージョン発行日,field,1,SubsetContextParameterDocumentVersionIssueDateTime,0..1,ドメインのバージョン発行日,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
v1,29,UN01005861,ASMA,1,インボイス文書クラス,,,,1..1,インボイス文書に関する情報項目のクラス,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",,
v1/v3,30,UN01005862,BBIE,2,インボイス文書ID,field,1,ExchangedDocumentID,1..1,インボイス文書を識別する文書ID,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/ID
v1,31,UN01005863,BBIE,2,インボイス文書名,field,1,ExchangedDocumentName,0..1,インボイス文書の文書名称,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",,/SMECoreSelfInvoice/CIIHExchangedDocument/Name
v1,32,UN01005864,BBIE,2,インボイス文書タイプコード,field,1,ExchangedDocumentTypeCode,0..1,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,UNCL1001,/SMECoreSelfInvoice/CIIHExchangedDocument/TypeCode
v1/v3,33,UN01005865,BBIE,2,インボイス文書発効日,field,1,ExchangedDocumentIssueDateTime,1..1,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",,/SMECoreSelfInvoice/CIIHExchangedDocument/IssueDateTime
v4.3,34,UN01005868,BBIE,2,インボイス文書言語ID,field,1,ExchangedDocumentLanguageID,0..1,インボイス文書が使用する言語のID,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,"言語コード
ISO639",/SMECoreSelfInvoice/CIIHExchangedDocument/LanguageID
v2,35,UN01005869,BBIE,2,インボイス文書目的コード,field,1,ExchangedDocumentPurposeCode,0..1,インボイス文書の発行者がインボイス文書の目的（新規、変更、取消、打切り）を管理するために付番したコード,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",UNCL1225,/SMECoreSelfInvoice/CIIHExchangedDocument/PurposeCode
v4,36,UN01005874,BBIE,2,インボイス文書履歴ID,field,1,ExchangedDocumentPreviousRevisionID,0..1,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/PreviousRevisionID
v4,37,UN01005875,BBIE,2,インボイス文書類型コード,field,1,ExchangedDocumentCategoryCode,0..1,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,JECxxxx,/SMECoreSelfInvoice/CIIHExchangedDocument/CategoryCode
v4,38,UN01014636,BBIE,2,インボイス文書サブタイプコード,field,1,ExchangedDocumentSubtypeCode,0..1,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,JECxxxx,/SMECoreSelfInvoice/CIIHExchangedDocument/SubtypeCode
v1,39,UN01005876,ASBIE,2,インボイス文書／注釈グループ,dimension,1,dExchangedDocumentNote,0..n,インボイス文書に含まれる注釈。,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote
v1,41,UN01005558,BBIE,3,インボイス文書注釈表題,field,2,ExchangedDocumentNoteSubjectText,0..1,注釈内容の表題を示す。,CI_ Note. Subject. Text,"The subject, expressed as text, of this CI note.",,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote/Subject
v1,42,UN01005560,BBIE,3,インボイス文書注釈内容,field,2,ExchangedDocumentNoteContentText,0..1,注釈項目毎の内容情報を入力するフリースペース。,CI_ Note. Content. Text,"Content, expressed as text, of this CI note.",,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote/Content
v1,43,UN01005562,BBIE,3,インボイス文書注釈ID,field,2,ExchangedDocumentNoteID,0..1,注釈の識別ID,CI_ Note. Identification. Identifier,The unique identifier for this CI note.,,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote/ID
v4,44,UN01012702,ASBIE,2,インボイス文書／参照文書グループ,dimension,1,dExchangedDocumentReferenceDocument,0..n,インボイス文書が参照する文書のグループ,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument
v4,46,UN01005580,BBIE,3,（鑑ヘッダ参照）文書ID,field,2,ExchangedReferenceDocumentIssuerAssignedID,1..1,インボイス文書が参照する参照文書のID,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,The issuer assigned identifier for this CI referenced document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssuerAssignedID
v4.2,47,UN01005581,BBIE,3,（鑑ヘッダ参照）文書URL_ID,field,2,ExchangedReferenceDocumentURIID,0..1,インボイス文書が参照する文書が所在するURL_ID,CI_ Referenced_ Document. URI_ Identification. Identifier,The unique Uniform Resource Identifier (URI) for this CI referenced document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/URIID
v4,48,UN01005582,BBIE,3,（鑑ヘッダ参照）文書発行日,field,2,ExchangedReferenceDocumentIssueDateTime,0..1,インボイス文書が参照する参照文書の発行日,CI_ Referenced_ Document. Issue. Date Time,The date or date time for the issuance of this CI referenced document.,,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssueDateTime
v4,49,UN01009672,BBIE,3,（鑑ヘッダ参照）文書タイプコード,field,2,ExchangedReferenceDocumentTypeCode,0..1,インボイス文書が参照する参照文書の文書タイプを識別するコード,CI_ Referenced_ Document. Type. Code,The code specifying the type of CI referenced document.,UNCL1001,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/TypeCode
v4,50,UN01014899,BBIE,3,（鑑ヘッダ参照）文書サブタイプコード,field,2,ExchangedReferenceDocumentSubtypeCode,0..1,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,CI_ Referenced_ Document. Subtype. Code,A code specifying a subtype of this CI referenced document.,JECxxxx,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/SubtypeCode
v1,51,UN01005936,ASMA,1,インボイス文書取引内容クラス,,,,1..1,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",,
v1,52,UN01005937,ASBIE,2,インボイス文書取引内容／契約グループ,,,,1..1,インボイス文書取引に適用される契約に関するグループ。,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,,
v1,54,UN01005879,ASBIE,3,インボイス文書契約／受注者グループ,,,,1..1,受注者に関するグループ。,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,,
v1,56,UN01005757,BBIE,4,受注者ID,field,1,SellerID,0..1,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/ID
v1,57,UN01005759,BBIE,4,受注者名称,field,1,SellerName,0..1,注文を受ける企業/工場・事業所・事業部門等を表す名称。,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/Name
v4,58,UN01013039,BBIE,4,適格請求書発行事業者登録番号,field,1,SellerRegisteredID,0..1,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,ISO6523,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/RegisteredID
v1,59,UN01005761,ASBIE,4,受注者／連絡先グループ,,,,0..1,受注者の連絡先に関するグループ,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,,
v1,61,UN01005720,BBIE,5,受注者担当名,field,1,SellerContactPersonName,0..1,受注者連絡先の個人の、文字で表現された名前。,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/DefinedCITradeContact/PersonName
v1,62,UN01005721,BBIE,5,受注者部門名,field,1,SellerContactDepartmentName,0..1,受注者の受注部門の名称。,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/DefinedCITradeContact/DepartmentName
v1,63,UN01005726,ASBIE,5,連絡先／電話情報グループ,,,,0..1,連絡先の電話に関するグループ。,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,,
v1,65,UN01005860,BBIE,6,受注者電話番号,field,1,SellerContactTelephoneCompleteNumberText,0..1,受注者の電話番号。,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication/CompleteNumber
v1,66,UN01005729,ASBIE,5,連絡先／FAX情報グループ,,,,0..1,連絡先のFAXに関するグループ。,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,,
v1,68,UN01005860,BBIE,6,受注者FAX番号,field,1,SellerContactFaxCompleteNumberText,0..1,受注者のFAX番号,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/DefinedCITradeContact/FaxCIUniversalCommunication/CompleteNumber
v1,69,UN01005730,ASBIE,5,連絡先／電子メール情報グループ,,,,0..1,連絡先の電子メールに関するグループ。,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,,
v1,71,UN01005858,BBIE,6,受注者メールアドレス,field,1,SellerContactEmailURIURIID,0..1,受注者の電子メールアドレス。,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication/URIID
v1,72,UN01005762,ASBIE,4,受注者／住所グループ,,,,0..1,受注者の住所に関するグループ。,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,,
v1,74,UN01005689,BBIE,5,受注者郵便番号,field,1,SellerPostalAddressPostcodeCode,0..1,受注者の郵便番号。,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/PostalCITradeAddress/PostcodeCode
v1,75,UN01005692,BBIE,5,受注者住所1,field,1,SellerPostalAddressLineOneText,0..1,受注者の住所1行目。,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/PostalCITradeAddress/LineOne
v1,76,UN01005880,ASBIE,3,インボイス文書契約／発注者グループ,,,,1..1,発注者に関するグループ。,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.,,
v1,78,UN01005757,BBIE,4,発注者ID,field,1,BuyerID,0..1,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/ID
v1,79,UN01005759,BBIE,4,発注者名称,field,1,BuyerName,0..1,発注を行う企業/工場・事業所・事業部門等の名称,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/Name
v4,80,UN01013039,BBIE,4,適格請求書発行事業者登録番号,field,1,BuyerRegisteredID,0..1,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,ISO6523,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/RegisteredID
v1,81,UN01005761,ASBIE,4,発注者／連絡先グループ,,,,0..1,発注者の連絡先に関するグループ,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,,
v1,83,UN01005720,BBIE,5,発注者担当名,field,1,BuyerContactPersonName,0..1,発注者の発注担当者の名称,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/DefinedCITradeContact/PersonName
v1,84,UN01005721,BBIE,5,発注者部門名,field,1,BuyerContactDepartmentName,0..1,発注者の発注部門の名称。,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/DefinedCITradeContact/DepartmentName
v1,85,UN01005726,ASBIE,5,連絡先／電話情報グループ,,,,0..1,連絡先の電話に関するグループ。,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,,
v1,87,UN01005860,BBIE,6,発注者電話番号,field,1,BuyerContactTelephoneCompleteNumberText,0..1,発注者の電話番号。,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/DefinedCITradeContact/TelephoneCIUniversalCommunication/CompleteNumber
v1,88,UN01005730,ASBIE,5,連絡先／電子メール情報グループ,,,,0..1,連絡先の電子メールに関するグループ。,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,,
v1,90,UN01005858,BBIE,6,受注者メールアドレス,field,1,BuyerContactEmailURIURIID,0..1,受注者の電子メールアドレス。,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/DefinedCITradeContact/EmailURICIUniversalCommunication/URIID
v4,91,UN01005762,ASBIE,4,発注者／住所グループ,,,,0..1,発注者の住所に関するグループ。,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,,
v4,93,UN01005689,BBIE,5,発注者郵便番号,field,1,BuyerPostalAddressPostcodeCode,0..1,発注者の郵便番号。,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/PostalCITradeAddress/PostcodeCode
v4,94,UN01005692,BBIE,5,発注者住所1,field,1,BuyerPostalAddressLineOneText,0..1,発注者の住所1行目。,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty/PostalCITradeAddress/LineOne
v1,95,UN01011516,ASBIE,3,インボイス文書契約／プロジェクト調達グループ,,,,0..1,プロジェクト調達に関するグループ,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.,,
v1/v4.3,97,UN01000372,BBIE,4,プロジェクトID,field,1,ProcuringProjectID,1..1,発注品に関するプロジェクト・工事案件等を管理するためのID。,Procuring_ Project. Identification. Identifier,The unique identifier of this procuring project.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SpecifiedProcuringProject/ID
v1/v4.3,98,UN01000374,BBIE,4,プロジェクト名,field,1,ProcuringProjectName,1..1,発注品に関するプロジェクト・工事案件等の名称。,Procuring_ Project. Name. Text,"The name, expressed as text, of this procuring project.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SpecifiedProcuringProject/Name
v2,104,UN01005939,ASBIE,2,インボイス文書取引／決済グループ,,,,1..1,決済に関するグループ,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,,
v4,101,UN01005913,BBIE,3,税通貨コード,field,1,TransactionTaxCurrencyCode,0..1,"税の通貨コード。
JPY（デフォルト）",CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,The code specifying the tax currency for this CIIH supply chain trade settlement.,"通貨コード
ISO4217",/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/TaxCurrencyCode
v4,102,UN01005914,BBIE,3,文書通貨コード,field,1,TransactionInvoiceCurrencyCode,1..1,"インボイス文書の通貨コード。
JPY（デフォルト）",CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,The code specifying the invoice currency for this CIIH supply chain trade settlement.,"通貨コード
ISO4217",/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/InvoiceCurrencyCode
v4,103,UN01005915,BBIE,3,支払通貨コード,field,1,TransactionPaymentCurrencyCode,0..1,請求支払通貨コード（デフォルトはJPY）,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,The code specifying the payment currency for this CIIH supply chain trade settlement.,"通貨コード
ISO4217",/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/PaymentCurrencyCode
v4,106,UN01005923,ASBIE,3,インボイス文書決済／支払手段グループ,dimension,1,dTransactionPaymentMeans,0..n,インボイス文書決済に関する支払手段のグループ。,CIIH_ Supply Chain_ Trade Settlement. Specified. CI_ Trade Settlement_ Payment Means,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans
v4,108,UN01005672,BBIE,4,支払手段タイプコード,field,2,PaymentMeansTypeCode,0..1,取引決済手段のタイプを識別するコード,CI_ Trade Settlement_ Payment Means. Type. Code,"The code specifying the type of CI trade settlement payment means, such as cash or cheque.",UNCL4461,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/TypeCode
v4,109,UN01011456,BBIE,4,支払手段情報,field,2,PaymentMeansInformationText,0..1,取引決済手段に関する情報,CI_ Trade Settlement_ Payment Means. Information. Text,"Information, expressed as text, for this CI trade settlement payment means.",,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement/SpecifiedCITradeSettlementPaymentMeans/Information
v1,110,UN01005677,ASBIE,4,支払手段／金融口座グループ,,,,0..1,取引決済の支払手段に関する受取人である当事者の債権者金融口座のグループ,CI_ Trade Settlement_ Payment Means. Payee_ Party. CI_ Creditor_ Financial Account,The creditor financial account of the payee party for this CI trade settlement payment means.,,
