sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AG,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,
11,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,取引プロセスのバージョン識別番号,0..1,,v1, , ,"ID値
固定入力",v4.3　,△,△,△,,☆,1,IBT-024,?  Specification identifier,1..1,,,,,,,,,,,,,,,,,,,,
12,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,取引プロセスのバージョン発行日,0..1,,v1,日時様式 ISO8601,ISO,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
13,ヘッダ部,UN01005483,ASBIE,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/取引シナリオグループ,取引設定内容の取引シナリオに関する情報,0..1,,v1,  ,  ,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
14,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,取引シナリオ設定クラス,取引シナリオに関する情報のクラス, -,,v1,  ,  ,,     ,　　,　　,　　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
15,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,取引シナリオID,取引シナリオの識別番号,0..1,,v1,  ,     ,"ID値
固定入力",     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
16,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,取引シナリオ名,取引シナリオの名称,0..1,,v1,"言語コード
ISO639",ISO,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
17,ヘッダ部,UN01005484,ASBIE,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,0..1,,v1,  ,  ,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
18,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,アプリケーション設定クラス,アプリケーションに関する情報のクラス, -,,v1,  ,  ,,     ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
19,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,アプリケーションID,業務アプリケーションが実装する業界・業種識別番号,0..1,,v1,  ,     ,"ID値
固定入力",業界・業種別ID,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
20,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,アプリケーション名,業務アプリケーションが実装する業界・業種名称,0..1,,v1,"言語コード
ISO639",ISO,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
21,ヘッダ部,UN01005486,ASBIE,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,,,,,,,,,,,,,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,1..1,,v1,  ,  ,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
22,ヘッダ部,UN01005471,ABIE,,,CI_ Document Context_ Parameter. Details,,,,,,,,,,,,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス, -,,v1,  ,  ,,     ,　,　,　,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
23,ヘッダ部,UN01005472,BBIE,,,,CI_ Document Context_ Parameter. Identification. Identifier,,,,,,,,,,,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",0..1,,v1,JECxxxx,JEC,"ID値
固定入力",JPSSMED,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
24,ヘッダ部,UN01005473,BBIE,,,,CI_ Document Context_ Parameter. Value. Text,,,,,,,,,,,ドメイン名,SIPSが付与したメッセージドメイン名称,0..1,,v1,"言語コード
ISO639",ISO,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
25,ヘッダ部,UN01005474,ASBIE,,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,,,,,,,,,,,ドメイン/バージョングループ,ドメインのバージョンに関する情報,0..1,,v1,  ,  ,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
26,ヘッダ部,UN01005475,ABIE,,,,,CI_ Document_ Version. Details,,,,,,,,,,バージョンクラス,バージョンに関する情報のクラス, - ,,v1,  ,  ,,     ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
27,ヘッダ部,UN01005476,BBIE,,,,,,CI_ Document_ Version. Identification. Identifier,,,,,,,,,バージョンID,ドメインのバージョン識別番号,0..1,,v1,  ,     ,"ID値
固定入力",     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
28,ヘッダ部,UN01005478,BBIE,,,,,,CI_ Document_ Version. Issue. Date Time,,,,,,,,,バージョン発行日,ドメインのバージョン発行日,0..1,,v1,日時様式 ISO8601,ISO,,     ,△,△,△,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
29,ヘッダ部,UN01005861,ASMA,CIIH_ Exchanged_ Document. Details,,,,,,,,,,,,,,インボイス文書クラス,インボイス文書に関する情報項目のクラス,1..1,,v1,  ,  ,,     ,○　  ,○　  ,○　  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
30,ヘッダ部,UN01005862,BBIE,,CIIH_ Exchanged_ Document. Identification. Identifier,,,,,,,,,,,,,インボイス文書ID,インボイス文書を識別する文書ID,1..1,156,v1/v3,  ,     ,,     ,○,○,○,※,☆,1,IBT-001,Invoice number,1..1,,,,,,,,,,,,,,,,,,,,
31,ヘッダ部,UN01005863,BBIE,,CIIH_ Exchanged_ Document. Name. Text,,,,,,,,,,,,,インボイス文書名,インボイス文書の文書名称,0..1,請求書,v1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ヘッダ部,UN01005864,BBIE,,CIIH_ Exchanged_ Document. Type. Code,,,,,,,,,,,,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",0..1,380,v1,UNCL1001,UN/CEFACT,"コード値
選択入力","デフォルト＝380
（請求書）",●,●,●,※,☆,,IBT-003,Invoice type code,1..1,,,,,,,,,,,,,,,,,,,,
33,ヘッダ部,UN01005865,BBIE,,CIIH_ Exchanged_ Document. Issue. Date Time,,,,,,,,,,,,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1..1,2023/10/24,v1/v3,日時様式 ISO8601,ISO,,YYYY-MM-DD,○,○,○,※,☆,1,IBT-002,Invoice issue date,1..1,,,,,,,,,,,,,,,,,,,,
34,ヘッダ部,UN01005869,BBIE,,CIIH_ Exchanged_ Document. Purpose. Code,,,,,,,,,,,,,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,0..1,,v2,UNCL1225,UN/CEFACT,"コード値
選択入力",デフォルト＝９（新規）,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
35,ヘッダ部,UN01005874,BBIE,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,,,,,,,,,,,,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID,0..1,,v4,  ,  ,  ,  ,▼,▼,▼,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
36,ヘッダ部,UN01014636,BBIE,,CIIH_ Exchanged_ Document. Subtype. Code,,,,,,,,,,,,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",0..1,,v4,JECxxxx,JEC,"コード値
選択入力","デフォルト＝38501
（統合請求書）",●,●,●,※,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
37,ヘッダ部,UN01005876,ASBIE,,CIIH_ Exchanged_ Document. Included. CI_ Note,,,,,,,,,,,,,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,0..n,,v1,  ,  ,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
38,ヘッダ部,UN01005557,ABIE,,,CI_ Note. Details,,,,,,,,,,,,インボイス文書注釈クラス,インボイス文書の注釈を記述するためのクラス, -,,v1,  ,  ,,     , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
39,ヘッダ部,UN01005560,BBIE,,,,CI_ Note. Content. Text,,,,,,,,,,,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,0..1,,v1,"言語コード
ISO639",ISO,,"月末締め翌月20日払い, 銀行手数料振込人負担",＊,＊,＊,,★,,IBT-022,Invoice note,0..1,,,,,,,,,,,,,,,,,,,,
40,ヘッダ部,UN01012702,ASBIE,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,,,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,0..n,,v4,  ,  ,  ,  ,●,●,●,,★,,IBG-03,PRECEDING INVOICE REFERENCE,0..n,,,,,,,,,,,,,,,,,,,,
41,ヘッダ部,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,,,（鑑ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,－,,v4,  ,  ,  ,  ,  ,  ,  ,,  ,,,,,,,,,,,,,,,,,,,,,,,,
42,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,1..1,123,v4,  ,  ,  ,  ,●,●,●,※,★,,IBT-025,"?  Preceding Invoice reference
",1..1,,,,,,,,,,,,,,,,,,,,
43,ヘッダ部,UN01005581,BBIE,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,0..1,,v4.2, , ,  ,  ,＊,＊,＊,（※）,,,,,,,,,,,,,,,,,,,,,,,,,
44,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,0..1,45219,v4,"日時様式
ISO8601",     ,  ,  ,＊,＊,＊,※,★,,IBT-026,?  Preceding Invoice issue date,0..1,,,,,,,,,,,,,,,,,,,,
45,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,0..1,,v4,UNCL1001,UN/CEFACT,  ,  ,＊,＊,＊,,  ,,,,,,,,,,,,,,,,,,,,,,,,
46,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,,（鑑ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,0..1,,v4,JECxxxx,JEC,  ,  ,＊,＊,＊,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
47,ヘッダ部,UN01005936,ASMA,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,,,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1,,v1,  ,     ,,     ,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
48,ヘッダ部,UN01005937,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,,,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,1..1,,v1,  ,     ,,     ,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
49,ヘッダ部,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,,,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,－,,v1,  ,     ,,     ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
50,ヘッダ部,UN01005879,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,,,,,,,,,,,インボイス文書契約／受注者グループ,受注者に関するグループ。,1..1,,v1,  ,     ,,     ,○,○,○,,☆,,IBG-04,SELLER,1..1,,,,,,,,,,,,,,,,,,,,
51,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,,,受注者クラス,受注者に関する情報からなるクラス。,－,,v1,  ,     ,,     , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
52,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,受注者ID,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1,0147:123456:000123:0147:1,v1,  ,     ,,     ,＊,＊,＊,,★,,IBT-029,?  Seller identifier,0..n,,,,,,,,,,,,,,,,,,,,
53,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,0..1,株式会社○○商事,v1,"言語コード
ISO639",ISO,"属性コード値
選択入力","企業名/@
言語コード属性値
デフォルト＝ja",◎,◎,○,※,☆,1,IBT-027,?  Seller name,1..1,,,,,,,,,,,,,,,,,,,,ｎ
54,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,,,適格請求書発行事業者登録番号,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",0..1,T1234567890123,v4,ISO6523,ISO,"属性コード値
固定入力","6523企業ID/@
6523国際アドレス登録機関コード値
＝0221（デジタル庁）",◎,◎,◎,※,☆,1,IBT-031,?  Seller TAX identifier,1..1,,,,,,,,,,,,,,,,,,,,
55,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,受注者／連絡先グループ,受注者の連絡先に関するグループ,0..1,,v1, ,     ,,     ,＊,＊,＊,,★,,IBG-06,?  SELLER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
56,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,,,受注者連絡先クラス,連絡先に関する情報からなるクラス。,－,,v1, ,     ,,     ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
57,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,0..1,青木志郎,v1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,（★）,,IBT-041,? ?  Seller contact point,0..1,,,,,,,,,,,,,,,,,,,,
58,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,受注者部門名,受注者の受注部門の名称。,0..1,,v1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,（★）,,IBT-041,? ?  Seller contact point,0..1,,,,,,,,,,,,,,,,,,,,
59,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,v1, ,     ,,     ,＊,●,＊,,★ ,,IBG-09,?  BUYER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
60,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,v1, ,     ,,     ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
61,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,受注者電話番号,受注者の電話番号。,0..1,03-3xxx-0001,v1, ,     ,,     ,＊,●,＊,※,★,,IBT-042,? ?  Seller contact telephone number,0..1,,,,,,,,,,,,,,,,,,,,
62,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,v1,　,     ,,     ,＊,●,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
63,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,v1,　,     ,,     , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
64,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,受注者FAX番号,受注者のFAX番号,0..1,,v1,　,     ,,     ,＊,●,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
65,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,,,受注者／住所グループ,受注者の住所に関するグループ。,0..1,,v1, ,     ,,  ,●,●,＊,,☆,,IBG-05,?  SELLER POSTAL ADDRESS,1..1,,,,,,,,,,,,,,,,,,,,
66,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,,,受注者住所クラス,受注者住所に関する情報からなるクラス。,－,,v1, ,     ,,  , , , , ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
67,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,,,受注者郵便番号,受注者の郵便番号。,0..1,160-0044,v1,  ,  ,,  ,●,●,●,※,★,,IBT-038,? ?  Seller post code,0..1,,,,,,,,,,,,,,,,,,,,
68,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,,,受注者住所1,受注者の住所1行目。,0..1,東京都新宿区四谷4-29-X○○商事ビル　,v1,"言語コード
ISO639",ISO,,  ,●,●,●,※,★,,IBT-035,? ?  Seller address line 1,0..1,,,,,,,,,,,,,,,,,,,,
69,ヘッダ部,UN01005880,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,,,,,,,,,,,インボイス文書契約／発注者グループ,発注者に関するグループ。,1..1,,v1,  ,  ,,  ,○,○,○,,☆,,IBG-07,BUYER,1..1,,,,,,,,,,,,,,,,,,,,
70,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,,,発注者クラス,発注者に関する情報からなるクラス。,－,,v1,　,　,,　,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
71,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,発注者ID,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1,0147:654321:000321:0147:1,v1,  ,     ,,     ,＊,＊,＊,,★,,IBT-046,?  Buyer identifier,0..1,,,,,,,,,,,,,,,,,,,,
72,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,発注者名称,発注を行う企業/工場・事業所・事業部門等の名称,0..1,株式会社 〇〇物産,v1,"言語コード
ISO639",ISO,"属性コード値
選択入力","企業名/@
言語コード属性値
デフォルト＝ja",◎,◎,○,※,☆,1,IBT-044,?  Buyer name,1..1,,,,,,,,,,,,,,,,,,,,
73,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,,,適格請求書発行事業者登録番号,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",0..1,,v4,ISO6523,ISO,"属性コード値
固定入力","6523企業ID/@
6523国際アドレス登録機関コード値
＝0221（デジタル庁）",＊,＊,＊,,  ,,IBT-048,? Buyer TAX identifier,0..1,,,,,,,,,,,,,,,,,,,,
74,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,発注者／連絡先グループ,発注者の連絡先に関するグループ,0..1,,v1, ,     ,,     ,＊,＊,＊,,☆,,IBG-09,?  BUYER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
75,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,,,発注者連絡先クラス,連絡先に関する情報からなるクラス。, -,,v1, ,     ,,     ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
76,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,発注者担当名,発注者の発注担当者の名称,0..1, ,v1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,（★）,,IBT-056,? ?  Buyer contact point,0..1,,,,,,,,,,,,,,,,,,,,
77,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,発注者部門名,発注者の発注部門の名称。,0..1, ,v1,"言語コード
ISO639",ISO,,     ,＊,＊,＊,,（★）,,IBT-056,? ?  Buyer contact point,0..1,,,,,,,,,,,,,,,,,,,,
78,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,v1, ,     ,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
79,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,v1, ,     ,,     ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
80,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,発注者電話番号,発注者の電話番号。,0..1,011-757-1xxx,v1, ,     ,,     ,＊,＊,＊,※,★,,IBT-057,? ?  Buyer contact telephone number,0..1,,,,,,,,,,,,,,,,,,,,
81,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,,,発注者／住所グループ,発注者の住所に関するグループ。,0..1,,v4, ,     ,,     ,●,●,●,,☆,,IBG-08,?  BUYER POSTAL ADDRESS,1..1,,,,,,,,,,,,,,,,,,,,
82,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,,,発注者住所クラス,発注者住所に関する情報からなるクラス。,－,,v4, ,     ,,     , , , , ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
83,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,,,発注者郵便番号,発注者の郵便番号。,0..1,001-0012,v4, ,     ,,     ,●,●,●,※,★,,IBT-053,? ?  Buyer post code,0..1,,,,,,,,,,,,,,,,,,,,
84,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,,,発注者住所1,発注者の住所1行目。,0..1,札幌市北区北十二条西76-X,v4,"言語コード
ISO639",ISO,,     ,●,●,●,※,★,,IBT-050,? ?  Buyer address line 1,0..1,,,,,,,,,,,,,,,,,,,,
85,ヘッダ部,UN01011516,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,,,,,,,,,,,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,0..1,,v1, ,     ,,     ,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
