seq,acronym,property_type,class_term,property_term,representation_term,code_list,associated_class,element,DEN,multiplicity,definition,TDED,short_name,UNID,level,version,sequence,type,identifier,label_local,definition_local,attribute,xpath,name,multiplicity_SME
3454,ASBIE,Composition,CI_ Exchanged Document_ Context,Application Specified,,,CI_ Document Context Parameter,ApplicationSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,0..n,An application CI document context parameter specified for this CI exchanged document context.,,Application,UN01005484,,,,,,,,,,,0..0
3455,ASBIE,Composition,CI_ Exchanged Document_ Context,Guideline Specified,,,CI_ Document Context Parameter,GuidelineSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Guideline_ Specified. CI_ Document Context_ Parameter,0..n,A guideline CI document context parameter specified for this CI exchanged document context.,,Guideline,UN01005485,,,,,,,,,,,0..0
3456,ASBIE,Composition,CI_ Exchanged Document_ Context,Subset Specified,,,CI_ Document Context Parameter,SubsetSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,0..n,A subset CI document context parameter specified for this CI exchanged document context.,,Subset,UN01005486,,,,,,,,,,,0..0
3457,ASBIE,Composition,CI_ Exchanged Document_ Context,Message Standard Specified,,,CI_ Document Context Parameter,MessageStandardSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Message Standard_ Specified. CI_ Document Context_ Parameter,0..1,The message standard CI document context parameter specified for this CI exchanged document context.,,Message Standard,UN01008333,,,,,,,,,,,0..0
3458,ASBIE,Composition,CI_ Exchanged Document_ Context,User Specified,,UNCL(1523),CI_ Document Context Parameter,UserSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. User_ Specified. CI_ Document Context_ Parameter,0..n,A user specified document context parameter for this CI exchanged document context.,(1523),User Specified Parameter,UN01012742,,,,,,,,,,,0..0
3425,ASBIE,Composition,CI_ Document Context_ Parameter,I,,,_,I,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,0..1,The CI document version specified for this CI document context parameter.,,Version,UN01005474,2,v1,25,C,,ドメイン/バージョングループ,ドメインのバージョンに関する情報,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I,ExchangedIDocumentContextParameterDocumentVersion,
3423,BBIE,Attribute,CI_ Document Context_ Parameter,I,_,,,ID,CI_ Document Context_ Parameter. Identification. Identifier,0..1,The unique identifier of this CI document context parameter.,,ID,UN01005472,2,v1,7,A,,取引プロセスID,"取引プロセスの識別番号
共通EDIプロバイダがプロセスをセットする",,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I,ExchangedIDocumentContextParameterID,0..0
3424,BBIE,Attribute,CI_ Document Context_ Parameter,I,_,,,ValueText,CI_ Document Context_ Parameter. Value. Text,0..1,"The value, expressed as text, of this CI document context parameter.",,Value Text,UN01005473,2,v1,8,A,,取引プロセス名,取引プロセスの名称,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I,ExchangedIDocumentContextParameterValueText,0..0
3425,ASBIE,Composition,CI_ Document Context_ Parameter,Specified,,,CI_ Document Version,SpecifiedCIDocumentVersion,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,0..1,The CI document version specified for this CI document context parameter.,,Version,UN01005474,,,,,,,,,,,0..0
3451,ASBIE,Composition,CI_ Exchanged Document_ Context,Business Process Specified,,,CI_ Document Context Parameter,BusinessProcessSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Business Process_ Specified. CI_ Document Context_ Parameter,0..n,A business process CI document context parameter specified for this CI exchanged document context.,,Business Process,UN01005481,,,,,,,,,,,0..0
3452,ASBIE,Composition,CI_ Exchanged Document_ Context,BIM Specified,,,CI_ Document Context Parameter,BIMSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. BIM_ Specified. CI_ Document Context_ Parameter,0..n,A Business Information Master (BIM) CI document context parameter specified for this CI exchanged document context.,,BIM,UN01005482,,,,,,,,,,,0..0
3453,ASBIE,Composition,CI_ Exchanged Document_ Context,Scenario Specified,,,CI_ Document Context Parameter,ScenarioSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,0..n,A scenario CI document context parameter specified for this CI exchanged document context.,,Scenario,UN01005483,,,,,,,,,,,0..0
3454,ASBIE,Composition,CI_ Exchanged Document_ Context,Application Specified,,,CI_ Document Context Parameter,ApplicationSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,0..n,An application CI document context parameter specified for this CI exchanged document context.,,Application,UN01005484,,,,,,,,,,,0..0
3455,ASBIE,Composition,CI_ Exchanged Document_ Context,Guideline Specified,,,CI_ Document Context Parameter,GuidelineSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Guideline_ Specified. CI_ Document Context_ Parameter,0..n,A guideline CI document context parameter specified for this CI exchanged document context.,,Guideline,UN01005485,,,,,,,,,,,0..0
3456,ASBIE,Composition,CI_ Exchanged Document_ Context,Subset Specified,,,CI_ Document Context Parameter,SubsetSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,0..n,A subset CI document context parameter specified for this CI exchanged document context.,,Subset,UN01005486,,,,,,,,,,,0..0
3457,ASBIE,Composition,CI_ Exchanged Document_ Context,Message Standard Specified,,,CI_ Document Context Parameter,MessageStandardSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. Message Standard_ Specified. CI_ Document Context_ Parameter,0..1,The message standard CI document context parameter specified for this CI exchanged document context.,,Message Standard,UN01008333,,,,,,,,,,,0..0
3458,ASBIE,Composition,CI_ Exchanged Document_ Context,User Specified,,UNCL(1523),CI_ Document Context Parameter,UserSpecifiedCIDocumentContextParameter,CI_ Exchanged Document_ Context. User_ Specified. CI_ Document Context_ Parameter,0..n,A user specified document context parameter for this CI exchanged document context.,(1523),User Specified Parameter,UN01012742,,,,,,,,,,,0..0
3446,BBIE,Attribute,CI_ Document_ Version,I,_,,,IssueDateTime,CI_ Document_ Version. Issue. Date Time,0..1,"The date, time, date time or other date time value of issue of this CI document version.",,Issue Date Time,UN01005478,2,v1,12,A,,バージョン発行日,取引プロセスのバージョン発行日,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I,IDocumentVersionIssueDateTime,0..0
3425,ASBIE,Composition,CI_ Document Context_ Parameter,Specified,,,CI_ Document Version,SpecifiedCIDocumentVersion,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,0..1,The CI document version specified for this CI document context parameter.,,Version,UN01005474,,,,,,,,,,,0..0
3444,BBIE,Attribute,CI_ Document_ Version,I,_,,,ID,CI_ Document_ Version. Identification. Identifier,0..1,The unique identifier for this CI document version.,,ID,UN01005476,2,v1,11,A,,バージョンID,取引プロセスのバージョン識別番号,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I,IDocumentVersionID,0..0
3445,BBIE,Attribute,CI_ Document_ Version,Name,Text,,,Name,CI_ Document_ Version. Name. Text,0..1,"The name, expressed as text, of this CI document version.",,Name,UN01005477,,,,,,,,,,,0..0
3446,BBIE,Attribute,CI_ Document_ Version,I,_,,,IssueDateTime,CI_ Document_ Version. Issue. Date Time,0..1,"The date, time, date time or other date time value of issue of this CI document version.",,Issue Date Time,UN01005478,2,v1,12,A,,バージョン発行日,取引プロセスのバージョン発行日,,/SMECoreSelfInvoice/CIExchangedDocumentContext/I/I/I,IDocumentVersionIssueDateTime,0..0
2200,ASBIE,Composition,CIIH_ Exchanged_ Document,I,,,I,II,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,0..n,Other documents referenced by this CIIH exchanged document.,,Other Referenced Documents,UN01012702,2,v4,44,C,,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentReferenceDocument,
2179,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1004),,ID,CIIH_ Exchanged_ Document. Identification. Identifier,1..1,The unique identifier of this CIIH exchanged document.,(1004),ID,UN01005862,2,v1/v3,30,A,,インボイス文書ID,インボイス文書を識別する文書ID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentID,0..0
2180,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1000),,Name,CIIH_ Exchanged_ Document. Name. Text,0..n,"A name, expressed as text, of this CIIH exchanged document.",(1000),Name,UN01005863,2,v1,31,A,,インボイス文書名,インボイス文書の文書名称,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentName,0..0
2181,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1001),,TypeCode,CIIH_ Exchanged_ Document. Type. Code,0..1,The code specifying the type of CIIH exchanged document.,(1001),Type Code,UN01005864,2,v1,32,A,,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentTypeCode,0..0
2182,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(2007),,IssueDateTime,CIIH_ Exchanged_ Document. Issue. Date Time,1..1,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",(2007),Issue Date Time,UN01005865,2,v1/v3,33,A,,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentIssueDateTime,0..0
2183,BBIE,Attribute,CIIH_ Exchanged_ Document,Copy,Indicator,UNCL(4366),,CopyIndicator,CIIH_ Exchanged_ Document. Copy. Indicator,0..1,The indication of whether or not this CIIH exchanged document is a copy.,(4366),Copy Indicator,UN01005866,,,,,,,,,,,0..0
2184,BBIE,Attribute,CIIH_ Exchanged_ Document,Purpose,Text,UNCL(1160),,PurposeText,CIIH_ Exchanged_ Document. Purpose. Text,0..1,"The purpose, expressed as text, of this CIIH exchanged document.",(1160),Purpose Text,UN01005867,,,,,,,,,,,0..0
2185,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL[3453],,LanguageID,CIIH_ Exchanged_ Document. Language. Identifier,0..n,A unique identifier for a language used in this CIIH exchanged document.,[3453],Language Code,UN01005868,2,v4.3,34,A,,インボイス文書言語ID,インボイス文書が使用する言語のID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentLanguageID,0..0
2186,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1225),,PurposeCode,CIIH_ Exchanged_ Document. Purpose. Code,0..1,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",(1225),Purpose Code,UN01005869,2,v2,35,A,,インボイス文書目的コード,インボイス文書の発行者がインボイス文書の目的（新規、変更、取消、打切り）を管理するために付番したコード,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentPurposeCode,0..0
2187,BBIE,Attribute,CIIH_ Exchanged_ Document,Revision,Date Time,,,RevisionDateTime,CIIH_ Exchanged_ Document. Revision. Date Time,0..1,"The date, time, date time or other date time value for the revision of this CIIH exchanged document.",,Revision Date Time,UN01005870,,,,,,,,,,,0..0
2188,BBIE,Attribute,CIIH_ Exchanged_ Document,Version Identification,Identifier,UNCL(1004),,VersionID,CIIH_ Exchanged_ Document. Version_ Identification. Identifier,0..1,The unique identifier for the version of this CIIH exchanged document.,(1004),Version ID,UN01005871,,,,,,,,,,,0..0
2189,BBIE,Attribute,CIIH_ Exchanged_ Document,Global Identification,Identifier,UNCL(1004),,GlobalID,CIIH_ Exchanged_ Document. Global_ Identification. Identifier,0..1,The unique global identifier for this CIIH exchanged document.,(1004),Global ID,UN01005872,,,,,,,,,,,0..0
2190,BBIE,Attribute,CIIH_ Exchanged_ Document,Revision Identification,Identifier,UNCL(1004),,RevisionID,CIIH_ Exchanged_ Document. Revision_ Identification. Identifier,0..1,The unique identifier of the revision of this CIIH exchanged document.,(1004),Revision ID,UN01005873,,,,,,,,,,,0..0
2191,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1004),,PreviousRevisionID,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,0..1,The unique identifier of the previous revision of this CIIH exchanged document.,(1004),Previous Revision ID,UN01005874,2,v4,36,A,,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentPreviousRevisionID,0..0
2192,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,UNCL(1003),,CategoryCode,CIIH_ Exchanged_ Document. Category. Code,0..1,The code specifying the category for this CIIH exchanged document.,(1003),Category Code,UN01005875,2,v4,37,A,,インボイス文書類型コード,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentCategoryCode,0..0
2193,BBIE,Attribute,CIIH_ Exchanged_ Document,Control Requirement,Indicator,,,ControlRequirementIndicator,CIIH_ Exchanged_ Document. Control Requirement. Indicator,0..1,The indication of whether or not there is a control requirement for this CIIH exchanged document.,,Control Requirement Indicator,UN01006038,,,,,,,,,,,0..0
2194,BBIE,Attribute,CIIH_ Exchanged_ Document,Response Reason,Code,,,ResponseReasonCode,CIIH_ Exchanged_ Document. Response Reason. Code,0..1,The code specifying the response reason of this CIIH exchanged document.,,Response Reason Code,UN01014635,,,,,,,,,,,0..0
2195,BBIE,Attribute,CIIH_ Exchanged_ Document,I,I,,,SubtypeCode,CIIH_ Exchanged_ Document. Subtype. Code,0..1,The code specifying the subtype of this CIIH exchanged document.,,Subtype Code,UN01014636,2,v4,38,A,,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",,/SMECoreSelfInvoice/CIIHExchangedDocument/II,ExchangedDocumentSubtypeCode,0..0
2196,BBIE,Attribute,CIIH_ Exchanged_ Document,Requested Response Type,Code,UNCL(4343),,RequestedResponseTypeCode,CIIH_ Exchanged_ Document. Requested_ Response Type. Code,0..n,A code specifying a type of response requested for this CIIH exchanged document.,(4343),Requested Response Type Code,UN01015491,,,,,,,,,,,0..0
2197,ASBIE,Composition,CIIH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIIH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIIH exchanged document.,,Note,UN01005876,,,,,,,,,,,0..0
2198,ASBIE,Composition,CIIH_ Exchanged_ Document,Issuer,,,CI_ Trade Party,IssuerCITradeParty,CIIH_ Exchanged_ Document. Issuer. CI_ Trade_ Party,0..1,The party that issues this CIIH exchanged document.,,Issuer,UN01005877,,,,,,,,,,,0..0
2199,ASBIE,Composition,CIIH_ Exchanged_ Document,Signatory,,,CI_ Document Authentication,SignatoryCIDocumentAuthentication,CIIH_ Exchanged_ Document. Signatory. CI_ Document_ Authentication,0..1,The signatory authentication for this CIIH exchanged document.,,Signatory Document Authentication,UN01012686,,,,,,,,,,,0..0
2200,ASBIE,Composition,CIIH_ Exchanged_ Document,Reference,,,CI_ Referenced Document,ReferenceCIReferencedDocument,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,0..n,Other documents referenced by this CIIH exchanged document.,,Other Referenced Documents,UN01012702,,,,,,,,,,,0..0
2201,ASBIE,Composition,CIIH_ Exchanged_ Document,Attached,,,Specified Binary File,AttachedSpecifiedBinaryFile,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,0..n,A binary file attached to this CIIH exchanged document.,,Attached Binary File,UN01015490,,,,,,,,,,,0..0
3582,BBIE,Attribute,CI_ Note,I,_,,,ID,CI_ Note. Identification. Identifier,0..1,The unique identifier for this CI note.,,ID,UN01005562,2,v1,43,A,,インボイス文書注釈ID,注釈の識別ID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedDocumentIINoteID,0..0
1915,ASBIE,Composition,Catalogue_ Trade_ Product,Information,,,CI Note,InformationCINote,Catalogue_ Trade_ Product. Information. CI_ Note,0..n,An information note for this catalogue trade product.,,Information Note,UN01007375,,,,,,,,,,,0..0
1954,ASBIE,Composition,CICH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CICH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CICH exchanged document.,,Note,UN01007394,,,,,,,,,,,0..0
1980,ASBIE,Composition,CICL_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CICL_ Document Line_ Document. Included. CI_ Note,0..n,A note included in this CICL document line.,,Note,UN01007420,,,,,,,,,,,0..0
2047,ASBIE,Composition,CIDDH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIDDH_ Exchanged_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIDDH exchanged document.,,Note,UN01006811,,,,,,,,,,,0..0
2076,ASBIE,Composition,CIDDH_ Supply Chain_ Trade Delivery,Information,,,CI Note,InformationCINote,CIDDH_ Supply Chain_ Trade Delivery. Information. CI_ Note,0..n,A note with information on this CIDDH supply chain trade delivery.,,Information Note,UN01006860,,,,,,,,,,,0..0
2104,ASBIE,Composition,CIDDL_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIDDL_ Document Line_ Document. Included. CI_ Note,0..n,A note included in this CIDDL document line.,,Note,UN01006875,,,,,,,,,,,0..0
2197,ASBIE,Composition,CIIH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIIH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIIH exchanged document.,,Note,UN01005876,,,,,,,,,,,0..0
2325,ASBIE,Composition,CIILB_ Subordinate_ Trade Line Item,Included,,,CI Note,IncludedCINote,CIILB_ Subordinate_ Trade Line Item. Included. CI_ Note,0..n,A note included in this CIILB subordinate trade line item.,,Included Note,UN01015533,,,,,,,,,,,0..0
2355,ASBIE,Composition,CIIL_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIIL_ Document Line_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIIL document line.,,Note,UN01005957,,,,,,,,,,,0..0
2458,ASBIE,Composition,CIOCH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIOCH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIOCH exchanged document.,,Note,UN01006515,,,,,,,,,,,0..0
2482,ASBIE,Composition,CIOH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIOH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIOH exchanged document.,,Note,UN01006532,,,,,,,,,,,0..0
2565,ASBIE,Composition,CIOL_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIOL_ Document Line_ Document. Included. CI_ Note,0..n,A note included in this CIOL document line.,,Note,UN01006607,,,,,,,,,,,0..0
2652,ASBIE,Composition,CIORH_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIORH_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIORH exchanged document.,,Note,UN01006676,,,,,,,,,,,0..0
2771,ASBIE,Composition,CIQ_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIQ_ Document Line_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIQ document line.,,Note,UN01008339,,,,,,,,,,,0..0
2794,ASBIE,Composition,CIQ_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIQ_ Exchanged_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIQ exchanged document.,,Note,UN01008360,,,,,,,,,,,0..0
2918,ASBIE,Composition,CIRT_ Supply Chain_ Trade Transaction,Included,,,CI Note,IncludedCINote,CIRT_ Supply Chain_ Trade Transaction. Included. CI_ Note,0..n,A note included in this CIRT supply chain trade transaction.,,Included Note,UN01014671,,,,,,,,,,,0..0
2938,ASBIE,Composition,CIR_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIR_ Document Line_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIR document line.,,Note,UN01008366,,,,,,,,,,,0..0
2955,ASBIE,Composition,CIR_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIR_ Exchanged_ Document. Included. CI_ Note,0..n,A Cross Industry (CI) note included in this CIR exchanged document.,,Note,UN01008382,,,,,,,,,,,0..0
2991,ASBIE,Composition,CISCRL_ Supply Chain_ Trade Delivery,Information,,,CI Note,InformationCINote,CISCRL_ Supply Chain_ Trade Delivery. Information. CI_ Note,0..n,A note with information for this CISCRL supply chain trade delivery.,,Information Note,UN01012895,,,,,,,,,,,0..0
3210,ASBIE,Composition,CIS_ Document Line_ Document,Included,,,CI Note,IncludedCINote,CIS_ Document Line_ Document. Included. CI_ Note,0..n,A note included in this CIS document line.,,Note,UN01008388,,,,,,,,,,,0..0
3242,ASBIE,Composition,CIS_ Exchanged_ Document,Included,,,CI Note,IncludedCINote,CIS_ Exchanged_ Document. Included. CI_ Note,0..n,A note included in this CIS exchanged document.,,Note,UN01008409,,,,,,,,,,,0..0
3578,BBIE,Attribute,CI_ Note,I,_,,,SubjectText,CI_ Note. Subject. Text,0..1,"The subject, expressed as text, of this CI note.",,Subject Text,UN01005558,2,v1,41,A,,インボイス文書注釈表題,注釈内容の表題を示す。,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedDocumentIINoteSubjectText,0..0
3579,BBIE,Attribute,CI_ Note,Content,Code,UNCL(4441),,ContentCode,CI_ Note. Content. Code,0..1,The code specifying the content of this CI note.,(4441),Content Code,UN01005559,,,,,,,,,,,0..0
3580,BBIE,Attribute,CI_ Note,I,_,UNCL(4440),,ContentText,CI_ Note. Content. Text,0..n,"Content, expressed as text, of this CI note.",(4440),Content Text,UN01005560,2,v1,42,A,,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedDocumentIINoteContentText,0..0
3581,BBIE,Attribute,CI_ Note,Subject,Code,UNCL(4451),,SubjectCode,CI_ Note. Subject. Code,0..1,The code specifying the subject of this CI note.,(4451),Subject Code,UN01005561,,,,,,,,,,,0..0
3582,BBIE,Attribute,CI_ Note,I,_,,,ID,CI_ Note. Identification. Identifier,0..1,The unique identifier for this CI note.,,ID,UN01005562,2,v1,43,A,,インボイス文書注釈ID,注釈の識別ID,,/SMECoreSelfInvoice/CIIHExchangedDocument/II/I,ExchangedDocumentIINoteID,0..0
3639,ASBIE,Composition,CI_ Referenced_ Document,Included,,,CI Note,IncludedCINote,CI_ Referenced_ Document. Included. CI_ Note,0..n,A note included in this CI referenced document.,,Included Note,UN01012726,,,,,,,,,,,0..0
3754,ASBIE,Composition,CI_ Supply Chain_ Inventory,Remark,,,CI Note,RemarkCINote,CI_ Supply Chain_ Inventory. Remark. CI_ Note,0..n,A note containing a remark for this CI supply chain inventory.,,Remark,UN01005646,,,,,,,,,,,0..0
3879,ASBIE,Composition,CI_ Trade_ Contact,Specified,,,CI Note,SpecifiedCINote,CI_ Trade_ Contact. Specified. CI_ Note,0..n,A note specified for this CI trade contact.,,Note,UN01005734,,,,,,,,,,,0..0
4037,ASBIE,Composition,CI_ Trade_ Product,Information,,,CI Note,InformationCINote,CI_ Trade_ Product. Information. CI_ Note,0..n,An information note for this CI trade product.,,Information Note,UN01007173,,,,,,,,,,,0..0
