version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name
,,2185,,Attribute,CIIH_ Exchanged_ Document,6,0..1,0..0,,Purpose,Text,TDED1160,,,,,,,,,,UN01005867,BBIE,CIIH_ Exchanged_ Document. Purpose. Text,"The purpose, expressed as text, of this CIIH exchanged document.",Purpose Text,Purpose,
v4.3,34.0,2186,2,Attribute,CIIH_ Exchanged_ Document,7,0..n,0..1,,Language,Identifier,言語コード ISO639 / D24A TDED 3453 Language Identifier <To identify a language> (an..3)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:IDType,,,,インボイス文書言語ID,インボイス文書言語ID,インボイス文書が使用する言語のID,言語コード,CIIHの取引文書で使用される言語の一意の識別子。,UN01005868,BBIE,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,LanguageID,LanguageID
v2,35.0,2187,2,Attribute,CIIH_ Exchanged_ Document,8,0..1,0..1,,Purpose,Message Function_ Code,UNCL1225 D24Aと一致. / UNTDED 1225 Message function code <Code indicating the function of the message.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1225.htm | XMLSchema /uncefact/codelist/standard/UNECE_MessageFunctionCode_D23A.xsd,qdt:MessageFunctionCodeType,,,,インボイス文書目的コード,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,目的コード,CIIHの取引文書の目的（要求、リマインダーなど）を指定するコード。,UN01005869,BBIE,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,PurposeCode,PurposeCode
,,2188,,Attribute,CIIH_ Exchanged_ Document,9,0..1,0..0,,Revision,Date Time,,,,,,,,,,,UN01005870,BBIE,CIIH_ Exchanged_ Document. Revision. Date Time,"The date, time, date time or other date time value for the revision of this CIIH exchanged document.",Revision Date Time,RevisionDateTime,
,,2189,,Attribute,CIIH_ Exchanged_ Document,10,0..1,0..0,,Version_ Identification,Identifier,TDED1004,,,,,,,,,,UN01005871,BBIE,CIIH_ Exchanged_ Document. Version_ Identification. Identifier,The unique identifier for the version of this CIIH exchanged document.,Version ID,VersionID,
,,2190,,Attribute,CIIH_ Exchanged_ Document,11,0..1,0..0,,Global_ Identification,Identifier,TDED1004,,,,,,,,,,UN01005872,BBIE,CIIH_ Exchanged_ Document. Global_ Identification. Identifier,The unique global identifier for this CIIH exchanged document.,Global ID,GlobalID,
,,2191,,Attribute,CIIH_ Exchanged_ Document,12,0..1,0..0,,Revision_ Identification,Identifier,TDED1004,,,,,,,,,,UN01005873,BBIE,CIIH_ Exchanged_ Document. Revision_ Identification. Identifier,The unique identifier of the revision of this CIIH exchanged document.,Revision ID,RevisionID,
v4,36.0,2192,2,Attribute,CIIH_ Exchanged_ Document,13,0..1,0..1,,Previous Revision_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,インボイス文書履歴ID,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,前のリビジョンID,CIIHの取引文書の前の改訂版の一意の識別子。,UN01005874,BBIE,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,PreviousRevisionID,PreviousRevisionID
v4,37.0,2193,2,Attribute,CIIH_ Exchanged_ Document,14,0..1,0..1,,Category,Code,JECxxxx / D24A TDED 1003 Document Type Identifier <Document type identifier such as INVOIC. See also 0065> (an..6)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,udt:CodeType,,,,インボイス文書類型コード,インボイス文書類型コード,,カテゴリーコード,CIIHの取引文書のカテゴリを指定するコード。,UN01005875,BBIE,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,CategoryCode,CategoryCode
,,2194,,Attribute,CIIH_ Exchanged_ Document,15,0..1,0..0,,Control Requirement,Indicator,,,,,,,,,,,UN01006038,BBIE,CIIH_ Exchanged_ Document. Control Requirement. Indicator,The indication of whether or not there is a control requirement for this CIIH exchanged document.,Control Requirement Indicator,ControlRequirementIndicator,
,,2195,,Attribute,CIIH_ Exchanged_ Document,16,0..1,0..0,,Response Reason,Code,,,,,,,,,,,UN01014635,BBIE,CIIH_ Exchanged_ Document. Response Reason. Code,The code specifying the response reason of this CIIH exchanged document.,Response Reason Code,ResponseReasonCode,
v4,38.0,2196,2,Attribute,CIIH_ Exchanged_ Document,17,0..1,0..1,,Subtype,Code,JECxxxx D24A定義なし,udt:CodeType,,,,インボイス文書サブタイプコード,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",サブタイプコード,CIIHの取引文書のサブタイプを特定するコード。,UN01014636,BBIE,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,SubtypeCode,SubtypeCode
,,2197,,Attribute,CIIH_ Exchanged_ Document,18,0..n,0..0,,Requested_ Response Type,Code,TDED4343,,,,,,,,,,UN01015491,BBIE,CIIH_ Exchanged_ Document. Requested_ Response Type. Code,A code specifying a type of response requested for this CIIH exchanged document.,Requested Response Type Code,RequestedResponseTypeCode,
v1,39.0,2198,2,Composition,CIIH_ Exchanged_ Document,1,0..n,0..n,,,,,ram:CINoteType,CI_ Note (Included),,,インボイス文書／注釈グループ,インボイス文書注釈,インボイス文書に含まれる注釈。,注記,CIIHの取引文書に含まれる注記。,UN01005876,ASBIE,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,IncludedCINote,IncludedCINote
,,2199,,Composition,CIIH_ Exchanged_ Document,2,0..1,0..0,,,,,,CI_ Trade_ Party (Issuer),,,,,,,,UN01005877,ASBIE,CIIH_ Exchanged_ Document. Issuer. CI_ Trade_ Party,The party that issues this CIIH exchanged document.,Issuer,IssuerParty,
,,2200,,Composition,CIIH_ Exchanged_ Document,3,0..1,0..0,,,,,,CI_ Document_ Authentication (Signatory),,,,,,,,UN01012686,ASBIE,CIIH_ Exchanged_ Document. Signatory. CI_ Document_ Authentication,The signatory authentication for this CIIH exchanged document.,Signatory Document Authentication,SignatoryAuthentication,
v4,44.0,2201,2,Composition,CIIH_ Exchanged_ Document,4,0..n,0..n,,,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document[Reference_Type.Code='OI'] (Reference[Reference_Type.Code='OI']),Reference_Type.Code='OI',,インボイス文書／参照文書グループ,先行インボイスクラス,インボイス文書が参照する文書のグループ,その他の参考文献,CIIHの取引文書が参照するその他の文書。,UN01012702,ASBIE,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ReferenceCIReferencedDocument[ReferenceTypeCode='OI'],ReferenceCIReferencedDocument
v4,44.0,2201,2,Composition,CIIH_ Exchanged_ Document,4,0..n,0..n,,,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),not(Reference_Type.Code='OI'),,インボイス文書／参照文書グループ,参照文書,インボイス文書が参照する文書のグループ,その他の参考文献,CIIHの取引文書が参照するその他の文書。,UN01012702,ASBIE,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')],ReferenceCIReferencedDocument
v4.0.1,55.0,2202,2,Composition,CIIH_ Exchanged_ Document,5,0..n,0..n,,,,,ram:SpecifiedBinaryFileType,Specified_ Binary File (Attached),,,インボイス文書／添付ファイルグループ,添付バイナリファイル,インボイス文書の添付バイナリファイルに関するグループ,添付されたバイナリファイル,CIIHの取引文書に添付されたバイナリファイル。,UN01015490,ASBIE,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,A binary file attached to this CIIH exchanged document.,Attached Binary File,AttachedSpecifiedBinaryFile,AttachedSpecifiedBinaryFile
v1,67.0,2203,1,Class,CIIH_ Supply Chain_ Trade Agreement (Applicable),,,,,,,,ram:CIIHSupplyChainTradeAgreementType,,,,インボイス文書契約クラス,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,CIIH取引協定,CIIHサプライチェーン取引契約の契約条件。,UN01005878,ABIE,CIIH_ Supply Chain_ Trade Agreement. Details,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,CIIH Trade Agreement,,
,,2204,,Attribute,CIIH_ Supply Chain_ Trade Agreement (Applicable),1,0..1,0..0,,Buyer_ Reference,Text,,,,,,,,,,,UN01008552,BBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Reference. Text,"The buyer reference, expressed as text, for this CIIH supply chain trade agreement.",Buyer Reference Text,BuyerReference,
v1,68.0,2205,2,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),1,0..1,1..1,,,,,ram:CITradePartyType,CI_ Trade_ Party (Applicable/Seller),,,インボイス文書契約／受注者グループ,受注者,受注者に関するグループ。,売り手,CIIHサプライチェーン取引契約における売り手事業者。,UN01005879,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,SellerCITradeParty,SellerCITradeParty
v1,101.0,2206,2,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),2,0..1,1..1,,,,,ram:CITradePartyType,CI_ Trade_ Party (Applicable/Buyer),,,インボイス文書契約／発注者グループ,発注者,発注者に関するグループ。,買い手,CIIHサプライチェーン取引契約における買い手である事業者。,UN01005880,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.,Buyer,BuyerCITradeParty,BuyerCITradeParty
,,2207,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),3,0..1,0..0,,,,,,CI_ Trade_ Party (Buyer_ Assigned Accountant),,,,,,,,UN01005881,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Assigned Accountant. CI_ Trade_ Party,The trade party assigned as an accountant by the buyer for this CIIH supply chain trade agreement.,Buyer Assigned Accountant,BuyerAssignedAccountantParty,
,,2208,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),4,0..1,0..0,,,,,,CI_ Trade_ Party (Seller_ Assigned Accountant),,,,,,,,UN01005882,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller_ Assigned Accountant. CI_ Trade_ Party,The trade party assigned as an accountant by the seller for this CIIH supply chain trade agreement.,Seller Assigned Accountant,SellerAssignedAccountantParty,
,,2209,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),5,0..1,0..0,,,,,,CI_ Trade_ Party (Buyer_ Tax Representative),,,,,,,,UN01005883,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Tax Representative. CI_ Trade_ Party,The trade party acting as a tax representative for the buyer for this CIIH supply chain trade agreement.,Buyer Tax Representative,BuyerTaxRepresentativeParty,
,,2210,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),6,0..1,0..0,,,,,,CI_ Trade_ Party (Seller_ Tax Representative),,,,,,,,UN01005884,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller_ Tax Representative. CI_ Trade_ Party,The trade party acting as a tax representative for the seller for this CIIH supply chain trade agreement.,Seller Tax Representative,SellerTaxRepresentativeParty,
,,2211,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),7,0..1,0..0,,,,,,CI_ Trade_ Delivery Terms (Applicable),,,,,,,,UN01005885,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Delivery Terms,The trade terms of delivery applicable to this CIIH supply chain trade agreement.,Delivery Terms,ApplicableDeliveryTerms,
,,2212,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),8,0..1,0..0,,,,,,CI_ Referenced_ Document (Seller Order_ Referenced),,,,,,,,UN01005886,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,The seller order document referenced from this CIIH supply chain trade agreement.,Seller Order Document,SellerOrderReferencedDocument,
,,2213,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),9,0..1,0..0,,,,,,CI_ Referenced_ Document (Buyer Order_ Referenced),,,,,,,,UN01005887,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,The buyer order document referenced from this CIIH supply chain trade agreement.,Buyer Order Document,BuyerOrderReferencedDocument,
,,2214,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),10,0..1,0..0,,,,,,CI_ Referenced_ Document (Quotation_ Referenced),,,,,,,,UN01005888,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Quotation_ Referenced. CI_ Referenced_ Document,The quotation document referenced from this CIIH supply chain trade agreement.,Quotation Document,QuotationReferencedDocument,
,,2215,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),11,0..1,0..0,,,,,,CI_ Referenced_ Document (Order Response_ Referenced),,,,,,,,UN01005889,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Order Response_ Referenced. CI_ Referenced_ Document,The order response document referenced from this CIIH supply chain trade agreement.,Order Response Document,OrderResponseReferencedDocument,
,,2216,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),12,0..1,0..0,,,,,,CI_ Referenced_ Document (Contract_ Referenced),,,,,,,,UN01005890,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,The contract document referenced from this CIIH supply chain trade agreement.,Contract Document,ContractReferencedDocument,
,,2217,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),13,0..1,0..0,,,,,,CI_ Referenced_ Document (Demand Forecast_ Referenced),,,,,,,,UN01005891,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Demand Forecast_ Referenced. CI_ Referenced_ Document,The demand forecast document referenced from this CIIH supply chain trade agreement.,Demand Forecast Document,DemandForecastReferencedDocument,
,,2218,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),14,0..1,0..0,,,,,,CI_ Referenced_ Document (Supply Instruction_ Referenced),,,,,,,,UN01005892,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Supply Instruction_ Referenced. CI_ Referenced_ Document,The supply instruction document referenced from this CIIH supply chain trade agreement.,Supply Instruction Document,SupplyInstructionReferencedDocument,
,,2219,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),15,0..1,0..0,,,,,,CI_ Referenced_ Document (Promotional Deal_ Referenced),,,,,,,,UN01005893,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Promotional Deal_ Referenced. CI_ Referenced_ Document,The promotional deal document referenced from this CIIH supply chain trade agreement.,Promotional Deal Document,PromotionalDealReferencedDocument,
,,2220,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),16,0..1,0..0,,,,,,CI_ Referenced_ Document (Price List_ Referenced),,,,,,,,UN01005894,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,The price list document referenced from this CIIH supply chain trade agreement.,Price List Document,PriceListReferencedDocument,
,,2221,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),17,0..n,0..0,,,,,,CI_ Referenced_ Document (Additional_ Referenced),,,,,,,,UN01005895,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,An additional document referenced from this CIIH supply chain trade agreement.,Additional Document,AdditionalReferencedDocument,
,,2222,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),18,0..n,0..0,,,,,,CI_ Trade_ Party (Buyer_ Requisitioner),,,,,,,,UN01006058,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Requisitioner. CI_ Trade_ Party,A Cross Industry (CI) trade party who is a buyer requisitioner in this CIIH supply chain trade agreement.,Buyer Requisitioner,BuyerRequisitionerParty,
,,2223,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),19,0..n,0..0,,,,,,CI_ Referenced_ Document (Requisitioner_ Referenced),,,,,,,,UN01006061,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Requisitioner_ Referenced. CI_ Referenced_ Document,A requisitioner Cross Industry (CI) document referenced in this CIIH supply chain trade agreement.,Requisitioner Document,RequisitionerReferencedDocument,
,,2224,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),20,0..1,0..0,,,,,,CI_ Trade_ Party (Buyer Agent),,,,,,,,UN01008553,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer Agent. CI_ Trade_ Party,The party representing the buyer in this CIIH supply chain trade agreement.,Buyer Agent,BuyerAgentParty,
,,2225,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),21,0..1,0..0,,,,,,CI_ Trade_ Party (Sales Agent),,,,,,,,UN01008554,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Sales Agent. CI_ Trade_ Party,The party representing the seller in this CIIH supply chain trade agreement.,Sales Agent,SalesAgentParty,
v1,134.0,2226,2,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),22,0..1,0..1,,,,,ram:ProcuringProjectType,Procuring_ Project (Applicable/Specified),,,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達,プロジェクト調達に関するグループ,調達プロジェクト,CIIHサプライチェーン取引契約に指定された調達プロジェクト。,UN01011516,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.,Procuring Project,SpecifiedProcuringProject,SpecifiedProcuringProject
,,2227,,Composition,CIIH_ Supply Chain_ Trade Agreement (Applicable),23,0..1,0..0,,,,,,CI_ Logistics_ Location (Pricing Base_ Applicable),,,,,,,,UN01012688,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Pricing Base_ Applicable. CI_ Logistics_ Location,The logistics location applicable to the pricing base for this CIIH supply chain trade agreement.,Pricing Base Applicable Logistics Location,PricingBaseApplicableLocation,
v4.3,139.0,2228,1,Class,CIIH_ Supply Chain_ Trade Delivery (Applicable),,,,,,,,ram:CIIHSupplyChainTradeDeliveryType,,,,インボイス文書配送クラス,インボイス文書配送クラス,インボイス文書の配送に関する情報のクラス,CIIH 取引配送,CIIHサプライチェーンにおける出荷手配および製品・サービスの移動（発送および配送を含む）。,UN01005896,ABIE,CIIH_ Supply Chain_ Trade Delivery. Details,Cross Industry Invoice Header (CIIH) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,CIIH Trade Delivery,,
,,2229,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),1,0..1,0..0,,,,,,CI_ Supply Chain_ Consignment (Related),,,,,,,,UN01005897,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Related. CI_ Supply Chain_ Consignment,The Cross Industry (CI) supply chain consignment related to this CIIH supply chain trade delivery.,Consignment,RelatedConsignment,
,,2230,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),2,0..1,0..0,,,,,,CI_ Trade_ Party (Ship To),,,,,,,,UN01005898,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ship to party for this CIIH supply chain trade delivery.,Ship To Party,ShipToParty,
,,2231,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),3,0..1,0..0,,,,,,CI_ Trade_ Party (Ultimate_ Ship To),,,,,,,,UN01005899,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ultimate_ Ship To. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ultimate ship to party for this CIIH supply chain trade delivery.,Ultimate Ship To Party,UltimateShipToParty,
,,2232,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),4,0..1,0..0,,,,,,CI_ Trade_ Party (Ship From),,,,,,,,UN01005900,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ship From. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ship from party for this CIIH supply chain trade delivery.,Ship From Party,ShipFromParty,
,,2233,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),5,0..1,0..0,,,,,,CI_ Supply Chain_ Event (Actual_ Despatch),,,,,,,,UN01005901,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Despatch. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain despatch event for this CIIH supply chain trade delivery.,Actual Despatch Event,ActualDespatchEvent,
,,2234,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),6,0..1,0..0,,,,,,CI_ Supply Chain_ Event (Actual_ Pick-Up),,,,,,,,UN01005902,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Pick-Up. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain pick-up event for this CIIH supply chain trade delivery.,Actual Pick-Up Event,ActualPickUpEvent,
,,2235,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),7,0..1,0..0,,,,,,CI_ Supply Chain_ Event (Actual_ Delivery),,,,,,,,UN01005903,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain delivery event for this CIIH supply chain trade delivery.,Actual Delivery Event,ActualDeliveryEvent,
,,2236,,Composition,CIIH_ Supply Chain_ Trade Delivery (Applicable),8,0..1,0..0,,,,,,CI_ Supply Chain_ Event (Actual_ Receipt),,,,,,,,UN01005904,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Receipt. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain receipt event for this CIIH supply chain trade delivery.,Actual Receipt Event,ActualReceiptEvent,
