version,sme_nr,mbie_nr,acronym,level,multiplicity,multiplicity_sme,label_sme,definition_sme,level_csv,multiplicity_csv,label_csv,label_ja,definition_ja,UNID,DEN,short_name,definition,property_type,class_term,sequence,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,element,XML_element_name,xpath
v1,16.0,3425,BBIE,4,0..1,0..1,取引シナリオ名,取引シナリオの名称,2,0..1,取引シナリオ名,値テキスト,インボイスの文書コンテキストパラメータの値（テキストで表現）。,UN01005473,CI_ Document Context_ Parameter. Value. Text,Value Text,"The value, expressed as text, of this CI document context parameter.",Attribute,CI_ Document Context_ Parameter (Scenario_ Specified),2,,Value,Text,,udt:TextType,,,,Value,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/Value
v1,17,3455,ASBIE,3,0..n,0..1,取引設定内容/アプリケーショングループ,取引設定内容のアプリケーションに関する情報,,,,応用,インボイスの取引文書コンテキストに対して指定されたアプリケーションインボイスの文書コンテキストパラメータ。,UN01005484,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,Application,An application CI document context parameter specified for this CI exchanged document context.,Composition,CI_ Exchanged Document_ Context,4,,,,,ram:CIDocumentContextParameterType,CI_ Document Context_ Parameter (Application_ Specified),,,ApplicationSpecifiedCIDocumentContextParameter,ApplicationSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter
v1,18,3423,ABIE,3,,,アプリケーション設定クラス,アプリケーションに関する情報のクラス,,,,CI文書コンテキストパラメータ,特定の文書コンテキストに対して固定される機能。,UN01005471,CI_ Document Context_ Parameter. Details,CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Class,CI_ Document Context_ Parameter (Application_ Specified),,,,,,ram:CIDocumentContextParameterType,,,,,,
v1,19.0,3424,BBIE,4,0..1,0..1,アプリケーションID,"業務アプリケーションが実装する業界・業種識別番号
標準仕様書３．１．２項、および１１．３節を参照",2,0..1,アプリケーションID,ID,インボイスの文書コンテキストパラメータの一意の識別子。,UN01005472,CI_ Document Context_ Parameter. Identification. Identifier,ID,The unique identifier of this CI document context parameter.,Attribute,CI_ Document Context_ Parameter (Application_ Specified),1,PK,Identification,Identifier,,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/ID
v1,20.0,3425,BBIE,4,0..1,0..1,アプリケーション名,業務アプリケーションが実装する業界・業種名称,2,0..1,アプリケーション名,値テキスト,インボイスの文書コンテキストパラメータの値（テキストで表現）。,UN01005473,CI_ Document Context_ Parameter. Value. Text,Value Text,"The value, expressed as text, of this CI document context parameter.",Attribute,CI_ Document Context_ Parameter (Application_ Specified),2,,Value,Text,,udt:TextType,,,,Value,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/Value
v1,21,3457,ASBIE,3,0..n,1..1,取引設定内容/ドメイングループ,取引設定内容のドメインの情報に関する情報,,,,サブセット,インボイスの取引文書コンテキストに対して指定されたサブセットインボイスの文書コンテキストパラメータ。,UN01005486,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,Subset,A subset CI document context parameter specified for this CI exchanged document context.,Composition,CI_ Exchanged Document_ Context,6,,,,,ram:CIDocumentContextParameterType,CI_ Document Context_ Parameter (Subset_ Specified),,,SubsetSpecifiedCIDocumentContextParameter,SubsetSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter
v1,22,3423,ABIE,3,,,ドメイン設定クラス,JEC業界横断EDIメッセージドメインに関する情報のクラス,,,,CI文書コンテキストパラメータ,特定の文書コンテキストに対して固定される機能。,UN01005471,CI_ Document Context_ Parameter. Details,CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Class,CI_ Document Context_ Parameter (Subset_ Specified),,,,,,ram:CIDocumentContextParameterType,,,,,,
v1,23.0,3424,BBIE,4,0..1,0..1,ドメインID,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",2,0..1,ドメインID,ID,インボイスの文書コンテキストパラメータの一意の識別子。,UN01005472,CI_ Document Context_ Parameter. Identification. Identifier,ID,The unique identifier of this CI document context parameter.,Attribute,CI_ Document Context_ Parameter (Subset_ Specified),1,PK,Identification,Identifier,JECxxxx D24A定義なし,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/ID
v1,24.0,3425,BBIE,4,0..1,0..1,ドメイン名,SIPSが付与したメッセージドメイン名称,2,0..1,ドメイン名,値テキスト,インボイスの文書コンテキストパラメータの値（テキストで表現）。,UN01005473,CI_ Document Context_ Parameter. Value. Text,Value Text,"The value, expressed as text, of this CI document context parameter.",Attribute,CI_ Document Context_ Parameter (Subset_ Specified),2,,Value,Text,,udt:TextType,,,,Value,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/Value
v1,25,3426,ASBIE,4,0..1,0..1,ドメイン/バージョングループ,ドメインのバージョンに関する情報,,,,バージョン,インボイスの文書コンテキストパラメータに指定されたインボイスの文書のバージョン。,UN01005474,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,Version,The CI document version specified for this CI document context parameter.,Composition,CI_ Document Context_ Parameter (Subset_ Specified),1,,,,,ram:CIDocumentVersionType,CI_ Document_ Version (Subset_ Specified/Specified),,,SpecifiedCIDocumentVersion,SpecifiedCIDocumentVersion,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,26,3444,ABIE,4,,,バージョンクラス,バージョンに関する情報のクラス,,,,CI文書バージョン,文書の特定のバリエーション。,UN01005475,CI_ Document_ Version. Details,CI Document Version,A specific variant of a Cross Industry (CI) document.,Class,CI_ Document_ Version (Subset_ Specified/Specified),,,,,,ram:CIDocumentVersionType,,,,,,
v1,27.0,3445,BBIE,5,0..1,0..1,バージョンID,ドメインのバージョン識別番号,2,0..1,バージョンID,ID,インボイスの文書バージョンの固有識別子。,UN01005476,CI_ Document_ Version. Identification. Identifier,ID,The unique identifier for this CI document version.,Attribute,CI_ Document_ Version (Subset_ Specified/Specified),1,PK,Identification,Identifier,,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,28.0,3447,BBIE,5,0..1,0..1,バージョン発行日,ドメインのバージョン発行日,2,0..1,バージョン発行日,発行日時,インボイスの文書バージョンの発行日、時刻、日付時刻、またはその他の日付時刻値。,UN01005478,CI_ Document_ Version. Issue. Date Time,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Attribute,CI_ Document_ Version (Subset_ Specified/Specified),3,,Issue,Date Time,,udt:DateTimeType,,,,IssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
v1,29.0,2179,ASMA,2,0..1,1..1,インボイス文書グループ,インボイス文書に関する情報項目のグループ,,,,CIIH交換文書,書面、印刷物、または電子形式で2つ以上の事業者間で交換される、インボイスヘッダのデータ集合。,JPSxxxxxxxx,SME_ Consolidated Self Invoice. Specified. CIIH_ Exchanged_ Document,CIIH Exchanged Document,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",Composition,SME_ Consolidated Self Invoice,,,,,,ram:CIIHExchangedDocumentType,CIIH_ Exchanged_ Document,,,CIIHExchangedDocument,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1,29,2179,ABIE,2,,,文書情報クラス,インボイス文書に関する情報項目のグループ,,,,CIIH交換文書,書面、印刷物、または電子形式で2つ以上の事業者間で交換される、インボイスヘッダのデータ集合。,UN01005861,CIIH_ Exchanged_ Document. Details,CIIH Exchanged Document,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",Class,CIIH_ Exchanged_ Document,,,,,,ram:CIIHExchangedDocumentType,,,,CIIHExchangedDocument,CIIHExchangedDocument,
v1/v3,30.0,2180,BBIE,3,1..1,1..1,インボイス文書ID,インボイス文書を識別する文書ID,1,0..1,インボイス文書ID,ID,CIIHの取引文書の固有識別子。,UN01005862,CIIH_ Exchanged_ Document. Identification. Identifier,ID,The unique identifier of this CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,1,PK,Identification,Identifier,TDED1004,udt:IDType,,,,ID,ID,////ID
v1,31.0,2181,BBIE,3,0..n,0..1,インボイス文書名,インボイス文書の文書名称,1,0..1,インボイス文書名,名前,CIIHの取引文書の名称（テキストで表現）。,UN01005863,CIIH_ Exchanged_ Document. Name. Text,Name,"A name, expressed as text, of this CIIH exchanged document.",Attribute,CIIH_ Exchanged_ Document,2,,Name,Text,TDED1000,udt:TextType,,,,Name,Name,////Name
v1,32.0,2182,BBIE,3,0..1,0..1,インボイス文書タイプコード,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",1,0..1,インボイス文書タイプコード,タイプコード,交換されるCIIHの文書の種類を指定するコード。,UN01005864,CIIH_ Exchanged_ Document. Type. Code,Type Code,The code specifying the type of CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,3,,Type,Invoice_ Document_ Code,TDED1001,qdt:InvoiceDocumentCodeType,,,,TypeCode,TypeCode,////TypeCode
v1/v3,33.0,2183,BBIE,3,1..1,1..1,インボイス文書発効日,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,1,0..1,インボイス文書発効日,発行日時,CIIHの取引文書の発行日、時刻、日付時刻、またはその他の日付時刻値。,UN01005865,CIIH_ Exchanged_ Document. Issue. Date Time,Issue Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Attribute,CIIH_ Exchanged_ Document,4,,Issue,Date Time,TDED2007,udt:DateTimeType,,,,IssueDateTime,IssueDateTime,////IssueDateTime
v4.3,34.0,2186,BBIE,3,0..n,0..1,インボイス文書言語ID,インボイス文書が使用する言語のID,1,0..1,インボイス文書言語ID,言語コード,CIIHの取引文書で使用される言語の一意の識別子。,UN01005868,CIIH_ Exchanged_ Document. Language. Identifier,Language Code,A unique identifier for a language used in this CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,7,,Language,Identifier,TDED3453,udt:IDType,,,,LanguageID,LanguageID,////LanguageID
v2,35.0,2187,BBIE,3,0..1,0..1,インボイス文書目的コード,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,1,0..1,インボイス文書目的コード,目的コード,CIIHの取引文書の目的（要求、リマインダーなど）を指定するコード。,UN01005869,CIIH_ Exchanged_ Document. Purpose. Code,Purpose Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Attribute,CIIH_ Exchanged_ Document,8,,Purpose,Message Function_ Code,TDED1225,qdt:MessageFunctionCodeType,,,,PurposeCode,PurposeCode,////PurposeCode
v4,36.0,2192,BBIE,3,0..1,0..1,インボイス文書履歴ID,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,1,0..1,インボイス文書履歴ID,前のリビジョンID,CIIHの取引文書の前の改訂版の一意の識別子。,UN01005874,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,Previous Revision ID,The unique identifier of the previous revision of this CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,13,,Previous Revision_ Identification,Identifier,TDED1004,udt:IDType,,,,PreviousRevisionID,PreviousRevisionID,////PreviousRevisionID
v4,37.0,2193,BBIE,3,0..1,0..1,インボイス文書類型コード,,1,0..1,インボイス文書類型コード,カテゴリーコード,CIIHの取引文書のカテゴリを指定するコード。,UN01005875,CIIH_ Exchanged_ Document. Category. Code,Category Code,The code specifying the category for this CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,14,,Category,Code,TDED1003,udt:CodeType,,,,CategoryCode,CategoryCode,////CategoryCode
v4,38.0,2196,BBIE,3,0..1,0..1,インボイス文書サブタイプコード,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",1,0..1,インボイス文書サブタイプコード,サブタイプコード,CIIHの取引文書のサブタイプを特定するコード。,UN01014636,CIIH_ Exchanged_ Document. Subtype. Code,Subtype Code,The code specifying the subtype of this CIIH exchanged document.,Attribute,CIIH_ Exchanged_ Document,17,,Subtype,Code,,udt:CodeType,,,,SubtypeCode,SubtypeCode,////SubtypeCode
v1,39,2198,ASBIE,3,0..n,0..n,文書情報注釈グループ,インボイス文書に含まれる注釈。,1,0..n,インボイス文書注釈,注記,CIIHの取引文書に含まれる注記。,UN01005876,CIIH_ Exchanged_ Document. Included. CI_ Note,Note,A note included in this CIIH exchanged document.,Composition,CIIH_ Exchanged_ Document,1,,Included,,,ram:CINoteType,CI_ Note (Included),,,IncludedCINote,IncludedCINote,////IncludedCINote
v1,40,3578,ABIE,3,,,文書情報注釈クラス,インボイス文書の注釈を記述するためのクラス,,,,CIノート,備考や追加情報などの、テキストまたはコード化されたインボイスの説明。,UN01005557,CI_ Note. Details,CI Note,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",Class,CI_ Note (Included),,,,,,ram:CINoteType,,,,,,
v1,41.0,3579,BBIE,4,0..1,0..1,インボイス文書注釈表題,注釈内容の表題を示す。,3,0..1,インボイス文書注釈表題,件名テキスト,インボイスの注記の主題（テキストで表現）。,UN01005558,CI_ Note. Subject. Text,Subject Text,"The subject, expressed as text, of this CI note.",Attribute,CI_ Note (Included),1,,Subject,Text,,udt:TextType,,,,Subject,Subject,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/Subject
v1,42.0,3581,BBIE,4,0..n,0..1,インボイス文書注釈内容,注釈項目毎の内容情報を入力するフリースペース。,3,0..1,インボイス文書注釈内容,コンテンツテキスト,インボイスの注記の内容（テキストで表現）。,UN01005560,CI_ Note. Content. Text,Content Text,"Content, expressed as text, of this CI note.",Attribute,CI_ Note (Included),3,,Content,Text,D24A TDED 4440 Free text <Free form text.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred4440.htm,udt:TextType,,,,Content,Content,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/Content
v1,43.0,3583,BBIE,4,0..1,0..1,インボイス文書注釈ID,注釈の識別ID,3,0..1,インボイス文書注釈ID,ID,インボイスの注記の一意の識別子。,UN01005562,CI_ Note. Identification. Identifier,ID,The unique identifier for this CI note.,Attribute,CI_ Note (Included),5,PK,Identification,Identifier,,udt:IDType,,,,ID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/ID
v4,44,2201,ASBIE,3,0..n,0..n,文書情報参照文書グループ,インボイス文書が参照する文書のグループ,1,0..n,参照文書,その他の参考文献,CIIHの取引文書が参照するその他の文書。,UN01012702,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other Referenced Documents,Other documents referenced by this CIIH exchanged document.,Composition,CIIH_ Exchanged_ Document,4,,Reference,,,ram:CIReferencedDocumentType,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),not(Reference_Type.Code='OI'),,ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')],ReferenceCIReferencedDocument,////ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')]
v4,45,3614,ABIE,3,,,参照文書クラス,インボイス文書が参照する文書クラス,,,,CI参照文書,インボイスの目的で参照される文書、印刷物、または電子媒体。,UN01005579,CI_ Referenced_ Document. Details,CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",Class,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),,,,,,ram:CIReferencedDocumentType,,,,,,
v4,53.0,,BBIE,4,D24Aで未定義,0..1,（鑑ヘッダ参照）文書添付ファイル識別子,この参照文書に紐付く添付バイナリファイルの有無を指定,3,0..1,参照文書バイナリファイル識別子,,,JPSxxxxxxx,CI_ Referenced_ Document. Attachment_ Binary Object. Indicator,,,Attribute,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),,,Attachment_ Binary Object,Indicator,JECxxxx D24A定義なし,,,,,AttachmentBinaryObjectIndicator,,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')]/AttachmentBinaryObjectIndicator
v4,46.0,3615,BBIE,4,0..1,1..1,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,3,0..1,参照文書ID,発行者割り当てID,インボイスの参照文書に対して発行者が割り当てた識別子。,UN01005580,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,Attribute,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),1,,Issuer Assigned_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,IssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')]/IssuerAssignedID
v4.2,47.0,3616,BBIE,4,0..1,0..1,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,3,0..1,参照文書URL_ID,URI,インボイスの参照文書に対する固有の統一リソース識別子（URI）。,UN01005581,CI_ Referenced_ Document. URI_ Identification. Identifier,URI,The unique Uniform Resource Identifier (URI) for this CI referenced document.,Attribute,CI_ Referenced_ Document[not(Reference_Type.Code='OI')] (Reference[not(Reference_Type.Code='OI')]),2,,URI_ Identification,Identifier,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,udt:IDType,,,,URIID,URIID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument[not(ReferenceTypeCode='OI')]/URIID
