nr,category,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_sme,label_csv,definition_sme,multiplicity_sme,selector,fixed_value,version,code_list,issueing_agency,input_method,input_value,xml_imput_sing,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,accounting,JP PINT v1.0,Id,Business Term,Card.
,,UN01012702,ASBIE,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,,文書情報参照文書グループ,参照文書,インボイス文書が参照する文書のグループ,0..n,not(Reference_Type.Code='OI'),,v4,,,,,,,,,,,,,,
,,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,,,参照文書クラス,,インボイス文書が参照する文書クラス,,,,v4,,,,,,,,,,,,,,
53,ヘッダ部,JPSxxxxxxx,BBIE,,,,CI_ Referenced_ Document. Attachment_ Binary Object. Indicator,,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイル識別子,参照文書バイナリファイル識別子,この参照文書に紐付く添付バイナリファイルの有無を指定,0..1,,,v4,JECxxxx D24A定義なし,JEC,  ,  ,,＊,＊,＊,,,,,,
46,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書ID,参照文書ID,インボイス文書が参照する参照文書のID,1..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm,  ,  ,  ,123,＊,＊,＊,＊,,☆,IST-122,Supporting document reference,1..1
47,ヘッダ部,UN01005581,BBIE,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書URL_ID,参照文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,0..1,,,v4.2,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm, ,  ,  ,,＊,＊,＊,＊,,★,IBT-124,External document location,0..1
48,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,,（鑑ヘッダ参照）文書発行日,参照文書発行日,インボイス文書が参照する参照文書の発行日,0..1,,,v4,"D24A TDED 2007 Document Issue Date Time <Date that a document was issued and when appropriate, signed or otherwise authenticated> (an..19)  https://unece.org/DAM/trade/untdid/UNTDED2005.pdf | XMLSchema <xsd:union memberTypes=""xsd:dateTime xsd:date""/>",     ,  ,  ,45219,＊,＊,＊,＊,,,,,
49,ヘッダ部,UN01005586,BBIE,,,,CI_ Referenced_ Document. Reference_ Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書参照タイプコード,参照文書参照タイプコード,この調整で参照するインボイス文書の参照タイプを指定するコード,0..1,,not(OI),v4.1,UNCL1153 D24Aと一致. / UNTDED 1153 Reference code qualifier <Code qualifying a reference.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1153.htm | XMLSchema /uncefact/codelist/standard/UNECE_ReferenceTypeCode_D23A.xsd,UN/CEFACT,"コード値
選択入力","OI Previous invoice number
IV Invoice document identifier",,＊,＊,＊,,,,,,
50,ヘッダ部,UN01005588,BBIE,,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書履歴ID,参照文書履歴ID,インボイス文書が参照する文書の変更履歴を管理するID。,0..1,,,v4,D24A TDED 1004 Document identifier <To identify a document.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred1004.htm, ,  ,  ,,＊,＊,＊,,,,,,
51,ヘッダ部,UN01006415,BBIE,,,,CI_ Referenced_ Document. Information. Text,,,,,,,,,,,（鑑ヘッダ参照）文書情報,参照文書情報,インボイス文書が参照する参照文書に記載の情報,0..1,,,v4.2,D24A TDED 4142 Document Information Text <Text related to a document.> (an..512) コード値不明 https://unece.org/DAM/trade/untdid/UNTDED2005.pdf,,  ,  ,,＊,＊,＊,,,,IBT-123,Supporting document description,0..1
52,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書タイプコード,参照文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,0..1,,,v4,UNCL1001 D24Aと一致. / UNTDED 1001 Document name code <Code specifying the document name.> (an..3)  https://service.unece.org/trade/untdid/d23a/tred/tred1001.htm | XMLSchema /uncefact/codelist/standard/UNECE_DocumentNameCode_D23A.xsd,UN/CEFACT,  ,  ,,＊,＊,＊,＊,,,,,
59,ヘッダ部,UN01011455,BBIE,,,,CI_ Referenced_ Document. Attachment. Binary Object,,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイル,参照文書バイナリファイル,この参照文書に紐付く添付バイナリファイルの有無を指定,0..1,,,v4.1,JECxxxx D24A定義なし,,  ,  ,,＊,＊,＊,,,☆,IBT-125-２,> Attached document Filename,1..1
60,ヘッダ部,,SC,,,,,Binary Object. Format. Text,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイル形式,参照文書バイナリファイル形式,バイナリコンテンツの形式。,0..1,,,v4.3,,     ,  ,  ,,＊,＊,＊,,,,,  ,  
61,ヘッダ部,,SC,,,,,Binary Object. Mime. Code,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイルMIMEタイプ,参照文書バイナリファイルMIMEタイプ,バイナリオブジェクトの MIME タイプ。,0..1,,,v4.3,,IETF,  ,  ,,＊,＊,＊,,,☆,IBT-125-１,> Attached document Mime code,1..1
62,ヘッダ部,,SC,,,,,Binary Object. Encoding. Code,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイルエンコーディングコード,参照文書バイナリファイルエンコーディングコード,バイナリオブジェクトのデコード（復号）アルゴリズムを指定する。,0..1,,,v4.3,,,,,,＊,＊,＊,,,,,,
63,ヘッダ部,,SC,,,,,Binary Object. Character Set. Code,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイルキャラクターセット,参照文書バイナリファイルキャラクターセット,MIME タイプがテキストの場合の、バイナリオブジェクトの文字集合（文字コード）。,0..1,,,v4.3,,,,,,＊,＊,＊,,,,,,
64,ヘッダ部,,SC,,,,,Binary Object. Uniform Resource. Identifier,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイルURI,参照文書バイナリファイルURI,バイナリオブジェクトの所在を識別する URI（Uniform Resource Identifier）。,0..1,,,v4.3,,, , ,,＊,＊,＊,,,,,,
65,ヘッダ部,,SC,,,,,Binary Object. Filename. Text,,,,,,,,,,（鑑ヘッダ参照）文書添付ファイルファイル名,参照文書バイナリファイルファイル名,バイナリオブジェクトのファイル名。,0..1,,,v4.3,,     ,  ,  ,,○,○,○,○,,,,,
54,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,,（鑑ヘッダ参照）文書サブタイプコード,参照文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,0..1,,,v4,JECxxxx D24A定義なし,JEC,  ,  ,,＊,＊,＊,＊,,,,,
,,UN01015490,ASBIE,,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,,,,,,,,,,,,文書情報添付ファイルグループ,添付バイナリファイル,インボイス文書の添付バイナリファイルに関するグループ,0..n,,,v4.0.1,,,,,,,,,,,,,,
,,UN01006014,ABIE,,,Specified_ Binary File. Details,,,,,,,,,,,,添付バイナリファイルクラス,,添付バイナリファイルを記述するためのクラス,,,,v4,,,,,,,,,,,,,,
57,ヘッダ部,UN01006015,BBIE,,,,Specified_ Binary File. Identification. Identifier,,,,,,,,,,,添付バイナリファイルID,添付バイナリファイルID,添付バイナリファイルのID,1..1,,,v4,,     ,  ,  ,,△,△,△,,,,,  ,  
59,ヘッダ部,UN01006019,BBIE,,,,Specified_ Binary File. File Name. Text,,,,,,,,,,,添付バイナリファイル名,添付バイナリファイル名,添付バイナリファイルの名称,0..1,,,v4,,,  ,  ,,＊,＊,＊,,,☆,IBT-125-２,> Attached document Filename,1..1
60,ヘッダ部,UN01006020,BBIE,,,,Specified_ Binary File. URI. Identifier,,,,,,,,,,,添付バイナリファイルURI ID,添付バイナリファイルURI ID,添付バイナリファイルの保管URIID,0..1,,,v4,,     ,  ,  ,,＊,＊,＊,,,,,  ,  
61,ヘッダ部,UN01006021,BBIE,,,,Specified_ Binary File. MIME. Code,,,,,,,,,,,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,添付バイナリファイルのMIMEコード,1..1,,,v4,RFC1341 D24A定義なし / UNTDED 1341,IETF,  ,  ,,＊,＊,＊,,,☆,IBT-125-１,> Attached document Mime code,1..1
64,ヘッダ部,UN01006026,BBIE,,,,Specified_ Binary File. Description. Text,,,,,,,,,,,添付バイナリファイルの説明文,添付バイナリファイルの説明文,添付バイナリファイルの説明文,0..1,,,v3,,, , ,,＊,＊,＊,,,,,,
65,ヘッダ部,JPSxxxxxxxx,ASMA,,SME_ Consolidated Self Invoice. Specified. CIIH_ Supply Chain_ Trade Transaction,,,,,,,,,,,,,インボイス文書取引内容クラス,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1,,,v1,,     ,  ,  ,,○,○,○,○,,,,,
,,UN01005936,ABIE,,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,,取引内容クラス,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
,,UN01005937,ASBIE,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,,取引内容契約グループ,,インボイス文書取引に適用される契約に関するグループ。,1..1,,,v1,,,,,,,,,,,,,,
,,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,,,契約クラス,,インボイス文書に関する契約に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
,,UN01005879,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,,,,,,,,,,,契約受注者グループ,,受注者に関するグループ。,1..1,,,v1,,,,,,,,,,,,,,
,,UN01005756,ABIE,,,,CI_ Trade_ Party. Details,,,,,,,,,,,受注者クラス,,受注者に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
70,ヘッダ部,UN01005757,BBIE,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,,受注者ID,受注者ID,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1,,,v1,D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm,     ,  ,  ,,＊,＊,＊,＊,,★,IBT-029,> Seller identifier,0..n
71,ヘッダ部,UN01005758,BBIE,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,,,,受注者国際企業ID,受注者国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。,0..1,,,v1,D24A TDED 3039 Party identifier <Code specifying the identity of a party.> (an..35) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3039.htm,,,ISO6523企業コード発番機関が附番した企業コード値,,＊,＊,＊,,,★,IBT-030,> Seller legal registration identifier,0..1
71.1,ヘッダ部,UDT000011,SC,,,,,,Identification Scheme. Identifier,,,,,,,,,受注者国際企業ID発番機関番号,受注者国際企業登録機関番号,"ISO6523に登録された国際企業登録機関の番号
例：0088：EAN International (GLN) GS1 企業コード、0188：Japanese Organization Code (法人番号）、9901：DUNS (Dun & Bradstreet) 国際企業識別子",1..1,,,,,,,,,,,,,,,,,
72,ヘッダ部,UN01005759,BBIE,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,,受注者名称,受注者名称,注文を受ける企業の名称。,0..1,,,v1,D24A TDED 3036 Party name <Name of a party.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3036.htm,,,,,◎,◎,◎,◎,,☆,IBT-027,> Seller name,1..1
,,UN01005761,ASBIE,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,,受注者連絡先グループ,,受注者の連絡先に関するグループ,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005718,ABIE,,,,,CI_ Trade_ Contact. Details,,,,,,,,,,受注者連絡先クラス,,連絡先に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
77,ヘッダ部,UN01005719,BBIE,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,,,,,受注部門ID,受注部門ID,受注者の受注部門を表すID。,0..1,,,v1,"D24A TDED 3413 Contact identifier <To identify a contact, such as a department or employee.> (an..17) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3413.htm",     ,  ,  ,,＊,＊,＊,,,,,,
78,ヘッダ部,UN01005720,BBIE,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,,,受注者担当名,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,0..1,,,v1,"D24A TDED 3412 Contact name < Name of a contact, such as a department or employee.> (an..256) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3412.htm",,  ,  ,,＊,＊,＊,＊,,（★）,IBT-041,>> Seller contact point,0..1
79,ヘッダ部,UN01005721,BBIE,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,,,受注者部門名,受注者部門名,受注者の受注部門の名称。,0..1,,,v1,"D24A TDED 3412 Contact name < Name of a contact, such as a department or employee.> (an..256) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3412.htm",,  ,  ,,＊,＊,＊,＊,,（★）,IBT-041,>> Seller contact point,0..1
80,ヘッダ部,UN01005725,BBIE,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,,,,,受注者担当ID,受注者担当ID,受注者個人を表すID,0..1,,,v4,"D24A TDED 3413 Contact identifier <To identify a contact, such as a department or employee.> (an..17) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3413.htm",     ,  ,  ,,＊,＊,＊,,,,,,
,,UN01005726,ASBIE,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,,,連絡先電話情報グループ,,連絡先の電話に関するグループ。,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005857,ABIE,,,,,,CI_ Universal_ Communication. Details,,,,,,,,,電話通信クラス,,通信（電話）に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
83,ヘッダ部,UN01005860,BBIE,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,,,,受注者電話番号,受注者電話番号,受注者の電話番号。,0..1,,,v1,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,     ,  ,  ,,＊,＊,＊,＊,,★,IBT-042,>> Seller contact telephone number,0..1
,,UN01005729,ASBIE,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,,,,,連絡先FAX情報グループ,,連絡先のFAXに関するグループ。,0..1,,,v1,,,,,,,,,,,,,,
,,UN01005857,ABIE,,,,,,CI_ Universal_ Communication. Details,,,,,,,,,FAX通信クラス,,通信（FAX）に関する情報からなるクラス。,,,,v1,,,,,,,,,,,,,,
86,ヘッダ部,UN01005860,BBIE,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,,,,受注者FAX番号,受注者FAX番号,受注者のFAX番号,0..1,,,v1,D24A TDED 3148 Communication address identifier <To identify a communication address.> (an..512) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3148.htm,     ,  ,  ,,＊,＊,＊,＊,,,,,
