version,sme_nr,UNID,acronym,type,level,label_local,multiplicity,multiplicity_SME,mbie_nr,class_term,sequence,identifier,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1,13,UN01005483,ASBIE,C,2,取引設定内容/取引シナリオグループ,0..n,0..1,3454,CI_ Exchanged Document_ Context,3,,Scenario_ Specified,,CI_ Document Context_ Parameter,取引設定内容の取引シナリオに関する情報,,,CI_ Exchanged Document_ Context. Scenario_ Specified. CI_ Document Context_ Parameter,A scenario CI document context parameter specified for this CI exchanged document context.,Scenario,ExchangedDocumentContextScenarioDocumentContextParameter,ScenarioSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter
v1,15,UN01005472,BBIE,A,3,取引シナリオID,0..1,0..1,3424,CI_ Document Context_ Parameter,1,,Identification,Identifier,,取引シナリオの識別番号,,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedScenarioDocumentContextParameterID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/ID
v1,16,UN01005473,BBIE,A,3,取引シナリオ名,0..1,0..1,3425,CI_ Document Context_ Parameter,2,,Value,Text,,取引シナリオの名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedScenarioDocumentContextParameterValueText,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/Value
v1,17,UN01005484,ASBIE,C,2,取引設定内容/アプリケーショングループ,0..n,0..1,3455,CI_ Exchanged Document_ Context,4,,Application_ Specified,,CI_ Document Context_ Parameter,取引設定内容のアプリケーションに関する情報,,,CI_ Exchanged Document_ Context. Application_ Specified. CI_ Document Context_ Parameter,An application CI document context parameter specified for this CI exchanged document context.,Application,ExchangedDocumentContextApplicationDocumentContextParameter,ApplicationSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter
v1,19,UN01005472,BBIE,A,3,アプリケーションID,0..1,0..1,3424,CI_ Document Context_ Parameter,1,,Identification,Identifier,,"業務アプリケーションが実装する業界・業種識別番号
標準仕様書３．１．２項、および１１．３節を参照",,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedApplicationDocumentContextParameterID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/ID
v1,20,UN01005473,BBIE,A,3,アプリケーション名,0..1,0..1,3425,CI_ Document Context_ Parameter,2,,Value,Text,,業務アプリケーションが実装する業界・業種名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedApplicationDocumentContextParameterValueText,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/Value
v1,21,UN01005486,ASBIE,C,2,取引設定内容/ドメイングループ,0..n,1..1,3457,CI_ Exchanged Document_ Context,6,,Subset_ Specified,,CI_ Document Context_ Parameter,取引設定内容のドメインの情報に関する情報,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.,Subset,ExchangedDocumentContextSubsetDocumentContextParameter,SubsetSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter
v1,23,UN01005472,BBIE,A,3,ドメインID,0..1,0..1,3424,CI_ Document Context_ Parameter,1,,Identification,Identifier,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedSubsetDocumentContextParameterID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/ID
v1,24,UN01005473,BBIE,A,3,ドメイン名,0..1,0..1,3425,CI_ Document Context_ Parameter,2,,Value,Text,,SIPSが付与したメッセージドメイン名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedSubsetDocumentContextParameterValueText,Value,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/Value
v1,25,UN01005474,ASBIE,C,3,ドメイン/バージョングループ,0..1,0..1,3426,CI_ Document Context_ Parameter,1,,Specified,,CI_ Document_ Version,ドメインのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedSubsetDocumentContextParameterDocumentVersion,SpecifiedCIDocumentVersion,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,27,UN01005476,BBIE,A,4,バージョンID,0..1,0..1,3445,CI_ Document_ Version,1,,Identification,Identifier,,ドメインのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,SubsetContextParameterDocumentVersionID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,28,UN01005478,BBIE,A,4,バージョン発行日,0..1,0..1,3447,CI_ Document_ Version,3,,Issue,Date Time,,ドメインのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,SubsetContextParameterDocumentVersionIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
v1,29,UN01005861,ASMA,C,1,インボイス文書クラス,,,2179,CIIH_ Exchanged_ Document,0,,,,,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMEConsolidatedSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1/v3,30,UN01005862,BBIE,A,2,インボイス文書ID,1..1,1..1,2180,CIIH_ Exchanged_ Document,1,PK,Identification,Identifier,,インボイス文書を識別する文書ID,,,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ExchangedDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ID
v1,31,UN01005863,BBIE,A,2,インボイス文書名,0..n,0..1,2181,CIIH_ Exchanged_ Document,2,,Name,Text,,インボイス文書の文書名称,,,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,ExchangedDocumentName,Name,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/Name
v1,32,UN01005864,BBIE,A,2,インボイス文書タイプコード,0..1,0..1,2182,CIIH_ Exchanged_ Document,3,,Type,Code,,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",UNCL1001,,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,ExchangedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/TypeCode
v1/v3,33,UN01005865,BBIE,A,2,インボイス文書発効日,1..1,1..1,2183,CIIH_ Exchanged_ Document,4,,Issue,Date Time,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,日時様式 ISO8601,,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,ExchangedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IssueDateTime
v4.3,34,UN01005868,BBIE,A,2,インボイス文書言語ID,0..n,0..1,2186,CIIH_ Exchanged_ Document,7,,Language,Identifier,,インボイス文書が使用する言語のID,"言語コード
ISO639",,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,ExchangedDocumentLanguageID,LanguageID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/LanguageID
v2,35,UN01005869,BBIE,A,2,インボイス文書目的コード,0..1,0..1,2187,CIIH_ Exchanged_ Document,8,,Purpose,Code,,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UNCL1225,,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,ExchangedDocumentPurposeCode,PurposeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PurposeCode
v4,36,UN01005874,BBIE,A,2,インボイス文書履歴ID,0..1,0..1,2192,CIIH_ Exchanged_ Document,13,,Previous Revision_ Identification,Identifier,,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,ExchangedDocumentPreviousRevisionID,PreviousRevisionID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PreviousRevisionID
v4,37,UN01005875,BBIE,A,2,インボイス文書類型コード,0..1,0..1,2193,CIIH_ Exchanged_ Document,14,,Category,Code,,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",JECxxxx,,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,ExchangedDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/CategoryCode
v4,38,UN01014636,BBIE,A,2,インボイス文書サブタイプコード,0..1,0..1,2196,CIIH_ Exchanged_ Document,17,,Subtype,Code,,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",JECxxxx,,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,ExchangedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/SubtypeCode
v1,39,UN01005876,ASBIE,C,2,インボイス文書／注釈グループ,0..n,0..n,2198,CIIH_ Exchanged_ Document,1,,Included,,CI_ Note,インボイス文書に含まれる注釈。,,,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,ExchangedDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote
v1,41,UN01005558,BBIE,A,3,インボイス文書注釈表題,0..1,0..1,3579,CI_ Note,1,,Subject,Text,,注釈内容の表題を示す。,,,CI_ Note. Subject. Text,"The subject, expressed as text, of this CI note.",Subject Text,ExchangedDocumentNoteSubjectText,Subject,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/Subject
v1,42,UN01005560,BBIE,A,3,インボイス文書注釈内容,0..n,0..1,3581,CI_ Note,3,,Content,Text,,注釈項目毎の内容情報を入力するフリースペース。,,,CI_ Note. Content. Text,"Content, expressed as text, of this CI note.",Content Text,ExchangedDocumentNoteContentText,Content,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/Content
v1,43,UN01005562,BBIE,A,3,インボイス文書注釈ID,0..1,0..1,3583,CI_ Note,5,,Identification,Identifier,,注釈の識別ID,,,CI_ Note. Identification. Identifier,The unique identifier for this CI note.,ID,ExchangedDocumentNoteID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote/ID
v4,44,UN01012702,ASBIE,C,2,インボイス文書／参照文書グループ,0..n,0..n,2201,CIIH_ Exchanged_ Document,4,,Reference,,CI_ Referenced_ Document,インボイス文書が参照する文書のグループ,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ExchangedDocumentReferenceDocument,ReferenceCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument
v4,46,UN01005580,BBIE,A,3,（鑑ヘッダ参照）文書ID,0..1,1..1,3615,CI_ Referenced_ Document,1,PK,Issuer Assigned_ Identification,Identifier,,インボイス文書が参照する参照文書のID,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,The issuer assigned identifier for this CI referenced document.,Issuer Assigned ID,ExchangedReferenceDocumentIssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssuerAssignedID
v4.2,47,UN01005581,BBIE,A,3,（鑑ヘッダ参照）文書URL_ID,0..1,0..1,3616,CI_ Referenced_ Document,2,,URI_ Identification,Identifier,,インボイス文書が参照する文書が所在するURL_ID,,,CI_ Referenced_ Document. URI_ Identification. Identifier,The unique Uniform Resource Identifier (URI) for this CI referenced document.,URI,ExchangedReferenceDocumentURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/URIID
v4,48,UN01005582,BBIE,A,3,（鑑ヘッダ参照）文書発行日,0..1,0..1,3617,CI_ Referenced_ Document,3,,Issue,Date Time,,インボイス文書が参照する参照文書の発行日,,,CI_ Referenced_ Document. Issue. Date Time,The date or date time for the issuance of this CI referenced document.,Issue Date Time,ExchangedReferenceDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssueDateTime
v4.1,49,UN01005586,BBIE,A,3,（鑑ヘッダ参照）文書参照タイプコード,0..1,0..1,3621,CI_ Referenced_ Document,7,,Reference_ Type,Code,,この調整で参照するインボイス文書の参照タイプを指定するコード,UNCL1153,,CI_ Referenced_ Document. Reference_ Type. Code,The code specifying the reference type of this CI referenced document.,Reference Type Code,ExchangedReferencedDocumentReferenceTypeCode,ReferenceTypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/ReferenceTypeCode
v4,50,UN01005588,BBIE,A,3,（鑑ヘッダ参照）文書履歴ID,0..1,0..1,3623,CI_ Referenced_ Document,9,,Revision_ Identification,Identifier,,インボイス文書が参照する文書の変更履歴を管理するID。,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,The unique identifier for a revision of this CI referenced document.,Revision ID,ExchangedReferenceDocumentRevisionID,RevisionID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/RevisionID
v4.2,51,UN01006415,BBIE,A,3,（鑑ヘッダ参照）文書情報,0..n,0..1,3625,CI_ Referenced_ Document,11,,Information,Text,,インボイス文書が参照する参照文書に記載の情報,,,CI_ Referenced_ Document. Information. Text,"Information, expressed as text, for this CI referenced document.",Information,ExchangedReferenceDocumentInformationText,Information,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/Information
v4,52,UN01009672,BBIE,A,3,（鑑ヘッダ参照）文書タイプコード,0..1,0..1,3628,CI_ Referenced_ Document,14,,Type,Code,,インボイス文書が参照する参照文書の文書タイプを識別するコード,UNCL1001,,CI_ Referenced_ Document. Type. Code,The code specifying the type of CI referenced document.,Type Code,ExchangedReferenceDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/TypeCode
v4,53,UN01011455,BBIE,A,3,（鑑ヘッダ参照）文書添付ファイル,0..n,0..1,3629,CI_ Referenced_ Document,15,,Attachment,Binary Object,,"この参照文書に紐付く添付バイナリファイルの有無を指定
ありの場合は紐付ける「添付バイナリファイルID（UN01006015）」をBASE64で入力",JECxxxx,,CI_ Referenced_ Document. Attachment. Binary Object,A binary object that is attached or otherwise appended to this CI referenced document.,Attached Binary Object,ExchangedReferenceDocumentAttachmentBinaryObject,AttachmentBinaryObject,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/AttachmentBinaryObject
v4,54,UN01014899,BBIE,A,3,（鑑ヘッダ参照）文書サブタイプコード,0..n,0..1,3636,CI_ Referenced_ Document,22,,Subtype,Code,,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,JECxxxx,,CI_ Referenced_ Document. Subtype. Code,A code specifying a subtype of this CI referenced document.,Subtype Code,ExchangedReferenceDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/SubtypeCode
v4.0.1,55,UN01015490,ASBIE,C,2,付加文書／添付ファイルグループ,0..n,0..n,2202,CIIH_ Exchanged_ Document,5,,Attached,,Specified_ Binary File,参照文書の添付バイナリファイルに関するグループ,,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,A binary file attached to this CIIH exchanged document.,Attached Binary File,ExchangedDocumentAttachedBinaryFile,AttachedSpecifiedBinaryFile,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile
v4,57,UN01006015,BBIE,A,3,添付バイナリファイルID,0..n,1..1,7145,Specified_ Binary File,1,PK,Identification,Identifier,,添付バイナリファイルのID,,,Specified_ Binary File. Identification. Identifier,A unique identifier for this specified binary file.,ID,ExchangedDocumentAttachedBinaryFileID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/ID
v4,58,UN01006019,BBIE,A,3,添付バイナリファイル名,0..1,0..1,7149,Specified_ Binary File,5,,File Name,Text,,添付バイナリファイルの名称,,,Specified_ Binary File. File Name. Text,"The file name, expressed as text, of this specified binary file.",Name,ExchangedDocumentAttachedBinaryFileFileName,FileName,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/FileName
v4,59,UN01006020,BBIE,A,3,添付バイナリファイルURI ID,0..1,0..1,7150,Specified_ Binary File,6,,URI,Identifier,,添付バイナリファイルの保管URIID,,,Specified_ Binary File. URI. Identifier,The unique Uniform Resource Identifier (URI) for this specified binary file.,URI,ExchangedDocumentAttachedBinaryFileURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/URIID
v4,60,UN01006021,BBIE,A,3,添付バイナリファイルのMIMEコード,0..1,1..1,7151,Specified_ Binary File,7,,MIME,Code,,添付バイナリファイルのMIMEコード,RFC1341,,Specified_ Binary File. MIME. Code,The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.,MIME Code,ExchangedDocumentAttachedBinaryFileMIMECode,MIMECode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/MIMECode
v4,61,UN01006026,BBIE,A,3,添付バイナリファイルの説明文,0..n,0..1,7156,Specified_ Binary File,12,,Description,Text,,添付バイナリファイルの説明文,,,Specified_ Binary File. Description. Text,A textual description of this specified binary file.,Description,ExchangedDocumentAttachedBinaryFileDescriptionText,Description,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/Description
v1,62,UN01005936,ASMA,C,1,インボイス文書取引内容クラス,,,2288,CIIH_ Supply Chain_ Trade Transaction,0,,,,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,SMEConsolidatedSelfInvoiceTransactionDetails,CIIHSupplyChainTradeTransaction,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction
v1,63,UN01005937,ASBIE,C,2,インボイス文書取引内容／契約グループ,1..1,1..1,2289,CIIH_ Supply Chain_ Trade Transaction,1,,Applicable,,CIIH_ Supply Chain_ Trade Agreement,インボイス文書取引に適用される契約に関するグループ。,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,Transaction,ApplicableCIIHSupplyChainTradeAgreement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement
v1,65,UN01005879,ASBIE,C,3,インボイス文書契約／受注者グループ,0..1,1..1,2205,CIIH_ Supply Chain_ Trade Agreement,1,,Seller,,CI_ Trade_ Party,受注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,TransactionSeller,SellerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty
v1,67,UN01005757,BBIE,A,4,受注者ID,0..n,0..1,3910,CI_ Trade_ Party,1,,Identification,Identifier,,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,SellerID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/ID
v1,68,UN01005758,BBIE,A,4,受注者国際企業ID,0..n,0..1,3911,CI_ Trade_ Party,2,,Global_ Identification,Identifier,,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。,,,CI_ Trade_ Party. Global_ Identification. Identifier,A globally unique identifier of this CI trade party.,Global ID,SellerGlobalID,GlobalID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/GlobalID
v1,69,UN01005759,BBIE,A,4,受注者名称,0..1,0..1,3912,CI_ Trade_ Party,3,,Name,Text,,注文を受ける企業/工場・事業所・事業部門等を表す名称。,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,SellerName,Name,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/Name
v4,70,UN01013039,BBIE,A,4,受注者適格請求書発行事業者登録番号,0..1,0..1,3915,CI_ Trade_ Party,6,,Registered_ Identification,Identifier,,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123","ISO6523
　＝0221",,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,SellerRegisteredID,RegisteredID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty/RegisteredID
