sequence,level,property_type,identifier,class_term,property_term,representation_term,associated_class,multiplicity,definition,acronym,DEN,version
74,2,Attribute,,Creditor_ Financial Institution,Swiss BC_ Identification,Identifier,,0..1,The unique Swiss Bank Code (BC) identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Swiss BC_ Identification. Identifier,January 2017
75,2,Attribute,,Creditor_ Financial Institution,Fedwire Routing Number_ Identification,Identifier,,0..1,The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Fedwire Routing Number_ Identification. Identifier,January 2017
76,2,Attribute,,Creditor_ Financial Institution,Portuguese NCC_ Identification,Identifier,,0..1,The unique Portuguese National Clearing Code (NCC) identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Portuguese NCC_ Identification. Identifier,January 2017
77,2,Attribute,,Creditor_ Financial Institution,Russian Central Bank_ Identification,Identifier,,0..1,The unique Russian Central Bank Identification Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Russian Central Bank_ Identification. Identifier,January 2017
78,2,Attribute,,Creditor_ Financial Institution,Italian Domestic_ Identification,Identifier,,0..1,The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Italian Domestic_ Identification. Identifier,January 2017
79,2,Attribute,,Creditor_ Financial Institution,Austrian Bankleitzahl_ Identification,Identifier,,0..1,The unique Austrian Bankleitzahl identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Austrian Bankleitzahl_ Identification. Identifier,January 2017
80,2,Attribute,,Creditor_ Financial Institution,Canadian Payments Association_ Identification,Identifier,,0..1,The unique Canadian Payments Association Routing Number identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Canadian Payments Association_ Identification. Identifier,January 2017
81,2,Attribute,,Creditor_ Financial Institution,SIC_ Identification,Identifier,,0..1,The unique Swiss Interbank Clearing (SIC) Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. SIC_ Identification. Identifier,January 2017
82,2,Attribute,,Creditor_ Financial Institution,German Bankleitzahl_ Identification,Identifier,,0..1,The unique German Bankleitzahl identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. German Bankleitzahl_ Identification. Identifier,January 2017
83,2,Attribute,,Creditor_ Financial Institution,Spanish Domestic Interbanking_ Identification,Identifier,,0..1,The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Spanish Domestic Interbanking_ Identification. Identifier,January 2017
84,2,Attribute,,Creditor_ Financial Institution,South African NCC_ Identification,Identifier,,0..1,The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. South African NCC_ Identification. Identifier,January 2017
85,2,Attribute,,Creditor_ Financial Institution,Hong Kong Bank_ Identification,Identifier,,0..1,The unique Hong Kong Bank Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Hong Kong Bank_ Identification. Identifier,January 2017
86,2,Attribute,,Creditor_ Financial Institution,Australian BSB_ Identification,Identifier,,0..1,The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA) for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Australian BSB_ Identification. Identifier,January 2017
87,2,Attribute,,Creditor_ Financial Institution,Indian Financial System_ Identification,Identifier,,0..1,The unique Indian Financial System Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Indian Financial System_ Identification. Identifier,January 2017
88,2,Attribute,,Creditor_ Financial Institution,Hellenic Bank_ Identification,Identifier,,0..1,The unique Hellenic Bank Identification Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Hellenic Bank_ Identification. Identifier,January 2017
89,2,Attribute,,Creditor_ Financial Institution,Polish National Clearing_ Identification,Identifier,,0..1,The unique Polish National Clearing Code identifier for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Polish National Clearing_ Identification. Identifier,January 2017
90,2,Attribute,,Creditor_ Financial Institution,Name,Text,,0..1,"The name, expressed as text, for this creditor financial institution.",BBIE,Creditor_ Financial Institution. Name. Text,January 2017
91,2,Attribute,,Creditor_ Financial Institution,Clearing System Name,Text,,0..1,"The clearing system name, expressed as text, for this creditor financial institution.",BBIE,Creditor_ Financial Institution. Clearing System Name. Text,January 2017
92,2,Attribute,,Creditor_ Financial Institution,Japan Financial Institution Common_ Identification,Identifier,,0..1,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this creditor financial institution.,BBIE,Creditor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,January 2017
93,2,Composition,,Creditor_ Financial Institution,Location,,Financial Institution_ Address,0..1,The location address for this creditor financial institution.,ASBIE,Creditor_ Financial Institution. Location. Financial Institution_ Address,January 2017
94,2,Composition,,Creditor_ Financial Institution,Sub-Division,,Branch_ Financial Institution,0..1,The branch financial institution for this creditor financial institution.,ASBIE,Creditor_ Financial Institution. Sub-Division. Branch_ Financial Institution,January 2017
95,1,Class,,Debtor_ Financial Account,,,,,A specific business arrangement whereby debits arising from transactions are recorded.,ABIE,Debtor_ Financial Account. Details,January 2017
96,2,Attribute,,Debtor_ Financial Account,IBAN_ Identification,Identifier,,0..1,The unique International Bank Account Number (IBAN) identifier for this debtor financial account.,BBIE,Debtor_ Financial Account. IBAN_ Identification. Identifier,January 2017
97,2,Attribute,,Debtor_ Financial Account,Account Name,Text,,0..1,"The account name, expressed as text, of this debtor financial account.",BBIE,Debtor_ Financial Account. Account Name. Text,January 2017
98,2,Attribute,,Debtor_ Financial Account,Proprietary_ Identification,Identifier,,0..1,The unique proprietary identifier for this debtor financial account.,BBIE,Debtor_ Financial Account. Proprietary_ Identification. Identifier,January 2017
99,1,Class,,Debtor_ Financial Institution,,,,,"A bank, building society, credit union, stock brokerage, or similar business of the party that owes money.",ABIE,Debtor_ Financial Institution. Details,January 2017
100,2,Attribute,,Debtor_ Financial Institution,BIC,Identifier,,0..1,The unique Bank Identification Code (BIC) as defined in ISO 9362 for this debtor financial institution.,BBIE,Debtor_ Financial Institution. BIC. Identifier,January 2017
101,2,Attribute,,Debtor_ Financial Institution,Clearing System Name,Text,,0..1,"The clearing system name, expressed as text, for this debtor financial institution.",BBIE,Debtor_ Financial Institution. Clearing System Name. Text,January 2017
102,2,Attribute,,Debtor_ Financial Institution,CHIPS Universal_ Identification,Identifier,,0..1,The unique (United States) Clearing House Interbank Payments System (CHIPS) Universal Identification (UID) as assigned by the New York Clearing House for this debtor financial institution.,BBIE,Debtor_ Financial Institution. CHIPS Universal_ Identification. Identifier,January 2017
103,2,Attribute,,Debtor_ Financial Institution,New Zealand NCC_ Identification,Identifier,,0..1,The unique New Zealand National Clearing Code (NCC) identifier as assigned by the New Zealand Bankers' Association (NZBA) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. New Zealand NCC_ Identification. Identifier,January 2017
104,2,Attribute,,Debtor_ Financial Institution,Irish NSC_ Identification,Identifier,,0..1,The unique Irish National Sorting Code (NSC) identifier as assigned by the Irish Payments Services Organisation (IPSO) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Irish NSC_ Identification. Identifier,January 2017
105,2,Attribute,,Debtor_ Financial Institution,UK Sort Code_ Identification,Identifier,,0..1,The unique United Kingdom (UK) Sort Code identifier as assigned by the UK Payment Association (APACS) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. UK Sort Code_ Identification. Identifier,January 2017
106,2,Attribute,,Debtor_ Financial Institution,CHIPS Participant_ Identification,Identifier,,0..1,The unique (United States) Clearing House Interbank Payment System (CHIPS) Participant Identifier (ID) as assigned by the New York Clearing House for this debtor financial institution.,BBIE,Debtor_ Financial Institution. CHIPS Participant_ Identification. Identifier,January 2017
107,2,Attribute,,Debtor_ Financial Institution,Swiss BC_ Identification,Identifier,,0..1,The unique Swiss Bank Code (BC) identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Swiss BC_ Identification. Identifier,January 2017
108,2,Attribute,,Debtor_ Financial Institution,Fedwire Routing Number_ Identification,Identifier,,0..1,The unique Fedwire Routing Number identifier as assigned by the American Bankers Association (ABA) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Fedwire Routing Number_ Identification. Identifier,January 2017
109,2,Attribute,,Debtor_ Financial Institution,Portuguese NCC_ Identification,Identifier,,0..1,The unique Portuguese National Clearing Code (NCC) identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Portuguese NCC_ Identification. Identifier,January 2017
110,2,Attribute,,Debtor_ Financial Institution,Russian Central Bank_ Identification,Identifier,,0..1,The unique Russian Central Bank Identification Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Russian Central Bank_ Identification. Identifier,January 2017
111,2,Attribute,,Debtor_ Financial Institution,Italian Domestic_ Identification,Identifier,,0..1,The unique Italian Domestic Identification Code identifier as assigned by the Associazione Bancaria Italiana (ABI) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Italian Domestic_ Identification. Identifier,January 2017
112,2,Attribute,,Debtor_ Financial Institution,Austrian Bankleitzahl_ Identification,Identifier,,0..1,The unique Austrian Bankleitzahl identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Austrian Bankleitzahl_ Identification. Identifier,January 2017
113,2,Attribute,,Debtor_ Financial Institution,Canadian Payments Association_ Identification,Identifier,,0..1,The unique Canadian Payments Association Routing Number identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Canadian Payments Association_ Identification. Identifier,January 2017
114,2,Attribute,,Debtor_ Financial Institution,SIC_ Identification,Identifier,,0..1,The unique Swiss Interbank Clearing (SIC) Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. SIC_ Identification. Identifier,January 2017
115,2,Attribute,,Debtor_ Financial Institution,German Bankleitzahl_ Identification,Identifier,,0..1,The unique German Bankleitzahl identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. German Bankleitzahl_ Identification. Identifier,January 2017
116,2,Attribute,,Debtor_ Financial Institution,Spanish Domestic Interbanking_ Identification,Identifier,,0..1,The unique Spanish Domestic Interbanking Code identifier as assigned by the Centro de Cooperacion Interbancaria (CCI) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Spanish Domestic Interbanking_ Identification. Identifier,January 2017
117,2,Attribute,,Debtor_ Financial Institution,South African NCC_ Identification,Identifier,,0..1,The unique South African National Clearing Code (NCC) identifier as assigned by the South African Bankers Services Company Ltd. (BankServ) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. South African NCC_ Identification. Identifier,January 2017
118,2,Attribute,,Debtor_ Financial Institution,Hong Kong Bank_ Identification,Identifier,,0..1,The unique Hong Kong Bank Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Hong Kong Bank_ Identification. Identifier,January 2017
119,2,Attribute,,Debtor_ Financial Institution,Australian BSB_ Identification,Identifier,,0..1,The unique Australian Bank State Branch (BSB) Code identifier as assigned by the Australian Payments Clearing Association (APCA) for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Australian BSB_ Identification. Identifier,January 2017
120,2,Attribute,,Debtor_ Financial Institution,Indian Financial System_ Identification,Identifier,,0..1,The unique Indian Financial System Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Indian Financial System_ Identification. Identifier,January 2017
121,2,Attribute,,Debtor_ Financial Institution,Hellenic Bank_ Identification,Identifier,,0..1,The unique Hellenic Bank Identification Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Hellenic Bank_ Identification. Identifier,January 2017
122,2,Attribute,,Debtor_ Financial Institution,Polish National Clearing_ Identification,Identifier,,0..1,The unique Polish National Clearing Code identifier for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Polish National Clearing_ Identification. Identifier,January 2017
123,2,Attribute,,Debtor_ Financial Institution,Name,Text,,0..1,"The name, expressed as text, for this debtor financial institution.",BBIE,Debtor_ Financial Institution. Name. Text,January 2017
124,2,Attribute,,Debtor_ Financial Institution,Japan Financial Institution Common_ Identification,Identifier,,0..1,The Japan Financial Institution Common identifier as assigned by the Japanese Bankers Association for this debtor financial institution.,BBIE,Debtor_ Financial Institution. Japan Financial Institution Common_ Identification. Identifier,January 2017
125,2,Composition,,Debtor_ Financial Institution,Location,,Financial Institution_ Address,0..1,The location address for this debtor financial institution.,ASBIE,Debtor_ Financial Institution. Location. Financial Institution_ Address,January 2017
126,2,Composition,,Debtor_ Financial Institution,Sub-Division,,Branch_ Financial Institution,0..1,The branch financial institution for this debtor financial institution.,ASBIE,Debtor_ Financial Institution. Sub-Division. Branch_ Financial Institution,January 2017
127,1,Class,,Delivery_ Adjustment,,,,,A correction or modification to reflect actual delivery conditions.,ABIE,Delivery_ Adjustment. Details,January 2017
128,2,Attribute,,Delivery_ Adjustment,Reason,Code,,0..1,The code specifying a reason for this delivery adjustment.,BBIE,Delivery_ Adjustment. Reason. Code,January 2017
129,2,Attribute,,Delivery_ Adjustment,Reason,Text,,0..n,"A reason, expressed as text, for this delivery adjustment.",BBIE,Delivery_ Adjustment. Reason. Text,January 2017
130,2,Attribute,,Delivery_ Adjustment,Actual,Amount,,0..n,An actual monetary value added or subtracted as a result of this delivery adjustment.,BBIE,Delivery_ Adjustment. Actual. Amount,January 2017
131,2,Attribute,,Delivery_ Adjustment,Actual,Quantity,,0..1,The actual quantity added or subtracted as a result of this delivery adjustment.,BBIE,Delivery_ Adjustment. Actual. Quantity,January 2017
132,2,Attribute,,Delivery_ Adjustment,Actual,Date Time,,0..1,"The actual date, time, date time, or other date time value of this delivery adjustment.",BBIE,Delivery_ Adjustment. Actual. Date Time,January 2017
133,1,Class,,Disposal_ Instructions,,,,,A set of instructions detailing how to properly dispose of a material.,ABIE,Disposal_ Instructions. Details,January 2017
134,2,Attribute,,Disposal_ Instructions,Material,Identifier,,0..1,The identifier of the material to which these disposal instructions apply.,BBIE,Disposal_ Instructions. Material. Identifier,January 2017
135,2,Attribute,,Disposal_ Instructions,Recycling_ Description,Code,,0..n,A code describing recycling in these disposal instructions.,BBIE,Disposal_ Instructions. Recycling_ Description. Code,January 2017
136,2,Attribute,,Disposal_ Instructions,Description,Text,,0..n,A textual description of these disposal instructions.,BBIE,Disposal_ Instructions. Description. Text,January 2017
137,2,Attribute,,Disposal_ Instructions,Recycling_ Procedure,Text,,0..n,"A recycling procedure, expressed as text, for these disposal instructions.",BBIE,Disposal_ Instructions. Recycling_ Procedure. Text,January 2017
138,1,Class,,Document Context_ Parameter,,,,,A feature that is fixed for a particular document context.,ABIE,Document Context_ Parameter. Details,January 2017
139,2,Attribute,,Document Context_ Parameter,Identification,Identifier,,0..1,The unique identifier of this document context parameter.,BBIE,Document Context_ Parameter. Identification. Identifier,January 2017
