UNID,short_name,short_name_ja,definition,definition_ja
UN01005907,Delivery Note Document,納品書,The Cross Industry (CI) delivery note document referenced from this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品から参照されるインボイス納品書文書。
UN01005908,Additional Document,追加文書,An additional Cross Industry (CI) document referenced from this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品から参照される追加の文書。
UN01008615,Consumption Report Document,消費報告書,The consumption report document referenced from this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品から参照される消費レポート文書。
UN01009053,Previous Delivery Event,前回の配送イベント,A previous delivery event for this CIIH supply chain trade delivery.,CIIHサプライチェーン取引納品に関連する過去の納品イベント。
UN01005909,CIIH Trade Settlement,CIIH取引決済,The information that enables the financial reconciliation of the Cross Industry Invoice Header (CIIH) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,サプライチェーン取引におけるCIIHと、当該金融取引で決済対象となる項目との財務照合を可能にする情報。
UN01005910,Deprecated Due Payable Amount,減価償却支払額,"A monetary value that is an exact amount due and payable for this CIIH supply chain trade settlement, such as the amount due to the creditor.",CIIHサプライチェーン取引決済において正確に支払うべき金額（例：債権者への支払額）を示す金額。
UN01005911,Creditor Reference ID,債権者参照ID,"The unique identifier of the creditor reference for this CIIH supply chain trade settlement, such as a specific identifier assigned by the creditor to reference the financial transaction.",CIIHサプライチェーン取引決済における債権者参照の固有識別子。例えば、金融取引を参照するために債権者が割り当てた特定の識別子。
UN01005912,Payment Reference Text,支払い参照テキスト,"A payment reference, expressed as text, for this CIIH supply chain trade settlement.",CIIHサプライチェーン取引決済における支払参照情報（テキスト形式）。
UN01005913,Tax Currency Code,税通貨コード,The code specifying the tax currency for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における税通貨を指定するコード。
UN01005914,Invoice Currency Code,請求書通貨コード,The code specifying the invoice currency for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における請求書通貨を指定するコード。
UN01005915,Payment Currency Code,支払い通貨コード,The code specifying the payment currency for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における支払通貨を指定するコード。
UN01006043,Creditor Reference Type Code,債権者参照タイプコード,A code specifying the creditor reference type for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における債権者参照タイプを指定するコード。
UN01006044,Creditor Reference Type Text,債権者参照タイプテキスト,"A creditor reference type, expressed as text, for this CIIH supply chain trade settlement.",CIIHサプライチェーン取引決済における債権者参照タイプをテキストで表したもの。
UN01006045,Creditor Reference Issuer ID,債権者参照発行者ID,An identifier of the creditor reference issuer for this CIIH supply change trade settlement.,CIIHサプライチェーン取引決済における債権者参照発行者の識別子。
UN01008771,Invoice Issuer Reference Text,請求書発行者参照テキスト,"The invoicer reference, expressed as text, for this CIIH supply chain trade settlement.",CIIHサプライチェーン取引決済における請求書参照（テキスト形式）。
UN01009054,Invoice Date Time,請求書発行日時,"The date, time, date time or other date time value of the invoice in this CIIH supply chain trade settlement.",CIIHサプライチェーン取引決済における請求書の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01009055,Next Invoice Date Time,次回請求書発行日時,"A date, time, date time or other date time value of the next invoice in this CIIH supply chain trade settlement.",CIIHサプライチェーン取引決済における次回の請求書の日付、時刻、日付時刻、またはその他の日付時刻値。
UN01009056,Credit Reason Code,クレジット理由コード,The code specifying the reason for a credit being given in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済において与えられるクレジットの理由を特定するコード。
UN01009057,Credit Reason Text,クレジット理由テキスト,A textual description of the reason for a credit being given in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済において与えられたクレジットの理由を説明するテキスト。
UN01005916,Invoicer,請求書発行者,The Cross Industry (CI) trade party issuing the invoice for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済の請求書を発行する取引事業者。
UN01005917,Invoicee,請求先,The Cross Industry (CI) trade party to whom an invoice is issued for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済において請求書が発行される取引事業者。
UN01005918,Payee,受取人,The Cross Industry (CI) payee party for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済におけるインボイスの支払先事業者。
UN01005919,Payer,支払者,The Cross Industry (CI) payer party for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済におけるインボイスの支払者事業者。
UN01005920,Tax Currency Exchange,税金の両替,The Cross Industry (CI) trade currency exchange applicable to a tax in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における税金に適用される取引通貨為替レート。
UN01005921,Invoice Currency Exchange,請求書通貨交換,The Cross Industry (CI) trade currency exchange applicable to the invoice in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における請求書に適用される取引通貨為替レート。
UN01005922,Payment Currency Exchange,支払い通貨両替,The Cross Industry (CI) trade currency exchange applicable to the payment of this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済の支払いに適用される取引通貨為替レート。
UN01005923,Payment Means,支払い方法,A Cross Industry (CI) trade settlement payment means specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された取引決済支払手段。
UN01005924,Tax,税,A Cross Industry (CI) trade tax applicable to this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に適用される取引税。
UN01005925,Billing Period,請求期間,The Cross Industry (CI) billing period specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定されたインボイスの請求期間。
UN01005926,Allowance/Charge,手当/料金,A Cross Industry (CI) trade allowance or charge specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された取引手当または請求額。
UN01005927,Calculated Tax Subtotal,計算された税金小計,A Cross Industry (CI) trade tax subtotal calculated for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に対して計算された取引税小計。
UN01005928,Service Charge,サービス料,A Cross Industry (CI) logistics service charge specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定されたインボイスの物流サービス料。
UN01005929,Payment Terms,支払い条件,Cross Industry (CI) trade payment terms specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された取引支払条件。
UN01005930,Monetary Summation,金銭合計,The CIIH trade settlement monetary summation specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定されたCIIHの取引決済の金銭合計。
UN01005931,Financial Adjustment,財政調整,A Cross Industry (CI) financial adjustment specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定されたインボイスの金額調整。
UN01005932,Invoice Document,請求書書類,The Cross Industry (CI) invoice document referenced from this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済から参照されるCI文書。
UN01005933,Pro-Forma Invoice Document,プロフォーマ請求書,The Cross Industry (CI) pro-forma invoice document referenced from this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済から参照されるインボイスの仮請求書文書。
UN01005934,Letter Of Credit Document,信用状文書,The Cross Industry (CI) letter of credit document referenced from this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済から参照されるインボイスの信用状書類。
UN01006072,Financial Card,金融カード,A financial card specified in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済で指定された金融カード。
UN01006074,Accounts Payable,買掛金勘定,A payable Cross Industry (CI) accounting account specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された支払用インボイスの会計勘定。
UN01006075,Accounts Receivable,売掛金,A receivable Cross Industry (CI) accounting account specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された受取側のインボイスの会計勘定。
UN01006076,Purchase Accounting Account,購入会計アカウント,A purchase Cross Industry (CI) accounting account specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された購入用インボイスの会計勘定。
UN01006077,Sales Accounting Account,売上会計アカウント,A sales Cross Industry (CI) accounting account specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された売上インボイスの会計勘定。
UN01006082,Factoring Agreement Document,ファクタリング契約書,A factoring agreement Cross Industry (CI) document referenced in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済で参照されるファクタリング契約文書。
UN01006083,Factoring List Document,ファクタリングリスト文書,A factoring list Cross Industry (CI) document referenced in this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済で参照されるファクタリングリスト文書。
UN01008772,Ultimate Payee,最終受取人,The ultimate payee party for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済の最終支払先事業者。
UN01008773,Advance Payment,前払い,An advance payment specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された前払い金。
UN01015492,Outstanding Monetary Summation,未払い金合計,The monetary summation totals outstanding for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済における未決済の金銭合計額。
UN01015598,Advance Payment,前払い,An advance payment specified for this CIIH supply chain trade settlement.,CIIHサプライチェーン取引決済に指定された前払い金。
UN01005936,CIIH Trade Transaction,CIIH取引取引,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIHに含まれる取引明細項目、取引契約、取引納品、取引決済の詳細。
UN01005937,Trade Agreement,取引協定,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン取引契約。
UN01005938,Trade Delivery,トレードデリバリー,The CIIH supply chain trade delivery applicable to this CIIH supply chain trade transaction.,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン取引納品。
UN01005939,Trade Settlement,取引決済,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,CIIHサプライチェーン取引に適用されるCIIHサプライチェーン決済。
UN01005940,Trade Line Item,取引明細項目,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.,CIIHサプライチェーン取引に含まれるCIILサプライチェーン取引明細項目。
UN01005941,CIIH Monetary Summation,CIIH 金銭合計,A collection of trade settlement monetary totals specified for this Cross Industry Invoice Header (CIIH).,CIIHに対して指定された取引決済の金銭総額の集合。
UN01005942,Deprecated Line Total Amount,廃止予定の行の合計金額,A monetary value of the line amount total being reported in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額で報告される行合計金額の金額。
UN01005943,Charge Total Amount,請求合計金額,A monetary value of the total of all charge amounts being reported on header level in this CIIH trade settlement monetary summation.,CIIHの取引決済金銭合計においてヘッダレベルで報告される全請求金額の合計金額。
UN01005944,Allowance Total Amount,手当合計額,A monetary value of the total of all allowance amounts being reported on header level in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額においてヘッダレベルで報告される全割引金額の合計金額。
UN01005945,Tax Basis Total Amount,課税標準合計額,A monetary value of the total of all tax basis amounts being reported in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額で報告される全ての税ベース金額の合計金額。
UN01005946,Tax Total Amount,税金合計額,A monetary value of the total of all tax amounts being reported in this CIIH trade settlement monetary summation.,CIIHの取引決済金銭合計で報告されるすべての税額の合計金額。
UN01005947,Rounding Amount,端数処理金額,A monetary value of a rounding amount being applied in this CIIH trade settlement monetary summation.,CIIHの取引決済金銭合計に適用される丸め額の金額。
UN01005948,Grand Total Amount,合計金額,"A monetary value of the grand total of this CIIH trade settlement monetary summation, including taxes and allowances and charges.",税金、割当量、および課徴金を含む、CIIHの取引決済金銭合計の総計の金額。
UN01005949,Information Amount,情報量,A monetary value of an amount being reported for information in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において情報として報告される金額の金額。
UN01005950,Total Prepaid Amount,前払い合計金額,A monetary value of a prepaid total reported in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において報告される前払金総額の金額。
UN01005951,Total Discount Amount,合計割引額,A monetary value of a total discount reported in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額で報告されている割引総額の金額。
UN01005952,Total Allowance/Charge Amount,合計控除額/請求額,A monetary value of the total of allowance and charge amounts reported on header level in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額においてヘッダレベルで報告される手当金と手数料の合計金額の金額。
UN01008445,Due Payable Amount,支払金額,"A monetary value that is an amount due and payable for this CIIH trade settlement monetary summation, such as the amount due to the creditor.",CIIHの取引決済合計金額において支払期日が到来し支払義務のある金額（債権者への支払額など）。
UN01008446,Retail Value Excluding Tax Amount,税抜小売価格,A monetary value which constitutes the retail value excluding all duties and taxes stated for information purposes in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において情報提供目的で記載される、全ての関税及び税金を除く小売価格を構成する金額。
UN01008447,Total Deposit Fee Amount,合計預入金額,A monetary value of the total deposit fee stated for information purposes in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において情報提供目的で記載された預託金総額の金額。
UN01008448,Product Value Excluding Tobacco Tax Amount,たばこ税額を除いた商品価格,A monetary value which constitutes the total product value excluding tobacco tax stated for information purposes in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において情報提供目的で記載された、たばこ税を除く製品総額を構成する金額。
UN01008449,Total Retail Value Amount,合計小売価格,A monetary value which constitutes the total retail value stated for information purposes in this CIIH trade settlement monetary summation.,CIIHの取引決済金銭総計において情報提供目的で記載される小売総額を構成する金額。
UN01008450,Gross Line Total Amount,グロス明細行合計金額,"A monetary value of the total of all line amounts, excluding line level allowances and charges and taxes, being reported in this CIIH trade settlement monetary summation.",CIIHの取引決済合計金額において報告される、全行金額の合計額（行レベルの手数料・課徴金・税金を除く）の金額。
UN01008451,Net Line Total Amount,ネット明細行合計金額,"A monetary value of the total of all line amounts, including line level allowances and charges and excluding line level taxes, being reported in this CIIH trade settlement monetary summation.",CIIHの取引決済合計金額において報告される、行レベルの手数料・課徴金を含み、行レベル税金を除く全ライン金額の合計額。
UN01008452,Net Including Taxes Line Total Amount,税込み金額合計,"A monetary value of the total of all line amounts, including line level allowances and charges and including line level taxes, being reported in this CIIH trade settlement monetary summation.",CIIHの取引決済合計金額において報告される、行レベルの手数料・課徴金および行レベル税を含む全ライン金額の合計額。
UN01012697,Total Insurance Charges,保険料合計,The monetary value of the total of all insurance charges being reported in this CIIH trade settlement monetary summation.,CIIHの取引決済合計金額において報告される、全ての保険料金の合計金額。
UN01013091,Including Taxes Line Total Amount,税込み合計金額,"A monetary value of the line total, including taxes, being reported in this CIIH trade settlement monetary summation.",CIIHの取引決済合計金額で報告される、税込みのライン総額の金額。
UN01015493,Referenced Document,参照文書,A document referenced for the monetary summation of this CIIH trade settlement.,CIIHの取引決済の合計金額に参照される文書。
UN01009647,CIILB Subordinate Trade Line Item,CIILB 従属取引明細項目,A collection of information specific to a Cross Industry Invoice Line Breakdown (CIILB) item being used or reported on for trade purposes.,取引目的で使用または報告されるCIILB 従属取引明細行の固有情報の集合体。
UN01009648,ID,ID,An identifier for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目の識別子。
UN01014637,Category Code,カテゴリーコード,The code specifying the category of this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目のカテゴリを指定するコード。
UN01014638,Response Reason Code,応答理由コード,The code specifying the response reason of this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目の応答理由を特定するコード。
UN01015599,Requested Response Type Code,要求された応答タイプコード,The code specifying the type of response requested for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目に対して要求される応答のタイプを指定するコード。
UN01009652,Specified Product,指定製品,The referenced product specified for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目に対して指定された参照製品。
UN01010016,Applicable Product,対象製品,A product applicable for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目に適用される製品。
UN01009649,Trade Agreement,取引協定,The supply chain trade agreement specified for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細行に指定されたサプライチェーン取引協定。
UN01009650,Trade Delivery,トレードデリバリー,The supply chain trade delivery specified for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細行に指定されたサプライチェーン取引納品。
UN01009651,Trade Settlement,取引決済,The supply chain trade settlement specified for this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目に指定されたサプライチェーン取引決済。
UN01015533,Included Note,付属ノート,A note included in this CIILB subordinate trade line item.,CIILB 従属取引明細行の下位取引明細項目に含まれる注記。
UN01009653,CIILB Trade Agreement,CIILB取引協定,The contractual terms of a Cross Industry Invoice Line Breakdown (CIILB) supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約の契約条件。
UN01009654,Seller Order Document,売り手注文書,The seller order document referenced in this CIILB supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約で参照される売り手注文書。
UN01009655,Buyer Order Document,買い手注文書,The buyer order document referenced in this CIILB supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約で参照される買い手注文書。
UN01009656,Additional Document,追加文書,An additional document referenced in this CIILB supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約で参照される追加文書。
UN01009657,Product Gross Price,商品総額,A gross product price in this CIILB supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約における総製品価格。
UN01009658,Product Net Price,商品の正味価格,A net product price in this CIILB supply chain trade agreement.,CIILB 従属取引明細行のサプライチェーン取引契約における正味製品価格。
UN01009659,CIILB Trade Delivery,CIILB トレードデリバリー,Cross Industry Invoice Line Breakdown (CIILB) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,CIILB 従属取引明細行のサプライチェーンにおける出荷手配、および発送・配送を含む製品および／またはサービスの移動。
UN01009660,Package Quantity,パッケージ数量,The number of packages in this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送における梱包数。
UN01009661,Product Unit Quantity,製品単位数量,The number of product units in this CIILB supply chain trade delivery.,CIILB 従属取引明細行のサプライチェーン取引配送における製品単位数。
