sequence,group,UNID,acronym,name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,label_local,definition_local,multiplicity,example,version,code_list,attribute,issueing_agency,input,value,selfbilling_statement,self_billing,selfbilling_exception,journal_entry,ver1,AH,JPPINT_ID,business_term,cardinality,,,,,,,,,,,,,,,,,,,,,,
43,ヘッダ部,UN01005562,BBIE,,,,CI_ Note. Identification. Identifier,,,,,,,,,,,インボイス文書注釈ID,注釈の識別ID,0..1,,v1,  ,,  ,  ,,,△,△,△,△,,,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
44,ヘッダ部,UN01012702,ASBIE,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,,,,,,,,,,,,,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,0..n,,v4,  ,,  ,  ,,,●,●,●,●,,★,,IBG-03,PRECEDING INVOICE REFERENCE,0..n,,,,,,,,,,,,,,,,,,,,
45,ヘッダ部,UN01005579,ABIE,,,CI_ Referenced_ Document. Details,,,,,,,,,,,,（鑑ヘッダ参照）文書クラス,インボイス文書が参照する文書クラス,－,,v4,  ,,  ,  ,,,  ,  ,  ,  ,,,  ,,,,,,,,,,,,,,,,,,,,,,,
46,ヘッダ部,UN01005580,BBIE,,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書ID,インボイス文書が参照する参照文書のID,1..1,,v4,  ,,  ,  ,,,●,●,●,●,※,★,,IBT-025,"?  Preceding Invoice reference
",1..1,,,,,,,,,,,,,,,,,,,,
47,ヘッダ部,UN01005581,BBIE,,,,CI_ Referenced_ Document. URI_ Identification. Identifier,,,,,,,,,,,（鑑ヘッダ参照）文書URL_ID,インボイス文書が参照する文書が所在するURL_ID,0..1,,v4.2, ,, ,  ,,,＊,＊,＊,＊,（※）,,,,,,,,,,,,,,,,,,,,,,,,,
48,ヘッダ部,UN01005582,BBIE,,,,CI_ Referenced_ Document. Issue. Date Time,,,,,,,,,,,（鑑ヘッダ参照）文書発行日,インボイス文書が参照する参照文書の発行日,0..1,,v4,,,     ,  ,,,＊,＊,＊,＊,※,★,,IBT-026,?  Preceding Invoice issue date,0..1,,,,,,,,,,,,,,,,,,,,
49,ヘッダ部,UN01009672,BBIE,,,,CI_ Referenced_ Document. Type. Code,,,,,,,,,,,（鑑ヘッダ参照）文書タイプコード,インボイス文書が参照する参照文書の文書タイプを識別するコード,0..1,,v4,UNCL1001,,UN/CEFACT,  ,,,＊,＊,＊,＊,,,  ,,,,,,,,,,,,,,,,,,,,,,,
50,ヘッダ部,UN01014899,BBIE,,,,CI_ Referenced_ Document. Subtype. Code,,,,,,,,,,,（鑑ヘッダ参照）文書サブタイプコード,インボイス文書が参照する参照文書の文書サブタイプを識別するコード,0..1,,v4,JECxxxx,,JEC,  ,,,＊,＊,＊,＊,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
51,ヘッダ部,UN01005936,ASMA,CIIH_ Supply Chain_ Trade Transaction. Details,,,,,,,,,,,,,,インボイス文書取引内容クラス,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,1..1,,v1,  ,,     ,,,,○,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
52,ヘッダ部,UN01005937,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,,,,,,,,,,,,,インボイス文書取引内容／契約グループ,インボイス文書取引に適用される契約に関するグループ。,1..1,,v1,  ,,     ,,,,○,○,○,○,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
53,ヘッダ部,UN01005878,ABIE,,,CIIH_ Supply Chain_ Trade Agreement. Details,,,,,,,,,,,,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,－,,v1,  ,,     ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
54,ヘッダ部,UN01005879,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,,,,,,,,,,,インボイス文書契約／受注者グループ,受注者に関するグループ。,1..1,,v1,  ,,     ,,,,○,○,○,○,,☆,,IBG-04,SELLER,1..1,,,,,,,,,,,,,,,,,,,,
55,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,,,受注者クラス,受注者に関する情報からなるクラス。,－,,v1,  ,,     ,,,, , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
56,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,受注者ID,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1,,v1,  ,,     ,,,,＊,＊,＊,＊,,★,,IBT-029,?  Seller identifier,0..n,,,,,,,,,,,,,,,,,,,,
57,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,受注者名称,注文を受ける企業/工場・事業所・事業部門等を表す名称。適格請求書、または区分記載請求書を発行する事業者名。,0..1,,v1,,,,,,,◎,◎,○,○,※,☆,1,IBT-027,?  Seller name,1..1,,,,,,,,,,,,,,,,,,,,ｎ
58,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,,,適格請求書発行事業者登録番号,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",0..1,,v4,ISO6523,,ISO,"属性コード値
固定入力",,,◎,◎,◎,◎,※,☆,1,IBT-031,?  Seller TAX identifier,1..1,,,,,,,,,,,,,,,,,,,,
59,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,受注者／連絡先グループ,受注者の連絡先に関するグループ,0..1,,v1, ,,     ,,,,＊,＊,＊,＊,,★,,IBG-06,?  SELLER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
60,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,,,受注者連絡先クラス,連絡先に関する情報からなるクラス。,－,,v1, ,,     ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
61,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,受注者担当名,受注者連絡先の個人の、文字で表現された名前。,0..1,,v1,,,,,,,＊,＊,＊,＊,,（★）,,IBT-041,? ?  Seller contact point,0..1,,,,,,,,,,,,,,,,,,,,
62,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,受注者部門名,受注者の受注部門の名称。,0..1,,v1,,,,,,,＊,＊,＊,＊,,（★）,,IBT-041,? ?  Seller contact point,0..1,,,,,,,,,,,,,,,,,,,,
63,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,v1, ,,     ,,,,＊,●,＊,＊,,★ ,,IBG-09,?  BUYER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
64,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,v1, ,,     ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
65,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,受注者電話番号,受注者の電話番号。,0..1,,v1, ,,     ,,,,＊,●,＊,＊,※,★,,IBT-042,? ?  Seller contact telephone number,0..1,,,,,,,,,,,,,,,,,,,,
66,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,v1,,,     ,,,,＊,●,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
67,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,v1,,,     ,,,, , , , ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
68,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,受注者FAX番号,受注者のFAX番号,0..1,,v1,,,     ,,,,＊,●,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
69,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,,,受注者／住所グループ,受注者の住所に関するグループ。,0..1,,v1, ,,     ,,,,●,●,＊,＊,,☆,,IBG-05,?  SELLER POSTAL ADDRESS,1..1,,,,,,,,,,,,,,,,,,,,
70,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,,,受注者住所クラス,受注者住所に関する情報からなるクラス。,－,,v1, ,,     ,,,, , , , , ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
71,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,,,受注者郵便番号,受注者の郵便番号。,0..1,,v1,  ,,  ,,,,●,●,●,●,※,★,,IBT-038,? ?  Seller post code,0..1,,,,,,,,,,,,,,,,,,,,
72,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,,,受注者住所1,受注者の住所1行目。,0..1,,v1,,,,,,,●,●,●,●,※,★,,IBT-035,? ?  Seller address line 1,0..1,,,,,,,,,,,,,,,,,,,,
73,ヘッダ部,UN01005880,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,,,,,,,,,,,インボイス文書契約／発注者グループ,発注者に関するグループ。,1..1,,v1,,,,,,,○,○,○,○,,☆,,IBG-07,BUYER,1..1,,,,,,,,,,,,,,,,,,,,
74,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,,,発注者クラス,発注者に関する情報からなるクラス。,－,,v1,,,,,,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
75,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,,,発注者ID,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,0..1,,v1,,,,,,,＊,＊,＊,＊,,★,,IBT-046,?  Buyer identifier,0..1,,,,,,,,,,,,,,,,,,,,
76,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,,,発注者名称,発注を行う企業/工場・事業所・事業部門等の名称,0..1,,v1,,,,,,,◎,◎,○,○,※,☆,1,IBT-044,?  Buyer name,1..1,,,,,,,,,,,,,,,,,,,,
77,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,,,適格請求書発行事業者登録番号,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",0..1,,v4,ISO6523,,ISO,"属性コード値
固定入力",,,＊,＊,＊,＊,,  ,,IBT-048,? Buyer TAX identifier,0..1,,,,,,,,,,,,,,,,,,,,
78,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,,,発注者／連絡先グループ,発注者の連絡先に関するグループ,0..1,,v1, ,,     ,,,,＊,＊,＊,＊,,☆,,IBG-09,?  BUYER CONTACT,0..1,,,,,,,,,,,,,,,,,,,,
79,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,,,発注者連絡先クラス,連絡先に関する情報からなるクラス。, -,,v1, ,,     ,,,,  ,  ,  ,  ,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
80,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,,,発注者担当名,発注者の発注担当者の名称,0..1,,v1,,,,,,,＊,＊,＊,＊,,（★）,,IBT-056,? ?  Buyer contact point,0..1,,,,,,,,,,,,,,,,,,,,
81,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,,,発注者部門名,発注者の発注部門の名称。,0..1,,v1,,,,,,,＊,＊,＊,＊,,（★）,,IBT-056,? ?  Buyer contact point,0..1,,,,,,,,,,,,,,,,,,,,
82,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,v1, ,,     ,,,,＊,＊,＊,＊,,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
83,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,v1, ,,     ,,,,  ,  ,  ,  ,  ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
84,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,発注者電話番号,発注者の電話番号。,0..1,,v1, ,,     ,,,,＊,＊,＊,＊,※,★,,IBT-057,? ?  Buyer contact telephone number,0..1,,,,,,,,,,,,,,,,,,,,
85,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,,,発注者／住所グループ,発注者の住所に関するグループ。,0..1,,v4, ,,     ,,,,●,●,●,●,,☆,,IBG-08,?  BUYER POSTAL ADDRESS,1..1,,,,,,,,,,,,,,,,,,,,
86,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,,,発注者住所クラス,発注者住所に関する情報からなるクラス。,－,,v4, ,,     ,,,, , , , , ,  ,,  ,  ,  ,,,,,,,,,,,,,,,,,,,,
87,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,,,発注者郵便番号,発注者の郵便番号。,0..1,,v4, ,,     ,,,,●,●,●,●,※,★,,IBT-053,? ?  Buyer post code,0..1,,,,,,,,,,,,,,,,,,,,
