version,sequence,level,type,identifier,UNID,acronym,label_local,multiplicity,seq,class_term,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1,51,1,C,,UN01005936,ASMA,インボイス文書取引内容クラス,1..1,2287,CIIH_ Supply Chain_ Trade Transaction,,,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,SMECoreSelfInvoiceTransactionDetails,CIIHSupplyChainTradeTransaction,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction
v1,52,2,C,,UN01005937,ASBIE,インボイス文書取引内容／契約グループ,1..1,2288,CIIH_ Supply Chain_ Trade Transaction,I,,I,インボイス文書取引に適用される契約に関するグループ。,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,Transaction,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II
v1,54,3,C,,UN01005879,ASBIE,インボイス文書契約／受注者グループ,1..1,2204,CIIH_ Supply Chain_ Trade Agreement,I,,I,受注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,TransactionIISeller,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v1,56,4,A,,UN01005757,BBIE,受注者ID,0..1,3909,CI_ Trade_ Party,I,_,,注文を受ける企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,IIID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,57,4,A,,UN01005759,BBIE,受注者名称,0..1,3911,CI_ Trade_ Party,I,_,,注文を受ける企業/工場・事業所・事業部門等を表す名称。,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,IIName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,58,4,A,,UN01013039,BBIE,適格請求書発行事業者登録番号,0..1,3914,CI_ Trade_ Party,I,_,,"国税庁へ登録された適格請求書発行事業者登録番号（区分記載請求書発行者についてはなし）
T1234567890123",ISO6523,,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,IIRegisteredID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,59,4,C,,UN01005761,ASBIE,受注者／連絡先グループ,0..1,3918,CI_ Trade_ Party,I,,_,受注者の連絡先に関するグループ,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,IIContact,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,61,5,A,,UN01005720,BBIE,受注者担当名,0..1,3864,CI_ Trade_ Contact,I,_,,受注者連絡先の個人の、文字で表現された名前。,,,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,IIIContactPersonName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,62,5,A,,UN01005721,BBIE,受注者部門名,0..1,3865,CI_ Trade_ Contact,I,_,,受注者の受注部門の名称。,,,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,IIIContactDepartmentName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,63,5,C,,UN01005726,ASBIE,連絡先／電話情報グループ,0..1,3871,CI_ Trade_ Contact,I,,_,連絡先の電話に関するグループ。,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,IIIContactTelephone,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,65,6,A,,UN01005860,BBIE,受注者電話番号,0..1,4095,CI_ Universal_ Communication,I,_,,受注者の電話番号。,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,IIICompleteNumberText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/I
v1,66,5,C,,UN01005729,ASBIE,連絡先／FAX情報グループ,0..1,3874,CI_ Trade_ Contact,I,,_,連絡先のFAXに関するグループ。,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,The fax communication information for this CI trade contact.,Fax,IIIContactFax,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,68,6,A,,UN01005860,BBIE,受注者FAX番号,0..1,4095,CI_ Universal_ Communication,I,_,,受注者のFAX番号,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,IIICompleteNumberText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/I
v1,69,5,C,,UN01005730,ASBIE,連絡先／電子メール情報グループ,0..1,3875,CI_ Trade_ Contact,I,,_,連絡先の電子メールに関するグループ。,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,Email Address,IIIContactEmailURI,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,71,6,A,,UN01005858,BBIE,受注者メールアドレス,0..1,4093,CI_ Universal_ Communication,I,_,,受注者の電子メールアドレス。,,,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,IIIURIID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/I
v1,72,4,C,,UN01005762,ASBIE,受注者／住所グループ,0..1,3919,CI_ Trade_ Party,I,,_,受注者の住所に関するグループ。,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,IIPostalAddress,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,74,5,A,,UN01005689,BBIE,受注者郵便番号,0..1,3827,CI_ Trade_ Address,I,_,,受注者の郵便番号。,,,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,IIIAddressPostcodeCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,75,5,A,,UN01005692,BBIE,受注者住所1,0..1,3830,CI_ Trade_ Address,I,_,,受注者の住所1行目。,,,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,IIIAddressLineOneText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,76,3,C,,UN01005880,ASBIE,インボイス文書契約／発注者グループ,1..1,2205,CIIH_ Supply Chain_ Trade Agreement,I,,I,発注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.,Buyer,TransactionIIBuyer,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
v1,78,4,A,,UN01005757,BBIE,発注者ID,0..1,3909,CI_ Trade_ Party,I,_,,注文を行う企業/工場・事業所・事業部門等を表すID。デフォルトはデータなし。,,,CI_ Trade_ Party. Identification. Identifier,A unique identifier of this CI trade party.,ID,IIID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,79,4,A,,UN01005759,BBIE,発注者名称,0..1,3911,CI_ Trade_ Party,I,_,,発注を行う企業/工場・事業所・事業部門等の名称,,,CI_ Trade_ Party. Name. Text,"The name, expressed as text, for this CI trade party.",Name,IIName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,80,4,A,,UN01013039,BBIE,適格請求書発行事業者登録番号,0..1,3914,CI_ Trade_ Party,I,_,,"登録された発注者の適格請求書発行事業者登録番号
（免税事業者についてはなし）",ISO6523,,CI_ Trade_ Party. Registered_ Identification. Identifier,The registered identifier of this CI trade party.,Registered ID,IIRegisteredID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,81,4,C,,UN01005761,ASBIE,発注者／連絡先グループ,0..1,3918,CI_ Trade_ Party,I,,_,発注者の連絡先に関するグループ,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,A trade contact defined for this CI trade party.,Defined Contact,IIContact,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v1,83,5,A,,UN01005720,BBIE,発注者担当名,0..1,3864,CI_ Trade_ Contact,I,_,,発注者の発注担当者の名称,,,CI_ Trade_ Contact. Person Name. Text,"The name, expressed as text, of this CI trade contact person.",Person Name,IIIContactPersonName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,84,5,A,,UN01005721,BBIE,発注者部門名,0..1,3865,CI_ Trade_ Contact,I,_,,発注者の発注部門の名称。,,,CI_ Trade_ Contact. Department Name. Text,"The name, expressed as text, of the department which is this CI trade contact.",Department Name,IIIContactDepartmentName,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,85,5,C,,UN01005726,ASBIE,連絡先／電話情報グループ,0..1,3871,CI_ Trade_ Contact,I,,_,連絡先の電話に関するグループ。,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,The telephone communication information for this CI trade contact.,Telephone,IIIContactTelephone,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,87,6,A,,UN01005860,BBIE,発注者電話番号,0..1,4095,CI_ Universal_ Communication,I,_,,発注者の電話番号。,,,CI_ Universal_ Communication. Complete Number. Text,The text string of characters that make up the complete number for this CI universal communication.,Complete Number,IIICompleteNumberText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/I
v1,88,5,C,,UN01005730,ASBIE,連絡先／電子メール情報グループ,0..1,3875,CI_ Trade_ Contact,I,,_,連絡先の電子メールに関するグループ。,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,The email URI communication information for this CI trade contact.,Email Address,IIIContactEmailURI,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,90,6,A,,UN01005858,BBIE,受注者メールアドレス,0..1,4093,CI_ Universal_ Communication,I,_,,受注者の電子メールアドレス。,,,CI_ Universal_ Communication. URI. Identifier,"The Uniform Resource Identifier (URI), such as a web or an email address, for this CI universal communication.",URI,IIIURIID,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I/I
v4,91,4,C,,UN01005762,ASBIE,発注者／住所グループ,0..1,3919,CI_ Trade_ Party,I,,_,発注者の住所に関するグループ。,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,The postal address for this CI trade party.,Postal Address,IIPostalAddress,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I
v4,93,5,A,,UN01005689,BBIE,発注者郵便番号,0..1,3827,CI_ Trade_ Address,I,_,,発注者の郵便番号。,,,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,IIIAddressPostcodeCode,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v4,94,5,A,,UN01005692,BBIE,発注者住所1,0..1,3830,CI_ Trade_ Address,I,_,,発注者の住所1行目。,,,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,IIIAddressLineOneText,I,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II/I/I
v1,95,3,C,,UN01011516,ASBIE,インボイス文書契約／プロジェクト調達グループ,0..1,2225,CIIH_ Supply Chain_ Trade Agreement,I,,I,プロジェクト調達に関するグループ,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.,Procuring Project,TransactionIIProcuringProject,II,/SMECoreSelfInvoice/CIIHSupplyChainTradeTransaction/II/II
