version,sequence,level,type,identifier,label_local,representation_term,multiplicity,code_list,attribute,definition_local,acronym,UNID,class_term,id,path,semantic_path,abbreviation_path,label,definition,name,element,xpath,
v1,11,3,C,,取引設定内容/取引シナリオグループ,,0..1,  ,,取引設定内容の取引シナリオに関する情報,ABIE,UN01005471,Scenario Specified CI Document Context Parameter,UN01a_UN02b,/JP00a/UN01a_UN02b,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr,Scenario Specified CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,ScenarioParameter,ScenarioSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter,2
v1,12,4,A,,ドメインID,Identifier,0..1,JECxxxx,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",BBIE,UN01005472,Scenario Specified CI Document Context Parameter,UN01a_UN02b_1,/JP00a/UN01a_UN02b_1,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr.Idntfn,ID,The unique identifier of this CI document context parameter.,Scenario Parameter ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/ID,2
v1,13,4,A,,ドメイン名,Text,0..1,,ISO639言語コード,SIPSが付与したメッセージドメイン名称,BBIE,UN01005473,Scenario Specified CI Document Context Parameter,UN01a_UN02b_2,/JP00a/UN01a_UN02b_2,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter.Value,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr.Val,Value ,"The value, expressed as text, of this CI document context parameter.",Scenario Parameter Value Text,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/Value,2
v1,14,4,C,,取引プロセス/バージョングループ,,1..1,  ,,取引プロセスのバージョンに関する情報,ABIE,UN01005475,Specified CI Document Version,UN01a_UN02b_UN03b,/JP00a/UN01a_UN02b_UN03b,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter.Specified CI Document Version,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn,Specified CI Document Version,A specific variant of a Cross Industry (CI) document.,Scenario Parameter Version,SpecifiedCIDocumentVersion,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion,2
v1,15,5,A,,バージョンID,Identifier,0..1,  ,,ドメインのバージョン識別番号,BBIE,UN01005476,Specified CI Document Version,UN01a_UN02b_UN03b_1,/JP00a/UN01a_UN02b_UN03b_1,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter.Specified CI Document Version.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Idntfn,ID,The unique identifier for this CI document version.,Scenario Parameter Version. ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID,2
v1,16,5,A,,バージョン発行日,Date Time,0..1,日時様式 ISO8601,,ドメインのバージョン発行日,BBIE,UN01005478,Specified CI Document Version,UN01a_UN02b_UN03b_2,/JP00a/UN01a_UN02b_UN03b_2,$.SME Core Self Invoice.CI Exchanged Document Context.Scenario Specified CI Document Context Parameter.Specified CI Document Version.Issue,SmeCorSelfInvc.CiExchndDocmntContxt.ScenrSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Iss,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Scenario Parameter Version Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/ScenarioSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime,2
v1,17,3,C,,取引設定内容/アプリケーショングループ,,0..1,  ,,取引設定内容のアプリケーションに関する情報,ABIE,UN01005471,Application Specified CI Document Context Parameter,UN01a_UN02c,/JP00a/UN01a_UN02c,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr,Application Specified CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,Application Parameter,ApplicationSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter,2
v1,18,4,A,,ドメインID,Identifier,0..1,JECxxxx,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",BBIE,UN01005472,Application Specified CI Document Context Parameter,UN01a_UN02c_1,/JP00a/UN01a_UN02c_1,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr.Idntfn,ID,The unique identifier of this CI document context parameter.,Application Parameter ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/ID,2
v1,19,4,A,,ドメイン名,Text,0..1,,ISO639言語コード,SIPSが付与したメッセージドメイン名称,BBIE,UN01005473,Application Specified CI Document Context Parameter,UN01a_UN02c_2,/JP00a/UN01a_UN02c_2,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter.Value,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr.Val,Value ,"The value, expressed as text, of this CI document context parameter.",Application Parameter Value Text,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/Value,2
v1,20,4,C,,取引プロセス/バージョングループ,,1..1,  ,,取引プロセスのバージョンに関する情報,ABIE,UN01005475,Specified CI Document Version,UN01a_UN02c_UN03c,/JP00a/UN01a_UN02c_UN03c,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter.Specified CI Document Version,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn,Specified CI Document Version,A specific variant of a Cross Industry (CI) document.,Application Parameter Version,SpecifiedCIDocumentVersion,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion,2
v1,21,5,A,,バージョンID,Identifier,0..1,  ,,ドメインのバージョン識別番号,BBIE,UN01005476,Specified CI Document Version,UN01a_UN02c_UN03c_1,/JP00a/UN01a_UN02c_UN03c_1,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter.Specified CI Document Version.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Idntfn,ID,The unique identifier for this CI document version.,Application Parameter Version. ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID,2
v1,22,5,A,,バージョン発行日,Date Time,0..1,日時様式 ISO8601,,ドメインのバージョン発行日,BBIE,UN01005478,Specified CI Document Version,UN01a_UN02c_UN03c_2,/JP00a/UN01a_UN02c_UN03c_2,$.SME Core Self Invoice.CI Exchanged Document Context.Application Specified CI Document Context Parameter.Specified CI Document Version.Issue,SmeCorSelfInvc.CiExchndDocmntContxt.ApplcnSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Iss,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Application Parameter Version Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/ApplicationSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime,2
v1,23,3,C,,取引設定内容/ドメイングループ,,1..1,  ,,取引設定内容のドメインの情報に関する情報,ABIE,UN01005471,Subset Specified CI Document Context Parameter,UN01a_UN02d,/JP00a/UN01a_UN02d,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr,Subset Specified CI Document Context Parameter,A feature that is fixed for a particular Cross Industry (CI) document context.,SubsetParameter,SubsetSpecifiedCIDocumentContextParameter,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter,2
v1,24,4,A,,ドメインID,Identifier,0..1,JECxxxx,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",BBIE,UN01005472,Subset Specified CI Document Context Parameter,UN01a_UN02d_1,/JP00a/UN01a_UN02d_1,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr.Idntfn,ID,The unique identifier of this CI document context parameter.,Subset Parameter ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/ID,2
v1,25,4,A,,ドメイン名,Text,0..1,,ISO639言語コード,SIPSが付与したメッセージドメイン名称,BBIE,UN01005473,Subset Specified CI Document Context Parameter,UN01a_UN02d_2,/JP00a/UN01a_UN02d_2,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter.Value,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr.Val,Value ,"The value, expressed as text, of this CI document context parameter.",Subset Parameter Value Text,Value,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/Value,2
v1,26,4,C,,取引プロセス/バージョングループ,,1..1,  ,,取引プロセスのバージョンに関する情報,ABIE,UN01005475,Specified CI Document Version,UN01a_UN02d_UN03d,/JP00a/UN01a_UN02d_UN03d,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter.Specified CI Document Version,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn,Specified CI Document Version,A specific variant of a Cross Industry (CI) document.,SubsetParameter Version,SpecifiedCIDocumentVersion,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion,2
v1,27,5,A,,バージョンID,Identifier,0..1,  ,,ドメインのバージョン識別番号,BBIE,UN01005476,Specified CI Document Version,UN01a_UN02d_UN03d_1,/JP00a/UN01a_UN02d_UN03d_1,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter.Specified CI Document Version.Identification,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Idntfn,ID,The unique identifier for this CI document version.,SubsetParameter Version. ID,ID,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID,2
v1,28,5,A,,バージョン発行日,Date Time,0..1,日時様式 ISO8601,,ドメインのバージョン発行日,BBIE,UN01005478,Specified CI Document Version,UN01a_UN02d_UN03d_2,/JP00a/UN01a_UN02d_UN03d_2,$.SME Core Self Invoice.CI Exchanged Document Context.Subset Specified CI Document Context Parameter.Specified CI Document Version.Issue,SmeCorSelfInvc.CiExchndDocmntContxt.SubstSpecfdCiDocmntContxtParmtr.SpecfdCiDocmntVersn.Iss,Issue Date Time,"The date, time, date time or other date time value of issue of this CI document version.",SubsetParameter Version Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime,2
v1,29,2,C,,インボイス文書クラス,,1..1,  ,,インボイス文書に関する情報項目のクラス,ASMA,UN01005861,CIIH Exchanged Document,UN04a,/JP00a/UN04a,$.SME Core Self Invoice.CIIH Exchanged Document,SmeCorSelfInvc.CihExchndDocmnt,CIIH Exchanged Document,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",Document,CIIHExchangedDocument,/SMECoreSelfInvoice/CIIHExchangedDocument,2
v1/v3,30,3,A,PK,インボイス文書ID,Identifier,1..1,  ,,インボイス文書を識別する文書ID,BBIE,UN01005862,CIIH Exchanged Document,UN04a_1,/JP00a/UN04a_1,$.SME Core Self Invoice.CIIH Exchanged Document.Identification,SmeCorSelfInvc.CihExchndDocmnt.Idntfn,ID,The unique identifier of this CIIH exchanged document.,Document ID,ID,/SMECoreSelfInvoice/CIIHExchangedDocument/ID,2
v1,31,3,A,,インボイス文書名,Text,0..1,,ISO639言語コード,インボイス文書の文書名称,BBIE,UN01005863,CIIH Exchanged Document,UN04a_2,/JP00a/UN04a_2,$.SME Core Self Invoice.CIIH Exchanged Document.Name,SmeCorSelfInvc.CihExchndDocmnt.Nam,Name ,"A name, expressed as text, of this CIIH exchanged document.",Document Name ,Name,/SMECoreSelfInvoice/CIIHExchangedDocument/Name,2
v1,32,3,A,,インボイス文書タイプコード,Code,0..1,UNCL1001,,"インボイス文書のタイプを識別するコード
デフォルトは「合算請求書パターン１」",BBIE,UN01005864,CIIH Exchanged Document,UN04a_3,/JP00a/UN04a_3,$.SME Core Self Invoice.CIIH Exchanged Document.Type,SmeCorSelfInvc.CihExchndDocmnt.Type,Type Code,The code specifying the type of CIIH exchanged document.,Document Type Code,TypeCode,/SMECoreSelfInvoice/CIIHExchangedDocument/TypeCode,2
v1/v3,33,3,A,,インボイス文書発効日,Date Time,1..1,日時様式 ISO8601,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,BBIE,UN01005865,CIIH Exchanged Document,UN04a_4,/JP00a/UN04a_4,$.SME Core Self Invoice.CIIH Exchanged Document.Issue,SmeCorSelfInvc.CihExchndDocmnt.Iss,Issue Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Document Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIIHExchangedDocument/IssueDateTime,2
v2,34,3,A,,インボイス文書目的コード,Code,0..1,UNCL1225,,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,BBIE,UN01005869,CIIH Exchanged Document,UN04a_5,/JP00a/UN04a_5,$.SME Core Self Invoice.CIIH Exchanged Document.Purpose,SmeCorSelfInvc.CihExchndDocmnt.Purps,Purpose Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Document Purpose Code,PurposeCode,/SMECoreSelfInvoice/CIIHExchangedDocument/PurposeCode,2
v4,35,3,A,,インボイス文書履歴ID,Identifier,0..1,  ,,インボイス文書の変更履歴を管理するID,BBIE,UN01005874,CIIH Exchanged Document,UN04a_6,/JP00a/UN04a_6,$.SME Core Self Invoice.CIIH Exchanged Document.Previous Revision Identification,SmeCorSelfInvc.CihExchndDocmnt.PrevsRevsnIdntfn,Previous Revision ID,The unique identifier of the previous revision of this CIIH exchanged document.,Document Previous Revision ID,PreviousRevisionID,/SMECoreSelfInvoice/CIIHExchangedDocument/PreviousRevisionID,2
v4,36,3,A,,インボイス文書サブタイプコード,Code,0..1,JECxxxx,,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",BBIE,UN01014636,CIIH Exchanged Document,UN04a_7,/JP00a/UN04a_7,$.SME Core Self Invoice.CIIH Exchanged Document.Subtype,SmeCorSelfInvc.CihExchndDocmnt.Subtyp,Subtype Code,The code specifying the subtype of this CIIH exchanged document.,Document Subtype Code,SubtypeCode,/SMECoreSelfInvoice/CIIHExchangedDocument/SubtypeCode,2
v4.1,37,3,C,,インボイス文書／注釈グループ,,0..n, ,,インボイス文書に含まれる注釈。,ABIE,UN01005557,Included CI Note,UN05a,/JP00a/UN05a,$.SME Core Self Invoice.CIIH Exchanged Document.Included CI Note,SmeCorSelfInvc.CihExchndDocmnt.InclddCiNot,Included CI Note,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",Note,IncludedCINote,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote,2
v4.1,38,4,A,,明細行注釈内容,Text,0..1,,ISO639言語コード,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",BBIE,UN01005560,Included CI Note,UN05a_1,/JP00a/UN05a/UN05a_1,$.SME Core Self Invoice.CIIH Exchanged Document.Included CI Note.Content,SmeCorSelfInvc.CihExchndDocmnt.InclddCiNot.Contnt,Content ,"Content, expressed as text, of this CI note.",Note Content ,Content,/SMECoreSelfInvoice/CIIHExchangedDocument/IncludedCINote/Content,3
v4,39,3,C,,インボイス文書／参照文書グループ,,0..n, ,,インボイス文書が参照する文書のグループ,ABIE,UN01005579,Reference CI Referenced Document,UN06a,/JP00a/UN06a,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt,Reference CI Referenced Document,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",Reference Document,ReferenceCIReferencedDocument,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument,2
v4,40,4,A,PK,（文書参照）文書ID,Identifier,1..1, ,,この文書が参照する文書に記載の文書ID。,BBIE,UN01005580,Reference CI Referenced Document,UN06a_1,/JP00a/UN06a/UN06a_1,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Issuer Assigned Identification,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.IssrAssgndIdntfn,Issuer Assigned ID,The issuer assigned identifier for this CI referenced document.,Reference Document Issuer Assigned ID,IssuerAssignedID,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssuerAssignedID,3
v4.3,41,4,A,,（文書参照）文書URL_ID,Identifier,0..1, ,,この文書が参照する文書が所在するURL_ID,BBIE,UN01005581,Reference CI Referenced Document,UN06a_2,/JP00a/UN06a/UN06a_2,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.URI Identification,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.UriIdntfn,URI ID,The unique Uniform Resource Identifier (URI) for this CI referenced document.,Reference Document URI ID,URIID,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/URIID,3
v4.3,42,4,A,,（文書参照）文書発行日,Date Time,0..1,日時様式 ISO8601,,この文書が参照する文書に記載の発行日付,BBIE,UN01005582,Reference CI Referenced Document,UN06a_3,/JP00a/UN06a/UN06a_3,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Issue,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.Iss,Issue Date Time,The date or date time for the issuance of this CI referenced document.,Reference Document Issue Date Time,IssueDateTime,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/IssueDateTime,3
v4,43,4,A,,（文書参照）文書類型コード,Code,0..1,JECxxxx,,この文書が参照する文書の類型タイプを識別するコード。,BBIE,UN01009672,Reference CI Referenced Document,UN06a_4,/JP00a/UN06a/UN06a_4,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Type,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.Type,Type Code,The code specifying the type of CI referenced document.,Reference Document Type Code,TypeCode,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/TypeCode,3
v4,44,4,A,,（文書参照）文書サブタイプコード,Code,0..1,JECxxxx,,この文書が参照する文書の文書サブタイプを識別するコード。,BBIE,UN01014899,Reference CI Referenced Document,UN06a_5,/JP00a/UN06a/UN06a_5,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Subtype,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.Subtyp,Subtype Code,A code specifying a subtype of this CI referenced document.,Reference Document Subtype Code,SubtypeCode,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/SubtypeCode,3
v4,45,4,A,,（文書参照）文書履歴ID,Identifier,0..1,  ,,この文書が参照する文書の変更履歴を管理するID。,BBIE,UN01005588,Reference CI Referenced Document,UN06a_6,/JP00a/UN06a/UN06a_6,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Revision Identification,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.RevsnIdntfn,Revision ID,The unique identifier for a revision of this CI referenced document.,Reference Document Revision ID,RevisionID,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/RevisionID,3
v4.3,46,4,A,,（文書参照）文書情報,Text,0..n,,ISO639言語コード,この文書が参照する文書に記載の情報,BBIE,UN01006415,Reference CI Referenced Document,UN06a_7,/JP00a/UN06a/UN06a_7,$.SME Core Self Invoice.CIIH Exchanged Document.Reference CI Referenced Document.Information,SmeCorSelfInvc.CihExchndDocmnt.RefrncCiRefrncdDocmnt.Infrmn,Information ,"Information, expressed as text, for this CI referenced document.",Reference Document Information ,Information,/SMECoreSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument/Information,3
