ADD/CHG/DEP/WDR,Unique UN Assigned ID, ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC,"Dictionary Entry Name
(auto generated)","Definition
Mandatory",Working comments and instructions,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,"Context Categories
Mandatory for BIE's",,,,,,,,,,,,,,,,,,,,,,,,"Facets
To restrict the set of values of Content Component or Supplementary Components",,,,,,,,,,,,,,,Example(s),BIE/CC/DT Version,Ref Library Version,Submitter,Ref Component UN ID,Ref CR ID,Unique submitter ID,CR Status Date,CR Status,TBG17 Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Submission Row Number,Unique CC/BIE ID,CR Storage Date,Publication Refs -- Source
,,SC,Binary Object. Format. Text,The format of the binary content.,,,0,Binary Object,,Format,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Mime. Code,The mime type of the binary object.,,,0,Binary Object,,Mime,,Code,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Encoding. Code,Specifies the decoding algorithm of the binary object.,,,0,Binary Object,,Encoding,,Code,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Character Set. Code,The character set of the binary object if the mime type is text.,,,0,Binary Object,,Character Set,,Code,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the binary object is located.,,,0,Binary Object,,Uniform Resource,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Filename. Text,The filename of the binary object.,,,0,Binary Object,,Filename,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000003,DT,Graphic. Type,,,,,,,,,Graphic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Binary Object. Content,A set of finite-length sequences of binary octets.,,,0,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Format. Text,The format of the binary content.,,,0,Binary Object,,Format,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Mime. Code,The mime type of the binary object.,,,0,Binary Object,,Mime,,Code,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Encoding. Code,Specifies the decoding algorithm of the binary object.,,,0,Binary Object,,Encoding,,Code,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Character Set. Code,The character set of the binary object if the mime type is text.,,,0,Binary Object,,Character Set,,Code,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the binary object is located.,,,0,Binary Object,,Uniform Resource,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Filename. Text,The filename of the binary object.,,,0,Binary Object,,Filename,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000004,DT,Picture. Type,,,,,,,,,Picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Binary Object. Content,A set of finite-length sequences of binary octets.,,,0,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Format. Text,The format of the binary content.,,,0,Binary Object,,Format,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Mime. Code,The mime type of the binary object.,,,0,Binary Object,,Mime,,Code,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Encoding. Code,Specifies the decoding algorithm of the binary object.,,,0,Binary Object,,Encoding,,Code,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Character Set. Code,The character set of the binary object if the mime type is text.,,,0,Binary Object,,Character Set,,Code,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the binary object is located.,,,0,Binary Object,,Uniform Resource,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Filename. Text,The filename of the binary object.,,,0,Binary Object,,Filename,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000005,DT,Sound. Type,,,,,,,,,Sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Binary Object. Content,A set of finite-length sequences of binary octets.,,,0,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Format. Text,The format of the binary content.,,,0,Binary Object,,Format,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Mime. Code,The mime type of the binary object.,,,0,Binary Object,,Mime,,Code,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Encoding. Code,Specifies the decoding algorithm of the binary object.,,,0,Binary Object,,Encoding,,Code,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Character Set. Code,The character set of the binary object if the mime type is text.,,,0,Binary Object,,Character Set,,Code,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the binary object is located.,,,0,Binary Object,,Uniform Resource,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Filename. Text,The filename of the binary object.,,,0,Binary Object,,Filename,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000006,DT,Video. Type,,,,,,,,,Video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Binary Object. Content,A set of finite-length sequences of binary octets.,,,0,Binary Object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Format. Text,The format of the binary content.,,,0,Binary Object,,Format,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Mime. Code,The mime type of the binary object.,,,0,Binary Object,,Mime,,Code,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Encoding. Code,Specifies the decoding algorithm of the binary object.,,,0,Binary Object,,Encoding,,Code,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Character Set. Code,The character set of the binary object if the mime type is text.,,,0,Binary Object,,Character Set,,Code,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the binary object is located.,,,0,Binary Object,,Uniform Resource,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Binary Object. Filename. Text,The filename of the binary object.,,,0,Binary Object,,Filename,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000007,DT,Code. Type,,,,,,,,,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Code. Content,"A character string (letters, figures or symbols) that for brevity and/or language independence may be used to represent or replace a definitive value or text of an attribute.",,,0,Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Identifier,The identification of a list of codes.,,,0,Code List,,Identifier,,Identifier,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Agency. Identifier,An agency that maintains one or more code lists.,,,0,Code List,,Identifier,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Agency Name. Text,The name of the agency that maintains the code list.,,,0,Code List,,Text,,Text,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Name. Text,The name of a list of codes.,,,0,Code List,,Text,,Text,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Version. Identifier,The version of the code list.,,,0,Code List,,Identifier,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code. Name. Text,The textual equivalent of the code content.,,,0,Code,,Identifier,,Text,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Language. Identifier,The identifier of the language used in the corresponding text string.,,,0,Language,,Text,,Identifier,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the code list is located.,,,0,Code List,,Identifier,,Identifier,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Code List Scheme. Uniform Resource. Identifier,The Uniform Resource identifier that identifies where the code list scheme is located.,,,0,Code List Scheme,,Identifier,,Identifier,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000008,DT,Date Time. Type,,,,,,,,,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Date Time. Content,The particular point in the progression of time.,,,0,Date Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Date Time. Format. Text,The format of the date/time content.,,,0,Date Time,,Text,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000009,DT,Date. Type,,,,,,,,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Date Time. Content,The particular point in the progression of time.,,,0,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Date Time. Format. Text,The format of the date/time content.,,,0,Date,,Text,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000010,DT,Time. Type,,,,,,,,,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Date Time. Content,The particular point in the progression of time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Date Time. Format. Text,The format of the date/time content.,,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000011,DT,Identifier. Type,,,,,,,,,Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Identifier. Content,"A character string used to identify and distinguish uniquely, one instance of an object in an identification scheme from all other objects within the same scheme.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme. Identifier,The identification of the identification scheme.,,,,,,,,Identifier,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme. Name. Text,The name of the identification scheme.,,,,,,,,Text,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme Agency. Identifier,The identification of the agency that maintains the identification scheme.,,,,,,,,Identifier,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme. Agency Name. Text,The name of the agency that maintains the identification scheme.,,,,,,,,Text,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme. Version. Identifier,The version of the identification scheme.,,,,,,,,Identifier,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme Data. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the identification scheme data is located.,,,,,,,,Identifier,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Identification Scheme. Uniform Resource. Identifier,The Uniform Resource Identifier that identifies where the identification scheme is located.,,,,,,,,Identifier,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000012,DT,Indicator. Type,,,,,,,,,Indicator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Indicator. Content,The value of the indicator.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Indicator. Format. Text,"Whether the indicator is numeric, textual or binary.",,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000013,DT,Measure. Type,,,,,,,,,Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Measure. Content,The numeric value determined by measuring an object.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Measure Unit. Code,The type of unit of measure.,,,,,,,,Code,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Measure Unit. Code List Version. Identifier,The version of the measure unit code list.,,,,,,,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000014,DT,Numeric. Type,,,,,,,,,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Numeric. Content,"Numeric information that is assigned or is determined by calculation, counting or sequencing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Numeric. Format. Text,"Whether the number is an integer, decimal, real number or percentage.",,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000015,DT,Value. Type,,,,,,,,,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Numeric. Content,"Numeric information that is assigned or is determined by calculation, counting or sequencing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Numeric. Format. Text,"Whether the number is an integer, decimal, real number or percentage.",,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000016,DT,Rate. Type,,,,,,,,,Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Numeric. Content,"Numeric information that is assigned or is determined by calculation, counting or sequencing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Numeric. Format. Text,"Whether the number is an integer, decimal, real number or percentage.",,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000017,DT,Percent. Type,,,,,,,,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Numeric. Content,"Numeric information that is assigned or is determined by calculation, counting or sequencing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Numeric. Format. Text,"Whether the number is an integer, decimal, real number or percentage.",,,,,,,,Text,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000018,DT,Quantity. Type,,,,,,,,,Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Quantity. Content,A counted number of non-monetary units possibly including fractions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Quantity. Unit. Code,The unit of the quantity.,,,,,,,,Code,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Quantity Unit. Code List. Identifier,The quantity unit code list.,,,,,,,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Quantity Unit. Code List Agency. Identifier,The identification of the agency that maintains the quantity unit code list.,,,,,,,,Identifier,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Quantity Unit. Code List Agency Name. Text,The name of the agency which maintains the quantity unit code list.,,,,,,,,Text,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000019,DT,Text. Type,,,,,,,,,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Text. Content,A character string (I.e. a finite set of characters) generally in the form of words of a language.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Language. Identifier,The identifier of the language used in the corresponding text string.,,,,,,,,Identifier,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Language. Locale. Identifier,The identification of the locale of the language.,,,,,,,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UDT000020,DT,Name. Type,,,,,,,,,Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CC,Text. Content,A character string (I.e. a finite set of characters) generally in the form of words of a language.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Language. Identifier,The identifier of the language used in the corresponding text string.,,,,,,,,Identifier,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SC,Language. Locale. Identifier,The identification of the locale of the language.,,,,,,,,Identifier,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
