version,sme_nr,mbie_nr,level,property_type,class_term,sequence,identifier,property_term,multiplicity,multiplicity_SME,representation_term,code_list,attribute,associated_class,label_local,definition_local,UNID,acronym,DEN,definition,short_name,name,element,xpath
,,2197,,Attribute,CIIH_ Exchanged_ Document,18,,Requested_ Response Type,0..n,0..0,Code,UNCL4343,,,,,UN01015491,BBIE,CIIH_ Exchanged_ Document. Requested_ Response Type. Code,A code specifying a type of response requested for this CIIH exchanged document.,Requested Response Type Code,,RequestedResponseTypeCode,
v1,39,2198,2,Composition,CIIH_ Exchanged_ Document,1,,Included,0..n,0..n,,,,CI_ Note,インボイス文書／注釈グループ,インボイス文書に含まれる注釈。,UN01005876,ASBIE,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,ExchangedDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote
,,2199,,Composition,CIIH_ Exchanged_ Document,2,,Issuer,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005877,ASBIE,CIIH_ Exchanged_ Document. Issuer. CI_ Trade_ Party,The party that issues this CIIH exchanged document.,Issuer,,IssuerParty,
,,2200,,Composition,CIIH_ Exchanged_ Document,3,,Signatory,0..1,0..0,,,,CI_ Document_ Authentication,,,UN01012686,ASBIE,CIIH_ Exchanged_ Document. Signatory. CI_ Document_ Authentication,The signatory authentication for this CIIH exchanged document.,Signatory Document Authentication,,SignatoryAuthentication,
v4,44,2201,2,Composition,CIIH_ Exchanged_ Document,4,,Reference,0..n,0..n,,,,CI_ Referenced_ Document,インボイス文書／参照文書グループ,インボイス文書が参照する文書のグループ,UN01012702,ASBIE,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ExchangedDocumentReferenceDocument,ReferenceCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument
v4.0.1,55,2202,2,Composition,CIIH_ Exchanged_ Document,5,,Attached,0..n,0..n,,,,Specified_ Binary File,付加文書／添付ファイルグループ,参照文書の添付バイナリファイルに関するグループ,UN01015490,ASBIE,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,A binary file attached to this CIIH exchanged document.,Attached Binary File,ExchangedDocumentAttachedBinaryFile,AttachedSpecifiedBinaryFile,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile
v1,64,2203,1,Class,CIIH_ Supply Chain_ Trade Agreement,0,,,,,,,,,インボイス文書契約クラス,インボイス文書に関する契約に関する情報からなるクラス。,UN01005878,ABIE,CIIH_ Supply Chain_ Trade Agreement. Details,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,CIIH Trade Agreement,TransactionDetails,CIIHSupplyChainTradeAgreement,
,,2204,,Attribute,CIIH_ Supply Chain_ Trade Agreement,1,,Buyer_ Reference,0..1,0..0,Text,,,,,,UN01008552,BBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Reference. Text,"The buyer reference, expressed as text, for this CIIH supply chain trade agreement.",Buyer Reference Text,,BuyerReferenceText,
v1,65,2205,2,Composition,CIIH_ Supply Chain_ Trade Agreement,1,,Seller,0..1,1..1,,,,CI_ Trade_ Party,インボイス文書契約／受注者グループ,受注者に関するグループ。,UN01005879,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,TransactionSeller,SellerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty
v1,98,2206,2,Composition,CIIH_ Supply Chain_ Trade Agreement,2,,Buyer,0..1,1..1,,,,CI_ Trade_ Party,インボイス文書契約／発注者グループ,発注者に関するグループ。,UN01005880,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer. CI_ Trade_ Party,The party that is the buyer for this CIIH supply chain trade agreement.,Buyer,TransactionBuyer,BuyerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/BuyerCITradeParty
,,2207,,Composition,CIIH_ Supply Chain_ Trade Agreement,3,,Buyer_ Assigned Accountant,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005881,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Assigned Accountant. CI_ Trade_ Party,The trade party assigned as an accountant by the buyer for this CIIH supply chain trade agreement.,Buyer Assigned Accountant,,BuyerAssignedAccountantParty,
,,2208,,Composition,CIIH_ Supply Chain_ Trade Agreement,4,,Seller_ Assigned Accountant,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005882,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller_ Assigned Accountant. CI_ Trade_ Party,The trade party assigned as an accountant by the seller for this CIIH supply chain trade agreement.,Seller Assigned Accountant,,SellerAssignedAccountantParty,
,,2209,,Composition,CIIH_ Supply Chain_ Trade Agreement,5,,Buyer_ Tax Representative,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005883,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Tax Representative. CI_ Trade_ Party,The trade party acting as a tax representative for the buyer for this CIIH supply chain trade agreement.,Buyer Tax Representative,,BuyerTaxRepresentativeParty,
,,2210,,Composition,CIIH_ Supply Chain_ Trade Agreement,6,,Seller_ Tax Representative,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005884,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller_ Tax Representative. CI_ Trade_ Party,The trade party acting as a tax representative for the seller for this CIIH supply chain trade agreement.,Seller Tax Representative,,SellerTaxRepresentativeParty,
,,2211,,Composition,CIIH_ Supply Chain_ Trade Agreement,7,,Applicable,0..1,0..0,,,,CI_ Trade_ Delivery Terms,,,UN01005885,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Applicable. CI_ Trade_ Delivery Terms,The trade terms of delivery applicable to this CIIH supply chain trade agreement.,Delivery Terms,,ApplicableDeliveryTerms,
,,2212,,Composition,CIIH_ Supply Chain_ Trade Agreement,8,,Seller Order_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005886,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Seller Order_ Referenced. CI_ Referenced_ Document,The seller order document referenced from this CIIH supply chain trade agreement.,Seller Order Document,,SellerOrderReferencedDocument,
,,2213,,Composition,CIIH_ Supply Chain_ Trade Agreement,9,,Buyer Order_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005887,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer Order_ Referenced. CI_ Referenced_ Document,The buyer order document referenced from this CIIH supply chain trade agreement.,Buyer Order Document,,BuyerOrderReferencedDocument,
,,2214,,Composition,CIIH_ Supply Chain_ Trade Agreement,10,,Quotation_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005888,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Quotation_ Referenced. CI_ Referenced_ Document,The quotation document referenced from this CIIH supply chain trade agreement.,Quotation Document,,QuotationReferencedDocument,
,,2215,,Composition,CIIH_ Supply Chain_ Trade Agreement,11,,Order Response_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005889,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Order Response_ Referenced. CI_ Referenced_ Document,The order response document referenced from this CIIH supply chain trade agreement.,Order Response Document,,OrderResponseReferencedDocument,
,,2216,,Composition,CIIH_ Supply Chain_ Trade Agreement,12,,Contract_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005890,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Contract_ Referenced. CI_ Referenced_ Document,The contract document referenced from this CIIH supply chain trade agreement.,Contract Document,,ContractReferencedDocument,
,,2217,,Composition,CIIH_ Supply Chain_ Trade Agreement,13,,Demand Forecast_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005891,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Demand Forecast_ Referenced. CI_ Referenced_ Document,The demand forecast document referenced from this CIIH supply chain trade agreement.,Demand Forecast Document,,DemandForecastReferencedDocument,
,,2218,,Composition,CIIH_ Supply Chain_ Trade Agreement,14,,Supply Instruction_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005892,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Supply Instruction_ Referenced. CI_ Referenced_ Document,The supply instruction document referenced from this CIIH supply chain trade agreement.,Supply Instruction Document,,SupplyInstructionReferencedDocument,
,,2219,,Composition,CIIH_ Supply Chain_ Trade Agreement,15,,Promotional Deal_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005893,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Promotional Deal_ Referenced. CI_ Referenced_ Document,The promotional deal document referenced from this CIIH supply chain trade agreement.,Promotional Deal Document,,PromotionalDealReferencedDocument,
,,2220,,Composition,CIIH_ Supply Chain_ Trade Agreement,16,,Price List_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005894,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Price List_ Referenced. CI_ Referenced_ Document,The price list document referenced from this CIIH supply chain trade agreement.,Price List Document,,PriceListReferencedDocument,
,,2221,,Composition,CIIH_ Supply Chain_ Trade Agreement,17,,Additional_ Referenced,0..n,0..0,,,,CI_ Referenced_ Document,,,UN01005895,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Additional_ Referenced. CI_ Referenced_ Document,An additional document referenced from this CIIH supply chain trade agreement.,Additional Document,,AdditionalReferencedDocument,
,,2222,,Composition,CIIH_ Supply Chain_ Trade Agreement,18,,Buyer_ Requisitioner,0..n,0..0,,,,CI_ Trade_ Party,,,UN01006058,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer_ Requisitioner. CI_ Trade_ Party,A Cross Industry (CI) trade party who is a buyer requisitioner in this CIIH supply chain trade agreement.,Buyer Requisitioner,,BuyerRequisitionerParty,
,,2223,,Composition,CIIH_ Supply Chain_ Trade Agreement,19,,Requisitioner_ Referenced,0..n,0..0,,,,CI_ Referenced_ Document,,,UN01006061,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Requisitioner_ Referenced. CI_ Referenced_ Document,A requisitioner Cross Industry (CI) document referenced in this CIIH supply chain trade agreement.,Requisitioner Document,,RequisitionerReferencedDocument,
,,2224,,Composition,CIIH_ Supply Chain_ Trade Agreement,20,,Buyer Agent,0..1,0..0,,,,CI_ Trade_ Party,,,UN01008553,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Buyer Agent. CI_ Trade_ Party,The party representing the buyer in this CIIH supply chain trade agreement.,Buyer Agent,,BuyerAgentParty,
,,2225,,Composition,CIIH_ Supply Chain_ Trade Agreement,21,,Sales Agent,0..1,0..0,,,,CI_ Trade_ Party,,,UN01008554,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Sales Agent. CI_ Trade_ Party,The party representing the seller in this CIIH supply chain trade agreement.,Sales Agent,,SalesAgentParty,
v1,131,2226,2,Composition,CIIH_ Supply Chain_ Trade Agreement,22,,Specified,0..1,0..1,,,,Procuring_ Project,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,UN01011516,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,The procuring project specified for this CIIH supply chain trade agreement.,Procuring Project,TransactionProcuringProject,SpecifiedProcuringProject,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SpecifiedProcuringProject
,,2227,,Composition,CIIH_ Supply Chain_ Trade Agreement,23,,Pricing Base_ Applicable,0..1,0..0,,,,CI_ Logistics_ Location,,,UN01012688,ASBIE,CIIH_ Supply Chain_ Trade Agreement. Pricing Base_ Applicable. CI_ Logistics_ Location,The logistics location applicable to the pricing base for this CIIH supply chain trade agreement.,Pricing Base Applicable Logistics Location,,PricingBaseApplicableLocation,
v4.3,136,2228,1,Class,CIIH_ Supply Chain_ Trade Delivery,0,,,,,,,,,インボイス文書配送クラス,インボイス文書の配送に関する情報のクラス,UN01005896,ABIE,CIIH_ Supply Chain_ Trade Delivery. Details,Cross Industry Invoice Header (CIIH) supply chain shipping arrangements and movement of products and or services including despatch and delivery.,CIIH Trade Delivery,TransactionDeliveryDetails,CIIHSupplyChainTradeDelivery,
,,2229,,Composition,CIIH_ Supply Chain_ Trade Delivery,1,,Related,0..1,0..0,,,,CI_ Supply Chain_ Consignment,,,UN01005897,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Related. CI_ Supply Chain_ Consignment,The Cross Industry (CI) supply chain consignment related to this CIIH supply chain trade delivery.,Consignment,,RelatedConsignment,
,,2230,,Composition,CIIH_ Supply Chain_ Trade Delivery,2,,Ship To,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005898,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ship To. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ship to party for this CIIH supply chain trade delivery.,Ship To Party,,ShipToParty,
,,2231,,Composition,CIIH_ Supply Chain_ Trade Delivery,3,,Ultimate_ Ship To,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005899,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ultimate_ Ship To. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ultimate ship to party for this CIIH supply chain trade delivery.,Ultimate Ship To Party,,UltimateShipToParty,
,,2232,,Composition,CIIH_ Supply Chain_ Trade Delivery,4,,Ship From,0..1,0..0,,,,CI_ Trade_ Party,,,UN01005900,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Ship From. CI_ Trade_ Party,The Cross Industry (CI) trade party who is the ship from party for this CIIH supply chain trade delivery.,Ship From Party,,ShipFromParty,
,,2233,,Composition,CIIH_ Supply Chain_ Trade Delivery,5,,Actual_ Despatch,0..1,0..0,,,,CI_ Supply Chain_ Event,,,UN01005901,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Despatch. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain despatch event for this CIIH supply chain trade delivery.,Actual Despatch Event,,ActualDespatchEvent,
,,2234,,Composition,CIIH_ Supply Chain_ Trade Delivery,6,,Actual_ Pick-Up,0..1,0..0,,,,CI_ Supply Chain_ Event,,,UN01005902,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Pick-Up. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain pick-up event for this CIIH supply chain trade delivery.,Actual Pick-Up Event,,ActualPick-UpEvent,
,,2235,,Composition,CIIH_ Supply Chain_ Trade Delivery,7,,Actual_ Delivery,0..1,0..0,,,,CI_ Supply Chain_ Event,,,UN01005903,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Delivery. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain delivery event for this CIIH supply chain trade delivery.,Actual Delivery Event,,ActualDeliveryEvent,
,,2236,,Composition,CIIH_ Supply Chain_ Trade Delivery,8,,Actual_ Receipt,0..1,0..0,,,,CI_ Supply Chain_ Event,,,UN01005904,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Actual_ Receipt. CI_ Supply Chain_ Event,The Cross Industry (CI) actual supply chain receipt event for this CIIH supply chain trade delivery.,Actual Receipt Event,,ActualReceiptEvent,
,,2237,,Composition,CIIH_ Supply Chain_ Trade Delivery,9,,Despatch Advice_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005905,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Despatch Advice_ Referenced. CI_ Referenced_ Document,The Cross Industry (CI) despatch advice document referenced from this CIIH supply chain trade delivery.,Despatch Advice Document,,DespatchAdviceReferencedDocument,
,,2238,,Composition,CIIH_ Supply Chain_ Trade Delivery,10,,Receiving Advice_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005906,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Receiving Advice_ Referenced. CI_ Referenced_ Document,The Cross Industry (CI) receiving advice document referenced from this CIIH supply chain trade delivery.,Receiving Advice Document,,ReceivingAdviceReferencedDocument,
,,2239,,Composition,CIIH_ Supply Chain_ Trade Delivery,11,,Delivery Note_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01005907,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Delivery Note_ Referenced. CI_ Referenced_ Document,The Cross Industry (CI) delivery note document referenced from this CIIH supply chain trade delivery.,Delivery Note Document,,DeliveryNoteReferencedDocument,
v4.3,137,2240,2,Composition,CIIH_ Supply Chain_ Trade Delivery,12,,Additional_ Referenced,0..n,0..1,,,,CI_ Referenced_ Document,インボイス文書配送／参照文書クラス,インボイス文書の配送に関する参照文書のグループ,UN01005908,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Additional_ Referenced. CI_ Referenced_ Document,An additional Cross Industry (CI) document referenced from this CIIH supply chain trade delivery.,Additional Document,TransactionDeliveryReferencedReferencedDocument,AdditionalReferencedCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeDelivery/AdditionalReferencedCIReferencedDocument
,,2241,,Composition,CIIH_ Supply Chain_ Trade Delivery,13,,Consumption Report_ Referenced,0..1,0..0,,,,CI_ Referenced_ Document,,,UN01008615,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Consumption Report_ Referenced. CI_ Referenced_ Document,The consumption report document referenced from this CIIH supply chain trade delivery.,Consumption Report Document,,ConsumptionReportReferencedDocument,
,,2242,,Composition,CIIH_ Supply Chain_ Trade Delivery,14,,Previous_ Delivery,0..n,0..0,,,,CI_ Supply Chain_ Event,,,UN01009053,ASBIE,CIIH_ Supply Chain_ Trade Delivery. Previous_ Delivery. CI_ Supply Chain_ Event,A previous delivery event for this CIIH supply chain trade delivery.,Previous Delivery Event,,PreviousDeliveryEvent,
v2,141,2243,1,Class,CIIH_ Supply Chain_ Trade Settlement,0,,,,,,,,,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,UN01005909,ABIE,CIIH_ Supply Chain_ Trade Settlement. Details,The information that enables the financial reconciliation of the Cross Industry Invoice Header (CIIH) of a supply chain transaction with the item(s) that the financial transaction is intended to settle.,CIIH Trade Settlement,TransactionDetails,CIIHSupplyChainTradeSettlement,
,,2244,,Attribute,CIIH_ Supply Chain_ Trade Settlement,1,,Due Payable,0..n,0..0,Amount,,,,,,UN01005910,BBIE,CIIH_ Supply Chain_ Trade Settlement. Due Payable. Amount,"A monetary value that is an exact amount due and payable for this CIIH supply chain trade settlement, such as the amount due to the creditor.",Deprecated Due Payable Amount,,DuePayableAmount,
