version,sme_nr,mbie_nr,level,property_type,class_term,sequence,multiplicity,multiplicity_sme,identifier,property_term,representation_term,code_list,XML_datatype,associated_class,selector,fixed_value,label_sme,label_csv,definition_sme,label_ja,definition_ja,UNID,acronym,DEN,definition,short_name,element,XML_element_name,selfbilling,amendment_selfbilling,single_selfbilling,core_selfbilling,pint_id,business_term,card
v4,125.0,3828,2,Attribute,(Applicable/Buyer/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,発注者郵便番号,発注者郵便番号,発注者の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,＊,＊,＊,＊,IBT-053,Buyer post code,0..1
v4,126.0,3831,2,Attribute,(Applicable/Buyer/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,発注者住所1,発注者住所1,発注者の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,＊,＊,＊,＊,IBT-050,Buyer address line 1,0..1
v4,127.0,3832,2,Attribute,(Applicable/Buyer/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,発注者住所2,発注者住所2,発注者の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,＊,,IBT-051,Buyer address line 2,0..1
v4,128.0,3833,2,Attribute,(Applicable/Buyer/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,発注者住所3,発注者住所3,発注者の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,＊,,IBT-163,Buyer address line 3,0..1
v4,129.0,3839,2,Attribute,(Applicable/Buyer/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,発注者国ID,発注者国ID,発注者の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,＊,,IBT-055,Buyer country code,1..1
v4,202.0,3826,1,Class,(Applicable/Invoicee/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,請求先住所クラス,請求先住所クラス,請求先住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
v4,203.0,3828,2,Attribute,(Applicable/Invoicee/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,請求先郵便番号,請求先郵便番号,請求先の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,＊,＊,,,,,
v4,204.0,3831,2,Attribute,(Applicable/Invoicee/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求先住所1,請求先住所1,請求先の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,＊,＊,,,,,
v4,205.0,3832,2,Attribute,(Applicable/Invoicee/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求先住所2,請求先住所2,請求先の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,,,,,
v4,206.0,3833,2,Attribute,(Applicable/Invoicee/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求先住所3,請求先住所3,請求先の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,,,,,
v4,207.0,3839,2,Attribute,(Applicable/Invoicee/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,請求先国ID,請求先国ID,請求先の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,,,,,
v4,171.0,3826,1,Class,(Applicable/Invoicer/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,請求者住所クラス,請求者住所クラス,請求者住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
v4,172.0,3828,2,Attribute,(Applicable/Invoicer/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,請求者郵便番号,請求者郵便番号,請求者の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,＊,＊,,,,,
v4,173.0,3831,2,Attribute,(Applicable/Invoicer/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求者住所1,請求者住所1,請求者の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,＊,＊,,,,,
v4,174.0,3832,2,Attribute,(Applicable/Invoicer/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求者住所2,請求者住所2,請求者の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,,,,,
v4,175.0,3833,2,Attribute,(Applicable/Invoicer/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,請求者住所3,請求者住所3,請求者の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,,,,,
v4,176.0,3839,2,Attribute,(Applicable/Invoicer/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,請求者国ID,請求者国ID,請求者の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,,,,,
v4,233.0,3826,1,Class,(Applicable/Payee/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,支払先住所クラス,支払先住所クラス,支払先住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
v4,234.0,3828,2,Attribute,(Applicable/Payee/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,支払先郵便番号,支払先郵便番号,支払先の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,＊,＊,＊,,,,
v4,235.0,3831,2,Attribute,(Applicable/Payee/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払先住所1,支払先住所1,支払先の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,＊,＊,＊,,,,
v4,236.0,3832,2,Attribute,(Applicable/Payee/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払先住所2,支払先住所2,支払先の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,＊,,,,
v4,237.0,3833,2,Attribute,(Applicable/Payee/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払先住所3,支払先住所3,支払先の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,＊,,,,
v4,238.0,3839,2,Attribute,(Applicable/Payee/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,支払先国ID,支払先国ID,支払先の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,＊,,,,
v4,264.0,3826,1,Class,(Applicable/Payer/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,支払人住所クラス,支払人住所クラス,支払人住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
v4,265.0,3828,2,Attribute,(Applicable/Payer/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,支払人郵便番号,支払人郵便番号,支払人の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,＊,＊,,,,,
v4,266.0,3831,2,Attribute,(Applicable/Payer/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払人住所1,支払人住所1,支払人の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,＊,＊,,,,,
v4,267.0,3832,2,Attribute,(Applicable/Payer/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払人住所2,支払人住所2,支払人の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,,,,,
v4,268.0,3833,2,Attribute,(Applicable/Payer/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,支払人住所3,支払人住所3,支払人の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,,,,,
v4,269.0,3839,2,Attribute,(Applicable/Payer/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,支払人国ID,支払人国ID,支払人の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,,,,,
v1,91.0,3826,1,Class,(Applicable/Seller/Postal) CI_ Trade_ Address,,,,,,,,ram:CITradeAddressType,,,,受注者住所クラス,受注者住所クラス,受注者住所に関する情報からなるクラス。,CI取引先住所,特定の取引関連組織または人物が所在し、または連絡が取れる場所。,UN01005687,ABIE,CI_ Trade_ Address. Details,The place at which a particular Cross Industry (CI) trade related organization or person may be found or reached.,CI Trade Address,,,,,,,,,
v1,92.0,3828,2,Attribute,(Applicable/Seller/Postal) CI_ Trade_ Address,2,0..1,0..1,,Postcode,Code,D24A TDED3251,udt:CodeType,,,,受注者郵便番号,受注者郵便番号,受注者の郵便番号。,郵便番号,インボイスの取引先住所の郵便番号。,UN01005689,BBIE,CI_ Trade_ Address. Postcode. Code,The postcode of this CI trade address.,Postcode,PostcodeCode,PostcodeCode,●,●,●,●,IBT-038,Seller post code,0..1
v1,93.0,3831,2,Attribute,(Applicable/Seller/Postal) CI_ Trade_ Address,5,0..1,0..1,,Line One,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,受注者住所1,受注者住所1,受注者の住所1行目。,1行目,インボイスの取引先住所の最初の自由形式行（テキストで表現）。,UN01005692,BBIE,CI_ Trade_ Address. Line One. Text,"The first free form line, expressed as text, of this CI trade address.",Line One,LineOne,LineOne,●,●,●,●,IBT-035,Seller address line 1,0..1
v4,94.0,3832,2,Attribute,(Applicable/Seller/Postal) CI_ Trade_ Address,6,0..1,0..1,,Line Two,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,受注者住所2,受注者住所2,受注者の住所2行目。,2行目,インボイスの取引先住所の2番目の自由形式行（テキストで表現）。,UN01005693,BBIE,CI_ Trade_ Address. Line Two. Text,"The second free form line, expressed as text, of this CI trade address.",Line Two,LineTwo,LineTwo,＊,＊,＊,,IBT-036,Seller address line 2,0..1
v4,95.0,3833,2,Attribute,(Applicable/Seller/Postal) CI_ Trade_ Address,7,0..1,0..1,,Line Three,Text,D24A TDED 3286 Address component description <Free form description of the component of an address.> (an..70) コード値の定義なし https://service.unece.org/trade/untdid/d23a/tred/tred3286.htm,udt:TextType,,,,受注者住所3,受注者住所3,受注者の住所3行目。,3行目,インボイスの取引先住所の3番目の自由形式行（テキスト表記）。,UN01005694,BBIE,CI_ Trade_ Address. Line Three. Text,"The third free form line, expressed as text, of this CI trade address.",Line Three,LineThree,LineThree,＊,＊,＊,,IBT-162,Seller address line 3,0..1
v4,96.0,3839,2,Attribute,(Applicable/Seller/Postal) CI_ Trade_ Address,13,0..1,1..1,,Country,Country_ Identifier,ISO3166-1:Alpha2 / D24A TDED 3207 Country identifier <Identification of the name of the country or other geographical entity as defined in ISO 3166-1 and UN/ECE Recommendation 3.> (an..3) ISO 3166-1 and UN/ECE Recommendation 3 https://service.unece.org/trade/untdid/d23a/tred/tred3207.htm | XMLSchema /uncefact/identifierlist/standard/ISO_ISOTwo-letterCountryCode_SecondEdition2006.xsd,qdt:CountryIDType,,,,受注者国ID,受注者国ID,受注者の国ID。デフォルトは「JP」,国コード,インボイスの取引先住所の国固有識別子。,UN01005700,BBIE,CI_ Trade_ Address. Country. Identifier,The unique identifier of the country for this CI trade address.,Country Code,CountryID,CountryID,＊,＊,＊,,IBT-040,Seller country code,1..1
