version,sme_nr,mbie_nr,level,UNID,acronym,label_local,multiplicity,multiplicity_SME,property_type,class_term,sequence,identifier,property_term,representation_term,associated_class,definition_local,code_list,attribute,DEN,definition,short_name,name,element,xpath
v1,21,3457,2,UN01005486,ASBIE,取引設定内容/ドメイングループ,0..n,1..1,Composition,CI_ Exchanged Document_ Context,6,,Subset_ Specified,,CI_ Document Context_ Parameter,取引設定内容のドメインの情報に関する情報,,,CI_ Exchanged Document_ Context. Subset_ Specified. CI_ Document Context_ Parameter,A subset CI document context parameter specified for this CI exchanged document context.,Subset,ExchangedDocumentContextSubsetDocumentContextParameter,SubsetSpecifiedCIDocumentContextParameter,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter
v1,22,3423,1,UN01005471,ABIE,ドメイン設定クラス,,,Class,CI_ Document Context_ Parameter,0,,,,,JEC業界横断EDIメッセージドメインに関する情報のクラス,,,CI_ Document Context_ Parameter. Details,A feature that is fixed for a particular Cross Industry (CI) document context.,CI Document Context Parameter,ExchangedDocumentContextParameterDetails,CIDocumentContextParameter,
v1,23,3424,2,UN01005472,BBIE,ドメインID,0..1,0..1,Attribute,CI_ Document Context_ Parameter,1,,Identification,Identifier,,"SIPSが付与したメッセージドメイン識別番号
中小企業共通EDIドメイン＝JPSSMED",JECxxxx,,CI_ Document Context_ Parameter. Identification. Identifier,The unique identifier of this CI document context parameter.,ID,ExchangedSubsetDocumentContextParameterID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/ID
v1,24,3425,2,UN01005473,BBIE,ドメイン名,0..1,0..1,Attribute,CI_ Document Context_ Parameter,2,,Value,Text,,SIPSが付与したメッセージドメイン名称,,,CI_ Document Context_ Parameter. Value. Text,"The value, expressed as text, of this CI document context parameter.",Value Text,ExchangedSubsetDocumentContextParameterValueText,ValueText,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/Value
v1,25,3426,2,UN01005474,ASBIE,ドメイン/バージョングループ,0..1,0..1,Composition,CI_ Document Context_ Parameter,1,,Specified,,CI_ Document_ Version,ドメインのバージョンに関する情報,,,CI_ Document Context_ Parameter. Specified. CI_ Document_ Version,The CI document version specified for this CI document context parameter.,Version,ExchangedSubsetDocumentContextParameterDocumentVersion,SpecifiedCIDocumentVersion,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion
v1,26,3444,1,UN01005475,ABIE,バージョンクラス,,,Class,CI_ Document_ Version,0,,,,,バージョンに関する情報のクラス,,,CI_ Document_ Version. Details,A specific variant of a Cross Industry (CI) document.,CI Document Version,ExchangedSubsetContextParameterDocumentVersionDetails,CIDocumentVersion,
v1,27,3445,2,UN01005476,BBIE,バージョンID,0..1,0..1,Attribute,CI_ Document_ Version,1,,Identification,Identifier,,ドメインのバージョン識別番号,,,CI_ Document_ Version. Identification. Identifier,The unique identifier for this CI document version.,ID,SubsetContextParameterDocumentVersionID,ID,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/ID
v1,28,3447,2,UN01005478,BBIE,バージョン発行日,0..1,0..1,Attribute,CI_ Document_ Version,3,,Issue,Date Time,,ドメインのバージョン発行日,,,CI_ Document_ Version. Issue. Date Time,"The date, time, date time or other date time value of issue of this CI document version.",Issue Date Time,SubsetContextParameterDocumentVersionIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIExchangedDocumentContext/SubsetSpecifiedCIDocumentContextParameter/SpecifiedCIDocumentVersion/IssueDateTime
v1,29,2179,1,UN01005861,ASMA,インボイス文書クラス,,,Class,CIIH_ Exchanged_ Document,0,,,,,インボイス文書に関する情報項目のクラス,,,CIIH_ Exchanged_ Document. Details,"A collection of data for a Cross Industry Invoice Header (CIIH) that is exchanged between two or more parties in written, printed or electronic form.",CIIH Exchanged Document,SMEConsolidatedSelfInvoiceExchangedDocumentDetails,CIIHExchangedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument
v1/v3,30,2180,2,UN01005862,BBIE,インボイス文書ID,1..1,1..1,Attribute,CIIH_ Exchanged_ Document,1,PK,Identification,Identifier,,インボイス文書を識別する文書ID,,,CIIH_ Exchanged_ Document. Identification. Identifier,The unique identifier of this CIIH exchanged document.,ID,ExchangedDocumentID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ID
v1,31,2181,2,UN01005863,BBIE,インボイス文書名,0..n,0..1,Attribute,CIIH_ Exchanged_ Document,2,,Name,Text,,インボイス文書の文書名称,,,CIIH_ Exchanged_ Document. Name. Text,"A name, expressed as text, of this CIIH exchanged document.",Name,ExchangedDocumentName,Name,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/Name
v1,32,2182,2,UN01005864,BBIE,インボイス文書タイプコード,0..1,0..1,Attribute,CIIH_ Exchanged_ Document,3,,Type,Code,,"インボイス文書のタイプを識別するコード
デフォルトは「統合請求書」",UNCL1001,,CIIH_ Exchanged_ Document. Type. Code,The code specifying the type of CIIH exchanged document.,Type Code,ExchangedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/TypeCode
v1/v3,33,2183,2,UN01005865,BBIE,インボイス文書発効日,1..1,1..1,Attribute,CIIH_ Exchanged_ Document,4,,Issue,Date Time,,インボイス文書の発行日付，またはインボイス文書の書面上の発行日付。,日時様式 ISO8601,,CIIH_ Exchanged_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this CIIH exchanged document.",Issue Date Time,ExchangedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IssueDateTime
v4.3,34,2186,2,UN01005868,BBIE,インボイス文書言語ID,0..n,0..1,Attribute,CIIH_ Exchanged_ Document,7,,Language,Identifier,,インボイス文書が使用する言語のID,"言語コード
ISO639",,CIIH_ Exchanged_ Document. Language. Identifier,A unique identifier for a language used in this CIIH exchanged document.,Language Code,ExchangedDocumentLanguageID,LanguageID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/LanguageID
v2,35,2187,2,UN01005869,BBIE,インボイス文書目的コード,0..1,0..1,Attribute,CIIH_ Exchanged_ Document,8,,Purpose,Code,,請求者が請求書の目的（新規、変更、取消、打切り）を管理するために付番したコード,UNCL1225,,CIIH_ Exchanged_ Document. Purpose. Code,"The code specifying the purpose of this CIIH exchanged document, such as request or reminder.",Purpose Code,ExchangedDocumentPurposeCode,PurposeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PurposeCode
v4,36,2192,2,UN01005874,BBIE,インボイス文書履歴ID,0..1,0..1,Attribute,CIIH_ Exchanged_ Document,13,,Previous Revision_ Identification,Identifier,,インボイス文書の変更履歴を管理するID。文書変更時に文書IDを変更しない運用を行う場合に利用する（電帳法対応）,,,CIIH_ Exchanged_ Document. Previous Revision_ Identification. Identifier,The unique identifier of the previous revision of this CIIH exchanged document.,Previous Revision ID,ExchangedDocumentPreviousRevisionID,PreviousRevisionID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/PreviousRevisionID
v4,37,2193,2,UN01005875,BBIE,インボイス文書類型コード,0..1,0..1,Attribute,CIIH_ Exchanged_ Document,14,,Category,Code,,"インボイス文書の類型（日本円取引、外貨建て取引等）を識別するコード
デフォルトは「日本円取引」",JECxxxx,,CIIH_ Exchanged_ Document. Category. Code,The code specifying the category for this CIIH exchanged document.,Category Code,ExchangedDocumentCategoryCode,CategoryCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/CategoryCode
v4,38,2196,2,UN01014636,BBIE,インボイス文書サブタイプコード,0..1,0..1,Attribute,CIIH_ Exchanged_ Document,17,,Subtype,Code,,"地域固有の文書のタイプを識別するコード
デフォルトは「統合請求書」",JECxxxx,,CIIH_ Exchanged_ Document. Subtype. Code,The code specifying the subtype of this CIIH exchanged document.,Subtype Code,ExchangedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/SubtypeCode
v1,39,2198,2,UN01005876,ASBIE,インボイス文書／注釈グループ,0..n,0..n,Composition,CIIH_ Exchanged_ Document,1,,Included,,CI_ Note,インボイス文書に含まれる注釈。,,,CIIH_ Exchanged_ Document. Included. CI_ Note,A note included in this CIIH exchanged document.,Note,ExchangedDocumentNote,IncludedCINote,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/IncludedCINote
v4,44,2201,2,UN01012702,ASBIE,インボイス文書／参照文書グループ,0..n,0..n,Composition,CIIH_ Exchanged_ Document,4,,Reference,,CI_ Referenced_ Document,インボイス文書が参照する文書のグループ,,,CIIH_ Exchanged_ Document. Reference. CI_ Referenced_ Document,Other documents referenced by this CIIH exchanged document.,Other Referenced Documents,ExchangedDocumentReferenceDocument,ReferenceCIReferencedDocument,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/ReferenceCIReferencedDocument
v4.0.1,55,2202,2,UN01015490,ASBIE,付加文書／添付ファイルグループ,0..n,0..n,Composition,CIIH_ Exchanged_ Document,5,,Attached,,Specified_ Binary File,参照文書の添付バイナリファイルに関するグループ,,,CIIH_ Exchanged_ Document. Attached. Specified_ Binary File,A binary file attached to this CIIH exchanged document.,Attached Binary File,ExchangedDocumentAttachedBinaryFile,AttachedSpecifiedBinaryFile,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile
v4.1,538,3578,1,UN01005557,ABIE,明細行注釈クラス,,,Class,CI_ Note,0,,,,,明細行の注釈を記述するクラス,,,CI_ Note. Details,"A textual or coded Cross Industry (CI) description, such as a remark or additional information.",CI Note,SubordinateDocumentNoteDetails,CINote,
v4.1,539,3579,2,UN01005558,BBIE,明細行注釈表題,0..1,0..1,Attribute,CI_ Note,1,,Subject,Text,,"明細行の注釈内容の表題を示す。
一部に利用制限あり。標準仕様書３．３．５項参照",,,CI_ Note. Subject. Text,"The subject, expressed as text, of this CI note.",Subject Text,SubordinateDocumentNoteSubjectText,SubjectText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote/Subject
v4.1,540,3581,2,UN01005560,BBIE,明細行注釈内容,0..n,0..1,Attribute,CI_ Note,3,,Content,Text,,"明細行の注釈表題毎の内容情報を入力するフリースペース。
一部に利用制限あり。標準仕様書３．３．５項参照",,,CI_ Note. Content. Text,"Content, expressed as text, of this CI note.",Content Text,SubordinateDocumentNoteContentText,ContentText,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote/Content
v4.1,541,3583,2,UN01005562,BBIE,明細行注釈ID,0..1,0..1,Attribute,CI_ Note,5,,Identification,Identifier,,"明細行注釈の識別ID
共通EDIプロバイダがシリアル番号をセット。標準仕様書３．３．５項参照",,,CI_ Note. Identification. Identifier,The unique identifier for this CI note.,ID,SubordinateDocumentNoteID,ID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/IncludedCINote/ID
v4,621,3614,1,UN01005579,ABIE,明細行インボイス対象物クラス,,,Class,CI_ Referenced_ Document,0,,,,,明細行が参照するインボイス対象物クラス,,,CI_ Referenced_ Document. Details,"Written, printed or electronic matter that is referenced for Cross Industry (CI) purposes.",CI Referenced Document,SubordinateDocumentReferencedDocumentDetails,CIReferencedDocument,
v4,622,3615,2,UN01005580,BBIE,（明細行参照）インボイス対象物ID,0..1,1..1,Attribute,CI_ Referenced_ Document,1,PK,Issuer Assigned_ Identification,Identifier,,この明細行が参照するインボイス対象物のID,,,CI_ Referenced_ Document. Issuer Assigned_ Identification. Identifier,The issuer assigned identifier for this CI referenced document.,Issuer Assigned ID,SubordinateDocumentInvoiceReferencedDocumentIssuerAssignedID,IssuerAssignedID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/IssuerAssignedID
v4,623,3617,2,UN01005582,BBIE,（明細行参照）インボイス対象物発行日,0..1,0..1,Attribute,CI_ Referenced_ Document,3,,Issue,Date Time,,この明細行が参照するインボイス対象物の発行日,,,CI_ Referenced_ Document. Issue. Date Time,The date or date time for the issuance of this CI referenced document.,Issue Date Time,SubordinateDocumentInvoiceReferencedDocumentIssueDateTime,IssueDateTime,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/IssueDateTime
v4,624,3620,2,UN01005585,BBIE,（明細行参照）インボイス対象物明細行ID,0..1,1..1,Attribute,CI_ Referenced_ Document,6,PK,Line,Identifier,,この明細行が参照するインボイス対象物の明細行ID,,,CI_ Referenced_ Document. Line. Identifier,The unique identifier of a line in this CI referenced document.,Line ID,SubordinateItemInvoiceReferencedDocumentLineID,LineID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/LineID
v4.1,625,3621,2,UN01005586,BBIE,（明細行参照）文書参照タイプコード,0..1,0..1,Attribute,CI_ Referenced_ Document,7,,Reference_ Type,Code,,この明細行が参照する文書の参照タイプを識別するコード。,UNCL1153,,CI_ Referenced_ Document. Reference_ Type. Code,The code specifying the reference type of this CI referenced document.,Reference Type Code,SubordinateDocumentInvoiceReferencedDocumentReferenceTypeCode,ReferenceTypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/ReferenceTypeCode
v4,626,3623,2,UN01005588,BBIE,（明細行参照）インボイス対象物履歴ID,0..1,0..1,Attribute,CI_ Referenced_ Document,9,,Revision_ Identification,Identifier,,この明細行が参照するインボイス対象物の変更履歴を管理するID。,,,CI_ Referenced_ Document. Revision_ Identification. Identifier,The unique identifier for a revision of this CI referenced document.,Revision ID,SubordinateDocumentInvoiceReferencedDocumentRevisionID,RevisionID,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/RevisionID
v4,627,3628,2,UN01009672,BBIE,（明細行参照）文書タイプコード,0..1,0..1,Attribute,CI_ Referenced_ Document,14,,Type,Code,,この明細行が参照する文書タイプを識別するコード,UNCL1001,,CI_ Referenced_ Document. Type. Code,The code specifying the type of CI referenced document.,Type Code,SubordinateDocumentInvoiceReferencedDocumentTypeCode,TypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/TypeCode
v4,628,3636,2,UN01014899,BBIE,（明細行参照）文書サブタイプコード,0..n,0..1,Attribute,CI_ Referenced_ Document,22,,Subtype,Code,,この明細行が参照する文書の文書サブタイプコード,JECxxxx,,CI_ Referenced_ Document. Subtype. Code,A code specifying a subtype of this CI referenced document.,Subtype Code,SubordinateDocumentInvoiceReferencedDocumentSubtypeCode,SubtypeCode,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem/SubordinateCIILBSubordinateTradeLineItem/SpecifiedCIILBSupplyChainTradeSettlement/InvoiceReferencedCIReferencedDocument/SubtypeCode
v4,56,7144,1,UN01006014,ABIE,添付バイナリファイルクラス,,,Class,Specified_ Binary File,0,,,,,添付バイナリファイルを記述するためのクラス,,,Specified_ Binary File. Details,A specified computer file or program stored in a binary format.,Binary File,ExchangedDocumentBinaryFileDetails,SpecifiedBinaryFile,
v4,57,7145,2,UN01006015,BBIE,添付バイナリファイルID,0..n,1..1,Attribute,Specified_ Binary File,1,PK,Identification,Identifier,,添付バイナリファイルのID,,,Specified_ Binary File. Identification. Identifier,A unique identifier for this specified binary file.,ID,ExchangedDocumentAttachedBinaryFileID,ID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/ID
v4,58,7149,2,UN01006019,BBIE,添付バイナリファイル名,0..1,0..1,Attribute,Specified_ Binary File,5,,File Name,Text,,添付バイナリファイルの名称,,,Specified_ Binary File. File Name. Text,"The file name, expressed as text, of this specified binary file.",Name,ExchangedDocumentAttachedBinaryFileFileName,FileName,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/FileName
v4,59,7150,2,UN01006020,BBIE,添付バイナリファイルURI ID,0..1,0..1,Attribute,Specified_ Binary File,6,,URI,Identifier,,添付バイナリファイルの保管URIID,,,Specified_ Binary File. URI. Identifier,The unique Uniform Resource Identifier (URI) for this specified binary file.,URI,ExchangedDocumentAttachedBinaryFileURIID,URIID,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/URIID
v4,60,7151,2,UN01006021,BBIE,添付バイナリファイルのMIMEコード,0..1,1..1,Attribute,Specified_ Binary File,7,,MIME,Code,,添付バイナリファイルのMIMEコード,RFC1341,,Specified_ Binary File. MIME. Code,The code specifying the Multipurpose Internet Mail Extensions (MIME) type for this specified binary file.,MIME Code,ExchangedDocumentAttachedBinaryFileMIMECode,MIMECode,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/MIMECode
v4,61,7156,2,UN01006026,BBIE,添付バイナリファイルの説明文,0..n,0..1,Attribute,Specified_ Binary File,12,,Description,Text,,添付バイナリファイルの説明文,,,Specified_ Binary File. Description. Text,A textual description of this specified binary file.,Description,ExchangedDocumentAttachedBinaryFileDescriptionText,DescriptionText,/SMEConsolidatedSelfInvoice/CIIHExchangedDocument/AttachedSpecifiedBinaryFile/Description
v1,62,2288,1,UN01005936,ASMA,インボイス文書取引内容クラス,,,Class,CIIH_ Supply Chain_ Trade Transaction,0,,,,,インボイス文書情報で伝達される取引内容に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Transaction. Details,"The trade line items, trade agreement, trade delivery and trade settlement details included in this Cross Industry Invoice Header (CIIH).",CIIH Trade Transaction,SMEConsolidatedSelfInvoiceTransactionDetails,CIIHSupplyChainTradeTransaction,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction
v1,63,2289,2,UN01005937,ASBIE,インボイス文書取引内容／契約グループ,1..1,1..1,Composition,CIIH_ Supply Chain_ Trade Transaction,1,,Applicable,,CIIH_ Supply Chain_ Trade Agreement,インボイス文書取引に適用される契約に関するグループ。,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Agreement,The CIIH supply chain trade agreement applicable to this CIIH supply chain trade transaction.,Trade Agreement,Transaction,ApplicableCIIHSupplyChainTradeAgreement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement
v4.3,135,2290,2,UN01005938,ASBIE,インボイス文書取引内容／配送グループ,1..1,1..1,Composition,CIIH_ Supply Chain_ Trade Transaction,2,,Applicable,,CIIH_ Supply Chain_ Trade Delivery,インボイス文書の配送に関する情報からなるグループ,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Delivery,The CIIH supply chain trade delivery applicable to this CIIH supply chain trade transaction.,Trade Delivery,TransactionDelivery,ApplicableCIIHSupplyChainTradeDelivery,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeDelivery
v2,140,2291,2,UN01005939,ASBIE,インボイス文書取引内容／決済グループ,1..1,1..1,Composition,CIIH_ Supply Chain_ Trade Transaction,3,,Applicable,,CIIH_ Supply Chain_ Trade Settlement,決済に関するグループ,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,The CIIH supply chain trade settlement applicable to this CIIH supply chain trade transaction.,Trade Settlement,Transaction,ApplicableCIIHSupplyChainTradeSettlement,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeSettlement
v4,365,2292,2,UN01005940,ASBIE,インボイス文書取引／明細文書ヘッダグループ,0..n,1..n,Composition,CIIH_ Supply Chain_ Trade Transaction,4,,Included,,CIIL_ Supply Chain_ Trade Line Item,インボイス文書に組み込まれる明細文書ヘッダのグループ,,,CIIH_ Supply Chain_ Trade Transaction. Included. CIIL_ Supply Chain_ Trade Line Item,A Cross Industry Invoice Line (CIIL) supply chain trade line item included in this CIIH supply chain trade transaction.,Trade Line Item,TransactionDocument,IncludedCIILSupplyChainTradeLineItem,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/IncludedCIILSupplyChainTradeLineItem
v1,64,2203,1,UN01005878,ABIE,インボイス文書契約クラス,,,Class,CIIH_ Supply Chain_ Trade Agreement,0,,,,,インボイス文書に関する契約に関する情報からなるクラス。,,,CIIH_ Supply Chain_ Trade Agreement. Details,The contractual terms of the supply chain trade agreement for this Cross Industry Invoice Header (CIIH).,CIIH Trade Agreement,TransactionDetails,CIIHSupplyChainTradeAgreement,
v1,65,2205,2,UN01005879,ASBIE,インボイス文書契約／受注者グループ,0..1,1..1,Composition,CIIH_ Supply Chain_ Trade Agreement,1,,Seller,,CI_ Trade_ Party,受注者に関するグループ。,,,CIIH_ Supply Chain_ Trade Agreement. Seller. CI_ Trade_ Party,The party that is the seller for this CIIH supply chain trade agreement.,Seller,TransactionSeller,SellerCITradeParty,/SMEConsolidatedSelfInvoice/CIIHSupplyChainTradeTransaction/ApplicableCIIHSupplyChainTradeAgreement/SellerCITradeParty
