Version,UNID,Acronym,Dictionary Entry Name,ObjectClassQualifierTerm,ObjectClassTerm,Cardinality,PropertyTerm,PrimaryRepresentationTerm,XML datatype,AssociatedObjectClassQualifierTerm,AssociatedObjectClassTerm,XML element name,Definition
1.0,UN01009084,BBIE,AAA Archive_ Bundle Collection. Owner Archive Delivery. Date Time,AAA Archive,Bundle Collection,0..1,Owner Archive Delivery,Date Time,udt:DateTimeType,,,OwnerArchiveDeliveryDateTime,"The date, time, date time, or other date time value of the delivery of the AAA archive by the owner for this bundle collection."
1.0,UN01009085,ASBIE,AAA Archive_ Bundle Collection. Life Cycle. AAA Archive_ Archive Parameter,AAA Archive,Bundle Collection,0..1,Life Cycle,,ram:AAAArchiveArchiveParameterType,AAA Archive,Archive Parameter,LifeCycleAAAArchiveArchiveParameter,The AAA archive parameter for the life cycle of this bundle collection.
1.0,UN01009086,ASBIE,AAA Archive_ Bundle Collection. Included. AAA Archive_ Document,AAA Archive,Bundle Collection,0..n,Included,,ram:AAAArchiveDocumentType,AAA Archive,Document,IncludedAAAArchiveDocument,A document included in this AAA archive bundle collection.
1.0,UN01009219,BBIE,AAA Archive_ Certificate. Identification. Identifier,AAA Archive,Certificate,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for an AAA archive certificate.
1.0,UN01009220,BBIE,AAA Archive_ Certificate. Type. Code,AAA Archive,Certificate,0..1,Type,Code,qdt:CertificateTypeCodeType,,,TypeCode,The code specifying the type of AAA archive certificate.
1.0,UN01009221,BBIE,AAA Archive_ Certificate. Software Operating System. Text,AAA Archive,Certificate,0..1,Software Operating System,Text,udt:TextType,,,SoftwareOperatingSystem,"The software operating system, expressed as text, for which this AAA archive certificate is produced."
1.0,UN01009222,BBIE,AAA Archive_ Certificate. Issue. Date Time,AAA Archive,Certificate,0..1,Issue,Date Time,udt:DateTimeType,,,IssueDateTime,"The date, time, date time, or other date time value when this AAA archive certificate was issued."
1.0,UN01009203,BBIE,AAA Archive_ Clause. Identification. Identifier,AAA Archive,Clause,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for this AAA archive clause.
1.0,UN01009204,BBIE,AAA Archive_ Clause. Version. Date Time,AAA Archive,Clause,0..1,Version,Date Time,udt:DateTimeType,,,VersionDateTime,"The date, time, date time, or other date time value of the version of this AAA archive clause."
1.0,UN01009205,BBIE,AAA Archive_ Clause. Content. Text,AAA Archive,Clause,0..1,Content,Text,udt:TextType,,,Content,"The content, expressed as text, of this AAA archive clause."
1.0,UN01009206,BBIE,AAA Archive_ Clause. Breach Explanation. Text,AAA Archive,Clause,0..1,Breach Explanation,Text,udt:TextType,,,BreachExplanation,"The explanation, expressed as text, for a breach of this AAA archive clause."
1.0,UN01009207,BBIE,AAA Archive_ Clause. Breach. Indicator,AAA Archive,Clause,0..1,Breach,Indicator,udt:IndicatorType,,,BreachIndicator,The indication of whether or not this AAA archive clause has been breached.
1.0,UN01009208,BBIE,AAA Archive_ Clause. Wording Non Standard. Indicator,AAA Archive,Clause,0..1,Wording Non Standard,Indicator,udt:IndicatorType,,,WordingNonStandardIndicator,The indication of whether or not the wording of this AAA archive clause is non-standard.
1.0,UN01009209,BBIE,AAA Archive_ Clause. Parametric Standard Wording. Indicator,AAA Archive,Clause,0..1,Parametric Standard Wording,Indicator,udt:IndicatorType,,,ParametricStandardWordingIndicator,The indication of whether or not the standard wording of this AAA archive clause is parametric.
1.0,UN01009210,BBIE,AAA Archive_ Clause. Met. Indicator,AAA Archive,Clause,0..1,Met,Indicator,udt:IndicatorType,,,MetIndicator,The indication of whether or not this AAA archive clause has been met.
1.0,UN01009088,BBIE,AAA Archive_ Document. Multiple Type. Indicator,AAA Archive,Document,0..1,Multiple Type,Indicator,udt:IndicatorType,,,MultipleTypeIndicator,The indication of whether or not this AAA archive document is an aggregation of different types of business documents.
1.0,UN01009089,BBIE,AAA Archive_ Document. Identification. Identifier,AAA Archive,Document,0..1,Identification,Identifier,udt:IDType,,,ID,The identifier for this AAA archive document.
1.0,UN01009090,BBIE,AAA Archive_ Document. Type. Code,AAA Archive,Document,0..n,Type,Code,qdt:AccountingDocumentCodeType,,,TypeCode,A code specifying a type of AAA archive document.
1.0,UN01009091,BBIE,AAA Archive_ Document. Name. Text,AAA Archive,Document,0..1,Name,Text,udt:TextType,,,Name,"The name, expressed as text, for this AAA archive document."
1.0,UN01009092,BBIE,AAA Archive_ Document. Purpose. Text,AAA Archive,Document,0..1,Purpose,Text,udt:TextType,,,Purpose,"The purpose, expressed as text, of this AAA archive document."
1.0,UN01009093,BBIE,AAA Archive_ Document. Description. Text,AAA Archive,Document,0..n,Description,Text,udt:TextType,,,Description,A textual description of this AAA archive document.
1.0,UN01009094,BBIE,AAA Archive_ Document. Issue. Date Time,AAA Archive,Document,0..1,Issue,Date Time,udt:DateTimeType,,,IssueDateTime,"The date, time, date time or other date time value for the issuance of this AAA archive document."
1.0,UN01009095,BBIE,AAA Archive_ Document. Submission. Date Time,AAA Archive,Document,0..1,Submission,Date Time,udt:DateTimeType,,,SubmissionDateTime,"The date, time, date time or other date time value for the formal submission of this AAA archive document to a receiver by a sender."
1.0,UN01009096,BBIE,AAA Archive_ Document. Receipt. Date Time,AAA Archive,Document,0..1,Receipt,Date Time,udt:DateTimeType,,,ReceiptDateTime,"The date, time, date time or other date time value for the formal receipt of this AAA archive document."
1.0,UN01009097,BBIE,AAA Archive_ Document. Control Requirement. Indicator,AAA Archive,Document,0..1,Control Requirement,Indicator,udt:IndicatorType,,,ControlRequirementIndicator,The indication of whether or not this AAA archive document has specific control requirements.
1.0,UN01009098,BBIE,AAA Archive_ Document. Creation. Date Time,AAA Archive,Document,0..1,Creation,Date Time,udt:DateTimeType,,,CreationDateTime,"The date, time, date time or other date time value of the creation of this AAA archive document."
1.1,UN01009099,BBIE,AAA Archive_ Document. Status. Code,AAA Archive,Document,0..n,Status,Code,qdt:DocumentStatusCodeType,,,StatusCode,A code specifying a status of this AAA archive document.
1.0,UN01009100,BBIE,AAA Archive_ Document. Copy. Indicator,AAA Archive,Document,0..1,Copy,Indicator,udt:IndicatorType,,,CopyIndicator,The indication of whether or not this AAA archive document is a copy.
1.0,UN01009101,BBIE,AAA Archive_ Document. Response. Date Time,AAA Archive,Document,0..1,Response,Date Time,udt:DateTimeType,,,ResponseDateTime,"The date, time, date time, or other date time value for a response to this AAA archive document."
1.0,UN01009102,BBIE,AAA Archive_ Document. Item Identification. Identifier,AAA Archive,Document,0..1,Item Identification,Identifier,udt:IDType,,,ItemIdentificationID,The identifier of a specific item in this AAA archive document.
1.0,UN01009103,BBIE,AAA Archive_ Document. Remarks. Text,AAA Archive,Document,0..n,Remarks,Text,udt:TextType,,,Remarks,"A remark, expressed as text, regarding this AAA archive document."
1.0,UN01009104,BBIE,AAA Archive_ Document. Language. Identifier,AAA Archive,Document,0..n,Language,Identifier,udt:IDType,,,LanguageID,An identifier for a language used in this AAA archive document.
1.0,UN01009105,BBIE,AAA Archive_ Document. Currency. Code,AAA Archive,Document,0..n,Currency,Code,qdt:CurrencyCodeType,,,CurrencyCode,A code specifying a currency in which monetary amounts are expressed in this AAA archive document.
1.0,UN01009106,BBIE,AAA Archive_ Document. Line Count. Numeric,AAA Archive,Document,0..n,Line Count,Numeric,udt:NumericType,,,LineCountNumeric,A count of the number of lines in this AAA archive document.
1.0,UN01009107,BBIE,AAA Archive_ Document. Line. Identifier,AAA Archive,Document,0..n,Line,Identifier,udt:IDType,,,LineID,An identifier of a line in this AAA archive document.
1.0,UN01009108,BBIE,AAA Archive_ Document. Multiple References. Indicator,AAA Archive,Document,0..1,Multiple References,Indicator,udt:IndicatorType,,,MultipleReferencesIndicator,The indication of whether or not this AAA archive document references multiple other documents.
1.0,UN01009109,BBIE,AAA Archive_ Document. Revision. Text,AAA Archive,Document,0..n,Revision,Text,udt:TextType,,,Revision,"A revision, expressed as text, for this AAA archive document."
1.0,UN01009110,BBIE,AAA Archive_ Document. Authorization. Text,AAA Archive,Document,0..1,Authorization,Text,udt:TextType,,,Authorization,"The authorization, expressed as text, for this AAA archive document."
1.0,UN01009111,BBIE,AAA Archive_ Document. Checksum. Numeric,AAA Archive,Document,0..1,Checksum,Numeric,udt:NumericType,,,ChecksumNumeric,The number of the checksum for this AAA archive document.
1.0,UN01009112,BBIE,AAA Archive_ Document. Item. Quantity,AAA Archive,Document,0..n,Item,Quantity,udt:QuantityType,,,ItemQuantity,A quantity of items in this AAA archive document.
1.0,UN01009113,BBIE,AAA Archive_ Document. Acceptance. Date Time,AAA Archive,Document,0..1,Acceptance,Date Time,udt:DateTimeType,,,AcceptanceDateTime,"The date, time, date time or other date time value of the acceptance of this AAA archive document."
1.0,UN01009114,BBIE,AAA Archive_ Document. Original Required. Quantity,AAA Archive,Document,0..1,Original Required,Quantity,udt:QuantityType,,,OriginalRequiredQuantity,The number of originals required of this AAA archive document.
1.0,UN01009115,BBIE,AAA Archive_ Document. Copy Required. Quantity,AAA Archive,Document,0..1,Copy Required,Quantity,udt:QuantityType,,,CopyRequiredQuantity,The number of copies required of this AAA archive document.
1.0,UN01009116,BBIE,AAA Archive_ Document. Original Issued. Quantity,AAA Archive,Document,0..1,Original Issued,Quantity,udt:QuantityType,,,OriginalIssuedQuantity,The number of originals issued of this AAA archive document.
1.0,UN01009117,BBIE,AAA Archive_ Document. Copy Issued. Quantity,AAA Archive,Document,0..1,Copy Issued,Quantity,udt:QuantityType,,,CopyIssuedQuantity,The number of copies issued of this AAA archive document.
1.0,UN01009118,BBIE,AAA Archive_ Document. Information. Text,AAA Archive,Document,0..1,Information,Text,udt:TextType,,,Information,"Information, expressed as text, for this AAA archive document."
1.0,UN01009119,BBIE,AAA Archive_ Document. Authenticated Original. Indicator,AAA Archive,Document,0..1,Authenticated Original,Indicator,udt:IndicatorType,,,AuthenticatedOriginalIndicator,The indication of whether or not this AAA archive document is an authenticated original.
1.0,UN01009120,BBIE,AAA Archive_ Document. Disposition. Text,AAA Archive,Document,0..n,Disposition,Text,udt:TextType,,,Disposition,"A disposition, expressed as text, for this AAA archive document."
1.0,UN01009121,BBIE,AAA Archive_ Document. Electronic Presentation. Indicator,AAA Archive,Document,0..1,Electronic Presentation,Indicator,udt:IndicatorType,,,ElectronicPresentationIndicator,The indication of whether or not this AAA archive document is presented in an electronic format.
1.0,UN01009122,BBIE,AAA Archive_ Document. Page. Identifier,AAA Archive,Document,0..n,Page,Identifier,udt:IDType,,,PageID,An identifier of a page in this AAA archive document.
1.0,UN01009123,BBIE,AAA Archive_ Document. Total Page. Quantity,AAA Archive,Document,0..1,Total Page,Quantity,udt:QuantityType,,,TotalPageQuantity,The total number of pages of this AAA archive document.
1.0,UN01009124,BBIE,AAA Archive_ Document. Revision. Date Time,AAA Archive,Document,0..1,Revision,Date Time,udt:DateTimeType,,,RevisionDateTime,"The date, time, date time or other date time value for the revision of this AAA archive document."
1.0,UN01009125,BBIE,AAA Archive_ Document. Rejection Reason. Text,AAA Archive,Document,0..n,Rejection Reason,Text,udt:TextType,,,RejectionReason,"A reason, expressed as text, for the rejection of this AAA archive document."
1.0,UN01009126,BBIE,AAA Archive_ Document. Cancellation Reason. Text,AAA Archive,Document,0..n,Cancellation Reason,Text,udt:TextType,,,CancellationReason,"A reason, expressed as text, for the cancellation of this AAA archive document."
1.0,UN01009127,BBIE,AAA Archive_ Document. Cancellation. Date Time,AAA Archive,Document,0..1,Cancellation,Date Time,udt:DateTimeType,,,CancellationDateTime,"The date, time, date time, or other date time value of a cancellation of this AAA archive document."
1.0,UN01009128,BBIE,AAA Archive_ Document. Sequence. Identifier,AAA Archive,Document,0..n,Sequence,Identifier,udt:IDType,,,SequenceID,An identifier for the sequence of this AAA archive document.
1.0,UN01009129,BBIE,AAA Archive_ Document. Section Name. Text,AAA Archive,Document,0..n,Section Name,Text,udt:TextType,,,SectionName,"A section name, expressed as text, for this AAA archive document."
1.0,UN01009130,BBIE,AAA Archive_ Document. External. Identifier,AAA Archive,Document,0..1,External,Identifier,udt:IDType,,,ExternalID,"The identifier for this AAA archive document which is external to the document itself, such as the document reference number on an envelope."
1.0,UN01009131,BBIE,AAA Archive_ Document. First Version Issue. Date Time,AAA Archive,Document,0..1,First Version Issue,Date Time,udt:DateTimeType,,,FirstVersionIssueDateTime,"The date, time, date time or other date time value when the first version of this AAA archive document was issued."
1.0,UN01009132,BBIE,AAA Archive_ Document. Examined. Indicator,AAA Archive,Document,0..1,Examined,Indicator,udt:IndicatorType,,,ExaminedIndicator,The indication of whether or not this AAA archive document has been examined.
1.0,UN01009133,BBIE,AAA Archive_ Document. Verified. Indicator,AAA Archive,Document,0..1,Verified,Indicator,udt:IndicatorType,,,VerifiedIndicator,The indication of whether or not this AAA archive document has been verified.
1.0,UN01009134,BBIE,AAA Archive_ Document. Handwritten. Indicator,AAA Archive,Document,0..1,Handwritten,Indicator,udt:IndicatorType,,,HandwrittenIndicator,The indication of whether or not this AAA archive document is handwritten.
1.0,UN01009135,BBIE,AAA Archive_ Document. Printed. Indicator,AAA Archive,Document,0..1,Printed,Indicator,udt:IndicatorType,,,PrintedIndicator,The indication of whether or not this AAA archive document is printed.
1.0,UN01009136,BBIE,AAA Archive_ Document. Signed. Indicator,AAA Archive,Document,0..1,Signed,Indicator,udt:IndicatorType,,,SignedIndicator,The indication of whether or not this AAA archive document has been signed.
1.0,UN01009137,BBIE,AAA Archive_ Document. Signed. Date Time,AAA Archive,Document,0..1,Signed,Date Time,udt:DateTimeType,,,SignedDateTime,"The date, time, date time or other date time value when this AAA archive document was signed."
1.0,UN01009138,BBIE,AAA Archive_ Document. Requested. Date Time,AAA Archive,Document,0..1,Requested,Date Time,udt:DateTimeType,,,RequestedDateTime,"The date, time, date time or other date time value when this AAA archive document is or was requested."
1.0,UN01009139,BBIE,AAA Archive_ Document. Signature Location. Text,AAA Archive,Document,0..n,Signature Location,Text,udt:TextType,,,SignatureLocation,"A geographical location, expressed as text, where this AAA archive document was or will be signed."
1.0,UN01009140,BBIE,AAA Archive_ Document. Status. Text,AAA Archive,Document,0..n,Status,Text,udt:TextType,,,Status,"A status, expressed as text, for this AAA archive document."
1.0,UN01009141,BBIE,AAA Archive_ Document. Included. Amount,AAA Archive,Document,0..n,Included,Amount,udt:AmountType,,,IncludedAmount,A monetary value included in this AAA archive document.
1.0,UN01009142,BBIE,AAA Archive_ Document. Included. Quantity,AAA Archive,Document,0..n,Included,Quantity,udt:QuantityType,,,IncludedQuantity,A quantity included in this AAA archive document.
1.0,UN01009143,BBIE,AAA Archive_ Document. Rejection. Date Time,AAA Archive,Document,0..1,Rejection,Date Time,udt:DateTimeType,,,RejectionDateTime,"The date, time, date time, or other date time value of the rejection of this AAA archive document."
1.0,UN01009144,ASBIE,AAA Archive_ Document. Specified. AAA Archive_ Archive Parameter,AAA Archive,Document,0..1,Specified,,ram:AAAArchiveArchiveParameterType,AAA Archive,Archive Parameter,SpecifiedAAAArchiveArchiveParameter,The archive parameter specified for this AAA archive document.
1.0,UN01009145,ASBIE,AAA Archive_ Document. Owner. AAA Archive_ Party,AAA Archive,Document,0..1,Owner,,ram:AAAArchivePartyType,AAA Archive,Party,OwnerAAAArchiveParty,The party that owns this AAA archive document.
1.0,UN01009146,ASBIE,AAA Archive_ Document. Agent. AAA Archive_ Party,AAA Archive,Document,0..n,Agent,,ram:AAAArchivePartyType,AAA Archive,Party,AgentAAAArchiveParty,A party representing another party for this AAA archive document.
1.0,UN01009147,ASBIE,AAA Archive_ Document. Sender. AAA Archive_ Party,AAA Archive,Document,0..1,Sender,,ram:AAAArchivePartyType,AAA Archive,Party,SenderAAAArchiveParty,The party that sends this AAA archive document.
1.0,UN01009148,ASBIE,AAA Archive_ Document. Included. AAA Archive_ Note,AAA Archive,Document,0..n,Included,,ram:AAAArchiveNoteType,AAA Archive,Note,IncludedAAAArchiveNote,A note included in this AAA archive document.
1.0,UN01009149,ASBIE,AAA Archive_ Document. Attached. AAA Archive_ Binary File,AAA Archive,Document,0..n,Attached,,ram:AAAArchiveBinaryFileType,AAA Archive,Binary File,AttachedAAAArchiveBinaryFile,A binary file attached to this AAA archive document.
1.0,UN01009150,ASBIE,AAA Archive_ Document. Effective. AAA_ Period,AAA Archive,Document,0..1,Effective,,ram:AAAPeriodType,AAA,Period,EffectiveAAAPeriod,The period within which this AAA archive document is effective.
1.0,UN01009151,ASBIE,AAA Archive_ Document. Acceptable. AAA_ Period,AAA Archive,Document,0..1,Acceptable,,ram:AAAPeriodType,AAA,Period,AcceptableAAAPeriod,The period within which this AAA archive document may be accepted.
1.0,UN01009152,ASBIE,AAA Archive_ Document. Lodgement. AAA Archive_ Location,AAA Archive,Document,0..n,Lodgement,,ram:AAAArchiveLocationType,AAA Archive,Location,LodgementAAAArchiveLocation,A lodgement location of this AAA archive document.
1.0,UN01009153,ASBIE,AAA Archive_ Document. Issue. AAA Archive_ Location,AAA Archive,Document,0..n,Issue,,ram:AAAArchiveLocationType,AAA Archive,Location,IssueAAAArchiveLocation,A location where this AAA archive document has been or may be issued.
1.0,UN01009154,ASBIE,AAA Archive_ Document. Contractual. AAA Archive_ Clause,AAA Archive,Document,0..n,Contractual,,ram:AAAArchiveClauseType,AAA Archive,Clause,ContractualAAAArchiveClause,A contractual clause of this AAA archive document.
1.0,UN01009155,ASBIE,AAA Archive_ Document. Production. AAA Archive_ Software,AAA Archive,Document,0..1,Production,,ram:AAAArchiveSoftwareType,AAA Archive,Software,ProductionAAAArchiveSoftware,The production software of this AAA archive document.
1.0,UN01009156,ASBIE,AAA Archive_ Document. Reference. AAA Archive_ Document,AAA Archive,Document,0..n,Reference,,ram:AAAArchiveDocumentType,AAA Archive,Document,ReferenceAAAArchiveDocument,Other documents referenced by this AAA archive document.
1.0,UN01009157,ASBIE,AAA Archive_ Document. Signatory. AAA Archive_ Authentication,AAA Archive,Document,0..n,Signatory,,ram:AAAArchiveAuthenticationType,AAA Archive,Authentication,SignatoryAAAArchiveAuthentication,A signatory authentication for this AAA archive document.
