Nr,UNID,Acronym,DEN,Definition,Publication comments,Object Class Term Qualifier(s),Object Class Term,Property Term Qualifier(s),Property Term,Datatype Qualifier(s),Representation Term,Qualified Data Type UID,Associated Object Class Term Qualifier(s),Associated Object Class,Business Term(s),Usage Rule(s),Sequence Number,Occurrence Min,Occurrence Max,Context Categories,Example(s),Version,Ref Library Version,Submitter Name,Ref Component UN ID,Unique submitter ID,CR Status Date,CR Status,Library Maintenance Comment,TDED,Submitted Definition,Submitter Comment,Submitted DEN,Publication Refs -- Source,Short Name
11,UN01009159,BBIE,AAA Archive_ Authentication. Actual. Date Time,"The actual date, time, date time, or other date time value of this AAA archive authentication.",,AAA Archive,Authentication,,Actual,,Date Time,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Actual Date Time
12,UN01009160,BBIE,AAA Archive_ Authentication. Identification. Identifier,The identifier for this AAA archive authentication.,,AAA Archive,Authentication,,Identification,,Identifier,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,ID
13,UN01009161,BBIE,AAA Archive_ Authentication. Statement. Text,"The statement, expressed as text, for this AAA archive authentication.",,AAA Archive,Authentication,,Statement,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(4426),,,,D11A,Statement
14,UN01009162,BBIE,AAA Archive_ Authentication. Information. Text,"Information, expressed as text, for this AAA archive authentication.",,AAA Archive,Authentication,,Information,,Text,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Information Text
15,UN01009163,BBIE,AAA Archive_ Authentication. Signatory. Text,"A signatory, expressed as text, for this AAA archive authentication.",,AAA Archive,Authentication,,Signatory,,Text,,,,,,5,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Signatory
16,UN01009177,ABIE,AAA Archive_ Binary File. Details,A computer file or program stored in a binary format used in the AAA (Accounting And Audit) archiving domain.,,AAA Archive,Binary File,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Binary File
17,UN01009178,BBIE,AAA Archive_ Binary File. Identification. Identifier,The identifier for this AAA archive binary file.,,AAA Archive,Binary File,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,ID
18,UN01009179,BBIE,AAA Archive_ Binary File. Title. Text,"The title, expressed as text, for this AAA archive binary file.",,AAA Archive,Binary File,,Title,,Text,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Title
19,UN01009180,BBIE,AAA Archive_ Binary File. Author Name. Text,"The author name, expressed as text, of this AAA archive binary file.",,AAA Archive,Binary File,,Author Name,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Author Name
20,UN01009181,BBIE,AAA Archive_ Binary File. Version. Identifier,The version identifier for this AAA archive binary file.,,AAA Archive,Binary File,,Version,,Identifier,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Version ID
21,UN01009182,BBIE,AAA Archive_ Binary File. File Name. Text,"The file name, expressed as text, of this AAA archive binary file.",,AAA Archive,Binary File,,File Name,,Text,,,,,,5,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,File Name
22,UN01009183,BBIE,AAA Archive_ Binary File. Included. Binary Object,The included binary object for this AAA archive binary file.,,AAA Archive,Binary File,,Included,,Binary Object,,,,,,6,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Included Binary Object
23,UN01009184,BBIE,AAA Archive_ Binary File. Access. Text,"The access information, expressed as text, for this AAA archive binary file, such as security and download parameters.",,AAA Archive,Binary File,,Access,,Text,,,,,,7,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Access Text
24,UN01009185,BBIE,AAA Archive_ Binary File. Description. Text,The textual description of this AAA archive binary file.,,AAA Archive,Binary File,,Description,,Text,,,,,,8,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Description
25,UN01009186,BBIE,AAA Archive_ Binary File. Size. Measure,The measure of the size of this AAA archive binary file.,,AAA Archive,Binary File,,Size,,Measure,,,,,,9,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Size
26,UN01009187,ASBIE,AAA Archive_ Binary File. Access Availability. AAA_ Period,An access availability period to this AAA archive binary file.,,AAA Archive,Binary File,,Access Availability,,,,AAA,Period,,,1,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Access Availability Period
27,UN01009078,ABIE,AAA Archive_ Bundle Collection. Details,Combination of documents and books intended to be stored together in a usable form to conform with AAA (Accounting And Audit) archive regulatory requirements.,,AAA Archive,Bundle Collection,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Bundle Collection
28,UN01009079,BBIE,AAA Archive_ Bundle Collection. Identification. Identifier,The identifier for this AAA archive bundle collection.,,AAA Archive,Bundle Collection,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,ID
29,UN01009080,BBIE,AAA Archive_ Bundle Collection. Comment. Text,"The comment, expressed as text, for this AAA archive bundle collection.",,AAA Archive,Bundle Collection,,Comment,,Text,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Comment Text
30,UN01009081,BBIE,AAA Archive_ Bundle Collection. Agent Assigned Archive. Identifier,The AAA archive identifier assigned by the agent for this bundle collection.,,AAA Archive,Bundle Collection,,Agent Assigned Archive,,Identifier,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Agent Assigned Archive ID
31,UN01009082,BBIE,AAA Archive_ Bundle Collection. Agent Archive Delivery. Date Time,"The date, time, date time, or other date time value of the delivery of the AAA archive by the agent for this bundle collection.",,AAA Archive,Bundle Collection,,Agent Archive Delivery,,Date Time,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Agent Archive Delivery Date Time
32,UN01009083,BBIE,AAA Archive_ Bundle Collection. Owner Assigned Archive. Identifier,The AAA archive identifier assigned by the owner for this bundle collection.,,AAA Archive,Bundle Collection,,Owner Assigned Archive,,Identifier,,,,,,5,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Owner Assigned Archive ID
33,UN01009084,BBIE,AAA Archive_ Bundle Collection. Owner Archive Delivery. Date Time,"The date, time, date time, or other date time value of the delivery of the AAA archive by the owner for this bundle collection.",,AAA Archive,Bundle Collection,,Owner Archive Delivery,,Date Time,,,,,,6,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Owner Archive Delivery Date Time
34,UN01009085,ASBIE,AAA Archive_ Bundle Collection. Life Cycle. AAA Archive_ Archive Parameter,The AAA archive parameter for the life cycle of this bundle collection.,,AAA Archive,Bundle Collection,,Life Cycle,,,,AAA Archive,Archive Parameter,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Life Cycle Archive Parameter
35,UN01009086,ASBIE,AAA Archive_ Bundle Collection. Included. AAA Archive_ Document,A document included in this AAA archive bundle collection.,,AAA Archive,Bundle Collection,,Included,,,,AAA Archive,Document,,,2,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Included Document
36,UN01009218,ABIE,AAA Archive_ Certificate. Details,Legal proof of ownership or worthiness of an AAA (Accounting And Audit) archive.,,AAA Archive,Certificate,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Certificate
37,UN01009219,BBIE,AAA Archive_ Certificate. Identification. Identifier,The identifier for an AAA archive certificate.,,AAA Archive,Certificate,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,ID
38,UN01009220,BBIE,AAA Archive_ Certificate. Type. Code,The code specifying the type of AAA archive certificate.,,AAA Archive,Certificate,,Type,Certificate Type,Code,UN02000155,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Type Code
39,UN01009221,BBIE,AAA Archive_ Certificate. Software Operating System. Text,"The software operating system, expressed as text, for which this AAA archive certificate is produced.",,AAA Archive,Certificate,,Software Operating System,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Software Operating System Text
40,UN01009222,BBIE,AAA Archive_ Certificate. Issue. Date Time,"The date, time, date time, or other date time value when this AAA archive certificate was issued.",,AAA Archive,Certificate,,Issue,,Date Time,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Issue Date Time
41,UN01009202,ABIE,AAA Archive_ Clause. Details,"A distinct article or provision in a contract, treaty, will, or other formal or legal written document, which requires compliance, relating to an AAA (Accounting And Audit) archive.",,AAA Archive,Clause,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Clause
42,UN01009203,BBIE,AAA Archive_ Clause. Identification. Identifier,The identifier for this AAA archive clause.,,AAA Archive,Clause,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(4069),,,,D11A,ID
43,UN01009204,BBIE,AAA Archive_ Clause. Version. Date Time,"The date, time, date time, or other date time value of the version of this AAA archive clause.",,AAA Archive,Clause,,Version,,Date Time,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Version Date Time
44,UN01009205,BBIE,AAA Archive_ Clause. Content. Text,"The content, expressed as text, of this AAA archive clause.",,AAA Archive,Clause,,Content,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(4068),,,,D11A,Content
45,UN01009206,BBIE,AAA Archive_ Clause. Breach Explanation. Text,"The explanation, expressed as text, for a breach of this AAA archive clause.",,AAA Archive,Clause,,Breach Explanation,,Text,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Breach Explanation
46,UN01009207,BBIE,AAA Archive_ Clause. Breach. Indicator,The indication of whether or not this AAA archive clause has been breached.,,AAA Archive,Clause,,Breach,,Indicator,,,,,,5,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Breach Indicator
47,UN01009208,BBIE,AAA Archive_ Clause. Wording Non Standard. Indicator,The indication of whether or not the wording of this AAA archive clause is non-standard.,,AAA Archive,Clause,,Wording Non Standard,,Indicator,,,,,,6,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Wording Non-Standard Indicator
48,UN01009209,BBIE,AAA Archive_ Clause. Parametric Standard Wording. Indicator,The indication of whether or not the standard wording of this AAA archive clause is parametric.,,AAA Archive,Clause,,Parametric Standard Wording,,Indicator,,,,,,7,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Parametric Standard Wording Indicator
49,UN01009210,BBIE,AAA Archive_ Clause. Met. Indicator,The indication of whether or not this AAA archive clause has been met.,,AAA Archive,Clause,,Met,,Indicator,,,,,,8,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Met Indicator
50,UN01009087,ABIE,AAA Archive_ Document. Details,A document or book intended to be stored in a usable form to conform with AAA (Accounting And Audit) archive requirements.,,AAA Archive,Document,,,,,,,,,,,,,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,AAA Archive Document
51,UN01009088,BBIE,AAA Archive_ Document. Multiple Type. Indicator,The indication of whether or not this AAA archive document is an aggregation of different types of business documents.,,AAA Archive,Document,,Multiple Type,,Indicator,,,,,,1,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Multiple Type Indicator
52,UN01009089,BBIE,AAA Archive_ Document. Identification. Identifier,The identifier for this AAA archive document.,,AAA Archive,Document,,Identification,,Identifier,,,,,,2,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1004),,,,D11A,ID
53,UN01009090,BBIE,AAA Archive_ Document. Type. Code,A code specifying a type of AAA archive document.,,AAA Archive,Document,,Type,Accounting_ Document,Code,UN02000110,,,,,3,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,(1001),,,,D11A,Type Code
54,UN01009091,BBIE,AAA Archive_ Document. Name. Text,"The name, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Name,,Text,,,,,,4,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1000),,,,D11A,Name
55,UN01009092,BBIE,AAA Archive_ Document. Purpose. Text,"The purpose, expressed as text, of this AAA archive document.",,AAA Archive,Document,,Purpose,,Text,,,,,,5,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1160),,,,D11A,Purpose Text
56,UN01009093,BBIE,AAA Archive_ Document. Description. Text,A textual description of this AAA archive document.,,AAA Archive,Document,,Description,,Text,,,,,,6,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Description
57,UN01009094,BBIE,AAA Archive_ Document. Issue. Date Time,"The date, time, date time or other date time value for the issuance of this AAA archive document.",,AAA Archive,Document,,Issue,,Date Time,,,,,,7,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(2007),,,,D11A,Issue Date Time
58,UN01009095,BBIE,AAA Archive_ Document. Submission. Date Time,"The date, time, date time or other date time value for the formal submission of this AAA archive document to a receiver by a sender.",,AAA Archive,Document,,Submission,,Date Time,,,,,,8,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Submission Date Time
59,UN01009096,BBIE,AAA Archive_ Document. Receipt. Date Time,"The date, time, date time or other date time value for the formal receipt of this AAA archive document.",,AAA Archive,Document,,Receipt,,Date Time,,,,,,9,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Receipt Date Time
60,UN01009097,BBIE,AAA Archive_ Document. Control Requirement. Indicator,The indication of whether or not this AAA archive document has specific control requirements.,,AAA Archive,Document,,Control Requirement,,Indicator,,,,,,10,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Control Requirement Indicator
61,UN01009098,BBIE,AAA Archive_ Document. Creation. Date Time,"The date, time, date time or other date time value of the creation of this AAA archive document.",,AAA Archive,Document,,Creation,,Date Time,,,,,,11,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Creation Date Time
62,UN01009099,BBIE,AAA Archive_ Document. Status. Code,A code specifying a status of this AAA archive document.,,AAA Archive,Document,,Status,Document Status,Code,UN02000025,,,,,12,0,unbounded,"Accounting, audit and reporting",,1.1,,,,,,,,(1373),,,,D11A,Status Code
63,UN01009100,BBIE,AAA Archive_ Document. Copy. Indicator,The indication of whether or not this AAA archive document is a copy.,,AAA Archive,Document,,Copy,,Indicator,,,,,,13,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Copy Indicator
64,UN01009101,BBIE,AAA Archive_ Document. Response. Date Time,"The date, time, date time, or other date time value for a response to this AAA archive document.",,AAA Archive,Document,,Response,,Date Time,,,,,,14,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Response Date Time
65,UN01009102,BBIE,AAA Archive_ Document. Item Identification. Identifier,The identifier of a specific item in this AAA archive document.,,AAA Archive,Document,,Item Identification,,Identifier,,,,,,15,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1052),,,,D11A,Item ID
66,UN01009103,BBIE,AAA Archive_ Document. Remarks. Text,"A remark, expressed as text, regarding this AAA archive document.",,AAA Archive,Document,,Remarks,,Text,,,,,,16,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Remark
67,UN01009104,BBIE,AAA Archive_ Document. Language. Identifier,An identifier for a language used in this AAA archive document.,,AAA Archive,Document,,Language,,Identifier,,,,,,17,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,[3453],,,,D11A,Language Code
68,UN01009105,BBIE,AAA Archive_ Document. Currency. Code,A code specifying a currency in which monetary amounts are expressed in this AAA archive document.,,AAA Archive,Document,,Currency,Currency,Code,UN02000004,,,,,18,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,[6345],,,,D11A,Currency Code
69,UN01009106,BBIE,AAA Archive_ Document. Line Count. Numeric,A count of the number of lines in this AAA archive document.,,AAA Archive,Document,,Line Count,,Numeric,,,,,,19,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Line Count
70,UN01009107,BBIE,AAA Archive_ Document. Line. Identifier,An identifier of a line in this AAA archive document.,,AAA Archive,Document,,Line,,Identifier,,,,,,20,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,(1156),,,,D11A,Line ID
71,UN01009108,BBIE,AAA Archive_ Document. Multiple References. Indicator,The indication of whether or not this AAA archive document references multiple other documents.,,AAA Archive,Document,,Multiple References,,Indicator,,,,,,21,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Multiple References Indicator
72,UN01009109,BBIE,AAA Archive_ Document. Revision. Text,"A revision, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Revision,,Text,,,,,,22,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Revision Text
73,UN01009110,BBIE,AAA Archive_ Document. Authorization. Text,"The authorization, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Authorization,,Text,,,,,,23,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Authorization Text
74,UN01009111,BBIE,AAA Archive_ Document. Checksum. Numeric,The number of the checksum for this AAA archive document.,,AAA Archive,Document,,Checksum,,Numeric,,,,,,24,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Checksum Number
75,UN01009112,BBIE,AAA Archive_ Document. Item. Quantity,A quantity of items in this AAA archive document.,,AAA Archive,Document,,Item,,Quantity,,,,,,25,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Item Quantity
76,UN01009113,BBIE,AAA Archive_ Document. Acceptance. Date Time,"The date, time, date time or other date time value of the acceptance of this AAA archive document.",,AAA Archive,Document,,Acceptance,,Date Time,,,,,,26,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(2097),,,,D11A,Acceptance Date Time
77,UN01009114,BBIE,AAA Archive_ Document. Original Required. Quantity,The number of originals required of this AAA archive document.,,AAA Archive,Document,,Original Required,,Quantity,,,,,,27,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1218),,,,D11A,Original Required Quantity
78,UN01009115,BBIE,AAA Archive_ Document. Copy Required. Quantity,The number of copies required of this AAA archive document.,,AAA Archive,Document,,Copy Required,,Quantity,,,,,,28,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1220),,,,D11A,Copy Required Quantity
79,UN01009116,BBIE,AAA Archive_ Document. Original Issued. Quantity,The number of originals issued of this AAA archive document.,,AAA Archive,Document,,Original Issued,,Quantity,,,,,,29,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1067),,,,D11A,Original Issued Quantity
80,UN01009117,BBIE,AAA Archive_ Document. Copy Issued. Quantity,The number of copies issued of this AAA archive document.,,AAA Archive,Document,,Copy Issued,,Quantity,,,,,,30,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1069),,,,D11A,Copy Issued Quantity
81,UN01009118,BBIE,AAA Archive_ Document. Information. Text,"Information, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Information,,Text,,,,,,31,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(4142),,,,D11A,Information
82,UN01009119,BBIE,AAA Archive_ Document. Authenticated Original. Indicator,The indication of whether or not this AAA archive document is an authenticated original.,,AAA Archive,Document,,Authenticated Original,,Indicator,,,,,,32,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(4366),,,,D11A,Authenticated Original Indicator
83,UN01009120,BBIE,AAA Archive_ Document. Disposition. Text,"A disposition, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Disposition,,Text,,,,,,33,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,(4144),,,,D11A,Disposition Text
84,UN01009121,BBIE,AAA Archive_ Document. Electronic Presentation. Indicator,The indication of whether or not this AAA archive document is presented in an electronic format.,,AAA Archive,Document,,Electronic Presentation,,Indicator,,,,,,34,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Electronic Presentation Indicator
85,UN01009122,BBIE,AAA Archive_ Document. Page. Identifier,An identifier of a page in this AAA archive document.,,AAA Archive,Document,,Page,,Identifier,,,,,,35,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,(1212),,,,D11A,Page ID
86,UN01009123,BBIE,AAA Archive_ Document. Total Page. Quantity,The total number of pages of this AAA archive document.,,AAA Archive,Document,,Total Page,,Quantity,,,,,,36,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(1046),,,,D11A,Total Page Quantity
87,UN01009124,BBIE,AAA Archive_ Document. Revision. Date Time,"The date, time, date time or other date time value for the revision of this AAA archive document.",,AAA Archive,Document,,Revision,,Date Time,,,,,,37,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Revision Date Time
88,UN01009125,BBIE,AAA Archive_ Document. Rejection Reason. Text,"A reason, expressed as text, for the rejection of this AAA archive document.",,AAA Archive,Document,,Rejection Reason,,Text,,,,,,38,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,(4308),,,,D11A,Rejection Reason Text
89,UN01009126,BBIE,AAA Archive_ Document. Cancellation Reason. Text,"A reason, expressed as text, for the cancellation of this AAA archive document.",,AAA Archive,Document,,Cancellation Reason,,Text,,,,,,39,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Cancellation Reason Text
90,UN01009127,BBIE,AAA Archive_ Document. Cancellation. Date Time,"The date, time, date time, or other date time value of a cancellation of this AAA archive document.",,AAA Archive,Document,,Cancellation,,Date Time,,,,,,40,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,(2095),,,,D11A,Cancellation Date Time
91,UN01009128,BBIE,AAA Archive_ Document. Sequence. Identifier,An identifier for the sequence of this AAA archive document.,,AAA Archive,Document,,Sequence,,Identifier,,,,,,41,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Sequence ID
92,UN01009129,BBIE,AAA Archive_ Document. Section Name. Text,"A section name, expressed as text, for this AAA archive document.",,AAA Archive,Document,,Section Name,,Text,,,,,,42,0,unbounded,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Section Name
93,UN01009130,BBIE,AAA Archive_ Document. External. Identifier,"The identifier for this AAA archive document which is external to the document itself, such as the document reference number on an envelope.",,AAA Archive,Document,,External,,Identifier,,,,,,43,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,External ID
94,UN01009131,BBIE,AAA Archive_ Document. First Version Issue. Date Time,"The date, time, date time or other date time value when the first version of this AAA archive document was issued.",,AAA Archive,Document,,First Version Issue,,Date Time,,,,,,44,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,First Version Issue Date Time
95,UN01009132,BBIE,AAA Archive_ Document. Examined. Indicator,The indication of whether or not this AAA archive document has been examined.,,AAA Archive,Document,,Examined,,Indicator,,,,,,45,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Examined Indicator
96,UN01009133,BBIE,AAA Archive_ Document. Verified. Indicator,The indication of whether or not this AAA archive document has been verified.,,AAA Archive,Document,,Verified,,Indicator,,,,,,46,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Verified Indicator
97,UN01009134,BBIE,AAA Archive_ Document. Handwritten. Indicator,The indication of whether or not this AAA archive document is handwritten.,,AAA Archive,Document,,Handwritten,,Indicator,,,,,,47,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Handwritten Indicator
98,UN01009135,BBIE,AAA Archive_ Document. Printed. Indicator,The indication of whether or not this AAA archive document is printed.,,AAA Archive,Document,,Printed,,Indicator,,,,,,48,0,1,"Accounting, audit and reporting",,1.0,,,,,,,,,,,,D11A,Printed Indicator
