change,unid,acronym,DEN,Definition,Working_comments_and_instructions,Publication_comments,Object_Class_Term_Qualifier(s),Object_Class_Term,Property_Term_Qualifier(s),Property_Term,Datatype_Qualifier(s),Representation_Term,Qualified_Data_Type_UID,Associated_Object_Class_Term_Qualifier(s),Associated_Object_Class,Business_Term(s),Usage_Rule(s),Sequence_Number,Occurrence_Min,Occurrence_Max,Business_Process_Value,Business_Process_Meaning,Business_Process_Class.Schema,Product_Value,Product_Meaning,Product_Class.Schema,Industory_Value,Industory_Meaning,Industory_Class.Schema,Region_(Geo)_Value,Region_(Geo)_Meaning,Region_(Geo)_Class.Schema,Official_Constraints_Value,Official_Constraints_Meaning,Official_Constraints_Class.Schema,Role_Value,Role_Meaning,Role_Class.Schema,Supporting_Role_Value,Supporting_Role_Meaning,Supporting_Role_Class.Schema,System_Constraints_Value,System_Constraints_Meaning,System_Constraints_Class.Schema,"Facets To_restrict_the_set_of_values_of_Content_Component_or_Supplementary_Components",au,av,aw,ax,ay,az,ba,bb,bc,bd,be,bf,bg,bh,Example(s),BIE/CC/DT_Version,Ref_Library_Version,Submitter_Name,Ref_Component_UN_ID,Ref_CR_ID,Unique_submitter_ID,CR_Status_Date,CR_Status,Library_Maintenance_Comment,TDED,Submitted_Definition,Submitter_Comment,Submitted_DEN,Submission_Row_Number,Unique_CC/BIE_ID,CR_Storage_Date,Publication_Refs_--_Source,Persistent_Flag,cb,cc,Short_Name,ce
,UN01009159,BBIE,AAA Archive_ Authentication. Actual. Date Time,"The actual date, time, date time, or other date time value of this AAA archive authentication.",,,AAA Archive,Authentication,,Actual,,Date Time,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Actual Date Time,
,UN01009160,BBIE,AAA Archive_ Authentication. Identification. Identifier,The identifier for this AAA archive authentication.,,,AAA Archive,Authentication,,Identification,,Identifier,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,ID,
,UN01009161,BBIE,AAA Archive_ Authentication. Statement. Text,"The statement, expressed as text, for this AAA archive authentication.",,,AAA Archive,Authentication,,Statement,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-4426,,,,,,,D11A,,,,Statement,
,UN01009162,BBIE,AAA Archive_ Authentication. Information. Text,"Information, expressed as text, for this AAA archive authentication.",,,AAA Archive,Authentication,,Information,,Text,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Information Text,
,UN01009163,BBIE,AAA Archive_ Authentication. Signatory. Text,"A signatory, expressed as text, for this AAA archive authentication.",,,AAA Archive,Authentication,,Signatory,,Text,,,,,,5,0,unbounded,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Signatory,
,UN01009177,ABIE,AAA Archive_ Binary File. Details,A computer file or program stored in a binary format used in the AAA (Accounting And Audit) archiving domain.,,,AAA Archive,Binary File,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Binary File,
,UN01009178,BBIE,AAA Archive_ Binary File. Identification. Identifier,The identifier for this AAA archive binary file.,,,AAA Archive,Binary File,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,ID,
,UN01009179,BBIE,AAA Archive_ Binary File. Title. Text,"The title, expressed as text, for this AAA archive binary file.",,,AAA Archive,Binary File,,Title,,Text,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Title,
,UN01009180,BBIE,AAA Archive_ Binary File. Author Name. Text,"The author name, expressed as text, of this AAA archive binary file.",,,AAA Archive,Binary File,,Author Name,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Author Name,
,UN01009181,BBIE,AAA Archive_ Binary File. Version. Identifier,The version identifier for this AAA archive binary file.,,,AAA Archive,Binary File,,Version,,Identifier,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Version ID,
,UN01009182,BBIE,AAA Archive_ Binary File. File Name. Text,"The file name, expressed as text, of this AAA archive binary file.",,,AAA Archive,Binary File,,File Name,,Text,,,,,,5,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,File Name,
,UN01009183,BBIE,AAA Archive_ Binary File. Included. Binary Object,The included binary object for this AAA archive binary file.,,,AAA Archive,Binary File,,Included,,Binary Object,,,,,,6,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Included Binary Object,
,UN01009184,BBIE,AAA Archive_ Binary File. Access. Text,"The access information, expressed as text, for this AAA archive binary file, such as security and download parameters.",,,AAA Archive,Binary File,,Access,,Text,,,,,,7,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Access Text,
,UN01009185,BBIE,AAA Archive_ Binary File. Description. Text,The textual description of this AAA archive binary file.,,,AAA Archive,Binary File,,Description,,Text,,,,,,8,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Description,
,UN01009186,BBIE,AAA Archive_ Binary File. Size. Measure,The measure of the size of this AAA archive binary file.,,,AAA Archive,Binary File,,Size,,Measure,,,,,,9,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Size,
,UN01009187,ASBIE,AAA Archive_ Binary File. Access Availability. AAA_ Period,An access availability period to this AAA archive binary file.,,,AAA Archive,Binary File,,Access Availability,,,,AAA,Period,,,1,0,unbounded,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Access Availability Period,
,UN01009078,ABIE,AAA Archive_ Bundle Collection. Details,Combination of documents and books intended to be stored together in a usable form to conform with AAA (Accounting And Audit) archive regulatory requirements.,,,AAA Archive,Bundle Collection,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Bundle Collection,
,UN01009079,BBIE,AAA Archive_ Bundle Collection. Identification. Identifier,The identifier for this AAA archive bundle collection.,,,AAA Archive,Bundle Collection,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,ID,
,UN01009080,BBIE,AAA Archive_ Bundle Collection. Comment. Text,"The comment, expressed as text, for this AAA archive bundle collection.",,,AAA Archive,Bundle Collection,,Comment,,Text,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Comment Text,
,UN01009081,BBIE,AAA Archive_ Bundle Collection. Agent Assigned Archive. Identifier,The AAA archive identifier assigned by the agent for this bundle collection.,,,AAA Archive,Bundle Collection,,Agent Assigned Archive,,Identifier,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Agent Assigned Archive ID,
,UN01009082,BBIE,AAA Archive_ Bundle Collection. Agent Archive Delivery. Date Time,"The date, time, date time, or other date time value of the delivery of the AAA archive by the agent for this bundle collection.",,,AAA Archive,Bundle Collection,,Agent Archive Delivery,,Date Time,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Agent Archive Delivery Date Time,
,UN01009083,BBIE,AAA Archive_ Bundle Collection. Owner Assigned Archive. Identifier,The AAA archive identifier assigned by the owner for this bundle collection.,,,AAA Archive,Bundle Collection,,Owner Assigned Archive,,Identifier,,,,,,5,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Owner Assigned Archive ID,
,UN01009084,BBIE,AAA Archive_ Bundle Collection. Owner Archive Delivery. Date Time,"The date, time, date time, or other date time value of the delivery of the AAA archive by the owner for this bundle collection.",,,AAA Archive,Bundle Collection,,Owner Archive Delivery,,Date Time,,,,,,6,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Owner Archive Delivery Date Time,
,UN01009085,ASBIE,AAA Archive_ Bundle Collection. Life Cycle. AAA Archive_ Archive Parameter,The AAA archive parameter for the life cycle of this bundle collection.,,,AAA Archive,Bundle Collection,,Life Cycle,,,,AAA Archive,Archive Parameter,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Life Cycle Archive Parameter,
,UN01009086,ASBIE,AAA Archive_ Bundle Collection. Included. AAA Archive_ Document,A document included in this AAA archive bundle collection.,,,AAA Archive,Bundle Collection,,Included,,,,AAA Archive,Document,,,2,0,unbounded,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Included Document,
,UN01009218,ABIE,AAA Archive_ Certificate. Details,Legal proof of ownership or worthiness of an AAA (Accounting And Audit) archive.,,,AAA Archive,Certificate,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Certificate,
,UN01009219,BBIE,AAA Archive_ Certificate. Identification. Identifier,The identifier for an AAA archive certificate.,,,AAA Archive,Certificate,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,ID,
,UN01009220,BBIE,AAA Archive_ Certificate. Type. Code,The code specifying the type of AAA archive certificate.,,,AAA Archive,Certificate,,Type,Certificate Type,Code,UN02000155,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Type Code,
,UN01009221,BBIE,AAA Archive_ Certificate. Software Operating System. Text,"The software operating system, expressed as text, for which this AAA archive certificate is produced.",,,AAA Archive,Certificate,,Software Operating System,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Software Operating System Text,
,UN01009222,BBIE,AAA Archive_ Certificate. Issue. Date Time,"The date, time, date time, or other date time value when this AAA archive certificate was issued.",,,AAA Archive,Certificate,,Issue,,Date Time,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Issue Date Time,
,UN01009202,ABIE,AAA Archive_ Clause. Details,"A distinct article or provision in a contract, treaty, will, or other formal or legal written document, which requires compliance, relating to an AAA (Accounting And Audit) archive.",,,AAA Archive,Clause,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Clause,
,UN01009203,BBIE,AAA Archive_ Clause. Identification. Identifier,The identifier for this AAA archive clause.,,,AAA Archive,Clause,,Identification,,Identifier,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-4069,,,,,,,D11A,,,,ID,
,UN01009204,BBIE,AAA Archive_ Clause. Version. Date Time,"The date, time, date time, or other date time value of the version of this AAA archive clause.",,,AAA Archive,Clause,,Version,,Date Time,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Version Date Time,
,UN01009205,BBIE,AAA Archive_ Clause. Content. Text,"The content, expressed as text, of this AAA archive clause.",,,AAA Archive,Clause,,Content,,Text,,,,,,3,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-4068,,,,,,,D11A,,,,Content,
,UN01009206,BBIE,AAA Archive_ Clause. Breach Explanation. Text,"The explanation, expressed as text, for a breach of this AAA archive clause.",,,AAA Archive,Clause,,Breach Explanation,,Text,,,,,,4,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Breach Explanation,
,UN01009207,BBIE,AAA Archive_ Clause. Breach. Indicator,The indication of whether or not this AAA archive clause has been breached.,,,AAA Archive,Clause,,Breach,,Indicator,,,,,,5,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Breach Indicator,
,UN01009208,BBIE,AAA Archive_ Clause. Wording Non Standard. Indicator,The indication of whether or not the wording of this AAA archive clause is non-standard.,,,AAA Archive,Clause,,Wording Non Standard,,Indicator,,,,,,6,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Wording Non-Standard Indicator,
,UN01009209,BBIE,AAA Archive_ Clause. Parametric Standard Wording. Indicator,The indication of whether or not the standard wording of this AAA archive clause is parametric.,,,AAA Archive,Clause,,Parametric Standard Wording,,Indicator,,,,,,7,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Parametric Standard Wording Indicator,
,UN01009210,BBIE,AAA Archive_ Clause. Met. Indicator,The indication of whether or not this AAA archive clause has been met.,,,AAA Archive,Clause,,Met,,Indicator,,,,,,8,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Met Indicator,
,UN01009087,ABIE,AAA Archive_ Document. Details,A document or book intended to be stored in a usable form to conform with AAA (Accounting And Audit) archive requirements.,,,AAA Archive,Document,,,,,,,,,,,,,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,AAA Archive Document,
,UN01009088,BBIE,AAA Archive_ Document. Multiple Type. Indicator,The indication of whether or not this AAA archive document is an aggregation of different types of business documents.,,,AAA Archive,Document,,Multiple Type,,Indicator,,,,,,1,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,D11A,,,,Multiple Type Indicator,
,UN01009089,BBIE,AAA Archive_ Document. Identification. Identifier,The identifier for this AAA archive document.,,,AAA Archive,Document,,Identification,,Identifier,,,,,,2,0,1,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-1004,,,,,,,D11A,,,,ID,
,UN01009090,BBIE,AAA Archive_ Document. Type. Code,A code specifying a type of AAA archive document.,,,AAA Archive,Document,,Type,Accounting_ Document,Code,UN02000110,,,,,3,0,unbounded,"Accounting, audit and reporting",,,"Accounting, audit and reporting, Accounting entry",,,In All Contexts,,,In All Contexts,,,None,,,In All Contexts,,,In All Contexts,,,In All Contexts,,,,,,,,,,,,,,,,,,,1,,,,,,,,,-1001,,,,,,,D11A,,,,Type Code,
